sample	Chromosome	Start Position	End Position	Normal TCN	Normal BCN	Tumour TCN	Tumour BCN
PD24327a	6	12501730	12638749	2	1	6	1
PD24327a	6	12644940	13853160	2	1	2	1
PD24327a	6	13863733	14062176	2	1	5	1
PD24327a	6	14071732	14346355	2	1	11	1
PD24327a	6	14347838	14354280	2	1	15	2
PD24327a	6	14354851	14899485	2	1	16	1
PD24327a	6	14904194	14949282	2	1	7	0
PD24327a	6	14949328	15251181	2	1	8	1
PD24327a	6	15256571	15873122	2	1	12	1
PD24327a	6	15873951	15923323	2	1	7	0
PD24327a	6	15923485	16340776	2	1	8	1
PD24327a	6	16358358	16468304	2	1	2	0
PD24327a	6	16471239	16777131	2	1	11	1
PD24327a	6	16779951	17334641	2	1	14	1
PD24327a	6	17339946	18321688	2	1	11	1
PD24327a	6	18324635	18578438	2	1	5	1
PD24327a	6	18579555	18936346	2	1	1	0
PD24327a	6	18947638	20040950	2	1	10	1
PD24327a	6	20041792	20346663	2	1	7	1
PD24327a	6	20347670	20607684	2	1	13	1
PD24327a	6	20611926	21220531	2	1	16	1
PD24327a	6	21222751	22278396	2	1	20	1
PD24327a	6	22280214	22643134	2	1	17	1
PD24327a	6	22643749	22922468	2	1	10	0
PD24327a	6	22926459	25291776	2	1	16	1
PD24327a	6	25300739	25643792	2	1	10	1
PD24327a	6	25645314	26663478	2	1	15	1
PD24327a	6	26682323	27114052	2	1	3	1
PD24327a	6	27121224	27586122	2	1	6	0
PD24327a	6	27641958	29519848	2	1	3	1
PD24327a	6	29520464	33858199	2	1	2	1
PD24327a	6	33862633	34355658	2	1	15	1
PD24327a	6	34381937	34828553	2	1	7	1
PD24327a	6	34838577	51989171	2	1	2	1
PD24327a	6	51990098	52860375	2	1	3	1
PD24327a	6	52861204	54656673	2	1	2	1
PD24327a	6	54667963	54869236	2	1	3	1
PD24327a	6	54875326	55391815	2	1	2	1
PD24327a	6	55395820	78718367	2	1	3	1
PD24327a	6	78719322	80090950	2	1	4	1
PD24327a	6	80094171	81481354	2	1	4	2
PD24327a	6	81482659	121313541	2	1	3	1
PD24327a	6	121313859	125631559	2	1	4	2
PD24327a	6	125633031	170918031	2	1	3	1
PD24327a	7	43259	87973	2	1	3	0
PD24327a	7	92525	6084310	2	1	3	1
PD24327a	7	6090727	71523701	2	1	4	2
PD24327a	7	71525153	79099739	2	1	3	1
PD24327a	7	79103536	107451045	2	1	4	2
PD24327a	7	107451211	159119220	2	1	3	1
PD24327a	8	161222	16087729	2	1	3	1
PD24327a	8	16088984	146293414	2	1	4	2
PD24327a	9	46587	141071475	2	1	3	1
PD24327a	10	104427	28011543	2	1	3	1
PD24327a	10	28017572	32454269	2	1	2	0
PD24327a	10	32456639	94486842	2	1	3	1
PD24327a	10	94499577	97028413	2	1	2	0
PD24327a	10	97031716	113005434	2	1	2	1
PD24327a	10	113005664	127308741	2	1	4	1
PD24327a	10	127308873	135434551	2	1	3	1
PD24327a	11	206767	28535612	2	1	3	1
PD24327a	11	28537265	32196933	2	1	2	1
PD24327a	11	32197320	32494962	2	1	5	1
PD24327a	11	32495550	33884703	2	1	7	1
PD24327a	11	33885268	34625582	2	1	5	1
PD24327a	11	34626234	35362489	2	1	4	1
PD24327a	11	35362952	36023801	2	1	3	1
PD24327a	11	36027643	36952592	2	1	11	1
PD24327a	11	36959006	37380312	2	1	15	1
PD24327a	11	37385423	37876846	2	1	9	1
PD24327a	11	37881261	69308575	2	1	3	1
PD24327a	11	69318091	70071755	2	1	14	1
PD24327a	11	70076587	70262379	2	1	7	0
PD24327a	11	70263351	70267026	2	1	8	0
PD24327a	11	70274191	70560051	2	1	4	1
PD24327a	11	70565076	70807773	2	1	6	1
PD24327a	11	70808064	70937214	2	1	3	1
PD24327a	11	70943302	71464076	2	1	5	1
PD24327a	11	71481663	74465576	2	1	3	1
PD24327a	11	74481318	79466961	2	1	4	1
PD24327a	11	79470333	79490091	2	1	2	0
PD24327a	11	79490143	79522805	2	1	3	1
PD24327a	11	79529181	134926811	2	1	2	1
PD24327a	11	134927447	134944770	2	1	4	2
PD24327a	12	161382	1982151	2	1	2	0
PD24327a	12	1983782	2178760	2	1	4	2
PD24327a	12	2178929	2250068	2	1	3	0
PD24327a	12	2260754	7918460	2	1	2	0
PD24327a	12	7922446	10554074	2	1	10	2
PD24327a	12	10560591	10704691	2	1	13	3
PD24327a	12	10705382	10711848	2	1	10	2
PD24327a	12	10712533	10817611	2	1	14	2
PD24327a	12	10817657	10817860	2	1	18	2
PD24327a	12	10817943	10841665	2	1	15	2
PD24327a	12	10843836	11407205	2	1	20	2
PD24327a	12	11421721	11948053	2	1	13	2
PD24327a	12	11951115	19306444	2	1	2	0
PD24327a	12	19309250	19377578	2	1	15	3
PD24327a	12	19378309	19479648	2	1	11	3
PD24327a	12	19485357	20645903	2	1	2	0
PD24327a	12	20648584	133777645	2	1	4	2
PD24327a	13	19045720	20163413	2	1	5	0
PD24327a	13	20169564	21800970	2	1	10	0
PD24327a	13	21801501	21946650	2	1	6	0
PD24327a	13	21947766	24762957	2	1	10	0
PD24327a	13	24764876	25012217	2	1	6	0
PD24327a	13	25013023	25503836	2	1	3	0
PD24327a	13	25507339	26383562	2	1	5	0
PD24327a	13	26384580	26881949	2	1	2	0
PD24327a	13	26898489	27236887	2	1	17	0
PD24327a	13	27238475	28728133	2	1	10	0
PD24327a	13	28730023	29219125	2	1	1	0
PD24327a	13	29226217	36945310	2	1	2	0
PD24327a	13	36945593	38245693	2	1	3	0
PD24327a	13	38250211	45019918	2	1	2	0
PD24327a	13	45023358	45595547	2	1	12	0
PD24327a	13	45595975	47624868	2	1	15	0
PD24327a	13	47630046	47908376	2	1	12	0
PD24327a	13	47921149	48371210	2	1	2	0
PD24327a	13	48376575	48393070	2	1	11	2
PD24327a	13	48393350	49531002	2	1	11	0
PD24327a	13	49531551	50019376	2	1	3	0
PD24327a	13	50022089	50292244	2	1	6	0
PD24327a	13	50322333	52699834	2	1	3	0
PD24327a	13	52701782	53183300	2	1	6	1
PD24327a	13	53199837	53686485	2	1	2	0
PD24327a	13	53696774	54732465	2	1	5	0
PD24327a	13	54736295	60480774	2	1	3	0
PD24327a	13	60481730	64486255	2	1	2	0
PD24327a	13	64491365	66890324	2	1	3	1
PD24327a	13	66891316	67396311	2	1	4	1
PD24327a	13	67397239	74402009	2	1	3	1
PD24327a	13	74406294	90049940	2	1	2	1
PD24327a	13	90057665	91311891	2	1	3	1
PD24327a	13	91327650	91645763	2	1	2	1
PD24327a	13	91646178	115106996	2	1	3	1
PD24327a	14	20211644	50474607	2	1	3	1
PD24327a	14	50478230	62565466	2	1	4	2
PD24327a	14	62569592	78260903	2	1	3	1
PD24327a	14	78263196	96659673	2	1	4	2
PD24327a	14	96660006	107285437	2	1	3	1
PD24327a	15	20071673	90778486	2	1	3	1
PD24327a	15	90788884	90801584	2	1	6	3
PD24327a	15	90809633	102400037	2	1	3	1
PD24327a	16	91010	4774237	2	1	4	2
PD24327a	16	4780262	35205717	2	1	3	1
PD24327a	16	46534977	82274679	2	1	4	2
PD24327a	16	82275804	82292236	2	1	3	1
PD24327a	16	82294576	90163275	2	1	4	2
PD24327a	17	6689	25343371	2	1	2	0
PD24327a	17	25346692	25685052	2	1	4	2
PD24327a	17	25686369	25865588	2	1	2	0
PD24327a	17	25866550	72169114	2	1	4	2
PD24327a	17	72169577	81048659	2	1	5	2
PD24327a	18	100949	78015057	2	1	3	1
PD24327a	19	260912	3336539	2	1	2	0
PD24327a	19	3342306	4673514	2	1	7	2
PD24327a	19	4674799	6790326	2	1	3	1
PD24327a	19	6791879	8946899	2	1	2	0
PD24327a	19	8949359	11727503	2	1	4	2
PD24327a	19	11755737	12995422	2	1	2	0
PD24327a	19	13007458	20465101	2	1	3	1
PD24327a	19	20473553	20736828	2	1	2	0
PD24327a	19	20738321	20784861	2	1	1	0
PD24327a	19	20789504	28141689	2	1	3	1
PD24327a	19	28144500	28451265	2	1	2	0
PD24327a	19	28455730	59095126	2	1	3	1
PD24327a	20	61795	29505893	2	1	4	2
PD24327a	20	29529825	33016358	2	1	2	0
PD24327a	20	33020446	33133184	2	1	5	1
PD24327a	20	33161225	33674460	2	1	28	2
PD24327a	20	33689308	33993091	2	1	20	2
PD24327a	20	34001250	34048161	2	1	10	1
PD24327a	20	34055706	34345396	2	1	12	3
PD24327a	20	34414318	34822315	2	1	13	2
PD24327a	20	34828609	35236601	2	1	9	2
PD24327a	20	35237325	35706751	2	1	5	2
PD24327a	20	35717715	36022539	2	1	10	2
PD24327a	20	36037474	36698920	2	1	12	2
PD24327a	20	36704332	37551468	2	1	7	2
PD24327a	20	37563352	37987560	2	1	6	3
PD24327a	20	37988454	38300311	2	1	8	2
PD24327a	20	38300925	38628316	2	1	6	2
PD24327a	20	38630778	38849765	2	1	10	2
PD24327a	20	38851190	38947208	2	1	6	2
PD24327a	20	38951541	39247356	2	1	3	1
PD24327a	20	39255548	39811275	2	1	5	2
PD24327a	20	39813006	40162911	2	1	6	2
PD24327a	20	40170873	40464733	2	1	9	2
PD24327a	20	40464794	40714097	2	1	6	2
PD24327a	20	40717079	40994094	2	1	7	2
PD24327a	20	40995072	41179116	2	1	16	3
PD24327a	20	41181079	41202830	2	1	7	1
PD24327a	20	41202958	41879662	2	1	6	2
PD24327a	20	41879728	42073457	2	1	4	2
PD24327a	20	42073941	43377870	2	1	3	1
PD24327a	20	43378270	43665832	2	1	2	0
PD24327a	20	43677784	44250487	2	1	6	2
PD24327a	20	44255051	44554686	2	1	9	2
PD24327a	20	44560401	44943299	2	1	2	0
PD24327a	20	44947766	47160630	2	1	4	2
PD24327a	20	47164777	48266292	2	1	6	3
PD24327a	20	48266705	49488333	2	1	4	2
PD24327a	20	49489520	49493745	2	1	4	1
PD24327a	20	49495389	49671435	2	1	8	2
PD24327a	20	49679262	50122507	2	1	5	2
PD24327a	20	50130865	50285479	2	1	4	2
PD24327a	20	50287925	50324054	2	1	6	2
PD24327a	20	50326278	50426860	2	1	4	1
PD24327a	20	50437573	50756374	2	1	7	2
PD24327a	20	50772431	51098633	2	1	10	2
PD24327a	20	51099214	51246672	2	1	8	2
PD24327a	20	51258295	51994925	2	1	6	2
PD24327a	20	51997277	52049183	2	1	10	2
PD24327a	20	52050328	53168776	2	1	8	2
PD24327a	20	53172928	54102274	2	1	5	2
PD24327a	20	54102805	54410935	2	1	4	2
PD24327a	20	54420627	54866159	2	1	10	2
PD24327a	20	54872859	55569277	2	1	12	2
PD24327a	20	55569502	55664961	2	1	8	2
PD24327a	20	55676859	56337814	2	1	11	2
PD24327a	20	56348590	56932558	2	1	18	2
PD24327a	20	56936747	57165178	2	1	10	2
PD24327a	20	57165395	57929394	2	1	6	2
PD24327a	20	57932023	57976486	2	1	4	2
PD24327a	20	57984870	58088597	2	1	14	3
PD24327a	20	58090667	59426580	2	1	5	2
PD24327a	20	59433407	59624948	2	1	14	2
PD24327a	20	59625347	60130351	2	1	9	2
PD24327a	20	60131514	61790616	2	1	5	2
PD24327a	20	61791453	62912463	2	1	4	1
PD24327a	21	10913441	31037972	2	1	4	2
PD24327a	21	31039378	48084820	2	1	3	1
PD24327a	22	16055171	51219006	2	1	3	1
PD24327a	X	169805	101037606	2	1	4	2
PD24327a	X	101040294	155233846	2	1	3	1
PD24327a	Y	2649553	59033810	0	0	0	0
PD9577a	1	61735	10704070	2	1	2	1
PD9577a	1	10708396	10900524	2	1	3	1
PD9577a	1	10905365	25899300	2	1	1	0
PD9577a	1	25900240	30376692	2	1	2	1
PD9577a	1	30376728	30794414	2	1	1	0
PD9577a	1	30794569	34265969	2	1	2	1
PD9577a	1	34267707	34366552	2	1	1	0
PD9577a	1	34368165	41694944	2	1	2	1
PD9577a	1	41701496	46471305	2	1	1	0
PD9577a	1	46471984	47125185	2	1	2	1
PD9577a	1	47126706	47954511	2	1	1	0
PD9577a	1	47955427	55491615	2	1	2	1
PD9577a	1	55495744	58846176	2	1	1	0
PD9577a	1	58846936	78766729	2	1	2	1
PD9577a	1	78766839	80005464	2	1	1	0
PD9577a	1	80005943	81461618	2	1	2	1
PD9577a	1	81465078	84732779	2	1	1	0
PD9577a	1	84732963	109256135	2	1	2	1
PD9577a	1	109256426	111360545	2	1	1	0
PD9577a	1	111363440	111465285	2	1	0	0
PD9577a	1	111466363	112592246	2	1	2	1
PD9577a	1	112594111	118067306	2	1	1	0
PD9577a	1	118068934	162047553	2	1	2	1
PD9577a	1	162049788	162064506	2	1	1	0
PD9577a	1	162064587	192586309	2	1	2	1
PD9577a	1	192586369	192589198	2	1	0	0
PD9577a	1	192589418	215520135	2	1	2	1
PD9577a	1	215524459	219899796	2	1	1	0
PD9577a	1	219900864	237617365	2	1	2	1
PD9577a	1	237617399	237671043	2	1	4	2
PD9577a	1	237671102	249224388	2	1	2	1
PD9577a	2	12784	86207431	2	1	2	1
PD9577a	2	86208780	86210171	2	1	7	3
PD9577a	2	86210273	92305784	2	1	3	1
PD9577a	2	95327887	140053341	2	1	2	1
PD9577a	2	140056052	140058903	2	1	5	2
PD9577a	2	140059446	177609875	2	1	2	1
PD9577a	2	177612308	177648497	2	1	4	2
PD9577a	2	177648762	243089456	2	1	2	1
PD9577a	3	60345	1480045	2	1	2	1
PD9577a	3	1480423	1496821	2	1	5	3
PD9577a	3	1497653	38347851	2	1	2	1
PD9577a	3	38348743	38350630	2	1	6	3
PD9577a	3	38352136	163703401	2	1	2	1
PD9577a	3	163704505	163714586	2	1	5	2
PD9577a	3	163714937	171277333	2	1	2	1
PD9577a	3	171277620	171302066	2	1	4	2
PD9577a	3	171302402	172404542	2	1	2	1
PD9577a	3	172404593	172527977	2	1	3	1
PD9577a	3	172528034	197896118	2	1	2	1
PD9577a	4	12281	69344612	2	1	2	1
PD9577a	4	69360488	69528959	2	1	6	0
PD9577a	4	69536788	83658447	2	1	2	1
PD9577a	4	83659028	83660948	2	1	7	4
PD9577a	4	83661258	92244076	2	1	2	1
PD9577a	4	92244300	92250403	2	1	7	3
PD9577a	4	92252092	191027923	2	1	2	1
PD9577a	5	15532	57319482	2	1	2	1
PD9577a	5	57321586	57342152	2	1	14	7
PD9577a	5	57351813	77798773	2	1	2	1
PD9577a	5	77799158	77825800	2	1	1	0
PD9577a	5	77826346	77844982	2	1	4	2
PD9577a	5	77848586	111141976	2	1	2	1
PD9577a	5	111142040	119091070	2	1	1	0
PD9577a	5	119095074	119766487	2	1	2	1
PD9577a	5	119768312	123850763	2	1	1	0
PD9577a	5	123850956	123905207	2	1	2	0
PD9577a	5	123908163	141671783	2	1	2	1
PD9577a	5	141673421	141685730	2	1	5	2
PD9577a	5	141686532	150463695	2	1	2	1
PD9577a	5	150467329	150523163	2	1	3	2
PD9577a	5	150525150	180790320	2	1	2	1
PD9577a	6	149661	30334339	2	1	1	0
PD9577a	6	30340086	30347720	2	1	0	0
PD9577a	6	30347833	38988999	2	1	1	0
PD9577a	6	38990709	39308207	2	1	2	0
PD9577a	6	39308439	55986891	2	1	1	0
PD9577a	6	55988519	56004506	2	1	0	0
PD9577a	6	56009638	78962874	2	1	1	0
PD9577a	6	78962889	79035185	2	1	0	0
PD9577a	6	79039234	171051005	2	1	1	0
PD9577a	7	43259	22202117	2	1	1	0
PD9577a	7	22202485	26385540	2	1	2	1
PD9577a	7	26385660	29738792	2	1	1	0
PD9577a	7	29739055	34884439	2	1	2	1
PD9577a	7	34886558	35772982	2	1	1	0
PD9577a	7	35774169	36079060	2	1	2	1
PD9577a	7	36079237	36117329	2	1	2	0
PD9577a	7	36117437	39930518	2	1	2	1
PD9577a	7	39930679	41071809	2	1	1	0
PD9577a	7	41071830	130883958	2	1	2	1
PD9577a	7	130884163	130899181	2	1	5	3
PD9577a	7	130899641	159127004	2	1	2	1
PD9577a	8	31254	10995185	2	1	2	1
PD9577a	8	10995565	11243934	2	1	1	1
PD9577a	8	11244676	21224908	2	1	2	1
PD9577a	8	21224939	31808094	2	1	1	0
PD9577a	8	31808119	146298155	2	1	2	1
PD9577a	9	37747	3134738	2	1	2	1
PD9577a	9	3135046	3135193	2	1	0	0
PD9577a	9	3137759	10225500	2	1	2	1
PD9577a	9	10225533	11711756	2	1	1	0
PD9577a	9	11711811	77115111	2	1	2	1
PD9577a	9	77123389	77131588	2	1	6	2
PD9577a	9	77133459	89589210	2	1	2	1
PD9577a	9	89589319	89594294	2	1	7	3
PD9577a	9	89595686	95786388	2	1	2	1
PD9577a	9	95788623	95829806	2	1	4	2
PD9577a	9	95830648	117022495	2	1	2	1
PD9577a	9	117022981	117032189	2	1	7	3
PD9577a	9	117032448	137595066	2	1	2	1
PD9577a	9	137596271	137596413	2	1	0	0
PD9577a	9	137596453	141091394	2	1	2	1
PD9577a	10	72759	39076221	2	1	2	1
PD9577a	10	42433540	48639880	2	1	1	0
PD9577a	10	48643656	54396996	2	1	2	1
PD9577a	10	54397016	56583688	2	1	1	0
PD9577a	10	56584196	58360996	2	1	2	1
PD9577a	10	58362343	59340730	2	1	1	0
PD9577a	10	59341560	105941044	2	1	2	1
PD9577a	10	105941240	106585828	2	1	1	0
PD9577a	10	106588269	106940486	2	1	2	1
PD9577a	10	106941007	107513137	2	1	2	0
PD9577a	10	107517078	112072178	2	1	1	0
PD9577a	10	112072502	120452672	2	1	2	1
PD9577a	10	120453168	122719834	2	1	1	0
PD9577a	10	122720174	123107395	2	1	2	1
PD9577a	10	123109599	123442734	2	1	3	1
PD9577a	10	123442744	134544899	2	1	1	0
