ENSRNOG00000065359	ENSRNOT00000116931	7	-1	340974	342280	lncRNA
ENSRNOG00000065359	ENSRNOT00000119885	7	-1	341022	342280	lncRNA
ENSRNOG00000067773	ENSRNOT00000098636	7	-1	348423	352322	protein_coding
ENSRNOG00000067773	ENSRNOT00000051488	7	-1	348423	352322	protein_coding
ENSRNOG00000031612	ENSRNOT00000110409	7	1	617478	633157	Gls2	protein_coding
ENSRNOG00000031612	ENSRNOT00000104921	7	1	617478	633157	Gls2	protein_coding
ENSRNOG00000031612	ENSRNOT00000115333	7	1	617478	633157	Gls2	protein_coding
ENSRNOG00000031612	ENSRNOT00000108990	7	1	617730	633157	Gls2	protein_coding
ENSRNOG00000031612	ENSRNOT00000099901	7	1	622140	633426	Gls2	protein_coding
ENSRNOG00000003127	ENSRNOT00000004173	7	-1	633394	635379	Spryd4	protein_coding
ENSRNOG00000003127	ENSRNOT00000106511	7	-1	633419	637557	Spryd4	protein_coding
ENSRNOG00000003132	ENSRNOT00000004223	7	1	647315	654400	Mip	protein_coding
ENSRNOG00000031916	ENSRNOT00000047241	7	1	654822	678738	Timeless	protein_coding
ENSRNOG00000031916	ENSRNOT00000083899	7	1	654822	678738	Timeless	protein_coding
ENSRNOG00000031916	ENSRNOT00000116339	7	1	654822	678738	Timeless	protein_coding
ENSRNOG00000059498	ENSRNOT00000081068	7	1	678357	678463	LOC120093897	snRNA
ENSRNOG00000033466	ENSRNOT00000043908	7	-1	686927	688392	Apon	protein_coding
ENSRNOG00000062320	ENSRNOT00000094145	7	1	700762	701946	Apof	pseudogene
ENSRNOG00000031081	ENSRNOT00000049536	7	1	702495	718967	Stat2	protein_coding
ENSRNOG00000031081	ENSRNOT00000088201	7	1	702525	718967	Stat2	protein_coding
ENSRNOG00000003254	ENSRNOT00000004363	7	-1	721809	723923	Il23a	protein_coding
ENSRNOG00000032441	ENSRNOT00000097010	7	1	729562	746870	Pan2	protein_coding
ENSRNOG00000032441	ENSRNOT00000050792	7	1	729562	747744	Pan2	protein_coding
ENSRNOG00000003549	ENSRNOT00000105756	7	1	749008	754341	Cnpy2	protein_coding
ENSRNOG00000003549	ENSRNOT00000004895	7	1	749021	755519	Cnpy2	protein_coding
ENSRNOG00000003549	ENSRNOT00000106896	7	1	749156	754252	Cnpy2	protein_coding
ENSRNOG00000023520	ENSRNOT00000116919	7	1	758345	791421	Cs	protein_coding
ENSRNOG00000023520	ENSRNOT00000115725	7	1	763766	791421	Cs	protein_coding
ENSRNOG00000023520	ENSRNOT00000033726	7	1	763824	791419	Cs	protein_coding
ENSRNOG00000029571	ENSRNOT00000047530	7	-1	792089	797838	Coq10a	protein_coding
ENSRNOG00000029571	ENSRNOT00000086939	7	-1	792089	800161	Coq10a	protein_coding
ENSRNOG00000030597	ENSRNOT00000047462	7	1	806767	820481	Ankrd52	protein_coding
ENSRNOG00000030597	ENSRNOT00000115276	7	1	807183	820481	Ankrd52	protein_coding
ENSRNOG00000068026	ENSRNOT00000103965	7	1	821177	823635	lncRNA
ENSRNOG00000033361	ENSRNOT00000045547	7	-1	824818	830242	Slc39a5	protein_coding
ENSRNOG00000023480	ENSRNOT00000098497	7	-1	830949	836450	Nabp2	protein_coding
ENSRNOG00000023480	ENSRNOT00000031362	7	-1	830949	838027	Nabp2	protein_coding
ENSRNOG00000023480	ENSRNOT00000086656	7	-1	830950	836441	Nabp2	protein_coding
ENSRNOG00000023480	ENSRNOT00000111806	7	-1	830952	836499	Nabp2	protein_coding
ENSRNOG00000059833	ENSRNOT00000089572	7	-1	834295	834439	LOC120094016	snoRNA
ENSRNOG00000023456	ENSRNOT00000029778	7	1	838203	865511	Rnf41	protein_coding
ENSRNOG00000023456	ENSRNOT00000090689	7	1	840026	865511	Rnf41	protein_coding
ENSRNOG00000062455	ENSRNOT00000101954	7	1	868239	871842	lncRNA
ENSRNOG00000053801	ENSRNOT00000090034	7	1	880322	880449	LOC120093962	snoRNA
ENSRNOG00000031135	ENSRNOT00000100913	7	1	881421	909978	Smarcc2	protein_coding
ENSRNOG00000031135	ENSRNOT00000097786	7	1	881421	909978	Smarcc2	protein_coding
ENSRNOG00000031135	ENSRNOT00000028244	7	1	881933	909939	Smarcc2	protein_coding
ENSRNOG00000054140	ENSRNOT00000089074	7	-1	910774	933791	Myl6	protein_coding
ENSRNOG00000054140	ENSRNOT00000085644	7	-1	910775	914067	Myl6	protein_coding
ENSRNOG00000054140	ENSRNOT00000107790	7	-1	910778	914067	Myl6	protein_coding
ENSRNOG00000054140	ENSRNOT00000082518	7	-1	910779	913769	Myl6	protein_coding
ENSRNOG00000054140	ENSRNOT00000094248	7	-1	910855	913765	Myl6	protein_coding
ENSRNOG00000054140	ENSRNOT00000099810	7	-1	911210	913806	Myl6	protein_coding
ENSRNOG00000028837	ENSRNOT00000048453	7	-1	914081	917294	LOC120093525	protein_coding
ENSRNOG00000060753	ENSRNOT00000082107	7	-1	928848	946199	Esyt1	protein_coding
ENSRNOG00000043026	ENSRNOT00000067441	7	-1	966426	966860	Rps15-ps2	protein_coding
ENSRNOG00000040281	ENSRNOT00000105251	7	-1	972855	979349	Zc3h10	protein_coding
ENSRNOG00000040281	ENSRNOT00000106284	7	-1	972986	977454	Zc3h10	protein_coding
ENSRNOG00000040281	ENSRNOT00000061995	7	-1	973414	978921	Zc3h10	protein_coding
ENSRNOG00000004904	ENSRNOT00000096767	7	-1	983971	991705	Pa2g4	protein_coding
ENSRNOG00000004904	ENSRNOT00000096142	7	-1	983971	992331	Pa2g4	protein_coding
ENSRNOG00000004904	ENSRNOT00000006578	7	-1	984807	992331	Pa2g4	protein_coding
ENSRNOG00000004904	ENSRNOT00000081125	7	-1	985579	992286	Pa2g4	protein_coding
ENSRNOG00000004964	ENSRNOT00000117138	7	-1	996225	1012566	Erbb3	protein_coding
ENSRNOG00000004964	ENSRNOT00000006796	7	-1	996225	1015525	Erbb3	protein_coding
ENSRNOG00000004964	ENSRNOT00000102209	7	-1	996225	1015525	Erbb3	protein_coding
ENSRNOG00000004964	ENSRNOT00000115760	7	-1	996225	1015525	Erbb3	protein_coding
ENSRNOG00000004964	ENSRNOT00000097232	7	-1	996225	1015525	Erbb3	protein_coding
ENSRNOG00000005535	ENSRNOT00000019738	7	-1	1056890	1079907	Ikzf4	protein_coding
ENSRNOG00000005535	ENSRNOT00000120270	7	-1	1063839	1079907	Ikzf4	protein_coding
ENSRNOG00000005535	ENSRNOT00000119994	7	-1	1063839	1084341	Ikzf4	protein_coding
ENSRNOG00000064715	ENSRNOT00000112968	7	-1	1085119	1086195	lncRNA
ENSRNOG00000005987	ENSRNOT00000108072	7	-1	1103151	1105518	Suox	protein_coding
ENSRNOG00000005987	ENSRNOT00000008018	7	-1	1103152	1107038	Suox	protein_coding
ENSRNOG00000006130	ENSRNOT00000061878	7	-1	1109454	1128268	Rab5b	protein_coding
ENSRNOG00000006130	ENSRNOT00000099796	7	-1	1109459	1119940	Rab5b	protein_coding
ENSRNOG00000006130	ENSRNOT00000120020	7	-1	1109468	1119561	Rab5b	protein_coding
ENSRNOG00000006469	ENSRNOT00000031963	7	-1	1129811	1137385	Cdk2	protein_coding
ENSRNOG00000006469	ENSRNOT00000101553	7	-1	1129879	1137403	Cdk2	protein_coding
ENSRNOG00000023085	ENSRNOT00000049972	7	1	1138586	1148746	Pmel	protein_coding
ENSRNOG00000023085	ENSRNOT00000112501	7	1	1139958	1148746	Pmel	protein_coding
ENSRNOG00000022943	ENSRNOT00000102609	7	-1	1148735	1167877	Dgka	protein_coding
ENSRNOG00000022943	ENSRNOT00000103403	7	-1	1148739	1174844	Dgka	protein_coding
ENSRNOG00000022943	ENSRNOT00000036373	7	-1	1148750	1175110	Dgka	protein_coding
ENSRNOG00000066475	ENSRNOT00000110952	7	-1	1169039	1178734	protein_coding
ENSRNOG00000058130	ENSRNOT00000095627	7	1	1178008	1198937	Pym1	protein_coding
ENSRNOG00000058130	ENSRNOT00000106303	7	1	1178144	1198860	Pym1	protein_coding
ENSRNOG00000058130	ENSRNOT00000112561	7	1	1178522	1198739	Pym1	protein_coding
ENSRNOG00000058130	ENSRNOT00000092037	7	1	1197403	1198929	Pym1	protein_coding
ENSRNOG00000068109	ENSRNOT00000103660	7	-1	1199402	1200816	lncRNA
ENSRNOG00000006778	ENSRNOT00000008909	7	1	1221343	1229555	Mmp19	protein_coding
ENSRNOG00000006827	ENSRNOT00000008929	7	-1	1229711	1234045	Tmem198b	protein_coding
ENSRNOG00000006844	ENSRNOT00000037332	7	1	1235162	1248645	Dnajc14	protein_coding
ENSRNOG00000030120	ENSRNOT00000044292	7	-1	1246479	1250907	Ormdl2	protein_coding
ENSRNOG00000030520	ENSRNOT00000009155	7	1	1251098	1305323	Sarnp	protein_coding
ENSRNOG00000030520	ENSRNOT00000112138	7	1	1251226	1305332	Sarnp	protein_coding
ENSRNOG00000030520	ENSRNOT00000096123	7	1	1251243	1305329	Sarnp	protein_coding
ENSRNOG00000030520	ENSRNOT00000101436	7	1	1255069	1305331	Sarnp	protein_coding
ENSRNOG00000007610	ENSRNOT00000010035	7	-1	1311732	1320725	Gdf11	protein_coding
ENSRNOG00000007650	ENSRNOT00000093823	7	1	1325103	1340444	Cd63	protein_coding
ENSRNOG00000007650	ENSRNOT00000090381	7	1	1337616	1340436	Cd63	protein_coding
ENSRNOG00000007650	ENSRNOT00000114033	7	1	1337637	1340445	Cd63	protein_coding
ENSRNOG00000007650	ENSRNOT00000010180	7	1	1337646	1399178	Cd63	protein_coding
ENSRNOG00000007650	ENSRNOT00000095354	7	1	1337715	1340451	Cd63	protein_coding
ENSRNOG00000007784	ENSRNOT00000081756	7	-1	1340934	1346809	Bloc1s1	protein_coding
ENSRNOG00000007784	ENSRNOT00000105370	7	-1	1345564	1351115	Bloc1s1	protein_coding
ENSRNOG00000007784	ENSRNOT00000116884	7	-1	1347495	1351111	Bloc1s1	protein_coding
ENSRNOG00000007784	ENSRNOT00000010380	7	-1	1347495	1351115	Bloc1s1	protein_coding
ENSRNOG00000007784	ENSRNOT00000099202	7	-1	1347495	1351558	Bloc1s1	protein_coding
ENSRNOG00000007905	ENSRNOT00000061657	7	1	1359940	1388450	Itga7	protein_coding
ENSRNOG00000007927	ENSRNOT00000010760	7	-1	1388879	1391526	Mettl7b	protein_coding
ENSRNOG00000067859	ENSRNOT00000110955	7	1	1430924	1431862	Olr876	protein_coding
ENSRNOG00000064513	ENSRNOT00000045810	7	1	1437368	1438306	Or10p22	protein_coding
ENSRNOG00000043299	ENSRNOT00000066301	7	-1	1452056	1466661	Or6c63	protein_coding
ENSRNOG00000067581	ENSRNOT00000096256	7	-1	1466781	1470704	lncRNA
ENSRNOG00000067581	ENSRNOT00000103858	7	-1	1467971	1470704	lncRNA
ENSRNOG00000043334	ENSRNOT00000064311	7	-1	1501940	1507336	OR6c8	protein_coding
ENSRNOG00000043438	ENSRNOT00000064380	7	-1	1546316	1547254	Or6c38	protein_coding
ENSRNOG00000064889	ENSRNOT00000119064	7	-1	1591025	1595787	Olfr769	protein_coding
ENSRNOG00000043125	ENSRNOT00000065917	7	-1	1643539	1650514	Or6c201	protein_coding
ENSRNOG00000062664	ENSRNOT00000111983	7	-1	1722839	1723774	Or6c203b	pseudogene
ENSRNOG00000070683	ENSRNOT00000081851	7	-1	1767230	1772159	Olr908	protein_coding
ENSRNOG00000070683	ENSRNOT00000043749	7	-1	1767234	1772159	Olr908	protein_coding
ENSRNOG00000070290	ENSRNOT00000104178	7	1	1783643	1784985	lncRNA
ENSRNOG00000064864	ENSRNOT00000109872	7	-1	1783745	1784363	pseudogene
ENSRNOG00000064174	ENSRNOT00000072301	7	-1	1799238	1816490	Or6c203	protein_coding
ENSRNOG00000048201	ENSRNOT00000040030	7	1	1821264	1822202	Or6c206	protein_coding
ENSRNOG00000065551	ENSRNOT00000113424	7	1	1844268	1848242	Or6c206	protein_coding
ENSRNOG00000065551	ENSRNOT00000095021	7	1	1844273	1847571	Or6c206	protein_coding
ENSRNOG00000032529	ENSRNOT00000045741	7	-1	1876711	1877630	Or6c210-ps1	pseudogene
ENSRNOG00000064899	ENSRNOT00000050898	7	-1	1899766	1900701	Or6c35	protein_coding
ENSRNOG00000067036	ENSRNOT00000071164	7	-1	1969945	1970889	Or6c6i	protein_coding
ENSRNOG00000069328	ENSRNOT00000112272	7	1	2040720	2045749	Or6c208	protein_coding
ENSRNOG00000069127	ENSRNOT00000040141	7	1	2092631	2101801	Or6c1h	protein_coding
ENSRNOG00000069127	ENSRNOT00000061633	7	1	2092638	2101801	Or6c1h	protein_coding
ENSRNOG00000065705	ENSRNOT00000090661	7	1	2126405	2127340	Or6c3d	protein_coding
ENSRNOG00000069509	ENSRNOT00000120305	7	1	2146602	2147537	Or6c7c-ps1	pseudogene
ENSRNOG00000065284	ENSRNOT00000110903	7	1	2182984	2189667	Olfr791	protein_coding
ENSRNOG00000043382	ENSRNOT00000071699	7	1	2207951	2208886	Or6c66f-ps1	pseudogene
ENSRNOG00000069689	ENSRNOT00000047673	7	1	2253917	2258555	Or6c88	protein_coding
ENSRNOG00000056878	ENSRNOT00000077369	7	1	2315252	2316488	AABR07055492.1	protein_coding
ENSRNOG00000063008	ENSRNOT00000051699	7	1	2513776	2526281	Or6c35f	protein_coding
ENSRNOG00000065522	ENSRNOT00000075032	7	1	2548521	2549471	Or6c210b-ps1	protein_coding
ENSRNOG00000068119	ENSRNOT00000100082	7	-1	2559458	2560395	Or6c1f-ps1	pseudogene
ENSRNOG00000063628	ENSRNOT00000085960	7	1	2577393	2577514	LOC120093998	snoRNA
ENSRNOG00000064169	ENSRNOT00000072038	7	-1	2625041	2628955	protein_coding
ENSRNOG00000063627	ENSRNOT00000119932	7	-1	2655236	2656168	LOC288803	pseudogene
ENSRNOG00000070604	ENSRNOT00000104309	7	-1	2714117	2715052	Or6c203	pseudogene
ENSRNOG00000065582	ENSRNOT00000105888	7	-1	2806229	2807161	Olr920	protein_coding
ENSRNOG00000068317	ENSRNOT00000047899	7	-1	2829238	2830173	Or6c35d	protein_coding
ENSRNOG00000070603	ENSRNOT00000073630	7	-1	2861309	2864319	Or6c6f	protein_coding
ENSRNOG00000070603	ENSRNOT00000108737	7	-1	2861335	2864319	Or6c6f	protein_coding
ENSRNOG00000055214	ENSRNOT00000083311	7	-1	2870843	2870974	LOC120093978	snoRNA
ENSRNOG00000059158	ENSRNOT00000092176	7	-1	2929492	2929600	LOC120094002	snoRNA
ENSRNOG00000000958	ENSRNOT00000001268	7	-1	2942302	2943416	AABR07055943.1	pseudogene
ENSRNOG00000063567	ENSRNOT00000050751	7	1	2992321	2993283	Or10u3b	protein_coding
ENSRNOG00000047264	ENSRNOT00000044977	7	1	3102570	3103508	Or6c70	protein_coding
ENSRNOG00000066966	ENSRNOT00000105744	7	-1	3121741	3122676	Or6c76b	protein_coding
ENSRNOG00000065595	ENSRNOT00000101510	7	1	3172241	3173184	Or6c76-ps1	pseudogene
ENSRNOG00000069078	ENSRNOT00000109021	7	-1	3192791	3193732	Olr936	protein_coding
ENSRNOG00000049098	ENSRNOT00000050023	7	1	3232698	3233633	Or6c214b	protein_coding
ENSRNOG00000067057	ENSRNOT00000114939	7	-1	3264812	3264935	LOC120093997	snoRNA
ENSRNOG00000066391	ENSRNOT00000106394	7	-1	3388200	3392130	Olr943	protein_coding
ENSRNOG00000002333	ENSRNOT00000003174	7	-1	3511569	3512507	Olr947	protein_coding
ENSRNOG00000067854	ENSRNOT00000111355	7	1	3519150	3526798	pseudogene
ENSRNOG00000066150	ENSRNOT00000118311	7	-1	3605591	3605714	LOC120093983	snoRNA
ENSRNOG00000062619	ENSRNOT00000103035	7	1	3606891	3610002	Olr952	protein_coding
ENSRNOG00000062619	ENSRNOT00000078290	7	1	3606954	3610002	Olr952	protein_coding
ENSRNOG00000056595	ENSRNOT00000084203	7	1	3664856	3665809	Or6c202	protein_coding
ENSRNOG00000070129	ENSRNOT00000085061	7	1	3713826	3714764	Or6c69e	protein_coding
ENSRNOG00000067435	ENSRNOT00000105912	7	1	3776499	3777440	Or6c213f	protein_coding
ENSRNOG00000069974	ENSRNOT00000051670	7	-1	3822551	3823495	Olr951	protein_coding
ENSRNOG00000064494	ENSRNOT00000080732	7	-1	3830309	3830430	LOC120094003	snoRNA
ENSRNOG00000063839	ENSRNOT00000074329	7	1	3837460	3845149	Or6c1	protein_coding
ENSRNOG00000025340	ENSRNOT00000034404	7	-1	3895414	3896349	Or6c207b-ps1	pseudogene
ENSRNOG00000064471	ENSRNOT00000075337	7	-1	3919795	3931699	protein_coding
ENSRNOG00000065094	ENSRNOT00000093888	7	-1	4014986	4016271	protein_coding
ENSRNOG00000064226	ENSRNOT00000074121	7	-1	4232364	4233310	Olr974-ps	pseudogene
ENSRNOG00000039997	ENSRNOT00000061482	7	1	4352572	4353409	AABR07055527.1	protein_coding
ENSRNOG00000060866	ENSRNOT00000074969	7	-1	4461101	4464160	Or6c66b	protein_coding
ENSRNOG00000065854	ENSRNOT00000097651	7	-1	4484465	4485431	Or6c2c-ps1	pseudogene
ENSRNOG00000065664	ENSRNOT00000101932	7	-1	4540253	4542686	protein_coding
ENSRNOG00000069548	ENSRNOT00000051053	7	-1	4610671	4611630	Or6c212	protein_coding
ENSRNOG00000064972	ENSRNOT00000042179	7	1	4679488	4680375	Olr990	protein_coding
ENSRNOG00000067777	ENSRNOT00000113685	7	1	4694588	4696410	pseudogene
ENSRNOG00000070115	ENSRNOT00000094561	7	1	4769281	4774516	protein_coding
ENSRNOG00000070115	ENSRNOT00000072277	7	1	4769296	4774516	protein_coding
ENSRNOG00000063642	ENSRNOT00000114609	7	-1	4891111	4891359	processed_pseudogene
ENSRNOG00000065975	ENSRNOT00000105745	7	1	4936380	4949231	Olr995	protein_coding
ENSRNOG00000065975	ENSRNOT00000072656	7	1	4936380	4949231	Olr995	protein_coding
ENSRNOG00000028911	ENSRNOT00000051296	7	1	4971194	4972129	Or6c207	protein_coding
ENSRNOG00000058125	ENSRNOT00000034346	7	-1	5000256	5001195	Or6c1i-ps1	pseudogene
ENSRNOG00000066066	ENSRNOT00000113328	7	-1	5036390	5040967	Or6c213c	protein_coding
ENSRNOG00000069876	ENSRNOT00000104186	7	-1	5099665	5103611	Or6c69b	protein_coding
ENSRNOG00000069876	ENSRNOT00000097633	7	-1	5099665	5103771	Or6c69b	protein_coding
ENSRNOG00000066748	ENSRNOT00000071429	7	-1	5147601	5148535	Olr1004-ps	pseudogene
ENSRNOG00000032428	ENSRNOT00000051694	7	-1	5197831	5198781	Or6c68	protein_coding
ENSRNOG00000070116	ENSRNOT00000044587	7	-1	5226520	5227464	Or6c6b	protein_coding
ENSRNOG00000060993	ENSRNOT00000091180	7	-1	5236284	5236420	LOC120093980	snoRNA
ENSRNOG00000070885	ENSRNOT00000110586	7	1	5362978	5367644	Or6c7	protein_coding
ENSRNOG00000065865	ENSRNOT00000114249	7	1	5398500	5403735	Or6c75	protein_coding
ENSRNOG00000003347	ENSRNOT00000116630	7	-1	5470571	5478851	Or10p1	protein_coding
ENSRNOG00000003347	ENSRNOT00000004458	7	-1	5471609	5478851	Or10p1	protein_coding
ENSRNOG00000050212	ENSRNOT00000075246	7	1	5575811	5576691	Or6c35c-ps1	pseudogene
ENSRNOG00000063210	ENSRNOT00000097539	7	-1	5595271	5599518	Or6c211	protein_coding
ENSRNOG00000048637	ENSRNOT00000045619	7	-1	5617790	5618728	Or6c3b	protein_coding
ENSRNOG00000070006	ENSRNOT00000099228	7	1	5627966	5628089	LOC120093984	snoRNA
ENSRNOG00000025369	ENSRNOT00000035110	7	1	5640590	5641533	Or6c6d-ps1	pseudogene
ENSRNOG00000066941	ENSRNOT00000111339	7	-1	5664898	5672456	Or6c208	protein_coding
ENSRNOG00000066941	ENSRNOT00000051724	7	-1	5664898	5672456	Or6c208	protein_coding
ENSRNOG00000067061	ENSRNOT00000114713	7	-1	5787430	5794033	Or6c69d	protein_coding
ENSRNOG00000069805	ENSRNOT00000112394	7	1	5930951	5934196	protein_coding
ENSRNOG00000069805	ENSRNOT00000098566	7	1	5931295	5934196	protein_coding
ENSRNOG00000032682	ENSRNOT00000004472	7	1	5987335	5988303	Olr1039-ps	pseudogene
ENSRNOG00000064377	ENSRNOT00000071350	7	1	6207391	6220838	Olr1049	protein_coding
ENSRNOG00000064377	ENSRNOT00000079966	7	1	6212189	6220838	Olr1049	protein_coding
ENSRNOG00000070142	ENSRNOT00000094575	7	1	6250907	6251027	LOC120093999	snoRNA
ENSRNOG00000061776	ENSRNOT00000099573	7	-1	6294326	6298637	Or6c214	protein_coding
ENSRNOG00000061776	ENSRNOT00000086784	7	-1	6295157	6297682	Or6c214	protein_coding
ENSRNOG00000067519	ENSRNOT00000113980	7	1	6318314	6319300	Olr1052	protein_coding
ENSRNOG00000062586	ENSRNOT00000115721	7	-1	6373521	6374464	Olr1053-ps	pseudogene
ENSRNOG00000030191	ENSRNOT00000051359	7	-1	6422421	6423365	Or6c216	protein_coding
ENSRNOG00000066452	ENSRNOT00000105070	7	1	6451317	6452305	protein_coding
ENSRNOG00000067732	ENSRNOT00000114640	7	-1	6483840	6489795	Or6c69	protein_coding
ENSRNOG00000068582	ENSRNOT00000093916	7	-1	6518203	6523398	Or6c215	protein_coding
ENSRNOG00000031181	ENSRNOT00000051063	7	-1	6556087	6561179	Or6c219	protein_coding
ENSRNOG00000063559	ENSRNOT00000046955	7	-1	6575853	6576815	Or10u3	protein_coding
ENSRNOG00000066504	ENSRNOT00000047647	7	1	6646658	6647596	Or6c33	protein_coding
ENSRNOG00000008499	ENSRNOT00000011225	7	1	6659998	6664564	Or6c74	protein_coding
ENSRNOG00000065281	ENSRNOT00000048396	7	1	6678385	6679323	Or6c33b	protein_coding
ENSRNOG00000063178	ENSRNOT00000106675	7	1	6719499	6726116	Olfr822	protein_coding
ENSRNOG00000063653	ENSRNOT00000049954	7	-1	6774915	6775862	Or9r3b	protein_coding
ENSRNOG00000068489	ENSRNOT00000041565	7	-1	6808648	6809595	Or9r3	protein_coding
ENSRNOG00000033263	ENSRNOT00000044882	7	-1	6846678	6847622	Or9r3c	protein_coding
ENSRNOG00000008476	ENSRNOT00000011198	7	-1	6866872	6872699	Or9k2	protein_coding
ENSRNOG00000008464	ENSRNOT00000011188	7	-1	6981904	6986207	Or9k2b	protein_coding
ENSRNOG00000068277	ENSRNOT00000105859	7	-1	7017315	7024390	Or9k7	protein_coding
ENSRNOG00000066043	ENSRNOT00000109283	7	1	7064724	7064847	LOC120094039	snoRNA
ENSRNOG00000008449	ENSRNOT00000011167	7	-1	7090045	7102030	Neurod4	protein_coding
ENSRNOG00000051152	ENSRNOT00000075919	7	-1	7136861	7225511	LOC102549817	protein_coding
ENSRNOG00000051152	ENSRNOT00000076656	7	-1	7137516	7225513	LOC102549817	protein_coding
ENSRNOG00000051152	ENSRNOT00000076994	7	-1	7137516	7225513	LOC102549817	protein_coding
ENSRNOG00000051152	ENSRNOT00000070851	7	-1	7137715	7225513	LOC102549817	protein_coding
ENSRNOG00000065547	ENSRNOT00000108477	7	-1	7249310	7253425	lncRNA
ENSRNOG00000033583	ENSRNOT00000040134	7	1	7269927	7285884	LOC100910577	protein_coding
ENSRNOG00000033583	ENSRNOT00000042498	7	1	7269927	7286051	LOC100910577	protein_coding
ENSRNOG00000063922	ENSRNOT00000094179	7	1	7287515	7291935	lncRNA
ENSRNOG00000063922	ENSRNOT00000109808	7	1	7288867	7327827	lncRNA
ENSRNOG00000063922	ENSRNOT00000117659	7	1	7289444	7290044	lncRNA
ENSRNOG00000063922	ENSRNOT00000094658	7	1	7309323	7327827	lncRNA
ENSRNOG00000063922	ENSRNOT00000102399	7	1	7314514	7327827	lncRNA
ENSRNOG00000065526	ENSRNOT00000098113	7	-1	7330105	7345177	protein_coding
ENSRNOG00000069098	ENSRNOT00000099387	7	-1	7400301	7400788	protein_coding
ENSRNOG00000008398	ENSRNOT00000011102	7	-1	7402914	7407032	AABR07055789.1	pseudogene
ENSRNOG00000067221	ENSRNOT00000094313	7	-1	7420477	7421995	protein_coding
ENSRNOG00000071023	ENSRNOT00000095244	7	1	7459701	7484430	Zfp347	protein_coding
ENSRNOG00000071023	ENSRNOT00000115828	7	1	7460140	7484430	Zfp347	protein_coding
