ENSMUSG00000051951	ENSMUST00000070533	1	-1	3214482	3671498	Xkr4	protein_coding
ENSMUSG00000025909	ENSMUST00000132064	1	-1	8361475	9298573	Sntg1	protein_coding
ENSMUSG00000025909	ENSMUST00000191683	1	-1	8361475	9298864	Sntg1	protein_coding
ENSMUSG00000025909	ENSMUST00000140295	1	-1	8361475	9299238	Sntg1	protein_coding
ENSMUSG00000025909	ENSMUST00000115488	1	-1	8363475	8803943	Sntg1	protein_coding
ENSMUSG00000061024	ENSMUST00000072079	1	1	9545408	9547455	Rrs1	protein_coding
ENSMUSG00000025911	ENSMUST00000144177	1	1	9547948	9577970	Adhfe1	protein_coding
ENSMUSG00000067879	ENSMUST00000088666	1	1	9601199	9627143	Vxn	protein_coding
ENSMUSG00000025912	ENSMUST00000088658	1	-1	9667415	9700209	Mybl1	protein_coding
ENSMUSG00000025912	ENSMUST00000115468	1	-1	9669537	9700024	Mybl1	protein_coding
ENSMUSG00000025912	ENSMUST00000188212	1	-1	9681863	9699654	Mybl1	protein_coding
ENSMUSG00000045210	ENSMUST00000057438	1	-1	9718622	9748382	Vcpip1	protein_coding
ENSMUSG00000025915	ENSMUST00000166384	1	1	9798107	9900843	Sgk3	protein_coding
ENSMUSG00000025915	ENSMUST00000168907	1	1	9798143	9900845	Sgk3	protein_coding
ENSMUSG00000025915	ENSMUST00000171265	1	1	9848272	9900843	Sgk3	protein_coding
ENSMUSG00000025915	ENSMUST00000097826	1	1	9848397	9899853	Sgk3	protein_coding
ENSMUSG00000046101	ENSMUST00000052843	1	1	9908638	9922525	Mcmdc2	protein_coding
ENSMUSG00000046101	ENSMUST00000171802	1	1	9908638	9940954	Mcmdc2	protein_coding
ENSMUSG00000046101	ENSMUST00000125294	1	1	9908668	9940452	Mcmdc2	protein_coding
ENSMUSG00000046101	ENSMUST00000140948	1	1	9908670	9942085	Mcmdc2	protein_coding
ENSMUSG00000046101	ENSMUST00000118098	1	1	9911314	9921266	Mcmdc2	protein_coding
ENSMUSG00000099032	ENSMUST00000185184	1	-1	9960163	9967932	Tcf24	protein_coding
ENSMUSG00000099032	ENSMUST00000097824	1	-1	9960171	9962809	Tcf24	protein_coding
ENSMUSG00000025916	ENSMUST00000027049	1	-1	9968624	10009136	Ppp1r42	protein_coding
ENSMUSG00000025916	ENSMUST00000147000	1	-1	9968624	9985692	Ppp1r42	protein_coding
ENSMUSG00000025916	ENSMUST00000176398	1	-1	9978816	10009130	Ppp1r42	protein_coding
ENSMUSG00000025917	ENSMUST00000027050	1	-1	10024601	10038127	Cops5	protein_coding
ENSMUSG00000025917	ENSMUST00000188619	1	-1	10030687	10038149	Cops5	protein_coding
ENSMUSG00000056763	ENSMUST00000191012	1	1	10038006	10047534	Cspp1	protein_coding
ENSMUSG00000056763	ENSMUST00000071087	1	1	10038217	10136768	Cspp1	protein_coding
ENSMUSG00000056763	ENSMUST00000117415	1	1	10038262	10067118	Cspp1	protein_coding
ENSMUSG00000056763	ENSMUST00000118263	1	1	10039773	10067976	Cspp1	protein_coding
ENSMUSG00000056763	ENSMUST00000122156	1	1	10039773	10068333	Cspp1	protein_coding
ENSMUSG00000056763	ENSMUST00000119714	1	1	10039785	10067102	Cspp1	protein_coding
ENSMUSG00000056763	ENSMUST00000155974	1	1	10040155	10058823	Cspp1	protein_coding
ENSMUSG00000056763	ENSMUST00000186294	1	1	10046493	10136145	Cspp1	protein_coding
ENSMUSG00000056763	ENSMUST00000149214	1	1	10056924	10066575	Cspp1	protein_coding
ENSMUSG00000067851	ENSMUST00000088615	1	-1	10137571	10232670	Arfgef1	protein_coding
ENSMUSG00000067851	ENSMUST00000131556	1	-1	10173075	10232670	Arfgef1	protein_coding
ENSMUSG00000042501	ENSMUST00000035577	1	-1	10324727	10719945	Cpa6	protein_coding
ENSMUSG00000048960	ENSMUST00000027056	1	1	10993465	11303681	Prex2	protein_coding
ENSMUSG00000057715	ENSMUST00000171690	1	1	11414105	11601811	A830018L16Rik	protein_coding
ENSMUSG00000057715	ENSMUST00000048613	1	1	11414105	11975901	A830018L16Rik	protein_coding
ENSMUSG00000057715	ENSMUST00000135014	1	1	11414269	11601621	A830018L16Rik	protein_coding
ENSMUSG00000057715	ENSMUST00000137824	1	1	11414509	11975397	A830018L16Rik	protein_coding
ENSMUSG00000057715	ENSMUST00000179089	1	1	11414509	11975397	A830018L16Rik	protein_coding
ENSMUSG00000057715	ENSMUST00000141339	1	1	11518671	11599993	A830018L16Rik	protein_coding
ENSMUSG00000016918	ENSMUST00000177608	1	1	12692277	12861192	Sulf1	protein_coding
ENSMUSG00000016918	ENSMUST00000180062	1	1	12692323	12860371	Sulf1	protein_coding
ENSMUSG00000016918	ENSMUST00000186051	1	1	12692532	12852489	Sulf1	protein_coding
ENSMUSG00000016918	ENSMUST00000088585	1	1	12718529	12860377	Sulf1	protein_coding
ENSMUSG00000016918	ENSMUST00000189541	1	1	12719464	12786549	Sulf1	protein_coding
ENSMUSG00000016918	ENSMUST00000186405	1	1	12728119	12786639	Sulf1	protein_coding
ENSMUSG00000016918	ENSMUST00000185780	1	1	12842791	12861192	Sulf1	protein_coding
ENSMUSG00000025938	ENSMUST00000188454	1	-1	12866549	12992650	Slco5a1	protein_coding
ENSMUSG00000025938	ENSMUST00000115403	1	-1	12866552	12991135	Slco5a1	protein_coding
ENSMUSG00000025938	ENSMUST00000115402	1	-1	12871348	12991177	Slco5a1	protein_coding
ENSMUSG00000025938	ENSMUST00000136197	1	-1	12878595	12991135	Slco5a1	protein_coding
ENSMUSG00000025938	ENSMUST00000146763	1	-1	12879683	12990914	Slco5a1	protein_coding
ENSMUSG00000025938	ENSMUST00000147606	1	-1	12879683	12990914	Slco5a1	protein_coding
ENSMUSG00000042414	ENSMUST00000047577	1	-1	13113457	13127163	Prdm14	protein_coding
ENSMUSG00000005886	ENSMUST00000081713	1	-1	13139105	13372439	Ncoa2	protein_coding
ENSMUSG00000005886	ENSMUST00000068304	1	-1	13139159	13374083	Ncoa2	protein_coding
ENSMUSG00000005886	ENSMUST00000006037	1	-1	13142475	13374083	Ncoa2	protein_coding
ENSMUSG00000005886	ENSMUST00000145280	1	-1	13190106	13299722	Ncoa2	protein_coding
ENSMUSG00000025935	ENSMUST00000027068	1	-1	13564698	13589910	Tram1	protein_coding
ENSMUSG00000025937	ENSMUST00000027071	1	-1	13623330	13660546	Lactb2	protein_coding
ENSMUSG00000067813	ENSMUST00000088542	1	1	13668771	13701723	Xkr9	protein_coding
ENSMUSG00000025932	ENSMUST00000027066	1	-1	14168954	14310200	Eya1	protein_coding
ENSMUSG00000025932	ENSMUST00000168081	1	-1	14168958	14310235	Eya1	protein_coding
ENSMUSG00000025932	ENSMUST00000080664	1	-1	14169666	14310119	Eya1	protein_coding
ENSMUSG00000025932	ENSMUST00000190337	1	-1	14170643	14304570	Eya1	protein_coding
ENSMUSG00000025932	ENSMUST00000189526	1	-1	14207926	14231492	Eya1	protein_coding
ENSMUSG00000025932	ENSMUST00000188857	1	-1	14252600	14304619	Eya1	protein_coding
ENSMUSG00000025932	ENSMUST00000185453	1	-1	14270707	14304628	Eya1	protein_coding
ENSMUSG00000025932	ENSMUST00000187790	1	-1	14270775	14309836	Eya1	protein_coding
ENSMUSG00000025930	ENSMUST00000027062	1	-1	14753346	14755990	Msc	protein_coding
ENSMUSG00000025930	ENSMUST00000190719	1	-1	14753746	14755353	Msc	protein_coding
ENSMUSG00000032769	ENSMUST00000041447	1	-1	14872648	14918862	Trpa1	protein_coding
ENSMUSG00000092083	ENSMUST00000175681	1	1	15287254	15712548	Kcnb2	protein_coding
ENSMUSG00000092083	ENSMUST00000170146	1	1	15312452	15723750	Kcnb2	protein_coding
ENSMUSG00000025925	ENSMUST00000188371	1	1	15805646	15844052	Terf1	protein_coding
ENSMUSG00000025925	ENSMUST00000027057	1	1	15805664	15843470	Terf1	protein_coding
ENSMUSG00000032719	ENSMUST00000040695	1	-1	15853862	15892722	Sbspon	protein_coding
ENSMUSG00000067795	ENSMUST00000115367	1	-1	16065979	16081212	4930444P10Rik	protein_coding
ENSMUSG00000067795	ENSMUST00000145070	1	-1	16065979	16093325	4930444P10Rik	protein_coding
ENSMUSG00000067795	ENSMUST00000151004	1	-1	16065979	16093325	4930444P10Rik	protein_coding
ENSMUSG00000043716	ENSMUST00000058437	1	-1	16101295	16104662	Rpl7	protein_coding
ENSMUSG00000043716	ENSMUST00000149566	1	-1	16101780	16104227	Rpl7	protein_coding
ENSMUSG00000025921	ENSMUST00000027053	1	1	16105774	16133734	Rdh10	protein_coding
ENSMUSG00000025920	ENSMUST00000162751	1	-1	16228674	16519306	Stau2	protein_coding
ENSMUSG00000025920	ENSMUST00000054668	1	-1	16228801	16519228	Stau2	protein_coding
ENSMUSG00000025920	ENSMUST00000162627	1	-1	16228804	16519228	Stau2	protein_coding
ENSMUSG00000025920	ENSMUST00000027052	1	-1	16228810	16519306	Stau2	protein_coding
ENSMUSG00000025920	ENSMUST00000162435	1	-1	16228816	16520112	Stau2	protein_coding
ENSMUSG00000025920	ENSMUST00000159558	1	-1	16343407	16519211	Stau2	protein_coding
ENSMUSG00000025920	ENSMUST00000128957	1	-1	16343486	16519247	Stau2	protein_coding
ENSMUSG00000025920	ENSMUST00000131257	1	-1	16343571	16520067	Stau2	protein_coding
ENSMUSG00000025920	ENSMUST00000162007	1	-1	16344291	16519240	Stau2	protein_coding
ENSMUSG00000025920	ENSMUST00000149320	1	-1	16345594	16519307	Stau2	protein_coding
ENSMUSG00000025920	ENSMUST00000151888	1	-1	16394143	16519270	Stau2	protein_coding
ENSMUSG00000025920	ENSMUST00000153966	1	-1	16440442	16520080	Stau2	protein_coding
ENSMUSG00000025920	ENSMUST00000115359	1	-1	16459715	16519260	Stau2	protein_coding
ENSMUSG00000025920	ENSMUST00000145092	1	-1	16460104	16520021	Stau2	protein_coding
ENSMUSG00000025920	ENSMUST00000144138	1	-1	16460213	16520020	Stau2	protein_coding
ENSMUSG00000025939	ENSMUST00000182554	1	-1	16540790	16619312	Ube2w	protein_coding
ENSMUSG00000025939	ENSMUST00000117146	1	-1	16569782	16619489	Ube2w	protein_coding
ENSMUSG00000079658	ENSMUST00000188641	1	-1	16641725	16656884	Eloc	protein_coding
ENSMUSG00000079658	ENSMUST00000115352	1	-1	16642767	16657042	Eloc	protein_coding
ENSMUSG00000079658	ENSMUST00000186948	1	-1	16643142	16657018	Eloc	protein_coding
ENSMUSG00000079658	ENSMUST00000187910	1	-1	16643169	16657038	Eloc	protein_coding
ENSMUSG00000079658	ENSMUST00000185771	1	-1	16643191	16656914	Eloc	protein_coding
ENSMUSG00000079658	ENSMUST00000185393	1	-1	16643342	16648039	Eloc	protein_coding
ENSMUSG00000079658	ENSMUST00000186701	1	-1	16643472	16656625	Eloc	protein_coding
ENSMUSG00000025940	ENSMUST00000177501	1	1	16665207	16678195	Tmem70	protein_coding
ENSMUSG00000025940	ENSMUST00000065373	1	1	16665210	16678275	Tmem70	protein_coding
ENSMUSG00000025779	ENSMUST00000026881	1	1	16688433	16709611	Ly96	protein_coding
ENSMUSG00000025779	ENSMUST00000190366	1	1	16688508	16709537	Ly96	protein_coding
ENSMUSG00000042686	ENSMUST00000038382	1	-1	16994938	17097889	Jph1	protein_coding
ENSMUSG00000025777	ENSMUST00000026879	1	1	17145362	17164271	Gdap1	protein_coding
ENSMUSG00000067780	ENSMUST00000088476	1	1	17601901	17630939	Pi15	protein_coding
ENSMUSG00000025776	ENSMUST00000159958	1	1	17727045	17765575	Crispld1	protein_coding
ENSMUSG00000025776	ENSMUST00000160305	1	1	17727059	17745893	Crispld1	protein_coding
ENSMUSG00000025776	ENSMUST00000095075	1	1	17727088	17766344	Crispld1	protein_coding
ENSMUSG00000025774	ENSMUST00000026876	1	-1	18115191	18145902	Crisp4	protein_coding
ENSMUSG00000025774	ENSMUST00000115340	1	-1	18115204	18137051	Crisp4	protein_coding
ENSMUSG00000025774	ENSMUST00000115344	1	-1	18115600	18145902	Crisp4	protein_coding
ENSMUSG00000073735	ENSMUST00000097818	1	-1	18236473	18237443	Defb18	protein_coding
ENSMUSG00000067773	ENSMUST00000088463	1	-1	18250980	18265138	Defb41	protein_coding
ENSMUSG00000067773	ENSMUST00000097817	1	-1	18260524	18265080	Defb41	protein_coding
ENSMUSG00000042596	ENSMUST00000037294	1	1	19103022	19166346	Tfap2d	protein_coding
ENSMUSG00000025927	ENSMUST00000027059	1	1	19208914	19238576	Tfap2b	protein_coding
ENSMUSG00000025927	ENSMUST00000187754	1	1	19208960	19238083	Tfap2b	protein_coding
ENSMUSG00000025927	ENSMUST00000064976	1	1	19212054	19234624	Tfap2b	protein_coding
ENSMUSG00000043760	ENSMUST00000088448	1	-1	20057779	20618064	Pkhd1	protein_coding
ENSMUSG00000025929	ENSMUST00000027061	1	1	20730905	20734496	Il17a	protein_coding
ENSMUSG00000041872	ENSMUST00000039046	1	-1	20777146	20784270	Il17f	protein_coding
ENSMUSG00000041872	ENSMUST00000189301	1	-1	20777783	20790617	Il17f	protein_coding
ENSMUSG00000041859	ENSMUST00000053266	1	-1	20802968	20820312	Mcm3	protein_coding
ENSMUSG00000025931	ENSMUST00000189400	1	1	20890606	20939650	Paqr8	protein_coding
ENSMUSG00000025931	ENSMUST00000068880	1	1	20917840	20939055	Paqr8	protein_coding
ENSMUSG00000025931	ENSMUST00000167119	1	1	20917874	20935749	Paqr8	protein_coding
ENSMUSG00000025931	ENSMUST00000187651	1	1	20922259	20935756	Paqr8	protein_coding
ENSMUSG00000041809	ENSMUST00000038447	1	1	20951688	20990841	Efhc1	protein_coding
ENSMUSG00000041779	ENSMUST00000037998	1	-1	20996299	21079229	Tram2	protein_coding
ENSMUSG00000025933	ENSMUST00000027065	1	1	21218575	21230167	Tmem14a	protein_coding
ENSMUSG00000025933	ENSMUST00000027064	1	1	21218662	21230164	Tmem14a	protein_coding
ENSMUSG00000025934	ENSMUST00000027067	1	1	21240589	21265661	Gsta3	protein_coding
ENSMUSG00000025934	ENSMUST00000121676	1	1	21240607	21265021	Gsta3	protein_coding
ENSMUSG00000025934	ENSMUST00000124990	1	1	21240629	21264846	Gsta3	protein_coding
ENSMUSG00000067750	ENSMUST00000088407	1	1	21349641	21352200	Khdc1a	protein_coding
ENSMUSG00000041722	ENSMUST00000070223	1	1	21368331	21370845	Khdc1c	protein_coding
ENSMUSG00000085079	ENSMUST00000147615	1	1	21383556	21386373	Khdc1b	protein_coding
ENSMUSG00000028033	ENSMUST00000029667	1	-1	21398403	21961581	Kcnq5	protein_coding
ENSMUSG00000028033	ENSMUST00000115300	1	-1	21398408	21961942	Kcnq5	protein_coding
ENSMUSG00000028033	ENSMUST00000173058	1	-1	21402163	21961581	Kcnq5	protein_coding
ENSMUSG00000028033	ENSMUST00000173404	1	-1	21402163	21961581	Kcnq5	protein_coding
ENSMUSG00000041670	ENSMUST00000081544	1	-1	22286251	22805724	Rims1	protein_coding
ENSMUSG00000041670	ENSMUST00000097809	1	-1	22286251	22805724	Rims1	protein_coding
ENSMUSG00000041670	ENSMUST00000097810	1	-1	22286251	22805724	Rims1	protein_coding
ENSMUSG00000041670	ENSMUST00000097811	1	-1	22286251	22805724	Rims1	protein_coding
ENSMUSG00000041670	ENSMUST00000115273	1	-1	22286251	22805724	Rims1	protein_coding
ENSMUSG00000041670	ENSMUST00000164877	1	-1	22286915	22315805	Rims1	protein_coding
ENSMUSG00000041670	ENSMUST00000185942	1	-1	22288422	22432843	Rims1	protein_coding
ENSMUSG00000041670	ENSMUST00000097808	1	-1	22468191	22805724	Rims1	protein_coding
ENSMUSG00000041670	ENSMUST00000218140	1	-1	22533955	22805994	Rims1	protein_coding
ENSMUSG00000073730	ENSMUST00000073179	1	-1	23100473	23102253	4933415F23Rik	protein_coding
ENSMUSG00000026158	ENSMUST00000027343	1	-1	23366424	23383175	Ogfrl1	protein_coding
ENSMUSG00000026158	ENSMUST00000188677	1	-1	23370268	23397541	Ogfrl1	protein_coding
ENSMUSG00000026156	ENSMUST00000144602	1	1	23761753	23815740	B3gat2	protein_coding
ENSMUSG00000026156	ENSMUST00000063663	1	1	23761926	23849158	B3gat2	protein_coding
ENSMUSG00000026156	ENSMUST00000140583	1	1	23762011	23815739	B3gat2	protein_coding
ENSMUSG00000026155	ENSMUST00000027339	1	-1	23845625	23922317	Smap1	protein_coding
ENSMUSG00000026155	ENSMUST00000129254	1	-1	23846296	23909689	Smap1	protein_coding
ENSMUSG00000026154	ENSMUST00000027338	1	-1	23995939	24005656	Sdhaf4	protein_coding
ENSMUSG00000026153	ENSMUST00000187619	1	-1	24011093	24026759	Fam135a	protein_coding
ENSMUSG00000026153	ENSMUST00000187752	1	-1	24011245	24100194	Fam135a	protein_coding
ENSMUSG00000026153	ENSMUST00000187369	1	-1	24011591	24100182	Fam135a	protein_coding
ENSMUSG00000026153	ENSMUST00000027337	1	-1	24011681	24100333	Fam135a	protein_coding
ENSMUSG00000026153	ENSMUST00000185807	1	-1	24024275	24028450	Fam135a	protein_coding
ENSMUSG00000026153	ENSMUST00000186999	1	-1	24028722	24100216	Fam135a	protein_coding
ENSMUSG00000026147	ENSMUST00000054588	1	1	24177610	24252684	Col9a1	protein_coding
ENSMUSG00000026147	ENSMUST00000088349	1	1	24195187	24252684	Col9a1	protein_coding
ENSMUSG00000026141	ENSMUST00000115244	1	-1	24263994	24587472	Col19a1	protein_coding
ENSMUSG00000026141	ENSMUST00000051344	1	-1	24279770	24587411	Col19a1	protein_coding
ENSMUSG00000073725	ENSMUST00000191471	1	1	24678630	24765448	Lmbrd1	protein_coding
ENSMUSG00000073725	ENSMUST00000186096	1	1	24678660	24707051	Lmbrd1	protein_coding
ENSMUSG00000073725	ENSMUST00000186190	1	1	24678739	24731894	Lmbrd1	protein_coding
ENSMUSG00000073725	ENSMUST00000095062	1	1	24678926	24766301	Lmbrd1	protein_coding
ENSMUSG00000073725	ENSMUST00000190195	1	1	24744873	24762393	Lmbrd1	protein_coding
ENSMUSG00000033569	ENSMUST00000126626	1	-1	25067476	25228826	Adgrb3	protein_coding
ENSMUSG00000033569	ENSMUST00000146592	1	-1	25067550	25826139	Adgrb3	protein_coding
ENSMUSG00000033569	ENSMUST00000135518	1	-1	25067550	25829511	Adgrb3	protein_coding
ENSMUSG00000033569	ENSMUST00000151309	1	-1	25067550	25829707	Adgrb3	protein_coding
ENSMUSG00000033569	ENSMUST00000041838	1	-1	25067678	25826760	Adgrb3	protein_coding
ENSMUSG00000073722	ENSMUST00000097801	1	-1	26681814	26687460	4931408C20Rik	protein_coding
ENSMUSG00000048411	ENSMUST00000059937	1	-1	28776117	28780252	Gm597	protein_coding
ENSMUSG00000048874	ENSMUST00000186733	1	-1	30802339	30873581	Phf3	protein_coding
ENSMUSG00000048874	ENSMUST00000088310	1	-1	30802342	30863256	Phf3	protein_coding
ENSMUSG00000048874	ENSMUST00000191329	1	-1	30803546	30810712	Phf3	protein_coding
ENSMUSG00000048874	ENSMUST00000188780	1	-1	30831205	30873894	Phf3	protein_coding
ENSMUSG00000048874	ENSMUST00000187968	1	-1	30863070	30873252	Phf3	protein_coding
ENSMUSG00000026064	ENSMUST00000232841	1	-1	30940302	30949309	Ptp4a1	protein_coding
ENSMUSG00000117310	ENSMUST00000233506	1	-1	30940302	30949770	Ptp4a1	protein_coding
ENSMUSG00000117310	ENSMUST00000027232	1	-1	30940303	30949755	Ptp4a1	protein_coding
ENSMUSG00000117310	ENSMUST00000076587	1	-1	30941580	30949757	Ptp4a1	protein_coding
ENSMUSG00000117091	ENSMUST00000178317	1	-1	30977243	30977968	AC153137.1	protein_coding
ENSMUSG00000086727	ENSMUST00000233331	1	-1	30997842	31222617	4931428L18Rik	protein_coding
ENSMUSG00000086727	ENSMUST00000152491	1	-1	30997867	30999904	4931428L18Rik	protein_coding
ENSMUSG00000086727	ENSMUST00000187892	1	-1	30997867	31222597	4931428L18Rik	protein_coding
ENSMUSG00000050217	ENSMUST00000062560	1	1	31176401	31204725	Lgsn	protein_coding
ENSMUSG00000050217	ENSMUST00000161773	1	1	31189470	31204725	Lgsn	protein_coding
ENSMUSG00000026063	ENSMUST00000027230	1	1	31222838	31224288	Pih1d3	protein_coding
ENSMUSG00000026058	ENSMUST00000027226	1	1	32172714	32658568	Khdrbs2	protein_coding
ENSMUSG00000026058	ENSMUST00000189878	1	1	32172729	32246878	Khdrbs2	protein_coding
ENSMUSG00000026058	ENSMUST00000188257	1	1	32172748	32338354	Khdrbs2	protein_coding
ENSMUSG00000026058	ENSMUST00000185666	1	1	32172887	32311090	Khdrbs2	protein_coding
ENSMUSG00000091318	ENSMUST00000171322	1	-1	32543686	32547294	Gm5415	protein_coding
ENSMUSG00000026134	ENSMUST00000027312	1	-1	33453810	33669795	Prim2	protein_coding
ENSMUSG00000004768	ENSMUST00000088287	1	1	33719895	33742564	Rab23	protein_coding
ENSMUSG00000004768	ENSMUST00000115174	1	1	33720407	33742561	Rab23	protein_coding
ENSMUSG00000042215	ENSMUST00000044691	1	-1	33745484	33757795	Bag2	protein_coding
ENSMUSG00000042215	ENSMUST00000187602	1	-1	33746802	33757741	Bag2	protein_coding
ENSMUSG00000042197	ENSMUST00000019861	1	-1	33761545	33814527	Zfp451	protein_coding
ENSMUSG00000042197	ENSMUST00000115167	1	-1	33777543	33805389	Zfp451	protein_coding
ENSMUSG00000042197	ENSMUST00000194656	1	-1	33779189	33814426	Zfp451	protein_coding
ENSMUSG00000042197	ENSMUST00000044455	1	-1	33792136	33814570	Zfp451	protein_coding
ENSMUSG00000042182	ENSMUST00000115161	1	-1	33852052	33907768	Bend6	protein_coding
ENSMUSG00000042182	ENSMUST00000129464	1	-1	33852052	33907791	Bend6	protein_coding
ENSMUSG00000042182	ENSMUST00000062289	1	-1	33852052	33907816	Bend6	protein_coding
ENSMUSG00000026131	ENSMUST00000183034	1	1	33908225	34307592	Dst	protein_coding
ENSMUSG00000026131	ENSMUST00000187486	1	1	34005880	34174795	Dst	protein_coding
ENSMUSG00000026131	ENSMUST00000182697	1	1	34005882	34137135	Dst	protein_coding
ENSMUSG00000026131	ENSMUST00000182314	1	1	34006126	34137136	Dst	protein_coding
ENSMUSG00000026131	ENSMUST00000097786	1	1	34011813	34308652	Dst	protein_coding
ENSMUSG00000026131	ENSMUST00000115104	1	1	34011825	34308650	Dst	protein_coding
ENSMUSG00000026131	ENSMUST00000097785	1	1	34011825	34308661	Dst	protein_coding
ENSMUSG00000026131	ENSMUST00000183302	1	1	34160330	34183904	Dst	protein_coding
