ENSMUSG00000091539	ENSMUST00000165255	18	-1	3122492	3123412	Vmn1r238	protein_coding
ENSMUSG00000024283	ENSMUST00000074919	18	1	7868850	7927067	Wac	protein_coding
ENSMUSG00000024283	ENSMUST00000171486	18	1	7869066	7926139	Wac	protein_coding
ENSMUSG00000024283	ENSMUST00000170932	18	1	7869196	7871613	Wac	protein_coding
ENSMUSG00000024283	ENSMUST00000167020	18	1	7869197	7929028	Wac	protein_coding
ENSMUSG00000024283	ENSMUST00000092112	18	1	7869493	7927519	Wac	protein_coding
ENSMUSG00000024283	ENSMUST00000172018	18	1	7869501	7926139	Wac	protein_coding
ENSMUSG00000024283	ENSMUST00000168446	18	1	7869530	7916091	Wac	protein_coding
ENSMUSG00000024283	ENSMUST00000166062	18	1	7869716	7916284	Wac	protein_coding
ENSMUSG00000024283	ENSMUST00000169010	18	1	7869737	7905492	Wac	protein_coding
ENSMUSG00000024283	ENSMUST00000165854	18	1	7871712	7921490	Wac	protein_coding
ENSMUSG00000024283	ENSMUST00000170854	18	1	7905475	7916291	Wac	protein_coding
ENSMUSG00000024283	ENSMUST00000167542	18	1	7910619	7918503	Wac	protein_coding
ENSMUSG00000024283	ENSMUST00000169478	18	1	7917639	7973547	Wac	protein_coding
ENSMUSG00000092097	ENSMUST00000171469	18	1	8694077	8694541	Gm5819	protein_coding
ENSMUSG00000036904	ENSMUST00000041080	18	1	9212856	9216201	Fzd8	protein_coding
ENSMUSG00000036855	ENSMUST00000041007	18	-1	9278607	9282809	Gjd4	protein_coding
ENSMUSG00000024286	ENSMUST00000053917	18	-1	9314044	9450150	Ccny	protein_coding
ENSMUSG00000050996	ENSMUST00000062769	18	-1	9615524	9619478	Cetn1	protein_coding
ENSMUSG00000036103	ENSMUST00000040069	18	1	9707648	9877995	Colec12	protein_coding
ENSMUSG00000091285	ENSMUST00000171339	18	-1	9726197	9726670	Gm17430	protein_coding
ENSMUSG00000024287	ENSMUST00000025137	18	1	9958180	9995484	Thoc1	protein_coding
ENSMUSG00000047879	ENSMUST00000092096	18	-1	9995432	10030141	Usp14	protein_coding
ENSMUSG00000047879	ENSMUST00000116669	18	-1	9995594	10030067	Usp14	protein_coding
ENSMUSG00000042942	ENSMUST00000048977	18	1	10325179	10562934	Greb1l	protein_coding
ENSMUSG00000042942	ENSMUST00000172532	18	1	10458225	10538289	Greb1l	protein_coding
ENSMUSG00000024293	ENSMUST00000097670	18	-1	10566611	10610129	Esco1	protein_coding
ENSMUSG00000024293	ENSMUST00000115864	18	-1	10566619	10610109	Esco1	protein_coding
ENSMUSG00000024293	ENSMUST00000025142	18	-1	10566619	10610352	Esco1	protein_coding
ENSMUSG00000002477	ENSMUST00000002551	18	1	10617796	10628230	Snrpd1	protein_coding
ENSMUSG00000002475	ENSMUST00000117828	18	-1	10644411	10706771	Abhd3	protein_coding
ENSMUSG00000002475	ENSMUST00000144150	18	-1	10644413	10658789	Abhd3	protein_coding
ENSMUSG00000002475	ENSMUST00000002549	18	-1	10644413	10706696	Abhd3	protein_coding
ENSMUSG00000002475	ENSMUST00000117726	18	-1	10644413	10706713	Abhd3	protein_coding
ENSMUSG00000024294	ENSMUST00000052838	18	1	10725548	10818578	Mib1	protein_coding
ENSMUSG00000024294	ENSMUST00000165555	18	1	10725655	10812174	Mib1	protein_coding
ENSMUSG00000024294	ENSMUST00000124288	18	1	10760809	10818704	Mib1	protein_coding
ENSMUSG00000024294	ENSMUST00000150000	18	1	10798365	10817628	Mib1	protein_coding
ENSMUSG00000005836	ENSMUST00000047762	18	1	11052651	11085635	Gata6	protein_coding
ENSMUSG00000041238	ENSMUST00000115861	18	1	11633276	11743207	Rbbp8	protein_coding
ENSMUSG00000041238	ENSMUST00000047322	18	1	11657349	11743207	Rbbp8	protein_coding
ENSMUSG00000040957	ENSMUST00000171109	18	1	11839220	11945626	Cables1	protein_coding
ENSMUSG00000040957	ENSMUST00000046948	18	1	11839274	11945564	Cables1	protein_coding
ENSMUSG00000049411	ENSMUST00000209628	18	-1	11964450	12074631	Tmem241	protein_coding
ENSMUSG00000049411	ENSMUST00000055447	18	-1	11981938	12121514	Tmem241	protein_coding
ENSMUSG00000049411	ENSMUST00000209859	18	-1	11983076	12121530	Tmem241	protein_coding
ENSMUSG00000049411	ENSMUST00000092075	18	-1	12066671	12121480	Tmem241	protein_coding
ENSMUSG00000024404	ENSMUST00000025270	18	1	12128850	12157367	Riok3	protein_coding
ENSMUSG00000024410	ENSMUST00000025276	18	1	12168717	12189997	Rmc1	protein_coding
ENSMUSG00000024410	ENSMUST00000134046	18	1	12179570	12184915	Rmc1	protein_coding
ENSMUSG00000024413	ENSMUST00000025279	18	-1	12189693	12236400	Npc1	protein_coding
ENSMUSG00000057766	ENSMUST00000118525	18	-1	12252362	12305711	Ankrd29	protein_coding
ENSMUSG00000057766	ENSMUST00000122408	18	-1	12254582	12305638	Ankrd29	protein_coding
ENSMUSG00000057766	ENSMUST00000142066	18	-1	12275760	12305720	Ankrd29	protein_coding
ENSMUSG00000024421	ENSMUST00000092070	18	1	12333819	12583013	Lama3	protein_coding
ENSMUSG00000024421	ENSMUST00000188815	18	1	12504199	12583013	Lama3	protein_coding
ENSMUSG00000024424	ENSMUST00000169401	18	1	12599926	12737050	Ttc39c	protein_coding
ENSMUSG00000024424	ENSMUST00000025294	18	1	12643344	12737049	Ttc39c	protein_coding
ENSMUSG00000024430	ENSMUST00000115857	18	1	12741324	12755146	Cabyr	protein_coding
ENSMUSG00000024430	ENSMUST00000121018	18	1	12741349	12755140	Cabyr	protein_coding
ENSMUSG00000024430	ENSMUST00000119108	18	1	12741355	12755142	Cabyr	protein_coding
ENSMUSG00000024430	ENSMUST00000186263	18	1	12741355	12755142	Cabyr	protein_coding
ENSMUSG00000024430	ENSMUST00000191078	18	1	12741355	12755142	Cabyr	protein_coding
ENSMUSG00000044252	ENSMUST00000121808	18	-1	12755314	12862673	Osbpl1a	protein_coding
ENSMUSG00000044252	ENSMUST00000074352	18	-1	12755314	12941841	Osbpl1a	protein_coding
ENSMUSG00000044252	ENSMUST00000121888	18	-1	12755328	12862423	Osbpl1a	protein_coding
ENSMUSG00000044252	ENSMUST00000118313	18	-1	12755328	12862713	Osbpl1a	protein_coding
ENSMUSG00000044252	ENSMUST00000117361	18	-1	12755328	12863380	Osbpl1a	protein_coding
ENSMUSG00000044252	ENSMUST00000121774	18	-1	12755334	12862914	Osbpl1a	protein_coding
ENSMUSG00000044252	ENSMUST00000119043	18	-1	12755338	12819907	Osbpl1a	protein_coding
ENSMUSG00000044252	ENSMUST00000119512	18	-1	12756192	12879977	Osbpl1a	protein_coding
ENSMUSG00000044252	ENSMUST00000143077	18	-1	12766803	12863291	Osbpl1a	protein_coding
ENSMUSG00000044252	ENSMUST00000155650	18	-1	12771299	12869107	Osbpl1a	protein_coding
ENSMUSG00000044252	ENSMUST00000124570	18	-1	12819533	12860251	Osbpl1a	protein_coding
ENSMUSG00000044252	ENSMUST00000122175	18	-1	12898117	12941777	Osbpl1a	protein_coding
ENSMUSG00000024423	ENSMUST00000025290	18	1	12972252	12992948	Impact	protein_coding
ENSMUSG00000037346	ENSMUST00000041676	18	1	13006990	13022882	Hrh4	protein_coding
ENSMUSG00000024420	ENSMUST00000025288	18	-1	13687013	13972733	Zfp521	protein_coding
ENSMUSG00000055795	ENSMUST00000069552	18	1	14424868	14425311	Gm5160	protein_coding
ENSMUSG00000037013	ENSMUST00000040964	18	-1	14624198	14682766	Ss18	protein_coding
ENSMUSG00000037013	ENSMUST00000040924	18	-1	14625631	14682914	Ss18	protein_coding
ENSMUSG00000037013	ENSMUST00000092041	18	-1	14625631	14682914	Ss18	protein_coding
ENSMUSG00000036743	ENSMUST00000040860	18	1	14706151	14762299	Psma8	protein_coding
ENSMUSG00000054321	ENSMUST00000169862	18	1	14783245	14900359	Taf4b	protein_coding
ENSMUSG00000036225	ENSMUST00000168989	18	-1	14968685	15063582	Kctd1	protein_coding
ENSMUSG00000036225	ENSMUST00000025992	18	-1	14968685	15151446	Kctd1	protein_coding
ENSMUSG00000024411	ENSMUST00000079081	18	-1	15389394	15403684	Aqp4	protein_coding
ENSMUSG00000047161	ENSMUST00000053017	18	-1	15451924	15718046	Chst9	protein_coding
ENSMUSG00000058064	ENSMUST00000079733	18	1	15832794	15833330	Gm10036	protein_coding
ENSMUSG00000024304	ENSMUST00000025166	18	-1	16588877	16809246	Cdh2	protein_coding
ENSMUSG00000024304	ENSMUST00000115850	18	-1	16589023	16670069	Cdh2	protein_coding
ENSMUSG00000059898	ENSMUST00000115848	18	-1	19960930	20002082	Dsc3	protein_coding
ENSMUSG00000059898	ENSMUST00000225110	18	-1	19962970	20001955	Dsc3	protein_coding
ENSMUSG00000059898	ENSMUST00000223946	18	-1	19988290	20002351	Dsc3	protein_coding
ENSMUSG00000024331	ENSMUST00000075214	18	-1	20030633	20059478	Dsc2	protein_coding
ENSMUSG00000024331	ENSMUST00000039247	18	-1	20030633	20059554	Dsc2	protein_coding
ENSMUSG00000024331	ENSMUST00000155407	18	-1	20031343	20038139	Dsc2	protein_coding
ENSMUSG00000044322	ENSMUST00000224432	18	-1	20084184	20114610	Dsc1	protein_coding
ENSMUSG00000044322	ENSMUST00000038710	18	-1	20084703	20114773	Dsc1	protein_coding
ENSMUSG00000044322	ENSMUST00000226115	18	-1	20108842	20114871	Dsc1	protein_coding
ENSMUSG00000034774	ENSMUST00000054128	18	1	20247340	20285031	Dsg1c	protein_coding
ENSMUSG00000069441	ENSMUST00000077146	18	1	20310811	20343350	Dsg1a	protein_coding
ENSMUSG00000061928	ENSMUST00000076737	18	1	20376729	20410196	Dsg1b	protein_coding
ENSMUSG00000001804	ENSMUST00000019426	18	1	20436175	20471821	Dsg4	protein_coding
ENSMUSG00000056632	ENSMUST00000070892	18	1	20510304	20541310	Dsg3	protein_coding
ENSMUSG00000044393	ENSMUST00000059787	18	1	20558074	20604521	Dsg2	protein_coding
ENSMUSG00000044393	ENSMUST00000120102	18	1	20558155	20585553	Dsg2	protein_coding
ENSMUSG00000044393	ENSMUST00000121837	18	1	20558246	20582916	Dsg2	protein_coding
ENSMUSG00000061808	ENSMUST00000075312	18	1	20665250	20674324	Ttr	protein_coding
ENSMUSG00000091449	ENSMUST00000165229	18	-1	20682592	20682963	Gm10269	protein_coding
ENSMUSG00000056124	ENSMUST00000070080	18	-1	20684599	20746404	B4galt6	protein_coding
ENSMUSG00000033382	ENSMUST00000225661	18	-1	20817223	20896093	Trappc8	protein_coding
ENSMUSG00000033382	ENSMUST00000025177	18	-1	20817224	20896078	Trappc8	protein_coding
ENSMUSG00000033382	ENSMUST00000097658	18	-1	20846145	20896078	Trappc8	protein_coding
ENSMUSG00000033382	ENSMUST00000224530	18	-1	20852804	20862923	Trappc8	protein_coding
ENSMUSG00000033107	ENSMUST00000050004	18	1	20944625	20983848	Rnf125	protein_coding
ENSMUSG00000024317	ENSMUST00000052396	18	1	21001341	21028223	Rnf138	protein_coding
ENSMUSG00000024317	ENSMUST00000072847	18	1	21001341	21028223	Rnf138	protein_coding
ENSMUSG00000024313	ENSMUST00000082235	18	1	21072344	21100199	Mep1b	protein_coding
ENSMUSG00000042680	ENSMUST00000049260	18	-1	21127201	21300138	Garem1	protein_coding
ENSMUSG00000042514	ENSMUST00000049105	18	-1	21550377	21652368	Klhl14	protein_coding
ENSMUSG00000042514	ENSMUST00000122333	18	-1	21550379	21654718	Klhl14	protein_coding
ENSMUSG00000024306	ENSMUST00000025160	18	-1	21810897	22171396	Ccdc178	protein_coding
ENSMUSG00000024306	ENSMUST00000115837	18	-1	21811298	22166476	Ccdc178	protein_coding
ENSMUSG00000045215	ENSMUST00000120223	18	1	22345089	22530015	Asxl3	protein_coding
ENSMUSG00000045215	ENSMUST00000097655	18	1	22345089	22530227	Asxl3	protein_coding
ENSMUSG00000041923	ENSMUST00000092015	18	-1	22693181	22850754	Nol4	protein_coding
ENSMUSG00000041923	ENSMUST00000081423	18	-1	22693381	23038656	Nol4	protein_coding
ENSMUSG00000041923	ENSMUST00000097651	18	-1	22693634	23041653	Nol4	protein_coding
ENSMUSG00000041923	ENSMUST00000069215	18	-1	22694298	22850754	Nol4	protein_coding
ENSMUSG00000041923	ENSMUST00000164893	18	-1	22694524	23040078	Nol4	protein_coding
ENSMUSG00000041923	ENSMUST00000164186	18	-1	22694535	23040344	Nol4	protein_coding
ENSMUSG00000041923	ENSMUST00000165323	18	-1	22912686	23038939	Nol4	protein_coding
ENSMUSG00000024302	ENSMUST00000222515	18	1	23415135	23545725	Dtna	protein_coding
ENSMUSG00000024302	ENSMUST00000115832	18	1	23415442	23659715	Dtna	protein_coding
ENSMUSG00000024302	ENSMUST00000221880	18	1	23415477	23635777	Dtna	protein_coding
ENSMUSG00000024302	ENSMUST00000220904	18	1	23415490	23659706	Dtna	protein_coding
ENSMUSG00000024302	ENSMUST00000047954	18	1	23415510	23604231	Dtna	protein_coding
ENSMUSG00000024302	ENSMUST00000222726	18	1	23651568	23659386	Dtna	protein_coding
ENSMUSG00000024277	ENSMUST00000170802	18	1	23752333	23893861	Mapre2	protein_coding
ENSMUSG00000024277	ENSMUST00000155708	18	1	23752339	23883696	Mapre2	protein_coding
ENSMUSG00000024277	ENSMUST00000118826	18	1	23752393	23860637	Mapre2	protein_coding
ENSMUSG00000024277	ENSMUST00000115830	18	1	23753725	23892364	Mapre2	protein_coding
ENSMUSG00000024277	ENSMUST00000025127	18	1	23803984	23893857	Mapre2	protein_coding
ENSMUSG00000024276	ENSMUST00000225682	18	1	23954705	23956576	Zfp397	protein_coding
ENSMUSG00000024276	ENSMUST00000060762	18	1	23954705	23964673	Zfp397	protein_coding
ENSMUSG00000063281	ENSMUST00000074941	18	1	23989632	24005376	Zfp35	protein_coding
ENSMUSG00000051469	ENSMUST00000066497	18	-1	24009702	24020810	Zfp24	protein_coding
ENSMUSG00000051469	ENSMUST00000153337	18	-1	24013925	24020320	Zfp24	protein_coding
ENSMUSG00000051469	ENSMUST00000148525	18	-1	24017971	24020370	Zfp24	protein_coding
ENSMUSG00000047989	ENSMUST00000141489	18	-1	24104757	24121953	Ino80c	protein_coding
ENSMUSG00000047989	ENSMUST00000153360	18	-1	24104757	24121953	Ino80c	protein_coding
ENSMUSG00000047989	ENSMUST00000055012	18	-1	24106374	24121835	Ino80c	protein_coding
ENSMUSG00000047989	ENSMUST00000125169	18	-1	24106378	24114913	Ino80c	protein_coding
ENSMUSG00000000420	ENSMUST00000000430	18	1	24205344	24286818	Galnt1	protein_coding
ENSMUSG00000000420	ENSMUST00000170243	18	1	24205767	24286810	Galnt1	protein_coding
ENSMUSG00000000420	ENSMUST00000164998	18	1	24205959	24254630	Galnt1	protein_coding
ENSMUSG00000000420	ENSMUST00000178605	18	1	24232597	24286810	Galnt1	protein_coding
ENSMUSG00000024273	ENSMUST00000097646	18	1	24470861	24477765	2700062C07Rik	protein_coding
ENSMUSG00000040446	ENSMUST00000046206	18	-1	24484962	24530204	Rprd1a	protein_coding
ENSMUSG00000024270	ENSMUST00000070726	18	-1	24579881	24603817	Slc39a6	protein_coding
ENSMUSG00000024270	ENSMUST00000154205	18	-1	24582308	24603515	Slc39a6	protein_coding
ENSMUSG00000024270	ENSMUST00000152504	18	-1	24601485	24603293	Slc39a6	protein_coding
ENSMUSG00000024271	ENSMUST00000025120	18	1	24603961	24638830	Elp2	protein_coding
ENSMUSG00000039616	ENSMUST00000068006	18	1	24653691	24701556	Mocos	protein_coding
ENSMUSG00000054745	ENSMUST00000067987	18	-1	24709040	24709348	Gm9955	protein_coding
ENSMUSG00000034295	ENSMUST00000037097	18	1	24709445	25133500	Fhod3	protein_coding
ENSMUSG00000024269	ENSMUST00000148255	18	-1	25127223	25168694	Tpgs2	protein_coding
ENSMUSG00000024269	ENSMUST00000115817	18	-1	25136037	25169007	Tpgs2	protein_coding
ENSMUSG00000033632	ENSMUST00000036619	18	1	25169010	25467316	AW554918	protein_coding
ENSMUSG00000033632	ENSMUST00000097643	18	1	25169020	25467321	AW554918	protein_coding
ENSMUSG00000033632	ENSMUST00000165400	18	1	25169020	25467321	AW554918	protein_coding
ENSMUSG00000033632	ENSMUST00000100131	18	1	25233914	25464092	AW554918	protein_coding
ENSMUSG00000024268	ENSMUST00000115816	18	-1	25477632	25753983	Celf4	protein_coding
ENSMUSG00000024268	ENSMUST00000025117	18	-1	25478468	25753750	Celf4	protein_coding
ENSMUSG00000024268	ENSMUST00000223704	18	-1	25479078	25753983	Celf4	protein_coding
ENSMUSG00000024268	ENSMUST00000225477	18	-1	25479115	25754157	Celf4	protein_coding
ENSMUSG00000024268	ENSMUST00000224553	18	-1	25479473	25753702	Celf4	protein_coding
ENSMUSG00000033628	ENSMUST00000115812	18	1	30272747	30348126	Pik3c3	protein_coding
ENSMUSG00000033628	ENSMUST00000115811	18	1	30272870	30330968	Pik3c3	protein_coding
ENSMUSG00000033628	ENSMUST00000091978	18	1	30272872	30343116	Pik3c3	protein_coding
ENSMUSG00000057455	ENSMUST00000153060	18	-1	30974315	31317133	Rit2	protein_coding
ENSMUSG00000057455	ENSMUST00000139924	18	-1	31206066	31317111	Rit2	protein_coding
ENSMUSG00000024261	ENSMUST00000025110	18	-1	31437808	31447415	Syt4	protein_coding
ENSMUSG00000024259	ENSMUST00000060396	18	-1	31580168	31609902	Slc25a46	protein_coding
ENSMUSG00000092124	ENSMUST00000164667	18	1	31609512	31610751	B930094E09Rik	protein_coding
ENSMUSG00000024260	ENSMUST00000178164	18	1	31634371	31723061	Sap130	protein_coding
ENSMUSG00000024260	ENSMUST00000025109	18	1	31634383	31723061	Sap130	protein_coding
ENSMUSG00000041915	ENSMUST00000115808	18	1	31759824	31784071	Ammecr1l	protein_coding
ENSMUSG00000024258	ENSMUST00000025106	18	1	31789159	31796642	Polr2d	protein_coding
ENSMUSG00000024400	ENSMUST00000082319	18	1	31804057	31841642	Wdr33	protein_coding
ENSMUSG00000024400	ENSMUST00000025264	18	1	31804057	31908987	Wdr33	protein_coding
ENSMUSG00000091561	ENSMUST00000165131	18	-1	31819862	31820413	Gm6665	protein_coding
ENSMUSG00000044982	ENSMUST00000054984	18	-1	31909094	31911903	Sft2d3	protein_coding
ENSMUSG00000024395	ENSMUST00000025254	18	1	31931325	31958619	Lims2	protein_coding
ENSMUSG00000024395	ENSMUST00000224383	18	1	31939418	31954550	Lims2	protein_coding
ENSMUSG00000052229	ENSMUST00000064016	18	-1	31942997	31949636	Gpr17	protein_coding
ENSMUSG00000024395	ENSMUST00000223753	18	1	31954834	31957870	Lims2	protein_coding
ENSMUSG00000024395	ENSMUST00000224328	18	1	31956333	31958518	Lims2	protein_coding
ENSMUSG00000024388	ENSMUST00000134663	18	-1	31959234	32036961	Myo7b	protein_coding
ENSMUSG00000024384	ENSMUST00000025243	18	1	32067741	32104328	Iws1	protein_coding
ENSMUSG00000024384	ENSMUST00000212675	18	1	32067768	32097519	Iws1	protein_coding
ENSMUSG00000024384	ENSMUST00000212458	18	1	32088261	32093783	Iws1	protein_coding
ENSMUSG00000024386	ENSMUST00000171765	18	-1	32123129	32139570	Proc	protein_coding
ENSMUSG00000024383	ENSMUST00000096575	18	1	32163089	32236751	Map3k2	protein_coding
ENSMUSG00000024382	ENSMUST00000025241	18	1	32240300	32270151	Ercc3	protein_coding
ENSMUSG00000024381	ENSMUST00000025239	18	1	32377217	32435736	Bin1	protein_coding
ENSMUSG00000024381	ENSMUST00000091967	18	1	32377217	32435736	Bin1	protein_coding
ENSMUSG00000109238	ENSMUST00000207669	18	-1	32458083	32462472	Gm35060	protein_coding
ENSMUSG00000090523	ENSMUST00000174459	18	-1	32528322	32560034	Gypc	protein_coding
ENSMUSG00000090523	ENSMUST00000174000	18	-1	32528325	32559980	Gypc	protein_coding
ENSMUSG00000090523	ENSMUST00000172434	18	-1	32529792	32535418	Gypc	protein_coding
ENSMUSG00000024379	ENSMUST00000025237	18	1	32815383	32819799	Tslp	protein_coding
ENSMUSG00000038299	ENSMUST00000166214	18	1	32837225	32866350	Wdr36	protein_coding
ENSMUSG00000038299	ENSMUST00000053663	18	1	32837225	32866420	Wdr36	protein_coding
ENSMUSG00000038128	ENSMUST00000042868	18	1	32939041	33195767	Camk4	protein_coding
ENSMUSG00000024378	ENSMUST00000025236	18	-1	33199355	33213862	Stard4	protein_coding
ENSMUSG00000024378	ENSMUST00000119991	18	-1	33203405	33213766	Stard4	protein_coding
ENSMUSG00000024378	ENSMUST00000118990	18	-1	33203599	33213772	Stard4	protein_coding
ENSMUSG00000042834	ENSMUST00000051087	18	-1	33437019	33463634	Nrep	protein_coding
