ENSMUSG00000020671	ENSMUST00000021001	12	-1	3247428	3309969	Rab10	protein_coding
ENSMUSG00000020661	ENSMUST00000172749	12	1	3895593	3897365	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000172913	12	1	3906816	3908547	Dnmt3a	protein_coding
ENSMUSG00000020660	ENSMUST00000219543	12	1	3954951	3960573	Pomc	protein_coding
ENSMUSG00000020660	ENSMUST00000218089	12	1	3954951	3960618	Pomc	protein_coding
ENSMUSG00000020660	ENSMUST00000020990	12	1	3954951	3960642	Pomc	protein_coding
ENSMUSG00000020660	ENSMUST00000218169	12	1	3954969	3959998	Pomc	protein_coding
ENSMUSG00000020660	ENSMUST00000220006	12	1	3954970	3958260	Pomc	protein_coding
ENSMUSG00000020658	ENSMUST00000111178	12	-1	3962554	4038915	Efr3b	protein_coding
ENSMUSG00000020658	ENSMUST00000218166	12	-1	3962555	3992920	Efr3b	protein_coding
ENSMUSG00000020657	ENSMUST00000020986	12	1	4082583	4110606	Dnajc27	protein_coding
ENSMUSG00000020657	ENSMUST00000049584	12	1	4082629	4109204	Dnajc27	protein_coding
ENSMUSG00000020654	ENSMUST00000124505	12	1	4133104	4213525	Adcy3	protein_coding
ENSMUSG00000020654	ENSMUST00000152065	12	1	4133397	4213525	Adcy3	protein_coding
ENSMUSG00000020654	ENSMUST00000127756	12	1	4133402	4213524	Adcy3	protein_coding
ENSMUSG00000020654	ENSMUST00000020984	12	1	4134153	4213524	Adcy3	protein_coding
ENSMUSG00000020652	ENSMUST00000146261	12	-1	4196004	4216546	Cenpo	protein_coding
ENSMUSG00000020652	ENSMUST00000111169	12	-1	4197822	4233965	Cenpo	protein_coding
ENSMUSG00000020652	ENSMUST00000140975	12	-1	4211667	4234294	Cenpo	protein_coding
ENSMUSG00000020652	ENSMUST00000020981	12	-1	4213482	4233965	Cenpo	protein_coding
ENSMUSG00000020652	ENSMUST00000128466	12	-1	4215358	4232003	Cenpo	protein_coding
ENSMUSG00000096199	ENSMUST00000179139	12	1	4234027	4239950	Ptrhd1	protein_coding
ENSMUSG00000020647	ENSMUST00000085814	12	-1	4247362	4477182	Ncoa1	protein_coding
ENSMUSG00000020647	ENSMUST00000220434	12	-1	4249183	4344500	Ncoa1	protein_coding
ENSMUSG00000020647	ENSMUST00000219373	12	-1	4249441	4263578	Ncoa1	protein_coding
ENSMUSG00000020647	ENSMUST00000218191	12	-1	4252796	4274947	Ncoa1	protein_coding
ENSMUSG00000020647	ENSMUST00000217674	12	-1	4274813	4354436	Ncoa1	protein_coding
ENSMUSG00000020647	ENSMUST00000219275	12	-1	4295742	4313122	Ncoa1	protein_coding
ENSMUSG00000020647	ENSMUST00000219715	12	-1	4339111	4416807	Ncoa1	protein_coding
ENSMUSG00000020640	ENSMUST00000218402	12	1	4592638	4629717	Itsn2	protein_coding
ENSMUSG00000091619	ENSMUST00000170816	12	-1	4592826	4592927	Gm3625	protein_coding
ENSMUSG00000020640	ENSMUST00000062580	12	1	4593008	4713950	Itsn2	protein_coding
ENSMUSG00000020640	ENSMUST00000220311	12	1	4593008	4713962	Itsn2	protein_coding
ENSMUSG00000020640	ENSMUST00000219007	12	1	4613275	4713197	Itsn2	protein_coding
ENSMUSG00000020640	ENSMUST00000217672	12	1	4634776	4679506	Itsn2	protein_coding
ENSMUSG00000079177	ENSMUST00000111154	12	-1	4713670	4738419	Fam228a	protein_coding
ENSMUSG00000079177	ENSMUST00000222363	12	-1	4714197	4738318	Fam228a	protein_coding
ENSMUSG00000079177	ENSMUST00000220978	12	-1	4715549	4737771	Fam228a	protein_coding
ENSMUSG00000050545	ENSMUST00000219898	12	-1	4739888	4768521	Fam228b	protein_coding
ENSMUSG00000050545	ENSMUST00000218856	12	-1	4745610	4748308	Fam228b	protein_coding
ENSMUSG00000050545	ENSMUST00000053458	12	-1	4746216	4769232	Fam228b	protein_coding
ENSMUSG00000050545	ENSMUST00000218575	12	-1	4747907	4769267	Fam228b	protein_coding
ENSMUSG00000020639	ENSMUST00000219503	12	1	4769022	4778808	Pfn4	protein_coding
ENSMUSG00000020639	ENSMUST00000219438	12	1	4769167	4774504	Pfn4	protein_coding
ENSMUSG00000020639	ENSMUST00000020967	12	1	4769295	4778266	Pfn4	protein_coding
ENSMUSG00000020639	ENSMUST00000178879	12	1	4769339	4778813	Pfn4	protein_coding
ENSMUSG00000037361	ENSMUST00000046207	12	1	4817544	4827659	Sf3b6	protein_coding
ENSMUSG00000037361	ENSMUST00000219128	12	1	4820594	4827098	Sf3b6	protein_coding
ENSMUSG00000020635	ENSMUST00000020964	12	-1	4833174	4841591	Fkbp1b	protein_coding
ENSMUSG00000020635	ENSMUST00000219880	12	-1	4833793	4841435	Fkbp1b	protein_coding
ENSMUSG00000051721	ENSMUST00000220215	12	1	4843303	4856967	Wdcp	protein_coding
ENSMUSG00000051721	ENSMUST00000223551	12	1	4843303	4860043	Wdcp	protein_coding
ENSMUSG00000051721	ENSMUST00000053034	12	1	4843347	4852913	Wdcp	protein_coding
ENSMUSG00000051721	ENSMUST00000220170	12	1	4843394	4851767	Wdcp	protein_coding
ENSMUSG00000051721	ENSMUST00000085793	12	1	4850146	4856925	Wdcp	protein_coding
ENSMUSG00000037336	ENSMUST00000045921	12	-1	4863072	4874358	Mfsd2b	protein_coding
ENSMUSG00000037336	ENSMUST00000137337	12	-1	4863072	4874358	Mfsd2b	protein_coding
ENSMUSG00000020634	ENSMUST00000020962	12	-1	4879032	4907705	Ubxn2a	protein_coding
ENSMUSG00000020634	ENSMUST00000142867	12	-1	4879349	4907264	Ubxn2a	protein_coding
ENSMUSG00000052812	ENSMUST00000045664	12	1	4917404	5047394	Atad2b	protein_coding
ENSMUSG00000020627	ENSMUST00000020958	12	-1	5077472	5375682	Klhl29	protein_coding
ENSMUSG00000020627	ENSMUST00000218384	12	-1	5080970	5291381	Klhl29	protein_coding
ENSMUSG00000020609	ENSMUST00000171271	12	1	7977648	7987818	Apob	protein_coding
ENSMUSG00000020609	ENSMUST00000037811	12	1	7977648	8016835	Apob	protein_coding
ENSMUSG00000020609	ENSMUST00000037520	12	1	7977779	8016500	Apob	protein_coding
ENSMUSG00000020609	ENSMUST00000171239	12	1	8012359	8016835	Apob	protein_coding
ENSMUSG00000037669	ENSMUST00000037383	12	1	8208107	8285759	Ldah	protein_coding
ENSMUSG00000037669	ENSMUST00000218883	12	1	8208134	8275883	Ldah	protein_coding
ENSMUSG00000037669	ENSMUST00000218086	12	1	8208145	8276210	Ldah	protein_coding
ENSMUSG00000037669	ENSMUST00000169104	12	1	8208147	8285759	Ldah	protein_coding
ENSMUSG00000037669	ENSMUST00000217999	12	1	8208150	8275871	Ldah	protein_coding
ENSMUSG00000037669	ENSMUST00000220274	12	1	8208193	8238495	Ldah	protein_coding
ENSMUSG00000037669	ENSMUST00000217872	12	1	8268363	8276223	Ldah	protein_coding
ENSMUSG00000037669	ENSMUST00000219532	12	1	8268420	8284079	Ldah	protein_coding
ENSMUSG00000037660	ENSMUST00000037313	12	-1	8297918	8301954	Gdf7	protein_coding
ENSMUSG00000037660	ENSMUST00000220073	12	-1	8297918	8301954	Gdf7	protein_coding
ENSMUSG00000020605	ENSMUST00000220199	12	1	8313432	8323998	Hs1bp3	protein_coding
ENSMUSG00000020605	ENSMUST00000020927	12	1	8313432	8343824	Hs1bp3	protein_coding
ENSMUSG00000020605	ENSMUST00000220300	12	1	8317611	8324033	Hs1bp3	protein_coding
ENSMUSG00000054364	ENSMUST00000067384	12	-1	8497661	8500009	Rhob	protein_coding
ENSMUSG00000020600	ENSMUST00000036938	12	-1	8528483	8599066	Slc7a15	protein_coding
ENSMUSG00000020600	ENSMUST00000095863	12	-1	8529345	8539545	Slc7a15	protein_coding
ENSMUSG00000020600	ENSMUST00000165657	12	-1	8529345	8539545	Slc7a15	protein_coding
ENSMUSG00000020594	ENSMUST00000111123	12	1	8674134	8751454	Pum2	protein_coding
ENSMUSG00000020594	ENSMUST00000178015	12	1	8674134	8752581	Pum2	protein_coding
ENSMUSG00000020594	ENSMUST00000020915	12	1	8674145	8750320	Pum2	protein_coding
ENSMUSG00000020594	ENSMUST00000111122	12	1	8674224	8752561	Pum2	protein_coding
ENSMUSG00000020594	ENSMUST00000163569	12	1	8674421	8750001	Pum2	protein_coding
ENSMUSG00000020594	ENSMUST00000169089	12	1	8674470	8750028	Pum2	protein_coding
ENSMUSG00000020594	ENSMUST00000168361	12	1	8674681	8752581	Pum2	protein_coding
ENSMUSG00000020594	ENSMUST00000169750	12	1	8674736	8713630	Pum2	protein_coding
ENSMUSG00000020594	ENSMUST00000163730	12	1	8674765	8713399	Pum2	protein_coding
ENSMUSG00000020594	ENSMUST00000166965	12	1	8677534	8709490	Pum2	protein_coding
ENSMUSG00000020594	ENSMUST00000171418	12	1	8710226	8721797	Pum2	protein_coding
ENSMUSG00000020594	ENSMUST00000164818	12	1	8729147	8748236	Pum2	protein_coding
ENSMUSG00000020592	ENSMUST00000020911	12	1	8771323	8793715	Sdc1	protein_coding
ENSMUSG00000020592	ENSMUST00000171158	12	1	8771413	8793062	Sdc1	protein_coding
ENSMUSG00000020592	ENSMUST00000161883	12	1	8771742	8790842	Sdc1	protein_coding
ENSMUSG00000020585	ENSMUST00000020909	12	1	8921664	8938742	Laptm4a	protein_coding
ENSMUSG00000020583	ENSMUST00000020899	12	1	8947929	8972028	Matn3	protein_coding
ENSMUSG00000066643	ENSMUST00000085745	12	1	8973892	9028847	Wdr35	protein_coding
ENSMUSG00000066643	ENSMUST00000111113	12	1	8974047	9028846	Wdr35	protein_coding
ENSMUSG00000066637	ENSMUST00000085741	12	1	9029997	9036394	Ttc32	protein_coding
ENSMUSG00000066637	ENSMUST00000219488	12	1	9030027	9041988	Ttc32	protein_coding
ENSMUSG00000066637	ENSMUST00000219470	12	1	9030028	9036397	Ttc32	protein_coding
ENSMUSG00000048387	ENSMUST00000217975	12	1	9570116	9579612	Osr1	protein_coding
ENSMUSG00000048387	ENSMUST00000057021	12	1	9574441	9581500	Osr1	protein_coding
ENSMUSG00000020622	ENSMUST00000143739	12	1	10369973	10375935	Nt5c1b	protein_coding
ENSMUSG00000020622	ENSMUST00000002456	12	1	10369973	10390170	Nt5c1b	protein_coding
ENSMUSG00000020622	ENSMUST00000217944	12	1	10369973	10390170	Nt5c1b	protein_coding
ENSMUSG00000020622	ENSMUST00000218339	12	1	10369973	10390170	Nt5c1b	protein_coding
ENSMUSG00000020622	ENSMUST00000219826	12	1	10369973	10390170	Nt5c1b	protein_coding
ENSMUSG00000020622	ENSMUST00000118657	12	1	10369979	10390173	Nt5c1b	protein_coding
ENSMUSG00000020622	ENSMUST00000223534	12	1	10369979	10390173	Nt5c1b	protein_coding
ENSMUSG00000020622	ENSMUST00000218288	12	1	10372873	10390175	Nt5c1b	protein_coding
ENSMUSG00000020622	ENSMUST00000219630	12	1	10374787	10390175	Nt5c1b	protein_coding
ENSMUSG00000020621	ENSMUST00000020947	12	1	10390772	10395562	Rdh14	protein_coding
ENSMUSG00000043673	ENSMUST00000055673	12	-1	11090202	11150373	Kcns3	protein_coding
ENSMUSG00000043673	ENSMUST00000217974	12	-1	11090737	11151056	Kcns3	protein_coding
ENSMUSG00000043673	ENSMUST00000164495	12	-1	11090740	11150842	Kcns3	protein_coding
ENSMUSG00000047002	ENSMUST00000049877	12	-1	11208360	11208972	Msgn1	protein_coding
ENSMUSG00000051235	ENSMUST00000166117	12	-1	11238920	11265766	Gen1	protein_coding
ENSMUSG00000051235	ENSMUST00000218487	12	-1	11241570	11265797	Gen1	protein_coding
ENSMUSG00000051235	ENSMUST00000219600	12	-1	11260888	11265782	Gen1	protein_coding
ENSMUSG00000020608	ENSMUST00000020931	12	1	11265886	11319785	Smc6	protein_coding
ENSMUSG00000020608	ENSMUST00000218866	12	1	11266129	11287654	Smc6	protein_coding
ENSMUSG00000020608	ENSMUST00000217930	12	1	11291727	11297285	Smc6	protein_coding
ENSMUSG00000020608	ENSMUST00000217991	12	1	11294523	11299420	Smc6	protein_coding
ENSMUSG00000020608	ENSMUST00000218815	12	1	11314704	11318043	Smc6	protein_coding
ENSMUSG00000054459	ENSMUST00000220506	12	-1	11325242	11435640	Vsnl1	protein_coding
ENSMUSG00000054459	ENSMUST00000072299	12	-1	11325242	11436613	Vsnl1	protein_coding
ENSMUSG00000086022	ENSMUST00000124065	12	1	11456079	11462928	Rad51ap2	protein_coding
ENSMUSG00000020589	ENSMUST00000069066	12	1	12262139	12380965	Fam49a	protein_coding
ENSMUSG00000020589	ENSMUST00000069005	12	1	12262177	12373395	Fam49a	protein_coding
ENSMUSG00000020589	ENSMUST00000223061	12	1	12262183	12373339	Fam49a	protein_coding
ENSMUSG00000037169	ENSMUST00000043396	12	-1	12936093	12941914	Mycn	protein_coding
ENSMUSG00000037169	ENSMUST00000130990	12	-1	12936096	12940616	Mycn	protein_coding
ENSMUSG00000037149	ENSMUST00000071103	12	-1	13216973	13249213	Ddx1	protein_coding
ENSMUSG00000037149	ENSMUST00000221623	12	-1	13237732	13249163	Ddx1	protein_coding
ENSMUSG00000020576	ENSMUST00000042953	12	1	13269133	13583811	Nbas	protein_coding
ENSMUSG00000020607	ENSMUST00000020926	12	-1	14146830	14152054	Fam84a	protein_coding
ENSMUSG00000020607	ENSMUST00000221405	12	-1	14150534	14151349	Fam84a	protein_coding
ENSMUSG00000020601	ENSMUST00000020922	12	-1	15791727	15816785	Trib2	protein_coding
ENSMUSG00000020601	ENSMUST00000221518	12	-1	15793318	15816922	Trib2	protein_coding
ENSMUSG00000020601	ENSMUST00000221215	12	-1	15809963	15816890	Trib2	protein_coding
ENSMUSG00000020593	ENSMUST00000067124	12	-1	16535669	16589770	Lpin1	protein_coding
ENSMUSG00000020593	ENSMUST00000111067	12	-1	16535954	16610966	Lpin1	protein_coding
ENSMUSG00000020593	ENSMUST00000221230	12	-1	16537040	16589773	Lpin1	protein_coding
ENSMUSG00000020593	ENSMUST00000222989	12	-1	16537188	16589766	Lpin1	protein_coding
ENSMUSG00000020593	ENSMUST00000221297	12	-1	16538373	16604113	Lpin1	protein_coding
ENSMUSG00000020593	ENSMUST00000221146	12	-1	16577069	16589720	Lpin1	protein_coding
ENSMUSG00000020591	ENSMUST00000221596	12	1	16653382	16658404	Ntsr2	protein_coding
ENSMUSG00000020591	ENSMUST00000111064	12	1	16653484	16660227	Ntsr2	protein_coding
ENSMUSG00000020591	ENSMUST00000220892	12	1	16653500	16659746	Ntsr2	protein_coding
ENSMUSG00000020591	ENSMUST00000221049	12	1	16653758	16660063	Ntsr2	protein_coding
ENSMUSG00000036523	ENSMUST00000048064	12	-1	16670615	16757241	Greb1	protein_coding
ENSMUSG00000036523	ENSMUST00000162112	12	-1	16670615	16800684	Greb1	protein_coding
ENSMUSG00000036523	ENSMUST00000159120	12	-1	16672079	16757195	Greb1	protein_coding
ENSMUSG00000036523	ENSMUST00000160347	12	-1	16706150	16708594	Greb1	protein_coding
ENSMUSG00000036523	ENSMUST00000161998	12	-1	16733278	16800886	Greb1	protein_coding
ENSMUSG00000057469	ENSMUST00000020908	12	1	16810977	16826752	E2f6	protein_coding
ENSMUSG00000020580	ENSMUST00000020904	12	1	16894895	16987823	Rock2	protein_coding
ENSMUSG00000020580	ENSMUST00000220688	12	1	16895167	16978102	Rock2	protein_coding
ENSMUSG00000020580	ENSMUST00000221463	12	1	16973081	16980320	Rock2	protein_coding
ENSMUSG00000045679	ENSMUST00000054536	12	-1	16988648	17000118	Pqlc3	protein_coding
ENSMUSG00000045679	ENSMUST00000222203	12	-1	16988698	17000067	Pqlc3	protein_coding
ENSMUSG00000045679	ENSMUST00000134938	12	-1	16995642	17000408	Pqlc3	protein_coding
ENSMUSG00000045679	ENSMUST00000137960	12	-1	16995642	17000408	Pqlc3	protein_coding
ENSMUSG00000071398	ENSMUST00000095823	12	-1	17003319	17011727	2410004P03Rik	protein_coding
ENSMUSG00000071398	ENSMUST00000190691	12	-1	17005590	17011554	2410004P03Rik	protein_coding
ENSMUSG00000071398	ENSMUST00000189479	12	-1	17007140	17011503	2410004P03Rik	protein_coding
ENSMUSG00000051726	ENSMUST00000170580	12	-1	17172100	17176888	Kcnf1	protein_coding
ENSMUSG00000020571	ENSMUST00000057288	12	1	17266545	17284770	Pdia6	protein_coding
ENSMUSG00000020566	ENSMUST00000095820	12	-1	17284721	17324712	Atp6v1c2	protein_coding
ENSMUSG00000020566	ENSMUST00000020884	12	-1	17284722	17324703	Atp6v1c2	protein_coding
ENSMUSG00000020566	ENSMUST00000156727	12	-1	17284723	17308413	Atp6v1c2	protein_coding
ENSMUSG00000020566	ENSMUST00000221129	12	-1	17284725	17324730	Atp6v1c2	protein_coding
ENSMUSG00000020566	ENSMUST00000153090	12	-1	17297796	17329348	Atp6v1c2	protein_coding
ENSMUSG00000020566	ENSMUST00000127185	12	-1	17308301	17324730	Atp6v1c2	protein_coding
ENSMUSG00000020566	ENSMUST00000143131	12	-1	17308345	17329359	Atp6v1c2	protein_coding
ENSMUSG00000061458	ENSMUST00000046011	12	1	17348458	17430095	Nol10	protein_coding
ENSMUSG00000011179	ENSMUST00000171737	12	1	17544794	17551084	Odc1	protein_coding
ENSMUSG00000071379	ENSMUST00000071858	12	1	17690856	17791933	Hpcal1	protein_coding
ENSMUSG00000071379	ENSMUST00000222944	12	1	17728226	17791126	Hpcal1	protein_coding
ENSMUSG00000073197	ENSMUST00000177778	12	1	18514510	18535254	5730507C01Rik	protein_coding
ENSMUSG00000073197	ENSMUST00000063216	12	1	18514546	18535251	5730507C01Rik	protein_coding
ENSMUSG00000095470	ENSMUST00000179133	12	1	19954505	19954840	Gm21863	protein_coding
ENSMUSG00000052632	ENSMUST00000064595	12	1	21111748	21270171	Asap2	protein_coding
ENSMUSG00000052632	ENSMUST00000101562	12	1	21111748	21270171	Asap2	protein_coding
ENSMUSG00000052632	ENSMUST00000090834	12	1	21111756	21270171	Asap2	protein_coding
ENSMUSG00000052632	ENSMUST00000050990	12	1	21111954	21268179	Asap2	protein_coding
ENSMUSG00000062352	ENSMUST00000232072	12	-1	21267420	21286219	Itgb1bp1	protein_coding
ENSMUSG00000062352	ENSMUST00000076260	12	-1	21269806	21286284	Itgb1bp1	protein_coding
ENSMUSG00000062352	ENSMUST00000173729	12	-1	21270093	21286097	Itgb1bp1	protein_coding
ENSMUSG00000062352	ENSMUST00000173688	12	-1	21270704	21272123	Itgb1bp1	protein_coding
ENSMUSG00000062352	ENSMUST00000172834	12	-1	21271288	21286185	Itgb1bp1	protein_coding
ENSMUSG00000054309	ENSMUST00000221711	12	1	21285391	21286540	Cpsf3	protein_coding
ENSMUSG00000054309	ENSMUST00000221507	12	1	21285525	21295078	Cpsf3	protein_coding
ENSMUSG00000054309	ENSMUST00000222474	12	1	21285973	21290282	Cpsf3	protein_coding
ENSMUSG00000054309	ENSMUST00000067284	12	1	21286358	21315056	Cpsf3	protein_coding
ENSMUSG00000054309	ENSMUST00000221145	12	1	21286399	21297938	Cpsf3	protein_coding
ENSMUSG00000054309	ENSMUST00000222968	12	1	21286399	21308236	Cpsf3	protein_coding
ENSMUSG00000062054	ENSMUST00000076813	12	1	21316389	21323819	Iah1	protein_coding
ENSMUSG00000062054	ENSMUST00000221693	12	1	21316403	21321441	Iah1	protein_coding
ENSMUSG00000062054	ENSMUST00000223345	12	1	21316414	21321358	Iah1	protein_coding
ENSMUSG00000062054	ENSMUST00000222344	12	1	21316436	21320776	Iah1	protein_coding
ENSMUSG00000052593	ENSMUST00000101551	12	-1	21323509	21373593	Adam17	protein_coding
ENSMUSG00000052593	ENSMUST00000064536	12	-1	21323517	21373632	Adam17	protein_coding
ENSMUSG00000052593	ENSMUST00000232107	12	-1	21323811	21373539	Adam17	protein_coding
ENSMUSG00000076432	ENSMUST00000135088	12	-1	21390071	21417637	Ywhaq	protein_coding
ENSMUSG00000076432	ENSMUST00000103002	12	-1	21390329	21417436	Ywhaq	protein_coding
ENSMUSG00000076432	ENSMUST00000155480	12	-1	21390332	21417588	Ywhaq	protein_coding
ENSMUSG00000071362	ENSMUST00000072014	12	-1	23778912	23780265	Gm10330	protein_coding
ENSMUSG00000073158	ENSMUST00000101538	12	-1	24043202	24097246	9030624G23Rik	protein_coding
ENSMUSG00000059669	ENSMUST00000075954	12	1	24498359	24558539	Taf1b	protein_coding
ENSMUSG00000059669	ENSMUST00000222710	12	1	24498611	24509748	Taf1b	protein_coding
ENSMUSG00000020656	ENSMUST00000085553	12	1	24572283	24617388	Grhl1	protein_coding
ENSMUSG00000020656	ENSMUST00000020985	12	1	24580749	24617391	Grhl1	protein_coding
ENSMUSG00000020653	ENSMUST00000020982	12	1	24651274	24662789	Klf11	protein_coding
ENSMUSG00000020653	ENSMUST00000139940	12	1	24651896	24653810	Klf11	protein_coding
ENSMUSG00000020653	ENSMUST00000146894	12	1	24651896	24655142	Klf11	protein_coding
ENSMUSG00000020653	ENSMUST00000144046	12	1	24652154	24655137	Klf11	protein_coding
ENSMUSG00000062563	ENSMUST00000156453	12	-1	24665833	24680908	Cys1	protein_coding
ENSMUSG00000062563	ENSMUST00000186602	12	-1	24665848	24681795	Cys1	protein_coding
ENSMUSG00000062563	ENSMUST00000189849	12	-1	24665848	24681795	Cys1	protein_coding
ENSMUSG00000062563	ENSMUST00000172771	12	-1	24668453	24680719	Cys1	protein_coding
ENSMUSG00000020649	ENSMUST00000020980	12	1	24708241	24714146	Rrm2	protein_coding
ENSMUSG00000020649	ENSMUST00000153058	12	1	24708752	24711769	Rrm2	protein_coding
ENSMUSG00000020649	ENSMUST00000154588	12	1	24709029	24713341	Rrm2	protein_coding
ENSMUSG00000020646	ENSMUST00000222198	12	1	24830879	24939302	Mboat2	protein_coding
ENSMUSG00000020646	ENSMUST00000221952	12	1	24831609	24964397	Mboat2	protein_coding
ENSMUSG00000020646	ENSMUST00000078902	12	1	24831618	24960305	Mboat2	protein_coding
ENSMUSG00000020646	ENSMUST00000110942	12	1	24831623	24959874	Mboat2	protein_coding
ENSMUSG00000036333	ENSMUST00000066652	12	1	24974925	25059697	Kidins220	protein_coding
ENSMUSG00000036333	ENSMUST00000220459	12	1	24974972	25058029	Kidins220	protein_coding
ENSMUSG00000036333	ENSMUST00000222941	12	1	24974993	25058723	Kidins220	protein_coding
ENSMUSG00000036333	ENSMUST00000222013	12	1	24992218	25063152	Kidins220	protein_coding
ENSMUSG00000036333	ENSMUST00000222481	12	1	25053992	25063144	Kidins220	protein_coding
ENSMUSG00000020644	ENSMUST00000221761	12	-1	25093799	25097140	Id2	protein_coding
ENSMUSG00000020644	ENSMUST00000020974	12	-1	25093801	25096092	Id2	protein_coding
ENSMUSG00000020644	ENSMUST00000222667	12	-1	25095130	25096087	Id2	protein_coding
ENSMUSG00000020642	ENSMUST00000020971	12	-1	26306794	26415254	Rnf144a	protein_coding
ENSMUSG00000020642	ENSMUST00000062149	12	-1	26307034	26415216	Rnf144a	protein_coding
ENSMUSG00000020642	ENSMUST00000222082	12	-1	26321063	26415131	Rnf144a	protein_coding
ENSMUSG00000020641	ENSMUST00000020970	12	-1	26442746	26456452	Rsad2	protein_coding
ENSMUSG00000020638	ENSMUST00000020969	12	1	26469204	26479837	Cmpk2	protein_coding
ENSMUSG00000063632	ENSMUST00000079063	12	-1	27334264	27342574	Sox11	protein_coding
ENSMUSG00000020633	ENSMUST00000189735	12	-1	28437795	28548337	Dcdc2c	protein_coding
ENSMUSG00000020633	ENSMUST00000185916	12	-1	28469872	28552100	Dcdc2c	protein_coding
ENSMUSG00000020633	ENSMUST00000221349	12	-1	28469878	28552399	Dcdc2c	protein_coding
ENSMUSG00000020633	ENSMUST00000020963	12	-1	28516284	28552303	Dcdc2c	protein_coding
ENSMUSG00000020636	ENSMUST00000110917	12	-1	28553755	28582515	Allc	protein_coding
ENSMUSG00000020636	ENSMUST00000020965	12	-1	28553755	28582523	Allc	protein_coding
ENSMUSG00000036655	ENSMUST00000036136	12	-1	28594173	28623330	Colec11	protein_coding
ENSMUSG00000036655	ENSMUST00000220836	12	-1	28594657	28623260	Colec11	protein_coding
ENSMUSG00000061477	ENSMUST00000074267	12	-1	28630854	28635953	Rps7	protein_coding
ENSMUSG00000061477	ENSMUST00000221871	12	-1	28631084	28635857	Rps7	protein_coding
ENSMUSG00000020630	ENSMUST00000020959	12	1	28649602	28659589	Rnaseh1	protein_coding
ENSMUSG00000020629	ENSMUST00000020957	12	1	28675231	28682175	Adi1	protein_coding
ENSMUSG00000020628	ENSMUST00000168129	12	-1	28690628	28750472	Trappc12	protein_coding
ENSMUSG00000020628	ENSMUST00000020954	12	-1	28690629	28750453	Trappc12	protein_coding
ENSMUSG00000020628	ENSMUST00000170994	12	-1	28709507	28750377	Trappc12	protein_coding
ENSMUSG00000036613	ENSMUST00000221877	12	1	28751803	28869865	Eipr1	protein_coding
