ENSMUSG00000091028	ENSMUST00000151376	9	1	3000922	3002330	Gm10722	protein_coding
ENSMUSG00000025899	ENSMUST00000053407	9	1	3335478	3386929	Alkbh8	protein_coding
ENSMUSG00000025899	ENSMUST00000211933	9	1	3335478	3391154	Alkbh8	protein_coding
ENSMUSG00000025899	ENSMUST00000212666	9	1	3335493	3344616	Alkbh8	protein_coding
ENSMUSG00000025899	ENSMUST00000212154	9	1	3335511	3344647	Alkbh8	protein_coding
ENSMUSG00000025899	ENSMUST00000165105	9	1	3338445	3385842	Alkbh8	protein_coding
ENSMUSG00000025898	ENSMUST00000027027	9	1	3403592	3479236	Cwf19l2	protein_coding
ENSMUSG00000041624	ENSMUST00000115733	9	1	3532778	3894736	Gucy1a2	protein_coding
ENSMUSG00000025894	ENSMUST00000051589	9	-1	4294793	4309467	Aasdhppt	protein_coding
ENSMUSG00000025893	ENSMUST00000049648	9	1	4309833	4331732	Kbtbd3	protein_coding
ENSMUSG00000025893	ENSMUST00000212221	9	1	4309835	4331711	Kbtbd3	protein_coding
ENSMUSG00000041124	ENSMUST00000212075	9	1	4376562	4386870	Msantd4	protein_coding
ENSMUSG00000041124	ENSMUST00000047173	9	1	4383535	4386861	Msantd4	protein_coding
ENSMUSG00000025892	ENSMUST00000063508	9	-1	4417896	4796142	Gria4	protein_coding
ENSMUSG00000025892	ENSMUST00000212533	9	-1	4417899	4795519	Gria4	protein_coding
ENSMUSG00000025892	ENSMUST00000027020	9	-1	4417899	4796234	Gria4	protein_coding
ENSMUSG00000025892	ENSMUST00000163309	9	-1	4478263	4796234	Gria4	protein_coding
ENSMUSG00000025888	ENSMUST00000027015	9	1	5298517	5307265	Casp1	protein_coding
ENSMUSG00000033538	ENSMUST00000162846	9	1	5308828	5323713	Casp4	protein_coding
ENSMUSG00000033538	ENSMUST00000027012	9	1	5308849	5336783	Casp4	protein_coding
ENSMUSG00000025887	ENSMUST00000027009	9	1	5345430	5373032	Casp12	protein_coding
ENSMUSG00000025887	ENSMUST00000151332	9	1	5345504	5358823	Casp12	protein_coding
ENSMUSG00000032006	ENSMUST00000058692	9	1	6168584	6378845	Pdgfd	protein_coding
ENSMUSG00000032006	ENSMUST00000168039	9	1	6168612	6377519	Pdgfd	protein_coding
ENSMUSG00000032006	ENSMUST00000214892	9	1	6168661	6378850	Pdgfd	protein_coding
ENSMUSG00000047619	ENSMUST00000051706	9	-1	6262733	6269846	Ddi1	protein_coding
ENSMUSG00000047193	ENSMUST00000048417	9	-1	6928503	7177046	Dync2h1	protein_coding
ENSMUSG00000047193	ENSMUST00000140466	9	-1	6928503	7184446	Dync2h1	protein_coding
ENSMUSG00000047193	ENSMUST00000147193	9	-1	6929304	7176957	Dync2h1	protein_coding
ENSMUSG00000047193	ENSMUST00000216097	9	-1	7083184	7117588	Dync2h1	protein_coding
ENSMUSG00000047193	ENSMUST00000139115	9	-1	7149475	7176965	Dync2h1	protein_coding
ENSMUSG00000032002	ENSMUST00000215683	9	1	7184520	7208205	Dcun1d5	protein_coding
ENSMUSG00000032002	ENSMUST00000034499	9	1	7184551	7207040	Dcun1d5	protein_coding
ENSMUSG00000032002	ENSMUST00000215818	9	1	7203263	7206489	Dcun1d5	protein_coding
ENSMUSG00000050578	ENSMUST00000015394	9	1	7272514	7283331	Mmp13	protein_coding
ENSMUSG00000049723	ENSMUST00000150167	9	1	7344381	7349787	Mmp12	protein_coding
ENSMUSG00000049723	ENSMUST00000120655	9	1	7344397	7358464	Mmp12	protein_coding
ENSMUSG00000049723	ENSMUST00000005950	9	1	7347374	7360461	Mmp12	protein_coding
ENSMUSG00000049723	ENSMUST00000065079	9	1	7347374	7369499	Mmp12	protein_coding
ENSMUSG00000041620	ENSMUST00000047888	9	-1	7368239	7388047	Mmp1b	protein_coding
ENSMUSG00000043613	ENSMUST00000034497	9	1	7445822	7455975	Mmp3	protein_coding
ENSMUSG00000047562	ENSMUST00000034488	9	1	7502352	7510240	Mmp10	protein_coding
ENSMUSG00000005800	ENSMUST00000018765	9	1	7558456	7568485	Mmp8	protein_coding
ENSMUSG00000070323	ENSMUST00000120900	9	1	7571396	7581415	Mmp27	protein_coding
ENSMUSG00000070323	ENSMUST00000151853	9	1	7571458	7581410	Mmp27	protein_coding
ENSMUSG00000070323	ENSMUST00000152878	9	1	7571463	7581885	Mmp27	protein_coding
ENSMUSG00000018620	ENSMUST00000034487	9	1	7628231	7674979	Mmp20	protein_coding
ENSMUSG00000018623	ENSMUST00000018767	9	1	7692090	7699585	Mmp7	protein_coding
ENSMUSG00000050912	ENSMUST00000052865	9	1	7764041	7794333	Tmem123	protein_coding
ENSMUSG00000057367	ENSMUST00000190341	9	-1	7818227	7837057	Birc2	protein_coding
ENSMUSG00000057367	ENSMUST00000074246	9	-1	7818236	7835255	Birc2	protein_coding
ENSMUSG00000057367	ENSMUST00000054878	9	-1	7836687	7837064	Birc2	protein_coding
ENSMUSG00000032000	ENSMUST00000013949	9	-1	7848699	7873024	Birc3	protein_coding
ENSMUSG00000032000	ENSMUST00000115672	9	-1	7855815	7872983	Birc3	protein_coding
ENSMUSG00000032000	ENSMUST00000159323	9	-1	7860791	7873170	Birc3	protein_coding
ENSMUSG00000032000	ENSMUST00000115673	9	-1	7860810	7873186	Birc3	protein_coding
ENSMUSG00000053110	ENSMUST00000086580	9	-1	7931999	8004588	Yap1	protein_coding
ENSMUSG00000053110	ENSMUST00000065353	9	-1	7931999	8004596	Yap1	protein_coding
ENSMUSG00000053110	ENSMUST00000174604	9	-1	7934497	8001703	Yap1	protein_coding
ENSMUSG00000053070	ENSMUST00000065291	9	-1	8021672	8042823	Cfap300	protein_coding
ENSMUSG00000053070	ENSMUST00000215478	9	-1	8022314	8042813	Cfap300	protein_coding
ENSMUSG00000040729	ENSMUST00000037397	9	-1	8076461	8134294	Cep126	protein_coding
ENSMUSG00000031997	ENSMUST00000050433	9	1	8544142	8680741	Trpc6	protein_coding
ENSMUSG00000031997	ENSMUST00000217462	9	1	8544196	8628582	Trpc6	protein_coding
ENSMUSG00000031997	ENSMUST00000214596	9	1	8544243	8680730	Trpc6	protein_coding
ENSMUSG00000031870	ENSMUST00000189181	9	1	8899833	8968611	Pgr	protein_coding
ENSMUSG00000031870	ENSMUST00000070463	9	1	8900468	8965425	Pgr	protein_coding
ENSMUSG00000031870	ENSMUST00000098986	9	1	8900468	8965425	Pgr	protein_coding
ENSMUSG00000078117	ENSMUST00000104915	9	1	8971791	8975773	Gm16485	protein_coding
ENSMUSG00000050730	ENSMUST00000093893	9	-1	8994329	9239101	Arhgap42	protein_coding
ENSMUSG00000050730	ENSMUST00000215397	9	-1	9059104	9238900	Arhgap42	protein_coding
ENSMUSG00000050730	ENSMUST00000183182	9	-1	9147356	9239026	Arhgap42	protein_coding
ENSMUSG00000039488	ENSMUST00000162484	9	-1	9660891	10904726	Cntn5	protein_coding
ENSMUSG00000039488	ENSMUST00000160216	9	-1	9660969	10904775	Cntn5	protein_coding
ENSMUSG00000039488	ENSMUST00000074133	9	-1	9661363	10419090	Cntn5	protein_coding
ENSMUSG00000039488	ENSMUST00000179049	9	-1	9661363	10419090	Cntn5	protein_coding
ENSMUSG00000079083	ENSMUST00000110582	9	-1	13242607	13245829	Jrkl	protein_coding
ENSMUSG00000079084	ENSMUST00000217444	9	1	13246968	13292520	Ccdc82	protein_coding
ENSMUSG00000079084	ENSMUST00000110583	9	1	13246979	13292353	Ccdc82	protein_coding
ENSMUSG00000079084	ENSMUST00000216578	9	1	13250735	13252569	Ccdc82	protein_coding
ENSMUSG00000031925	ENSMUST00000159294	9	1	13297957	13709388	Maml2	protein_coding
ENSMUSG00000090592	ENSMUST00000167906	9	-1	13444034	13446753	Gm17571	protein_coding
ENSMUSG00000031925	ENSMUST00000034401	9	1	13621646	13707343	Maml2	protein_coding
ENSMUSG00000031925	ENSMUST00000177755	9	1	13662460	13707345	Maml2	protein_coding
ENSMUSG00000031918	ENSMUST00000034396	9	1	13748410	13806481	Mtmr2	protein_coding
ENSMUSG00000031918	ENSMUST00000155679	9	1	13749181	13806481	Mtmr2	protein_coding
ENSMUSG00000031918	ENSMUST00000156801	9	1	13749319	13786175	Mtmr2	protein_coding
ENSMUSG00000031918	ENSMUST00000134530	9	1	13749389	13786175	Mtmr2	protein_coding
ENSMUSG00000031918	ENSMUST00000152532	9	1	13766043	13792043	Mtmr2	protein_coding
ENSMUSG00000031922	ENSMUST00000034398	9	-1	13807794	13827107	Cep57	protein_coding
ENSMUSG00000031922	ENSMUST00000148086	9	-1	13807795	13827052	Cep57	protein_coding
ENSMUSG00000031922	ENSMUST00000147115	9	-1	13807825	13826955	Cep57	protein_coding
ENSMUSG00000031922	ENSMUST00000124883	9	-1	13808184	13818686	Cep57	protein_coding
ENSMUSG00000031922	ENSMUST00000150893	9	-1	13808816	13818665	Cep57	protein_coding
ENSMUSG00000031922	ENSMUST00000151878	9	-1	13810720	13818909	Cep57	protein_coding
ENSMUSG00000037808	ENSMUST00000059579	9	1	13827716	13846541	Fam76b	protein_coding
ENSMUSG00000037808	ENSMUST00000213416	9	1	13836877	13854987	Fam76b	protein_coding
ENSMUSG00000032009	ENSMUST00000209187	9	1	14275067	14325817	Sesn3	protein_coding
ENSMUSG00000032009	ENSMUST00000034507	9	1	14275083	14325777	Sesn3	protein_coding
ENSMUSG00000032009	ENSMUST00000208222	9	1	14276301	14333101	Sesn3	protein_coding
ENSMUSG00000037419	ENSMUST00000167549	9	-1	14353990	14381242	Endod1	protein_coding
ENSMUSG00000037419	ENSMUST00000214236	9	-1	14379503	14380983	Endod1	protein_coding
ENSMUSG00000053914	ENSMUST00000058796	9	-1	14462548	14500482	Kdm4d	protein_coding
ENSMUSG00000053914	ENSMUST00000115647	9	-1	14463210	14500400	Kdm4d	protein_coding
ENSMUSG00000004096	ENSMUST00000004200	9	1	14500617	14510577	Cwc15	protein_coding
ENSMUSG00000004096	ENSMUST00000213913	9	1	14500647	14510365	Cwc15	protein_coding
ENSMUSG00000004096	ENSMUST00000215143	9	1	14500886	14502920	Cwc15	protein_coding
ENSMUSG00000013076	ENSMUST00000013220	9	-1	14541966	14615006	Amotl1	protein_coding
ENSMUSG00000013076	ENSMUST00000223132	9	-1	14547792	14645056	Amotl1	protein_coding
ENSMUSG00000013076	ENSMUST00000162901	9	-1	14593444	14615483	Amotl1	protein_coding
ENSMUSG00000036912	ENSMUST00000136399	9	-1	14696230	14705070	Piwil4	protein_coding
ENSMUSG00000036912	ENSMUST00000115644	9	-1	14701778	14740721	Piwil4	protein_coding
ENSMUSG00000036912	ENSMUST00000076946	9	-1	14702358	14740733	Piwil4	protein_coding
ENSMUSG00000049307	ENSMUST00000061498	9	-1	14748320	14752393	Fut4	protein_coding
ENSMUSG00000031927	ENSMUST00000191047	9	-1	14758191	14771013	1700012B09Rik	protein_coding
ENSMUSG00000031927	ENSMUST00000060330	9	-1	14758191	14771030	1700012B09Rik	protein_coding
ENSMUSG00000031931	ENSMUST00000216372	9	-1	14779618	14784856	Ankrd49	protein_coding
ENSMUSG00000031931	ENSMUST00000214456	9	-1	14779787	14784550	Ankrd49	protein_coding
ENSMUSG00000031931	ENSMUST00000034406	9	-1	14780209	14782964	Ankrd49	protein_coding
ENSMUSG00000031931	ENSMUST00000216037	9	-1	14780989	14784526	Ankrd49	protein_coding
ENSMUSG00000031931	ENSMUST00000214979	9	-1	14782830	14784522	Ankrd49	protein_coding
ENSMUSG00000031928	ENSMUST00000034405	9	1	14784654	14834646	Mre11a	protein_coding
ENSMUSG00000031928	ENSMUST00000115632	9	1	14784676	14837123	Mre11a	protein_coding
ENSMUSG00000031928	ENSMUST00000147305	9	1	14784702	14799620	Mre11a	protein_coding
ENSMUSG00000031928	ENSMUST00000215820	9	1	14785008	14790590	Mre11a	protein_coding
ENSMUSG00000031928	ENSMUST00000147676	9	1	14797153	14811939	Mre11a	protein_coding
ENSMUSG00000031932	ENSMUST00000034408	9	1	14860210	14870789	Gpr83	protein_coding
ENSMUSG00000031932	ENSMUST00000115624	9	1	14860254	14870310	Gpr83	protein_coding
ENSMUSG00000031933	ENSMUST00000069408	9	-1	14885814	14903884	Izumo1r	protein_coding
ENSMUSG00000031933	ENSMUST00000117620	9	-1	14893049	14903949	Izumo1r	protein_coding
ENSMUSG00000031933	ENSMUST00000034409	9	-1	14900023	14903932	Izumo1r	protein_coding
ENSMUSG00000031933	ENSMUST00000121116	9	-1	14900028	14903756	Izumo1r	protein_coding
ENSMUSG00000031933	ENSMUST00000148155	9	-1	14900770	14903754	Izumo1r	protein_coding
ENSMUSG00000031934	ENSMUST00000164273	9	-1	15002128	15045478	Panx1	protein_coding
ENSMUSG00000031934	ENSMUST00000169288	9	-1	15010086	15043797	Panx1	protein_coding
ENSMUSG00000031936	ENSMUST00000159985	9	-1	15051841	15112108	Hephl1	protein_coding
ENSMUSG00000031937	ENSMUST00000034413	9	1	15239045	15259416	Vstm5	protein_coding
ENSMUSG00000031935	ENSMUST00000034411	9	-1	15260351	15279931	Med17	protein_coding
ENSMUSG00000031935	ENSMUST00000213788	9	-1	15262007	15270452	Med17	protein_coding
ENSMUSG00000031935	ENSMUST00000216406	9	-1	15271728	15279903	Med17	protein_coding
ENSMUSG00000031938	ENSMUST00000180339	9	-1	15283337	15306448	4931406C07Rik	protein_coding
ENSMUSG00000031938	ENSMUST00000034414	9	-1	15283339	15301556	4931406C07Rik	protein_coding
ENSMUSG00000031938	ENSMUST00000178977	9	-1	15283339	15306167	4931406C07Rik	protein_coding
ENSMUSG00000031938	ENSMUST00000216955	9	-1	15284103	15306130	4931406C07Rik	protein_coding
ENSMUSG00000031938	ENSMUST00000217042	9	-1	15296401	15301514	4931406C07Rik	protein_coding
ENSMUSG00000031939	ENSMUST00000034415	9	1	15306214	15312104	Taf1d	protein_coding
ENSMUSG00000031939	ENSMUST00000215124	9	1	15306258	15308915	Taf1d	protein_coding
ENSMUSG00000031939	ENSMUST00000164079	9	1	15306264	15311798	Taf1d	protein_coding
ENSMUSG00000031939	ENSMUST00000216109	9	1	15306329	15308733	Taf1d	protein_coding
ENSMUSG00000031939	ENSMUST00000214316	9	1	15311630	15312104	Taf1d	protein_coding
ENSMUSG00000046111	ENSMUST00000160946	9	-1	15316915	15333392	Cep295	protein_coding
ENSMUSG00000046111	ENSMUST00000161132	9	-1	15316920	15357788	Cep295	protein_coding
ENSMUSG00000046111	ENSMUST00000217140	9	-1	15316986	15318013	Cep295	protein_coding
ENSMUSG00000046111	ENSMUST00000098979	9	-1	15317097	15357788	Cep295	protein_coding
ENSMUSG00000046111	ENSMUST00000159156	9	-1	15322999	15326179	Cep295	protein_coding
ENSMUSG00000046111	ENSMUST00000162264	9	-1	15325542	15331978	Cep295	protein_coding
ENSMUSG00000058173	ENSMUST00000215907	9	1	15493432	15545257	Smco4	protein_coding
ENSMUSG00000058173	ENSMUST00000045620	9	1	15505487	15545260	Smco4	protein_coding
ENSMUSG00000058173	ENSMUST00000178999	9	1	15520859	15545260	Smco4	protein_coding
ENSMUSG00000039977	ENSMUST00000115592	9	-1	15559864	15626731	Deup1	protein_coding
ENSMUSG00000039977	ENSMUST00000115593	9	-1	15559870	15627933	Deup1	protein_coding
ENSMUSG00000039977	ENSMUST00000045513	9	-1	15560558	15627903	Deup1	protein_coding
ENSMUSG00000039977	ENSMUST00000152377	9	-1	15584177	15627914	Deup1	protein_coding
ENSMUSG00000043885	ENSMUST00000115588	9	1	15709738	15738579	Slc36a4	protein_coding
ENSMUSG00000043885	ENSMUST00000061568	9	1	15709739	15743361	Slc36a4	protein_coding
ENSMUSG00000050901	ENSMUST00000057920	9	-1	15862667	15874460	Mtnr1b	protein_coding
ENSMUSG00000074505	ENSMUST00000217187	9	-1	15910189	15922756	Fat3	protein_coding
ENSMUSG00000074505	ENSMUST00000217308	9	-1	15910189	16501285	Fat3	protein_coding
ENSMUSG00000074505	ENSMUST00000082170	9	-1	15910205	16378231	Fat3	protein_coding
ENSMUSG00000001774	ENSMUST00000001825	9	1	18292125	18317442	Chordc1	protein_coding
ENSMUSG00000001774	ENSMUST00000213605	9	1	18292306	18302282	Chordc1	protein_coding
ENSMUSG00000001774	ENSMUST00000217031	9	1	18292355	18312013	Chordc1	protein_coding
ENSMUSG00000043943	ENSMUST00000172171	9	-1	18321951	18397538	Naalad2	protein_coding
ENSMUSG00000043943	ENSMUST00000166825	9	-1	18323020	18386036	Naalad2	protein_coding
ENSMUSG00000043943	ENSMUST00000001826	9	-1	18323021	18392123	Naalad2	protein_coding
ENSMUSG00000043943	ENSMUST00000172116	9	-1	18385058	18402972	Naalad2	protein_coding
ENSMUSG00000043943	ENSMUST00000101453	9	-1	18385829	18402974	Naalad2	protein_coding
ENSMUSG00000043943	ENSMUST00000164081	9	-1	18388074	18402995	Naalad2	protein_coding
ENSMUSG00000074502	ENSMUST00000164441	9	1	18404418	18411502	Ubtfl1	protein_coding
ENSMUSG00000074502	ENSMUST00000169398	9	1	18404420	18413177	Ubtfl1	protein_coding
ENSMUSG00000074502	ENSMUST00000098973	9	1	18409094	18410742	Ubtfl1	protein_coding
ENSMUSG00000047508	ENSMUST00000213777	9	1	18430654	18446316	Mbd3l2	protein_coding
ENSMUSG00000047508	ENSMUST00000051008	9	1	18443456	18446312	Mbd3l2	protein_coding
ENSMUSG00000074500	ENSMUST00000034647	9	-1	18456192	18473559	Zfp558	protein_coding
ENSMUSG00000038691	ENSMUST00000213625	9	1	18478359	18485292	Mbd3l1	protein_coding
ENSMUSG00000038691	ENSMUST00000069218	9	1	18478379	18485298	Mbd3l1	protein_coding
ENSMUSG00000038691	ENSMUST00000215255	9	1	18478403	18485239	Mbd3l1	protein_coding
ENSMUSG00000109564	ENSMUST00000034653	9	-1	18495455	18512885	Muc16	protein_coding
ENSMUSG00000109564	ENSMUST00000207857	9	-1	18495518	18622235	Muc16	protein_coding
ENSMUSG00000109564	ENSMUST00000208663	9	-1	18495518	18674530	Muc16	protein_coding
ENSMUSG00000109564	ENSMUST00000207509	9	-1	18605226	18622235	Muc16	protein_coding
ENSMUSG00000054141	ENSMUST00000216754	9	-1	18751507	18763996	Olfr24	protein_coding
ENSMUSG00000054141	ENSMUST00000066997	9	-1	18754553	18755709	Olfr24	protein_coding
ENSMUSG00000078116	ENSMUST00000215380	9	-1	18814728	18819526	Olfr828	protein_coding
ENSMUSG00000078116	ENSMUST00000104914	9	-1	18815354	18816292	Olfr828	protein_coding
ENSMUSG00000051414	ENSMUST00000212229	9	1	18854933	18859080	Olfr829	protein_coding
ENSMUSG00000051414	ENSMUST00000058411	9	1	18856627	18857592	Olfr829	protein_coding
ENSMUSG00000062868	ENSMUST00000212723	9	1	18874693	18878369	Olfr830	protein_coding
ENSMUSG00000062868	ENSMUST00000078861	9	1	18875329	18876276	Olfr830	protein_coding
ENSMUSG00000095957	ENSMUST00000218385	9	1	18937122	18948940	Olfr832	protein_coding
ENSMUSG00000095957	ENSMUST00000060601	9	1	18944650	18945588	Olfr832	protein_coding
ENSMUSG00000095525	ENSMUST00000086492	9	1	18987990	18988928	Olfr834	protein_coding
ENSMUSG00000045204	ENSMUST00000213018	9	1	19032735	19037670	Olfr835	protein_coding
ENSMUSG00000045204	ENSMUST00000059315	9	1	19035125	19036060	Olfr835	protein_coding
ENSMUSG00000059303	ENSMUST00000212730	9	1	19120382	19125938	Olfr836	protein_coding
ENSMUSG00000059303	ENSMUST00000215981	9	1	19120595	19125938	Olfr836	protein_coding
ENSMUSG00000059303	ENSMUST00000074986	9	1	19120957	19121911	Olfr836	protein_coding
ENSMUSG00000110621	ENSMUST00000215699	9	1	19136317	19140641	Olfr837	protein_coding
ENSMUSG00000110621	ENSMUST00000212482	9	1	19136928	19137967	Olfr837	protein_coding
ENSMUSG00000110519	ENSMUST00000212127	9	-1	19168407	19177312	Olfr839-ps1	protein_coding
ENSMUSG00000048391	ENSMUST00000214019	9	-1	19242956	19251977	Olfr843	protein_coding
ENSMUSG00000048391	ENSMUST00000214267	9	-1	19242956	19251987	Olfr843	protein_coding
ENSMUSG00000048391	ENSMUST00000061365	9	-1	19248357	19249463	Olfr843	protein_coding
ENSMUSG00000049229	ENSMUST00000220268	9	1	19316347	19320097	Olfr844	protein_coding
ENSMUSG00000049229	ENSMUST00000054106	9	1	19318536	19319465	Olfr844	protein_coding
ENSMUSG00000061614	ENSMUST00000215572	9	1	19336457	19341718	Olfr845	protein_coding
ENSMUSG00000061614	ENSMUST00000213344	9	1	19336499	19341718	Olfr845	protein_coding
ENSMUSG00000061614	ENSMUST00000071259	9	1	19338459	19339400	Olfr845	protein_coding
ENSMUSG00000058692	ENSMUST00000214810	9	-1	19357065	19364005	Olfr846	protein_coding
ENSMUSG00000058692	ENSMUST00000078774	9	-1	19360415	19361356	Olfr846	protein_coding
ENSMUSG00000059821	ENSMUST00000216839	9	-1	19373668	19378669	Olfr847	protein_coding
ENSMUSG00000059821	ENSMUST00000079620	9	-1	19374941	19375879	Olfr847	protein_coding
ENSMUSG00000052182	ENSMUST00000217273	9	1	19440266	19446923	Olfr849	protein_coding
ENSMUSG00000052182	ENSMUST00000063923	9	1	19440915	19441853	Olfr849	protein_coding
ENSMUSG00000094535	ENSMUST00000211832	9	-1	19477301	19478247	Olfr850	protein_coding
ENSMUSG00000094535	ENSMUST00000077347	9	-1	19477301	19478248	Olfr850	protein_coding
ENSMUSG00000052625	ENSMUST00000214130	9	1	19493295	19502815	Olfr851	protein_coding
ENSMUSG00000052625	ENSMUST00000064582	9	1	19496750	19497688	Olfr851	protein_coding
ENSMUSG00000051160	ENSMUST00000213834	9	-1	19534202	19541076	Olfr853	protein_coding
ENSMUSG00000051160	ENSMUST00000058296	9	-1	19537011	19537928	Olfr853	protein_coding
ENSMUSG00000095667	ENSMUST00000212872	9	-1	19566435	19567373	Olfr854	protein_coding
ENSMUSG00000095667	ENSMUST00000072419	9	-1	19566435	19567382	Olfr854	protein_coding
ENSMUSG00000043087	ENSMUST00000215587	9	1	19582617	19586030	Olfr855	protein_coding
ENSMUSG00000043087	ENSMUST00000061693	9	1	19584511	19585502	Olfr855	protein_coding
ENSMUSG00000057551	ENSMUST00000213725	9	1	19622102	19648338	Zfp317	protein_coding
ENSMUSG00000057551	ENSMUST00000208694	9	1	19622128	19649731	Zfp317	protein_coding
ENSMUSG00000057551	ENSMUST00000215372	9	1	19622304	19648375	Zfp317	protein_coding
ENSMUSG00000057551	ENSMUST00000079042	9	1	19641224	19648048	Zfp317	protein_coding
ENSMUSG00000094678	ENSMUST00000212013	9	1	19709433	19714930	Olfr857	protein_coding
ENSMUSG00000094678	ENSMUST00000217450	9	1	19709433	19714930	Olfr857	protein_coding
ENSMUSG00000094678	ENSMUST00000077023	9	1	19712829	19713758	Olfr857	protein_coding
ENSMUSG00000058659	ENSMUST00000212363	9	1	19780283	19783392	Olfr58	protein_coding
ENSMUSG00000058659	ENSMUST00000215112	9	1	19780283	19785333	Olfr58	protein_coding
ENSMUSG00000095448	ENSMUST00000212540	9	1	19804906	19817626	Olfr859	protein_coding
ENSMUSG00000095448	ENSMUST00000217280	9	1	19804908	19817626	Olfr859	protein_coding
ENSMUSG00000095448	ENSMUST00000086480	9	1	19808320	19809249	Olfr859	protein_coding
ENSMUSG00000066905	ENSMUST00000086482	9	-1	19845156	19849747	Olfr860	protein_coding
ENSMUSG00000066905	ENSMUST00000212353	9	-1	19845623	19846652	Olfr860	protein_coding
ENSMUSG00000066905	ENSMUST00000211924	9	-1	19846121	19849747	Olfr860	protein_coding
ENSMUSG00000063842	ENSMUST00000079660	9	-1	19882417	19888004	Olfr862	protein_coding
ENSMUSG00000063842	ENSMUST00000073765	9	-1	19883309	19884343	Olfr862	protein_coding
ENSMUSG00000051118	ENSMUST00000217347	9	1	19916865	19925603	Olfr77	protein_coding
ENSMUSG00000051118	ENSMUST00000057596	9	1	19916865	19929124	Olfr77	protein_coding
ENSMUSG00000050803	ENSMUST00000062248	9	-1	20026959	20028035	Olfr866	protein_coding
ENSMUSG00000044454	ENSMUST00000212098	9	-1	20050955	20057562	Olfr867	protein_coding
ENSMUSG00000044454	ENSMUST00000216538	9	-1	20050955	20057562	Olfr867	protein_coding
ENSMUSG00000044454	ENSMUST00000060780	9	-1	20054466	20055461	Olfr867	protein_coding
ENSMUSG00000044106	ENSMUST00000212767	9	1	20098626	20104754	Olfr868	protein_coding
ENSMUSG00000044106	ENSMUST00000212999	9	1	20098626	20104754	Olfr868	protein_coding
ENSMUSG00000058491	ENSMUST00000213024	9	1	20129009	20138763	Olfr869	protein_coding
ENSMUSG00000066899	ENSMUST00000215984	9	-1	20168533	20174057	Olfr870	protein_coding
ENSMUSG00000066899	ENSMUST00000086476	9	-1	20170634	20171569	Olfr870	protein_coding
ENSMUSG00000061457	ENSMUST00000073122	9	1	20212207	20213353	Olfr871	protein_coding
ENSMUSG00000066897	ENSMUST00000086474	9	1	20237119	20261643	Olfr872	protein_coding
ENSMUSG00000059623	ENSMUST00000071725	9	1	20282351	20286648	Olfr39	protein_coding
ENSMUSG00000059623	ENSMUST00000212983	9	1	20282351	20287578	Olfr39	protein_coding
ENSMUSG00000049028	ENSMUST00000215540	9	1	20298532	20303455	Olfr873	protein_coding
ENSMUSG00000049028	ENSMUST00000075717	9	1	20298595	20301170	Olfr873	protein_coding
ENSMUSG00000049028	ENSMUST00000053919	9	1	20300129	20301190	Olfr873	protein_coding
ENSMUSG00000066896	ENSMUST00000212943	9	-1	20312152	20336094	Olfr18	protein_coding
