ENSG00000272636	ENST00000343572	17	-1	5810	31427	DOC2B	protein_coding
ENSG00000159842	ENST00000574266	17	-1	995039	1083078	ABR	protein_coding
ENSG00000205899	ENST00000391429	17	1	1173853	1174754	BHLHA9	protein_coding
ENSG00000184811	ENST00000333813	17	1	1182957	1204281	TUSC5	protein_coding
ENSG00000108953	ENST00000264335	17	-1	1247566	1303672	YWHAE	protein_coding
ENSG00000108953	ENST00000571732	17	-1	1247834	1303514	YWHAE	protein_coding
ENSG00000108953	ENST00000573026	17	-1	1248149	1303475	YWHAE	protein_coding
ENSG00000108953	ENST00000496706	17	-1	1248449	1264588	YWHAE	protein_coding
ENSG00000108953	ENST00000575977	17	-1	1248622	1303508	YWHAE	protein_coding
ENSG00000167193	ENST00000398970	17	-1	1323983	1359517	CRK	protein_coding
ENSG00000167193	ENST00000300574	17	-1	1323983	1359552	CRK	protein_coding
ENSG00000167193	ENST00000574295	17	-1	1325520	1359443	CRK	protein_coding
ENSG00000197879	ENST00000359786	17	-1	1367392	1396106	MYO1C	protein_coding
ENSG00000197879	ENST00000438665	17	-1	1367480	1389228	MYO1C	protein_coding
ENSG00000197879	ENST00000575158	17	-1	1367480	1389495	MYO1C	protein_coding
ENSG00000197879	ENST00000361007	17	-1	1367482	1394972	MYO1C	protein_coding
ENSG00000197879	ENST00000545534	17	-1	1368707	1388661	MYO1C	protein_coding
ENSG00000197879	ENST00000570984	17	-1	1383821	1394963	MYO1C	protein_coding
ENSG00000197879	ENST00000573853	17	-1	1385783	1390215	MYO1C	protein_coding
ENSG00000197879	ENST00000574790	17	-1	1385800	1395334	MYO1C	protein_coding
ENSG00000197879	ENST00000570490	17	-1	1385827	1387951	MYO1C	protein_coding
ENSG00000197879	ENST00000575335	17	-1	1386183	1394531	MYO1C	protein_coding
ENSG00000197879	ENST00000571715	17	-1	1386194	1390354	MYO1C	protein_coding
ENSG00000132376	ENST00000421807	17	-1	1397865	1420182	INPP5K	protein_coding
ENSG00000132376	ENST00000406424	17	-1	1397903	1420036	INPP5K	protein_coding
ENSG00000132376	ENST00000320345	17	-1	1398051	1420029	INPP5K	protein_coding
ENSG00000132376	ENST00000397335	17	-1	1398861	1419914	INPP5K	protein_coding
ENSG00000132376	ENST00000542125	17	-1	1398924	1419912	INPP5K	protein_coding
ENSG00000132376	ENST00000574561	17	-1	1399449	1419921	INPP5K	protein_coding
ENSG00000132376	ENST00000449479	17	-1	1401230	1419888	INPP5K	protein_coding
ENSG00000132376	ENST00000575172	17	-1	1410287	1419912	INPP5K	protein_coding
ENSG00000132376	ENST00000571274	17	-1	1412544	1418995	INPP5K	protein_coding
ENSG00000132376	ENST00000477910	17	-1	1412977	1419906	INPP5K	protein_coding
ENSG00000132376	ENST00000498390	17	-1	1413009	1419947	INPP5K	protein_coding
ENSG00000174238	ENST00000313486	17	-1	1421012	1466110	PITPNA	protein_coding
ENSG00000174238	ENST00000539476	17	-1	1421287	1466110	PITPNA	protein_coding
ENSG00000174238	ENST00000574991	17	-1	1437463	1456366	PITPNA	protein_coding
ENSG00000174238	ENST00000576722	17	-1	1438476	1466033	PITPNA	protein_coding
ENSG00000174238	ENST00000575895	17	-1	1438556	1463095	PITPNA	protein_coding
ENSG00000174238	ENST00000576761	17	-1	1438765	1466062	PITPNA	protein_coding
ENSG00000174238	ENST00000576010	17	-1	1438801	1466074	PITPNA	protein_coding
ENSG00000174238	ENST00000573231	17	-1	1444881	1465924	PITPNA	protein_coding
ENSG00000174238	ENST00000573056	17	-1	1446314	1463095	PITPNA	protein_coding
ENSG00000167703	ENST00000301335	17	-1	1472561	1532130	SLC43A2	protein_coding
ENSG00000167703	ENST00000571650	17	-1	1477673	1531635	SLC43A2	protein_coding
ENSG00000167703	ENST00000382147	17	-1	1477698	1532130	SLC43A2	protein_coding
ENSG00000167703	ENST00000412517	17	-1	1478795	1508379	SLC43A2	protein_coding
ENSG00000074660	ENST00000263071	17	-1	1537152	1549041	SCARF1	protein_coding
ENSG00000074660	ENST00000348987	17	-1	1537152	1549041	SCARF1	protein_coding
ENSG00000074660	ENST00000571272	17	-1	1537684	1549038	SCARF1	protein_coding
ENSG00000167705	ENST00000574810	17	-1	1549444	1552326	RILP	protein_coding
ENSG00000167705	ENST00000301336	17	-1	1549444	1553371	RILP	protein_coding
ENSG00000174231	ENST00000571958	17	-1	1553923	1554563	PRPF8	protein_coding
ENSG00000174231	ENST00000304992	17	-1	1553923	1588176	PRPF8	protein_coding
ENSG00000174231	ENST00000572621	17	-1	1553925	1588131	PRPF8	protein_coding
ENSG00000174231	ENST00000573725	17	-1	1563263	1565332	PRPF8	protein_coding
ENSG00000174231	ENST00000577001	17	-1	1577832	1588101	PRPF8	protein_coding
ENSG00000185561	ENST00000330676	17	-1	1611064	1613732	TLCD2	protein_coding
ENSG00000167716	ENST00000455636	17	1	1619817	1634521	WDR81	protein_coding
ENSG00000167716	ENST00000468539	17	1	1619817	1636939	WDR81	protein_coding
ENSG00000167716	ENST00000437219	17	1	1619817	1641893	WDR81	protein_coding
ENSG00000167716	ENST00000309182	17	1	1619830	1641893	WDR81	protein_coding
ENSG00000167716	ENST00000446363	17	1	1619895	1641782	WDR81	protein_coding
ENSG00000167716	ENST00000419248	17	1	1627834	1641888	WDR81	protein_coding
ENSG00000167716	ENST00000418841	17	1	1627984	1636973	WDR81	protein_coding
ENSG00000167716	ENST00000409644	17	1	1628254	1641886	WDR81	protein_coding
ENSG00000167716	ENST00000575206	17	1	1631504	1634221	WDR81	protein_coding
ENSG00000167716	ENST00000545662	17	1	1633755	1641448	WDR81	protein_coding
ENSG00000167711	ENST00000453066	17	1	1646130	1651941	SERPINF2	protein_coding
ENSG00000167711	ENST00000324015	17	1	1646130	1658559	SERPINF2	protein_coding
ENSG00000167711	ENST00000450523	17	1	1646137	1657936	SERPINF2	protein_coding
ENSG00000167711	ENST00000453723	17	1	1646163	1657494	SERPINF2	protein_coding
ENSG00000167711	ENST00000382061	17	1	1646320	1658562	SERPINF2	protein_coding
ENSG00000132386	ENST00000254722	17	1	1665253	1680868	SERPINF1	protein_coding
ENSG00000132386	ENST00000571360	17	1	1665323	1674463	SERPINF1	protein_coding
ENSG00000132386	ENST00000576406	17	1	1665362	1679872	SERPINF1	protein_coding
ENSG00000132386	ENST00000571149	17	1	1665406	1673322	SERPINF1	protein_coding
ENSG00000132386	ENST00000570731	17	1	1666123	1674435	SERPINF1	protein_coding
ENSG00000132386	ENST00000577053	17	1	1669568	1674374	SERPINF1	protein_coding
ENSG00000132386	ENST00000572048	17	1	1675013	1679898	SERPINF1	protein_coding
ENSG00000132386	ENST00000573763	17	1	1675013	1680503	SERPINF1	protein_coding
ENSG00000186532	ENST00000305513	17	-1	1682779	1733175	SMYD4	protein_coding
ENSG00000186532	ENST00000491788	17	-1	1684986	1704099	SMYD4	protein_coding
ENSG00000186532	ENST00000570368	17	-1	1704018	1732753	SMYD4	protein_coding
ENSG00000186532	ENST00000571854	17	-1	1704156	1733928	SMYD4	protein_coding
ENSG00000132383	ENST00000571058	17	1	1732996	1775777	RPA1	protein_coding
ENSG00000132383	ENST00000570451	17	1	1733265	1778999	RPA1	protein_coding
ENSG00000132383	ENST00000254719	17	1	1733278	1802848	RPA1	protein_coding
ENSG00000132383	ENST00000574049	17	1	1782329	1803376	RPA1	protein_coding
ENSG00000185924	ENST00000331238	17	-1	1837971	1928639	RTN4RL1	protein_coding
ENSG00000108963	ENST00000263083	17	1	1933404	1946724	DPH1	protein_coding
ENSG00000108963	ENST00000571418	17	1	1933453	1946318	DPH1	protein_coding
ENSG00000108963	ENST00000570477	17	1	1936687	1946259	DPH1	protein_coding
ENSG00000108963	ENST00000571710	17	1	1943634	1946718	DPH1	protein_coding
ENSG00000108963	ENST00000607788	17	1	1944396	1946715	DPH1	protein_coding
ENSG00000108963	ENST00000575162	17	1	1944828	1946213	DPH1	protein_coding
ENSG00000262664	ENST00000572195	17	1	1945327	1946724	OVCA2	protein_coding
ENSG00000177374	ENST00000574370	17	1	1957448	1960013	HIC1	protein_coding
ENSG00000177374	ENST00000571875	17	1	1957509	1960183	HIC1	protein_coding
ENSG00000177374	ENST00000571990	17	1	1957509	1960273	HIC1	protein_coding
ENSG00000177374	ENST00000399849	17	1	1958393	1962981	HIC1	protein_coding
ENSG00000177374	ENST00000576444	17	1	1959513	1960237	HIC1	protein_coding
ENSG00000177374	ENST00000322941	17	1	1959604	1962980	HIC1	protein_coding
ENSG00000070366	ENST00000544865	17	-1	1963133	2206813	SMG6	protein_coding
ENSG00000070366	ENST00000263073	17	-1	1963137	2207065	SMG6	protein_coding
ENSG00000070366	ENST00000354901	17	-1	1963144	2169493	SMG6	protein_coding
ENSG00000070366	ENST00000536871	17	-1	1964699	2140331	SMG6	protein_coding
ENSG00000070366	ENST00000575454	17	-1	1972181	2076472	SMG6	protein_coding
ENSG00000070366	ENST00000572369	17	-1	2075962	2117643	SMG6	protein_coding
ENSG00000070366	ENST00000575176	17	-1	2076006	2116031	SMG6	protein_coding
ENSG00000070366	ENST00000572205	17	-1	2076031	2132758	SMG6	protein_coding
ENSG00000070366	ENST00000571442	17	-1	2076091	2140685	SMG6	protein_coding
ENSG00000070366	ENST00000570659	17	-1	2076096	2148206	SMG6	protein_coding
ENSG00000070366	ENST00000575663	17	-1	2076098	2140874	SMG6	protein_coding
ENSG00000070366	ENST00000570606	17	-1	2090019	2169425	SMG6	protein_coding
ENSG00000070366	ENST00000570668	17	-1	2090031	2143485	SMG6	protein_coding
ENSG00000167720	ENST00000572709	17	1	2206677	2221194	SRR	protein_coding
ENSG00000167720	ENST00000344595	17	1	2206998	2228554	SRR	protein_coding
ENSG00000167720	ENST00000575840	17	1	2207244	2221275	SRR	protein_coding
ENSG00000167720	ENST00000576620	17	1	2207244	2226543	SRR	protein_coding
ENSG00000167720	ENST00000576848	17	1	2207244	2227258	SRR	protein_coding
ENSG00000167720	ENST00000574987	17	1	2207248	2226516	SRR	protein_coding
ENSG00000167720	ENST00000570662	17	1	2210330	2222124	SRR	protein_coding
ENSG00000167720	ENST00000574229	17	1	2218672	2221194	SRR	protein_coding
ENSG00000167721	ENST00000301364	17	-1	2225797	2240801	TSR1	protein_coding
ENSG00000167721	ENST00000576112	17	-1	2236684	2239751	TSR1	protein_coding
ENSG00000141258	ENST00000268989	17	1	2240806	2284344	SGSM2	protein_coding
ENSG00000141258	ENST00000426855	17	1	2240808	2284352	SGSM2	protein_coding
ENSG00000141258	ENST00000574563	17	1	2240916	2283969	SGSM2	protein_coding
ENSG00000141258	ENST00000574650	17	1	2265071	2266339	SGSM2	protein_coding
ENSG00000141258	ENST00000570431	17	1	2266856	2268292	SGSM2	protein_coding
ENSG00000141258	ENST00000573851	17	1	2281207	2282859	SGSM2	protein_coding
ENSG00000141258	ENST00000572925	17	1	2282462	2284104	SGSM2	protein_coding
ENSG00000070444	ENST00000174618	17	-1	2287354	2304412	MNT	protein_coding
ENSG00000070444	ENST00000575394	17	-1	2291203	2304398	MNT	protein_coding
ENSG00000205821	ENST00000609667	17	-1	2310279	2318731	AC006435.1	protein_coding
ENSG00000127804	ENST00000263092	17	-1	2319370	2415180	METTL16	protein_coding
ENSG00000127804	ENST00000538844	17	-1	2322882	2415182	METTL16	protein_coding
ENSG00000127804	ENST00000576976	17	-1	2367642	2415183	METTL16	protein_coding
ENSG00000007168	ENST00000576586	17	1	2496504	2570339	PAFAH1B1	protein_coding
ENSG00000007168	ENST00000397195	17	1	2497040	2588909	PAFAH1B1	protein_coding
ENSG00000007168	ENST00000451360	17	1	2573562	2585490	PAFAH1B1	protein_coding
ENSG00000007168	ENST00000574468	17	1	2573562	2585490	PAFAH1B1	protein_coding
ENSG00000132361	ENST00000538975	17	-1	2592680	2607844	CLUH	protein_coding
ENSG00000132361	ENST00000435359	17	-1	2592680	2614927	CLUH	protein_coding
ENSG00000132361	ENST00000570628	17	-1	2592680	2615314	CLUH	protein_coding
ENSG00000132361	ENST00000575014	17	-1	2592683	2607665	CLUH	protein_coding
ENSG00000132361	ENST00000574426	17	-1	2594903	2615089	CLUH	protein_coding
ENSG00000132361	ENST00000572129	17	-1	2601842	2604772	CLUH	protein_coding
ENSG00000132361	ENST00000576885	17	-1	2605219	2615086	CLUH	protein_coding
ENSG00000132361	ENST00000576309	17	-1	2606700	2614492	CLUH	protein_coding
ENSG00000132361	ENST00000571566	17	-1	2606753	2615957	CLUH	protein_coding
ENSG00000132359	ENST00000540393	17	1	2680350	2937501	RAP1GAP2	protein_coding
ENSG00000132359	ENST00000254695	17	1	2699732	2941033	RAP1GAP2	protein_coding
ENSG00000132359	ENST00000366401	17	1	2699732	2941033	RAP1GAP2	protein_coding
ENSG00000132359	ENST00000542807	17	1	2699776	2938065	RAP1GAP2	protein_coding
ENSG00000262628	ENST00000575751	17	-1	2965963	2966901	OR1D5	protein_coding
ENSG00000184166	ENST00000331459	17	-1	2995352	2996290	OR1D2	protein_coding
ENSG00000183024	ENST00000328890	17	-1	3029878	3030875	OR1G1	protein_coding
ENSG00000172150	ENST00000381951	17	1	3100813	3101742	OR1A2	protein_coding
ENSG00000172146	ENST00000304094	17	1	3118915	3119844	OR1A1	protein_coding
ENSG00000221882	ENST00000408891	17	-1	3181193	3182268	OR3A2	protein_coding
ENSG00000180090	ENST00000323404	17	-1	3194929	3195876	OR3A1	protein_coding
ENSG00000180016	ENST00000322608	17	-1	3300398	3301704	OR1E1	protein_coding
ENSG00000159961	ENST00000291231	17	1	3323862	3324827	OR3A3	protein_coding
ENSG00000127780	ENST00000248384	17	-1	3336164	3337135	OR1E2	protein_coding
ENSG00000141255	ENST00000397168	17	-1	3343313	3375040	SPATA22	protein_coding
ENSG00000141255	ENST00000572969	17	-1	3343313	3375081	SPATA22	protein_coding
ENSG00000141255	ENST00000355380	17	-1	3343313	3375091	SPATA22	protein_coding
ENSG00000141255	ENST00000575375	17	-1	3343313	3375120	SPATA22	protein_coding
ENSG00000141255	ENST00000573128	17	-1	3343313	3375428	SPATA22	protein_coding
ENSG00000141255	ENST00000541913	17	-1	3343316	3417146	SPATA22	protein_coding
ENSG00000141255	ENST00000268981	17	-1	3343537	3375033	SPATA22	protein_coding
ENSG00000141255	ENST00000571553	17	-1	3349850	3375095	SPATA22	protein_coding
ENSG00000141255	ENST00000574051	17	-1	3352106	3372609	SPATA22	protein_coding
ENSG00000141255	ENST00000574797	17	-1	3352114	3375118	SPATA22	protein_coding
ENSG00000141255	ENST00000572582	17	-1	3352281	3375592	SPATA22	protein_coding
ENSG00000141255	ENST00000571607	17	-1	3352305	3371651	SPATA22	protein_coding
ENSG00000141255	ENST00000574457	17	-1	3366037	3375635	SPATA22	protein_coding
ENSG00000141255	ENST00000570318	17	-1	3372611	3417062	SPATA22	protein_coding
ENSG00000108381	ENST00000577034	17	1	3375668	3379689	ASPA	protein_coding
ENSG00000108381	ENST00000456349	17	1	3377347	3402382	ASPA	protein_coding
ENSG00000108381	ENST00000263080	17	1	3379296	3406713	ASPA	protein_coding
ENSG00000167723	ENST00000301365	17	-1	3416484	3461099	TRPV3	protein_coding
ENSG00000167723	ENST00000576742	17	-1	3417140	3461289	TRPV3	protein_coding
ENSG00000167723	ENST00000572519	17	-1	3417360	3461099	TRPV3	protein_coding
ENSG00000196689	ENST00000399759	17	-1	3468738	3499125	TRPV1	protein_coding
ENSG00000196689	ENST00000571088	17	-1	3468738	3500392	TRPV1	protein_coding
ENSG00000262304	ENST00000572705	17	-1	3468738	3512705	SHPK	protein_coding
ENSG00000196689	ENST00000174621	17	-1	3468743	3500392	TRPV1	protein_coding
ENSG00000196689	ENST00000399756	17	-1	3469088	3496171	TRPV1	protein_coding
ENSG00000196689	ENST00000425167	17	-1	3470072	3495661	TRPV1	protein_coding
ENSG00000196689	ENST00000576351	17	-1	3470107	3495677	TRPV1	protein_coding
ENSG00000196689	ENST00000310522	17	-1	3470109	3495644	TRPV1	protein_coding
ENSG00000197417	ENST00000225519	17	-1	3511556	3539616	SHPK	protein_coding
ENSG00000040531	ENST00000046640	17	1	3539762	3564832	CTNS	protein_coding
ENSG00000040531	ENST00000381870	17	1	3539773	3564836	CTNS	protein_coding
ENSG00000040531	ENST00000452111	17	1	3540019	3552225	CTNS	protein_coding
ENSG00000040531	ENST00000574776	17	1	3540023	3559820	CTNS	protein_coding
ENSG00000040531	ENST00000441220	17	1	3540023	3564331	CTNS	protein_coding
ENSG00000040531	ENST00000414524	17	1	3540026	3563980	CTNS	protein_coding
ENSG00000040531	ENST00000574218	17	1	3540056	3559845	CTNS	protein_coding
ENSG00000040531	ENST00000399306	17	1	3540398	3553813	CTNS	protein_coding
ENSG00000040531	ENST00000576979	17	1	3543441	3559807	CTNS	protein_coding
ENSG00000213977	ENST00000225525	17	-1	3566196	3571976	TAX1BP3	protein_coding
ENSG00000127774	ENST00000248378	17	1	3572109	3572959	EMC6	protein_coding
ENSG00000127774	ENST00000397133	17	1	3572116	3572962	EMC6	protein_coding
ENSG00000083454	ENST00000552276	17	-1	3575493	3599390	P2RX5	protein_coding
ENSG00000083454	ENST00000435558	17	-1	3575748	3599508	P2RX5	protein_coding
ENSG00000083454	ENST00000551178	17	-1	3576521	3599327	P2RX5	protein_coding
ENSG00000083454	ENST00000547178	17	-1	3576521	3599390	P2RX5	protein_coding
ENSG00000083454	ENST00000225328	17	-1	3576521	3599698	P2RX5	protein_coding
ENSG00000083454	ENST00000345901	17	-1	3576539	3599510	P2RX5	protein_coding
ENSG00000083454	ENST00000552050	17	-1	3576894	3595296	P2RX5	protein_coding
ENSG00000083454	ENST00000552723	17	-1	3582905	3595067	P2RX5	protein_coding
ENSG00000083457	ENST00000263087	17	-1	3617922	3704537	ITGAE	protein_coding
ENSG00000177602	ENST00000325418	17	1	3627211	3630067	GSG2	protein_coding
ENSG00000083457	ENST00000574026	17	-1	3631308	3646834	ITGAE	protein_coding
ENSG00000074356	ENST00000158149	17	-1	3714460	3749540	C17orf85	protein_coding
ENSG00000074356	ENST00000389005	17	-1	3715441	3749545	C17orf85	protein_coding
ENSG00000074356	ENST00000576523	17	-1	3715834	3716544	C17orf85	protein_coding
ENSG00000004660	ENST00000381769	17	-1	3763609	3794037	CAMKK1	protein_coding
ENSG00000004660	ENST00000348335	17	-1	3763609	3796338	CAMKK1	protein_coding
ENSG00000004660	ENST00000381771	17	-1	3763625	3796337	CAMKK1	protein_coding
ENSG00000004660	ENST00000158166	17	-1	3768451	3796338	CAMKK1	protein_coding
ENSG00000108405	ENST00000225538	17	-1	3799886	3819794	P2RX1	protein_coding
ENSG00000074370	ENST00000397035	17	-1	3827169	3867713	ATP2A3	protein_coding
ENSG00000074370	ENST00000397041	17	-1	3827169	3867713	ATP2A3	protein_coding
ENSG00000074370	ENST00000309890	17	-1	3827169	3867736	ATP2A3	protein_coding
ENSG00000074370	ENST00000397039	17	-1	3827169	3867736	ATP2A3	protein_coding
ENSG00000074370	ENST00000570845	17	-1	3828585	3833665	ATP2A3	protein_coding
ENSG00000074370	ENST00000359983	17	-1	3828585	3867585	ATP2A3	protein_coding
ENSG00000074370	ENST00000352011	17	-1	3828585	3867640	ATP2A3	protein_coding
ENSG00000074370	ENST00000397043	17	-1	3828640	3867709	ATP2A3	protein_coding
ENSG00000074370	ENST00000572116	17	-1	3828672	3833665	ATP2A3	protein_coding
ENSG00000074755	ENST00000381638	17	-1	3907739	4046314	ZZEF1	protein_coding
ENSG00000074755	ENST00000573183	17	-1	3925711	3966092	ZZEF1	protein_coding
ENSG00000167740	ENST00000577075	17	1	4046462	4060379	CYB5D2	protein_coding
ENSG00000167740	ENST00000575251	17	1	4046505	4060866	CYB5D2	protein_coding
ENSG00000167740	ENST00000301391	17	1	4046550	4060991	CYB5D2	protein_coding
ENSG00000167740	ENST00000573984	17	1	4046996	4090605	CYB5D2	protein_coding
ENSG00000185722	ENST00000341657	17	-1	4067201	4167272	ANKFY1	protein_coding
ENSG00000185722	ENST00000570535	17	-1	4068368	4167142	ANKFY1	protein_coding
ENSG00000185722	ENST00000574367	17	-1	4069568	4167251	ANKFY1	protein_coding
ENSG00000185722	ENST00000574736	17	-1	4086821	4090404	ANKFY1	protein_coding
ENSG00000185722	ENST00000433651	17	-1	4097775	4167274	ANKFY1	protein_coding
ENSG00000132388	ENST00000396981	17	-1	4172554	4269777	UBE2G1	protein_coding
ENSG00000132388	ENST00000572484	17	-1	4175275	4269923	UBE2G1	protein_coding
ENSG00000132388	ENST00000571953	17	-1	4186194	4235218	UBE2G1	protein_coding
ENSG00000132388	ENST00000574059	17	-1	4200028	4249075	UBE2G1	protein_coding
ENSG00000182557	ENST00000355530	17	1	4336983	4391503	SPNS3	protein_coding
ENSG00000182557	ENST00000333476	17	1	4337219	4391498	SPNS3	protein_coding
ENSG00000183018	ENST00000329078	17	1	4402133	4442330	SPNS2	protein_coding
ENSG00000183018	ENST00000571386	17	1	4436327	4441093	SPNS2	protein_coding
ENSG00000132382	ENST00000381556	17	-1	4442192	4458681	MYBBP1A	protein_coding
ENSG00000132382	ENST00000573116	17	-1	4442197	4458207	MYBBP1A	protein_coding
ENSG00000132382	ENST00000254718	17	-1	4442197	4458926	MYBBP1A	protein_coding
ENSG00000132382	ENST00000573723	17	-1	4442239	4453356	MYBBP1A	protein_coding
ENSG00000132382	ENST00000572759	17	-1	4442818	4448421	MYBBP1A	protein_coding
ENSG00000167741	ENST00000301395	17	-1	4460222	4463876	GGT6	protein_coding
ENSG00000167741	ENST00000574154	17	-1	4460607	4464113	GGT6	protein_coding
ENSG00000167741	ENST00000381550	17	-1	4460720	4463871	GGT6	protein_coding
ENSG00000167741	ENST00000573591	17	-1	4461115	4463230	GGT6	protein_coding
ENSG00000167741	ENST00000574584	17	-1	4461662	4463859	GGT6	protein_coding
ENSG00000188176	ENST00000338859	17	1	4487294	4511614	SMTNL2	protein_coding
ENSG00000188176	ENST00000389313	17	1	4487834	4511609	SMTNL2	protein_coding
ENSG00000188176	ENST00000572951	17	1	4495650	4498555	SMTNL2	protein_coding
ENSG00000161905	ENST00000570836	17	-1	4534197	4545589	ALOX15	protein_coding
ENSG00000161905	ENST00000293761	17	-1	4534221	4544960	ALOX15	protein_coding
ENSG00000161905	ENST00000574640	17	-1	4534629	4545230	ALOX15	protein_coding
ENSG00000161905	ENST00000545513	17	-1	4534781	4545589	ALOX15	protein_coding
ENSG00000161905	ENST00000572265	17	-1	4542222	4543177	ALOX15	protein_coding
