ENSG00000186092	ENST00000335137	1	1	69091	70008	OR4F5	protein_coding
ENSG00000186827	ENST00000379236	1	-1	1146706	1149512	TNFRSF4	protein_coding
ENSG00000078808	ENST00000360001	1	-1	1152288	1167381	SDF4	protein_coding
ENSG00000078808	ENST00000263741	1	-1	1152311	1167411	SDF4	protein_coding
ENSG00000078808	ENST00000403997	1	-1	1153903	1163976	SDF4	protein_coding
ENSG00000078808	ENST00000545427	1	-1	1156079	1167370	SDF4	protein_coding
ENSG00000176022	ENST00000379198	1	1	1167629	1170421	B3GALT6	protein_coding
ENSG00000184163	ENST00000330388	1	-1	1177833	1182102	FAM132A	protein_coding
ENSG00000160087	ENST00000347370	1	-1	1189294	1209234	UBE2J2	protein_coding
ENSG00000160087	ENST00000349431	1	-1	1189850	1209265	UBE2J2	protein_coding
ENSG00000160087	ENST00000339385	1	-1	1190285	1201503	UBE2J2	protein_coding
ENSG00000160087	ENST00000348298	1	-1	1190285	1209244	UBE2J2	protein_coding
ENSG00000160087	ENST00000400929	1	-1	1190365	1209235	UBE2J2	protein_coding
ENSG00000160087	ENST00000360466	1	-1	1190544	1209106	UBE2J2	protein_coding
ENSG00000160087	ENST00000400930	1	-1	1190558	1209213	UBE2J2	protein_coding
ENSG00000160087	ENST00000435198	1	-1	1190775	1209224	UBE2J2	protein_coding
ENSG00000160087	ENST00000509720	1	-1	1190819	1209207	UBE2J2	protein_coding
ENSG00000160087	ENST00000422076	1	-1	1192607	1209217	UBE2J2	protein_coding
ENSG00000160087	ENST00000502382	1	-1	1192650	1209234	UBE2J2	protein_coding
ENSG00000160087	ENST00000488418	1	-1	1203242	1208851	UBE2J2	protein_coding
ENSG00000162572	ENST00000379116	1	1	1215816	1227399	SCNN1D	protein_coding
ENSG00000162572	ENST00000338555	1	1	1215968	1227404	SCNN1D	protein_coding
ENSG00000162572	ENST00000470022	1	1	1217305	1221548	SCNN1D	protein_coding
ENSG00000162572	ENST00000325425	1	1	1217489	1227404	SCNN1D	protein_coding
ENSG00000162572	ENST00000400928	1	1	1217576	1227409	SCNN1D	protein_coding
ENSG00000162572	ENST00000379099	1	1	1222489	1226323	SCNN1D	protein_coding
ENSG00000131584	ENST00000354700	1	-1	1227756	1243398	ACAP3	protein_coding
ENSG00000131584	ENST00000353662	1	-1	1227764	1243269	ACAP3	protein_coding
ENSG00000169972	ENST00000379031	1	1	1243947	1247057	PUSL1	protein_coding
ENSG00000169972	ENST00000467712	1	1	1244201	1246449	PUSL1	protein_coding
ENSG00000127054	ENST00000435064	1	-1	1246977	1260071	CPSF3L	protein_coding
ENSG00000127054	ENST00000411962	1	-1	1246981	1260053	CPSF3L	protein_coding
ENSG00000127054	ENST00000540437	1	-1	1246986	1259989	CPSF3L	protein_coding
ENSG00000127054	ENST00000421495	1	-1	1246986	1260017	CPSF3L	protein_coding
ENSG00000127054	ENST00000419704	1	-1	1246986	1260033	CPSF3L	protein_coding
ENSG00000127054	ENST00000450926	1	-1	1247199	1260050	CPSF3L	protein_coding
ENSG00000127054	ENST00000545578	1	-1	1247203	1260017	CPSF3L	protein_coding
ENSG00000127054	ENST00000434694	1	-1	1249125	1260010	CPSF3L	protein_coding
ENSG00000127054	ENST00000526332	1	-1	1250207	1260040	CPSF3L	protein_coding
ENSG00000127054	ENST00000527719	1	-1	1250296	1260051	CPSF3L	protein_coding
ENSG00000127054	ENST00000530031	1	-1	1250298	1260039	CPSF3L	protein_coding
ENSG00000127054	ENST00000534345	1	-1	1254686	1260051	CPSF3L	protein_coding
ENSG00000127054	ENST00000498476	1	-1	1254783	1260040	CPSF3L	protein_coding
ENSG00000224051	ENST00000343938	1	1	1260147	1264277	GLTPD1	protein_coding
ENSG00000224051	ENST00000488011	1	1	1260621	1262851	GLTPD1	protein_coding
ENSG00000169962	ENST00000339381	1	1	1266694	1270686	TAS1R3	protein_coding
ENSG00000107404	ENST00000378891	1	-1	1270656	1284492	DVL1	protein_coding
ENSG00000107404	ENST00000378888	1	-1	1270656	1284730	DVL1	protein_coding
ENSG00000162576	ENST00000309212	1	-1	1288071	1293915	MXRA8	protein_coding
ENSG00000162576	ENST00000342753	1	-1	1288072	1293920	MXRA8	protein_coding
ENSG00000162576	ENST00000445648	1	-1	1288072	1293923	MXRA8	protein_coding
ENSG00000162576	ENST00000477278	1	-1	1288072	1297157	MXRA8	protein_coding
ENSG00000175756	ENST00000338370	1	-1	1309110	1310537	AURKAIP1	protein_coding
ENSG00000175756	ENST00000338338	1	-1	1309110	1310875	AURKAIP1	protein_coding
ENSG00000175756	ENST00000321751	1	-1	1309112	1310549	AURKAIP1	protein_coding
ENSG00000175756	ENST00000378853	1	-1	1309117	1310553	AURKAIP1	protein_coding
ENSG00000221978	ENST00000408952	1	-1	1321862	1333684	CCNL2	protein_coding
ENSG00000221978	ENST00000400809	1	-1	1321875	1334692	CCNL2	protein_coding
ENSG00000221978	ENST00000408918	1	-1	1327668	1334697	CCNL2	protein_coding
ENSG00000221978	ENST00000497013	1	-1	1330817	1334336	CCNL2	protein_coding
ENSG00000224870	ENST00000448629	1	1	1334902	1336467	RP4-758J18.2	protein_coding
ENSG00000224870	ENST00000444362	1	1	1334907	1337426	RP4-758J18.2	protein_coding
ENSG00000224870	ENST00000576232	1	1	1334932	1335988	RP4-758J18.2	protein_coding
ENSG00000224870	ENST00000570344	1	1	1334942	1335924	RP4-758J18.2	protein_coding
ENSG00000242485	ENST00000344843	1	-1	1337288	1342693	MRPL20	protein_coding
ENSG00000242485	ENST00000492508	1	-1	1337562	1342378	MRPL20	protein_coding
ENSG00000242485	ENST00000482352	1	-1	1340489	1342670	MRPL20	protein_coding
ENSG00000235098	ENST00000520296	1	-1	1353800	1356824	ANKRD65	protein_coding
ENSG00000235098	ENST00000427211	1	-1	1353800	1357149	ANKRD65	protein_coding
ENSG00000235098	ENST00000537107	1	-1	1353804	1356650	ANKRD65	protein_coding
ENSG00000235098	ENST00000442470	1	-1	1354518	1356640	ANKRD65	protein_coding
ENSG00000235098	ENST00000436362	1	-1	1355625	1356272	ANKRD65	protein_coding
ENSG00000205116	ENST00000378821	1	1	1361508	1363167	TMEM88B	protein_coding
ENSG00000179403	ENST00000495558	1	1	1370241	1372839	VWA1	protein_coding
ENSG00000179403	ENST00000338660	1	1	1370903	1376145	VWA1	protein_coding
ENSG00000179403	ENST00000404702	1	1	1370903	1378262	VWA1	protein_coding
ENSG00000179403	ENST00000476993	1	1	1371051	1378262	VWA1	protein_coding
ENSG00000179403	ENST00000471398	1	1	1371115	1372557	VWA1	protein_coding
ENSG00000215915	ENST00000378785	1	1	1385069	1405538	ATAD3C	protein_coding
ENSG00000215915	ENST00000475091	1	1	1385294	1391282	ATAD3C	protein_coding
ENSG00000160072	ENST00000378741	1	1	1407143	1418486	ATAD3B	protein_coding
ENSG00000160072	ENST00000308647	1	1	1407149	1431582	ATAD3B	protein_coding
ENSG00000197785	ENST00000378756	1	1	1447531	1470065	ATAD3A	protein_coding
ENSG00000197785	ENST00000378755	1	1	1447555	1470065	ATAD3A	protein_coding
ENSG00000197785	ENST00000339113	1	1	1447910	1470065	ATAD3A	protein_coding
ENSG00000197785	ENST00000536055	1	1	1447910	1470067	ATAD3A	protein_coding
ENSG00000197785	ENST00000400830	1	1	1459653	1464711	ATAD3A	protein_coding
ENSG00000205090	ENST00000378733	1	-1	1470554	1475737	TMEM240	protein_coding
ENSG00000205090	ENST00000425828	1	-1	1470587	1475833	TMEM240	protein_coding
ENSG00000160075	ENST00000291386	1	-1	1477053	1510249	SSU72	protein_coding
ENSG00000160075	ENST00000359060	1	-1	1497725	1509964	SSU72	protein_coding
ENSG00000215014	ENST00000366221	1	1	1510355	1511373	AL645728.1	protein_coding
ENSG00000228594	ENST00000422725	1	-1	1533392	1535476	C1orf233	protein_coding
ENSG00000197530	ENST00000520777	1	1	1550795	1565985	MIB2	protein_coding
ENSG00000197530	ENST00000357210	1	1	1550795	1565990	MIB2	protein_coding
ENSG00000197530	ENST00000360522	1	1	1550795	1565990	MIB2	protein_coding
ENSG00000197530	ENST00000378710	1	1	1550795	1565990	MIB2	protein_coding
ENSG00000197530	ENST00000355826	1	1	1550801	1565990	MIB2	protein_coding
ENSG00000197530	ENST00000518681	1	1	1550817	1565985	MIB2	protein_coding
ENSG00000197530	ENST00000505820	1	1	1550823	1565985	MIB2	protein_coding
ENSG00000197530	ENST00000378712	1	1	1551285	1565984	MIB2	protein_coding
ENSG00000197530	ENST00000510793	1	1	1551654	1560281	MIB2	protein_coding
ENSG00000197530	ENST00000504599	1	1	1551690	1565984	MIB2	protein_coding
ENSG00000197530	ENST00000503789	1	1	1552788	1560201	MIB2	protein_coding
ENSG00000197530	ENST00000378708	1	1	1552940	1565984	MIB2	protein_coding
ENSG00000197530	ENST00000514234	1	1	1559182	1565984	MIB2	protein_coding
ENSG00000197530	ENST00000483015	1	1	1563869	1565969	MIB2	protein_coding
ENSG00000189409	ENST00000356026	1	1	1567474	1570030	MMP23B	protein_coding
ENSG00000189409	ENST00000472264	1	1	1567542	1568499	MMP23B	protein_coding
ENSG00000189409	ENST00000378675	1	1	1567558	1570030	MMP23B	protein_coding
ENSG00000189409	ENST00000479814	1	1	1568162	1570027	MMP23B	protein_coding
ENSG00000189409	ENST00000435358	1	1	1568582	1569944	MMP23B	protein_coding
ENSG00000189409	ENST00000503792	1	1	1568582	1569944	MMP23B	protein_coding
ENSG00000248333	ENST00000513088	1	-1	1570603	1580623	CDK11B	protein_coding
ENSG00000248333	ENST00000341832	1	-1	1571100	1588714	CDK11B	protein_coding
ENSG00000248333	ENST00000317673	1	-1	1571100	1588935	CDK11B	protein_coding
ENSG00000248333	ENST00000340677	1	-1	1571100	1588935	CDK11B	protein_coding
ENSG00000248333	ENST00000407249	1	-1	1571100	1588935	CDK11B	protein_coding
ENSG00000248333	ENST00000341028	1	-1	1586823	1590473	CDK11B	protein_coding
ENSG00000189339	ENST00000378662	1	-1	1592939	1624083	SLC35E2B	protein_coding
ENSG00000189339	ENST00000234800	1	-1	1592940	1624167	SLC35E2B	protein_coding
ENSG00000008128	ENST00000356200	1	-1	1634169	1654270	CDK11A	protein_coding
ENSG00000008128	ENST00000378638	1	-1	1634320	1654270	CDK11A	protein_coding
ENSG00000008128	ENST00000357760	1	-1	1634320	1655763	CDK11A	protein_coding
ENSG00000008128	ENST00000358779	1	-1	1634320	1655763	CDK11A	protein_coding
ENSG00000008128	ENST00000378633	1	-1	1634320	1655763	CDK11A	protein_coding
ENSG00000008128	ENST00000404249	1	-1	1634320	1655763	CDK11A	protein_coding
ENSG00000008128	ENST00000378635	1	-1	1637078	1655766	CDK11A	protein_coding
ENSG00000008128	ENST00000479362	1	-1	1647789	1655471	CDK11A	protein_coding
ENSG00000008128	ENST00000401096	1	-1	1654147	1655713	CDK11A	protein_coding
ENSG00000215790	ENST00000355439	1	-1	1656277	1677358	SLC35E2	protein_coding
ENSG00000215790	ENST00000400924	1	-1	1656853	1677431	SLC35E2	protein_coding
ENSG00000215790	ENST00000246421	1	-1	1663681	1677431	SLC35E2	protein_coding
ENSG00000008130	ENST00000341426	1	-1	1682671	1709909	NADK	protein_coding
ENSG00000008130	ENST00000341991	1	-1	1682671	1710229	NADK	protein_coding
ENSG00000008130	ENST00000378625	1	-1	1682671	1711508	NADK	protein_coding
ENSG00000008130	ENST00000344463	1	-1	1682678	1709909	NADK	protein_coding
ENSG00000008130	ENST00000342348	1	-1	1683910	1690081	NADK	protein_coding
ENSG00000008130	ENST00000469045	1	-1	1685500	1688707	NADK	protein_coding
ENSG00000008130	ENST00000400922	1	-1	1686111	1690014	NADK	protein_coding
ENSG00000078369	ENST00000378609	1	-1	1716729	1822495	GNB1	protein_coding
ENSG00000078369	ENST00000439272	1	-1	1722004	1822275	GNB1	protein_coding
ENSG00000078369	ENST00000434686	1	-1	1724684	1821840	GNB1	protein_coding
ENSG00000078369	ENST00000437146	1	-1	1735965	1763724	GNB1	protein_coding
ENSG00000169885	ENST00000307786	1	1	1846266	1848733	CALML6	protein_coding
ENSG00000169885	ENST00000378604	1	1	1846547	1848733	CALML6	protein_coding
ENSG00000178821	ENST00000378602	1	-1	1849029	1850236	TMEM52	protein_coding
ENSG00000178821	ENST00000310991	1	-1	1849030	1850712	TMEM52	protein_coding
ENSG00000178821	ENST00000378598	1	-1	1849284	1850697	TMEM52	protein_coding
ENSG00000178821	ENST00000416272	1	-1	1849825	1850708	TMEM52	protein_coding
ENSG00000142609	ENST00000493964	1	-1	1853726	1887154	C1orf222	protein_coding
ENSG00000142609	ENST00000493316	1	-1	1877787	1891545	C1orf222	protein_coding
ENSG00000142609	ENST00000461752	1	-1	1887150	1891547	C1orf222	protein_coding
ENSG00000142609	ENST00000604159	1	-1	1891403	1897965	C1orf222	protein_coding
ENSG00000142609	ENST00000378590	1	-1	1919401	1922368	C1orf222	protein_coding
ENSG00000142609	ENST00000434971	1	-1	1919563	1935153	C1orf222	protein_coding
ENSG00000187730	ENST00000378585	1	1	1950780	1962192	GABRD	protein_coding
ENSG00000067606	ENST00000378567	1	1	1981909	2116834	PRKCZ	protein_coding
ENSG00000067606	ENST00000468310	1	1	1981924	2077547	PRKCZ	protein_coding
ENSG00000067606	ENST00000503297	1	1	1982247	1991030	PRKCZ	protein_coding
ENSG00000067606	ENST00000400921	1	1	2004901	2116829	PRKCZ	protein_coding
ENSG00000067606	ENST00000495347	1	1	2005158	2077525	PRKCZ	protein_coding
ENSG00000067606	ENST00000461106	1	1	2005425	2116629	PRKCZ	protein_coding
ENSG00000067606	ENST00000461465	1	1	2006127	2082275	PRKCZ	protein_coding
ENSG00000067606	ENST00000470596	1	1	2006294	2082384	PRKCZ	protein_coding
ENSG00000067606	ENST00000496325	1	1	2006683	2082302	PRKCZ	protein_coding
ENSG00000067606	ENST00000482686	1	1	2036155	2082309	PRKCZ	protein_coding
ENSG00000067606	ENST00000400920	1	1	2036155	2116832	PRKCZ	protein_coding
ENSG00000067606	ENST00000486681	1	1	2036178	2087526	PRKCZ	protein_coding
ENSG00000067606	ENST00000470986	1	1	2043093	2082417	PRKCZ	protein_coding
ENSG00000067606	ENST00000470511	1	1	2047644	2082336	PRKCZ	protein_coding
ENSG00000067606	ENST00000471018	1	1	2065077	2080363	PRKCZ	protein_coding
ENSG00000067606	ENST00000466352	1	1	2066252	2077537	PRKCZ	protein_coding
ENSG00000067606	ENST00000497183	1	1	2066429	2082418	PRKCZ	protein_coding
ENSG00000162585	ENST00000400919	1	-1	2115917	2126180	C1orf86	protein_coding
ENSG00000162585	ENST00000400918	1	-1	2116614	2126190	C1orf86	protein_coding
ENSG00000162585	ENST00000378543	1	-1	2120987	2126189	C1orf86	protein_coding
ENSG00000162585	ENST00000378546	1	-1	2120987	2126213	C1orf86	protein_coding
ENSG00000162585	ENST00000378545	1	-1	2120990	2130427	C1orf86	protein_coding
ENSG00000269554	ENST00000597060	1	1	2121237	2123179	AL590822.2	protein_coding
ENSG00000162585	ENST00000420515	1	-1	2123340	2126187	C1orf86	protein_coding
ENSG00000203301	ENST00000545087	1	-1	2143360	2145620	AL590822.1	protein_coding
ENSG00000157933	ENST00000378536	1	1	2160134	2241558	SKI	protein_coding
ENSG00000116151	ENST00000378531	1	-1	2252692	2323146	MORN1	protein_coding
ENSG00000269753	ENST00000600779	1	1	2258581	2259042	AL589739.1	protein_coding
ENSG00000116151	ENST00000378529	1	-1	2286616	2323146	MORN1	protein_coding
ENSG00000116151	ENST00000449373	1	-1	2310430	2319776	MORN1	protein_coding
ENSG00000116151	ENST00000494279	1	-1	2319443	2321435	MORN1	protein_coding
ENSG00000157916	ENST00000378518	1	1	2323267	2333764	RER1	protein_coding
ENSG00000157916	ENST00000605895	1	1	2323272	2336883	RER1	protein_coding
ENSG00000157916	ENST00000378513	1	1	2323279	2335188	RER1	protein_coding
ENSG00000157916	ENST00000306256	1	1	2323282	2334503	RER1	protein_coding
ENSG00000157916	ENST00000378512	1	1	2323329	2335190	RER1	protein_coding
ENSG00000157916	ENST00000443438	1	1	2324613	2333755	RER1	protein_coding
ENSG00000157916	ENST00000488353	1	1	2325444	2334655	RER1	protein_coding
ENSG00000157911	ENST00000288774	1	-1	2336236	2343969	PEX10	protein_coding
ENSG00000157911	ENST00000447513	1	-1	2336258	2344010	PEX10	protein_coding
ENSG00000157911	ENST00000507596	1	-1	2336277	2343979	PEX10	protein_coding
ENSG00000157911	ENST00000508384	1	-1	2339969	2345236	PEX10	protein_coding
ENSG00000149527	ENST00000609981	1	1	2357419	2411243	PLCH2	protein_coding
ENSG00000149527	ENST00000449969	1	1	2398898	2436965	PLCH2	protein_coding
ENSG00000149527	ENST00000288766	1	1	2407754	2434525	PLCH2	protein_coding
ENSG00000149527	ENST00000378486	1	1	2407754	2436964	PLCH2	protein_coding
ENSG00000149527	ENST00000378488	1	1	2407754	2436964	PLCH2	protein_coding
ENSG00000149527	ENST00000419816	1	1	2407754	2436964	PLCH2	protein_coding
ENSG00000149527	ENST00000278878	1	1	2411327	2436715	PLCH2	protein_coding
ENSG00000157881	ENST00000378466	1	-1	2439972	2458039	PANK4	protein_coding
ENSG00000157881	ENST00000435556	1	-1	2439976	2458035	PANK4	protein_coding
ENSG00000197921	ENST00000378453	1	-1	2460184	2461684	HES5	protein_coding
ENSG00000157873	ENST00000426449	1	1	2487078	2492153	TNFRSF14	protein_coding
ENSG00000157873	ENST00000434817	1	1	2487230	2493254	TNFRSF14	protein_coding
ENSG00000157873	ENST00000435221	1	1	2487241	2493254	TNFRSF14	protein_coding
ENSG00000157873	ENST00000451778	1	1	2487419	2493254	TNFRSF14	protein_coding
ENSG00000157873	ENST00000409119	1	1	2487661	2493157	TNFRSF14	protein_coding
ENSG00000157873	ENST00000355716	1	1	2487805	2495268	TNFRSF14	protein_coding
ENSG00000157870	ENST00000419916	1	1	2518214	2522907	FAM213B	protein_coding
ENSG00000157870	ENST00000378424	1	1	2518219	2522906	FAM213B	protein_coding
ENSG00000157870	ENST00000537325	1	1	2518235	2521386	FAM213B	protein_coding
ENSG00000157870	ENST00000378427	1	1	2518237	2522902	FAM213B	protein_coding
ENSG00000157870	ENST00000378425	1	1	2518249	2522902	FAM213B	protein_coding
ENSG00000157870	ENST00000444521	1	1	2518258	2522906	FAM213B	protein_coding
ENSG00000157870	ENST00000465233	1	1	2518272	2520416	FAM213B	protein_coding
ENSG00000157870	ENST00000498083	1	1	2518316	2520431	FAM213B	protein_coding
ENSG00000142606	ENST00000471840	1	-1	2522078	2524117	MMEL1	protein_coding
ENSG00000142606	ENST00000288709	1	-1	2522081	2564481	MMEL1	protein_coding
ENSG00000142606	ENST00000378412	1	-1	2522082	2564429	MMEL1	protein_coding
ENSG00000142606	ENST00000502556	1	-1	2522365	2560933	MMEL1	protein_coding
ENSG00000215912	ENST00000401094	1	-1	2567415	2718286	TTC34	protein_coding
ENSG00000215912	ENST00000401095	1	-1	2572807	2706236	TTC34	protein_coding
ENSG00000215912	ENST00000574621	1	-1	2700271	2706280	TTC34	protein_coding
ENSG00000169717	ENST00000378404	1	1	2938046	2939465	ACTRT2	protein_coding
ENSG00000142611	ENST00000511072	1	1	2985732	3350906	PRDM16	protein_coding
ENSG00000142611	ENST00000378398	1	1	2985742	3355183	PRDM16	protein_coding
ENSG00000142611	ENST00000441472	1	1	2985742	3355183	PRDM16	protein_coding
ENSG00000142611	ENST00000442529	1	1	2985742	3355183	PRDM16	protein_coding
ENSG00000142611	ENST00000378391	1	1	2985761	3351985	PRDM16	protein_coding
ENSG00000142611	ENST00000514189	1	1	2985775	3350906	PRDM16	protein_coding
ENSG00000142611	ENST00000270722	1	1	2985775	3355185	PRDM16	protein_coding
ENSG00000142611	ENST00000463591	1	1	3160696	3303482	PRDM16	protein_coding
ENSG00000142611	ENST00000509860	1	1	3313055	3350857	PRDM16	protein_coding
ENSG00000130762	ENST00000378378	1	1	3370990	3397677	ARHGEF16	protein_coding
ENSG00000130762	ENST00000378373	1	1	3382569	3397677	ARHGEF16	protein_coding
ENSG00000130762	ENST00000378371	1	1	3383535	3397677	ARHGEF16	protein_coding
ENSG00000130762	ENST00000445297	1	1	3385108	3390085	ARHGEF16	protein_coding
ENSG00000130762	ENST00000418137	1	1	3388188	3392583	ARHGEF16	protein_coding
ENSG00000130762	ENST00000413250	1	1	3388188	3397379	ARHGEF16	protein_coding
ENSG00000162591	ENST00000294599	1	-1	3406484	3448012	MEGF6	protein_coding
ENSG00000162591	ENST00000356575	1	-1	3406490	3528059	MEGF6	protein_coding
ENSG00000162591	ENST00000491842	1	-1	3407489	3413281	MEGF6	protein_coding
ENSG00000158109	ENST00000378344	1	1	3541566	3546691	TPRG1L	protein_coding
ENSG00000158109	ENST00000344579	1	1	3541614	3546691	TPRG1L	protein_coding
ENSG00000116213	ENST00000378322	1	-1	3547331	3566622	WRAP73	protein_coding
ENSG00000116213	ENST00000270708	1	-1	3547331	3566637	WRAP73	protein_coding
ENSG00000116213	ENST00000424367	1	-1	3548777	3566590	WRAP73	protein_coding
ENSG00000116213	ENST00000465916	1	-1	3551578	3569325	WRAP73	protein_coding
ENSG00000116213	ENST00000419924	1	-1	3551836	3566627	WRAP73	protein_coding
ENSG00000078900	ENST00000378295	1	1	3569084	3652765	TP73	protein_coding
ENSG00000078900	ENST00000604074	1	1	3569084	3652765	TP73	protein_coding
ENSG00000078900	ENST00000354437	1	1	3569129	3649856	TP73	protein_coding
ENSG00000078900	ENST00000346387	1	1	3569129	3650467	TP73	protein_coding
ENSG00000078900	ENST00000357733	1	1	3569129	3650467	TP73	protein_coding
ENSG00000078900	ENST00000603362	1	1	3598930	3649643	TP73	protein_coding
ENSG00000078900	ENST00000604479	1	1	3598930	3649643	TP73	protein_coding
ENSG00000078900	ENST00000378280	1	1	3607236	3649856	TP73	protein_coding
ENSG00000078900	ENST00000378285	1	1	3607236	3649856	TP73	protein_coding
ENSG00000078900	ENST00000378288	1	1	3607236	3652765	TP73	protein_coding
ENSG00000078900	ENST00000378290	1	1	3614622	3649655	TP73	protein_coding
ENSG00000162592	ENST00000294600	1	1	3668962	3688208	CCDC27	protein_coding
ENSG00000235169	ENST00000444870	1	1	3689352	3692546	SMIM1	protein_coding
ENSG00000235169	ENST00000452264	1	1	3689389	3691952	SMIM1	protein_coding
ENSG00000235169	ENST00000561886	1	1	3689627	3692234	SMIM1	protein_coding
ENSG00000130764	ENST00000378251	1	-1	3696784	3713068	LRRC47	protein_coding
ENSG00000116198	ENST00000378230	1	-1	3728645	3773763	CEP104	protein_coding
ENSG00000116198	ENST00000438539	1	-1	3732713	3745870	CEP104	protein_coding
ENSG00000116198	ENST00000461667	1	-1	3739340	3745937	CEP104	protein_coding
ENSG00000116198	ENST00000443466	1	-1	3751626	3755674	CEP104	protein_coding
ENSG00000116198	ENST00000428079	1	-1	3755647	3773758	CEP104	protein_coding
ENSG00000116198	ENST00000378223	1	-1	3759673	3773778	CEP104	protein_coding
ENSG00000169598	ENST00000341385	1	1	3773845	3777054	DFFB	protein_coding
ENSG00000169598	ENST00000378212	1	1	3773845	3782316	DFFB	protein_coding
ENSG00000169598	ENST00000338895	1	1	3773845	3789608	DFFB	protein_coding
ENSG00000169598	ENST00000378209	1	1	3773845	3801993	DFFB	protein_coding
ENSG00000198912	ENST00000361605	1	-1	3805689	3816849	C1orf174	protein_coding
ENSG00000196581	ENST00000378190	1	1	4714792	4837854	AJAP1	protein_coding
ENSG00000196581	ENST00000378191	1	1	4715105	4852594	AJAP1	protein_coding
ENSG00000131697	ENST00000378156	1	-1	5922878	6052531	NPHP4	protein_coding
ENSG00000069424	ENST00000378111	1	1	6051526	6160235	KCNAB2	protein_coding
ENSG00000069424	ENST00000378097	1	1	6052423	6161253	KCNAB2	protein_coding
ENSG00000069424	ENST00000378092	1	1	6052761	6158634	KCNAB2	protein_coding
ENSG00000069424	ENST00000445501	1	1	6052771	6132850	KCNAB2	protein_coding
