ENSG00000130538	ENST00000252835	22	-1	16448824	16449805	OR11H1	protein_coding
ENSG00000243156	ENST00000577821	22	-1	18273712	18300255	MICAL3	protein_coding
ENSG00000243156	ENST00000579997	22	-1	18274030	18300191	MICAL3	protein_coding
ENSG00000243156	ENST00000584751	22	-1	18286320	18293502	MICAL3	protein_coding
ENSG00000243156	ENST00000498573	22	-1	18301788	18314766	MICAL3	protein_coding
ENSG00000243156	ENST00000578984	22	-1	18301802	18314693	MICAL3	protein_coding
ENSG00000243156	ENST00000400561	22	-1	18317094	18389601	MICAL3	protein_coding
ENSG00000243156	ENST00000444520	22	-1	18317104	18507325	MICAL3	protein_coding
ENSG00000243156	ENST00000414725	22	-1	18322717	18389578	MICAL3	protein_coding
ENSG00000243156	ENST00000383094	22	-1	18324441	18389593	MICAL3	protein_coding
ENSG00000243156	ENST00000207726	22	-1	18324542	18507325	MICAL3	protein_coding
ENSG00000243156	ENST00000429452	22	-1	18342922	18507325	MICAL3	protein_coding
ENSG00000243156	ENST00000461307	22	-1	18342929	18378054	MICAL3	protein_coding
ENSG00000243156	ENST00000585038	22	-1	18347381	18389640	MICAL3	protein_coding
ENSG00000243156	ENST00000424046	22	-1	18387494	18483946	MICAL3	protein_coding
ENSG00000215193	ENST00000329627	22	1	18560689	18588162	PEX26	protein_coding
ENSG00000215193	ENST00000399744	22	1	18560774	18571226	PEX26	protein_coding
ENSG00000215193	ENST00000428061	22	1	18561143	18570885	PEX26	protein_coding
ENSG00000183785	ENST00000426208	22	1	18593097	18607035	TUBA8	protein_coding
ENSG00000183785	ENST00000316027	22	1	18593453	18613921	TUBA8	protein_coding
ENSG00000183785	ENST00000330423	22	1	18593559	18614498	TUBA8	protein_coding
ENSG00000183785	ENST00000416740	22	1	18603874	18613884	TUBA8	protein_coding
ENSG00000183785	ENST00000608634	22	1	18609474	18629321	TUBA8	protein_coding
ENSG00000184979	ENST00000215794	22	1	18632666	18660164	USP18	protein_coding
ENSG00000182824	ENST00000342888	22	1	18721427	18745407	AC008132.1	protein_coding
ENSG00000161103	ENST00000342005	22	1	18834324	18839322	AC008132.13	protein_coding
ENSG00000183628	ENST00000413981	22	1	18893541	18899601	DGCR6	protein_coding
ENSG00000183628	ENST00000331444	22	1	18893736	18899601	DGCR6	protein_coding
ENSG00000183628	ENST00000608842	22	1	18893866	18895782	DGCR6	protein_coding
ENSG00000100033	ENST00000420436	22	-1	18900294	18923809	PRODH	protein_coding
ENSG00000100033	ENST00000334029	22	-1	18900295	18923964	PRODH	protein_coding
ENSG00000100033	ENST00000357068	22	-1	18900295	18924066	PRODH	protein_coding
ENSG00000100033	ENST00000438924	22	-1	18908894	18923655	PRODH	protein_coding
ENSG00000100033	ENST00000450579	22	-1	18909885	18922341	PRODH	protein_coding
ENSG00000100033	ENST00000457083	22	-1	18910393	18923779	PRODH	protein_coding
ENSG00000070413	ENST00000537045	22	-1	19023795	19109967	DGCR2	protein_coding
ENSG00000070413	ENST00000263196	22	-1	19023799	19109967	DGCR2	protein_coding
ENSG00000070413	ENST00000545799	22	-1	19023801	19109920	DGCR2	protein_coding
ENSG00000100056	ENST00000252137	22	-1	19117792	19132197	DGCR14	protein_coding
ENSG00000206203	ENST00000399635	22	1	19118321	19120134	TSSK2	protein_coding
ENSG00000063515	ENST00000086933	22	-1	19136089	19137796	GSC2	protein_coding
ENSG00000100075	ENST00000215882	22	-1	19163095	19166343	SLC25A1	protein_coding
ENSG00000100075	ENST00000451283	22	-1	19163106	19166034	SLC25A1	protein_coding
ENSG00000070371	ENST00000353891	22	-1	19166986	19279208	CLTCL1	protein_coding
ENSG00000070371	ENST00000263200	22	-1	19166986	19279237	CLTCL1	protein_coding
ENSG00000070371	ENST00000427926	22	-1	19166989	19279239	CLTCL1	protein_coding
ENSG00000070371	ENST00000449918	22	-1	19241557	19279239	CLTCL1	protein_coding
ENSG00000100084	ENST00000340170	22	-1	19318221	19419219	HIRA	protein_coding
ENSG00000100084	ENST00000263208	22	-1	19318221	19419256	HIRA	protein_coding
ENSG00000100084	ENST00000541063	22	-1	19318581	19435224	HIRA	protein_coding
ENSG00000100084	ENST00000546308	22	-1	19338891	19435214	HIRA	protein_coding
ENSG00000185608	ENST00000333130	22	1	19419425	19423598	MRPL40	protein_coding
ENSG00000242259	ENST00000399568	22	-1	19428409	19435215	C22orf39	protein_coding
ENSG00000242259	ENST00000542103	22	-1	19428431	19435755	C22orf39	protein_coding
ENSG00000242259	ENST00000399562	22	-1	19429300	19435755	C22orf39	protein_coding
ENSG00000242259	ENST00000333059	22	-1	19430894	19435220	C22orf39	protein_coding
ENSG00000070010	ENST00000263202	22	-1	19437433	19466738	UFD1L	protein_coding
ENSG00000070010	ENST00000360834	22	-1	19437464	19466738	UFD1L	protein_coding
ENSG00000070010	ENST00000399523	22	-1	19438144	19466695	UFD1L	protein_coding
ENSG00000070010	ENST00000447868	22	-1	19443203	19466725	UFD1L	protein_coding
ENSG00000070010	ENST00000421968	22	-1	19444403	19466708	UFD1L	protein_coding
ENSG00000070010	ENST00000494054	22	-1	19455396	19466454	UFD1L	protein_coding
ENSG00000070010	ENST00000474226	22	-1	19455418	19466667	UFD1L	protein_coding
ENSG00000093009	ENST00000407835	22	1	19466982	19508135	CDC45	protein_coding
ENSG00000093009	ENST00000438587	22	1	19467005	19481876	CDC45	protein_coding
ENSG00000093009	ENST00000455750	22	1	19467261	19470345	CDC45	protein_coding
ENSG00000093009	ENST00000437685	22	1	19467414	19508134	CDC45	protein_coding
ENSG00000093009	ENST00000263201	22	1	19467416	19508134	CDC45	protein_coding
ENSG00000093009	ENST00000404724	22	1	19467461	19508101	CDC45	protein_coding
ENSG00000184113	ENST00000406028	22	-1	19510547	19515068	CLDN5	protein_coding
ENSG00000184113	ENST00000403084	22	-1	19510550	19512906	CLDN5	protein_coding
ENSG00000184113	ENST00000413119	22	-1	19510575	19512946	CLDN5	protein_coding
ENSG00000184702	ENST00000455784	22	1	19701987	19710842	SEPT5	protein_coding
ENSG00000184702	ENST00000406395	22	1	19702027	19710797	SEPT5	protein_coding
ENSG00000184702	ENST00000412544	22	1	19702198	19709854	SEPT5	protein_coding
ENSG00000184702	ENST00000431124	22	1	19704793	19709243	SEPT5	protein_coding
ENSG00000184702	ENST00000383045	22	1	19705955	19710152	SEPT5	protein_coding
ENSG00000184702	ENST00000438754	22	1	19705981	19710842	SEPT5	protein_coding
ENSG00000184702	ENST00000395109	22	1	19706958	19708356	SEPT5	protein_coding
ENSG00000184702	ENST00000413258	22	1	19707711	19708397	SEPT5	protein_coding
ENSG00000203618	ENST00000366425	22	1	19710468	19712294	GP1BB	protein_coding
ENSG00000184058	ENST00000332710	22	1	19744226	19754855	TBX1	protein_coding
ENSG00000184058	ENST00000329705	22	1	19744226	19767069	TBX1	protein_coding
ENSG00000184058	ENST00000359500	22	1	19744226	19771116	TBX1	protein_coding
ENSG00000185838	ENST00000329517	22	-1	19770747	19842462	GNB1L	protein_coding
ENSG00000185838	ENST00000403325	22	-1	19775938	19842366	GNB1L	protein_coding
ENSG00000185838	ENST00000405009	22	-1	19775941	19842462	GNB1L	protein_coding
ENSG00000185838	ENST00000453108	22	-1	19799818	19842366	GNB1L	protein_coding
ENSG00000215012	ENST00000407472	22	-1	19833661	19842419	C22orf29	protein_coding
ENSG00000215012	ENST00000328554	22	-1	19833669	19842363	C22orf29	protein_coding
ENSG00000215012	ENST00000405640	22	-1	19833669	19842409	C22orf29	protein_coding
ENSG00000215012	ENST00000416337	22	-1	19839512	19842339	C22orf29	protein_coding
ENSG00000184470	ENST00000400518	22	-1	19863040	19920076	TXNRD2	protein_coding
ENSG00000184470	ENST00000400521	22	-1	19863045	19929333	TXNRD2	protein_coding
ENSG00000184470	ENST00000400519	22	-1	19863070	19929326	TXNRD2	protein_coding
ENSG00000184470	ENST00000535882	22	-1	19863070	19929326	TXNRD2	protein_coding
ENSG00000184470	ENST00000542719	22	-1	19863126	19919951	TXNRD2	protein_coding
ENSG00000184470	ENST00000334363	22	-1	19881781	19929327	TXNRD2	protein_coding
ENSG00000093010	ENST00000361682	22	1	19929130	19957498	COMT	protein_coding
ENSG00000093010	ENST00000403184	22	1	19929256	19953168	COMT	protein_coding
ENSG00000093010	ENST00000403710	22	1	19929296	19956481	COMT	protein_coding
ENSG00000093010	ENST00000407537	22	1	19929311	19956521	COMT	protein_coding
ENSG00000093010	ENST00000412786	22	1	19938465	19956112	COMT	protein_coding
ENSG00000093010	ENST00000406520	22	1	19939026	19956539	COMT	protein_coding
ENSG00000093010	ENST00000449653	22	1	19950070	19957498	COMT	protein_coding
ENSG00000093010	ENST00000428707	22	1	19951222	19955217	COMT	protein_coding
ENSG00000099889	ENST00000263207	22	-1	19957419	20004331	ARVCF	protein_coding
ENSG00000099889	ENST00000344269	22	-1	19957421	19974616	ARVCF	protein_coding
ENSG00000099889	ENST00000401994	22	-1	19958751	19974616	ARVCF	protein_coding
ENSG00000099889	ENST00000406522	22	-1	19958751	19974616	ARVCF	protein_coding
ENSG00000099889	ENST00000406259	22	-1	19958751	19978317	ARVCF	protein_coding
ENSG00000183597	ENST00000401886	22	1	20004537	20052881	TANGO2	protein_coding
ENSG00000183597	ENST00000432198	22	1	20004554	20040107	TANGO2	protein_coding
ENSG00000183597	ENST00000447208	22	1	20004554	20052530	TANGO2	protein_coding
ENSG00000183597	ENST00000398042	22	1	20008595	20053449	TANGO2	protein_coding
ENSG00000183597	ENST00000450664	22	1	20008625	20049099	TANGO2	protein_coding
ENSG00000183597	ENST00000432883	22	1	20008631	20053447	TANGO2	protein_coding
ENSG00000183597	ENST00000327374	22	1	20008631	20053449	TANGO2	protein_coding
ENSG00000183597	ENST00000401833	22	1	20008662	20052887	TANGO2	protein_coding
ENSG00000183597	ENST00000434168	22	1	20008678	20050934	TANGO2	protein_coding
ENSG00000183597	ENST00000434570	22	1	20024282	20052216	TANGO2	protein_coding
ENSG00000183597	ENST00000420290	22	1	20024282	20052360	TANGO2	protein_coding
ENSG00000183597	ENST00000456048	22	1	20024547	20053447	TANGO2	protein_coding
ENSG00000128191	ENST00000351989	22	1	20067755	20099394	DGCR8	protein_coding
ENSG00000128191	ENST00000383024	22	1	20067755	20099398	DGCR8	protein_coding
ENSG00000128191	ENST00000457069	22	1	20068092	20073862	DGCR8	protein_coding
ENSG00000128191	ENST00000407755	22	1	20073345	20099395	DGCR8	protein_coding
ENSG00000099899	ENST00000252136	22	-1	20099389	20104818	TRMT2A	protein_coding
ENSG00000099899	ENST00000403707	22	-1	20099398	20104915	TRMT2A	protein_coding
ENSG00000099899	ENST00000444845	22	-1	20099824	20101030	TRMT2A	protein_coding
ENSG00000099899	ENST00000404751	22	-1	20099827	20104768	TRMT2A	protein_coding
ENSG00000099899	ENST00000439169	22	-1	20099861	20104745	TRMT2A	protein_coding
ENSG00000099899	ENST00000444256	22	-1	20100091	20101331	TRMT2A	protein_coding
ENSG00000099901	ENST00000432879	22	1	20103461	20109900	RANBP1	protein_coding
ENSG00000099901	ENST00000430524	22	1	20103461	20114704	RANBP1	protein_coding
ENSG00000099899	ENST00000445045	22	-1	20103765	20104762	TRMT2A	protein_coding
ENSG00000099901	ENST00000402752	22	1	20104947	20114878	RANBP1	protein_coding
ENSG00000099901	ENST00000331821	22	1	20105071	20114704	RANBP1	protein_coding
ENSG00000099901	ENST00000411892	22	1	20105080	20113011	RANBP1	protein_coding
ENSG00000099901	ENST00000416427	22	1	20105305	20109944	RANBP1	protein_coding
ENSG00000099901	ENST00000421656	22	1	20105398	20109944	RANBP1	protein_coding
ENSG00000099901	ENST00000423859	22	1	20105457	20114150	RANBP1	protein_coding
ENSG00000099901	ENST00000418705	22	1	20105476	20114558	RANBP1	protein_coding
ENSG00000099901	ENST00000448394	22	1	20110130	20114876	RANBP1	protein_coding
ENSG00000099904	ENST00000436518	22	1	20116979	20127432	ZDHHC8	protein_coding
ENSG00000099904	ENST00000334554	22	1	20119330	20135530	ZDHHC8	protein_coding
ENSG00000099904	ENST00000320602	22	1	20119471	20133973	ZDHHC8	protein_coding
ENSG00000099904	ENST00000405930	22	1	20119471	20135529	ZDHHC8	protein_coding
ENSG00000234409	ENST00000439765	22	-1	20135950	20138399	AC006547.14	protein_coding
ENSG00000234409	ENST00000540078	22	-1	20137086	20138302	AC006547.14	protein_coding
ENSG00000040608	ENST00000416372	22	-1	20228938	20255212	RTN4R	protein_coding
ENSG00000040608	ENST00000043402	22	-1	20228938	20256054	RTN4R	protein_coding
ENSG00000040608	ENST00000425986	22	-1	20228940	20231207	RTN4R	protein_coding
ENSG00000128185	ENST00000248879	22	-1	20301799	20307603	DGCR6L	protein_coding
ENSG00000128185	ENST00000405465	22	-1	20301806	20307532	DGCR6L	protein_coding
ENSG00000183038	ENST00000424787	22	-1	20366206	20367797	GGTLC3	protein_coding
ENSG00000183038	ENST00000404912	22	-1	20366211	20368028	GGTLC3	protein_coding
ENSG00000196622	ENST00000426804	22	-1	20456003	20461786	RIMBP3	protein_coding
ENSG00000188280	ENST00000434783	22	1	20692438	20716938	FAM230A	protein_coding
ENSG00000188280	ENST00000583722	22	1	20703829	20706785	FAM230A	protein_coding
ENSG00000161133	ENST00000454608	22	-1	20704868	20745048	USP41	protein_coding
ENSG00000161133	ENST00000292729	22	-1	20717911	20731541	USP41	protein_coding
ENSG00000185252	ENST00000400451	22	1	20748405	20761968	ZNF74	protein_coding
ENSG00000185252	ENST00000403682	22	1	20748418	20761697	ZNF74	protein_coding
ENSG00000185252	ENST00000357502	22	1	20748451	20761971	ZNF74	protein_coding
ENSG00000185252	ENST00000420626	22	1	20748479	20759783	ZNF74	protein_coding
ENSG00000185252	ENST00000356671	22	1	20748479	20761614	ZNF74	protein_coding
ENSG00000185252	ENST00000405993	22	1	20748919	20761258	ZNF74	protein_coding
ENSG00000244486	ENST00000405555	22	-1	20778874	20792112	SCARF2	protein_coding
ENSG00000244486	ENST00000266214	22	-1	20779105	20792146	SCARF2	protein_coding
ENSG00000099910	ENST00000328879	22	-1	20795806	20850170	KLHL22	protein_coding
ENSG00000099910	ENST00000440659	22	-1	20795948	20850082	KLHL22	protein_coding
ENSG00000099910	ENST00000451553	22	-1	20819349	20850089	KLHL22	protein_coding
ENSG00000099910	ENST00000444967	22	-1	20819467	20850085	KLHL22	protein_coding
ENSG00000099910	ENST00000458248	22	-1	20819552	20850082	KLHL22	protein_coding
ENSG00000099910	ENST00000443285	22	-1	20819604	20850082	KLHL22	protein_coding
ENSG00000099910	ENST00000431430	22	-1	20819829	20850110	KLHL22	protein_coding
ENSG00000099910	ENST00000423364	22	-1	20843272	20845844	KLHL22	protein_coding
ENSG00000099917	ENST00000445987	22	1	20850200	20909422	MED15	protein_coding
ENSG00000099917	ENST00000414658	22	1	20861869	20918787	MED15	protein_coding
ENSG00000099917	ENST00000432052	22	1	20861881	20918893	MED15	protein_coding
ENSG00000099917	ENST00000425759	22	1	20861886	20941918	MED15	protein_coding
ENSG00000099917	ENST00000292733	22	1	20861889	20941919	MED15	protein_coding
ENSG00000099917	ENST00000542773	22	1	20861891	20941293	MED15	protein_coding
ENSG00000099917	ENST00000263205	22	1	20861897	20941906	MED15	protein_coding
ENSG00000099917	ENST00000406969	22	1	20861905	20941904	MED15	protein_coding
ENSG00000099917	ENST00000382974	22	1	20861928	20941154	MED15	protein_coding
ENSG00000099917	ENST00000541476	22	1	20862339	20941122	MED15	protein_coding
ENSG00000099917	ENST00000438962	22	1	20862344	20891470	MED15	protein_coding
ENSG00000099917	ENST00000445189	22	1	20877930	20909435	MED15	protein_coding
ENSG00000099917	ENST00000451058	22	1	20878562	20909378	MED15	protein_coding
ENSG00000099917	ENST00000457322	22	1	20905274	20918884	MED15	protein_coding
ENSG00000099917	ENST00000428629	22	1	20905294	20918885	MED15	protein_coding
ENSG00000099917	ENST00000424287	22	1	20905528	20918923	MED15	protein_coding
ENSG00000099917	ENST00000423862	22	1	20905577	20920823	MED15	protein_coding
ENSG00000241973	ENST00000255882	22	-1	21061979	21213100	PI4KA	protein_coding
ENSG00000241973	ENST00000414196	22	-1	21061981	21088955	PI4KA	protein_coding
ENSG00000241973	ENST00000572273	22	-1	21061981	21213070	PI4KA	protein_coding
ENSG00000241973	ENST00000399213	22	-1	21062007	21075706	PI4KA	protein_coding
ENSG00000099937	ENST00000215727	22	1	21128167	21142008	SERPIND1	protein_coding
ENSG00000099937	ENST00000406799	22	1	21133469	21141520	SERPIND1	protein_coding
ENSG00000241973	ENST00000449120	22	-1	21178635	21213705	PI4KA	protein_coding
ENSG00000099940	ENST00000215730	22	1	21213271	21245506	SNAP29	protein_coding
ENSG00000099940	ENST00000439214	22	1	21213771	21242107	SNAP29	protein_coding
ENSG00000099942	ENST00000354336	22	1	21271714	21308037	CRKL	protein_coding
ENSG00000183773	ENST00000399167	22	1	21319396	21335649	AIFM3	protein_coding
ENSG00000183773	ENST00000399163	22	1	21319451	21335647	AIFM3	protein_coding
ENSG00000183773	ENST00000441376	22	1	21319460	21328385	AIFM3	protein_coding
ENSG00000183773	ENST00000434714	22	1	21321447	21330505	AIFM3	protein_coding
ENSG00000183773	ENST00000405089	22	1	21321543	21335649	AIFM3	protein_coding
ENSG00000183773	ENST00000335375	22	1	21321551	21335609	AIFM3	protein_coding
ENSG00000183773	ENST00000333607	22	1	21322090	21335610	AIFM3	protein_coding
ENSG00000183773	ENST00000440238	22	1	21322090	21335610	AIFM3	protein_coding
ENSG00000099949	ENST00000215739	22	1	21336302	21353327	LZTR1	protein_coding
ENSG00000099949	ENST00000389355	22	1	21336620	21351755	LZTR1	protein_coding
ENSG00000099949	ENST00000415817	22	1	21350285	21353274	LZTR1	protein_coding
ENSG00000184436	ENST00000215742	22	-1	21354061	21356375	THAP7	protein_coding
ENSG00000184436	ENST00000399133	22	-1	21354066	21356485	THAP7	protein_coding
ENSG00000269103	ENST00000547793	22	-1	21358030	21360736	AC002472.1	protein_coding
ENSG00000099957	ENST00000413302	22	1	21369316	21383119	P2RX6	protein_coding
ENSG00000099957	ENST00000402329	22	1	21369442	21382296	P2RX6	protein_coding
ENSG00000099957	ENST00000336296	22	1	21369449	21383119	P2RX6	protein_coding
ENSG00000099957	ENST00000401443	22	1	21369459	21381487	P2RX6	protein_coding
ENSG00000099957	ENST00000443995	22	1	21369476	21382296	P2RX6	protein_coding
ENSG00000099960	ENST00000403586	22	-1	21383007	21386838	SLC7A4	protein_coding
ENSG00000099960	ENST00000382932	22	-1	21383007	21386847	SLC7A4	protein_coding
ENSG00000099960	ENST00000426145	22	-1	21385857	21387129	SLC7A4	protein_coding
ENSG00000187905	ENST00000342608	22	1	21400249	21418453	AC002472.13	protein_coding
ENSG00000187905	ENST00000543388	22	1	21400270	21416565	AC002472.13	protein_coding
ENSG00000187905	ENST00000442047	22	1	21400276	21414736	AC002472.13	protein_coding
ENSG00000239511	ENST00000419447	22	-1	21477050	21482046	POM121L7	protein_coding
ENSG00000239511	ENST00000329949	22	-1	21479949	21482352	POM121L7	protein_coding
ENSG00000133475	ENST00000405188	22	-1	21562262	21579843	GGT2	protein_coding
ENSG00000133475	ENST00000401924	22	-1	21562263	21581926	GGT2	protein_coding
ENSG00000133475	ENST00000424627	22	-1	21562294	21580582	GGT2	protein_coding
ENSG00000196934	ENST00000434111	22	1	21737663	21743446	RIMBP3B	protein_coding
ENSG00000169635	ENST00000407464	22	1	21771693	21805752	HIC2	protein_coding
ENSG00000169635	ENST00000407598	22	1	21774925	21803723	HIC2	protein_coding
ENSG00000169635	ENST00000443632	22	1	21796749	21805752	HIC2	protein_coding
ENSG00000183246	ENST00000331505	22	-1	21899646	21905120	RIMBP3C	protein_coding
ENSG00000183246	ENST00000433039	22	-1	21899967	21905750	RIMBP3C	protein_coding
ENSG00000185651	ENST00000458578	22	1	21903736	21976541	UBE2L3	protein_coding
ENSG00000185651	ENST00000342192	22	1	21921836	21978323	UBE2L3	protein_coding
ENSG00000185651	ENST00000545681	22	1	21922026	21976638	UBE2L3	protein_coding
ENSG00000161179	ENST00000292778	22	-1	21982378	21984353	YDJC	protein_coding
ENSG00000161179	ENST00000398873	22	-1	21982381	21984325	YDJC	protein_coding
ENSG00000161180	ENST00000607942	22	1	21987005	21990091	CCDC116	protein_coding
ENSG00000161180	ENST00000425975	22	1	21987007	21988498	CCDC116	protein_coding
ENSG00000161180	ENST00000292779	22	1	21987018	21991616	CCDC116	protein_coding
ENSG00000128228	ENST00000248958	22	1	21996550	21998587	SDF2L1	protein_coding
ENSG00000100023	ENST00000412327	22	1	22020273	22052201	PPIL2	protein_coding
ENSG00000100023	ENST00000335025	22	1	22020298	22054304	PPIL2	protein_coding
ENSG00000100023	ENST00000492445	22	1	22020311	22050349	PPIL2	protein_coding
ENSG00000100023	ENST00000398831	22	1	22020311	22050712	PPIL2	protein_coding
ENSG00000100023	ENST00000458567	22	1	22020312	22035679	PPIL2	protein_coding
ENSG00000100023	ENST00000406385	22	1	22020329	22052565	PPIL2	protein_coding
ENSG00000100023	ENST00000456792	22	1	22020358	22051472	PPIL2	protein_coding
ENSG00000100027	ENST00000339468	22	-1	22051833	22090123	YPEL1	protein_coding
ENSG00000100027	ENST00000403503	22	-1	22058371	22090044	YPEL1	protein_coding
ENSG00000100030	ENST00000215832	22	-1	22108789	22221919	MAPK1	protein_coding
ENSG00000100030	ENST00000398822	22	-1	22123329	22221970	MAPK1	protein_coding
ENSG00000100030	ENST00000544786	22	-1	22123493	22221730	MAPK1	protein_coding
ENSG00000100034	ENST00000263212	22	-1	22273793	22307209	PPM1F	protein_coding
ENSG00000100034	ENST00000407142	22	-1	22273800	22292956	PPM1F	protein_coding
ENSG00000100034	ENST00000538191	22	-1	22277200	22292934	PPM1F	protein_coding
ENSG00000100034	ENST00000397495	22	-1	22279249	22307203	PPM1F	protein_coding
ENSG00000100034	ENST00000445205	22	-1	22285638	22295029	PPM1F	protein_coding
ENSG00000100034	ENST00000424647	22	-1	22288396	22292948	PPM1F	protein_coding
ENSG00000100038	ENST00000357179	22	-1	22311397	22337213	TOP3B	protein_coding
ENSG00000100038	ENST00000457270	22	-1	22311399	22323112	TOP3B	protein_coding
ENSG00000100038	ENST00000398793	22	-1	22311403	22337147	TOP3B	protein_coding
ENSG00000100038	ENST00000413067	22	-1	22313894	22337163	TOP3B	protein_coding
ENSG00000100038	ENST00000424393	22	-1	22322991	22337177	TOP3B	protein_coding
ENSG00000100038	ENST00000437929	22	-1	22326267	22337163	TOP3B	protein_coding
ENSG00000100038	ENST00000430142	22	-1	22326269	22337210	TOP3B	protein_coding
ENSG00000100038	ENST00000456075	22	-1	22328748	22337163	TOP3B	protein_coding
ENSG00000100038	ENST00000449704	22	-1	22328751	22337184	TOP3B	protein_coding
ENSG00000100038	ENST00000442653	22	-1	22328791	22330341	TOP3B	protein_coding
ENSG00000100038	ENST00000437103	22	-1	22328805	22337190	TOP3B	protein_coding
ENSG00000100038	ENST00000434517	22	-1	22330018	22337170	TOP3B	protein_coding
ENSG00000169575	ENST00000403807	22	1	22599087	22599927	VPREB1	protein_coding
ENSG00000169575	ENST00000302273	22	1	22599192	22599917	VPREB1	protein_coding
ENSG00000198477	ENST00000406426	22	-1	22838767	22863472	ZNF280B	protein_coding
ENSG00000198477	ENST00000360412	22	-1	22838774	22863505	ZNF280B	protein_coding
ENSG00000169548	ENST00000302097	22	-1	22868060	22874613	ZNF280A	protein_coding
ENSG00000185686	ENST00000398743	22	-1	22890123	22901747	PRAME	protein_coding
ENSG00000185686	ENST00000398741	22	-1	22890124	22901550	PRAME	protein_coding
ENSG00000185686	ENST00000543184	22	-1	22890124	22901696	PRAME	protein_coding
ENSG00000185686	ENST00000405655	22	-1	22890126	22901550	PRAME	protein_coding
ENSG00000185686	ENST00000539862	22	-1	22890128	22896603	PRAME	protein_coding
ENSG00000185686	ENST00000402697	22	-1	22890189	22901695	PRAME	protein_coding
ENSG00000185686	ENST00000424204	22	-1	22890323	22898347	PRAME	protein_coding
ENSG00000185686	ENST00000439106	22	-1	22892496	22901686	PRAME	protein_coding
ENSG00000185686	ENST00000438888	22	-1	22892605	22898347	PRAME	protein_coding
ENSG00000185686	ENST00000420709	22	-1	22892643	22901490	PRAME	protein_coding
