ENSG00000184731	ENST00000327669	2	-1	38814	46385	FAM110C	protein_coding
ENSG00000171863	ENST00000304921	2	1	3622795	3628509	RPS7	protein_coding
ENSG00000171863	ENST00000407445	2	1	3622912	3628129	RPS7	protein_coding
ENSG00000171863	ENST00000403564	2	1	3622915	3628509	RPS7	protein_coding
ENSG00000171863	ENST00000406376	2	1	3622948	3628491	RPS7	protein_coding
ENSG00000118004	ENST00000382062	2	1	3642545	3692035	COLEC11	protein_coding
ENSG00000118004	ENST00000236693	2	1	3642639	3692048	COLEC11	protein_coding
ENSG00000118004	ENST00000349077	2	1	3642682	3692048	COLEC11	protein_coding
ENSG00000118004	ENST00000438814	2	1	3649496	3687921	COLEC11	protein_coding
ENSG00000118004	ENST00000418971	2	1	3649496	3691942	COLEC11	protein_coding
ENSG00000118004	ENST00000403096	2	1	3653291	3692036	COLEC11	protein_coding
ENSG00000118004	ENST00000402794	2	1	3653642	3692036	COLEC11	protein_coding
ENSG00000118004	ENST00000402922	2	1	3653642	3692036	COLEC11	protein_coding
ENSG00000118004	ENST00000404205	2	1	3653642	3692036	COLEC11	protein_coding
ENSG00000151360	ENST00000252505	2	1	3705785	3750261	ALLC	protein_coding
ENSG00000214866	ENST00000423741	2	1	3751453	3826457	DCDC2C	protein_coding
ENSG00000214866	ENST00000399143	2	1	3800169	3817001	DCDC2C	protein_coding
ENSG00000176887	ENST00000322002	2	1	5832799	5841516	SOX11	protein_coding
ENSG00000272268	ENST00000391666	2	1	6111712	6114374	DKFZP761K2322	protein_coding
ENSG00000134326	ENST00000458098	2	-1	6980701	7005936	CMPK2	protein_coding
ENSG00000134326	ENST00000256722	2	-1	6988447	7005827	CMPK2	protein_coding
ENSG00000134326	ENST00000404168	2	-1	6990781	7005843	CMPK2	protein_coding
ENSG00000134321	ENST00000442639	2	1	7005959	7027184	RSAD2	protein_coding
ENSG00000134321	ENST00000382040	2	1	7017796	7038370	RSAD2	protein_coding
ENSG00000134321	ENST00000541728	2	1	7018925	7036440	RSAD2	protein_coding
ENSG00000151692	ENST00000320892	2	1	7057523	7184313	RNF144A	protein_coding
ENSG00000151692	ENST00000416587	2	1	7073174	7154614	RNF144A	protein_coding
ENSG00000151692	ENST00000433456	2	1	7118755	7154614	RNF144A	protein_coding
ENSG00000151692	ENST00000432850	2	1	7137071	7208417	RNF144A	protein_coding
ENSG00000115738	ENST00000234091	2	1	8818975	8824583	ID2	protein_coding
ENSG00000115738	ENST00000396290	2	1	8822113	8824581	ID2	protein_coding
ENSG00000115738	ENST00000331129	2	1	8822186	8823137	ID2	protein_coding
ENSG00000134313	ENST00000496383	2	-1	8865690	8943101	KIDINS220	protein_coding
ENSG00000134313	ENST00000256707	2	-1	8868987	8977755	KIDINS220	protein_coding
ENSG00000134313	ENST00000418530	2	-1	8868987	8977755	KIDINS220	protein_coding
ENSG00000134313	ENST00000427284	2	-1	8868987	8977755	KIDINS220	protein_coding
ENSG00000134313	ENST00000473731	2	-1	8869059	8977760	KIDINS220	protein_coding
ENSG00000134313	ENST00000489024	2	-1	8872083	8977742	KIDINS220	protein_coding
ENSG00000134313	ENST00000459813	2	-1	8886587	8910837	KIDINS220	protein_coding
ENSG00000134313	ENST00000319688	2	-1	8897324	8977730	KIDINS220	protein_coding
ENSG00000143797	ENST00000305997	2	-1	8992820	9143942	MBOAT2	protein_coding
ENSG00000143797	ENST00000462696	2	-1	9017252	9143794	MBOAT2	protein_coding
ENSG00000151693	ENST00000281419	2	1	9346894	9545807	ASAP2	protein_coding
ENSG00000151693	ENST00000315273	2	1	9346894	9545812	ASAP2	protein_coding
ENSG00000119185	ENST00000360635	2	-1	9543604	9563358	ITGB1BP1	protein_coding
ENSG00000119185	ENST00000238091	2	-1	9545813	9563635	ITGB1BP1	protein_coding
ENSG00000119185	ENST00000355346	2	-1	9545813	9563676	ITGB1BP1	protein_coding
ENSG00000119185	ENST00000359712	2	-1	9546790	9563379	ITGB1BP1	protein_coding
ENSG00000119185	ENST00000488451	2	-1	9546796	9563609	ITGB1BP1	protein_coding
ENSG00000119185	ENST00000456913	2	-1	9547159	9563559	ITGB1BP1	protein_coding
ENSG00000119185	ENST00000492079	2	-1	9547701	9560423	ITGB1BP1	protein_coding
ENSG00000119185	ENST00000494563	2	-1	9548281	9563305	ITGB1BP1	protein_coding
ENSG00000119185	ENST00000467606	2	-1	9552398	9563216	ITGB1BP1	protein_coding
ENSG00000119185	ENST00000484735	2	-1	9552426	9563469	ITGB1BP1	protein_coding
ENSG00000119185	ENST00000460001	2	-1	9552433	9563305	ITGB1BP1	protein_coding
ENSG00000119185	ENST00000497105	2	-1	9552489	9563357	ITGB1BP1	protein_coding
ENSG00000119203	ENST00000238112	2	1	9563697	9613230	CPSF3	protein_coding
ENSG00000119203	ENST00000475482	2	1	9563780	9572817	CPSF3	protein_coding
ENSG00000119203	ENST00000460593	2	1	9564013	9613221	CPSF3	protein_coding
ENSG00000134330	ENST00000496603	2	1	9613787	9624677	IAH1	protein_coding
ENSG00000134330	ENST00000482918	2	1	9613947	9628573	IAH1	protein_coding
ENSG00000134330	ENST00000497473	2	1	9614659	9628940	IAH1	protein_coding
ENSG00000134330	ENST00000470914	2	1	9614666	9629871	IAH1	protein_coding
ENSG00000134330	ENST00000481367	2	1	9614704	9636672	IAH1	protein_coding
ENSG00000134330	ENST00000545602	2	1	9614704	9636672	IAH1	protein_coding
ENSG00000134330	ENST00000481688	2	1	9614987	9628443	IAH1	protein_coding
ENSG00000134330	ENST00000495797	2	1	9615184	9624596	IAH1	protein_coding
ENSG00000151694	ENST00000310823	2	-1	9628615	9695917	ADAM17	protein_coding
ENSG00000151694	ENST00000497134	2	-1	9661725	9695921	ADAM17	protein_coding
ENSG00000134308	ENST00000381844	2	-1	9724101	9770745	YWHAQ	protein_coding
ENSG00000134308	ENST00000238081	2	-1	9724101	9771143	YWHAQ	protein_coding
ENSG00000134308	ENST00000446619	2	-1	9728427	9771075	YWHAQ	protein_coding
ENSG00000115750	ENST00000263663	2	1	9983483	10074545	TAF1B	protein_coding
ENSG00000115750	ENST00000396242	2	1	9983652	10074282	TAF1B	protein_coding
ENSG00000115750	ENST00000492648	2	1	10016127	10053838	TAF1B	protein_coding
ENSG00000134317	ENST00000405379	2	1	10085341	10142411	GRHL1	protein_coding
ENSG00000134317	ENST00000324883	2	1	10091792	10142411	GRHL1	protein_coding
ENSG00000134317	ENST00000324907	2	1	10091827	10142405	GRHL1	protein_coding
ENSG00000134317	ENST00000480736	2	1	10135434	10140994	GRHL1	protein_coding
ENSG00000172059	ENST00000401510	2	1	10182976	10187897	KLF11	protein_coding
ENSG00000172059	ENST00000305883	2	1	10183682	10194963	KLF11	protein_coding
ENSG00000172059	ENST00000448523	2	1	10183956	10188006	KLF11	protein_coding
ENSG00000172059	ENST00000540845	2	1	10183956	10194963	KLF11	protein_coding
ENSG00000172059	ENST00000440320	2	1	10184302	10187882	KLF11	protein_coding
ENSG00000172059	ENST00000535335	2	1	10184372	10194963	KLF11	protein_coding
ENSG00000205795	ENST00000381813	2	-1	10196907	10220538	CYS1	protein_coding
ENSG00000233502	ENST00000425235	2	1	10223908	10226228	AC104794.4	protein_coding
ENSG00000171848	ENST00000360566	2	1	10262455	10271545	RRM2	protein_coding
ENSG00000171848	ENST00000304567	2	1	10262857	10271545	RRM2	protein_coding
ENSG00000171848	ENST00000474701	2	1	10263298	10269282	RRM2	protein_coding
ENSG00000163009	ENST00000381786	2	1	10281509	10351851	C2orf48	protein_coding
ENSG00000115756	ENST00000423674	2	1	10443015	10559973	HPCAL1	protein_coding
ENSG00000115756	ENST00000307845	2	1	10443033	10567735	HPCAL1	protein_coding
ENSG00000115756	ENST00000381765	2	1	10443826	10567743	HPCAL1	protein_coding
ENSG00000115756	ENST00000422133	2	1	10560147	10567126	HPCAL1	protein_coding
ENSG00000115758	ENST00000234111	2	-1	10580094	10588630	ODC1	protein_coding
ENSG00000115758	ENST00000405333	2	-1	10580727	10587906	ODC1	protein_coding
ENSG00000115758	ENST00000443218	2	-1	10584670	10587914	ODC1	protein_coding
ENSG00000115761	ENST00000345985	2	-1	10710892	10830098	NOL10	protein_coding
ENSG00000115761	ENST00000381685	2	-1	10711781	10830093	NOL10	protein_coding
ENSG00000115761	ENST00000542668	2	-1	10711928	10830101	NOL10	protein_coding
ENSG00000115761	ENST00000538384	2	-1	10711999	10830101	NOL10	protein_coding
ENSG00000115761	ENST00000431319	2	-1	10762149	10811816	NOL10	protein_coding
ENSG00000143882	ENST00000272238	2	1	10861775	10923561	ATP6V1C2	protein_coding
ENSG00000143882	ENST00000381661	2	1	10861775	10925236	ATP6V1C2	protein_coding
ENSG00000143870	ENST00000272227	2	-1	10923517	10952970	PDIA6	protein_coding
ENSG00000143870	ENST00000404371	2	-1	10923519	10972611	PDIA6	protein_coding
ENSG00000143870	ENST00000404824	2	-1	10923987	10978103	PDIA6	protein_coding
ENSG00000143870	ENST00000540494	2	-1	10924138	10952880	PDIA6	protein_coding
ENSG00000143870	ENST00000381611	2	-1	10924162	10972571	PDIA6	protein_coding
ENSG00000143870	ENST00000458536	2	-1	10959400	10972466	PDIA6	protein_coding
ENSG00000232056	ENST00000418835	2	1	10987703	10995081	AC092687.4	protein_coding
ENSG00000162975	ENST00000295082	2	1	11052063	11054350	KCNF1	protein_coding
ENSG00000150873	ENST00000381585	2	1	11273179	11286150	C2orf50	protein_coding
ENSG00000150873	ENST00000405022	2	1	11273255	11286916	C2orf50	protein_coding
ENSG00000162976	ENST00000445402	2	1	11295324	11312172	PQLC3	protein_coding
ENSG00000162976	ENST00000295083	2	1	11295498	11319000	PQLC3	protein_coding
ENSG00000162976	ENST00000441908	2	1	11295603	11318348	PQLC3	protein_coding
ENSG00000162976	ENST00000402361	2	1	11295661	11318150	PQLC3	protein_coding
ENSG00000162976	ENST00000428481	2	1	11295735	11318405	PQLC3	protein_coding
ENSG00000134318	ENST00000315872	2	-1	11319887	11484711	ROCK2	protein_coding
ENSG00000134318	ENST00000401753	2	-1	11323457	11374796	ROCK2	protein_coding
ENSG00000134318	ENST00000431087	2	-1	11361453	11427863	ROCK2	protein_coding
ENSG00000169016	ENST00000381525	2	-1	11584501	11606275	E2F6	protein_coding
ENSG00000169016	ENST00000362009	2	-1	11586370	11606275	E2F6	protein_coding
ENSG00000169016	ENST00000307236	2	-1	11586603	11606005	E2F6	protein_coding
ENSG00000169016	ENST00000542100	2	-1	11586603	11606005	E2F6	protein_coding
ENSG00000169016	ENST00000546212	2	-1	11586603	11606005	E2F6	protein_coding
ENSG00000269074	ENST00000598929	2	1	11603927	11606274	AC099344.1	protein_coding
ENSG00000196208	ENST00000381486	2	1	11674242	11782914	GREB1	protein_coding
ENSG00000196208	ENST00000263834	2	1	11679969	11728369	GREB1	protein_coding
ENSG00000196208	ENST00000389825	2	1	11682816	11721391	GREB1	protein_coding
ENSG00000196208	ENST00000381483	2	1	11682851	11732272	GREB1	protein_coding
ENSG00000196208	ENST00000234142	2	1	11696479	11782912	GREB1	protein_coding
ENSG00000196208	ENST00000432985	2	1	11728382	11750868	GREB1	protein_coding
ENSG00000196208	ENST00000396123	2	1	11752385	11782914	GREB1	protein_coding
ENSG00000169006	ENST00000306928	2	-1	11798304	11810290	NTSR2	protein_coding
ENSG00000134324	ENST00000449576	2	1	11817721	11965013	LPIN1	protein_coding
ENSG00000134324	ENST00000396098	2	1	11864478	11924071	LPIN1	protein_coding
ENSG00000134324	ENST00000396099	2	1	11864478	11964989	LPIN1	protein_coding
ENSG00000134324	ENST00000425416	2	1	11864481	11965021	LPIN1	protein_coding
ENSG00000134324	ENST00000256720	2	1	11886714	11967535	LPIN1	protein_coding
ENSG00000134324	ENST00000441684	2	1	11886760	11907984	LPIN1	protein_coding
ENSG00000134324	ENST00000423495	2	1	11886764	11905751	LPIN1	protein_coding
ENSG00000134324	ENST00000396097	2	1	11917333	11966656	LPIN1	protein_coding
ENSG00000134324	ENST00000404113	2	1	11927199	11965045	LPIN1	protein_coding
ENSG00000134324	ENST00000454151	2	1	11927256	11944645	LPIN1	protein_coding
ENSG00000071575	ENST00000155926	2	1	12857015	12882860	TRIB2	protein_coding
ENSG00000071575	ENST00000381465	2	1	12857061	12882860	TRIB2	protein_coding
ENSG00000071575	ENST00000405331	2	1	12858364	12864951	TRIB2	protein_coding
ENSG00000162981	ENST00000295092	2	1	14772810	14780170	FAM84A	protein_coding
ENSG00000162981	ENST00000331243	2	1	14772824	14777351	FAM84A	protein_coding
ENSG00000265629	ENST00000581929	2	1	14775215	14790933	AC011897.1	protein_coding
ENSG00000151779	ENST00000441750	2	-1	15307032	15701454	NBAS	protein_coding
ENSG00000151779	ENST00000281513	2	-1	15307033	15701454	NBAS	protein_coding
ENSG00000151779	ENST00000417461	2	-1	15307038	15378810	NBAS	protein_coding
ENSG00000151779	ENST00000433283	2	-1	15307040	15330527	NBAS	protein_coding
ENSG00000151779	ENST00000442506	2	-1	15307040	15564518	NBAS	protein_coding
ENSG00000151779	ENST00000423602	2	-1	15318073	15330521	NBAS	protein_coding
ENSG00000151779	ENST00000441755	2	-1	15514732	15564516	NBAS	protein_coding
ENSG00000151779	ENST00000429842	2	-1	15533763	15557705	NBAS	protein_coding
ENSG00000079785	ENST00000381341	2	1	15731302	15771235	DDX1	protein_coding
ENSG00000079785	ENST00000434671	2	1	15731607	15735301	DDX1	protein_coding
ENSG00000079785	ENST00000233084	2	1	15731770	15771225	DDX1	protein_coding
ENSG00000231031	ENST00000436967	2	1	15840525	15884463	AC008271.1	protein_coding
ENSG00000134323	ENST00000281043	2	1	16080686	16087129	MYCN	protein_coding
ENSG00000197872	ENST00000381323	2	-1	16730727	16847102	FAM49A	protein_coding
ENSG00000197872	ENST00000355549	2	-1	16734204	16804344	FAM49A	protein_coding
ENSG00000197872	ENST00000406434	2	-1	16734204	16847096	FAM49A	protein_coding
ENSG00000197872	ENST00000445605	2	-1	16745273	16847354	FAM49A	protein_coding
ENSG00000197872	ENST00000451689	2	-1	16745292	16847599	FAM49A	protein_coding
ENSG00000214842	ENST00000399080	2	-1	17691851	17699706	RAD51AP2	protein_coding
ENSG00000163032	ENST00000404666	2	1	17720393	17837345	VSNL1	protein_coding
ENSG00000163032	ENST00000457525	2	1	17721234	17830869	VSNL1	protein_coding
ENSG00000163032	ENST00000295156	2	1	17721920	17837706	VSNL1	protein_coding
ENSG00000163032	ENST00000451533	2	1	17721963	17830827	VSNL1	protein_coding
ENSG00000163032	ENST00000406397	2	1	17722427	17838285	VSNL1	protein_coding
ENSG00000163029	ENST00000448223	2	-1	17845079	17935070	SMC6	protein_coding
ENSG00000163029	ENST00000351948	2	-1	17845079	17935097	SMC6	protein_coding
ENSG00000163029	ENST00000381272	2	-1	17846666	17935070	SMC6	protein_coding
ENSG00000163029	ENST00000402989	2	-1	17846714	17981462	SMC6	protein_coding
ENSG00000163029	ENST00000446852	2	-1	17884424	17935040	SMC6	protein_coding
ENSG00000163029	ENST00000428868	2	-1	17922946	17981509	SMC6	protein_coding
ENSG00000178295	ENST00000317402	2	1	17935125	17966076	GEN1	protein_coding
ENSG00000178295	ENST00000524465	2	1	17935414	17946194	GEN1	protein_coding
ENSG00000178295	ENST00000381254	2	1	17935414	17966632	GEN1	protein_coding
ENSG00000178295	ENST00000532257	2	1	17935427	17942781	GEN1	protein_coding
ENSG00000178295	ENST00000528873	2	1	17952343	17962037	GEN1	protein_coding
ENSG00000151379	ENST00000281047	2	1	17997763	17998368	MSGN1	protein_coding
ENSG00000170745	ENST00000403915	2	1	18059114	18114221	KCNS3	protein_coding
ENSG00000170745	ENST00000304101	2	1	18059945	18114228	KCNS3	protein_coding
ENSG00000170745	ENST00000419802	2	1	18060650	18112498	KCNS3	protein_coding
ENSG00000240857	ENST00000381249	2	-1	18735989	18741946	RDH14	protein_coding
ENSG00000250741	ENST00000532967	2	-1	18736811	18770828	NT5C1B-RDH14	protein_coding
ENSG00000250741	ENST00000444297	2	-1	18736811	18770830	NT5C1B-RDH14	protein_coding
ENSG00000185013	ENST00000600945	2	-1	18737050	18770838	NT5C1B	protein_coding
ENSG00000185013	ENST00000304081	2	-1	18744138	18770835	NT5C1B	protein_coding
ENSG00000185013	ENST00000359846	2	-1	18744498	18770812	NT5C1B	protein_coding
ENSG00000185013	ENST00000418427	2	-1	18744944	18765177	NT5C1B	protein_coding
ENSG00000185013	ENST00000416783	2	-1	18766117	18770802	NT5C1B	protein_coding
ENSG00000143867	ENST00000272223	2	-1	19551246	19558414	OSR1	protein_coding
ENSG00000143867	ENST00000536433	2	-1	19551773	19556677	OSR1	protein_coding
ENSG00000183891	ENST00000402414	2	-1	20096404	20101717	TTC32	protein_coding
ENSG00000183891	ENST00000333610	2	-1	20096514	20101747	TTC32	protein_coding
ENSG00000183891	ENST00000431392	2	-1	20097630	20101402	TTC32	protein_coding
ENSG00000118965	ENST00000281405	2	-1	20110021	20189883	WDR35	protein_coding
ENSG00000118965	ENST00000345530	2	-1	20110021	20189892	WDR35	protein_coding
ENSG00000118965	ENST00000416055	2	-1	20113003	20175397	WDR35	protein_coding
ENSG00000118965	ENST00000453014	2	-1	20134793	20153632	WDR35	protein_coding
ENSG00000132031	ENST00000407540	2	-1	20191872	20212455	MATN3	protein_coding
ENSG00000132031	ENST00000421259	2	-1	20192798	20212426	MATN3	protein_coding
ENSG00000068697	ENST00000175091	2	-1	20232411	20251789	LAPTM4A	protein_coding
ENSG00000115884	ENST00000254351	2	-1	20400558	20424873	SDC1	protein_coding
ENSG00000115884	ENST00000381150	2	-1	20400560	20425194	SDC1	protein_coding
ENSG00000115884	ENST00000403076	2	-1	20401247	20424857	SDC1	protein_coding
ENSG00000115884	ENST00000429035	2	-1	20403579	20424041	SDC1	protein_coding
ENSG00000055917	ENST00000338086	2	-1	20448452	20527144	PUM2	protein_coding
ENSG00000055917	ENST00000319801	2	-1	20448453	20527144	PUM2	protein_coding
ENSG00000055917	ENST00000361078	2	-1	20448453	20527144	PUM2	protein_coding
ENSG00000055917	ENST00000440577	2	-1	20449625	20512017	PUM2	protein_coding
ENSG00000055917	ENST00000536417	2	-1	20451071	20550382	PUM2	protein_coding
ENSG00000055917	ENST00000403432	2	-1	20451071	20550463	PUM2	protein_coding
ENSG00000055917	ENST00000442400	2	-1	20507742	20551983	PUM2	protein_coding
ENSG00000055917	ENST00000424110	2	-1	20518354	20550463	PUM2	protein_coding
ENSG00000143878	ENST00000272233	2	1	20646835	20649200	RHOB	protein_coding
ENSG00000118960	ENST00000415264	2	-1	20792377	20824533	HS1BP3	protein_coding
ENSG00000118960	ENST00000304031	2	-1	20817582	20850849	HS1BP3	protein_coding
ENSG00000118960	ENST00000458740	2	-1	20821939	20838275	HS1BP3	protein_coding
ENSG00000118960	ENST00000445102	2	-1	20821948	20824652	HS1BP3	protein_coding
ENSG00000118960	ENST00000402541	2	-1	20834476	20850838	HS1BP3	protein_coding
ENSG00000118960	ENST00000406618	2	-1	20839785	20850844	HS1BP3	protein_coding
ENSG00000143869	ENST00000272224	2	1	20866424	20873418	GDF7	protein_coding
ENSG00000118961	ENST00000403006	2	-1	20883788	21022864	C2orf43	protein_coding
ENSG00000118961	ENST00000381090	2	-1	20883804	21022874	C2orf43	protein_coding
ENSG00000118961	ENST00000237822	2	-1	20884818	21022874	C2orf43	protein_coding
ENSG00000118961	ENST00000435420	2	-1	20886385	21022861	C2orf43	protein_coding
ENSG00000118961	ENST00000440866	2	-1	20886509	21022830	C2orf43	protein_coding
ENSG00000118961	ENST00000541941	2	-1	20886567	21022849	C2orf43	protein_coding
ENSG00000118961	ENST00000432947	2	-1	20901335	21022861	C2orf43	protein_coding
ENSG00000118961	ENST00000412261	2	-1	20939812	21022882	C2orf43	protein_coding
ENSG00000118961	ENST00000402479	2	-1	20974618	21022849	C2orf43	protein_coding
ENSG00000118961	ENST00000419825	2	-1	20988649	21022870	C2orf43	protein_coding
ENSG00000084674	ENST00000233242	2	-1	21224301	21266945	APOB	protein_coding
ENSG00000084674	ENST00000399256	2	-1	21247042	21266834	APOB	protein_coding
ENSG00000218819	ENST00000405799	2	1	21346789	21366144	TDRD15	protein_coding
ENSG00000119771	ENST00000486442	2	1	23608088	23931476	KLHL29	protein_coding
ENSG00000224361	ENST00000430988	2	-1	23729913	23747214	AC011239.1	protein_coding
ENSG00000119771	ENST00000288548	2	1	23865262	23920802	KLHL29	protein_coding
ENSG00000119778	ENST00000238789	2	-1	23971534	24149984	ATAD2B	protein_coding
ENSG00000119778	ENST00000381024	2	-1	23971541	24042725	ATAD2B	protein_coding
ENSG00000119778	ENST00000458510	2	-1	24046381	24055481	ATAD2B	protein_coding
ENSG00000119778	ENST00000366438	2	-1	24078879	24090757	ATAD2B	protein_coding
ENSG00000119778	ENST00000439915	2	-1	24092540	24149935	ATAD2B	protein_coding
ENSG00000173960	ENST00000404924	2	1	24150182	24223073	UBXN2A	protein_coding
ENSG00000173960	ENST00000309033	2	1	24163289	24227779	UBXN2A	protein_coding
ENSG00000173960	ENST00000535786	2	1	24163476	24222807	UBXN2A	protein_coding
ENSG00000205639	ENST00000406420	2	1	24232951	24247163	MFSD2B	protein_coding
ENSG00000205639	ENST00000338315	2	1	24232967	24249645	MFSD2B	protein_coding
ENSG00000163026	ENST00000295148	2	-1	24252210	24270223	C2orf44	protein_coding
ENSG00000163026	ENST00000406895	2	-1	24252217	24270231	C2orf44	protein_coding
ENSG00000163026	ENST00000443232	2	-1	24261843	24272445	C2orf44	protein_coding
ENSG00000119782	ENST00000380991	2	1	24272571	24286551	FKBP1B	protein_coding
ENSG00000119782	ENST00000380986	2	1	24272584	24286551	FKBP1B	protein_coding
ENSG00000119782	ENST00000452109	2	1	24272641	24286541	FKBP1B	protein_coding
ENSG00000115128	ENST00000233468	2	-1	24290454	24299313	SF3B14	protein_coding
ENSG00000115129	ENST00000335934	2	-1	24300303	24308085	TP53I3	protein_coding
ENSG00000115129	ENST00000238721	2	-1	24300305	24308051	TP53I3	protein_coding
ENSG00000115129	ENST00000313482	2	-1	24300306	24307655	TP53I3	protein_coding
ENSG00000115129	ENST00000407482	2	-1	24300504	24307196	TP53I3	protein_coding
ENSG00000115129	ENST00000413037	2	-1	24303616	24307181	TP53I3	protein_coding
ENSG00000176732	ENST00000313213	2	-1	24338241	24346347	PFN4	protein_coding
