ENSG00000198033	ENST00000400113	13	-1	19747910	19755992	TUBA3C	protein_coding
ENSG00000127863	ENST00000248484	13	1	24144509	24249028	TNFRSF19	protein_coding
ENSG00000127863	ENST00000403372	13	1	24144803	24247638	TNFRSF19	protein_coding
ENSG00000127863	ENST00000382258	13	1	24153499	24243412	TNFRSF19	protein_coding
ENSG00000127863	ENST00000382263	13	1	24153519	24250232	TNFRSF19	protein_coding
ENSG00000027001	ENST00000433710	13	-1	24304328	24334712	MIPEP	protein_coding
ENSG00000027001	ENST00000382172	13	-1	24304328	24463558	MIPEP	protein_coding
ENSG00000268735	ENST00000601943	13	1	24322243	24323901	AL139080.1	protein_coding
ENSG00000205863	ENST00000382145	13	-1	24465238	24471641	C1QTNF9B	protein_coding
ENSG00000205863	ENST00000382137	13	-1	24465388	24471194	C1QTNF9B	protein_coding
ENSG00000205863	ENST00000382140	13	-1	24465428	24476794	C1QTNF9B	protein_coding
ENSG00000205863	ENST00000382057	13	-1	24465616	24471194	C1QTNF9B	protein_coding
ENSG00000182957	ENST00000424834	13	1	24553944	24881207	SPATA13	protein_coding
ENSG00000182957	ENST00000382108	13	1	24734861	24881212	SPATA13	protein_coding
ENSG00000182957	ENST00000382095	13	1	24734887	24881210	SPATA13	protein_coding
ENSG00000182957	ENST00000434675	13	1	24825832	24877259	SPATA13	protein_coding
ENSG00000182957	ENST00000494772	13	1	24825856	24852907	SPATA13	protein_coding
ENSG00000182957	ENST00000399949	13	1	24844826	24878042	SPATA13	protein_coding
ENSG00000182957	ENST00000409126	13	1	24844857	24877344	SPATA13	protein_coding
ENSG00000182957	ENST00000343003	13	1	24844923	24876985	SPATA13	protein_coding
ENSG00000182957	ENST00000454083	13	1	24844979	24860531	SPATA13	protein_coding
ENSG00000182957	ENST00000488060	13	1	24846827	24852907	SPATA13	protein_coding
ENSG00000240654	ENST00000382071	13	1	24881304	24896673	C1QTNF9	protein_coding
ENSG00000240654	ENST00000332018	13	1	24883716	24896673	C1QTNF9	protein_coding
ENSG00000205850	ENST00000422229	13	-1	24895264	24895566	AL359736.1	protein_coding
ENSG00000102699	ENST00000381989	13	-1	24995064	25086948	PARP4	protein_coding
ENSG00000075673	ENST00000218548	13	1	25254549	25285921	ATP12A	protein_coding
ENSG00000075673	ENST00000381946	13	1	25254715	25285911	ATP12A	protein_coding
ENSG00000132972	ENST00000255324	13	1	25338290	25454059	RNF17	protein_coding
ENSG00000132972	ENST00000381921	13	1	25338301	25454056	RNF17	protein_coding
ENSG00000132972	ENST00000255325	13	1	25338339	25398515	RNF17	protein_coding
ENSG00000132972	ENST00000418120	13	1	25377872	25448399	RNF17	protein_coding
ENSG00000132972	ENST00000339524	13	1	25418017	25454059	RNF17	protein_coding
ENSG00000151849	ENST00000381884	13	-1	25457171	25497018	CENPJ	protein_coding
ENSG00000151849	ENST00000545981	13	-1	25457178	25496974	CENPJ	protein_coding
ENSG00000151849	ENST00000418179	13	-1	25463308	25478132	CENPJ	protein_coding
ENSG00000269099	ENST00000599825	13	1	25591541	25591675	LSP1	protein_coding
ENSG00000151846	ENST00000281589	13	1	25670300	25673389	PABPC3	protein_coding
ENSG00000165566	ENST00000357816	13	-1	25735822	25746426	AMER2	protein_coding
ENSG00000165566	ENST00000381853	13	-1	25742674	25745857	AMER2	protein_coding
ENSG00000165566	ENST00000515384	13	-1	25743229	25746425	AMER2	protein_coding
ENSG00000139505	ENST00000540661	13	-1	25802307	25861704	MTMR6	protein_coding
ENSG00000139505	ENST00000381801	13	-1	25820339	25862147	MTMR6	protein_coding
ENSG00000139496	ENST00000381736	13	1	25875662	25916544	NUPL1	protein_coding
ENSG00000139496	ENST00000463407	13	1	25875769	25910478	NUPL1	protein_coding
ENSG00000139496	ENST00000381718	13	1	25875771	25914856	NUPL1	protein_coding
ENSG00000139496	ENST00000381747	13	1	25875785	25910447	NUPL1	protein_coding
ENSG00000139496	ENST00000394327	13	1	25881960	25910482	NUPL1	protein_coding
ENSG00000132932	ENST00000381655	13	1	25946209	26599989	ATP8A2	protein_coding
ENSG00000132932	ENST00000255283	13	1	26043113	26594379	ATP8A2	protein_coding
ENSG00000215549	ENST00000400553	13	1	26442061	26455095	AL138815.1	protein_coding
ENSG00000268344	ENST00000596729	13	-1	26452422	26452679	AL138815.2	protein_coding
ENSG00000180730	ENST00000319420	13	-1	26618735	26625169	SHISA2	protein_coding
ENSG00000127870	ENST00000346166	13	-1	26786905	26795979	RNF6	protein_coding
ENSG00000127870	ENST00000381588	13	-1	26786905	26796791	RNF6	protein_coding
ENSG00000127870	ENST00000381570	13	-1	26786912	26795840	RNF6	protein_coding
ENSG00000127870	ENST00000399762	13	-1	26787923	26795949	RNF6	protein_coding
ENSG00000132964	ENST00000381527	13	1	26828276	26979375	CDK8	protein_coding
ENSG00000132964	ENST00000536792	13	1	26828779	26978218	CDK8	protein_coding
ENSG00000132970	ENST00000361042	13	1	27131840	27263062	WASF3	protein_coding
ENSG00000132970	ENST00000335327	13	1	27131887	27263085	WASF3	protein_coding
ENSG00000132975	ENST00000405846	13	-1	27329341	27334922	GPR12	protein_coding
ENSG00000132975	ENST00000381436	13	-1	27332447	27334427	GPR12	protein_coding
ENSG00000152484	ENST00000282344	13	-1	27640293	27746033	USP12	protein_coding
ENSG00000122026	ENST00000311549	13	1	27825446	27830705	RPL21	protein_coding
ENSG00000122026	ENST00000272274	13	1	27825716	27830705	RPL21	protein_coding
ENSG00000122026	ENST00000319826	13	1	27825720	27830705	RPL21	protein_coding
ENSG00000122026	ENST00000326092	13	1	27825734	27830705	RPL21	protein_coding
ENSG00000122026	ENST00000493317	13	1	27827842	27830444	RPL21	protein_coding
ENSG00000122035	ENST00000241463	13	1	27844464	27847827	RASL11A	protein_coding
ENSG00000122034	ENST00000381140	13	1	27998681	28009825	GTF3A	protein_coding
ENSG00000122034	ENST00000439403	13	1	28004095	28009825	GTF3A	protein_coding
ENSG00000122033	ENST00000405591	13	-1	28009776	28024326	MTIF3	protein_coding
ENSG00000122033	ENST00000431572	13	-1	28009776	28024739	MTIF3	protein_coding
ENSG00000122033	ENST00000381116	13	-1	28009780	28024701	MTIF3	protein_coding
ENSG00000122033	ENST00000381120	13	-1	28009780	28024711	MTIF3	protein_coding
ENSG00000139517	ENST00000316334	13	-1	28120050	28194541	LNX2	protein_coding
ENSG00000186184	ENST00000302979	13	1	28194903	28197589	POLR1D	protein_coding
ENSG00000186184	ENST00000399697	13	1	28196003	28241548	POLR1D	protein_coding
ENSG00000186184	ENST00000399696	13	1	28196029	28197583	POLR1D	protein_coding
ENSG00000169840	ENST00000302945	13	1	28366780	28368905	GSX1	protein_coding
ENSG00000139515	ENST00000381033	13	1	28494157	28500368	PDX1	protein_coding
ENSG00000180389	ENST00000381026	13	1	28519343	28519727	ATP5EP2	protein_coding
ENSG00000165556	ENST00000381020	13	-1	28536274	28545276	CDX2	protein_coding
ENSG00000183463	ENST00000332715	13	-1	28551851	28562791	URAD	protein_coding
ENSG00000122025	ENST00000241453	13	-1	28577411	28674729	FLT3	protein_coding
ENSG00000122025	ENST00000380982	13	-1	28577414	28674729	FLT3	protein_coding
ENSG00000122025	ENST00000537084	13	-1	28577930	28674707	FLT3	protein_coding
ENSG00000152520	ENST00000380958	13	1	28712643	28866676	PAN3	protein_coding
ENSG00000152520	ENST00000399613	13	1	28713170	28869472	PAN3	protein_coding
ENSG00000152520	ENST00000282391	13	1	28813770	28869475	PAN3	protein_coding
ENSG00000102755	ENST00000282397	13	-1	28874489	29069232	FLT1	protein_coding
ENSG00000102755	ENST00000543394	13	-1	28877271	28896770	FLT1	protein_coding
ENSG00000102755	ENST00000540678	13	-1	28877281	28920426	FLT1	protein_coding
ENSG00000102755	ENST00000541932	13	-1	28942234	29069265	FLT1	protein_coding
ENSG00000102755	ENST00000539099	13	-1	28973181	29069265	FLT1	protein_coding
ENSG00000132963	ENST00000380842	13	1	29233241	29253062	POMP	protein_coding
ENSG00000139508	ENST00000266943	13	-1	29274212	29292978	SLC46A3	protein_coding
ENSG00000139508	ENST00000380814	13	-1	29274854	29293107	SLC46A3	protein_coding
ENSG00000132938	ENST00000431530	13	1	29598748	30077892	MTUS2	protein_coding
ENSG00000132938	ENST00000380808	13	1	30002764	30077873	MTUS2	protein_coding
ENSG00000132938	ENST00000542829	13	1	30002846	30077394	MTUS2	protein_coding
ENSG00000139514	ENST00000380752	13	-1	30083547	30169825	SLC7A1	protein_coding
ENSG00000139514	ENST00000450494	13	-1	30109961	30160929	SLC7A1	protein_coding
ENSG00000122042	ENST00000380680	13	-1	30338508	30424821	UBL3	protein_coding
ENSG00000102781	ENST00000380615	13	-1	30776767	30881621	KATNAL1	protein_coding
ENSG00000102781	ENST00000380617	13	-1	30782617	30881163	KATNAL1	protein_coding
ENSG00000102781	ENST00000414289	13	-1	30829617	30880993	KATNAL1	protein_coding
ENSG00000102781	ENST00000441394	13	-1	30829625	30881181	KATNAL1	protein_coding
ENSG00000189403	ENST00000405805	13	-1	31032884	31191734	HMGB1	protein_coding
ENSG00000189403	ENST00000339872	13	-1	31033987	31038447	HMGB1	protein_coding
ENSG00000189403	ENST00000341423	13	-1	31033987	31040102	HMGB1	protein_coding
ENSG00000189403	ENST00000399489	13	-1	31035032	31038384	HMGB1	protein_coding
ENSG00000189403	ENST00000399494	13	-1	31035044	31039379	HMGB1	protein_coding
ENSG00000189403	ENST00000326004	13	-1	31035633	31040075	HMGB1	protein_coding
ENSG00000189403	ENST00000398908	13	-1	31037348	31040651	HMGB1	protein_coding
ENSG00000132952	ENST00000255304	13	1	31191920	31233686	USPL1	protein_coding
ENSG00000132965	ENST00000380490	13	1	31309645	31338556	ALOX5AP	protein_coding
ENSG00000102802	ENST00000380482	13	1	31480328	31499709	MEDAG	protein_coding
ENSG00000102802	ENST00000428944	13	1	31480843	31498586	MEDAG	protein_coding
ENSG00000175664	ENST00000380473	13	1	31506840	31549639	TEX26	protein_coding
ENSG00000120694	ENST00000435381	13	-1	31710762	31712705	HSPH1	protein_coding
ENSG00000120694	ENST00000380406	13	-1	31710765	31736056	HSPH1	protein_coding
ENSG00000120694	ENST00000320027	13	-1	31710765	31736064	HSPH1	protein_coding
ENSG00000120694	ENST00000380405	13	-1	31710765	31736064	HSPH1	protein_coding
ENSG00000120694	ENST00000445273	13	-1	31711058	31736525	HSPH1	protein_coding
ENSG00000120694	ENST00000429785	13	-1	31711403	31736176	HSPH1	protein_coding
ENSG00000187676	ENST00000343307	13	1	31774073	31906413	B3GALTL	protein_coding
ENSG00000133105	ENST00000380314	13	1	32313674	32377009	RXFP2	protein_coding
ENSG00000133105	ENST00000298386	13	1	32313679	32377009	RXFP2	protein_coding
ENSG00000073910	ENST00000380250	13	1	32605437	32870794	FRY	protein_coding
ENSG00000073910	ENST00000436046	13	1	32635001	32691607	FRY	protein_coding
ENSG00000073910	ENST00000542859	13	1	32838805	32869779	FRY	protein_coding
ENSG00000073910	ENST00000380217	13	1	32861988	32869640	FRY	protein_coding
ENSG00000189167	ENST00000533490	13	-1	32877837	32889481	ZAR1L	protein_coding
ENSG00000189167	ENST00000345108	13	-1	32877908	32886091	ZAR1L	protein_coding
ENSG00000139618	ENST00000380152	13	1	32889611	32973347	BRCA2	protein_coding
ENSG00000139618	ENST00000544455	13	1	32889617	32973805	BRCA2	protein_coding
ENSG00000139618	ENST00000530893	13	1	32889642	32907428	BRCA2	protein_coding
ENSG00000139597	ENST00000380130	13	-1	32974861	33002315	N4BP2L1	protein_coding
ENSG00000139597	ENST00000380139	13	-1	32975713	33002270	N4BP2L1	protein_coding
ENSG00000139597	ENST00000530622	13	-1	32975814	32985743	N4BP2L1	protein_coding
ENSG00000139597	ENST00000380133	13	-1	32975953	33002270	N4BP2L1	protein_coding
ENSG00000139597	ENST00000495479	13	-1	32975954	33002151	N4BP2L1	protein_coding
ENSG00000139597	ENST00000343281	13	-1	32977816	33002151	N4BP2L1	protein_coding
ENSG00000139597	ENST00000464470	13	-1	32999059	33002151	N4BP2L1	protein_coding
ENSG00000244754	ENST00000504114	13	-1	33006924	33112823	N4BP2L2	protein_coding
ENSG00000244754	ENST00000357505	13	-1	33006924	33112929	N4BP2L2	protein_coding
ENSG00000244754	ENST00000399396	13	-1	33006930	33112936	N4BP2L2	protein_coding
ENSG00000244754	ENST00000446957	13	-1	33007028	33111164	N4BP2L2	protein_coding
ENSG00000244754	ENST00000505213	13	-1	33017834	33112970	N4BP2L2	protein_coding
ENSG00000244754	ENST00000267068	13	-1	33091031	33112919	N4BP2L2	protein_coding
ENSG00000083642	ENST00000315596	13	1	33160564	33352157	PDS5B	protein_coding
ENSG00000083642	ENST00000447833	13	1	33332307	33344684	PDS5B	protein_coding
ENSG00000133116	ENST00000426690	13	1	33590207	33635665	KL	protein_coding
ENSG00000133116	ENST00000380099	13	1	33590571	33640282	KL	protein_coding
ENSG00000133121	ENST00000336934	13	-1	33677272	33859892	STARD13	protein_coding
ENSG00000133121	ENST00000255486	13	-1	33677307	33760216	STARD13	protein_coding
ENSG00000133121	ENST00000399365	13	-1	33677307	33780143	STARD13	protein_coding
ENSG00000133121	ENST00000567873	13	-1	33701567	33924767	STARD13	protein_coding
ENSG00000133121	ENST00000439831	13	-1	33922744	33924761	STARD13	protein_coding
ENSG00000133119	ENST00000380071	13	1	34392186	34411633	RFC3	protein_coding
ENSG00000133119	ENST00000434425	13	1	34392206	34540695	RFC3	protein_coding
ENSG00000172915	ENST00000400445	13	1	35516424	36246872	NBEA	protein_coding
ENSG00000172915	ENST00000540320	13	1	35516424	36246872	NBEA	protein_coding
ENSG00000172915	ENST00000310336	13	1	35516456	36246872	NBEA	protein_coding
ENSG00000172915	ENST00000379939	13	1	35516797	36246873	NBEA	protein_coding
ENSG00000180660	ENST00000379919	13	-1	36047926	36050832	MAB21L1	protein_coding
ENSG00000172915	ENST00000537702	13	1	36050886	36245671	NBEA	protein_coding
ENSG00000172915	ENST00000379922	13	1	36167143	36246872	NBEA	protein_coding
ENSG00000133083	ENST00000379893	13	-1	36345478	36429779	DCLK1	protein_coding
ENSG00000133083	ENST00000255448	13	-1	36345478	36705443	DCLK1	protein_coding
ENSG00000133083	ENST00000360631	13	-1	36345478	36705443	DCLK1	protein_coding
ENSG00000133083	ENST00000379892	13	-1	36424060	36705443	DCLK1	protein_coding
ENSG00000120669	ENST00000379881	13	-1	36742345	36788752	SOHLH2	protein_coding
ENSG00000120669	ENST00000554962	13	-1	36742931	36871979	SOHLH2	protein_coding
ENSG00000250709	ENST00000511166	13	-1	36742931	36871979	CCDC169-SOHLH2	protein_coding
ENSG00000120669	ENST00000317764	13	-1	36756129	36788725	SOHLH2	protein_coding
ENSG00000242715	ENST00000239860	13	-1	36801257	36871886	CCDC169	protein_coding
ENSG00000242715	ENST00000491049	13	-1	36801257	36871886	CCDC169	protein_coding
ENSG00000242715	ENST00000503173	13	-1	36801257	36871886	CCDC169	protein_coding
ENSG00000242715	ENST00000379864	13	-1	36801257	36871961	CCDC169	protein_coding
ENSG00000242715	ENST00000510088	13	-1	36804912	36871961	CCDC169	protein_coding
ENSG00000242715	ENST00000239859	13	-1	36805299	36871888	CCDC169	protein_coding
ENSG00000242715	ENST00000379862	13	-1	36805299	36871888	CCDC169	protein_coding
ENSG00000133104	ENST00000438666	13	-1	36875775	36920420	SPG20	protein_coding
ENSG00000133104	ENST00000451493	13	-1	36875777	36920934	SPG20	protein_coding
ENSG00000133104	ENST00000355182	13	-1	36875777	36944317	SPG20	protein_coding
ENSG00000133104	ENST00000494062	13	-1	36877739	36920630	SPG20	protein_coding
ENSG00000120664	ENST00000379848	13	1	36920569	36942547	SPG20OS	protein_coding
ENSG00000133101	ENST00000440264	13	1	37005967	37017019	CCNA1	protein_coding
ENSG00000133101	ENST00000449823	13	1	37005967	37017019	CCNA1	protein_coding
ENSG00000133101	ENST00000418263	13	1	37006409	37017019	CCNA1	protein_coding
ENSG00000133101	ENST00000255465	13	1	37006495	37017019	CCNA1	protein_coding
ENSG00000180440	ENST00000315190	13	1	37248049	37271976	SERTM1	protein_coding
ENSG00000133111	ENST00000255476	13	1	37393361	37403241	RFXAP	protein_coding
ENSG00000120693	ENST00000399275	13	-1	37418968	37453966	SMAD9	protein_coding
ENSG00000120693	ENST00000350148	13	-1	37418968	37494375	SMAD9	protein_coding
ENSG00000120693	ENST00000379826	13	-1	37418968	37494409	SMAD9	protein_coding
ENSG00000120697	ENST00000443765	13	-1	37523912	37573504	ALG5	protein_coding
ENSG00000120697	ENST00000239891	13	-1	37523967	37573504	ALG5	protein_coding
ENSG00000120697	ENST00000413537	13	-1	37524162	37573473	ALG5	protein_coding
ENSG00000120699	ENST00000389704	13	1	37574678	37583538	EXOSC8	protein_coding
ENSG00000120699	ENST00000481013	13	1	37581115	37583750	EXOSC8	protein_coding
ENSG00000102710	ENST00000360252	13	-1	37583453	37633850	SUPT20H	protein_coding
ENSG00000102710	ENST00000475892	13	-1	37583630	37633786	SUPT20H	protein_coding
ENSG00000102710	ENST00000469488	13	-1	37583631	37600935	SUPT20H	protein_coding
ENSG00000102710	ENST00000356185	13	-1	37583631	37633787	SUPT20H	protein_coding
ENSG00000102710	ENST00000350612	13	-1	37583631	37633823	SUPT20H	protein_coding
ENSG00000102710	ENST00000464744	13	-1	37583754	37633569	SUPT20H	protein_coding
ENSG00000102710	ENST00000542180	13	-1	37596826	37633825	SUPT20H	protein_coding
ENSG00000102710	ENST00000497318	13	-1	37614542	37633766	SUPT20H	protein_coding
ENSG00000180138	ENST00000379800	13	-1	37677398	37679803	CSNK1A1L	protein_coding
ENSG00000133110	ENST00000541179	13	-1	38136720	38172981	POSTN	protein_coding
ENSG00000133110	ENST00000379749	13	-1	38136722	38172898	POSTN	protein_coding
ENSG00000133110	ENST00000379747	13	-1	38136726	38172981	POSTN	protein_coding
ENSG00000133110	ENST00000379743	13	-1	38136728	38172887	POSTN	protein_coding
ENSG00000133110	ENST00000379742	13	-1	38136771	38172895	POSTN	protein_coding
ENSG00000133110	ENST00000541481	13	-1	38137470	38172863	POSTN	protein_coding
ENSG00000133107	ENST00000379705	13	-1	38210773	38444562	TRPC4	protein_coding
ENSG00000133107	ENST00000338947	13	-1	38210778	38443939	TRPC4	protein_coding
ENSG00000133107	ENST00000379681	13	-1	38210778	38443939	TRPC4	protein_coding
ENSG00000133107	ENST00000379679	13	-1	38210980	38357470	TRPC4	protein_coding
ENSG00000133107	ENST00000426868	13	-1	38210980	38443860	TRPC4	protein_coding
ENSG00000133107	ENST00000355779	13	-1	38211002	38443939	TRPC4	protein_coding
ENSG00000133107	ENST00000358477	13	-1	38211002	38443939	TRPC4	protein_coding
ENSG00000133107	ENST00000379673	13	-1	38211002	38443939	TRPC4	protein_coding
ENSG00000133107	ENST00000447043	13	-1	38211040	38444562	TRPC4	protein_coding
ENSG00000120686	ENST00000379649	13	1	38923988	38935262	UFM1	protein_coding
ENSG00000120686	ENST00000239878	13	1	38924018	38937140	UFM1	protein_coding
ENSG00000120686	ENST00000437952	13	1	38924133	38933918	UFM1	protein_coding
ENSG00000120686	ENST00000379641	13	1	38924252	38937137	UFM1	protein_coding
ENSG00000150893	ENST00000280481	13	1	39261266	39460074	FREM2	protein_coding
ENSG00000133115	ENST00000379631	13	-1	39540062	39565203	STOML3	protein_coding
ENSG00000133115	ENST00000423210	13	-1	39540063	39564996	STOML3	protein_coding
ENSG00000120685	ENST00000352251	13	-1	39584003	39612213	PROSER1	protein_coding
ENSG00000120685	ENST00000350125	13	-1	39584003	39612252	PROSER1	protein_coding
ENSG00000120685	ENST00000418503	13	-1	39602364	39611974	PROSER1	protein_coding
ENSG00000188811	ENST00000470258	13	1	39612448	39624246	NHLRC3	protein_coding
ENSG00000188811	ENST00000379600	13	1	39612455	39624246	NHLRC3	protein_coding
ENSG00000188811	ENST00000379599	13	1	39612528	39624246	NHLRC3	protein_coding
ENSG00000183722	ENST00000379589	13	-1	39917029	40177308	LHFP	protein_coding
ENSG00000133103	ENST00000416691	13	1	40229764	40365802	COG6	protein_coding
ENSG00000133103	ENST00000422759	13	1	40229799	40252281	COG6	protein_coding
ENSG00000133103	ENST00000455146	13	1	40229814	40326769	COG6	protein_coding
ENSG00000269120	ENST00000595486	13	-1	41111138	41111323	AL133318.1	protein_coding
ENSG00000150907	ENST00000379561	13	-1	41129804	41240734	FOXO1	protein_coding
ENSG00000102738	ENST00000323563	13	-1	41303440	41345309	MRPS31	protein_coding
ENSG00000102743	ENST00000338625	13	1	41363633	41384247	SLC25A15	protein_coding
ENSG00000102743	ENST00000417731	13	1	41367294	41381514	SLC25A15	protein_coding
ENSG00000120690	ENST00000442101	13	-1	41506056	41556418	ELF1	protein_coding
ENSG00000120690	ENST00000239882	13	-1	41506170	41593450	ELF1	protein_coding
ENSG00000120690	ENST00000405737	13	-1	41556119	41635576	ELF1	protein_coding
ENSG00000120688	ENST00000379487	13	1	41635410	41658137	WBP4	protein_coding
ENSG00000120688	ENST00000542082	13	1	41635696	41657332	WBP4	protein_coding
ENSG00000165572	ENST00000379485	13	-1	41701705	41706882	KBTBD6	protein_coding
ENSG00000165572	ENST00000499385	13	-1	41704413	41706882	KBTBD6	protein_coding
ENSG00000120696	ENST00000379483	13	-1	41763969	41768702	KBTBD7	protein_coding
ENSG00000120662	ENST00000379480	13	-1	41790505	41837713	MTRF1	protein_coding
ENSG00000120662	ENST00000379477	13	-1	41791111	41837620	MTRF1	protein_coding
ENSG00000120662	ENST00000430347	13	-1	41791214	41837742	MTRF1	protein_coding
ENSG00000120662	ENST00000452359	13	-1	41826800	41837683	MTRF1	protein_coding
ENSG00000172766	ENST00000379367	13	1	41885341	41936920	NAA16	protein_coding
ENSG00000172766	ENST00000379406	13	1	41885341	41951166	NAA16	protein_coding
ENSG00000172766	ENST00000403412	13	1	41885416	41932854	NAA16	protein_coding
