ENSG00000268640	ENST00000594563	12	1	147052	147377	AC026369.1	protein_coding
ENSG00000166159	ENST00000299194	12	1	1929695	1945918	LRTM2	protein_coding
ENSG00000166159	ENST00000535041	12	1	1929797	1945565	LRTM2	protein_coding
ENSG00000166159	ENST00000546167	12	1	1931248	1940312	LRTM2	protein_coding
ENSG00000166159	ENST00000543694	12	1	1932402	1940320	LRTM2	protein_coding
ENSG00000151065	ENST00000280665	12	-1	2055220	2113677	DCP1B	protein_coding
ENSG00000151065	ENST00000397173	12	-1	2055318	2113636	DCP1B	protein_coding
ENSG00000151065	ENST00000540622	12	-1	2059202	2077076	DCP1B	protein_coding
ENSG00000151067	ENST00000543114	12	1	2079952	2224550	CACNA1C	protein_coding
ENSG00000151067	ENST00000335762	12	1	2162464	2800576	CACNA1C	protein_coding
ENSG00000151067	ENST00000399655	12	1	2162464	2802108	CACNA1C	protein_coding
ENSG00000151067	ENST00000480911	12	1	2162704	2724137	CACNA1C	protein_coding
ENSG00000151067	ENST00000327702	12	1	2162729	2800459	CACNA1C	protein_coding
ENSG00000151067	ENST00000344100	12	1	2162729	2800459	CACNA1C	protein_coding
ENSG00000151067	ENST00000347598	12	1	2162729	2800459	CACNA1C	protein_coding
ENSG00000151067	ENST00000399591	12	1	2162729	2800459	CACNA1C	protein_coding
ENSG00000151067	ENST00000399595	12	1	2162729	2800459	CACNA1C	protein_coding
ENSG00000151067	ENST00000399597	12	1	2162729	2800459	CACNA1C	protein_coding
ENSG00000151067	ENST00000399601	12	1	2162729	2800459	CACNA1C	protein_coding
ENSG00000151067	ENST00000399606	12	1	2162729	2800459	CACNA1C	protein_coding
ENSG00000151067	ENST00000399621	12	1	2162729	2800459	CACNA1C	protein_coding
ENSG00000151067	ENST00000399629	12	1	2162729	2800459	CACNA1C	protein_coding
ENSG00000151067	ENST00000399637	12	1	2162729	2800459	CACNA1C	protein_coding
ENSG00000151067	ENST00000399638	12	1	2162729	2800459	CACNA1C	protein_coding
ENSG00000151067	ENST00000399641	12	1	2162729	2800459	CACNA1C	protein_coding
ENSG00000151067	ENST00000399644	12	1	2162729	2800459	CACNA1C	protein_coding
ENSG00000151067	ENST00000399649	12	1	2162729	2800459	CACNA1C	protein_coding
ENSG00000151067	ENST00000402845	12	1	2162729	2800459	CACNA1C	protein_coding
ENSG00000151067	ENST00000399603	12	1	2162729	2801325	CACNA1C	protein_coding
ENSG00000151067	ENST00000399617	12	1	2162729	2801325	CACNA1C	protein_coding
ENSG00000151067	ENST00000399634	12	1	2162729	2801325	CACNA1C	protein_coding
ENSG00000151067	ENST00000406454	12	1	2162729	2801325	CACNA1C	protein_coding
ENSG00000004478	ENST00000001008	12	1	2904119	2913124	FKBP4	protein_coding
ENSG00000004478	ENST00000538622	12	1	2905847	2907037	FKBP4	protein_coding
ENSG00000004478	ENST00000539181	12	1	2910344	2910969	FKBP4	protein_coding
ENSG00000004478	ENST00000544366	12	1	2912363	2914576	FKBP4	protein_coding
ENSG00000111203	ENST00000228799	12	1	2921788	2934237	ITFG2	protein_coding
ENSG00000111203	ENST00000419778	12	1	2921851	2933668	ITFG2	protein_coding
ENSG00000111203	ENST00000542548	12	1	2921859	2939770	ITFG2	protein_coding
ENSG00000111203	ENST00000535564	12	1	2926396	2933838	ITFG2	protein_coding
ENSG00000111203	ENST00000540662	12	1	2933008	2933642	ITFG2	protein_coding
ENSG00000053702	ENST00000337508	12	-1	2934514	2944190	NRIP2	protein_coding
ENSG00000053702	ENST00000542990	12	-1	2937116	2944710	NRIP2	protein_coding
ENSG00000053702	ENST00000542386	12	-1	2937512	2944702	NRIP2	protein_coding
ENSG00000206044	ENST00000382678	12	-1	2958397	2966213	AC005841.1	protein_coding
ENSG00000111206	ENST00000342628	12	-1	2966849	2986152	FOXM1	protein_coding
ENSG00000111206	ENST00000361953	12	-1	2966849	2986206	FOXM1	protein_coding
ENSG00000111206	ENST00000359843	12	-1	2966850	2986107	FOXM1	protein_coding
ENSG00000111206	ENST00000535350	12	-1	2968654	2977747	FOXM1	protein_coding
ENSG00000171792	ENST00000538636	12	1	2986365	2997303	RHNO1	protein_coding
ENSG00000171792	ENST00000461997	12	1	2986365	2998437	RHNO1	protein_coding
ENSG00000171792	ENST00000489288	12	1	2986381	2998626	RHNO1	protein_coding
ENSG00000171792	ENST00000366285	12	1	2986389	2997100	RHNO1	protein_coding
ENSG00000171792	ENST00000538700	12	1	2986389	2997223	RHNO1	protein_coding
ENSG00000078246	ENST00000544943	12	1	3000053	3048511	TULP3	protein_coding
ENSG00000078246	ENST00000448120	12	1	3000063	3050306	TULP3	protein_coding
ENSG00000078246	ENST00000397132	12	1	3000073	3050296	TULP3	protein_coding
ENSG00000078246	ENST00000541678	12	1	3046844	3049504	TULP3	protein_coding
ENSG00000078246	ENST00000538704	12	1	3046877	3049504	TULP3	protein_coding
ENSG00000197905	ENST00000358409	12	1	3068496	3149831	TEAD4	protein_coding
ENSG00000197905	ENST00000540314	12	1	3068572	3103999	TEAD4	protein_coding
ENSG00000197905	ENST00000536826	12	1	3068573	3104149	TEAD4	protein_coding
ENSG00000197905	ENST00000359864	12	1	3068580	3149839	TEAD4	protein_coding
ENSG00000197905	ENST00000543035	12	1	3068962	3127754	TEAD4	protein_coding
ENSG00000197905	ENST00000397122	12	1	3069083	3149837	TEAD4	protein_coding
ENSG00000197905	ENST00000544666	12	1	3120210	3131086	TEAD4	protein_coding
ENSG00000011105	ENST00000537971	12	1	3186521	3395730	TSPAN9	protein_coding
ENSG00000011105	ENST00000011898	12	1	3186543	3395724	TSPAN9	protein_coding
ENSG00000011105	ENST00000407263	12	1	3310341	3391274	TSPAN9	protein_coding
ENSG00000111218	ENST00000452611	12	1	3490515	3702348	PRMT8	protein_coding
ENSG00000111218	ENST00000382622	12	1	3600402	3703139	PRMT8	protein_coding
ENSG00000130038	ENST00000440314	12	-1	3724494	3862268	EFCAB4B	protein_coding
ENSG00000130038	ENST00000535292	12	-1	3749553	3763389	EFCAB4B	protein_coding
ENSG00000130038	ENST00000444507	12	-1	3749561	3862366	EFCAB4B	protein_coding
ENSG00000130038	ENST00000252322	12	-1	3757109	3862263	EFCAB4B	protein_coding
ENSG00000111224	ENST00000397096	12	-1	3916250	3982608	PARP11	protein_coding
ENSG00000111224	ENST00000427057	12	-1	3918027	3982521	PARP11	protein_coding
ENSG00000111224	ENST00000228820	12	-1	3918027	3982540	PARP11	protein_coding
ENSG00000111224	ENST00000447133	12	-1	3918027	3982608	PARP11	protein_coding
ENSG00000111224	ENST00000450737	12	-1	3938140	3982608	PARP11	protein_coding
ENSG00000118971	ENST00000261254	12	1	4382938	4414516	CCND2	protein_coding
ENSG00000118971	ENST00000536537	12	1	4385230	4407134	CCND2	protein_coding
ENSG00000078237	ENST00000179259	12	1	4430371	4462338	C12orf5	protein_coding
ENSG00000118972	ENST00000237837	12	-1	4477393	4488894	FGF23	protein_coding
ENSG00000111241	ENST00000543077	12	-1	4537322	4553385	FGF6	protein_coding
ENSG00000111241	ENST00000228837	12	-1	4543309	4554780	FGF6	protein_coding
ENSG00000047621	ENST00000261250	12	-1	4596894	4647637	C12orf4	protein_coding
ENSG00000047621	ENST00000545746	12	-1	4598581	4647674	C12orf4	protein_coding
ENSG00000047621	ENST00000541014	12	-1	4626258	4647670	C12orf4	protein_coding
ENSG00000047621	ENST00000542080	12	-1	4634683	4647674	C12orf4	protein_coding
ENSG00000111247	ENST00000321524	12	1	4647950	4669213	RAD51AP1	protein_coding
ENSG00000111247	ENST00000543041	12	1	4648049	4668185	RAD51AP1	protein_coding
ENSG00000111247	ENST00000228843	12	1	4648056	4669213	RAD51AP1	protein_coding
ENSG00000111247	ENST00000352618	12	1	4648056	4669214	RAD51AP1	protein_coding
ENSG00000111247	ENST00000544927	12	1	4648096	4668136	RAD51AP1	protein_coding
ENSG00000111247	ENST00000536117	12	1	4651050	4665665	RAD51AP1	protein_coding
ENSG00000010219	ENST00000542744	12	1	4671370	4721853	DYRK4	protein_coding
ENSG00000010219	ENST00000540757	12	1	4699244	4723217	DYRK4	protein_coding
ENSG00000010219	ENST00000010132	12	1	4699486	4723030	DYRK4	protein_coding
ENSG00000010219	ENST00000543431	12	1	4699562	4723040	DYRK4	protein_coding
ENSG00000010219	ENST00000545342	12	1	4714151	4723325	DYRK4	protein_coding
ENSG00000010219	ENST00000544671	12	1	4719322	4722049	DYRK4	protein_coding
ENSG00000111254	ENST00000545990	12	-1	4724674	4758213	AKAP3	protein_coding
ENSG00000111254	ENST00000228850	12	-1	4724677	4754343	AKAP3	protein_coding
ENSG00000111254	ENST00000540967	12	-1	4737583	4754366	AKAP3	protein_coding
ENSG00000111254	ENST00000536414	12	-1	4737778	4754323	AKAP3	protein_coding
ENSG00000139180	ENST00000266544	12	1	4758273	4798454	NDUFA9	protein_coding
ENSG00000139180	ENST00000535050	12	1	4762667	4766978	NDUFA9	protein_coding
ENSG00000139180	ENST00000540688	12	1	4794146	4796399	NDUFA9	protein_coding
ENSG00000130035	ENST00000252318	12	1	4829507	4881892	GALNT8	protein_coding
ENSG00000130035	ENST00000542998	12	1	4872510	4960169	GALNT8	protein_coding
ENSG00000130035	ENST00000535354	12	1	4873134	4877642	GALNT8	protein_coding
ENSG00000151079	ENST00000280684	12	1	4918342	4922578	KCNA6	protein_coding
ENSG00000151079	ENST00000433855	12	1	4918342	4960277	KCNA6	protein_coding
ENSG00000111262	ENST00000382545	12	1	5019071	5027413	KCNA1	protein_coding
ENSG00000130037	ENST00000252321	12	1	5153085	5155949	KCNA5	protein_coding
ENSG00000185652	ENST00000423158	12	1	5541279	5604465	NTF3	protein_coding
ENSG00000185652	ENST00000331010	12	1	5603298	5604464	NTF3	protein_coding
ENSG00000047617	ENST00000327087	12	-1	5671817	6055398	ANO2	protein_coding
ENSG00000047617	ENST00000356134	12	-1	5671820	6055398	ANO2	protein_coding
ENSG00000047617	ENST00000546188	12	-1	5671820	6055398	ANO2	protein_coding
ENSG00000047617	ENST00000545860	12	-1	5724350	5849134	ANO2	protein_coding
ENSG00000110799	ENST00000261405	12	-1	6058040	6233841	VWF	protein_coding
ENSG00000110799	ENST00000572068	12	-1	6204449	6233836	VWF	protein_coding
ENSG00000010278	ENST00000382518	12	1	6308881	6347425	CD9	protein_coding
ENSG00000010278	ENST00000536586	12	1	6309041	6344471	CD9	protein_coding
ENSG00000010278	ENST00000382519	12	1	6309551	6345436	CD9	protein_coding
ENSG00000010278	ENST00000009180	12	1	6309615	6347425	CD9	protein_coding
ENSG00000010278	ENST00000382515	12	1	6309963	6347425	CD9	protein_coding
ENSG00000008323	ENST00000011684	12	1	6419602	6437671	PLEKHG6	protein_coding
ENSG00000008323	ENST00000536531	12	1	6419904	6428139	PLEKHG6	protein_coding
ENSG00000008323	ENST00000396988	12	1	6420099	6437671	PLEKHG6	protein_coding
ENSG00000008323	ENST00000449001	12	1	6421817	6437651	PLEKHG6	protein_coding
ENSG00000008323	ENST00000304581	12	1	6428626	6437672	PLEKHG6	protein_coding
ENSG00000067182	ENST00000162749	12	-1	6437923	6451280	TNFRSF1A	protein_coding
ENSG00000067182	ENST00000540022	12	-1	6438403	6451193	TNFRSF1A	protein_coding
ENSG00000067182	ENST00000539372	12	-1	6439608	6451148	TNFRSF1A	protein_coding
ENSG00000067182	ENST00000366159	12	-1	6440406	6451014	TNFRSF1A	protein_coding
ENSG00000067182	ENST00000440083	12	-1	6442242	6451251	TNFRSF1A	protein_coding
ENSG00000067182	ENST00000536194	12	-1	6442624	6451207	TNFRSF1A	protein_coding
ENSG00000111319	ENST00000360168	12	-1	6456009	6484390	SCNN1A	protein_coding
ENSG00000111319	ENST00000358945	12	-1	6456011	6484390	SCNN1A	protein_coding
ENSG00000111319	ENST00000540037	12	-1	6456013	6473313	SCNN1A	protein_coding
ENSG00000111319	ENST00000228916	12	-1	6456013	6484715	SCNN1A	protein_coding
ENSG00000111319	ENST00000396966	12	-1	6456675	6483969	SCNN1A	protein_coding
ENSG00000111319	ENST00000543768	12	-1	6456850	6486525	SCNN1A	protein_coding
ENSG00000111319	ENST00000536788	12	-1	6483535	6486896	SCNN1A	protein_coding
ENSG00000111321	ENST00000539925	12	1	6484595	6500390	LTBR	protein_coding
ENSG00000111321	ENST00000228918	12	1	6493199	6500729	LTBR	protein_coding
ENSG00000111321	ENST00000536876	12	1	6493336	6495611	LTBR	protein_coding
ENSG00000111321	ENST00000543190	12	1	6493419	6497672	LTBR	protein_coding
ENSG00000111321	ENST00000541102	12	1	6494285	6500277	LTBR	protein_coding
ENSG00000139193	ENST00000266557	12	1	6554033	6560884	CD27	protein_coding
ENSG00000139192	ENST00000544021	12	1	6561238	6567857	TAPBPL	protein_coding
ENSG00000139192	ENST00000266556	12	1	6561250	6571484	TAPBPL	protein_coding
ENSG00000139190	ENST00000400911	12	-1	6571403	6579819	VAMP1	protein_coding
ENSG00000139190	ENST00000361716	12	-1	6571403	6580153	VAMP1	protein_coding
ENSG00000139190	ENST00000535180	12	-1	6571843	6579811	VAMP1	protein_coding
ENSG00000139190	ENST00000396308	12	-1	6573026	6579843	VAMP1	protein_coding
ENSG00000111639	ENST00000229238	12	-1	6601150	6602764	MRPL51	protein_coding
ENSG00000111639	ENST00000543703	12	-1	6601317	6603006	MRPL51	protein_coding
ENSG00000010292	ENST00000315579	12	1	6602545	6641121	NCAPD2	protein_coding
ENSG00000010292	ENST00000539714	12	1	6602553	6619886	NCAPD2	protein_coding
ENSG00000010292	ENST00000382457	12	1	6603259	6637257	NCAPD2	protein_coding
ENSG00000010292	ENST00000545962	12	1	6603265	6640642	NCAPD2	protein_coding
ENSG00000111640	ENST00000229239	12	1	6643093	6647537	GAPDH	protein_coding
ENSG00000111640	ENST00000396856	12	1	6643698	6647506	GAPDH	protein_coding
ENSG00000111640	ENST00000396861	12	1	6643700	6647525	GAPDH	protein_coding
ENSG00000111640	ENST00000396859	12	1	6643920	6647505	GAPDH	protein_coding
ENSG00000111640	ENST00000396858	12	1	6644468	6647481	GAPDH	protein_coding
ENSG00000010295	ENST00000436152	12	-1	6647541	6661066	IFFO1	protein_coding
ENSG00000010295	ENST00000465801	12	-1	6648127	6661066	IFFO1	protein_coding
ENSG00000010295	ENST00000336604	12	-1	6648694	6665237	IFFO1	protein_coding
ENSG00000010295	ENST00000396840	12	-1	6648694	6665237	IFFO1	protein_coding
ENSG00000010295	ENST00000356896	12	-1	6648705	6665239	IFFO1	protein_coding
ENSG00000111641	ENST00000537442	12	-1	6666029	6677128	NOP2	protein_coding
ENSG00000111641	ENST00000382421	12	-1	6666037	6677444	NOP2	protein_coding
ENSG00000111641	ENST00000545200	12	-1	6666037	6677448	NOP2	protein_coding
ENSG00000111641	ENST00000399466	12	-1	6666037	6677452	NOP2	protein_coding
ENSG00000111641	ENST00000322166	12	-1	6666037	6677490	NOP2	protein_coding
ENSG00000111641	ENST00000541778	12	-1	6666037	6677857	NOP2	protein_coding
ENSG00000111641	ENST00000542944	12	-1	6670840	6675623	NOP2	protein_coding
ENSG00000111641	ENST00000542867	12	-1	6672606	6677465	NOP2	protein_coding
ENSG00000111641	ENST00000536124	12	-1	6673057	6677459	NOP2	protein_coding
ENSG00000111641	ENST00000545492	12	-1	6675264	6677480	NOP2	protein_coding
ENSG00000111641	ENST00000545915	12	-1	6675426	6677491	NOP2	protein_coding
ENSG00000111641	ENST00000540228	12	-1	6675428	6677463	NOP2	protein_coding
ENSG00000111642	ENST00000544484	12	-1	6679249	6716534	CHD4	protein_coding
ENSG00000111642	ENST00000309577	12	-1	6679249	6716551	CHD4	protein_coding
ENSG00000111642	ENST00000357008	12	-1	6679249	6716551	CHD4	protein_coding
ENSG00000111642	ENST00000544040	12	-1	6679249	6716590	CHD4	protein_coding
ENSG00000111642	ENST00000545942	12	-1	6709701	6716642	CHD4	protein_coding
ENSG00000111642	ENST00000545584	12	-1	6711166	6715846	CHD4	protein_coding
ENSG00000184574	ENST00000431922	12	-1	6728001	6740815	LPAR5	protein_coding
ENSG00000184574	ENST00000329858	12	-1	6728001	6745613	LPAR5	protein_coding
ENSG00000111644	ENST00000229243	12	-1	6747241	6756626	ACRBP	protein_coding
ENSG00000111644	ENST00000414226	12	-1	6747326	6756577	ACRBP	protein_coding
ENSG00000111644	ENST00000536350	12	-1	6753221	6756559	ACRBP	protein_coding
ENSG00000111644	ENST00000546114	12	-1	6753720	6756599	ACRBP	protein_coding
ENSG00000111653	ENST00000341550	12	-1	6759446	6772314	ING4	protein_coding
ENSG00000111653	ENST00000396807	12	-1	6759757	6772306	ING4	protein_coding
ENSG00000111653	ENST00000446105	12	-1	6759792	6772308	ING4	protein_coding
ENSG00000111653	ENST00000412586	12	-1	6760361	6772267	ING4	protein_coding
ENSG00000111653	ENST00000423703	12	-1	6760361	6772267	ING4	protein_coding
ENSG00000111653	ENST00000444704	12	-1	6760361	6772267	ING4	protein_coding
ENSG00000111653	ENST00000467678	12	-1	6760531	6772249	ING4	protein_coding
ENSG00000111653	ENST00000493873	12	-1	6761505	6772251	ING4	protein_coding
ENSG00000126746	ENST00000396795	12	-1	6775643	6797825	ZNF384	protein_coding
ENSG00000126746	ENST00000319770	12	-1	6775643	6798527	ZNF384	protein_coding
ENSG00000126746	ENST00000396801	12	-1	6775814	6798676	ZNF384	protein_coding
ENSG00000126746	ENST00000361959	12	-1	6775896	6798458	ZNF384	protein_coding
ENSG00000126746	ENST00000355772	12	-1	6775904	6798620	ZNF384	protein_coding
ENSG00000126746	ENST00000396799	12	-1	6776400	6798676	ZNF384	protein_coding
ENSG00000126746	ENST00000545946	12	-1	6776858	6778323	ZNF384	protein_coding
ENSG00000126746	ENST00000417772	12	-1	6781570	6798621	ZNF384	protein_coding
ENSG00000126746	ENST00000436774	12	-1	6782414	6798463	ZNF384	protein_coding
ENSG00000126746	ENST00000540915	12	-1	6787367	6797855	ZNF384	protein_coding
ENSG00000126746	ENST00000535485	12	-1	6787427	6797735	ZNF384	protein_coding
ENSG00000126746	ENST00000538829	12	-1	6787598	6798062	ZNF384	protein_coding
ENSG00000126746	ENST00000542351	12	-1	6787827	6798025	ZNF384	protein_coding
ENSG00000126746	ENST00000544482	12	-1	6787831	6798465	ZNF384	protein_coding
ENSG00000139200	ENST00000540656	12	-1	6802958	6809596	PIANP	protein_coding
ENSG00000139200	ENST00000320591	12	-1	6802958	6809966	PIANP	protein_coding
ENSG00000139200	ENST00000534837	12	-1	6802958	6809966	PIANP	protein_coding
ENSG00000139200	ENST00000545917	12	-1	6806461	6809155	PIANP	protein_coding
ENSG00000139200	ENST00000542740	12	-1	6806644	6807472	PIANP	protein_coding
ENSG00000139200	ENST00000536467	12	-1	6806746	6807639	PIANP	protein_coding
ENSG00000111652	ENST00000543155	12	1	6832907	6841022	COPS7A	protein_coding
ENSG00000111652	ENST00000229251	12	1	6833237	6840973	COPS7A	protein_coding
ENSG00000111652	ENST00000539735	12	1	6833245	6840994	COPS7A	protein_coding
ENSG00000111652	ENST00000538410	12	1	6833248	6840998	COPS7A	protein_coding
ENSG00000111652	ENST00000544725	12	1	6833350	6838461	COPS7A	protein_coding
ENSG00000111652	ENST00000534947	12	1	6833453	6841041	COPS7A	protein_coding
ENSG00000111652	ENST00000541866	12	1	6833460	6839614	COPS7A	protein_coding
ENSG00000111652	ENST00000534877	12	1	6833464	6841008	COPS7A	protein_coding
ENSG00000111652	ENST00000538753	12	1	6833472	6839675	COPS7A	protein_coding
ENSG00000089693	ENST00000435120	12	-1	6857170	6862082	MLF2	protein_coding
ENSG00000089693	ENST00000203630	12	-1	6857173	6862721	MLF2	protein_coding
ENSG00000089693	ENST00000542154	12	-1	6857933	6862082	MLF2	protein_coding
ENSG00000089693	ENST00000539187	12	-1	6857961	6876641	MLF2	protein_coding
ENSG00000089693	ENST00000537126	12	-1	6858048	6862235	MLF2	protein_coding
ENSG00000089693	ENST00000540710	12	-1	6859378	6861874	MLF2	protein_coding
ENSG00000089693	ENST00000536207	12	-1	6859911	6861844	MLF2	protein_coding
ENSG00000159335	ENST00000389462	12	1	6875541	6879664	PTMS	protein_coding
ENSG00000159335	ENST00000540874	12	1	6875542	6879063	PTMS	protein_coding
ENSG00000159335	ENST00000309083	12	1	6875543	6880109	PTMS	protein_coding
ENSG00000089692	ENST00000441671	12	1	6881685	6884899	LAG3	protein_coding
ENSG00000089692	ENST00000203629	12	1	6881686	6887619	LAG3	protein_coding
ENSG00000010610	ENST00000011653	12	1	6898638	6929974	CD4	protein_coding
ENSG00000010610	ENST00000541982	12	1	6898702	6925447	CD4	protein_coding
ENSG00000010610	ENST00000539492	12	1	6898734	6909559	CD4	protein_coding
ENSG00000250510	ENST00000311268	12	1	6930711	6936583	GPR162	protein_coding
ENSG00000250510	ENST00000428545	12	1	6930870	6936586	GPR162	protein_coding
ENSG00000250510	ENST00000382315	12	1	6931034	6936586	GPR162	protein_coding
