ENSG00000170122	ENST00000382500	9	-1	116237	118417	FOXD4	protein_coding
ENSG00000080503	ENST00000457226	9	1	2017087	2029221	SMARCA2	protein_coding
ENSG00000080503	ENST00000439732	9	1	2017439	2039574	SMARCA2	protein_coding
ENSG00000080503	ENST00000382203	9	1	2021945	2193624	SMARCA2	protein_coding
ENSG00000080503	ENST00000382194	9	1	2029019	2193577	SMARCA2	protein_coding
ENSG00000080503	ENST00000452193	9	1	2157680	2186154	SMARCA2	protein_coding
ENSG00000080503	ENST00000324954	9	1	2158456	2192856	SMARCA2	protein_coding
ENSG00000080503	ENST00000302401	9	1	2158456	2193621	SMARCA2	protein_coding
ENSG00000080503	ENST00000423555	9	1	2158464	2182183	SMARCA2	protein_coding
ENSG00000080503	ENST00000382186	9	1	2158481	2192752	SMARCA2	protein_coding
ENSG00000080503	ENST00000417599	9	1	2158485	2191428	SMARCA2	protein_coding
ENSG00000080503	ENST00000382185	9	1	2158509	2193571	SMARCA2	protein_coding
ENSG00000080503	ENST00000382183	9	1	2158513	2193040	SMARCA2	protein_coding
ENSG00000080503	ENST00000416751	9	1	2159945	2186228	SMARCA2	protein_coding
ENSG00000147852	ENST00000382100	9	1	2621834	2660053	VLDLR	protein_coding
ENSG00000147852	ENST00000382096	9	1	2621975	2643355	VLDLR	protein_coding
ENSG00000147852	ENST00000382099	9	1	2622100	2654480	VLDLR	protein_coding
ENSG00000168263	ENST00000382082	9	1	2717502	2730037	KCNV2	protein_coding
ENSG00000080608	ENST00000397885	9	-1	2804164	2844241	KIAA0020	protein_coding
ENSG00000080298	ENST00000382004	9	-1	3218297	3525983	RFX3	protein_coding
ENSG00000080298	ENST00000358730	9	-1	3247037	3395596	RFX3	protein_coding
ENSG00000080298	ENST00000302303	9	-1	3247037	3525983	RFX3	protein_coding
ENSG00000080298	ENST00000449234	9	-1	3247514	3257199	RFX3	protein_coding
ENSG00000080298	ENST00000458034	9	-1	3257002	3270738	RFX3	protein_coding
ENSG00000080298	ENST00000457373	9	-1	3293084	3489416	RFX3	protein_coding
ENSG00000080298	ENST00000451859	9	-1	3301543	3489428	RFX3	protein_coding
ENSG00000080298	ENST00000420720	9	-1	3323961	3346764	RFX3	protein_coding
ENSG00000080298	ENST00000442560	9	-1	3323961	3346764	RFX3	protein_coding
ENSG00000080298	ENST00000449190	9	-1	3330317	3526004	RFX3	protein_coding
ENSG00000080298	ENST00000381984	9	-1	3344732	3395588	RFX3	protein_coding
ENSG00000203286	ENST00000366116	9	-1	3452305	3469181	AL365202.1	protein_coding
ENSG00000107249	ENST00000324333	9	-1	3824127	4152183	GLIS3	protein_coding
ENSG00000107249	ENST00000381971	9	-1	3827698	4299916	GLIS3	protein_coding
ENSG00000107249	ENST00000462164	9	-1	4118745	4145193	GLIS3	protein_coding
ENSG00000107249	ENST00000478315	9	-1	4118745	4147644	GLIS3	protein_coding
ENSG00000107249	ENST00000478844	9	-1	4118745	4298496	GLIS3	protein_coding
ENSG00000107249	ENST00000481827	9	-1	4118745	4298496	GLIS3	protein_coding
ENSG00000107249	ENST00000477901	9	-1	4118745	4299916	GLIS3	protein_coding
ENSG00000106688	ENST00000262352	9	1	4490444	4587469	SLC1A1	protein_coding
ENSG00000106688	ENST00000422398	9	1	4572335	4585557	SLC1A1	protein_coding
ENSG00000106686	ENST00000454239	9	-1	4598326	4666674	SPATA6L	protein_coding
ENSG00000106686	ENST00000381890	9	-1	4600520	4666347	SPATA6L	protein_coding
ENSG00000106686	ENST00000475086	9	-1	4600610	4666666	SPATA6L	protein_coding
ENSG00000106686	ENST00000381895	9	-1	4600611	4666449	SPATA6L	protein_coding
ENSG00000205808	ENST00000381883	9	1	4662298	4665256	PPAPDC2	protein_coding
ENSG00000106993	ENST00000381858	9	1	4679559	4703208	CDC37L1	protein_coding
ENSG00000106993	ENST00000381854	9	1	4679566	4708398	CDC37L1	protein_coding
ENSG00000147853	ENST00000381809	9	-1	4711155	4741318	AK3	protein_coding
ENSG00000147853	ENST00000359883	9	-1	4712045	4742043	AK3	protein_coding
ENSG00000147853	ENST00000447596	9	-1	4712975	4741227	AK3	protein_coding
ENSG00000120158	ENST00000381750	9	1	4792869	4861064	RCL1	protein_coding
ENSG00000120158	ENST00000381732	9	1	4792976	4827337	RCL1	protein_coding
ENSG00000120158	ENST00000442869	9	1	4792980	4860173	RCL1	protein_coding
ENSG00000120158	ENST00000381730	9	1	4836726	4860472	RCL1	protein_coding
ENSG00000120158	ENST00000381728	9	1	4839518	4860292	RCL1	protein_coding
ENSG00000120158	ENST00000448872	9	1	4839769	4860436	RCL1	protein_coding
ENSG00000120158	ENST00000441844	9	1	4839777	4849550	RCL1	protein_coding
ENSG00000269305	ENST00000599351	9	-1	4859120	4859260	AL158147.2	protein_coding
ENSG00000096968	ENST00000539801	9	1	4985086	5126814	JAK2	protein_coding
ENSG00000096968	ENST00000381652	9	1	4985245	5128183	JAK2	protein_coding
ENSG00000096968	ENST00000544510	9	1	5041634	5126849	JAK2	protein_coding
ENSG00000268155	ENST00000601793	9	-1	5077163	5084580	AL161450.1	protein_coding
ENSG00000120210	ENST00000381641	9	-1	5163863	5185668	INSL6	protein_coding
ENSG00000120211	ENST00000239316	9	1	5231419	5235304	INSL4	protein_coding
ENSG00000107014	ENST00000308420	9	-1	5299868	5304580	RLN2	protein_coding
ENSG00000107014	ENST00000381627	9	-1	5299868	5304969	RLN2	protein_coding
ENSG00000107014	ENST00000416837	9	-1	5299876	5304432	RLN2	protein_coding
ENSG00000107018	ENST00000223858	9	-1	5334969	5339873	RLN1	protein_coding
ENSG00000107018	ENST00000223862	9	-1	5334969	5339873	RLN1	protein_coding
ENSG00000107020	ENST00000223864	9	-1	5357973	5437878	PLGRKT	protein_coding
ENSG00000120217	ENST00000381573	9	1	5450503	5470566	CD274	protein_coding
ENSG00000120217	ENST00000381577	9	1	5450525	5470547	CD274	protein_coding
ENSG00000197646	ENST00000397745	9	1	5510545	5571282	PDCD1LG2	protein_coding
ENSG00000197646	ENST00000397747	9	1	5510570	5571252	PDCD1LG2	protein_coding
ENSG00000107036	ENST00000251879	9	1	5629025	5769674	KIAA1432	protein_coding
ENSG00000107036	ENST00000414202	9	1	5629119	5776557	KIAA1432	protein_coding
ENSG00000107036	ENST00000381532	9	1	5629327	5769452	KIAA1432	protein_coding
ENSG00000107036	ENST00000418622	9	1	5656583	5776552	KIAA1432	protein_coding
ENSG00000107036	ENST00000449720	9	1	5656654	5774298	KIAA1432	protein_coding
ENSG00000107036	ENST00000545641	9	1	5656654	5774298	KIAA1432	protein_coding
ENSG00000107036	ENST00000490816	9	1	5770206	5773204	KIAA1432	protein_coding
ENSG00000099219	ENST00000339450	9	-1	5784573	5833117	ERMP1	protein_coding
ENSG00000099219	ENST00000543230	9	-1	5787029	5811195	ERMP1	protein_coding
ENSG00000099219	ENST00000381506	9	-1	5787035	5830787	ERMP1	protein_coding
ENSG00000120215	ENST00000381477	9	1	5890802	5910606	MLANA	protein_coding
ENSG00000120215	ENST00000381476	9	1	5890908	5908943	MLANA	protein_coding
ENSG00000120215	ENST00000381471	9	1	5890922	5908945	MLANA	protein_coding
ENSG00000183354	ENST00000399933	9	-1	5919008	6007787	KIAA2026	protein_coding
ENSG00000183354	ENST00000381461	9	-1	5919022	6007787	KIAA2026	protein_coding
ENSG00000183354	ENST00000513355	9	-1	5968177	6007901	KIAA2026	protein_coding
ENSG00000137040	ENST00000259569	9	-1	6011043	6015618	RANBP6	protein_coding
ENSG00000137033	ENST00000417746	9	1	6215805	6256617	IL33	protein_coding
ENSG00000137033	ENST00000456383	9	1	6215809	6256729	IL33	protein_coding
ENSG00000137033	ENST00000381434	9	1	6241682	6257983	IL33	protein_coding
ENSG00000170777	ENST00000344545	9	1	6328349	6330920	TPD52L3	protein_coding
ENSG00000170777	ENST00000381428	9	1	6328375	6330914	TPD52L3	protein_coding
ENSG00000170777	ENST00000314556	9	1	6328404	6331900	TPD52L3	protein_coding
ENSG00000147854	ENST00000276893	9	1	6413323	6507054	UHRF2	protein_coding
ENSG00000147854	ENST00000381373	9	1	6413418	6422979	UHRF2	protein_coding
ENSG00000147854	ENST00000450508	9	1	6421031	6477654	UHRF2	protein_coding
ENSG00000215066	ENST00000355513	9	-1	6467618	6470375	C9orf38	protein_coding
ENSG00000178445	ENST00000321612	9	-1	6532464	6645650	GLDC	protein_coding
ENSG00000107077	ENST00000535193	9	1	6720863	7077262	KDM4C	protein_coding
ENSG00000107077	ENST00000543771	9	1	6757641	7077262	KDM4C	protein_coding
ENSG00000107077	ENST00000401787	9	1	6757654	6815149	KDM4C	protein_coding
ENSG00000107077	ENST00000381306	9	1	6757656	7170932	KDM4C	protein_coding
ENSG00000107077	ENST00000381309	9	1	6757656	7175648	KDM4C	protein_coding
ENSG00000107077	ENST00000442236	9	1	6758068	7174824	KDM4C	protein_coding
ENSG00000107077	ENST00000536108	9	1	6758118	7165355	KDM4C	protein_coding
ENSG00000107077	ENST00000428870	9	1	6925501	7175347	KDM4C	protein_coding
ENSG00000107077	ENST00000420847	9	1	7013788	7169829	KDM4C	protein_coding
ENSG00000137038	ENST00000358227	9	-1	7796490	7800067	TMEM261	protein_coding
ENSG00000153707	ENST00000381196	9	-1	8314246	10033790	PTPRD	protein_coding
ENSG00000153707	ENST00000355233	9	-1	8314247	8733946	PTPRD	protein_coding
ENSG00000153707	ENST00000358503	9	-1	8314247	8733946	PTPRD	protein_coding
ENSG00000153707	ENST00000360074	9	-1	8314247	8733946	PTPRD	protein_coding
ENSG00000153707	ENST00000397611	9	-1	8314247	8733946	PTPRD	protein_coding
ENSG00000153707	ENST00000397617	9	-1	8314247	8733946	PTPRD	protein_coding
ENSG00000153707	ENST00000537002	9	-1	8314247	8733946	PTPRD	protein_coding
ENSG00000153707	ENST00000356435	9	-1	8314247	8733949	PTPRD	protein_coding
ENSG00000153707	ENST00000540109	9	-1	8317277	8733949	PTPRD	protein_coding
ENSG00000153707	ENST00000486161	9	-1	8317404	8733894	PTPRD	protein_coding
ENSG00000153707	ENST00000397606	9	-1	8317405	8733894	PTPRD	protein_coding
ENSG00000153707	ENST00000463477	9	-1	8528152	10612723	PTPRD	protein_coding
ENSG00000153707	ENST00000481079	9	-1	8633390	8857776	PTPRD	protein_coding
ENSG00000107165	ENST00000473763	9	1	12685439	12694303	TYRP1	protein_coding
ENSG00000107165	ENST00000381137	9	1	12693386	12710266	TYRP1	protein_coding
ENSG00000107165	ENST00000388918	9	1	12693435	12710290	TYRP1	protein_coding
ENSG00000107165	ENST00000381136	9	1	12695720	12709235	TYRP1	protein_coding
ENSG00000153714	ENST00000319264	9	1	12775020	12822130	LURAP1L	protein_coding
ENSG00000107186	ENST00000319217	9	-1	13105703	13279589	MPDZ	protein_coding
ENSG00000107186	ENST00000541718	9	-1	13105709	13279563	MPDZ	protein_coding
ENSG00000107186	ENST00000381022	9	-1	13105711	13250365	MPDZ	protein_coding
ENSG00000107186	ENST00000438511	9	-1	13106497	13136180	MPDZ	protein_coding
ENSG00000107186	ENST00000541093	9	-1	13106497	13136180	MPDZ	protein_coding
ENSG00000107186	ENST00000545857	9	-1	13106571	13175823	MPDZ	protein_coding
ENSG00000107186	ENST00000538841	9	-1	13106741	13165468	MPDZ	protein_coding
ENSG00000107186	ENST00000536827	9	-1	13106858	13250357	MPDZ	protein_coding
ENSG00000107186	ENST00000381015	9	-1	13106859	13250357	MPDZ	protein_coding
ENSG00000107186	ENST00000447879	9	-1	13106859	13250357	MPDZ	protein_coding
ENSG00000107186	ENST00000546205	9	-1	13106942	13279406	MPDZ	protein_coding
ENSG00000107186	ENST00000433359	9	-1	13138047	13165506	MPDZ	protein_coding
ENSG00000107186	ENST00000542239	9	-1	13143484	13165457	MPDZ	protein_coding
ENSG00000147862	ENST00000380934	9	-1	14081842	14398982	NFIB	protein_coding
ENSG00000147862	ENST00000380959	9	-1	14081847	14313984	NFIB	protein_coding
ENSG00000147862	ENST00000380953	9	-1	14087568	14313666	NFIB	protein_coding
ENSG00000147862	ENST00000397575	9	-1	14087571	14314068	NFIB	protein_coding
ENSG00000147862	ENST00000397581	9	-1	14087599	14314518	NFIB	protein_coding
ENSG00000147862	ENST00000397579	9	-1	14087602	14314581	NFIB	protein_coding
ENSG00000147862	ENST00000543693	9	-1	14087605	14180797	NFIB	protein_coding
ENSG00000147862	ENST00000380924	9	-1	14088303	14180791	NFIB	protein_coding
ENSG00000147862	ENST00000380921	9	-1	14305752	14313956	NFIB	protein_coding
ENSG00000147862	ENST00000493697	9	-1	14307035	14308012	NFIB	protein_coding
ENSG00000147862	ENST00000606230	9	-1	14307361	14322337	NFIB	protein_coding
ENSG00000175893	ENST00000380916	9	-1	14611069	14693469	ZDHHC21	protein_coding
ENSG00000147869	ENST00000380911	9	-1	14719722	14722715	CER1	protein_coding
ENSG00000164946	ENST00000380881	9	-1	14734664	14910993	FREM1	protein_coding
ENSG00000164946	ENST00000422223	9	-1	14734664	14910993	FREM1	protein_coding
ENSG00000164946	ENST00000380894	9	-1	14737150	14779531	FREM1	protein_coding
ENSG00000164946	ENST00000380880	9	-1	14737394	14910428	FREM1	protein_coding
ENSG00000155158	ENST00000512701	9	-1	15163620	15307358	TTC39B	protein_coding
ENSG00000155158	ENST00000297615	9	-1	15170843	15307358	TTC39B	protein_coding
ENSG00000155158	ENST00000355694	9	-1	15170843	15307358	TTC39B	protein_coding
ENSG00000155158	ENST00000380850	9	-1	15170843	15307358	TTC39B	protein_coding
ENSG00000155158	ENST00000507285	9	-1	15171927	15232442	TTC39B	protein_coding
ENSG00000155158	ENST00000507993	9	-1	15171944	15250114	TTC39B	protein_coding
ENSG00000155158	ENST00000541445	9	-1	15190553	15307209	TTC39B	protein_coding
ENSG00000155158	ENST00000506891	9	-1	15249040	15307207	TTC39B	protein_coding
ENSG00000164975	ENST00000380821	9	1	15422702	15464132	SNAPC3	protein_coding
ENSG00000164975	ENST00000421710	9	1	15422877	15453102	SNAPC3	protein_coding
ENSG00000164975	ENST00000380799	9	1	15447110	15453575	SNAPC3	protein_coding
ENSG00000164985	ENST00000380738	9	-1	15464064	15510993	PSIP1	protein_coding
ENSG00000164985	ENST00000380733	9	-1	15464064	15511017	PSIP1	protein_coding
ENSG00000164985	ENST00000380715	9	-1	15470634	15510989	PSIP1	protein_coding
ENSG00000164985	ENST00000380716	9	-1	15470634	15510992	PSIP1	protein_coding
ENSG00000164985	ENST00000397519	9	-1	15470644	15510287	PSIP1	protein_coding
ENSG00000164985	ENST00000481862	9	-1	15470988	15472748	PSIP1	protein_coding
ENSG00000164989	ENST00000535968	9	1	15552895	15660144	CCDC171	protein_coding
ENSG00000164989	ENST00000297641	9	1	15553005	15883161	CCDC171	protein_coding
ENSG00000164989	ENST00000380701	9	1	15553084	15974037	CCDC171	protein_coding
ENSG00000164989	ENST00000449575	9	1	15744503	15886803	CCDC171	protein_coding
ENSG00000164989	ENST00000432954	9	1	15777766	15876081	CCDC171	protein_coding
ENSG00000205549	ENST00000380685	9	-1	16203933	16276311	C9orf92	protein_coding
ENSG00000205549	ENST00000380683	9	-1	16203945	16253112	C9orf92	protein_coding
ENSG00000205549	ENST00000433347	9	-1	16203946	16215897	C9orf92	protein_coding
ENSG00000173068	ENST00000380672	9	-1	16409501	16870704	BNC2	protein_coding
ENSG00000173068	ENST00000411752	9	-1	16418541	16436370	BNC2	protein_coding
ENSG00000173068	ENST00000418777	9	-1	16418541	16727995	BNC2	protein_coding
ENSG00000173068	ENST00000380667	9	-1	16418808	16870729	BNC2	protein_coding
ENSG00000173068	ENST00000545497	9	-1	16418987	16832286	BNC2	protein_coding
ENSG00000173068	ENST00000380666	9	-1	16429925	16870786	BNC2	protein_coding
ENSG00000173068	ENST00000603713	9	-1	16437223	16728163	BNC2	protein_coding
ENSG00000173068	ENST00000486514	9	-1	16552578	16870841	BNC2	protein_coding
ENSG00000173068	ENST00000603313	9	-1	16552598	16728212	BNC2	protein_coding
ENSG00000173068	ENST00000468187	9	-1	16579789	16727995	BNC2	protein_coding
ENSG00000173068	ENST00000471301	9	-1	16579835	16705080	BNC2	protein_coding
ENSG00000044459	ENST00000380647	9	1	17134980	17503921	CNTLN	protein_coding
ENSG00000044459	ENST00000262360	9	1	17135034	17495003	CNTLN	protein_coding
ENSG00000044459	ENST00000425824	9	1	17135034	17503915	CNTLN	protein_coding
ENSG00000044459	ENST00000380641	9	1	17135038	17302049	CNTLN	protein_coding
ENSG00000107295	ENST00000380607	9	1	17579121	17797127	SH3GL2	protein_coding
ENSG00000107295	ENST00000537391	9	1	17735713	17795822	SH3GL2	protein_coding
ENSG00000178031	ENST00000380548	9	1	18473892	18910948	ADAMTSL1	protein_coding
ENSG00000178031	ENST00000327883	9	1	18474098	18684955	ADAMTSL1	protein_coding
ENSG00000178031	ENST00000431052	9	1	18474142	18574525	ADAMTSL1	protein_coding
ENSG00000178031	ENST00000380570	9	1	18474151	18622617	ADAMTSL1	protein_coding
ENSG00000178031	ENST00000380566	9	1	18474167	18681481	ADAMTSL1	protein_coding
ENSG00000178031	ENST00000276935	9	1	18474231	18723915	ADAMTSL1	protein_coding
ENSG00000178031	ENST00000380545	9	1	18826136	18908607	ADAMTSL1	protein_coding
ENSG00000178031	ENST00000380538	9	1	18829921	18890788	ADAMTSL1	protein_coding
ENSG00000155875	ENST00000380534	9	-1	18927656	19033186	FAM154A	protein_coding
ENSG00000155875	ENST00000380530	9	-1	18927890	19033251	FAM154A	protein_coding
ENSG00000155875	ENST00000542071	9	-1	18927890	19033251	FAM154A	protein_coding
ENSG00000155876	ENST00000380527	9	1	19049372	19051019	RRAGA	protein_coding
ENSG00000147874	ENST00000380502	9	-1	19053141	19103117	HAUS6	protein_coding
ENSG00000147874	ENST00000380496	9	-1	19056616	19093211	HAUS6	protein_coding
ENSG00000147874	ENST00000415524	9	-1	19058762	19065082	HAUS6	protein_coding
ENSG00000147872	ENST00000411567	9	-1	19115760	19127573	PLIN2	protein_coding
ENSG00000147872	ENST00000276914	9	-1	19115768	19127574	PLIN2	protein_coding
ENSG00000147872	ENST00000434144	9	-1	19121098	19149276	PLIN2	protein_coding
ENSG00000147872	ENST00000380465	9	-1	19123233	19127474	PLIN2	protein_coding
ENSG00000147872	ENST00000380464	9	-1	19123311	19127488	PLIN2	protein_coding
ENSG00000137145	ENST00000434457	9	1	19230433	19372596	DENND4C	protein_coding
ENSG00000137145	ENST00000602925	9	1	19230433	19372856	DENND4C	protein_coding
ENSG00000137145	ENST00000380432	9	1	19290749	19374139	DENND4C	protein_coding
ENSG00000137145	ENST00000380427	9	1	19342667	19372878	DENND4C	protein_coding
ENSG00000137145	ENST00000361024	9	1	19346554	19373543	DENND4C	protein_coding
ENSG00000137145	ENST00000380424	9	1	19346726	19357693	DENND4C	protein_coding
ENSG00000137154	ENST00000380394	9	-1	19375713	19380252	RPS6	protein_coding
ENSG00000137154	ENST00000380384	9	-1	19376268	19380204	RPS6	protein_coding
ENSG00000137154	ENST00000315377	9	-1	19376283	19380196	RPS6	protein_coding
ENSG00000137154	ENST00000380381	9	-1	19378772	19380234	RPS6	protein_coding
ENSG00000177076	ENST00000380376	9	1	19408925	19446248	ACER2	protein_coding
ENSG00000177076	ENST00000340967	9	1	19409057	19452018	ACER2	protein_coding
ENSG00000155886	ENST00000341998	9	-1	19507450	19786926	SLC24A2	protein_coding
ENSG00000155886	ENST00000286344	9	-1	19515978	19786926	SLC24A2	protein_coding
ENSG00000171843	ENST00000380338	9	-1	20341663	20622542	MLLT3	protein_coding
ENSG00000171843	ENST00000355930	9	-1	20344968	20622514	MLLT3	protein_coding
ENSG00000171843	ENST00000429426	9	-1	20346197	20621872	MLLT3	protein_coding
ENSG00000171843	ENST00000380321	9	-1	20346404	20382467	MLLT3	protein_coding
ENSG00000188352	ENST00000380249	9	1	20658308	20995954	FOCAD	protein_coding
ENSG00000188352	ENST00000338382	9	1	20715353	20995947	FOCAD	protein_coding
ENSG00000188352	ENST00000605086	9	1	20820293	20995947	FOCAD	protein_coding
ENSG00000188352	ENST00000603044	9	1	20927764	20946730	FOCAD	protein_coding
ENSG00000188352	ENST00000604254	9	1	20927801	20948393	FOCAD	protein_coding
ENSG00000188352	ENST00000603695	9	1	20928943	20944716	FOCAD	protein_coding
ENSG00000188921	ENST00000513293	9	-1	20995306	21031608	PTPLAD2	protein_coding
ENSG00000188921	ENST00000495827	9	-1	20999514	21031635	PTPLAD2	protein_coding
ENSG00000171855	ENST00000380232	9	-1	21077104	21077943	IFNB1	protein_coding
ENSG00000177047	ENST00000380229	9	-1	21140631	21142144	IFNW1	protein_coding
ENSG00000137080	ENST00000380225	9	-1	21165636	21166659	IFNA21	protein_coding
ENSG00000236637	ENST00000421715	9	-1	21186617	21187598	IFNA4	protein_coding
ENSG00000214042	ENST00000239347	9	-1	21201468	21202204	IFNA7	protein_coding
ENSG00000186803	ENST00000357374	9	-1	21206180	21207142	IFNA10	protein_coding
ENSG00000147885	ENST00000380216	9	-1	21216372	21217310	IFNA16	protein_coding
ENSG00000234829	ENST00000413767	9	-1	21227242	21228221	IFNA17	protein_coding
ENSG00000228083	ENST00000380222	9	-1	21239201	21239978	IFNA14	protein_coding
ENSG00000147873	ENST00000259555	9	-1	21304613	21305312	IFNA5	protein_coding
ENSG00000198642	ENST00000359039	9	-1	21329670	21335379	KLHL9	protein_coding
ENSG00000198642	ENST00000537938	9	-1	21331545	21335240	KLHL9	protein_coding
ENSG00000120235	ENST00000380210	9	-1	21349834	21351377	IFNA6	protein_coding
ENSG00000233816	ENST00000449498	9	-1	21367371	21368075	IFNA13	protein_coding
ENSG00000188379	ENST00000380206	9	-1	21384254	21385396	IFNA2	protein_coding
ENSG00000120242	ENST00000380205	9	1	21409146	21410184	IFNA8	protein_coding
ENSG00000197919	ENST00000276927	9	1	21440440	21441315	IFNA1	protein_coding
ENSG00000184995	ENST00000448696	9	-1	21480841	21482312	IFNE	protein_coding
ENSG00000099810	ENST00000380172	9	1	21802542	21867077	MTAP	protein_coding
ENSG00000099810	ENST00000460874	9	1	21802641	21862319	MTAP	protein_coding
ENSG00000099810	ENST00000580900	9	1	21802648	21931646	MTAP	protein_coding
ENSG00000099810	ENST00000577563	9	1	21854723	21931198	MTAP	protein_coding
ENSG00000224854	ENST00000441769	9	1	21967137	21967738	C9orf53	protein_coding
ENSG00000147889	ENST00000361570	9	-1	21967751	21994490	CDKN2A	protein_coding
ENSG00000147889	ENST00000304494	9	-1	21967752	21975097	CDKN2A	protein_coding
ENSG00000147889	ENST00000579755	9	-1	21967752	21994623	CDKN2A	protein_coding
ENSG00000147889	ENST00000579122	9	-1	21967990	21974857	CDKN2A	protein_coding
ENSG00000147889	ENST00000578845	9	-1	21967995	21971331	CDKN2A	protein_coding
ENSG00000147889	ENST00000530628	9	-1	21968000	21994410	CDKN2A	protein_coding
ENSG00000147889	ENST00000498124	9	-1	21968055	21974865	CDKN2A	protein_coding
ENSG00000147889	ENST00000498628	9	-1	21968104	21995300	CDKN2A	protein_coding
ENSG00000147889	ENST00000494262	9	-1	21968181	21995268	CDKN2A	protein_coding
ENSG00000147889	ENST00000446177	9	-1	21968724	21975038	CDKN2A	protein_coding
ENSG00000147889	ENST00000479692	9	-1	21969568	21971345	CDKN2A	protein_coding
ENSG00000147889	ENST00000497750	9	-1	21970715	21971399	CDKN2A	protein_coding
ENSG00000147883	ENST00000276925	9	-1	22002902	22009362	CDKN2B	protein_coding
ENSG00000147883	ENST00000380142	9	-1	22005986	22009271	CDKN2B	protein_coding
ENSG00000147883	ENST00000539462	9	-1	22008716	22008952	CDKN2B	protein_coding
ENSG00000176399	ENST00000325870	9	1	22446840	22455739	DMRTA1	protein_coding
ENSG00000107105	ENST00000380110	9	-1	23690102	23821273	ELAVL2	protein_coding
ENSG00000107105	ENST00000223951	9	-1	23690102	23821478	ELAVL2	protein_coding
ENSG00000107105	ENST00000544538	9	-1	23690105	23821846	ELAVL2	protein_coding
ENSG00000107105	ENST00000397312	9	-1	23690105	23826063	ELAVL2	protein_coding
ENSG00000107105	ENST00000380117	9	-1	23691809	23826335	ELAVL2	protein_coding
ENSG00000107105	ENST00000423281	9	-1	23701413	23735563	ELAVL2	protein_coding
ENSG00000107105	ENST00000440102	9	-1	23701521	23779373	ELAVL2	protein_coding
ENSG00000205442	ENST00000543880	9	-1	24542950	24545879	IZUMO3	protein_coding
ENSG00000205442	ENST00000604921	9	-1	24543213	24545674	IZUMO3	protein_coding
ENSG00000205442	ENST00000418122	9	-1	24543305	24545944	IZUMO3	protein_coding
ENSG00000198680	ENST00000358022	9	-1	25676396	25678856	TUSC1	protein_coding
ENSG00000120159	ENST00000333916	9	-1	26840683	26892802	CAAP1	protein_coding
ENSG00000120159	ENST00000535437	9	-1	26841734	26892365	CAAP1	protein_coding
ENSG00000120159	ENST00000520187	9	-1	26842264	26892801	CAAP1	protein_coding
ENSG00000137055	ENST00000397292	9	-1	26904081	26947461	PLAA	protein_coding
