WBGene00021407	Y38C1AB.5.1	IV	-1	8765	11070	Y38C1AB.5	protein_coding
WBGene00017929	F29C4.7a.2	IV	-1	121797	126225	grld-1	protein_coding
WBGene00017929	F29C4.7b.1	IV	-1	121809	125929	grld-1	protein_coding
WBGene00017929	F29C4.7b.2	IV	-1	121809	126225	grld-1	protein_coding
WBGene00017926	F29C4.2.1	IV	1	126731	127640	cox-6C	protein_coding
WBGene00000897	F29C4.1b.1	IV	1	132416	138054	daf-1	protein_coding
WBGene00000897	F29C4.1a.1	IV	1	132416	138076	daf-1	protein_coding
WBGene00000674	F29C4.8a.1	IV	-1	138346	147919	col-99	protein_coding
WBGene00000674	F29C4.8b.1	IV	-1	138346	147919	col-99	protein_coding
WBGene00000674	F29C4.8c.1	IV	-1	138346	147919	col-99	protein_coding
WBGene00000674	F29C4.8d.1	IV	-1	138346	147919	col-99	protein_coding
WBGene00000674	F29C4.8e.1	IV	-1	138346	147919	col-99	protein_coding
WBGene00000674	F29C4.8f.1	IV	-1	138346	147919	col-99	protein_coding
WBGene00000674	F29C4.8g.1	IV	-1	138346	147919	col-99	protein_coding
WBGene00000674	F29C4.8h.1	IV	-1	138346	147919	col-99	protein_coding
WBGene00000674	F29C4.8i.1	IV	-1	138346	147919	col-99	protein_coding
WBGene00000674	F29C4.8j.1	IV	-1	138346	147919	col-99	protein_coding
WBGene00000674	F29C4.8k.1	IV	-1	138346	147919	col-99	protein_coding
WBGene00000674	F29C4.8l.1	IV	-1	138346	147919	col-99	protein_coding
WBGene00000674	F29C4.8m.1	IV	-1	138346	147919	col-99	protein_coding
WBGene00000674	F29C4.8n.1	IV	-1	138346	147919	col-99	protein_coding
WBGene00000674	F29C4.8o.1	IV	-1	138346	147919	col-99	protein_coding
WBGene00000674	F29C4.8p.1	IV	-1	138346	147919	col-99	protein_coding
WBGene00000674	F29C4.8q.1	IV	-1	138346	147919	col-99	protein_coding
WBGene00021400	Y38C1AA.9.1	IV	-1	156071	157901	Y38C1AA.9	protein_coding
WBGene00021398	Y38C1AA.7.1	IV	1	158962	159836	Y38C1AA.7	protein_coding
WBGene00219750	Y38C1AA.19.1	IV	1	160164	161663	Y38C1AA.19	protein_coding
WBGene00021397	Y38C1AA.6.1	IV	1	162830	164814	Y38C1AA.6	protein_coding
WBGene00021396	Y38C1AA.5a.1	IV	1	165077	169980	cutl-24	protein_coding
WBGene00021396	Y38C1AA.5b.1	IV	1	165077	169980	cutl-24	protein_coding
WBGene00006561	Y38C1AA.4a.1	IV	1	179008	183261	tcl-2	protein_coding
WBGene00006561	Y38C1AA.4b.1	IV	1	179716	183251	tcl-2	protein_coding
WBGene00021395	Y38C1AA.3a.1	IV	1	184554	192151	pnc-1	protein_coding
WBGene00021395	Y38C1AA.3b.2	IV	1	186351	192149	pnc-1	protein_coding
WBGene00021395	Y38C1AA.3b.1	IV	1	189486	192149	pnc-1	protein_coding
WBGene00021402	Y38C1AA.12a.1	IV	1	192256	194745	Y38C1AA.12	protein_coding
WBGene00021402	Y38C1AA.12b.1	IV	1	192265	194745	Y38C1AA.12	protein_coding
WBGene00000815	Y38C1AA.2.1	IV	1	194745	202586	csn-3	protein_coding
WBGene00044736	Y38C1AA.13.1	IV	1	203322	205262	gfrp-1	protein_coding
WBGene00195063	Y38C1AA.14a.1	IV	1	205239	208049	coa-1	protein_coding
WBGene00195063	Y38C1AA.14b.1	IV	1	206705	207984	coa-1	protein_coding
WBGene00021394	Y38C1AA.1a.1	IV	1	208189	217390	Y38C1AA.1	protein_coding
WBGene00021394	Y38C1AA.1c.1	IV	1	208189	217399	Y38C1AA.1	protein_coding
WBGene00021394	Y38C1AA.1d.1	IV	1	210957	217002	Y38C1AA.1	protein_coding
WBGene00021394	Y38C1AA.1b.1	IV	1	210957	217390	Y38C1AA.1	protein_coding
WBGene00021401	Y38C1AA.11.1	IV	1	218551	220799	prdx-6	protein_coding
WBGene00021401	Y38C1AA.11.2	IV	1	218552	220854	prdx-6	protein_coding
WBGene00019821	R02D3.3a.1	IV	-1	225439	231773	gtf-2H1	protein_coding
WBGene00019821	R02D3.3b.1	IV	-1	225440	225993	gtf-2H1	protein_coding
WBGene00019822	R02D3.4a.1	IV	-1	232473	237450	R02D3.4	protein_coding
WBGene00019822	R02D3.4c.1	IV	-1	232509	234514	R02D3.4	protein_coding
WBGene00019822	R02D3.4b.1	IV	-1	232509	235990	R02D3.4	protein_coding
WBGene00019823	R02D3.5.1	IV	-1	237591	240307	fnta-1	protein_coding
WBGene00019820	R02D3.2.1	IV	1	240451	244129	cogc-8	protein_coding
WBGene00019819	R02D3.1b.1	IV	1	245114	251923	aass-1	protein_coding
WBGene00019819	R02D3.1a.1	IV	1	245114	251925	aass-1	protein_coding
WBGene00001728	R02D3.6.1	IV	-1	251970	252554	grl-19	protein_coding
WBGene00019824	R02D3.7.1	IV	-1	253571	255429	R02D3.7	protein_coding
WBGene00019825	R02D3.8.1	IV	-1	255966	257199	R02D3.8	protein_coding
WBGene00001071	T21D12.2a.1	IV	-1	257384	259204	dpy-9	protein_coding
WBGene00001071	T21D12.2b.1	IV	-1	257503	259204	dpy-9	protein_coding
WBGene00020647	T21D12.3.2	IV	-1	259970	261683	pqbp-1.1	protein_coding
WBGene00020647	T21D12.3.1	IV	-1	259989	261683	pqbp-1.1	protein_coding
WBGene00003932	T21D12.4.1	IV	-1	261886	264232	pat-6	protein_coding
WBGene00020651	T21D12.12.1	IV	1	266448	268322	T21D12.12	protein_coding
WBGene00020650	T21D12.11.1	IV	1	269407	272099	T21D12.11	protein_coding
WBGene00005487	T21D12.5.1	IV	-1	272315	273263	srh-282	protein_coding
WBGene00020649	T21D12.9c.2	IV	1	274570	278272	sma-10	protein_coding
WBGene00020649	T21D12.9a.2	IV	1	274570	279940	sma-10	protein_coding
WBGene00020649	T21D12.9c.1	IV	1	274602	278272	sma-10	protein_coding
WBGene00020649	T21D12.9a.1	IV	1	274602	279940	sma-10	protein_coding
WBGene00206487	T21D12.15.1	IV	1	283647	287212	best-19	protein_coding
WBGene00045177	T21D12.14.1	IV	-1	287305	288127	T21D12.14	protein_coding
WBGene00020648	T21D12.7.1	IV	-1	288803	291456	T21D12.7	protein_coding
WBGene00019298	K02D7.1a.2	IV	-1	292429	294845	K02D7.1	protein_coding
WBGene00019298	K02D7.1b.1	IV	-1	292429	298280	K02D7.1	protein_coding
WBGene00019298	K02D7.1a.1	IV	-1	292433	294676	K02D7.1	protein_coding
WBGene00019300	K02D7.5.1	IV	1	307505	311232	swt-1	protein_coding
WBGene00019299	K02D7.2.1	IV	-1	311512	313697	snai-1	protein_coding
WBGene00001099	K02D7.4.1	IV	-1	315056	320605	dsc-4	protein_coding
WBGene00001735	K02D7.6.1	IV	-1	321571	323022	grl-26	protein_coding
WBGene00017578	F18F11.5.1	IV	1	325063	330631	drl-1	protein_coding
WBGene00000675	K02D7.3b.1	IV	-1	325437	326530	col-101	protein_coding
WBGene00000675	K02D7.3a.1	IV	-1	325437	326711	col-101	protein_coding
WBGene00017577	F18F11.4.1	IV	1	330823	334385	F18F11.4	protein_coding
WBGene00017574	F18F11.1.1	IV	-1	334809	337178	F18F11.1	protein_coding
WBGene00017576	F18F11.3a.1	IV	1	339629	358882	cdh-8	protein_coding
WBGene00017576	F18F11.3b.1	IV	1	339629	358882	cdh-8	protein_coding
WBGene00017576	F18F11.3c.1	IV	1	339629	358882	cdh-8	protein_coding
WBGene00017576	F18F11.3d.1	IV	1	339629	358882	cdh-8	protein_coding
WBGene00017576	F18F11.3e.1	IV	1	339629	358882	cdh-8	protein_coding
WBGene00017576	F18F11.3f.1	IV	1	339629	358882	cdh-8	protein_coding
WBGene00017576	F18F11.3g.1	IV	1	339629	358976	cdh-8	protein_coding
WBGene00017576	F18F11.3h.1	IV	1	339629	358976	cdh-8	protein_coding
WBGene00017576	F18F11.3i.1	IV	1	357604	358882	cdh-8	protein_coding
WBGene00022048	Y66H1B.2l.2	IV	-1	359204	376062	fln-1	protein_coding
WBGene00022048	Y66H1B.2c.1	IV	-1	359239	364307	fln-1	protein_coding
WBGene00022048	Y66H1B.2c.2	IV	-1	359239	364307	fln-1	protein_coding
WBGene00022048	Y66H1B.2c.3	IV	-1	359239	364339	fln-1	protein_coding
WBGene00022048	Y66H1B.2m.1	IV	-1	359239	374664	fln-1	protein_coding
WBGene00022048	Y66H1B.2n.1	IV	-1	359239	374664	fln-1	protein_coding
WBGene00022048	Y66H1B.2o.1	IV	-1	359239	374664	fln-1	protein_coding
WBGene00022048	Y66H1B.2p.1	IV	-1	359239	374664	fln-1	protein_coding
WBGene00022048	Y66H1B.2q.1	IV	-1	359239	374664	fln-1	protein_coding
WBGene00022048	Y66H1B.2r.1	IV	-1	359239	374664	fln-1	protein_coding
WBGene00022048	Y66H1B.2s.1	IV	-1	359239	374664	fln-1	protein_coding
WBGene00022048	Y66H1B.2t.1	IV	-1	359239	374664	fln-1	protein_coding
WBGene00022048	Y66H1B.2a.1	IV	-1	359239	376062	fln-1	protein_coding
WBGene00022048	Y66H1B.2f.1	IV	-1	359239	376062	fln-1	protein_coding
WBGene00022048	Y66H1B.2g.1	IV	-1	359239	376062	fln-1	protein_coding
WBGene00022048	Y66H1B.2h.1	IV	-1	359239	376062	fln-1	protein_coding
WBGene00022048	Y66H1B.2i.1	IV	-1	359239	376062	fln-1	protein_coding
WBGene00022048	Y66H1B.2j.1	IV	-1	359239	376062	fln-1	protein_coding
WBGene00022048	Y66H1B.2k.1	IV	-1	359239	376062	fln-1	protein_coding
WBGene00022048	Y66H1B.2l.1	IV	-1	359239	376062	fln-1	protein_coding
WBGene00022048	Y66H1B.2b.1	IV	-1	370229	376062	fln-1	protein_coding
WBGene00004981	Y66H1B.4.1	IV	-1	379898	383185	spl-1	protein_coding
WBGene00004493	T07A9.11.4	IV	1	385894	386599	rps-24	protein_coding
WBGene00004493	T07A9.11.3	IV	1	385894	386605	rps-24	protein_coding
WBGene00004493	T07A9.11.2	IV	1	385894	386606	rps-24	protein_coding
WBGene00004493	T07A9.11.1	IV	1	385894	386607	rps-24	protein_coding
WBGene00044789	T07A9.14.1	IV	1	386699	387949	T07A9.14	protein_coding
WBGene00020300	T07A9.13b.1	IV	1	388084	388713	tag-261	protein_coding
WBGene00020300	T07A9.13b.2	IV	1	388084	388733	tag-261	protein_coding
WBGene00020300	T07A9.13a.1	IV	1	388177	388653	tag-261	protein_coding
WBGene00001338	T07A9.2.1	IV	-1	388686	390468	ears-2	protein_coding
WBGene00020298	T07A9.10.1	IV	1	390512	393158	T07A9.10	protein_coding
WBGene00045249	T07A9.15.1	IV	-1	393156	393546	T07A9.15	protein_coding
WBGene00020297	T07A9.9.2	IV	1	393880	396441	nog-1	protein_coding
WBGene00020297	T07A9.9.1	IV	1	394017	396436	nog-1	protein_coding
WBGene00020297	T07A9.9.3	IV	1	394017	396554	nog-1	protein_coding
WBGene00020296	T07A9.8.1	IV	1	396545	399095	rrp-8	protein_coding
WBGene00001666	T07A9.7.1	IV	1	401695	405346	gpa-4	protein_coding
WBGene00002187	T07A9.3.1	IV	-1	405621	410033	kgb-1	protein_coding
WBGene00020299	T07A9.12.1	IV	1	410831	415615	T07A9.12	protein_coding
WBGene00001332	T07A9.5b.1	IV	-1	415635	419958	eri-1	protein_coding
WBGene00001332	T07A9.5d.1	IV	-1	415638	419695	eri-1	protein_coding
WBGene00001332	T07A9.5c.1	IV	-1	416868	419695	eri-1	protein_coding
WBGene00001332	T07A9.5a.1	IV	-1	416868	419958	eri-1	protein_coding
WBGene00000913	T07A9.6.1	IV	-1	419938	425181	daf-18	protein_coding
WBGene00022046	Y66H1A.4.2	IV	1	425972	427204	Y66H1A.4	protein_coding
WBGene00022046	Y66H1A.4.1	IV	1	426168	427204	Y66H1A.4	protein_coding
WBGene00022047	Y66H1A.5.1	IV	-1	428070	429133	Y66H1A.5	protein_coding
WBGene00002041	Y66H1A.6a.1	IV	-1	429214	440554	hum-8	protein_coding
WBGene00002041	Y66H1A.6b.1	IV	-1	429214	440554	hum-8	protein_coding
WBGene00002041	Y66H1A.6c.1	IV	-1	429214	440554	hum-8	protein_coding
WBGene00022045	Y66H1A.3.1	IV	1	443985	444783	mrpl-55	protein_coding
WBGene00022044	Y66H1A.2a.1	IV	1	445677	448439	dpm-1	protein_coding
WBGene00022044	Y66H1A.2b.1	IV	1	448090	448425	dpm-1	protein_coding
WBGene00235263	Y66H1A.8a.1	IV	-1	451118	451364	Y66H1A.8	protein_coding
WBGene00235263	Y66H1A.8b.1	IV	-1	451118	454916	Y66H1A.8	protein_coding
WBGene00235264	M04G7.5.1	IV	1	455073	455401	M04G7.5	protein_coding
WBGene00019772	M04G7.1.1	IV	1	455784	457099	M04G7.1	protein_coding
WBGene00019773	M04G7.2a.1	IV	-1	458032	460549	M04G7.2	protein_coding
WBGene00019773	M04G7.2b.1	IV	-1	458032	461029	M04G7.2	protein_coding
WBGene00019774	M04G7.3a.1	IV	-1	461292	481167	M04G7.3	protein_coding
WBGene00019774	M04G7.3b.1	IV	-1	461326	463879	M04G7.3	protein_coding
WBGene00021011	W03G1.5.1	IV	-1	505069	506600	W03G1.5	protein_coding
WBGene00021012	W03G1.6c.1	IV	-1	506737	519457	pig-1	protein_coding
WBGene00021012	W03G1.6e.1	IV	-1	506740	517628	pig-1	protein_coding
WBGene00021012	W03G1.6g.1	IV	-1	506740	517628	pig-1	protein_coding
WBGene00021012	W03G1.6a.1	IV	-1	506740	519456	pig-1	protein_coding
WBGene00021012	W03G1.6f.1	IV	-1	513758	517628	pig-1	protein_coding
WBGene00021012	W03G1.6h.1	IV	-1	513758	517628	pig-1	protein_coding
WBGene00021012	W03G1.6b.1	IV	-1	513758	519456	pig-1	protein_coding
WBGene00021012	W03G1.6d.1	IV	-1	513758	519456	pig-1	protein_coding
WBGene00000213	W03G1.7b.1	IV	-1	520214	523553	asm-3	protein_coding
WBGene00000213	W03G1.7a.1	IV	-1	520214	523809	asm-3	protein_coding
WBGene00021010	W03G1.2.1	IV	1	524652	526479	W03G1.2	protein_coding
WBGene00001625	W03G1.1.1	IV	1	532135	535703	glt-7	protein_coding
WBGene00018924	F56A11.4a.1	IV	1	548302	553231	F56A11.4	protein_coding
WBGene00018924	F56A11.4b.1	IV	1	548302	553231	F56A11.4	protein_coding
WBGene00001165	F56A11.3.1	IV	1	559234	568076	efn-4	protein_coding
WBGene00018925	F56A11.5a.2	IV	-1	568372	570875	F56A11.5	protein_coding
WBGene00018925	F56A11.5a.1	IV	-1	568373	570844	F56A11.5	protein_coding
WBGene00018925	F56A11.5b.1	IV	-1	568373	570844	F56A11.5	protein_coding
WBGene00001579	F56A11.1.2	IV	1	572723	583577	gex-2	protein_coding
WBGene00001579	F56A11.1.1	IV	1	572769	583577	gex-2	protein_coding
WBGene00018926	F56A11.6.1	IV	-1	580283	582230	F56A11.6	protein_coding
WBGene00189987	C18H7.12.1	IV	-1	583813	587829	C18H7.12	protein_coding
WBGene00015996	C18H7.6.1	IV	-1	589030	592485	C18H7.6	protein_coding
WBGene00015994	C18H7.4.1	IV	1	593329	595233	C18H7.4	protein_coding
WBGene00015997	C18H7.7.2	IV	-1	595722	596305	C18H7.7	protein_coding
WBGene00015997	C18H7.7.1	IV	-1	595723	596419	C18H7.7	protein_coding
WBGene00044457	C18H7.11.1	IV	1	596864	598771	C18H7.11	protein_coding
WBGene00015998	C18H7.8.1	IV	-1	599449	601695	srt-59	protein_coding
WBGene00015999	C18H7.9.1	IV	-1	602991	603643	prmt-4	protein_coding
WBGene00000676	C18H7.3.1	IV	1	604444	605876	col-102	protein_coding
WBGene00002140	C18H7.2b.2	IV	1	606355	613127	inx-18	protein_coding
WBGene00002140	C18H7.2a.1	IV	1	606355	614000	inx-18	protein_coding
WBGene00002140	C18H7.2b.1	IV	1	606355	614021	inx-18	protein_coding
WBGene00015993	C18H7.1a.1	IV	1	615544	620925	C18H7.1	protein_coding
WBGene00015993	C18H7.1c.1	IV	1	617377	620925	C18H7.1	protein_coding
WBGene00015993	C18H7.1b.1	IV	1	618976	620925	C18H7.1	protein_coding
WBGene00015497	C05G6.1.1	IV	1	627537	633954	nhr-76	protein_coding
WBGene00019665	K11H12.9a.1	IV	1	649665	651994	K11H12.9	protein_coding
WBGene00019665	K11H12.9b.1	IV	1	649666	651792	K11H12.9	protein_coding
WBGene00019665	K11H12.9c.1	IV	1	649666	651792	K11H12.9	protein_coding
WBGene00019665	K11H12.9d.1	IV	1	651363	651792	K11H12.9	protein_coding
WBGene00019658	K11H12.1.1	IV	-1	652130	653421	K11H12.1	protein_coding
WBGene00004427	K11H12.2.1	IV	-1	653436	654576	rpl-15	protein_coding
WBGene00019664	K11H12.8a.2	IV	1	655353	658604	K11H12.8	protein_coding
WBGene00019664	K11H12.8a.1	IV	1	655390	658604	K11H12.8	protein_coding
WBGene00019664	K11H12.8b.1	IV	1	655397	655883	K11H12.8	protein_coding
WBGene00019664	K11H12.8c.1	IV	1	656637	658598	K11H12.8	protein_coding
WBGene00019664	K11H12.8d.1	IV	1	657339	658598	K11H12.8	protein_coding
WBGene00019663	K11H12.7.1	IV	1	665525	666917	K11H12.7	protein_coding
WBGene00019662	K11H12.6a.1	IV	1	667291	668556	K11H12.6	protein_coding
WBGene00019662	K11H12.6b.1	IV	1	667291	668556	K11H12.6	protein_coding
WBGene00044723	K11H12.11.1	IV	-1	668962	670555	K11H12.11	protein_coding
WBGene00019659	K11H12.3.1	IV	-1	671634	673480	K11H12.3	protein_coding
WBGene00019660	K11H12.4.1	IV	-1	674036	675883	K11H12.4	protein_coding
WBGene00044458	K11H12.10.1	IV	1	676075	676687	K11H12.10	protein_coding
WBGene00019661	K11H12.5.1	IV	1	677616	679171	K11H12.5	protein_coding
WBGene00018256	F41A4.1.1	IV	1	684497	688336	cutl-28	protein_coding
WBGene00235287	Y55F3C.17.1	IV	-1	688380	698404	Y55F3C.17	protein_coding
WBGene00021950	Y55F3C.7a.1	IV	-1	698761	707719	cutl-26	protein_coding
WBGene00021950	Y55F3C.7b.1	IV	-1	698774	707719	cutl-26	protein_coding
WBGene00021949	Y55F3C.5.1	IV	1	716626	717700	clec-164	protein_coding
WBGene00044460	Y55F3C.10.1	IV	-1	717925	719451	Y55F3C.10	protein_coding
WBGene00044459	Y55F3C.9b.1	IV	-1	719766	727414	Y55F3C.9	protein_coding
WBGene00044459	Y55F3C.9a.1	IV	-1	719766	727481	Y55F3C.9	protein_coding
WBGene00021951	Y55F3C.8.1	IV	-1	728500	731037	srt-24	protein_coding
WBGene00021948	Y55F3C.3c.1	IV	1	736675	753316	kvs-5	protein_coding
WBGene00021948	Y55F3C.3a.2	IV	1	742083	753316	kvs-5	protein_coding
WBGene00021948	Y55F3C.3a.1	IV	1	742129	753316	kvs-5	protein_coding
WBGene00021948	Y55F3C.3d.1	IV	1	748460	753316	kvs-5	protein_coding
WBGene00021948	Y55F3C.3e.1	IV	1	748460	753316	kvs-5	protein_coding
WBGene00021948	Y55F3C.3f.1	IV	1	748460	753316	kvs-5	protein_coding
WBGene00021948	Y55F3C.3g.1	IV	1	748460	753316	kvs-5	protein_coding
WBGene00021948	Y55F3C.3b.1	IV	1	749867	753316	kvs-5	protein_coding
WBGene00021947	Y55F3C.2.1	IV	1	756721	759084	srt-23	protein_coding
WBGene00001788	F56B3.10.1	IV	1	760610	762342	gst-40	protein_coding
WBGene00000677	F56B3.1.1	IV	-1	762416	763680	col-103	protein_coding
WBGene00018928	F56B3.2.1	IV	-1	764078	768584	F56B3.2	protein_coding
WBGene00018933	F56B3.9.1	IV	1	771361	772889	F56B3.9	protein_coding
WBGene00018932	F56B3.8a.1	IV	1	773228	776655	mrpl-2	protein_coding
WBGene00018932	F56B3.8b.1	IV	1	776331	776628	mrpl-2	protein_coding
WBGene00018931	F56B3.7.1	IV	1	778784	784182	ugt-52	protein_coding
WBGene00004824	F56B3.4a.1	IV	-1	786234	794275	F56B3.4	protein_coding
WBGene00004824	F56B3.4a.2	IV	-1	786274	794326	F56B3.4	protein_coding
WBGene00004824	F56B3.4b.1	IV	-1	786283	794275	F56B3.4	protein_coding
WBGene00004824	F56B3.4b.2	IV	-1	786283	794326	F56B3.4	protein_coding
WBGene00004824	F56B3.4c.1	IV	-1	786300	787047	F56B3.4	protein_coding
WBGene00018930	F56B3.6.1	IV	1	788055	790835	F56B3.6	protein_coding
WBGene00018935	F56B3.12.1	IV	-1	794632	795689	skr-18	protein_coding
WBGene00018934	F56B3.11a.1	IV	-1	795755	796565	F56B3.11	protein_coding
WBGene00018934	F56B3.11b.1	IV	-1	795824	796567	F56B3.11	protein_coding
WBGene00001154	F56B3.5.1	IV	1	797023	799922	ech-5	protein_coding
WBGene00021935	Y55F3BL.1.1	IV	1	800818	804547	mrpl-46	protein_coding
WBGene00185088	Y55F3BL.4.1	IV	1	805102	806236	Y55F3BL.4	protein_coding
WBGene00235283	Y55F3BL.6.1	IV	-1	806426	807030	Y55F3BL.6	protein_coding
WBGene00021936	Y55F3BL.2a.1	IV	-1	807439	824954	zipt-15	protein_coding
WBGene00021936	Y55F3BL.2b.1	IV	-1	808674	822216	zipt-15	protein_coding
WBGene00021942	Y55F3BR.5b.1	IV	-1	830359	831806	madf-1	protein_coding
WBGene00021942	Y55F3BR.5c.1	IV	-1	830391	830788	madf-1	protein_coding
WBGene00021942	Y55F3BR.5a.1	IV	-1	830391	831896	madf-1	protein_coding
WBGene00044742	Y55F3BR.10.1	IV	1	832362	833329	Y55F3BR.10	protein_coding
WBGene00021943	Y55F3BR.6a.2	IV	-1	835033	838617	Y55F3BR.6	protein_coding
WBGene00021943	Y55F3BR.6a.1	IV	-1	835033	842126	Y55F3BR.6	protein_coding
WBGene00021943	Y55F3BR.6b.1	IV	-1	835033	842126	Y55F3BR.6	protein_coding
WBGene00021941	Y55F3BR.4a.1	IV	1	845881	848850	lgc-33	protein_coding
WBGene00021941	Y55F3BR.4b.1	IV	1	845881	848850	lgc-33	protein_coding
WBGene00021945	Y55F3BR.8b.1	IV	-1	849269	854378	lem-4	protein_coding
WBGene00021945	Y55F3BR.8a.1	IV	-1	849269	854780	lem-4	protein_coding
WBGene00044757	Y55F3BR.11.1	IV	1	855673	856846	Y55F3BR.11	protein_coding
WBGene00021939	Y55F3BR.2a.2	IV	1	857327	874724	Y55F3BR.2	protein_coding
WBGene00021939	Y55F3BR.2a.1	IV	1	858930	874724	Y55F3BR.2	protein_coding
WBGene00021939	Y55F3BR.2b.1	IV	1	862099	874724	Y55F3BR.2	protein_coding
WBGene00021939	Y55F3BR.2c.1	IV	1	868675	874724	Y55F3BR.2	protein_coding
WBGene00021938	Y55F3BR.1.1	IV	1	874791	881910	Y55F3BR.1	protein_coding
WBGene00007007	C44C8.6.2	IV	1	885346	890175	mak-2	protein_coding
WBGene00007007	C44C8.6.1	IV	1	885346	890200	mak-2	protein_coding
WBGene00016649	C44C8.4.1	IV	1	891239	892614	fbxc-1	protein_coding
WBGene00045301	C44C8.10.1	IV	1	892806	894586	fbxc-9	protein_coding
WBGene00016648	C44C8.3.1	IV	1	895391	896766	fbxc-2	protein_coding
WBGene00045300	C44C8.9.1	IV	1	896958	898739	fbxc-10	protein_coding
WBGene00016647	C44C8.2.1	IV	1	899543	900918	fbxc-4	protein_coding
WBGene00045299	C44C8.8.1	IV	1	901110	902891	fbxc-11	protein_coding
WBGene00016646	C44C8.1.1	IV	1	903696	905071	fbxc-5	protein_coding
WBGene00045298	C44C8.7.1	IV	1	905263	907044	fbxc-12	protein_coding
WBGene00019073	F58H7.8.1	IV	1	907848	909223	fbxc-3	protein_coding
WBGene00019072	F58H7.7.1	IV	1	909415	911196	fbxc-8	protein_coding
WBGene00019070	F58H7.5.1	IV	1	919990	920808	F58H7.5	protein_coding
WBGene00019069	F58H7.3.1	IV	1	924936	939667	lgc-30	protein_coding
WBGene00019067	F58H7.1.1	IV	-1	930492	935699	F58H7.1	protein_coding
WBGene00019068	F58H7.2.1	IV	-1	940017	945653	faah-3	protein_coding
WBGene00004047	Y55F3AL.1b.1	IV	1	959452	984060	plx-1	protein_coding
WBGene00004047	Y55F3AL.1a.1	IV	1	959452	984392	plx-1	protein_coding
WBGene00004047	Y55F3AL.1c.1	IV	1	964323	984060	plx-1	protein_coding
WBGene00004047	Y55F3AL.1d.1	IV	1	964323	984060	plx-1	protein_coding
WBGene00004047	Y55F3AL.1e.1	IV	1	972383	984060	plx-1	protein_coding
WBGene00004047	Y55F3AL.1f.1	IV	1	972383	984060	plx-1	protein_coding
WBGene00043705	Y55F3AM.7a.1	IV	-1	984405	990521	egrh-2	protein_coding
WBGene00043705	Y55F3AM.7d.1	IV	-1	984711	989580	egrh-2	protein_coding
WBGene00043705	Y55F3AM.7b.1	IV	-1	984711	990521	egrh-2	protein_coding
WBGene00043705	Y55F3AM.7c.1	IV	-1	984754	989580	egrh-2	protein_coding
WBGene00002278	Y55F3AM.6b.2	IV	1	992240	996084	lep-2	protein_coding
WBGene00002278	Y55F3AM.6a.2	IV	1	992240	998348	lep-2	protein_coding
WBGene00002278	Y55F3AM.6b.1	IV	1	992289	996084	lep-2	protein_coding
WBGene00002278	Y55F3AM.6a.1	IV	1	992289	998348	lep-2	protein_coding
WBGene00021923	Y55F3AM.5.1	IV	1	999214	1003639	Y55F3AM.5	protein_coding
WBGene00021925	Y55F3AM.8a.1	IV	-1	1003600	1005864	immp-2	protein_coding
WBGene00021925	Y55F3AM.8b.1	IV	-1	1003602	1005864	immp-2	protein_coding
WBGene00021926	Y55F3AM.9a.1	IV	-1	1006083	1009734	Y55F3AM.9	protein_coding
WBGene00021926	Y55F3AM.9b.1	IV	-1	1006091	1007730	Y55F3AM.9	protein_coding
