ENSG00000277322	ENST00000619213	15	-1	20531856	20541800	GOLGA6L6	protein_coding
ENSG00000128739	ENST00000584968	15	1	24954935	24976327	SNRPN	protein_coding
ENSG00000128739	ENST00000346403	15	1	24954935	24978583	SNRPN	protein_coding
ENSG00000128739	ENST00000554227	15	1	24954948	24978539	SNRPN	protein_coding
ENSG00000273173	ENST00000577949	15	1	24954986	24968408	SNURF	protein_coding
ENSG00000128739	ENST00000579070	15	1	24955003	24977865	SNRPN	protein_coding
ENSG00000128739	ENST00000577565	15	1	24955005	24978548	SNRPN	protein_coding
ENSG00000273173	ENST00000338327	15	1	24955014	24968829	SNURF	protein_coding
ENSG00000114062	ENST00000636667	15	-1	25333728	25346031	UBE3A	protein_coding
ENSG00000114062	ENST00000638011	15	-1	25333728	25438925	UBE3A	protein_coding
ENSG00000114062	ENST00000637886	15	-1	25333728	25438985	UBE3A	protein_coding
ENSG00000114062	ENST00000638155	15	-1	25333728	25438986	UBE3A	protein_coding
ENSG00000114062	ENST00000635914	15	-1	25333728	25439005	UBE3A	protein_coding
ENSG00000114062	ENST00000438097	15	-1	25333728	25439008	UBE3A	protein_coding
ENSG00000114062	ENST00000614096	15	-1	25333728	25439028	UBE3A	protein_coding
ENSG00000114062	ENST00000630424	15	-1	25337247	25438694	UBE3A	protein_coding
ENSG00000114062	ENST00000648336	15	-1	25337247	25439024	UBE3A	protein_coding
ENSG00000114062	ENST00000649550	15	-1	25337247	25439024	UBE3A	protein_coding
ENSG00000114062	ENST00000650110	15	-1	25337247	25439024	UBE3A	protein_coding
ENSG00000114062	ENST00000232165	15	-1	25337253	25439056	UBE3A	protein_coding
ENSG00000114062	ENST00000428984	15	-1	25339106	25438524	UBE3A	protein_coding
ENSG00000114062	ENST00000566215	15	-1	25339106	25438541	UBE3A	protein_coding
ENSG00000114062	ENST00000626176	15	-1	25339122	25355982	UBE3A	protein_coding
ENSG00000114062	ENST00000604860	15	-1	25339136	25356765	UBE3A	protein_coding
ENSG00000114062	ENST00000397954	15	-1	25339137	25438513	UBE3A	protein_coding
ENSG00000114062	ENST00000625778	15	-1	25354033	25439051	UBE3A	protein_coding
ENSG00000114062	ENST00000628733	15	-1	25371613	25438526	UBE3A	protein_coding
ENSG00000114062	ENST00000630907	15	-1	25371729	25438332	UBE3A	protein_coding
ENSG00000114062	ENST00000629886	15	-1	25375593	25438329	UBE3A	protein_coding
ENSG00000114062	ENST00000628267	15	-1	25375617	25439014	UBE3A	protein_coding
ENSG00000114062	ENST00000629252	15	-1	25375619	25438968	UBE3A	protein_coding
ENSG00000114062	ENST00000628890	15	-1	25375707	25409412	UBE3A	protein_coding
ENSG00000114062	ENST00000625681	15	-1	25405480	25438999	UBE3A	protein_coding
ENSG00000114062	ENST00000626589	15	-1	25405499	25420733	UBE3A	protein_coding
ENSG00000206190	ENST00000356865	15	-1	25677273	25863208	ATP10A	protein_coding
ENSG00000206190	ENST00000555756	15	-1	25683447	25694825	ATP10A	protein_coding
ENSG00000206190	ENST00000619904	15	-1	25861781	25865172	ATP10A	protein_coding
ENSG00000166206	ENST00000628124	15	-1	26543546	26716765	GABRB3	protein_coding
ENSG00000166206	ENST00000311550	15	-1	26543546	26773074	GABRB3	protein_coding
ENSG00000166206	ENST00000622697	15	-1	26543549	26773076	GABRB3	protein_coding
ENSG00000166206	ENST00000541819	15	-1	26543552	26939539	GABRB3	protein_coding
ENSG00000166206	ENST00000299267	15	-1	26544785	26773788	GABRB3	protein_coding
ENSG00000166206	ENST00000636466	15	-1	26544798	26772330	GABRB3	protein_coding
ENSG00000166206	ENST00000638099	15	-1	26546444	26774003	GABRB3	protein_coding
ENSG00000166206	ENST00000400188	15	-1	26547189	26629090	GABRB3	protein_coding
ENSG00000166206	ENST00000545868	15	-1	26547793	26767236	GABRB3	protein_coding
ENSG00000186297	ENST00000335625	15	1	26866363	26949207	GABRA5	protein_coding
ENSG00000186297	ENST00000355395	15	1	26866911	26948752	GABRA5	protein_coding
ENSG00000186297	ENST00000555182	15	1	26867072	26937199	GABRA5	protein_coding
ENSG00000186297	ENST00000400081	15	1	26867126	26949207	GABRA5	protein_coding
ENSG00000186297	ENST00000554038	15	1	26867163	26883215	GABRA5	protein_coding
ENSG00000186297	ENST00000554596	15	1	26867242	26883506	GABRA5	protein_coding
ENSG00000186297	ENST00000555060	15	1	26867829	26869296	GABRA5	protein_coding
ENSG00000186297	ENST00000554599	15	1	26868715	26883557	GABRA5	protein_coding
ENSG00000186297	ENST00000554083	15	1	26880543	26883413	GABRA5	protein_coding
ENSG00000182256	ENST00000615808	15	1	26971282	27541991	GABRG3	protein_coding
ENSG00000182256	ENST00000555083	15	1	26971393	27481337	GABRG3	protein_coding
ENSG00000182256	ENST00000554696	15	1	27271542	27527515	GABRG3	protein_coding
ENSG00000182256	ENST00000333743	15	1	27326808	27532981	GABRG3	protein_coding
ENSG00000182256	ENST00000557596	15	1	27328817	27350396	GABRG3	protein_coding
ENSG00000182256	ENST00000451330	15	1	27519972	27530920	GABRG3	protein_coding
ENSG00000104044	ENST00000353809	15	-1	27754875	28099312	OCA2	protein_coding
ENSG00000104044	ENST00000354638	15	-1	27754875	28099358	OCA2	protein_coding
ENSG00000104044	ENST00000445578	15	-1	28016104	28099296	OCA2	protein_coding
ENSG00000104044	ENST00000431101	15	-1	28018412	28099293	OCA2	protein_coding
ENSG00000128731	ENST00000261609	15	-1	28111040	28322152	HERC2	protein_coding
ENSG00000128731	ENST00000569772	15	-1	28152759	28174423	HERC2	protein_coding
ENSG00000153684	ENST00000532622	15	1	28378664	28391224	GOLGA8F	protein_coding
ENSG00000153684	ENST00000526619	15	1	28378664	28392018	GOLGA8F	protein_coding
ENSG00000183629	ENST00000525590	15	-1	28522573	28532971	GOLGA8G	protein_coding
ENSG00000188626	ENST00000563027	15	-1	28701954	28712323	GOLGA8M	protein_coding
ENSG00000261649	ENST00000567390	15	-1	28841833	28848675	GOLGA6L7	protein_coding
ENSG00000034053	ENST00000561069	15	1	28884483	29117717	APBA2	protein_coding
ENSG00000034053	ENST00000558402	15	1	28885974	29118315	APBA2	protein_coding
ENSG00000034053	ENST00000558330	15	1	28886022	29117717	APBA2	protein_coding
ENSG00000034053	ENST00000559709	15	1	28886163	29053897	APBA2	protein_coding
ENSG00000034053	ENST00000558804	15	1	28919367	29054094	APBA2	protein_coding
ENSG00000034053	ENST00000411764	15	1	28921637	29118311	APBA2	protein_coding
ENSG00000034053	ENST00000558259	15	1	28921637	29118311	APBA2	protein_coding
ENSG00000034053	ENST00000560283	15	1	28961304	29054220	APBA2	protein_coding
ENSG00000034053	ENST00000558206	15	1	28990419	29053966	APBA2	protein_coding
ENSG00000034053	ENST00000558358	15	1	29044324	29054675	APBA2	protein_coding
ENSG00000104059	ENST00000261275	15	-1	29120254	29570723	FAM189A1	protein_coding
ENSG00000104059	ENST00000560082	15	-1	29196430	29452799	FAM189A1	protein_coding
ENSG00000185115	ENST00000332303	15	-1	29264992	29269829	NSMCE3	protein_coding
ENSG00000104067	ENST00000346128	15	-1	29699367	29822503	TJP1	protein_coding
ENSG00000104067	ENST00000400011	15	-1	29700152	29821548	TJP1	protein_coding
ENSG00000104067	ENST00000356107	15	-1	29700155	29822028	TJP1	protein_coding
ENSG00000104067	ENST00000614355	15	-1	29700160	29822503	TJP1	protein_coding
ENSG00000104067	ENST00000400007	15	-1	29701245	29708822	TJP1	protein_coding
ENSG00000104067	ENST00000545208	15	-1	29701595	29822028	TJP1	protein_coding
ENSG00000104067	ENST00000495972	15	-1	29758903	29822502	TJP1	protein_coding
ENSG00000104067	ENST00000558447	15	-1	29766440	29968865	TJP1	protein_coding
ENSG00000179938	ENST00000567927	15	1	30083053	30093499	GOLGA8J	protein_coding
ENSG00000261247	ENST00000569052	15	1	30135149	30145567	GOLGA8T	protein_coding
ENSG00000166664	ENST00000299847	15	-1	30357766	30393549	CHRFAM7A	protein_coding
ENSG00000166664	ENST00000397827	15	-1	30361240	30393661	CHRFAM7A	protein_coding
ENSG00000166664	ENST00000401522	15	-1	30362058	30393360	CHRFAM7A	protein_coding
ENSG00000166664	ENST00000562729	15	-1	30372993	30393849	CHRFAM7A	protein_coding
ENSG00000186399	ENST00000327271	15	-1	30403740	30414162	GOLGA8R	protein_coding
ENSG00000178115	ENST00000562783	15	1	30552078	30562501	GOLGA8Q	protein_coding
ENSG00000261794	ENST00000566740	15	1	30604126	30614561	GOLGA8H	protein_coding
ENSG00000284906	ENST00000622744	15	1	30626200	30685606	AC091057.6	protein_coding
ENSG00000285077	ENST00000428041	15	1	30626676	30638805	ARHGAP11B	protein_coding
ENSG00000198690	ENST00000561594	15	1	30903852	30911788	FAN1	protein_coding
ENSG00000198690	ENST00000362065	15	1	30903873	30943108	FAN1	protein_coding
ENSG00000198690	ENST00000561607	15	1	30903892	30911643	FAN1	protein_coding
ENSG00000198690	ENST00000565466	15	1	30903893	30911271	FAN1	protein_coding
ENSG00000198690	ENST00000562892	15	1	30904510	30910735	FAN1	protein_coding
ENSG00000166912	ENST00000435680	15	-1	30938941	30991604	MTMR10	protein_coding
ENSG00000166912	ENST00000563714	15	-1	30946210	30991415	MTMR10	protein_coding
ENSG00000166912	ENST00000566981	15	-1	30946404	30960933	MTMR10	protein_coding
ENSG00000134160	ENST00000397795	15	-1	31001061	31101707	TRPM1	protein_coding
ENSG00000134160	ENST00000542188	15	-1	31001061	31161273	TRPM1	protein_coding
ENSG00000134160	ENST00000256552	15	-1	31001334	31101721	TRPM1	protein_coding
ENSG00000134160	ENST00000558768	15	-1	31001822	31068092	TRPM1	protein_coding
ENSG00000134160	ENST00000558445	15	-1	31002464	31160954	TRPM1	protein_coding
ENSG00000134160	ENST00000559177	15	-1	31002464	31160954	TRPM1	protein_coding
ENSG00000134160	ENST00000559179	15	-1	31069376	31101727	TRPM1	protein_coding
ENSG00000169926	ENST00000307145	15	1	31326855	31377899	KLF13	protein_coding
ENSG00000169926	ENST00000560473	15	1	31339933	31372443	KLF13	protein_coding
ENSG00000169926	ENST00000558844	15	1	31366154	31372182	KLF13	protein_coding
ENSG00000169918	ENST00000307050	15	-1	31475398	31655339	OTUD7A	protein_coding
ENSG00000169918	ENST00000560598	15	-1	31570018	31870677	OTUD7A	protein_coding
ENSG00000175344	ENST00000635978	15	1	31923438	32159643	CHRNA7	protein_coding
ENSG00000175344	ENST00000636603	15	1	31966431	32168880	CHRNA7	protein_coding
ENSG00000175344	ENST00000638106	15	1	31966471	32168157	CHRNA7	protein_coding
ENSG00000175344	ENST00000637183	15	1	31978056	32169917	CHRNA7	protein_coding
ENSG00000175344	ENST00000635884	15	1	32029934	32169048	CHRNA7	protein_coding
ENSG00000175344	ENST00000637033	15	1	32029934	32170167	CHRNA7	protein_coding
ENSG00000175344	ENST00000306901	15	1	32030483	32173018	CHRNA7	protein_coding
ENSG00000175344	ENST00000454250	15	1	32030488	32168848	CHRNA7	protein_coding
ENSG00000175344	ENST00000637552	15	1	32030494	32163271	CHRNA7	protein_coding
ENSG00000175344	ENST00000636440	15	1	32030661	32163271	CHRNA7	protein_coding
ENSG00000175344	ENST00000638081	15	1	32157612	32168162	CHRNA7	protein_coding
ENSG00000175344	ENST00000635883	15	1	32158495	32160942	CHRNA7	protein_coding
ENSG00000175344	ENST00000637348	15	1	32158586	32166583	CHRNA7	protein_coding
ENSG00000249931	ENST00000512626	15	-1	32392782	32403195	GOLGA8K	protein_coding
ENSG00000206127	ENST00000509311	15	-1	32445106	32455634	GOLGA8O	protein_coding
ENSG00000206127	ENST00000562377	15	-1	32451165	32454902	GOLGA8O	protein_coding
ENSG00000232653	ENST00000448387	15	1	32593456	32607310	GOLGA8N	protein_coding
ENSG00000232653	ENST00000569659	15	1	32593554	32603978	GOLGA8N	protein_coding
ENSG00000232653	ENST00000611209	15	1	32594188	32597925	GOLGA8N	protein_coding
ENSG00000198826	ENST00000565905	15	1	32615144	32638110	ARHGAP11A	protein_coding
ENSG00000198826	ENST00000361627	15	1	32615490	32639949	ARHGAP11A	protein_coding
ENSG00000198826	ENST00000567348	15	1	32615539	32636181	ARHGAP11A	protein_coding
ENSG00000198826	ENST00000563864	15	1	32615565	32636148	ARHGAP11A	protein_coding
ENSG00000198826	ENST00000543522	15	1	32615571	32637903	ARHGAP11A	protein_coding
ENSG00000198826	ENST00000562481	15	1	32628728	32636342	ARHGAP11A	protein_coding
ENSG00000166922	ENST00000300175	15	1	32641676	32697098	SCG5	protein_coding
ENSG00000166922	ENST00000413748	15	1	32641676	32697098	SCG5	protein_coding
ENSG00000166922	ENST00000494364	15	1	32641699	32697088	SCG5	protein_coding
ENSG00000166922	ENST00000497208	15	1	32641702	32696889	SCG5	protein_coding
ENSG00000166922	ENST00000471027	15	1	32643623	32691909	SCG5	protein_coding
ENSG00000166923	ENST00000622074	15	1	32717974	32745107	GREM1	protein_coding
ENSG00000166923	ENST00000560677	15	1	32718004	32731275	GREM1	protein_coding
ENSG00000166923	ENST00000560830	15	1	32718004	32733302	GREM1	protein_coding
ENSG00000248905	ENST00000616417	15	-1	32765545	33194733	FMN1	protein_coding
ENSG00000248905	ENST00000334528	15	-1	32765546	33067884	FMN1	protein_coding
ENSG00000248905	ENST00000561249	15	-1	32774151	33155040	FMN1	protein_coding
ENSG00000248905	ENST00000559047	15	-1	32774310	33154914	FMN1	protein_coding
ENSG00000248905	ENST00000559610	15	-1	32810895	32888254	FMN1	protein_coding
ENSG00000248905	ENST00000560317	15	-1	32899795	32926260	FMN1	protein_coding
ENSG00000248905	ENST00000558711	15	-1	32899807	32902040	FMN1	protein_coding
ENSG00000248905	ENST00000558197	15	-1	33062667	33068162	FMN1	protein_coding
ENSG00000248905	ENST00000320930	15	-1	33149784	33194696	FMN1	protein_coding
ENSG00000198838	ENST00000634891	15	1	33310945	33866103	RYR3	protein_coding
ENSG00000198838	ENST00000415757	15	1	33310962	33866101	RYR3	protein_coding
ENSG00000198838	ENST00000389232	15	1	33310976	33866098	RYR3	protein_coding
ENSG00000198838	ENST00000622037	15	1	33310976	33866098	RYR3	protein_coding
ENSG00000198838	ENST00000634418	15	1	33311046	33865724	RYR3	protein_coding
ENSG00000198838	ENST00000634750	15	1	33311068	33503738	RYR3	protein_coding
ENSG00000198838	ENST00000635842	15	1	33836913	33837946	RYR3	protein_coding
ENSG00000198838	ENST00000638032	15	1	33836917	33838331	RYR3	protein_coding
ENSG00000198838	ENST00000634730	15	1	33838659	33866121	RYR3	protein_coding
ENSG00000198838	ENST00000636568	15	1	33841968	33866077	RYR3	protein_coding
ENSG00000169857	ENST00000306730	15	-1	33866227	34039176	AVEN	protein_coding
ENSG00000184984	ENST00000560035	15	1	33968720	34062783	CHRM5	protein_coding
ENSG00000184984	ENST00000383263	15	1	33968888	34067457	CHRM5	protein_coding
ENSG00000184984	ENST00000557872	15	1	34018227	34065090	CHRM5	protein_coding
ENSG00000134153	ENST00000256545	15	-1	34084017	34101948	EMC7	protein_coding
ENSG00000134153	ENST00000527822	15	-1	34084330	34101807	EMC7	protein_coding
ENSG00000134153	ENST00000528949	15	-1	34084364	34101807	EMC7	protein_coding
ENSG00000182405	ENST00000397766	15	1	34102073	34108684	PGBD4	protein_coding
ENSG00000134152	ENST00000256544	15	-1	34140674	34210079	KATNBL1	protein_coding
ENSG00000134152	ENST00000561270	15	-1	34141962	34153050	KATNBL1	protein_coding
ENSG00000134152	ENST00000561371	15	-1	34142669	34147214	KATNBL1	protein_coding
ENSG00000134152	ENST00000559760	15	-1	34144964	34148750	KATNBL1	protein_coding
ENSG00000134152	ENST00000560310	15	-1	34147230	34154831	KATNBL1	protein_coding
ENSG00000134152	ENST00000557877	15	-1	34148653	34210011	KATNBL1	protein_coding
ENSG00000134152	ENST00000559462	15	-1	34148656	34210096	KATNBL1	protein_coding
ENSG00000134152	ENST00000560108	15	-1	34148658	34210079	KATNBL1	protein_coding
ENSG00000134152	ENST00000559515	15	-1	34153005	34210077	KATNBL1	protein_coding
ENSG00000134152	ENST00000559464	15	-1	34163560	34199840	KATNBL1	protein_coding
ENSG00000128463	ENST00000267750	15	1	34224999	34230156	EMC4	protein_coding
ENSG00000128463	ENST00000249209	15	1	34225013	34230147	EMC4	protein_coding
ENSG00000128463	ENST00000561372	15	1	34225025	34227846	EMC4	protein_coding
ENSG00000128463	ENST00000559078	15	1	34225036	34229182	EMC4	protein_coding
ENSG00000128463	ENST00000557879	15	1	34225038	34228841	EMC4	protein_coding
ENSG00000128463	ENST00000559421	15	1	34225066	34229999	EMC4	protein_coding
ENSG00000128463	ENST00000560947	15	1	34227695	34230156	EMC4	protein_coding
ENSG00000140199	ENST00000290209	15	-1	34229996	34318779	SLC12A6	protein_coding
ENSG00000140199	ENST00000397707	15	-1	34233259	34336844	SLC12A6	protein_coding
ENSG00000140199	ENST00000560611	15	-1	34233259	34336844	SLC12A6	protein_coding
ENSG00000140199	ENST00000354181	15	-1	34233259	34337752	SLC12A6	protein_coding
ENSG00000140199	ENST00000458406	15	-1	34233259	34337760	SLC12A6	protein_coding
ENSG00000140199	ENST00000397702	15	-1	34233259	34338060	SLC12A6	protein_coding
ENSG00000140199	ENST00000560164	15	-1	34233262	34299658	SLC12A6	protein_coding
ENSG00000140199	ENST00000558667	15	-1	34233712	34338057	SLC12A6	protein_coding
ENSG00000140199	ENST00000558589	15	-1	34233881	34337757	SLC12A6	protein_coding
ENSG00000140199	ENST00000560332	15	-1	34256236	34299636	SLC12A6	protein_coding
ENSG00000140199	ENST00000561120	15	-1	34258873	34338057	SLC12A6	protein_coding
ENSG00000140199	ENST00000559236	15	-1	34260930	34338057	SLC12A6	protein_coding
ENSG00000140199	ENST00000559484	15	-1	34260978	34337742	SLC12A6	protein_coding
ENSG00000182117	ENST00000328848	15	-1	34341713	34343177	NOP10	protein_coding
ENSG00000182117	ENST00000557912	15	-1	34341719	34343123	NOP10	protein_coding
ENSG00000184507	ENST00000537011	15	1	34343315	34357728	NUTM1	protein_coding
ENSG00000184507	ENST00000614490	15	1	34343315	34357737	NUTM1	protein_coding
ENSG00000184507	ENST00000438749	15	1	34343410	34357737	NUTM1	protein_coding
ENSG00000184507	ENST00000333756	15	1	34345865	34357732	NUTM1	protein_coding
ENSG00000176454	ENST00000314891	15	-1	34358618	34367278	LPCAT4	protein_coding
ENSG00000176454	ENST00000617710	15	-1	34358926	34367045	LPCAT4	protein_coding
ENSG00000175265	ENST00000432566	15	-1	34379071	34387380	GOLGA8A	protein_coding
ENSG00000175265	ENST00000359187	15	-1	34381411	34389756	GOLGA8A	protein_coding
ENSG00000215252	ENST00000342314	15	-1	34525207	34536010	GOLGA8B	protein_coding
ENSG00000215252	ENST00000438958	15	-1	34525282	34533260	GOLGA8B	protein_coding
ENSG00000159248	ENST00000290374	15	-1	34751032	34754965	GJD2	protein_coding
ENSG00000159251	ENST00000290378	15	-1	34788095	34795726	ACTC1	protein_coding
ENSG00000021776	ENST00000156471	15	-1	34851782	34969839	AQR	protein_coding
ENSG00000021776	ENST00000560117	15	-1	34944304	34964453	AQR	protein_coding
ENSG00000198146	ENST00000356321	15	-1	34978341	34988287	ZNF770	protein_coding
ENSG00000198146	ENST00000559564	15	-1	34983038	34988225	ZNF770	protein_coding
ENSG00000255192	ENST00000528386	15	-1	35084193	35085110	NANOGP8	protein_coding
ENSG00000255192	ENST00000629403	15	-1	35084193	35085110	NANOGP8	protein_coding
ENSG00000134146	ENST00000256538	15	-1	35370882	35546168	DPH6	protein_coding
ENSG00000134146	ENST00000558266	15	-1	35372107	35454760	DPH6	protein_coding
ENSG00000134146	ENST00000561411	15	-1	35381832	35546165	DPH6	protein_coding
ENSG00000134146	ENST00000440392	15	-1	35518994	35546192	DPH6	protein_coding
ENSG00000186073	ENST00000566621	15	1	36579611	36810223	C15orf41	protein_coding
ENSG00000186073	ENST00000570265	15	1	36579634	36747241	C15orf41	protein_coding
ENSG00000186073	ENST00000564586	15	1	36579642	36691754	C15orf41	protein_coding
ENSG00000186073	ENST00000569302	15	1	36579645	36810050	C15orf41	protein_coding
ENSG00000186073	ENST00000643785	15	1	36579645	36810248	C15orf41	protein_coding
ENSG00000186073	ENST00000646533	15	1	36579710	36810157	C15orf41	protein_coding
ENSG00000186073	ENST00000437989	15	1	36579844	36810244	C15orf41	protein_coding
ENSG00000186073	ENST00000566807	15	1	36594869	36709906	C15orf41	protein_coding
ENSG00000186073	ENST00000643612	15	1	36594877	36810069	C15orf41	protein_coding
ENSG00000186073	ENST00000567389	15	1	36594894	36810246	C15orf41	protein_coding
ENSG00000186073	ENST00000562877	15	1	36594900	36808453	C15orf41	protein_coding
ENSG00000186073	ENST00000338183	15	1	36640605	36810231	C15orf41	protein_coding
ENSG00000186073	ENST00000562489	15	1	36702009	36808781	C15orf41	protein_coding
ENSG00000134138	ENST00000561208	15	-1	36889204	37099885	MEIS2	protein_coding
ENSG00000134138	ENST00000338564	15	-1	36889204	37101205	MEIS2	protein_coding
ENSG00000134138	ENST00000397624	15	-1	36891021	37098321	MEIS2	protein_coding
ENSG00000134138	ENST00000340545	15	-1	36891022	37101299	MEIS2	protein_coding
ENSG00000134138	ENST00000559085	15	-1	36891256	37098302	MEIS2	protein_coding
ENSG00000134138	ENST00000557796	15	-1	36891410	37099306	MEIS2	protein_coding
ENSG00000134138	ENST00000397620	15	-1	36891848	37099396	MEIS2	protein_coding
ENSG00000134138	ENST00000424352	15	-1	36891850	37100530	MEIS2	protein_coding
ENSG00000134138	ENST00000559561	15	-1	36894752	37099721	MEIS2	protein_coding
ENSG00000134138	ENST00000607277	15	-1	36895149	37095021	MEIS2	protein_coding
ENSG00000134138	ENST00000606653	15	-1	37066297	37094565	MEIS2	protein_coding
ENSG00000134138	ENST00000560617	15	-1	37083772	37097367	MEIS2	protein_coding
ENSG00000134138	ENST00000558313	15	-1	37083790	37101279	MEIS2	protein_coding
ENSG00000134138	ENST00000560697	15	-1	37083804	37096506	MEIS2	protein_coding
ENSG00000166069	ENST00000560841	15	1	37921939	37936918	TMCO5A	protein_coding
ENSG00000166069	ENST00000558625	15	1	37933253	37941194	TMCO5A	protein_coding
ENSG00000166069	ENST00000559502	15	1	37934626	37967724	TMCO5A	protein_coding
ENSG00000166069	ENST00000558148	15	1	37934640	37936949	TMCO5A	protein_coding
ENSG00000166069	ENST00000558158	15	1	37934643	37944426	TMCO5A	protein_coding
ENSG00000166069	ENST00000319669	15	1	37935257	37951539	TMCO5A	protein_coding
ENSG00000166068	ENST00000299084	15	1	38252326	38357249	SPRED1	protein_coding
ENSG00000166068	ENST00000561317	15	1	38253181	38339771	SPRED1	protein_coding
ENSG00000171262	ENST00000397609	15	1	38454127	38487710	FAM98B	protein_coding
ENSG00000171262	ENST00000491535	15	1	38454154	38483665	FAM98B	protein_coding
ENSG00000171262	ENST00000559431	15	1	38465346	38484638	FAM98B	protein_coding
ENSG00000172575	ENST00000310803	15	-1	38488103	38564806	RASGRP1	protein_coding
ENSG00000172575	ENST00000539159	15	-1	38488105	38564806	RASGRP1	protein_coding
ENSG00000172575	ENST00000558432	15	-1	38490095	38560082	RASGRP1	protein_coding
ENSG00000172575	ENST00000561180	15	-1	38490480	38565575	RASGRP1	protein_coding
ENSG00000172575	ENST00000450598	15	-1	38490554	38564635	RASGRP1	protein_coding
