ENSG00000279493	ENST00000624081	21	1	5011799	5017145	FP565260.4	protein_coding
ENSG00000166351	ENST00000299443	21	1	13610177	13641585	POTED	protein_coding
ENSG00000188992	ENST00000344577	21	-1	14108813	14206949	LIPI	protein_coding
ENSG00000188992	ENST00000536861	21	-1	14108893	14210891	LIPI	protein_coding
ENSG00000188992	ENST00000614229	21	-1	14108893	14210891	LIPI	protein_coding
ENSG00000188992	ENST00000400211	21	-1	14165251	14189103	LIPI	protein_coding
ENSG00000185272	ENST00000400577	21	1	14216178	14228372	RBM11	protein_coding
ENSG00000155304	ENST00000285667	21	-1	14371115	14383187	HSPA13	protein_coding
ENSG00000155307	ENST00000400564	21	-1	14485228	14546341	SAMSN1	protein_coding
ENSG00000155307	ENST00000400566	21	-1	14485228	14546343	SAMSN1	protein_coding
ENSG00000155307	ENST00000647101	21	-1	14485228	14658821	SAMSN1	protein_coding
ENSG00000155307	ENST00000619120	21	-1	14485229	14546360	SAMSN1	protein_coding
ENSG00000155307	ENST00000285670	21	-1	14485229	14583402	SAMSN1	protein_coding
ENSG00000180530	ENST00000318948	21	-1	14961235	15064805	NRIP1	protein_coding
ENSG00000180530	ENST00000400199	21	-1	14961235	15064934	NRIP1	protein_coding
ENSG00000180530	ENST00000400202	21	-1	14961235	15065000	NRIP1	protein_coding
ENSG00000180530	ENST00000411932	21	-1	14967996	15002368	NRIP1	protein_coding
ENSG00000180530	ENST00000638122	21	-1	14968155	15065815	NRIP1	protein_coding
ENSG00000155313	ENST00000285679	21	1	15730025	15878911	USP25	protein_coding
ENSG00000155313	ENST00000351097	21	1	15730025	15878911	USP25	protein_coding
ENSG00000155313	ENST00000285681	21	1	15730025	15880058	USP25	protein_coding
ENSG00000155313	ENST00000400183	21	1	15730025	15880069	USP25	protein_coding
ENSG00000155313	ENST00000453553	21	1	15825010	15833379	USP25	protein_coding
ENSG00000155313	ENST00000449491	21	1	15842518	15874518	USP25	protein_coding
ENSG00000154639	ENST00000284878	21	1	17512382	17570100	CXADR	protein_coding
ENSG00000154639	ENST00000400166	21	1	17513046	17565852	CXADR	protein_coding
ENSG00000154639	ENST00000356275	21	1	17513130	17565487	CXADR	protein_coding
ENSG00000154639	ENST00000400165	21	1	17513130	17565615	CXADR	protein_coding
ENSG00000154639	ENST00000400169	21	1	17513130	17593579	CXADR	protein_coding
ENSG00000154640	ENST00000339775	21	-1	17593653	17612844	BTG3	protein_coding
ENSG00000154640	ENST00000348354	21	-1	17593653	17612947	BTG3	protein_coding
ENSG00000154640	ENST00000457956	21	-1	17609007	17612945	BTG3	protein_coding
ENSG00000154642	ENST00000284881	21	-1	17788967	17819386	C21orf91	protein_coding
ENSG00000154642	ENST00000400559	21	-1	17792804	17819386	C21orf91	protein_coding
ENSG00000154642	ENST00000400558	21	-1	17793247	17819386	C21orf91	protein_coding
ENSG00000154642	ENST00000405964	21	-1	17795208	17819019	C21orf91	protein_coding
ENSG00000154645	ENST00000400128	21	1	17901263	18267373	CHODL	protein_coding
ENSG00000154645	ENST00000400127	21	1	17917340	18267373	CHODL	protein_coding
ENSG00000154645	ENST00000400131	21	1	17917340	18267373	CHODL	protein_coding
ENSG00000154645	ENST00000400135	21	1	17917340	18267373	CHODL	protein_coding
ENSG00000154645	ENST00000299295	21	1	18244833	18267373	CHODL	protein_coding
ENSG00000154645	ENST00000543733	21	1	18245875	18266837	CHODL	protein_coding
ENSG00000154645	ENST00000338326	21	1	18256502	18267365	CHODL	protein_coding
ENSG00000154646	ENST00000284885	21	-1	18269116	18403656	TMPRSS15	protein_coding
ENSG00000154646	ENST00000422787	21	-1	18365140	18485879	TMPRSS15	protein_coding
ENSG00000154646	ENST00000474775	21	-1	18365241	18460731	TMPRSS15	protein_coding
ENSG00000154654	ENST00000400546	21	1	20998315	21543329	NCAM2	protein_coding
ENSG00000154654	ENST00000284894	21	1	21280576	21540195	NCAM2	protein_coding
ENSG00000154719	ENST00000307301	21	-1	25585656	25607517	MRPL39	protein_coding
ENSG00000154719	ENST00000352957	21	-1	25585656	25607517	MRPL39	protein_coding
ENSG00000154719	ENST00000419219	21	-1	25592812	25607484	MRPL39	protein_coding
ENSG00000154721	ENST00000400532	21	1	25639272	25714573	JAM2	protein_coding
ENSG00000154721	ENST00000480456	21	1	25639272	25717562	JAM2	protein_coding
ENSG00000154721	ENST00000312957	21	1	25639282	25717552	JAM2	protein_coding
ENSG00000154723	ENST00000400099	21	-1	25716503	25735027	ATP5PF	protein_coding
ENSG00000154723	ENST00000400094	21	-1	25724480	25734904	ATP5PF	protein_coding
ENSG00000154723	ENST00000284971	21	-1	25724480	25734972	ATP5PF	protein_coding
ENSG00000154723	ENST00000457143	21	-1	25724480	25735033	ATP5PF	protein_coding
ENSG00000154723	ENST00000400090	21	-1	25724480	25735639	ATP5PF	protein_coding
ENSG00000154723	ENST00000400087	21	-1	25724480	25735646	ATP5PF	protein_coding
ENSG00000154723	ENST00000400093	21	-1	25724480	25735673	ATP5PF	protein_coding
ENSG00000154727	ENST00000354828	21	1	25734570	25772460	GABPA	protein_coding
ENSG00000154727	ENST00000400075	21	1	25735384	25772460	GABPA	protein_coding
ENSG00000142192	ENST00000346798	21	-1	25880550	26170654	APP	protein_coding
ENSG00000142192	ENST00000354192	21	-1	25880550	26170747	APP	protein_coding
ENSG00000142192	ENST00000348990	21	-1	25880550	26170767	APP	protein_coding
ENSG00000142192	ENST00000357903	21	-1	25880550	26170787	APP	protein_coding
ENSG00000142192	ENST00000359726	21	-1	25880551	26171128	APP	protein_coding
ENSG00000142192	ENST00000440126	21	-1	25881331	26140460	APP	protein_coding
ENSG00000142192	ENST00000439274	21	-1	25881332	26170654	APP	protein_coding
ENSG00000142192	ENST00000358918	21	-1	25881610	26170667	APP	protein_coding
ENSG00000142192	ENST00000448850	21	-1	25945524	26090061	APP	protein_coding
ENSG00000142192	ENST00000415997	21	-1	25975190	26051032	APP	protein_coding
ENSG00000166265	ENST00000299340	21	-1	26466209	26573284	CYYR1	protein_coding
ENSG00000166265	ENST00000400043	21	-1	26477971	26573176	CYYR1	protein_coding
ENSG00000154734	ENST00000284984	21	-1	26835747	26845409	ADAMTS1	protein_coding
ENSG00000154734	ENST00000517777	21	-1	26841077	26843018	ADAMTS1	protein_coding
ENSG00000154734	ENST00000451462	21	-1	26841120	26843540	ADAMTS1	protein_coding
ENSG00000154734	ENST00000517452	21	-1	26841969	26843777	ADAMTS1	protein_coding
ENSG00000154736	ENST00000284987	21	-1	26917912	26966513	ADAMTS5	protein_coding
ENSG00000156239	ENST00000303775	21	-1	28872191	28885371	N6AMT1	protein_coding
ENSG00000156239	ENST00000351429	21	-1	28872191	28885371	N6AMT1	protein_coding
ENSG00000198862	ENST00000361371	21	-1	28928144	28992885	LTN1	protein_coding
ENSG00000198862	ENST00000389194	21	-1	28928144	28992949	LTN1	protein_coding
ENSG00000198862	ENST00000614971	21	-1	28928144	28992956	LTN1	protein_coding
ENSG00000198862	ENST00000389195	21	-1	28961317	28992949	LTN1	protein_coding
ENSG00000156253	ENST00000493196	21	-1	29004384	29019378	RWDD2B	protein_coding
ENSG00000156256	ENST00000399975	21	1	29024629	29054488	USP16	protein_coding
ENSG00000156256	ENST00000399976	21	1	29024629	29054488	USP16	protein_coding
ENSG00000156256	ENST00000334352	21	1	29024651	29054488	USP16	protein_coding
ENSG00000156256	ENST00000399973	21	1	29024656	29034919	USP16	protein_coding
ENSG00000156261	ENST00000432178	21	-1	29055805	29061376	CCT8	protein_coding
ENSG00000156261	ENST00000540844	21	-1	29056322	29073797	CCT8	protein_coding
ENSG00000156261	ENST00000286788	21	-1	29056324	29073797	CCT8	protein_coding
ENSG00000156261	ENST00000626972	21	-1	29056329	29073351	CCT8	protein_coding
ENSG00000156261	ENST00000431234	21	-1	29062209	29073565	CCT8	protein_coding
ENSG00000156265	ENST00000419845	21	1	29077475	29091576	MAP3K7CL	protein_coding
ENSG00000156265	ENST00000341618	21	1	29077633	29175889	MAP3K7CL	protein_coding
ENSG00000156265	ENST00000399934	21	1	29077633	29175889	MAP3K7CL	protein_coding
ENSG00000156265	ENST00000399935	21	1	29077633	29175889	MAP3K7CL	protein_coding
ENSG00000156265	ENST00000399947	21	1	29080552	29175889	MAP3K7CL	protein_coding
ENSG00000156265	ENST00000286791	21	1	29085861	29175888	MAP3K7CL	protein_coding
ENSG00000156265	ENST00000339024	21	1	29092254	29175889	MAP3K7CL	protein_coding
ENSG00000156265	ENST00000545939	21	1	29109132	29175888	MAP3K7CL	protein_coding
ENSG00000156265	ENST00000399928	21	1	29130485	29175889	MAP3K7CL	protein_coding
ENSG00000156265	ENST00000399926	21	1	29130638	29175014	MAP3K7CL	protein_coding
ENSG00000156265	ENST00000399925	21	1	29130961	29175026	MAP3K7CL	protein_coding
ENSG00000156265	ENST00000451489	21	1	29131257	29174745	MAP3K7CL	protein_coding
ENSG00000156273	ENST00000548219	21	1	29194071	29321355	BACH1	protein_coding
ENSG00000156273	ENST00000546469	21	1	29194147	29321355	BACH1	protein_coding
ENSG00000156273	ENST00000547141	21	1	29194147	29321355	BACH1	protein_coding
ENSG00000156273	ENST00000550131	21	1	29194147	29321355	BACH1	protein_coding
ENSG00000156273	ENST00000286800	21	1	29298871	29346148	BACH1	protein_coding
ENSG00000156273	ENST00000399921	21	1	29299416	29346148	BACH1	protein_coding
ENSG00000156273	ENST00000548467	21	1	29299683	29321355	BACH1	protein_coding
ENSG00000156273	ENST00000451655	21	1	29300133	29326498	BACH1	protein_coding
ENSG00000156273	ENST00000447177	21	1	29300802	29326484	BACH1	protein_coding
ENSG00000156273	ENST00000435072	21	1	29305203	29326336	BACH1	protein_coding
ENSG00000156273	ENST00000422809	21	1	29327129	29630751	BACH1	protein_coding
ENSG00000156273	ENST00000468059	21	1	29327276	29630751	BACH1	protein_coding
ENSG00000171189	ENST00000327783	21	-1	29536933	29939532	GRIK1	protein_coding
ENSG00000171189	ENST00000389125	21	-1	29536933	29939625	GRIK1	protein_coding
ENSG00000171189	ENST00000399913	21	-1	29536933	29939674	GRIK1	protein_coding
ENSG00000171189	ENST00000399914	21	-1	29536933	29940022	GRIK1	protein_coding
ENSG00000171189	ENST00000389124	21	-1	29537706	29939532	GRIK1	protein_coding
ENSG00000171189	ENST00000399907	21	-1	29553252	29939912	GRIK1	protein_coding
ENSG00000171189	ENST00000399909	21	-1	29553252	29939912	GRIK1	protein_coding
ENSG00000156282	ENST00000286808	21	-1	30165564	30166756	CLDN17	protein_coding
ENSG00000156284	ENST00000399899	21	-1	30214006	30216073	CLDN8	protein_coding
ENSG00000188694	ENST00000340345	21	-1	30281309	30282958	KRTAP24-1	protein_coding
ENSG00000232263	ENST00000416044	21	-1	30289145	30289514	KRTAP25-1	protein_coding
ENSG00000197683	ENST00000360542	21	-1	30319124	30320316	KRTAP26-1	protein_coding
ENSG00000206107	ENST00000382835	21	-1	30337013	30337694	KRTAP27-1	protein_coding
ENSG00000186980	ENST00000334160	21	-1	30348399	30348609	KRTAP23-1	protein_coding
ENSG00000182816	ENST00000399889	21	-1	30371391	30372257	KRTAP13-2	protein_coding
ENSG00000198390	ENST00000355459	21	1	30396074	30396822	KRTAP13-1	protein_coding
ENSG00000240432	ENST00000390690	21	-1	30425265	30425968	KRTAP13-3	protein_coding
ENSG00000186971	ENST00000334068	21	1	30430230	30431026	KRTAP13-4	protein_coding
ENSG00000186970	ENST00000334067	21	1	30440275	30440945	KRTAP15-1	protein_coding
ENSG00000184351	ENST00000390689	21	-1	30479699	30480344	KRTAP19-1	protein_coding
ENSG00000186965	ENST00000334055	21	-1	30487057	30487436	KRTAP19-2	protein_coding
ENSG00000244025	ENST00000334063	21	-1	30491464	30491985	KRTAP19-3	protein_coding
ENSG00000186967	ENST00000334058	21	-1	30496824	30497133	KRTAP19-4	protein_coding
ENSG00000186977	ENST00000334151	21	-1	30501657	30502117	KRTAP19-5	protein_coding
ENSG00000186925	ENST00000334046	21	-1	30541535	30541864	KRTAP19-6	protein_coding
ENSG00000244362	ENST00000334849	21	-1	30560875	30561314	KRTAP19-7	protein_coding
ENSG00000206106	ENST00000382830	21	-1	30590105	30590397	KRTAP22-2	protein_coding
ENSG00000212938	ENST00000391624	21	1	30592440	30593075	KRTAP6-3	protein_coding
ENSG00000186930	ENST00000334897	21	-1	30598590	30598902	KRTAP6-2	protein_coding
ENSG00000186924	ENST00000334680	21	1	30601087	30601382	KRTAP22-1	protein_coding
ENSG00000184724	ENST00000329122	21	-1	30613431	30613930	KRTAP6-1	protein_coding
ENSG00000244624	ENST00000334664	21	1	30616425	30616699	KRTAP20-1	protein_coding
ENSG00000206105	ENST00000382828	21	1	30620627	30620850	KRTAP20-4	protein_coding
ENSG00000184032	ENST00000330798	21	1	30635236	30635619	KRTAP20-2	protein_coding
ENSG00000206104	ENST00000382826	21	1	30642864	30643136	KRTAP20-3	protein_coding
ENSG00000231068	ENST00000444335	21	-1	30718525	30718777	KRTAP21-3	protein_coding
ENSG00000187026	ENST00000333892	21	-1	30746794	30747233	KRTAP21-2	protein_coding
ENSG00000187005	ENST00000335093	21	-1	30754830	30755428	KRTAP21-1	protein_coding
ENSG00000183640	ENST00000329621	21	-1	30812697	30813252	KRTAP8-1	protein_coding
ENSG00000274749	ENST00000621162	21	-1	30829039	30829759	KRTAP7-1	protein_coding
ENSG00000182591	ENST00000332378	21	-1	30880644	30881555	KRTAP11-1	protein_coding
ENSG00000206102	ENST00000382822	21	-1	31038159	31038476	KRTAP19-8	protein_coding
ENSG00000156299	ENST00000286827	21	-1	31118416	31558977	TIAM1	protein_coding
ENSG00000156299	ENST00000423206	21	-1	31118418	31130221	TIAM1	protein_coding
ENSG00000156299	ENST00000541036	21	-1	31118418	31558977	TIAM1	protein_coding
ENSG00000156299	ENST00000636887	21	-1	31118458	31160909	TIAM1	protein_coding
ENSG00000156299	ENST00000455508	21	-1	31266296	31344279	TIAM1	protein_coding
ENSG00000142168	ENST00000270142	21	1	31659622	31668931	SOD1	protein_coding
ENSG00000142168	ENST00000389995	21	1	31659666	31668931	SOD1	protein_coding
ENSG00000156304	ENST00000286835	21	-1	31671033	31732075	SCAF4	protein_coding
ENSG00000156304	ENST00000399804	21	-1	31671033	31732075	SCAF4	protein_coding
ENSG00000156304	ENST00000434667	21	-1	31671228	31731968	SCAF4	protein_coding
ENSG00000142149	ENST00000270112	21	1	31873315	32004064	HUNK	protein_coding
ENSG00000142149	ENST00000430354	21	1	31924552	31968334	HUNK	protein_coding
ENSG00000142149	ENST00000439107	21	1	31974703	32044633	HUNK	protein_coding
ENSG00000159055	ENST00000290130	21	-1	32268219	32279069	MIS18A	protein_coding
ENSG00000170262	ENST00000399784	21	1	32291813	32312290	MRAP	protein_coding
ENSG00000170262	ENST00000303645	21	1	32298850	32312290	MRAP	protein_coding
ENSG00000170262	ENST00000339944	21	1	32298972	32314784	MRAP	protein_coding
ENSG00000142207	ENST00000382751	21	-1	32311018	32393026	URB1	protein_coding
ENSG00000166979	ENST00000300255	21	1	32412381	32515389	EVA1C	protein_coding
ENSG00000166979	ENST00000401402	21	1	32412685	32515397	EVA1C	protein_coding
ENSG00000166979	ENST00000382699	21	1	32412702	32515389	EVA1C	protein_coding
ENSG00000166979	ENST00000412833	21	1	32428334	32495137	EVA1C	protein_coding
ENSG00000242220	ENST00000300258	21	-1	32574841	32585533	TCP10L	protein_coding
ENSG00000242220	ENST00000472557	21	-1	32576659	32585533	TCP10L	protein_coding
ENSG00000242220	ENST00000582575	21	-1	32576848	32587373	TCP10L	protein_coding
ENSG00000265590	ENST00000431216	21	-1	32578822	32612146	AP000275.2	protein_coding
ENSG00000265590	ENST00000553001	21	-1	32578823	32612281	AP000275.2	protein_coding
ENSG00000159079	ENST00000431599	21	-1	32592079	32603237	CFAP298	protein_coding
ENSG00000159079	ENST00000440966	21	-1	32601667	32612352	CFAP298	protein_coding
ENSG00000159079	ENST00000382549	21	-1	32601667	32612586	CFAP298	protein_coding
ENSG00000159079	ENST00000290155	21	-1	32601667	32612866	CFAP298	protein_coding
ENSG00000159079	ENST00000425336	21	-1	32601703	32604200	CFAP298	protein_coding
ENSG00000159079	ENST00000458138	21	-1	32603225	32612555	CFAP298	protein_coding
ENSG00000159082	ENST00000357345	21	-1	32628759	32727939	SYNJ1	protein_coding
ENSG00000159082	ENST00000382491	21	-1	32628759	32728040	SYNJ1	protein_coding
ENSG00000159082	ENST00000438952	21	-1	32628763	32645710	SYNJ1	protein_coding
ENSG00000159082	ENST00000630077	21	-1	32628764	32727900	SYNJ1	protein_coding
ENSG00000159082	ENST00000382499	21	-1	32628764	32728040	SYNJ1	protein_coding
ENSG00000159082	ENST00000433931	21	-1	32630990	32728048	SYNJ1	protein_coding
ENSG00000159082	ENST00000418301	21	-1	32631778	32641945	SYNJ1	protein_coding
ENSG00000159082	ENST00000429236	21	-1	32665986	32727939	SYNJ1	protein_coding
ENSG00000159082	ENST00000456084	21	-1	32695226	32726942	SYNJ1	protein_coding
ENSG00000159086	ENST00000331923	21	-1	32733899	32771858	PAXBP1	protein_coding
ENSG00000159086	ENST00000290178	21	-1	32741393	32771668	PAXBP1	protein_coding
ENSG00000205929	ENST00000490358	21	-1	32793564	32813743	C21orf62	protein_coding
ENSG00000205929	ENST00000487113	21	-1	32793565	32813679	C21orf62	protein_coding
ENSG00000205929	ENST00000382373	21	-1	32793685	32813689	C21orf62	protein_coding
ENSG00000205929	ENST00000479548	21	-1	32793721	32813634	C21orf62	protein_coding
ENSG00000205927	ENST00000382357	21	1	33025845	33029196	OLIG2	protein_coding
ENSG00000205927	ENST00000430860	21	1	33025935	33027049	OLIG2	protein_coding
ENSG00000205927	ENST00000333337	21	1	33025935	33029196	OLIG2	protein_coding
ENSG00000184221	ENST00000382348	21	1	33070144	33072420	OLIG1	protein_coding
ENSG00000184221	ENST00000426947	21	1	33070965	33072413	OLIG1	protein_coding
ENSG00000159110	ENST00000382264	21	1	33229901	33262756	IFNAR2	protein_coding
ENSG00000159110	ENST00000404220	21	1	33229971	33265675	IFNAR2	protein_coding
ENSG00000159110	ENST00000342136	21	1	33229974	33264525	IFNAR2	protein_coding
ENSG00000159110	ENST00000342101	21	1	33230136	33264525	IFNAR2	protein_coding
ENSG00000159110	ENST00000413881	21	1	33230182	33262855	IFNAR2	protein_coding
ENSG00000159110	ENST00000443073	21	1	33230182	33262855	IFNAR2	protein_coding
ENSG00000159110	ENST00000447980	21	1	33230409	33248854	IFNAR2	protein_coding
ENSG00000249624	ENST00000433395	21	1	33246774	33283212	AP000295.1	protein_coding
ENSG00000243646	ENST00000290200	21	1	33266358	33297234	IL10RB	protein_coding
ENSG00000243646	ENST00000609556	21	1	33288133	33310187	IL10RB	protein_coding
ENSG00000243646	ENST00000637650	21	1	33288133	33310187	IL10RB	protein_coding
ENSG00000142166	ENST00000270139	21	1	33324904	33359862	IFNAR1	protein_coding
ENSG00000142166	ENST00000442071	21	1	33324973	33345277	IFNAR1	protein_coding
ENSG00000159128	ENST00000290219	21	1	33402896	33437521	IFNGR2	protein_coding
ENSG00000159128	ENST00000381995	21	1	33403432	33437521	IFNGR2	protein_coding
ENSG00000159128	ENST00000405436	21	1	33403466	33437502	IFNGR2	protein_coding
ENSG00000159128	ENST00000421802	21	1	33432319	33479348	IFNGR2	protein_coding
ENSG00000142188	ENST00000542230	21	-1	33449135	33480011	TMEM50B	protein_coding
ENSG00000142188	ENST00000432504	21	-1	33465378	33479289	TMEM50B	protein_coding
ENSG00000177692	ENST00000617313	21	-1	33485530	33491473	DNAJC28	protein_coding
ENSG00000177692	ENST00000381947	21	-1	33488190	33491720	DNAJC28	protein_coding
ENSG00000177692	ENST00000314399	21	-1	33488208	33491473	DNAJC28	protein_coding
ENSG00000177692	ENST00000402202	21	-1	33488219	33491691	DNAJC28	protein_coding
ENSG00000159131	ENST00000381815	21	-1	33503931	33542138	GART	protein_coding
ENSG00000159131	ENST00000381831	21	-1	33503931	33542842	GART	protein_coding
ENSG00000159131	ENST00000381839	21	-1	33503931	33542861	GART	protein_coding
ENSG00000159131	ENST00000361093	21	-1	33524009	33542114	GART	protein_coding
ENSG00000159131	ENST00000430874	21	-1	33530759	33543491	GART	protein_coding
ENSG00000159131	ENST00000426819	21	-1	33530787	33542793	GART	protein_coding
ENSG00000159131	ENST00000438059	21	-1	33534579	33542820	GART	protein_coding
ENSG00000159131	ENST00000441403	21	-1	33534587	33542363	GART	protein_coding
ENSG00000159140	ENST00000356577	21	1	33542618	33577481	SON	protein_coding
ENSG00000159140	ENST00000381692	21	1	33543052	33577481	SON	protein_coding
ENSG00000159140	ENST00000300278	21	1	33543064	33560667	SON	protein_coding
ENSG00000159140	ENST00000381679	21	1	33543065	33559056	SON	protein_coding
ENSG00000159140	ENST00000436227	21	1	33552248	33577481	SON	protein_coding
ENSG00000159140	ENST00000421541	21	1	33555049	33567467	SON	protein_coding
ENSG00000159147	ENST00000303113	21	-1	33575477	33588670	DONSON	protein_coding
ENSG00000159147	ENST00000453626	21	-1	33577536	33588646	DONSON	protein_coding
ENSG00000159147	ENST00000303071	21	-1	33577905	33588708	DONSON	protein_coding
ENSG00000159147	ENST00000437395	21	-1	33578201	33588634	DONSON	protein_coding
ENSG00000159147	ENST00000432378	21	-1	33578242	33588706	DONSON	protein_coding
ENSG00000159147	ENST00000440810	21	-1	33579524	33586158	DONSON	protein_coding
ENSG00000249209	ENST00000429238	21	-1	33584687	33931607	AP000311.1	protein_coding
ENSG00000205758	ENST00000381554	21	-1	33589341	33641760	CRYZL1	protein_coding
ENSG00000205758	ENST00000290244	21	-1	33589386	33641918	CRYZL1	protein_coding
ENSG00000205758	ENST00000381540	21	-1	33589467	33641747	CRYZL1	protein_coding
ENSG00000205758	ENST00000441940	21	-1	33589545	33597401	CRYZL1	protein_coding
ENSG00000205758	ENST00000445393	21	-1	33589617	33641730	CRYZL1	protein_coding
ENSG00000205758	ENST00000361534	21	-1	33594507	33641759	CRYZL1	protein_coding
ENSG00000205758	ENST00000440526	21	-1	33595131	33622042	CRYZL1	protein_coding
ENSG00000205758	ENST00000414079	21	-1	33596062	33603448	CRYZL1	protein_coding
ENSG00000205758	ENST00000426935	21	-1	33599196	33641745	CRYZL1	protein_coding
ENSG00000205758	ENST00000431177	21	-1	33602267	33633702	CRYZL1	protein_coding
ENSG00000205758	ENST00000417979	21	-1	33602333	33641730	CRYZL1	protein_coding
ENSG00000205758	ENST00000413017	21	-1	33616287	33641722	CRYZL1	protein_coding
ENSG00000205758	ENST00000438788	21	-1	33631493	33643926	CRYZL1	protein_coding
ENSG00000205758	ENST00000399442	21	-1	33639745	33641721	CRYZL1	protein_coding
ENSG00000205726	ENST00000399353	21	1	33642400	33837018	ITSN1	protein_coding
ENSG00000205726	ENST00000444491	21	1	33642452	33735204	ITSN1	protein_coding
ENSG00000205726	ENST00000381318	21	1	33642458	33899861	ITSN1	protein_coding
ENSG00000205726	ENST00000381291	21	1	33642478	33838494	ITSN1	protein_coding
ENSG00000205726	ENST00000381285	21	1	33642478	33889305	ITSN1	protein_coding
ENSG00000205726	ENST00000399367	21	1	33642483	33888608	ITSN1	protein_coding
ENSG00000205726	ENST00000399352	21	1	33642496	33838498	ITSN1	protein_coding
ENSG00000205726	ENST00000399355	21	1	33642498	33837293	ITSN1	protein_coding
ENSG00000205726	ENST00000399349	21	1	33642498	33838496	ITSN1	protein_coding
ENSG00000205726	ENST00000451686	21	1	33642542	33735093	ITSN1	protein_coding
ENSG00000205726	ENST00000381283	21	1	33718797	33772282	ITSN1	protein_coding
ENSG00000205726	ENST00000399338	21	1	33718810	33817614	ITSN1	protein_coding
ENSG00000205726	ENST00000456489	21	1	33735041	33735626	ITSN1	protein_coding
ENSG00000205726	ENST00000379960	21	1	33750107	33836635	ITSN1	protein_coding
ENSG00000205726	ENST00000440794	21	1	33799923	33817736	ITSN1	protein_coding
