ENSG00000184895	ENST00000383070	Y	-1	2786855	2787699	SRY	protein_coding
ENSG00000228927	ENST00000457222	Y	1	9398421	9401217	TSPY3	protein_coding
ENSG00000228927	ENST00000440483	Y	1	9398467	9399876	TSPY3	protein_coding
ENSG00000228927	ENST00000424594	Y	1	9398467	9401216	TSPY3	protein_coding
ENSG00000258992	ENST00000423647	Y	1	9466955	9469748	TSPY1	protein_coding
ENSG00000258992	ENST00000451548	Y	1	9466955	9469748	TSPY1	protein_coding
ENSG00000236424	ENST00000428845	Y	1	9527880	9530676	TSPY10	protein_coding
ENSG00000236424	ENST00000444056	Y	1	9527926	9530675	TSPY10	protein_coding
ENSG00000114374	ENST00000453031	Y	1	12847045	12859612	USP9Y	protein_coding
ENSG00000067048	ENST00000360160	Y	1	12904108	12918539	DDX3Y	protein_coding
ENSG00000067048	ENST00000454054	Y	1	12904118	12913853	DDX3Y	protein_coding
ENSG00000067048	ENST00000336079	Y	1	12904831	12920478	DDX3Y	protein_coding
ENSG00000067048	ENST00000440554	Y	1	12905738	12914649	DDX3Y	protein_coding
ENSG00000183878	ENST00000382896	Y	-1	13248379	13480670	UTY	protein_coding
ENSG00000183878	ENST00000537580	Y	-1	13248379	13480670	UTY	protein_coding
ENSG00000183878	ENST00000538878	Y	-1	13248379	13480670	UTY	protein_coding
ENSG00000183878	ENST00000540140	Y	-1	13248379	13480670	UTY	protein_coding
ENSG00000183878	ENST00000545955	Y	-1	13248379	13480670	UTY	protein_coding
ENSG00000183878	ENST00000612274	Y	-1	13248379	13480670	UTY	protein_coding
ENSG00000183878	ENST00000617789	Y	-1	13248379	13480670	UTY	protein_coding
ENSG00000183878	ENST00000618474	Y	-1	13248379	13480670	UTY	protein_coding
ENSG00000183878	ENST00000331397	Y	-1	13248379	13480673	UTY	protein_coding
ENSG00000183878	ENST00000624098	Y	-1	13249856	13479665	UTY	protein_coding
ENSG00000183878	ENST00000362096	Y	-1	13297441	13480670	UTY	protein_coding
ENSG00000183878	ENST00000329134	Y	-1	13323034	13480670	UTY	protein_coding
ENSG00000183878	ENST00000382893	Y	-1	13396302	13479978	UTY	protein_coding
ENSG00000154620	ENST00000284856	Y	1	13703567	13706024	TMSB4Y	protein_coding
ENSG00000129864	ENST00000250825	Y	-1	13985772	13986513	VCY	protein_coding
ENSG00000129862	ENST00000250823	Y	1	14056217	14056958	VCY1B	protein_coding
ENSG00000165246	ENST00000643089	Y	1	14522573	14845639	NLGN4Y	protein_coding
ENSG00000165246	ENST00000382872	Y	1	14522752	14845650	NLGN4Y	protein_coding
ENSG00000165246	ENST00000355905	Y	1	14523746	14843726	NLGN4Y	protein_coding
ENSG00000165246	ENST00000382868	Y	1	14523746	14843726	NLGN4Y	protein_coding
ENSG00000165246	ENST00000645399	Y	1	14523967	14622220	NLGN4Y	protein_coding
ENSG00000165246	ENST00000339174	Y	1	14524574	14843647	NLGN4Y	protein_coding
ENSG00000165246	ENST00000413217	Y	1	14622181	14733549	NLGN4Y	protein_coding
ENSG00000129873	ENST00000544303	Y	-1	17877410	17880218	CDY2B	protein_coding
ENSG00000129873	ENST00000382867	Y	-1	17878260	17880220	CDY2B	protein_coding
ENSG00000182415	ENST00000250838	Y	1	18025787	18027740	CDY2A	protein_coding
ENSG00000182415	ENST00000426790	Y	1	18025789	18028597	CDY2A	protein_coding
ENSG00000172468	ENST00000307393	Y	1	18546671	18548592	HSFY1	protein_coding
ENSG00000172468	ENST00000309834	Y	1	18546691	18588963	HSFY1	protein_coding
ENSG00000172468	ENST00000382856	Y	1	18546720	18551465	HSFY1	protein_coding
ENSG00000169953	ENST00000344884	Y	-1	18731440	18773715	HSFY2	protein_coding
ENSG00000169953	ENST00000382852	Y	-1	18768921	18773686	HSFY2	protein_coding
ENSG00000169953	ENST00000304790	Y	-1	18771814	18773735	HSFY2	protein_coding
ENSG00000012817	ENST00000317961	Y	-1	19705415	19744923	KDM5D	protein_coding
ENSG00000012817	ENST00000541639	Y	-1	19705417	19744939	KDM5D	protein_coding
ENSG00000012817	ENST00000382806	Y	-1	19705420	19744761	KDM5D	protein_coding
ENSG00000012817	ENST00000440077	Y	-1	19706063	19744923	KDM5D	protein_coding
ENSG00000012817	ENST00000415360	Y	-1	19707182	19708949	KDM5D	protein_coding
ENSG00000012817	ENST00000447300	Y	-1	19721272	19744711	KDM5D	protein_coding
ENSG00000198692	ENST00000361365	Y	1	20575725	20593154	EIF1AY	protein_coding
ENSG00000198692	ENST00000382772	Y	1	20575794	20592630	EIF1AY	protein_coding
ENSG00000280969	ENST00000629237	Y	1	20756164	20781032	RPS4Y2	protein_coding
ENSG00000183146	ENST00000382764	Y	-1	21382954	21386360	PRORY	protein_coding
ENSG00000242875	ENST00000383020	Y	1	21511338	21525786	RBMY1B	protein_coding
ENSG00000234414	ENST00000439108	Y	1	21511372	21549318	RBMY1A1	protein_coding
ENSG00000234414	ENST00000303902	Y	1	21511425	21549094	RBMY1A1	protein_coding
ENSG00000242875	ENST00000619219	Y	1	21511425	21549094	RBMY1B	protein_coding
ENSG00000234414	ENST00000382707	Y	1	21534879	21549326	RBMY1A1	protein_coding
ENSG00000244395	ENST00000382680	Y	-1	21880076	21894526	RBMY1D	protein_coding
ENSG00000244395	ENST00000418956	Y	-1	21880308	21894439	RBMY1D	protein_coding
ENSG00000242389	ENST00000382659	Y	-1	21903618	21918067	RBMY1E	protein_coding
ENSG00000242389	ENST00000382658	Y	-1	21903620	21918032	RBMY1E	protein_coding
ENSG00000169807	ENST00000303804	Y	-1	22071756	22096007	PRY2	protein_coding
ENSG00000169800	ENST00000303766	Y	-1	22168542	22182948	RBMY1F	protein_coding
ENSG00000169800	ENST00000454978	Y	-1	22168542	22182982	RBMY1F	protein_coding
ENSG00000226941	ENST00000250831	Y	1	22403470	22417881	RBMY1J	protein_coding
ENSG00000169789	ENST00000303728	Y	1	22490397	22514637	PRY	protein_coding
ENSG00000183753	ENST00000602732	Y	1	22973819	22992376	BPY2	protein_coding
ENSG00000183753	ENST00000331070	Y	1	22984263	23005465	BPY2	protein_coding
ENSG00000183753	ENST00000382585	Y	1	22992344	22998268	BPY2	protein_coding
ENSG00000188120	ENST00000405239	Y	-1	23129355	23199094	DAZ1	protein_coding
ENSG00000188120	ENST00000540248	Y	-1	23129362	23199010	DAZ1	protein_coding
ENSG00000188120	ENST00000382510	Y	-1	23129863	23198923	DAZ1	protein_coding
ENSG00000188120	ENST00000426000	Y	-1	23130710	23199008	DAZ1	protein_coding
ENSG00000188120	ENST00000620725	Y	-1	23131004	23198987	DAZ1	protein_coding
ENSG00000205944	ENST00000400493	Y	1	23219434	23291356	DAZ2	protein_coding
ENSG00000205944	ENST00000449947	Y	1	23219434	23291356	DAZ2	protein_coding
ENSG00000205944	ENST00000382449	Y	1	23219447	23291356	DAZ2	protein_coding
ENSG00000205944	ENST00000382294	Y	1	23219457	23291356	DAZ2	protein_coding
ENSG00000205944	ENST00000382306	Y	1	23219457	23291356	DAZ2	protein_coding
ENSG00000205944	ENST00000382424	Y	1	23219457	23291356	DAZ2	protein_coding
ENSG00000205944	ENST00000382431	Y	1	23219457	23291356	DAZ2	protein_coding
ENSG00000205944	ENST00000382440	Y	1	23219475	23291352	DAZ2	protein_coding
ENSG00000205944	ENST00000382433	Y	1	23219548	23289999	DAZ2	protein_coding
ENSG00000172352	ENST00000306882	Y	-1	24045229	24047969	CDY1B	protein_coding
ENSG00000172352	ENST00000382407	Y	-1	24045793	24048019	CDY1B	protein_coding
ENSG00000183795	ENST00000602770	Y	1	24607560	24626117	BPY2B	protein_coding
ENSG00000183795	ENST00000382392	Y	1	24618004	24639207	BPY2B	protein_coding
ENSG00000183795	ENST00000615850	Y	1	24626085	24632010	BPY2B	protein_coding
ENSG00000187191	ENST00000315357	Y	-1	24763069	24813469	DAZ3	protein_coding
ENSG00000187191	ENST00000382365	Y	-1	24763069	24813479	DAZ3	protein_coding
ENSG00000187191	ENST00000446723	Y	-1	24763069	24813492	DAZ3	protein_coding
ENSG00000205916	ENST00000415508	Y	1	24833843	24907040	DAZ4	protein_coding
ENSG00000205916	ENST00000382314	Y	1	24833917	24907036	DAZ4	protein_coding
ENSG00000205916	ENST00000449750	Y	1	24833917	24907036	DAZ4	protein_coding
ENSG00000205916	ENST00000382432	Y	1	24833934	24905683	DAZ4	protein_coding
ENSG00000205916	ENST00000440066	Y	1	24833940	24905391	DAZ4	protein_coding
ENSG00000205916	ENST00000382296	Y	1	24834127	24905240	DAZ4	protein_coding
ENSG00000205916	ENST00000634662	Y	1	24834127	24905240	DAZ4	protein_coding
ENSG00000185894	ENST00000382287	Y	-1	25030901	25052104	BPY2C	protein_coding
ENSG00000185894	ENST00000618574	Y	-1	25038098	25044023	BPY2C	protein_coding
ENSG00000185894	ENST00000602680	Y	-1	25043991	25062548	BPY2C	protein_coding
ENSG00000172288	ENST00000361963	Y	1	25622162	25624338	CDY1	protein_coding
ENSG00000172288	ENST00000306609	Y	1	25622162	25624902	CDY1	protein_coding
