ENSG00000176269	ENST00000320901	8	-1	166049	167043	OR4F21	protein_coding
ENSG00000178287	ENST00000434307	8	1	7847880	7860965	SPAG11A	protein_coding
ENSG00000178287	ENST00000642566	8	1	7847896	7860930	SPAG11A	protein_coding
ENSG00000178287	ENST00000326558	8	1	7848024	7863797	SPAG11A	protein_coding
ENSG00000178287	ENST00000351436	8	1	7848024	7863797	SPAG11A	protein_coding
ENSG00000178287	ENST00000528033	8	1	7848099	7868867	SPAG11A	protein_coding
ENSG00000178287	ENST00000326625	8	1	7859178	7860982	SPAG11A	protein_coding
ENSG00000178287	ENST00000454911	8	1	7859178	7860982	SPAG11A	protein_coding
ENSG00000176797	ENST00000314357	8	1	7881204	7882664	DEFB103A	protein_coding
ENSG00000171711	ENST00000302247	8	1	7894629	7896711	DEFB4A	protein_coding
ENSG00000215356	ENST00000400120	8	1	7926337	7952413	ZNF705B	protein_coding
ENSG00000237038	ENST00000527080	8	-1	7971661	7973253	USP17L8	protein_coding
ENSG00000225327	ENST00000530484	8	-1	7976393	7977985	USP17L3	protein_coding
ENSG00000275342	ENST00000622241	8	-1	8317736	8381747	PRAG1	protein_coding
ENSG00000275342	ENST00000615670	8	-1	8317737	8386498	PRAG1	protein_coding
ENSG00000253958	ENST00000519106	8	1	8701938	8704106	CLDN23	protein_coding
ENSG00000147324	ENST00000276282	8	-1	8783354	8893645	MFHAS1	protein_coding
ENSG00000104626	ENST00000523898	8	1	9002147	9033341	ERI1	protein_coding
ENSG00000104626	ENST00000250263	8	1	9002804	9033339	ERI1	protein_coding
ENSG00000104626	ENST00000519292	8	1	9002844	9033338	ERI1	protein_coding
ENSG00000173281	ENST00000310455	8	-1	9136255	9150696	PPP1R3B	protein_coding
ENSG00000173281	ENST00000519699	8	-1	9139563	9151574	PPP1R3B	protein_coding
ENSG00000173273	ENST00000520408	8	1	9555914	9710409	TNKS	protein_coding
ENSG00000173273	ENST00000310430	8	1	9555914	9782346	TNKS	protein_coding
ENSG00000173273	ENST00000522110	8	1	9555932	9558831	TNKS	protein_coding
ENSG00000173273	ENST00000518281	8	1	9575007	9776929	TNKS	protein_coding
ENSG00000173273	ENST00000517770	8	1	9770131	9777036	TNKS	protein_coding
ENSG00000175806	ENST00000317173	8	1	10054268	10428891	MSRA	protein_coding
ENSG00000175806	ENST00000441698	8	1	10054370	10428365	MSRA	protein_coding
ENSG00000175806	ENST00000518255	8	1	10054501	10337823	MSRA	protein_coding
ENSG00000175806	ENST00000521209	8	1	10058970	10250917	MSRA	protein_coding
ENSG00000175806	ENST00000522907	8	1	10095551	10319891	MSRA	protein_coding
ENSG00000175806	ENST00000528246	8	1	10095552	10428885	MSRA	protein_coding
ENSG00000175806	ENST00000382490	8	1	10095727	10428889	MSRA	protein_coding
ENSG00000175806	ENST00000521686	8	1	10301535	10353963	MSRA	protein_coding
ENSG00000253649	ENST00000647010	8	-1	10494854	10517954	PRSS51	protein_coding
ENSG00000253649	ENST00000636217	8	-1	10494854	10518015	PRSS51	protein_coding
ENSG00000253649	ENST00000637190	8	-1	10494854	10547557	PRSS51	protein_coding
ENSG00000253649	ENST00000647727	8	-1	10496326	10517983	PRSS51	protein_coding
ENSG00000184647	ENST00000328655	8	1	10525546	10538818	PRSS55	protein_coding
ENSG00000184647	ENST00000522210	8	1	10525546	10554166	PRSS55	protein_coding
ENSG00000183638	ENST00000382483	8	-1	10606349	10655102	RP1L1	protein_coding
ENSG00000171060	ENST00000304519	8	1	10672637	10700593	C8orf74	protein_coding
ENSG00000171060	ENST00000521818	8	1	10672671	10692971	C8orf74	protein_coding
ENSG00000171056	ENST00000304501	8	-1	10723768	10730512	SOX7	protein_coding
ENSG00000258724	ENST00000554914	8	-1	10725399	10839847	PINX1	protein_coding
ENSG00000254093	ENST00000314787	8	-1	10764963	10839876	PINX1	protein_coding
ENSG00000254093	ENST00000519088	8	-1	10765159	10839876	PINX1	protein_coding
ENSG00000254093	ENST00000524114	8	-1	10765823	10839771	PINX1	protein_coding
ENSG00000171044	ENST00000382461	8	-1	10896045	11002481	XKR6	protein_coding
ENSG00000171044	ENST00000416569	8	-1	10896523	11201366	XKR6	protein_coding
ENSG00000171044	ENST00000297303	8	-1	11194436	11201339	XKR6	protein_coding
ENSG00000104643	ENST00000221086	8	1	11284416	11328146	MTMR9	protein_coding
ENSG00000104643	ENST00000526292	8	1	11285094	11323057	MTMR9	protein_coding
ENSG00000177710	ENST00000382435	8	1	11330888	11332208	SLC35G5	protein_coding
ENSG00000154319	ENST00000284486	8	-1	11421463	11466767	FAM167A	protein_coding
ENSG00000154319	ENST00000534308	8	-1	11423851	11444886	FAM167A	protein_coding
ENSG00000154319	ENST00000528897	8	-1	11424018	11445369	FAM167A	protein_coding
ENSG00000154319	ENST00000648766	8	-1	11444031	11475908	FAM167A	protein_coding
ENSG00000154319	ENST00000531804	8	-1	11444138	11467594	FAM167A	protein_coding
ENSG00000136573	ENST00000645242	8	1	11486894	11564598	BLK	protein_coding
ENSG00000136573	ENST00000259089	8	1	11494001	11564604	BLK	protein_coding
ENSG00000136573	ENST00000529894	8	1	11494390	11564528	BLK	protein_coding
ENSG00000136574	ENST00000528712	8	1	11676959	11760000	GATA4	protein_coding
ENSG00000136574	ENST00000532977	8	1	11676960	11708360	GATA4	protein_coding
ENSG00000136574	ENST00000526974	8	1	11692626	11708381	GATA4	protein_coding
ENSG00000136574	ENST00000526716	8	1	11704151	11757082	GATA4	protein_coding
ENSG00000136574	ENST00000335135	8	1	11704204	11760002	GATA4	protein_coding
ENSG00000136574	ENST00000528027	8	1	11704222	11708662	GATA4	protein_coding
ENSG00000136574	ENST00000532059	8	1	11708233	11758522	GATA4	protein_coding
ENSG00000136574	ENST00000622443	8	1	11708313	11759131	GATA4	protein_coding
ENSG00000154328	ENST00000436750	8	1	11769639	11787345	NEIL2	protein_coding
ENSG00000154328	ENST00000455213	8	1	11769699	11787340	NEIL2	protein_coding
ENSG00000154328	ENST00000403422	8	1	11769709	11787345	NEIL2	protein_coding
ENSG00000154328	ENST00000528323	8	1	11769710	11786374	NEIL2	protein_coding
ENSG00000154328	ENST00000284503	8	1	11769739	11787346	NEIL2	protein_coding
ENSG00000079459	ENST00000538689	8	1	11795573	11839304	FDFT1	protein_coding
ENSG00000079459	ENST00000615631	8	1	11795573	11839304	FDFT1	protein_coding
ENSG00000079459	ENST00000618539	8	1	11795573	11839304	FDFT1	protein_coding
ENSG00000079459	ENST00000530337	8	1	11802239	11821818	FDFT1	protein_coding
ENSG00000079459	ENST00000623368	8	1	11802611	11839304	FDFT1	protein_coding
ENSG00000079459	ENST00000220584	8	1	11802611	11839309	FDFT1	protein_coding
ENSG00000079459	ENST00000443614	8	1	11802739	11838783	FDFT1	protein_coding
ENSG00000079459	ENST00000525900	8	1	11802766	11838905	FDFT1	protein_coding
ENSG00000079459	ENST00000528812	8	1	11803012	11838960	FDFT1	protein_coding
ENSG00000079459	ENST00000622850	8	1	11803089	11839304	FDFT1	protein_coding
ENSG00000079459	ENST00000530664	8	1	11807943	11838840	FDFT1	protein_coding
ENSG00000079459	ENST00000525954	8	1	11808417	11838967	FDFT1	protein_coding
ENSG00000079459	ENST00000528643	8	1	11809144	11839114	FDFT1	protein_coding
ENSG00000079459	ENST00000525777	8	1	11809256	11838613	FDFT1	protein_coding
ENSG00000164733	ENST00000353047	8	-1	11842524	11868229	CTSB	protein_coding
ENSG00000164733	ENST00000530640	8	-1	11844053	11868112	CTSB	protein_coding
ENSG00000164733	ENST00000531089	8	-1	11844094	11868112	CTSB	protein_coding
ENSG00000164733	ENST00000453527	8	-1	11844320	11868087	CTSB	protein_coding
ENSG00000164733	ENST00000345125	8	-1	11844340	11868079	CTSB	protein_coding
ENSG00000164733	ENST00000533455	8	-1	11844355	11868106	CTSB	protein_coding
ENSG00000164733	ENST00000534510	8	-1	11844370	11868106	CTSB	protein_coding
ENSG00000164733	ENST00000534636	8	-1	11848074	11868052	CTSB	protein_coding
ENSG00000164733	ENST00000533572	8	-1	11848089	11867693	CTSB	protein_coding
ENSG00000164733	ENST00000530296	8	-1	11848104	11868917	CTSB	protein_coding
ENSG00000164733	ENST00000526195	8	-1	11849046	11868735	CTSB	protein_coding
ENSG00000164733	ENST00000527243	8	-1	11849061	11862468	CTSB	protein_coding
ENSG00000164733	ENST00000534149	8	-1	11849062	11868739	CTSB	protein_coding
ENSG00000164733	ENST00000526645	8	-1	11849084	11868713	CTSB	protein_coding
ENSG00000164733	ENST00000505496	8	-1	11850889	11868040	CTSB	protein_coding
ENSG00000164733	ENST00000524500	8	-1	11850897	11868070	CTSB	protein_coding
ENSG00000164733	ENST00000531502	8	-1	11850917	11868118	CTSB	protein_coding
ENSG00000164733	ENST00000532656	8	-1	11852610	11868114	CTSB	protein_coding
ENSG00000164733	ENST00000534382	8	-1	11852610	11869448	CTSB	protein_coding
ENSG00000164733	ENST00000527215	8	-1	11852617	11868089	CTSB	protein_coding
ENSG00000164733	ENST00000528965	8	-1	11852656	11867530	CTSB	protein_coding
ENSG00000164733	ENST00000524654	8	-1	11853358	11854925	CTSB	protein_coding
ENSG00000164733	ENST00000532392	8	-1	11853393	11868089	CTSB	protein_coding
ENSG00000205884	ENST00000382209	8	-1	11973937	11974599	DEFB136	protein_coding
ENSG00000205883	ENST00000382208	8	1	11982321	11984590	DEFB135	protein_coding
ENSG00000205882	ENST00000526438	8	-1	11993174	11996312	DEFB134	protein_coding
ENSG00000205882	ENST00000382205	8	-1	11993928	11996312	DEFB134	protein_coding
ENSG00000233050	ENST00000437818	8	-1	12064389	12071747	DEFB130B	protein_coding
ENSG00000215343	ENST00000400085	8	1	12104389	12115516	ZNF705D	protein_coding
ENSG00000215343	ENST00000400078	8	1	12108172	12113158	ZNF705D	protein_coding
ENSG00000226430	ENST00000530447	8	-1	12132417	12134438	USP17L7	protein_coding
ENSG00000223443	ENST00000333796	8	-1	12137168	12139077	USP17L2	protein_coding
ENSG00000186523	ENST00000448228	8	-1	12182451	12194120	FAM86B1	protein_coding
ENSG00000186523	ENST00000533852	8	-1	12182556	12194070	FAM86B1	protein_coding
ENSG00000186523	ENST00000534520	8	-1	12185149	12194127	FAM86B1	protein_coding
ENSG00000186523	ENST00000524571	8	-1	12186062	12194067	FAM86B1	protein_coding
ENSG00000186523	ENST00000533513	8	-1	12186454	12194073	FAM86B1	protein_coding
ENSG00000232948	ENST00000400079	8	-1	12310962	12318316	DEFB130A	protein_coding
ENSG00000145002	ENST00000262365	8	-1	12425614	12436343	FAM86B2	protein_coding
ENSG00000145002	ENST00000309608	8	-1	12425761	12436298	FAM86B2	protein_coding
ENSG00000145002	ENST00000527331	8	-1	12425895	12436343	FAM86B2	protein_coding
ENSG00000145002	ENST00000532480	8	-1	12427734	12436343	FAM86B2	protein_coding
ENSG00000154359	ENST00000398246	8	-1	12721894	12755490	LONRF1	protein_coding
ENSG00000154359	ENST00000525024	8	-1	12722944	12729387	LONRF1	protein_coding
ENSG00000154359	ENST00000533751	8	-1	12722971	12754342	LONRF1	protein_coding
ENSG00000154359	ENST00000524526	8	-1	12722981	12737095	LONRF1	protein_coding
ENSG00000250305	ENST00000447063	8	1	12945642	13031503	TRMT9B	protein_coding
ENSG00000250305	ENST00000524591	8	1	12945677	13029777	TRMT9B	protein_coding
ENSG00000250305	ENST00000400069	8	1	12951332	13007670	TRMT9B	protein_coding
ENSG00000250305	ENST00000528753	8	1	12951635	13007671	TRMT9B	protein_coding
ENSG00000250305	ENST00000532376	8	1	12952022	13012692	TRMT9B	protein_coding
ENSG00000164741	ENST00000276297	8	-1	13083361	13514886	DLC1	protein_coding
ENSG00000164741	ENST00000358919	8	-1	13085189	13133474	DLC1	protein_coding
ENSG00000164741	ENST00000512044	8	-1	13085577	13276546	DLC1	protein_coding
ENSG00000164741	ENST00000520226	8	-1	13085593	13116244	DLC1	protein_coding
ENSG00000164741	ENST00000503161	8	-1	13100606	13276873	DLC1	protein_coding
ENSG00000164741	ENST00000316609	8	-1	13214575	13514765	DLC1	protein_coding
ENSG00000164741	ENST00000511869	8	-1	13304577	13514887	DLC1	protein_coding
ENSG00000164741	ENST00000517868	8	-1	13498859	13499241	DLC1	protein_coding
ENSG00000164741	ENST00000631382	8	-1	13499705	13604606	DLC1	protein_coding
ENSG00000164743	ENST00000297324	8	1	13566843	13568287	C8orf48	protein_coding
ENSG00000185053	ENST00000382080	8	-1	14089864	15238339	SGCZ	protein_coding
ENSG00000185053	ENST00000421524	8	-1	14090374	14554926	SGCZ	protein_coding
ENSG00000104723	ENST00000382020	8	1	15540223	15766649	TUSC3	protein_coding
ENSG00000104723	ENST00000506802	8	1	15540233	15764613	TUSC3	protein_coding
ENSG00000104723	ENST00000509380	8	1	15540281	15733645	TUSC3	protein_coding
ENSG00000104723	ENST00000503731	8	1	15540283	15764459	TUSC3	protein_coding
ENSG00000104723	ENST00000511783	8	1	15623080	15758277	TUSC3	protein_coding
ENSG00000038945	ENST00000350896	8	-1	16107878	16192791	MSR1	protein_coding
ENSG00000038945	ENST00000262101	8	-1	16109431	16192715	MSR1	protein_coding
ENSG00000038945	ENST00000445506	8	-1	16110046	16186272	MSR1	protein_coding
ENSG00000038945	ENST00000355282	8	-1	16110085	16177988	MSR1	protein_coding
ENSG00000038945	ENST00000522672	8	-1	16120889	16164251	MSR1	protein_coding
ENSG00000038945	ENST00000381998	8	-1	16139319	16192659	MSR1	protein_coding
ENSG00000038945	ENST00000518960	8	-1	16175210	16215074	MSR1	protein_coding
ENSG00000038945	ENST00000518026	8	-1	16175263	16567362	MSR1	protein_coding
ENSG00000078579	ENST00000180166	8	-1	16992169	17002181	FGF20	protein_coding
ENSG00000078579	ENST00000519941	8	-1	16992978	17001840	FGF20	protein_coding
ENSG00000155970	ENST00000318063	8	1	17027238	17122644	MICU3	protein_coding
ENSG00000155970	ENST00000519044	8	1	17064130	17120290	MICU3	protein_coding
ENSG00000155970	ENST00000517398	8	1	17064185	17081967	MICU3	protein_coding
ENSG00000104219	ENST00000262096	8	1	17156029	17224799	ZDHHC2	protein_coding
ENSG00000104219	ENST00000523132	8	1	17157434	17184815	ZDHHC2	protein_coding
ENSG00000104219	ENST00000522184	8	1	17162799	17205704	ZDHHC2	protein_coding
ENSG00000198791	ENST00000361272	8	-1	17224964	17246878	CNOT7	protein_coding
ENSG00000198791	ENST00000518541	8	-1	17230568	17234860	CNOT7	protein_coding
ENSG00000198791	ENST00000523917	8	-1	17231570	17246878	CNOT7	protein_coding
ENSG00000198791	ENST00000519918	8	-1	17234593	17245091	CNOT7	protein_coding
ENSG00000198791	ENST00000524358	8	-1	17237242	17246609	CNOT7	protein_coding
ENSG00000198791	ENST00000520178	8	-1	17243181	17246448	CNOT7	protein_coding
ENSG00000198791	ENST00000628418	8	-1	17243507	17246855	CNOT7	protein_coding
ENSG00000155975	ENST00000324849	8	1	17246571	17298024	VPS37A	protein_coding
ENSG00000155975	ENST00000518038	8	1	17246938	17268372	VPS37A	protein_coding
ENSG00000155975	ENST00000521829	8	1	17247123	17295052	VPS37A	protein_coding
ENSG00000155975	ENST00000521005	8	1	17247244	17248007	VPS37A	protein_coding
ENSG00000155975	ENST00000521976	8	1	17276436	17286611	VPS37A	protein_coding
ENSG00000003987	ENST00000180173	8	-1	17298030	17413327	MTMR7	protein_coding
ENSG00000003987	ENST00000521857	8	-1	17301651	17413327	MTMR7	protein_coding
ENSG00000003989	ENST00000494857	8	1	17497088	17570573	SLC7A2	protein_coding
ENSG00000003989	ENST00000522656	8	1	17497091	17565274	SLC7A2	protein_coding
ENSG00000003989	ENST00000470360	8	1	17497215	17570573	SLC7A2	protein_coding
ENSG00000003989	ENST00000004531	8	1	17538777	17570561	SLC7A2	protein_coding
ENSG00000003989	ENST00000398090	8	1	17538777	17570561	SLC7A2	protein_coding
ENSG00000003989	ENST00000640220	8	1	17538870	17565162	SLC7A2	protein_coding
ENSG00000104213	ENST00000251630	8	1	17576433	17643133	PDGFRL	protein_coding
ENSG00000104213	ENST00000541323	8	1	17576433	17643133	PDGFRL	protein_coding
ENSG00000129422	ENST00000544260	8	-1	17643795	17722575	MTUS1	protein_coding
ENSG00000129422	ENST00000381869	8	-1	17643795	17800917	MTUS1	protein_coding
ENSG00000129422	ENST00000297488	8	-1	17643799	17697670	MTUS1	protein_coding
ENSG00000129422	ENST00000381861	8	-1	17643804	17722221	MTUS1	protein_coding
ENSG00000129422	ENST00000262102	8	-1	17643804	17800668	MTUS1	protein_coding
ENSG00000129422	ENST00000519263	8	-1	17645662	17755981	MTUS1	protein_coding
ENSG00000129422	ENST00000634613	8	-1	17645926	17676493	MTUS1	protein_coding
ENSG00000129422	ENST00000519066	8	-1	17674735	17676494	MTUS1	protein_coding
ENSG00000104760	ENST00000398056	8	-1	17864380	17910365	FGL1	protein_coding
ENSG00000104760	ENST00000522444	8	-1	17864389	17885779	FGL1	protein_coding
ENSG00000104760	ENST00000381840	8	-1	17864393	17895404	FGL1	protein_coding
ENSG00000104760	ENST00000398054	8	-1	17864393	17895404	FGL1	protein_coding
ENSG00000104760	ENST00000381841	8	-1	17864393	17895538	FGL1	protein_coding
ENSG00000104760	ENST00000427924	8	-1	17864393	17895538	FGL1	protein_coding
ENSG00000104760	ENST00000518650	8	-1	17864584	17891809	FGL1	protein_coding
ENSG00000078674	ENST00000325083	8	1	17922840	18027968	PCM1	protein_coding
ENSG00000078674	ENST00000327578	8	1	17922857	18029944	PCM1	protein_coding
ENSG00000078674	ENST00000517730	8	1	17922990	17960103	PCM1	protein_coding
ENSG00000078674	ENST00000518537	8	1	17922999	17955955	PCM1	protein_coding
ENSG00000078674	ENST00000523055	8	1	17923010	17953123	PCM1	protein_coding
ENSG00000078674	ENST00000519253	8	1	17923028	18027803	PCM1	protein_coding
ENSG00000078674	ENST00000524226	8	1	17924744	18027975	PCM1	protein_coding
ENSG00000078674	ENST00000522275	8	1	17972583	18027747	PCM1	protein_coding
ENSG00000104763	ENST00000637790	8	-1	18055992	18084370	ASAH1	protein_coding
ENSG00000104763	ENST00000262097	8	-1	18056416	18084370	ASAH1	protein_coding
ENSG00000104763	ENST00000520781	8	-1	18056452	18084108	ASAH1	protein_coding
ENSG00000104763	ENST00000381733	8	-1	18056455	18084998	ASAH1	protein_coding
ENSG00000104763	ENST00000637991	8	-1	18056456	18084961	ASAH1	protein_coding
ENSG00000104763	ENST00000636691	8	-1	18056459	18083408	ASAH1	protein_coding
ENSG00000104763	ENST00000637528	8	-1	18056459	18084073	ASAH1	protein_coding
ENSG00000104763	ENST00000637922	8	-1	18056462	18076037	ASAH1	protein_coding
ENSG00000104763	ENST00000636171	8	-1	18056466	18084142	ASAH1	protein_coding
ENSG00000104763	ENST00000635756	8	-1	18056546	18062348	ASAH1	protein_coding
ENSG00000104763	ENST00000636577	8	-1	18056571	18084096	ASAH1	protein_coding
ENSG00000104763	ENST00000637636	8	-1	18056753	18084313	ASAH1	protein_coding
ENSG00000104763	ENST00000636128	8	-1	18056809	18084074	ASAH1	protein_coding
