ENSG00000173213	ENST00000308911	18	-1	47390	49557	TUBB8P12	protein_coding
ENSG00000198081	ENST00000614697	18	-1	5289020	5297053	ZBTB14	protein_coding
ENSG00000198081	ENST00000400143	18	-1	5290858	5296195	ZBTB14	protein_coding
ENSG00000198081	ENST00000582388	18	-1	5291545	5295702	ZBTB14	protein_coding
ENSG00000198081	ENST00000582135	18	-1	5291712	5297053	ZBTB14	protein_coding
ENSG00000198081	ENST00000578327	18	-1	5291901	5294824	ZBTB14	protein_coding
ENSG00000082397	ENST00000544123	18	-1	5392381	5540556	EPB41L3	protein_coding
ENSG00000082397	ENST00000342933	18	-1	5392381	5544310	EPB41L3	protein_coding
ENSG00000082397	ENST00000341928	18	-1	5392384	5544242	EPB41L3	protein_coding
ENSG00000082397	ENST00000400111	18	-1	5392433	5543967	EPB41L3	protein_coding
ENSG00000082397	ENST00000540638	18	-1	5393093	5544281	EPB41L3	protein_coding
ENSG00000082397	ENST00000545076	18	-1	5393103	5628991	EPB41L3	protein_coding
ENSG00000082397	ENST00000579951	18	-1	5394783	5396332	EPB41L3	protein_coding
ENSG00000082397	ENST00000578524	18	-1	5396201	5419813	EPB41L3	protein_coding
ENSG00000082397	ENST00000581292	18	-1	5397158	5419800	EPB41L3	protein_coding
ENSG00000082397	ENST00000581387	18	-1	5397393	5419815	EPB41L3	protein_coding
ENSG00000082397	ENST00000579271	18	-1	5397395	5419801	EPB41L3	protein_coding
ENSG00000082397	ENST00000580647	18	-1	5397398	5419794	EPB41L3	protein_coding
ENSG00000082397	ENST00000580316	18	-1	5398113	5423407	EPB41L3	protein_coding
ENSG00000082397	ENST00000584670	18	-1	5419799	5540396	EPB41L3	protein_coding
ENSG00000082397	ENST00000578503	18	-1	5445140	5489250	EPB41L3	protein_coding
ENSG00000082397	ENST00000584651	18	-1	5445140	5528999	EPB41L3	protein_coding
ENSG00000082397	ENST00000580308	18	-1	5478241	5489370	EPB41L3	protein_coding
ENSG00000082397	ENST00000584015	18	-1	5478241	5543420	EPB41L3	protein_coding
ENSG00000082397	ENST00000580989	18	-1	5478247	5521423	EPB41L3	protein_coding
ENSG00000082397	ENST00000581833	18	-1	5478272	5540472	EPB41L3	protein_coding
ENSG00000082397	ENST00000585142	18	-1	5478283	5540556	EPB41L3	protein_coding
ENSG00000082397	ENST00000582703	18	-1	5478350	5540415	EPB41L3	protein_coding
ENSG00000082397	ENST00000580179	18	-1	5478383	5540424	EPB41L3	protein_coding
ENSG00000082397	ENST00000582592	18	-1	5478399	5577648	EPB41L3	protein_coding
ENSG00000206432	ENST00000581347	18	-1	5882072	5895955	TMEM200C	protein_coding
ENSG00000206432	ENST00000383490	18	-1	5890185	5892104	TMEM200C	protein_coding
ENSG00000154655	ENST00000400105	18	-1	5954706	6367683	L3MBTL4	protein_coding
ENSG00000154655	ENST00000317931	18	-1	5954706	6414911	L3MBTL4	protein_coding
ENSG00000154655	ENST00000400104	18	-1	6029387	6414911	L3MBTL4	protein_coding
ENSG00000154655	ENST00000583054	18	-1	6239799	6326721	L3MBTL4	protein_coding
ENSG00000154655	ENST00000583809	18	-1	6243386	6414798	L3MBTL4	protein_coding
ENSG00000154655	ENST00000581231	18	-1	6244567	6415237	L3MBTL4	protein_coding
ENSG00000088756	ENST00000383472	18	1	6729718	6912155	ARHGAP28	protein_coding
ENSG00000088756	ENST00000583410	18	1	6729946	6824964	ARHGAP28	protein_coding
ENSG00000088756	ENST00000584387	18	1	6730043	6851107	ARHGAP28	protein_coding
ENSG00000088756	ENST00000532723	18	1	6774002	6837378	ARHGAP28	protein_coding
ENSG00000088756	ENST00000262227	18	1	6788494	6898719	ARHGAP28	protein_coding
ENSG00000088756	ENST00000581099	18	1	6834475	6868234	ARHGAP28	protein_coding
ENSG00000088756	ENST00000419673	18	1	6834475	6915716	ARHGAP28	protein_coding
ENSG00000088756	ENST00000531294	18	1	6834480	6912415	ARHGAP28	protein_coding
ENSG00000088756	ENST00000314319	18	1	6837193	6915700	ARHGAP28	protein_coding
ENSG00000088756	ENST00000532996	18	1	6850791	6898721	ARHGAP28	protein_coding
ENSG00000088756	ENST00000579689	18	1	6873466	6890048	ARHGAP28	protein_coding
ENSG00000101680	ENST00000389658	18	-1	6941744	7117814	LAMA1	protein_coding
ENSG00000101680	ENST00000638611	18	-1	6956435	6966214	LAMA1	protein_coding
ENSG00000206422	ENST00000383467	18	1	7231125	7232047	LRRC30	protein_coding
ENSG00000173482	ENST00000580170	18	1	7566782	8406668	PTPRM	protein_coding
ENSG00000173482	ENST00000332175	18	1	7566782	8406861	PTPRM	protein_coding
ENSG00000173482	ENST00000400053	18	1	7754973	8406856	PTPRM	protein_coding
ENSG00000173482	ENST00000400060	18	1	7774140	8406858	PTPRM	protein_coding
ENSG00000173482	ENST00000578916	18	1	7946870	8069712	PTPRM	protein_coding
ENSG00000173482	ENST00000583289	18	1	8085702	8143778	PTPRM	protein_coding
ENSG00000173482	ENST00000577468	18	1	8113571	8296455	PTPRM	protein_coding
ENSG00000173482	ENST00000583153	18	1	8370933	8379313	PTPRM	protein_coding
ENSG00000206418	ENST00000649141	18	1	8609437	8639381	RAB12	protein_coding
ENSG00000206418	ENST00000329286	18	1	8609445	8639382	RAB12	protein_coding
ENSG00000168502	ENST00000306329	18	1	8705661	8828946	MTCL1	protein_coding
ENSG00000168502	ENST00000517570	18	1	8707411	8832777	MTCL1	protein_coding
ENSG00000168502	ENST00000359865	18	1	8717371	8832778	MTCL1	protein_coding
ENSG00000168502	ENST00000523122	18	1	8717759	8718592	MTCL1	protein_coding
ENSG00000168502	ENST00000400050	18	1	8717898	8832777	MTCL1	protein_coding
ENSG00000168502	ENST00000518815	18	1	8789674	8832778	MTCL1	protein_coding
ENSG00000178127	ENST00000318388	18	1	9102630	9134345	NDUFV2	protein_coding
ENSG00000178127	ENST00000497577	18	1	9102695	9103856	NDUFV2	protein_coding
ENSG00000178127	ENST00000400033	18	1	9104082	9134345	NDUFV2	protein_coding
ENSG00000101745	ENST00000585234	18	1	9136228	9195597	ANKRD12	protein_coding
ENSG00000101745	ENST00000262126	18	1	9136777	9285985	ANKRD12	protein_coding
ENSG00000101745	ENST00000577992	18	1	9136796	9182470	ANKRD12	protein_coding
ENSG00000101745	ENST00000400020	18	1	9137563	9283759	ANKRD12	protein_coding
ENSG00000101745	ENST00000546007	18	1	9182386	9254273	ANKRD12	protein_coding
ENSG00000128791	ENST00000262120	18	1	9334767	9402420	TWSG1	protein_coding
ENSG00000128791	ENST00000581641	18	1	9334850	9397067	TWSG1	protein_coding
ENSG00000017797	ENST00000019317	18	1	9475009	9538114	RALBP1	protein_coding
ENSG00000017797	ENST00000585015	18	1	9475454	9517158	RALBP1	protein_coding
ENSG00000017797	ENST00000609094	18	1	9475670	9520199	RALBP1	protein_coding
ENSG00000017797	ENST00000383432	18	1	9475670	9538116	RALBP1	protein_coding
ENSG00000017797	ENST00000458039	18	1	9476127	9517221	RALBP1	protein_coding
ENSG00000017797	ENST00000577221	18	1	9476135	9513056	RALBP1	protein_coding
ENSG00000154845	ENST00000400556	18	-1	9546791	9614558	PPP4R1	protein_coding
ENSG00000154845	ENST00000400555	18	-1	9546791	9614569	PPP4R1	protein_coding
ENSG00000154845	ENST00000584074	18	-1	9588091	9614895	PPP4R1	protein_coding
ENSG00000154845	ENST00000581250	18	-1	9588114	9614295	PPP4R1	protein_coding
ENSG00000154845	ENST00000580745	18	-1	9588138	9615240	PPP4R1	protein_coding
ENSG00000154845	ENST00000582240	18	-1	9588209	9615189	PPP4R1	protein_coding
ENSG00000154845	ENST00000581835	18	-1	9588729	9614287	PPP4R1	protein_coding
ENSG00000168461	ENST00000578921	18	1	9708165	9862551	RAB31	protein_coding
ENSG00000168454	ENST00000611534	18	1	9885726	9888141	TXNDC2	protein_coding
ENSG00000168454	ENST00000536353	18	1	9885766	9888380	TXNDC2	protein_coding
ENSG00000168454	ENST00000584255	18	1	9885778	9886930	TXNDC2	protein_coding
ENSG00000168454	ENST00000357775	18	1	9885938	9889275	TXNDC2	protein_coding
ENSG00000168454	ENST00000306084	18	1	9885976	9888153	TXNDC2	protein_coding
ENSG00000101558	ENST00000400000	18	1	9914002	9960021	VAPA	protein_coding
ENSG00000101558	ENST00000340541	18	1	9914062	9954358	VAPA	protein_coding
ENSG00000154856	ENST00000578882	18	1	10454982	10487663	APCDD1	protein_coding
ENSG00000154856	ENST00000584596	18	1	10471836	10477878	APCDD1	protein_coding
ENSG00000134265	ENST00000322897	18	1	10526034	10552760	NAPG	protein_coding
ENSG00000134265	ENST00000582472	18	1	10526412	10540015	NAPG	protein_coding
ENSG00000154864	ENST00000582937	18	-1	10666483	10672747	PIEZO2	protein_coding
ENSG00000154864	ENST00000302079	18	-1	10670241	11148588	PIEZO2	protein_coding
ENSG00000154864	ENST00000383408	18	-1	10670248	11148762	PIEZO2	protein_coding
ENSG00000154864	ENST00000503781	18	-1	10671527	11148588	PIEZO2	protein_coding
ENSG00000154864	ENST00000580640	18	-1	10671527	11148588	PIEZO2	protein_coding
ENSG00000154864	ENST00000643712	18	-1	10705336	10714930	PIEZO2	protein_coding
ENSG00000154864	ENST00000579949	18	-1	10737663	10748500	PIEZO2	protein_coding
ENSG00000154864	ENST00000579112	18	-1	10797497	10855436	PIEZO2	protein_coding
ENSG00000236396	ENST00000588001	18	1	11609596	11610612	SLC35G4	protein_coding
ENSG00000141404	ENST00000334049	18	1	11688956	11885685	GNAL	protein_coding
ENSG00000141404	ENST00000535121	18	1	11751472	11881135	GNAL	protein_coding
ENSG00000141404	ENST00000269162	18	1	11751508	11881410	GNAL	protein_coding
ENSG00000141404	ENST00000423027	18	1	11752113	11881923	GNAL	protein_coding
ENSG00000141404	ENST00000585642	18	1	11752806	11868584	GNAL	protein_coding
ENSG00000141404	ENST00000590228	18	1	11753548	11868586	GNAL	protein_coding
ENSG00000255112	ENST00000526991	18	1	11851396	11854449	CHMP1B	protein_coding
ENSG00000141404	ENST00000602628	18	1	11857440	11881172	GNAL	protein_coding
ENSG00000141404	ENST00000586926	18	1	11872301	11874403	GNAL	protein_coding
ENSG00000154889	ENST00000588072	18	-1	11882622	11909223	MPPE1	protein_coding
ENSG00000154889	ENST00000317235	18	-1	11883471	11908349	MPPE1	protein_coding
ENSG00000154889	ENST00000309976	18	-1	11884053	11908350	MPPE1	protein_coding
ENSG00000154889	ENST00000344987	18	-1	11884068	11908330	MPPE1	protein_coding
ENSG00000154889	ENST00000587724	18	-1	11884893	11889415	MPPE1	protein_coding
ENSG00000154889	ENST00000592977	18	-1	11885760	11908273	MPPE1	protein_coding
ENSG00000154889	ENST00000592331	18	-1	11886721	11897044	MPPE1	protein_coding
ENSG00000154889	ENST00000588186	18	-1	11888704	11908350	MPPE1	protein_coding
ENSG00000154889	ENST00000588191	18	-1	11889387	11908348	MPPE1	protein_coding
ENSG00000154889	ENST00000589267	18	-1	11889456	11908366	MPPE1	protein_coding
ENSG00000154889	ENST00000590501	18	-1	11896983	11908308	MPPE1	protein_coding
ENSG00000154889	ENST00000588103	18	-1	11896989	11908331	MPPE1	protein_coding
ENSG00000154889	ENST00000589859	18	-1	11897056	11902755	MPPE1	protein_coding
ENSG00000154889	ENST00000586844	18	-1	11897059	11908317	MPPE1	protein_coding
ENSG00000141401	ENST00000589238	18	1	11981037	12030516	IMPA2	protein_coding
ENSG00000141401	ENST00000625802	18	1	11981428	12008360	IMPA2	protein_coding
ENSG00000141401	ENST00000269159	18	1	11981428	12030883	IMPA2	protein_coding
ENSG00000141401	ENST00000588927	18	1	11981670	12030458	IMPA2	protein_coding
ENSG00000181626	ENST00000587848	18	1	12093853	12127939	ANKRD62	protein_coding
ENSG00000176194	ENST00000320477	18	1	12254319	12277373	CIDEA	protein_coding
ENSG00000176014	ENST00000590693	18	1	12307669	12325181	TUBB6	protein_coding
ENSG00000176014	ENST00000317702	18	1	12308059	12326619	TUBB6	protein_coding
ENSG00000176014	ENST00000590103	18	1	12308232	12325914	TUBB6	protein_coding
ENSG00000176014	ENST00000591909	18	1	12308234	12329826	TUBB6	protein_coding
ENSG00000176014	ENST00000586653	18	1	12308241	12325267	TUBB6	protein_coding
ENSG00000176014	ENST00000592683	18	1	12308247	12325124	TUBB6	protein_coding
ENSG00000176014	ENST00000590967	18	1	12308253	12337225	TUBB6	protein_coding
ENSG00000176014	ENST00000591208	18	1	12308262	12326332	TUBB6	protein_coding
ENSG00000176014	ENST00000591463	18	1	12308263	12325353	TUBB6	protein_coding
ENSG00000176014	ENST00000586691	18	1	12310967	12344320	TUBB6	protein_coding
ENSG00000141385	ENST00000269143	18	-1	12328944	12377314	AFG3L2	protein_coding
ENSG00000141385	ENST00000590811	18	-1	12358704	12377002	AFG3L2	protein_coding
ENSG00000141391	ENST00000590956	18	1	12407896	12431463	PRELID3A	protein_coding
ENSG00000141391	ENST00000440960	18	1	12407896	12432233	PRELID3A	protein_coding
ENSG00000141391	ENST00000336990	18	1	12407896	12432235	PRELID3A	protein_coding
ENSG00000141391	ENST00000588729	18	1	12407945	12427106	PRELID3A	protein_coding
ENSG00000141391	ENST00000589952	18	1	12419892	12427322	PRELID3A	protein_coding
ENSG00000141391	ENST00000592149	18	1	12419933	12432238	PRELID3A	protein_coding
ENSG00000141391	ENST00000587862	18	1	12420017	12429364	PRELID3A	protein_coding
ENSG00000141391	ENST00000587735	18	1	12421286	12432238	PRELID3A	protein_coding
ENSG00000134278	ENST00000409402	18	-1	12446512	12658134	SPIRE1	protein_coding
ENSG00000134278	ENST00000410092	18	-1	12446513	12658045	SPIRE1	protein_coding
ENSG00000134278	ENST00000309836	18	-1	12449504	12656732	SPIRE1	protein_coding
ENSG00000134278	ENST00000453447	18	-1	12449509	12656736	SPIRE1	protein_coding
ENSG00000134278	ENST00000449797	18	-1	12506496	12653085	SPIRE1	protein_coding
ENSG00000134278	ENST00000497844	18	-1	12512513	12656728	SPIRE1	protein_coding
ENSG00000134278	ENST00000462226	18	-1	12535478	12656720	SPIRE1	protein_coding
ENSG00000128789	ENST00000585331	18	1	12658738	12725740	PSMG2	protein_coding
ENSG00000101624	ENST00000262127	18	-1	12672632	12702774	CEP76	protein_coding
ENSG00000101624	ENST00000423709	18	-1	12673097	12702722	CEP76	protein_coding
ENSG00000101624	ENST00000587666	18	-1	12678331	12695319	CEP76	protein_coding
ENSG00000128789	ENST00000586445	18	1	12686653	12724520	PSMG2	protein_coding
ENSG00000101624	ENST00000591034	18	-1	12691233	12697288	CEP76	protein_coding
ENSG00000101624	ENST00000585751	18	-1	12691233	12699123	CEP76	protein_coding
ENSG00000128789	ENST00000317615	18	1	12702426	12725740	PSMG2	protein_coding
ENSG00000128789	ENST00000590217	18	1	12703023	12724868	PSMG2	protein_coding
ENSG00000175354	ENST00000327283	18	-1	12785478	12884338	PTPN2	protein_coding
ENSG00000175354	ENST00000591901	18	-1	12785481	12802153	PTPN2	protein_coding
ENSG00000175354	ENST00000591115	18	-1	12785481	12884214	PTPN2	protein_coding
ENSG00000175354	ENST00000353319	18	-1	12785483	12884281	PTPN2	protein_coding
ENSG00000175354	ENST00000585666	18	-1	12785506	12814305	PTPN2	protein_coding
ENSG00000175354	ENST00000587703	18	-1	12785685	12836824	PTPN2	protein_coding
ENSG00000175354	ENST00000309660	18	-1	12792153	12884235	PTPN2	protein_coding
ENSG00000175354	ENST00000591497	18	-1	12792302	12843981	PTPN2	protein_coding
ENSG00000175354	ENST00000646492	18	-1	12793835	12883827	PTPN2	protein_coding
ENSG00000175354	ENST00000645191	18	-1	12794112	12883766	PTPN2	protein_coding
ENSG00000175354	ENST00000592059	18	-1	12825804	12929643	PTPN2	protein_coding
ENSG00000085415	ENST00000592170	18	1	12947133	12955610	SEH1L	protein_coding
ENSG00000085415	ENST00000262124	18	1	12947995	12987536	SEH1L	protein_coding
ENSG00000085415	ENST00000585730	18	1	12948014	12971252	SEH1L	protein_coding
ENSG00000085415	ENST00000399892	18	1	12948021	12987536	SEH1L	protein_coding
ENSG00000085415	ENST00000589446	18	1	12948036	12971251	SEH1L	protein_coding
ENSG00000085415	ENST00000587761	18	1	12948048	12978860	SEH1L	protein_coding
ENSG00000101639	ENST00000589596	18	1	12991362	13059314	CEP192	protein_coding
ENSG00000101639	ENST00000506447	18	1	12991362	13125036	CEP192	protein_coding
ENSG00000101639	ENST00000325971	18	1	12991362	13125050	CEP192	protein_coding
ENSG00000101639	ENST00000511820	18	1	13029787	13124995	CEP192	protein_coding
ENSG00000101639	ENST00000430049	18	1	13059182	13125034	CEP192	protein_coding
ENSG00000168675	ENST00000587905	18	1	13218026	13621143	LDLRAD4	protein_coding
ENSG00000168675	ENST00000399848	18	1	13218787	13652755	LDLRAD4	protein_coding
ENSG00000168675	ENST00000359446	18	1	13278103	13652754	LDLRAD4	protein_coding
ENSG00000168675	ENST00000586222	18	1	13382554	13438332	LDLRAD4	protein_coding
ENSG00000168675	ENST00000593236	18	1	13465015	13621270	LDLRAD4	protein_coding
ENSG00000168675	ENST00000587757	18	1	13611464	13645777	LDLRAD4	protein_coding
ENSG00000168675	ENST00000585931	18	1	13611764	13646734	LDLRAD4	protein_coding
ENSG00000168675	ENST00000586765	18	1	13612619	13645659	LDLRAD4	protein_coding
ENSG00000168675	ENST00000592991	18	1	13641758	13645712	LDLRAD4	protein_coding
ENSG00000177150	ENST00000322247	18	-1	13663347	13726560	FAM210A	protein_coding
ENSG00000177150	ENST00000402563	18	-1	13663351	13726592	FAM210A	protein_coding
ENSG00000177150	ENST00000589346	18	-1	13666231	13671939	FAM210A	protein_coding
ENSG00000177150	ENST00000592976	18	-1	13666494	13726586	FAM210A	protein_coding
ENSG00000177150	ENST00000591269	18	-1	13671912	13726663	FAM210A	protein_coding
ENSG00000101654	ENST00000543302	18	1	13726660	13760285	RNMT	protein_coding
ENSG00000101654	ENST00000383314	18	1	13726661	13764558	RNMT	protein_coding
ENSG00000101654	ENST00000592764	18	1	13726704	13764556	RNMT	protein_coding
ENSG00000101654	ENST00000591746	18	1	13726769	13731821	RNMT	protein_coding
ENSG00000101654	ENST00000589866	18	1	13730438	13760067	RNMT	protein_coding
ENSG00000101654	ENST00000262173	18	1	13731474	13764555	RNMT	protein_coding
ENSG00000101654	ENST00000593007	18	1	13746273	13762627	RNMT	protein_coding
ENSG00000176136	ENST00000589410	18	1	13824149	13827323	MC5R	protein_coding
ENSG00000176136	ENST00000324750	18	1	13825544	13826862	MC5R	protein_coding
ENSG00000185231	ENST00000327606	18	-1	13882044	13915540	MC2R	protein_coding
ENSG00000185231	ENST00000399821	18	-1	13885149	13915707	MC2R	protein_coding
ENSG00000175322	ENST00000589498	18	-1	14099938	14132428	ZNF519	protein_coding
ENSG00000175322	ENST00000590202	18	-1	14103863	14132430	ZNF519	protein_coding
ENSG00000183206	ENST00000358970	18	-1	14511898	14543146	POTEC	protein_coding
ENSG00000183206	ENST00000620346	18	-1	14527816	14543517	POTEC	protein_coding
ENSG00000180777	ENST00000358984	18	1	14748240	14852480	ANKRD30B	protein_coding
ENSG00000067900	ENST00000399799	18	-1	20946906	21111851	ROCK1	protein_coding
ENSG00000067900	ENST00000578051	18	-1	20953290	20954870	ROCK1	protein_coding
ENSG00000141449	ENST00000424526	18	1	21242242	21522830	GREB1L	protein_coding
