ENSG00000161980	ENST00000293860	16	-1	46407	53628	POLR3K	protein_coding
ENSG00000167930	ENST00000419173	16	1	234818	259521	FAM234A	protein_coding
ENSG00000167930	ENST00000426695	16	1	234827	254565	FAM234A	protein_coding
ENSG00000167930	ENST00000438220	16	1	234829	260003	FAM234A	protein_coding
ENSG00000167930	ENST00000447499	16	1	234830	254674	FAM234A	protein_coding
ENSG00000167930	ENST00000453430	16	1	234834	261514	FAM234A	protein_coding
ENSG00000167930	ENST00000449945	16	1	234838	262139	FAM234A	protein_coding
ENSG00000167930	ENST00000420046	16	1	234844	261505	FAM234A	protein_coding
ENSG00000167930	ENST00000301678	16	1	234846	266120	FAM234A	protein_coding
ENSG00000167930	ENST00000420500	16	1	234847	260009	FAM234A	protein_coding
ENSG00000167930	ENST00000417499	16	1	240188	254619	FAM234A	protein_coding
ENSG00000269881	ENST00000600536	16	1	249547	269943	AC004754.1	protein_coding
ENSG00000167930	ENST00000421000	16	1	254628	260788	FAM234A	protein_coding
ENSG00000167930	ENST00000424016	16	1	262508	265090	FAM234A	protein_coding
ENSG00000076344	ENST00000397770	16	-1	268301	275929	RGS11	protein_coding
ENSG00000076344	ENST00000316163	16	-1	268311	275914	RGS11	protein_coding
ENSG00000242173	ENST00000412541	16	1	268727	282084	ARHGDIG	protein_coding
ENSG00000242173	ENST00000435035	16	1	268727	282084	ARHGDIG	protein_coding
ENSG00000076344	ENST00000359740	16	-1	269269	275911	RGS11	protein_coding
ENSG00000242173	ENST00000447871	16	1	280450	282688	ARHGDIG	protein_coding
ENSG00000242173	ENST00000219409	16	1	280606	283010	ARHGDIG	protein_coding
ENSG00000242173	ENST00000414650	16	1	280855	282810	ARHGDIG	protein_coding
ENSG00000185615	ENST00000219406	16	1	283152	287215	PDIA2	protein_coding
ENSG00000185615	ENST00000404312	16	1	283165	287114	PDIA2	protein_coding
ENSG00000185615	ENST00000456379	16	1	283180	285140	PDIA2	protein_coding
ENSG00000185615	ENST00000435833	16	1	285680	287215	PDIA2	protein_coding
ENSG00000103126	ENST00000262320	16	-1	287440	352659	AXIN1	protein_coding
ENSG00000103126	ENST00000354866	16	-1	287441	352449	AXIN1	protein_coding
ENSG00000103126	ENST00000457798	16	-1	288190	293536	AXIN1	protein_coding
ENSG00000086504	ENST00000648346	16	-1	366969	371289	MRPL28	protein_coding
ENSG00000086504	ENST00000199706	16	-1	367384	370527	MRPL28	protein_coding
ENSG00000086504	ENST00000429738	16	-1	367396	369803	MRPL28	protein_coding
ENSG00000086504	ENST00000389675	16	-1	367613	370509	MRPL28	protein_coding
ENSG00000086504	ENST00000441883	16	-1	367724	370432	MRPL28	protein_coding
ENSG00000086504	ENST00000447696	16	-1	368335	370502	MRPL28	protein_coding
ENSG00000086504	ENST00000450882	16	-1	368408	370338	MRPL28	protein_coding
ENSG00000129925	ENST00000431232	16	-1	370773	381982	TMEM8A	protein_coding
ENSG00000129925	ENST00000424078	16	-1	371862	374851	TMEM8A	protein_coding
ENSG00000129925	ENST00000250930	16	-1	371864	381978	TMEM8A	protein_coding
ENSG00000129925	ENST00000448854	16	-1	372416	375215	TMEM8A	protein_coding
ENSG00000129925	ENST00000427313	16	-1	376806	386999	TMEM8A	protein_coding
ENSG00000103202	ENST00000397722	16	1	396725	400746	NME4	protein_coding
ENSG00000103202	ENST00000454619	16	1	396769	399474	NME4	protein_coding
ENSG00000103202	ENST00000620944	16	1	397192	400753	NME4	protein_coding
ENSG00000103202	ENST00000621774	16	1	397192	400753	NME4	protein_coding
ENSG00000103202	ENST00000382940	16	1	397209	400506	NME4	protein_coding
ENSG00000103202	ENST00000219479	16	1	397209	400759	NME4	protein_coding
ENSG00000103202	ENST00000433358	16	1	397237	400648	NME4	protein_coding
ENSG00000103202	ENST00000450036	16	1	397742	400416	NME4	protein_coding
ENSG00000242612	ENST00000219481	16	1	401826	412487	DECR2	protein_coding
ENSG00000242612	ENST00000627716	16	1	401858	406729	DECR2	protein_coding
ENSG00000242612	ENST00000424398	16	1	401882	411976	DECR2	protein_coding
ENSG00000242612	ENST00000633923	16	1	401883	410306	DECR2	protein_coding
ENSG00000242612	ENST00000633348	16	1	401917	411076	DECR2	protein_coding
ENSG00000090565	ENST00000262305	16	1	425619	523011	RAB11FIP3	protein_coding
ENSG00000090565	ENST00000434585	16	1	426379	522355	RAB11FIP3	protein_coding
ENSG00000090565	ENST00000450428	16	1	474850	522478	RAB11FIP3	protein_coding
ENSG00000090565	ENST00000452814	16	1	474869	505605	RAB11FIP3	protein_coding
ENSG00000090565	ENST00000449879	16	1	474924	503063	RAB11FIP3	protein_coding
ENSG00000090565	ENST00000412256	16	1	482657	497448	RAB11FIP3	protein_coding
ENSG00000103326	ENST00000562370	16	1	527717	547392	CAPN15	protein_coding
ENSG00000103326	ENST00000568988	16	1	527823	548209	CAPN15	protein_coding
ENSG00000103326	ENST00000219611	16	1	527856	554636	CAPN15	protein_coding
ENSG00000103326	ENST00000637507	16	1	540105	548031	CAPN15	protein_coding
ENSG00000103326	ENST00000566977	16	1	552755	554636	CAPN15	protein_coding
ENSG00000161992	ENST00000409413	16	1	560422	565528	PRR35	protein_coding
ENSG00000007541	ENST00000293874	16	1	566995	574519	PIGQ	protein_coding
ENSG00000257108	ENST00000424439	16	1	566996	569487	NHLRC4	protein_coding
ENSG00000257108	ENST00000540585	16	1	567005	569495	NHLRC4	protein_coding
ENSG00000007541	ENST00000409527	16	1	567009	583035	PIGQ	protein_coding
ENSG00000007541	ENST00000321878	16	1	569947	584136	PIGQ	protein_coding
ENSG00000007541	ENST00000439574	16	1	569968	574409	PIGQ	protein_coding
ENSG00000007541	ENST00000422307	16	1	569976	577234	PIGQ	protein_coding
ENSG00000007541	ENST00000026218	16	1	570018	584109	PIGQ	protein_coding
ENSG00000007541	ENST00000470411	16	1	570062	577217	PIGQ	protein_coding
ENSG00000007541	ENST00000540241	16	1	579091	583223	PIGQ	protein_coding
ENSG00000197562	ENST00000569575	16	1	589357	626026	RAB40C	protein_coding
ENSG00000197562	ENST00000535977	16	1	589357	629271	RAB40C	protein_coding
ENSG00000197562	ENST00000566290	16	1	589669	627415	RAB40C	protein_coding
ENSG00000197562	ENST00000539661	16	1	589669	629271	RAB40C	protein_coding
ENSG00000197562	ENST00000568586	16	1	590068	626121	RAB40C	protein_coding
ENSG00000197562	ENST00000538492	16	1	590077	629271	RAB40C	protein_coding
ENSG00000197562	ENST00000248139	16	1	590089	629272	RAB40C	protein_coding
ENSG00000197562	ENST00000563109	16	1	590332	627583	RAB40C	protein_coding
ENSG00000197562	ENST00000564703	16	1	616645	626117	RAB40C	protein_coding
ENSG00000127578	ENST00000319070	16	1	630932	634116	WFIKKN1	protein_coding
ENSG00000130731	ENST00000614890	16	-1	634427	636366	METTL26	protein_coding
ENSG00000130731	ENST00000338401	16	-1	634429	636342	METTL26	protein_coding
ENSG00000130731	ENST00000301686	16	-1	634430	636302	METTL26	protein_coding
ENSG00000130731	ENST00000397666	16	-1	634430	636302	METTL26	protein_coding
ENSG00000130731	ENST00000397664	16	-1	634438	636351	METTL26	protein_coding
ENSG00000130731	ENST00000397665	16	-1	634526	636290	METTL26	protein_coding
ENSG00000130731	ENST00000568773	16	-1	634664	636235	METTL26	protein_coding
ENSG00000130731	ENST00000565163	16	-1	634737	636260	METTL26	protein_coding
ENSG00000130731	ENST00000568830	16	-1	634949	636358	METTL26	protein_coding
ENSG00000172366	ENST00000307650	16	1	641813	648474	MCRIP2	protein_coding
ENSG00000172366	ENST00000629534	16	1	641849	646487	MCRIP2	protein_coding
ENSG00000161996	ENST00000549091	16	1	649325	667833	WDR90	protein_coding
ENSG00000161996	ENST00000293879	16	1	649417	667830	WDR90	protein_coding
ENSG00000161996	ENST00000550739	16	1	659245	660714	WDR90	protein_coding
ENSG00000161996	ENST00000547944	16	1	665184	667830	WDR90	protein_coding
ENSG00000161996	ENST00000315764	16	1	665258	667830	WDR90	protein_coding
ENSG00000161996	ENST00000551100	16	1	666496	667831	WDR90	protein_coding
ENSG00000161996	ENST00000546896	16	1	666911	667830	WDR90	protein_coding
ENSG00000140983	ENST00000315082	16	1	668086	674174	RHOT2	protein_coding
ENSG00000140983	ENST00000563134	16	1	668106	670993	RHOT2	protein_coding
ENSG00000140983	ENST00000561929	16	1	668209	670940	RHOT2	protein_coding
ENSG00000140983	ENST00000569197	16	1	672749	674165	RHOT2	protein_coding
ENSG00000103269	ENST00000352681	16	1	675666	678268	RHBDL1	protein_coding
ENSG00000103269	ENST00000561556	16	1	675683	677843	RHBDL1	protein_coding
ENSG00000103269	ENST00000219551	16	1	676075	678268	RHBDL1	protein_coding
ENSG00000103266	ENST00000565677	16	1	680224	682746	STUB1	protein_coding
ENSG00000103266	ENST00000219548	16	1	680276	682799	STUB1	protein_coding
ENSG00000103266	ENST00000567173	16	1	680424	682193	STUB1	protein_coding
ENSG00000103266	ENST00000564370	16	1	681037	682496	STUB1	protein_coding
ENSG00000103266	ENST00000566408	16	1	681276	682462	STUB1	protein_coding
ENSG00000103266	ENST00000564316	16	1	681481	682746	STUB1	protein_coding
ENSG00000161999	ENST00000412368	16	-1	681671	684439	JMJD8	protein_coding
ENSG00000161999	ENST00000609261	16	-1	681703	684334	JMJD8	protein_coding
ENSG00000161999	ENST00000562824	16	-1	682528	684363	JMJD8	protein_coding
ENSG00000161999	ENST00000562111	16	-1	682658	684346	JMJD8	protein_coding
ENSG00000127580	ENST00000293883	16	-1	684622	690400	WDR24	protein_coding
ENSG00000127580	ENST00000647644	16	-1	684633	690247	WDR24	protein_coding
ENSG00000127580	ENST00000248142	16	-1	684734	690444	WDR24	protein_coding
ENSG00000127585	ENST00000397621	16	-1	692500	705829	FBXL16	protein_coding
ENSG00000127585	ENST00000324361	16	-1	692507	705808	FBXL16	protein_coding
ENSG00000127585	ENST00000562563	16	-1	692927	696025	FBXL16	protein_coding
ENSG00000103260	ENST00000568223	16	1	715115	719655	METRN	protein_coding
ENSG00000103260	ENST00000219542	16	1	715338	717390	METRN	protein_coding
ENSG00000103260	ENST00000567076	16	1	715641	717477	METRN	protein_coding
ENSG00000103260	ENST00000568415	16	1	716574	717480	METRN	protein_coding
ENSG00000103254	ENST00000569529	16	1	720975	722601	FAM173A	protein_coding
ENSG00000103254	ENST00000564000	16	1	721097	722585	FAM173A	protein_coding
ENSG00000103254	ENST00000219535	16	1	721142	722573	FAM173A	protein_coding
ENSG00000103254	ENST00000568916	16	1	721672	722590	FAM173A	protein_coding
ENSG00000162004	ENST00000345165	16	-1	722582	725274	CCDC78	protein_coding
ENSG00000162004	ENST00000293889	16	-1	722582	726473	CCDC78	protein_coding
ENSG00000162004	ENST00000423653	16	-1	724927	726846	CCDC78	protein_coding
ENSG00000103253	ENST00000549114	16	1	726936	729733	HAGHL	protein_coding
ENSG00000103253	ENST00000341413	16	1	726958	729715	HAGHL	protein_coding
ENSG00000103253	ENST00000562187	16	1	727106	727549	HAGHL	protein_coding
ENSG00000103253	ENST00000564537	16	1	727106	729715	HAGHL	protein_coding
ENSG00000103253	ENST00000562141	16	1	727119	728895	HAGHL	protein_coding
ENSG00000103253	ENST00000561546	16	1	727246	729185	HAGHL	protein_coding
ENSG00000103253	ENST00000564545	16	1	727262	728985	HAGHL	protein_coding
ENSG00000103253	ENST00000389703	16	1	727271	729715	HAGHL	protein_coding
ENSG00000103253	ENST00000567414	16	1	727293	728624	HAGHL	protein_coding
ENSG00000103253	ENST00000568141	16	1	727346	728603	HAGHL	protein_coding
ENSG00000103253	ENST00000563792	16	1	727739	728399	HAGHL	protein_coding
ENSG00000103245	ENST00000251588	16	-1	729753	741002	CIAO3	protein_coding
ENSG00000103245	ENST00000568545	16	-1	729760	737889	CIAO3	protein_coding
ENSG00000103245	ENST00000540986	16	-1	729766	740934	CIAO3	protein_coding
ENSG00000103245	ENST00000562421	16	-1	732332	737755	CIAO3	protein_coding
ENSG00000103245	ENST00000567403	16	-1	734284	737752	CIAO3	protein_coding
ENSG00000103245	ENST00000566614	16	-1	734845	741329	CIAO3	protein_coding
ENSG00000102854	ENST00000563941	16	1	760762	768862	MSLN	protein_coding
ENSG00000102854	ENST00000545450	16	1	760765	768858	MSLN	protein_coding
ENSG00000102854	ENST00000566549	16	1	760767	768865	MSLN	protein_coding
ENSG00000102854	ENST00000382862	16	1	761089	768861	MSLN	protein_coding
ENSG00000102854	ENST00000563651	16	1	761098	766429	MSLN	protein_coding
ENSG00000102854	ENST00000569566	16	1	762524	765036	MSLN	protein_coding
ENSG00000102854	ENST00000566269	16	1	765732	768798	MSLN	protein_coding
ENSG00000102854	ENST00000561896	16	1	765784	768865	MSLN	protein_coding
ENSG00000162006	ENST00000543963	16	-1	769428	782054	MSLNL	protein_coding
ENSG00000162006	ENST00000442466	16	-1	769428	783370	MSLNL	protein_coding
ENSG00000007376	ENST00000561734	16	-1	784974	787981	RPUSD1	protein_coding
ENSG00000007376	ENST00000007264	16	-1	784974	788383	RPUSD1	protein_coding
ENSG00000007376	ENST00000565809	16	-1	784991	788371	RPUSD1	protein_coding
ENSG00000007376	ENST00000567114	16	-1	785014	788397	RPUSD1	protein_coding
ENSG00000007376	ENST00000569601	16	-1	785968	788334	RPUSD1	protein_coding
ENSG00000007376	ENST00000565377	16	-1	785983	788381	RPUSD1	protein_coding
ENSG00000007376	ENST00000562070	16	-1	786194	787469	RPUSD1	protein_coding
ENSG00000007376	ENST00000563560	16	-1	786841	788329	RPUSD1	protein_coding
ENSG00000127586	ENST00000631357	16	1	788046	797975	CHTF18	protein_coding
ENSG00000127586	ENST00000262315	16	1	788622	798074	CHTF18	protein_coding
ENSG00000127586	ENST00000455171	16	1	788624	798074	CHTF18	protein_coding
ENSG00000127586	ENST00000317063	16	1	788625	797975	CHTF18	protein_coding
ENSG00000127586	ENST00000426047	16	1	789313	791370	CHTF18	protein_coding
ENSG00000127588	ENST00000248150	16	-1	798041	800733	GNG13	protein_coding
ENSG00000103227	ENST00000262301	16	-1	853634	970999	LMF1	protein_coding
ENSG00000103227	ENST00000543238	16	-1	853643	970960	LMF1	protein_coding
ENSG00000103227	ENST00000568897	16	-1	854512	970866	LMF1	protein_coding
ENSG00000103227	ENST00000566627	16	-1	871287	947644	LMF1	protein_coding
ENSG00000103227	ENST00000570014	16	-1	871317	981297	LMF1	protein_coding
ENSG00000103227	ENST00000562380	16	-1	910980	964122	LMF1	protein_coding
ENSG00000005513	ENST00000293894	16	1	981808	986979	SOX8	protein_coding
ENSG00000162009	ENST00000293897	16	1	1078781	1080142	SSTR5	protein_coding
ENSG00000184471	ENST00000328449	16	-1	1090005	1096244	C1QTNF8	protein_coding
ENSG00000184471	ENST00000621771	16	-1	1090517	1095647	C1QTNF8	protein_coding
ENSG00000196557	ENST00000348261	16	1	1153121	1221772	CACNA1H	protein_coding
ENSG00000196557	ENST00000358590	16	1	1153241	1221771	CACNA1H	protein_coding
ENSG00000196557	ENST00000638323	16	1	1153241	1221771	CACNA1H	protein_coding
ENSG00000196557	ENST00000565831	16	1	1153738	1221765	CACNA1H	protein_coding
ENSG00000196557	ENST00000562079	16	1	1210067	1221084	CACNA1H	protein_coding
ENSG00000196557	ENST00000564231	16	1	1210067	1221084	CACNA1H	protein_coding
ENSG00000196557	ENST00000569107	16	1	1210067	1221084	CACNA1H	protein_coding
ENSG00000116176	ENST00000234798	16	-1	1221651	1225257	TPSG1	protein_coding
ENSG00000197253	ENST00000606293	16	-1	1228336	1230184	TPSB2	protein_coding
ENSG00000197253	ENST00000612142	16	-1	1228337	1230162	TPSB2	protein_coding
ENSG00000172236	ENST00000338844	16	1	1240696	1242554	TPSAB1	protein_coding
ENSG00000172236	ENST00000461509	16	1	1240724	1242554	TPSAB1	protein_coding
ENSG00000172236	ENST00000561736	16	1	1241251	1242516	TPSAB1	protein_coding
ENSG00000095917	ENST00000397534	16	1	1256059	1258531	TPSD1	protein_coding
ENSG00000095917	ENST00000211076	16	1	1256133	1258998	TPSD1	protein_coding
ENSG00000103275	ENST00000355803	16	1	1308880	1327018	UBE2I	protein_coding
ENSG00000103275	ENST00000325437	16	1	1309153	1327018	UBE2I	protein_coding
ENSG00000103275	ENST00000397514	16	1	1309510	1327017	UBE2I	protein_coding
ENSG00000103275	ENST00000397515	16	1	1309635	1327018	UBE2I	protein_coding
ENSG00000103275	ENST00000567383	16	1	1309656	1314314	UBE2I	protein_coding
ENSG00000103275	ENST00000403747	16	1	1309678	1325214	UBE2I	protein_coding
ENSG00000103275	ENST00000566587	16	1	1309803	1324952	UBE2I	protein_coding
ENSG00000103275	ENST00000406620	16	1	1311871	1325350	UBE2I	protein_coding
ENSG00000103275	ENST00000562470	16	1	1312185	1314033	UBE2I	protein_coding
ENSG00000103275	ENST00000567074	16	1	1313560	1320517	UBE2I	protein_coding
ENSG00000103275	ENST00000402301	16	1	1313995	1321776	UBE2I	protein_coding
ENSG00000007516	ENST00000426824	16	1	1333601	1348794	BAIAP3	protein_coding
ENSG00000007516	ENST00000397488	16	1	1333643	1349438	BAIAP3	protein_coding
ENSG00000007516	ENST00000562208	16	1	1333645	1348640	BAIAP3	protein_coding
ENSG00000007516	ENST00000568887	16	1	1333645	1348755	BAIAP3	protein_coding
ENSG00000007516	ENST00000324385	16	1	1334504	1349438	BAIAP3	protein_coding
ENSG00000007516	ENST00000628027	16	1	1334504	1349441	BAIAP3	protein_coding
ENSG00000007516	ENST00000421665	16	1	1336197	1348793	BAIAP3	protein_coding
ENSG00000007516	ENST00000566162	16	1	1344668	1349438	BAIAP3	protein_coding
ENSG00000007516	ENST00000561793	16	1	1346009	1347610	BAIAP3	protein_coding
ENSG00000007520	ENST00000007390	16	-1	1349240	1351911	TSR3	protein_coding
ENSG00000090581	ENST00000204679	16	1	1351923	1364113	GNPTG	protein_coding
ENSG00000090581	ENST00000527137	16	1	1351951	1352499	GNPTG	protein_coding
ENSG00000090581	ENST00000529110	16	1	1351983	1362279	GNPTG	protein_coding
ENSG00000059145	ENST00000248104	16	-1	1363205	1379683	UNKL	protein_coding
ENSG00000059145	ENST00000389221	16	-1	1363205	1414720	UNKL	protein_coding
ENSG00000059145	ENST00000397464	16	-1	1364999	1379683	UNKL	protein_coding
ENSG00000059145	ENST00000508903	16	-1	1365012	1414691	UNKL	protein_coding
ENSG00000059145	ENST00000402641	16	-1	1367292	1379680	UNKL	protein_coding
ENSG00000059145	ENST00000513783	16	-1	1367713	1379121	UNKL	protein_coding
ENSG00000059145	ENST00000301712	16	-1	1398305	1414751	UNKL	protein_coding
ENSG00000174109	ENST00000442039	16	-1	1419744	1420800	C16orf91	protein_coding
ENSG00000284395	ENST00000640283	16	1	1431035	1433397	AL032819.3	protein_coding
ENSG00000197599	ENST00000389176	16	-1	1434388	1444489	CCDC154	protein_coding
ENSG00000197599	ENST00000409671	16	-1	1434388	1444556	CCDC154	protein_coding
ENSG00000103249	ENST00000382745	16	-1	1444935	1475580	CLCN7	protein_coding
ENSG00000103249	ENST00000448525	16	-1	1444936	1475084	CLCN7	protein_coding
ENSG00000103249	ENST00000262318	16	-1	1445344	1475057	CLCN7	protein_coding
ENSG00000103249	ENST00000569851	16	-1	1457254	1471956	CLCN7	protein_coding
ENSG00000103249	ENST00000564568	16	-1	1460839	1474365	CLCN7	protein_coding
ENSG00000251692	ENST00000447419	16	-1	1485886	1488935	PTX4	protein_coding
ENSG00000251692	ENST00000440447	16	-1	1485886	1488981	PTX4	protein_coding
ENSG00000251692	ENST00000293922	16	-1	1485939	1488467	PTX4	protein_coding
ENSG00000100726	ENST00000262319	16	1	1493363	1510457	TELO2	protein_coding
ENSG00000100726	ENST00000567423	16	1	1501765	1506262	TELO2	protein_coding
ENSG00000187535	ENST00000361339	16	-1	1510427	1533494	IFT140	protein_coding
ENSG00000187535	ENST00000426508	16	-1	1510427	1612110	IFT140	protein_coding
ENSG00000187535	ENST00000568837	16	-1	1518102	1520038	IFT140	protein_coding
ENSG00000131634	ENST00000253934	16	1	1528688	1555580	TMEM204	protein_coding
ENSG00000131634	ENST00000566264	16	1	1533573	1555580	TMEM204	protein_coding
ENSG00000187535	ENST00000569646	16	-1	1602377	1610666	IFT140	protein_coding
ENSG00000187535	ENST00000569812	16	-1	1602398	1610044	IFT140	protein_coding
ENSG00000007545	ENST00000397412	16	1	1612325	1677908	CRAMP1	protein_coding
ENSG00000007545	ENST00000293925	16	1	1614640	1677906	CRAMP1	protein_coding
ENSG00000007545	ENST00000415022	16	1	1662605	1668108	CRAMP1	protein_coding
ENSG00000206053	ENST00000248098	16	1	1678256	1702086	JPT2	protein_coding
ENSG00000206053	ENST00000562684	16	1	1678277	1701490	JPT2	protein_coding
ENSG00000206053	ENST00000561516	16	1	1678279	1699599	JPT2	protein_coding
ENSG00000206053	ENST00000382711	16	1	1678280	1699237	JPT2	protein_coding
ENSG00000206053	ENST00000566742	16	1	1678290	1700225	JPT2	protein_coding
ENSG00000206053	ENST00000569765	16	1	1678313	1699266	JPT2	protein_coding
ENSG00000206053	ENST00000566691	16	1	1680337	1698819	JPT2	protein_coding
ENSG00000206053	ENST00000382710	16	1	1680337	1699269	JPT2	protein_coding
ENSG00000206053	ENST00000565851	16	1	1685381	1698976	JPT2	protein_coding
ENSG00000206053	ENST00000562569	16	1	1685500	1702280	JPT2	protein_coding
ENSG00000138834	ENST00000250894	16	1	1706183	1770317	MAPK8IP3	protein_coding
ENSG00000138834	ENST00000356010	16	1	1706193	1769140	MAPK8IP3	protein_coding
ENSG00000138834	ENST00000610761	16	1	1706220	1770316	MAPK8IP3	protein_coding
ENSG00000103024	ENST00000219302	16	-1	1770286	1771730	NME3	protein_coding
ENSG00000103024	ENST00000564628	16	-1	1770320	1771495	NME3	protein_coding
ENSG00000103024	ENST00000563498	16	-1	1770344	1771561	NME3	protein_coding
ENSG00000074071	ENST00000177742	16	-1	1771890	1773150	MRPS34	protein_coding
ENSG00000074071	ENST00000397375	16	-1	1771890	1773155	MRPS34	protein_coding
ENSG00000197774	ENST00000568449	16	1	1773207	1776311	EME2	protein_coding
ENSG00000162032	ENST00000566339	16	-1	1776712	1782820	SPSB3	protein_coding
ENSG00000162032	ENST00000301717	16	-1	1776749	1781516	SPSB3	protein_coding
ENSG00000162032	ENST00000569769	16	-1	1778037	1793700	SPSB3	protein_coding
ENSG00000095906	ENST00000262302	16	1	1782901	1789191	NUBP2	protein_coding
ENSG00000095906	ENST00000563136	16	1	1782968	1787740	NUBP2	protein_coding
ENSG00000095906	ENST00000565987	16	1	1782990	1788726	NUBP2	protein_coding
ENSG00000095906	ENST00000568287	16	1	1782995	1788000	NUBP2	protein_coding
ENSG00000095906	ENST00000565134	16	1	1783007	1788613	NUBP2	protein_coding
ENSG00000095906	ENST00000562263	16	1	1783853	1788150	NUBP2	protein_coding
ENSG00000095906	ENST00000568706	16	1	1784010	1788969	NUBP2	protein_coding
ENSG00000099769	ENST00000215539	16	-1	1790413	1793763	IGFALS	protein_coding
ENSG00000099769	ENST00000415638	16	-1	1790476	1793732	IGFALS	protein_coding
ENSG00000099769	ENST00000568221	16	-1	1791805	1794971	IGFALS	protein_coding
ENSG00000063854	ENST00000564445	16	-1	1795620	1822904	HAGH	protein_coding
ENSG00000063854	ENST00000566644	16	-1	1807577	1816907	HAGH	protein_coding
ENSG00000063854	ENST00000397356	16	-1	1807633	1827194	HAGH	protein_coding
ENSG00000063854	ENST00000455446	16	-1	1808872	1826834	HAGH	protein_coding
ENSG00000063854	ENST00000397353	16	-1	1809103	1826841	HAGH	protein_coding
ENSG00000063854	ENST00000566709	16	-1	1809124	1827157	HAGH	protein_coding
ENSG00000063854	ENST00000569339	16	-1	1817189	1826778	HAGH	protein_coding
ENSG00000180185	ENST00000427358	16	1	1826941	1828914	FAHD1	protein_coding
ENSG00000180185	ENST00000382666	16	1	1826967	1840207	FAHD1	protein_coding
ENSG00000180185	ENST00000382668	16	1	1826967	1840207	FAHD1	protein_coding
ENSG00000180185	ENST00000615972	16	1	1827220	1838126	FAHD1	protein_coding
ENSG00000162039	ENST00000470044	16	-1	1833987	1884294	MEIOB	protein_coding
ENSG00000162039	ENST00000325962	16	-1	1833988	1868185	MEIOB	protein_coding
ENSG00000162039	ENST00000397344	16	-1	1833988	1872178	MEIOB	protein_coding
ENSG00000162039	ENST00000496541	16	-1	1844960	1872144	MEIOB	protein_coding
ENSG00000162040	ENST00000454677	16	-1	1911463	1918440	HS3ST6	protein_coding
ENSG00000198736	ENST00000361871	16	-1	1938210	1943326	MSRB1	protein_coding
ENSG00000198736	ENST00000622125	16	-1	1938234	1943293	MSRB1	protein_coding
ENSG00000198736	ENST00000473663	16	-1	1938942	1943123	MSRB1	protein_coding
ENSG00000198736	ENST00000399753	16	-1	1939019	1943195	MSRB1	protein_coding
ENSG00000198736	ENST00000564908	16	-1	1939095	1943199	MSRB1	protein_coding
