ENSG00000268320	ENST00000595228	17	1	137526	139067	SCGB1C2	protein_coding
ENSG00000174231	ENST00000577001	17	-1	1674538	1684807	PRPF8	protein_coding
ENSG00000185561	ENST00000330676	17	-1	1702790	1710438	TLCD2	protein_coding
ENSG00000167716	ENST00000455636	17	1	1716523	1731227	WDR81	protein_coding
ENSG00000167716	ENST00000468539	17	1	1716523	1733645	WDR81	protein_coding
ENSG00000167716	ENST00000437219	17	1	1716523	1738599	WDR81	protein_coding
ENSG00000167716	ENST00000309182	17	1	1716536	1738599	WDR81	protein_coding
ENSG00000167716	ENST00000446363	17	1	1716601	1738488	WDR81	protein_coding
ENSG00000167716	ENST00000419248	17	1	1724540	1738594	WDR81	protein_coding
ENSG00000167716	ENST00000418841	17	1	1724690	1733679	WDR81	protein_coding
ENSG00000167716	ENST00000409644	17	1	1724960	1738592	WDR81	protein_coding
ENSG00000167716	ENST00000575206	17	1	1728210	1730927	WDR81	protein_coding
ENSG00000167711	ENST00000453066	17	1	1742836	1748647	SERPINF2	protein_coding
ENSG00000167711	ENST00000324015	17	1	1742836	1755265	SERPINF2	protein_coding
ENSG00000167711	ENST00000450523	17	1	1742843	1754642	SERPINF2	protein_coding
ENSG00000167711	ENST00000453723	17	1	1742869	1754200	SERPINF2	protein_coding
ENSG00000167711	ENST00000382061	17	1	1743026	1755268	SERPINF2	protein_coding
ENSG00000132386	ENST00000254722	17	1	1761959	1777574	SERPINF1	protein_coding
ENSG00000132386	ENST00000571360	17	1	1762029	1771169	SERPINF1	protein_coding
ENSG00000132386	ENST00000576406	17	1	1762068	1776578	SERPINF1	protein_coding
ENSG00000132386	ENST00000571149	17	1	1762112	1770028	SERPINF1	protein_coding
ENSG00000132386	ENST00000570731	17	1	1762829	1771141	SERPINF1	protein_coding
ENSG00000132386	ENST00000577053	17	1	1766274	1771080	SERPINF1	protein_coding
ENSG00000132386	ENST00000572048	17	1	1771719	1776604	SERPINF1	protein_coding
ENSG00000132386	ENST00000573763	17	1	1771719	1777209	SERPINF1	protein_coding
ENSG00000186532	ENST00000305513	17	-1	1779485	1829881	SMYD4	protein_coding
ENSG00000186532	ENST00000491788	17	-1	1781692	1800805	SMYD4	protein_coding
ENSG00000186532	ENST00000570368	17	-1	1800724	1829459	SMYD4	protein_coding
ENSG00000186532	ENST00000571854	17	-1	1800862	1830634	SMYD4	protein_coding
ENSG00000132383	ENST00000571058	17	1	1829702	1872483	RPA1	protein_coding
ENSG00000132383	ENST00000570451	17	1	1829971	1875705	RPA1	protein_coding
ENSG00000132383	ENST00000254719	17	1	1829984	1899554	RPA1	protein_coding
ENSG00000132383	ENST00000574049	17	1	1879035	1900082	RPA1	protein_coding
ENSG00000185924	ENST00000331238	17	-1	1934677	2025345	RTN4RL1	protein_coding
ENSG00000108963	ENST00000263083	17	1	2030110	2043430	DPH1	protein_coding
ENSG00000108963	ENST00000571418	17	1	2030159	2043024	DPH1	protein_coding
ENSG00000108963	ENST00000570477	17	1	2033393	2042965	DPH1	protein_coding
ENSG00000108963	ENST00000571710	17	1	2040340	2043424	DPH1	protein_coding
ENSG00000108963	ENST00000607788	17	1	2041102	2043421	DPH1	protein_coding
ENSG00000108963	ENST00000575162	17	1	2041534	2042919	DPH1	protein_coding
ENSG00000262664	ENST00000572195	17	1	2041936	2043430	OVCA2	protein_coding
ENSG00000177374	ENST00000574370	17	1	2054154	2056719	HIC1	protein_coding
ENSG00000177374	ENST00000571875	17	1	2054215	2056889	HIC1	protein_coding
ENSG00000177374	ENST00000571990	17	1	2054215	2056979	HIC1	protein_coding
ENSG00000177374	ENST00000399849	17	1	2055099	2059686	HIC1	protein_coding
ENSG00000177374	ENST00000619757	17	1	2055099	2063241	HIC1	protein_coding
ENSG00000177374	ENST00000576444	17	1	2056219	2056943	HIC1	protein_coding
ENSG00000177374	ENST00000322941	17	1	2056310	2059686	HIC1	protein_coding
ENSG00000070366	ENST00000263073	17	-1	2059843	2303771	SMG6	protein_coding
ENSG00000070366	ENST00000354901	17	-1	2059850	2266199	SMG6	protein_coding
ENSG00000070366	ENST00000536871	17	-1	2061405	2237037	SMG6	protein_coding
ENSG00000070366	ENST00000575454	17	-1	2068887	2173178	SMG6	protein_coding
ENSG00000070366	ENST00000572369	17	-1	2172668	2214349	SMG6	protein_coding
ENSG00000070366	ENST00000575176	17	-1	2172712	2212737	SMG6	protein_coding
ENSG00000070366	ENST00000572205	17	-1	2172737	2229464	SMG6	protein_coding
ENSG00000070366	ENST00000571442	17	-1	2172797	2237391	SMG6	protein_coding
ENSG00000070366	ENST00000570659	17	-1	2172802	2244912	SMG6	protein_coding
ENSG00000070366	ENST00000575663	17	-1	2172804	2237580	SMG6	protein_coding
ENSG00000070366	ENST00000570606	17	-1	2186725	2266131	SMG6	protein_coding
ENSG00000070366	ENST00000570668	17	-1	2186737	2240191	SMG6	protein_coding
ENSG00000167720	ENST00000572709	17	1	2303383	2317900	SRR	protein_coding
ENSG00000167720	ENST00000344595	17	1	2303704	2325260	SRR	protein_coding
ENSG00000167720	ENST00000575840	17	1	2303950	2317981	SRR	protein_coding
ENSG00000167720	ENST00000576620	17	1	2303950	2323249	SRR	protein_coding
ENSG00000167720	ENST00000576848	17	1	2303950	2323964	SRR	protein_coding
ENSG00000167720	ENST00000574987	17	1	2303954	2323222	SRR	protein_coding
ENSG00000167720	ENST00000570662	17	1	2307036	2318830	SRR	protein_coding
ENSG00000167720	ENST00000574229	17	1	2315378	2317900	SRR	protein_coding
ENSG00000167721	ENST00000301364	17	-1	2322503	2337507	TSR1	protein_coding
ENSG00000167721	ENST00000576112	17	-1	2333390	2336457	TSR1	protein_coding
ENSG00000141258	ENST00000268989	17	1	2337512	2381050	SGSM2	protein_coding
ENSG00000141258	ENST00000426855	17	1	2337514	2381058	SGSM2	protein_coding
ENSG00000141258	ENST00000574563	17	1	2337622	2380675	SGSM2	protein_coding
ENSG00000141258	ENST00000574650	17	1	2361777	2363045	SGSM2	protein_coding
ENSG00000141258	ENST00000570431	17	1	2363562	2364998	SGSM2	protein_coding
ENSG00000141258	ENST00000573851	17	1	2377913	2379565	SGSM2	protein_coding
ENSG00000141258	ENST00000572925	17	1	2379168	2380810	SGSM2	protein_coding
ENSG00000070444	ENST00000174618	17	-1	2384060	2401118	MNT	protein_coding
ENSG00000070444	ENST00000575394	17	-1	2387909	2401104	MNT	protein_coding
ENSG00000127804	ENST00000263092	17	-1	2416076	2511886	METTL16	protein_coding
ENSG00000127804	ENST00000576976	17	-1	2467761	2511889	METTL16	protein_coding
ENSG00000007168	ENST00000576586	17	1	2593210	2667045	PAFAH1B1	protein_coding
ENSG00000007168	ENST00000397195	17	1	2593746	2685615	PAFAH1B1	protein_coding
ENSG00000007168	ENST00000574468	17	1	2670268	2682196	PAFAH1B1	protein_coding
ENSG00000132361	ENST00000435359	17	-1	2689386	2711633	CLUH	protein_coding
ENSG00000132361	ENST00000570628	17	-1	2689386	2712020	CLUH	protein_coding
ENSG00000132361	ENST00000575014	17	-1	2689389	2704371	CLUH	protein_coding
ENSG00000132361	ENST00000574426	17	-1	2691609	2711795	CLUH	protein_coding
ENSG00000132361	ENST00000572129	17	-1	2698548	2701478	CLUH	protein_coding
ENSG00000132361	ENST00000576885	17	-1	2701925	2711792	CLUH	protein_coding
ENSG00000132361	ENST00000576309	17	-1	2703406	2711198	CLUH	protein_coding
ENSG00000132361	ENST00000571566	17	-1	2703459	2712663	CLUH	protein_coding
ENSG00000132359	ENST00000637138	17	1	2755705	3034207	RAP1GAP2	protein_coding
ENSG00000132359	ENST00000540393	17	1	2777056	3034207	RAP1GAP2	protein_coding
ENSG00000132359	ENST00000254695	17	1	2796438	3037739	RAP1GAP2	protein_coding
ENSG00000132359	ENST00000366401	17	1	2796438	3037739	RAP1GAP2	protein_coding
ENSG00000132359	ENST00000542807	17	1	2796482	3034771	RAP1GAP2	protein_coding
ENSG00000262628	ENST00000575751	17	-1	3062669	3063607	OR1D5	protein_coding
ENSG00000184166	ENST00000641064	17	-1	3088484	3104422	OR1D2	protein_coding
ENSG00000184166	ENST00000641833	17	-1	3088484	3104422	OR1D2	protein_coding
ENSG00000184166	ENST00000331459	17	-1	3092058	3092996	OR1D2	protein_coding
ENSG00000183024	ENST00000328890	17	-1	3126584	3127581	OR1G1	protein_coding
ENSG00000172150	ENST00000381951	17	1	3197519	3198448	OR1A2	protein_coding
ENSG00000172146	ENST00000641322	17	1	3207539	3218896	OR1A1	protein_coding
ENSG00000172146	ENST00000641732	17	1	3208581	3218896	OR1A1	protein_coding
ENSG00000172146	ENST00000304094	17	1	3215621	3216550	OR1A1	protein_coding
ENSG00000221882	ENST00000641164	17	-1	3276942	3278974	OR3A2	protein_coding
ENSG00000221882	ENST00000642052	17	-1	3277199	3284380	OR3A2	protein_coding
ENSG00000221882	ENST00000408891	17	-1	3277899	3278974	OR3A2	protein_coding
ENSG00000221882	ENST00000573491	17	-1	3278775	3386293	OR3A2	protein_coding
ENSG00000221882	ENST00000576166	17	-1	3278826	3386317	OR3A2	protein_coding
ENSG00000180090	ENST00000323404	17	-1	3291017	3298360	OR3A1	protein_coding
ENSG00000180090	ENST00000615105	17	-1	3291635	3292600	OR3A1	protein_coding
ENSG00000180042	ENST00000572493	17	1	3385930	3386874	AC087498.1	protein_coding
ENSG00000180016	ENST00000322608	17	-1	3397104	3398410	OR1E1	protein_coding
ENSG00000159961	ENST00000641141	17	1	3411370	3424070	OR3A3	protein_coding
ENSG00000159961	ENST00000291231	17	1	3420568	3421533	OR3A3	protein_coding
ENSG00000159961	ENST00000574571	17	1	3420568	3421533	OR3A3	protein_coding
ENSG00000127780	ENST00000248384	17	-1	3432870	3433841	OR1E2	protein_coding
ENSG00000141255	ENST00000397168	17	-1	3440019	3471746	SPATA22	protein_coding
ENSG00000141255	ENST00000572969	17	-1	3440019	3471787	SPATA22	protein_coding
ENSG00000141255	ENST00000355380	17	-1	3440019	3471797	SPATA22	protein_coding
ENSG00000141255	ENST00000575375	17	-1	3440019	3471826	SPATA22	protein_coding
ENSG00000141255	ENST00000573128	17	-1	3440019	3472134	SPATA22	protein_coding
ENSG00000141255	ENST00000541913	17	-1	3440022	3513852	SPATA22	protein_coding
ENSG00000141255	ENST00000268981	17	-1	3440243	3471739	SPATA22	protein_coding
ENSG00000141255	ENST00000571553	17	-1	3446556	3471801	SPATA22	protein_coding
ENSG00000141255	ENST00000574051	17	-1	3448812	3469315	SPATA22	protein_coding
ENSG00000141255	ENST00000574797	17	-1	3448820	3471824	SPATA22	protein_coding
ENSG00000141255	ENST00000572582	17	-1	3448987	3472298	SPATA22	protein_coding
ENSG00000141255	ENST00000571607	17	-1	3449011	3468357	SPATA22	protein_coding
ENSG00000141255	ENST00000574457	17	-1	3462743	3472341	SPATA22	protein_coding
ENSG00000141255	ENST00000570318	17	-1	3469317	3513768	SPATA22	protein_coding
ENSG00000108381	ENST00000577034	17	1	3472374	3476395	ASPA	protein_coding
ENSG00000108381	ENST00000456349	17	1	3474053	3499088	ASPA	protein_coding
ENSG00000108381	ENST00000263080	17	1	3476002	3503419	ASPA	protein_coding
ENSG00000167723	ENST00000616411	17	-1	3510503	3546715	TRPV3	protein_coding
ENSG00000167723	ENST00000301365	17	-1	3513190	3557805	TRPV3	protein_coding
ENSG00000167723	ENST00000576742	17	-1	3513846	3557995	TRPV3	protein_coding
ENSG00000167723	ENST00000572519	17	-1	3514066	3557805	TRPV3	protein_coding
ENSG00000196689	ENST00000399759	17	-1	3565444	3595831	TRPV1	protein_coding
ENSG00000196689	ENST00000571088	17	-1	3565444	3597098	TRPV1	protein_coding
ENSG00000196689	ENST00000572705	17	-1	3565444	3609411	TRPV1	protein_coding
ENSG00000196689	ENST00000399756	17	-1	3565794	3592877	TRPV1	protein_coding
ENSG00000196689	ENST00000425167	17	-1	3566778	3592367	TRPV1	protein_coding
ENSG00000196689	ENST00000576351	17	-1	3566813	3592383	TRPV1	protein_coding
ENSG00000196689	ENST00000310522	17	-1	3566815	3592350	TRPV1	protein_coding
ENSG00000197417	ENST00000225519	17	-1	3608262	3636322	SHPK	protein_coding
ENSG00000040531	ENST00000046640	17	1	3636468	3661538	CTNS	protein_coding
ENSG00000040531	ENST00000381870	17	1	3636479	3661542	CTNS	protein_coding
ENSG00000040531	ENST00000452111	17	1	3636725	3648931	CTNS	protein_coding
ENSG00000040531	ENST00000574776	17	1	3636729	3656526	CTNS	protein_coding
ENSG00000040531	ENST00000574218	17	1	3636762	3656551	CTNS	protein_coding
ENSG00000040531	ENST00000399306	17	1	3637104	3650519	CTNS	protein_coding
ENSG00000040531	ENST00000576979	17	1	3640147	3656513	CTNS	protein_coding
ENSG00000213977	ENST00000611779	17	-1	3662896	3668679	TAX1BP3	protein_coding
ENSG00000213977	ENST00000225525	17	-1	3662902	3668682	TAX1BP3	protein_coding
ENSG00000127774	ENST00000248378	17	1	3668815	3669665	EMC6	protein_coding
ENSG00000127774	ENST00000397133	17	1	3668822	3669668	EMC6	protein_coding
ENSG00000083454	ENST00000552276	17	-1	3672199	3696096	P2RX5	protein_coding
ENSG00000083454	ENST00000551178	17	-1	3673227	3696033	P2RX5	protein_coding
ENSG00000083454	ENST00000547178	17	-1	3673227	3696096	P2RX5	protein_coding
ENSG00000083454	ENST00000225328	17	-1	3673227	3696404	P2RX5	protein_coding
ENSG00000083454	ENST00000345901	17	-1	3673245	3696216	P2RX5	protein_coding
ENSG00000083454	ENST00000552050	17	-1	3673600	3692002	P2RX5	protein_coding
ENSG00000083454	ENST00000552723	17	-1	3679611	3691773	P2RX5	protein_coding
ENSG00000083457	ENST00000263087	17	-1	3714628	3801243	ITGAE	protein_coding
ENSG00000177602	ENST00000325418	17	1	3723903	3726699	HASPIN	protein_coding
ENSG00000083457	ENST00000574026	17	-1	3728014	3743540	ITGAE	protein_coding
ENSG00000074356	ENST00000389005	17	-1	3802165	3846251	NCBP3	protein_coding
ENSG00000074356	ENST00000576523	17	-1	3812540	3813250	NCBP3	protein_coding
ENSG00000004660	ENST00000381769	17	-1	3860315	3890743	CAMKK1	protein_coding
ENSG00000004660	ENST00000348335	17	-1	3860315	3893044	CAMKK1	protein_coding
ENSG00000004660	ENST00000158166	17	-1	3865157	3893044	CAMKK1	protein_coding
ENSG00000108405	ENST00000225538	17	-1	3896592	3916500	P2RX1	protein_coding
ENSG00000074370	ENST00000309890	17	-1	3923870	3964464	ATP2A3	protein_coding
ENSG00000074370	ENST00000397035	17	-1	3923875	3964419	ATP2A3	protein_coding
ENSG00000074370	ENST00000397041	17	-1	3923875	3964419	ATP2A3	protein_coding
ENSG00000074370	ENST00000570845	17	-1	3925291	3930371	ATP2A3	protein_coding
ENSG00000074370	ENST00000359983	17	-1	3925291	3964291	ATP2A3	protein_coding
ENSG00000074370	ENST00000352011	17	-1	3925291	3964346	ATP2A3	protein_coding
ENSG00000074370	ENST00000397043	17	-1	3925346	3964415	ATP2A3	protein_coding
ENSG00000074370	ENST00000572116	17	-1	3925378	3930371	ATP2A3	protein_coding
ENSG00000074755	ENST00000381638	17	-1	4004445	4143020	ZZEF1	protein_coding
ENSG00000074755	ENST00000573183	17	-1	4022417	4062798	ZZEF1	protein_coding
ENSG00000167740	ENST00000577075	17	1	4143168	4157085	CYB5D2	protein_coding
ENSG00000167740	ENST00000575251	17	1	4143211	4157572	CYB5D2	protein_coding
ENSG00000167740	ENST00000301391	17	1	4143256	4157697	CYB5D2	protein_coding
ENSG00000167740	ENST00000573984	17	1	4143702	4187310	CYB5D2	protein_coding
ENSG00000185722	ENST00000341657	17	-1	4163907	4263977	ANKFY1	protein_coding
ENSG00000185722	ENST00000570535	17	-1	4165074	4263847	ANKFY1	protein_coding
ENSG00000185722	ENST00000574367	17	-1	4166274	4263956	ANKFY1	protein_coding
ENSG00000185722	ENST00000574736	17	-1	4183526	4187109	ANKFY1	protein_coding
ENSG00000132388	ENST00000396981	17	-1	4269259	4366482	UBE2G1	protein_coding
ENSG00000132388	ENST00000572484	17	-1	4271980	4366628	UBE2G1	protein_coding
ENSG00000132388	ENST00000571953	17	-1	4282899	4331923	UBE2G1	protein_coding
ENSG00000132388	ENST00000574059	17	-1	4296733	4345780	UBE2G1	protein_coding
ENSG00000182557	ENST00000355530	17	1	4433688	4488208	SPNS3	protein_coding
ENSG00000183018	ENST00000329078	17	1	4498838	4539035	SPNS2	protein_coding
ENSG00000183018	ENST00000571386	17	1	4533032	4537798	SPNS2	protein_coding
ENSG00000132382	ENST00000381556	17	-1	4538897	4555386	MYBBP1A	protein_coding
ENSG00000132382	ENST00000573116	17	-1	4538902	4554912	MYBBP1A	protein_coding
ENSG00000132382	ENST00000254718	17	-1	4538902	4555631	MYBBP1A	protein_coding
ENSG00000132382	ENST00000573723	17	-1	4538944	4550061	MYBBP1A	protein_coding
ENSG00000132382	ENST00000572759	17	-1	4539523	4545126	MYBBP1A	protein_coding
ENSG00000167741	ENST00000301395	17	-1	4556927	4560581	GGT6	protein_coding
ENSG00000167741	ENST00000574154	17	-1	4557312	4560818	GGT6	protein_coding
ENSG00000167741	ENST00000381550	17	-1	4557425	4560576	GGT6	protein_coding
ENSG00000167741	ENST00000573591	17	-1	4557820	4559935	GGT6	protein_coding
ENSG00000167741	ENST00000574584	17	-1	4558367	4560564	GGT6	protein_coding
ENSG00000188176	ENST00000338859	17	1	4583999	4608319	SMTNL2	protein_coding
ENSG00000188176	ENST00000389313	17	1	4584539	4608314	SMTNL2	protein_coding
ENSG00000188176	ENST00000572951	17	1	4592355	4595260	SMTNL2	protein_coding
ENSG00000161905	ENST00000570836	17	-1	4630902	4642294	ALOX15	protein_coding
ENSG00000161905	ENST00000293761	17	-1	4630926	4641665	ALOX15	protein_coding
ENSG00000161905	ENST00000574640	17	-1	4631334	4641935	ALOX15	protein_coding
ENSG00000161905	ENST00000572265	17	-1	4638927	4639882	ALOX15	protein_coding
ENSG00000161905	ENST00000576394	17	-1	4639438	4641875	ALOX15	protein_coding
ENSG00000141456	ENST00000572293	17	-1	4669774	4704325	PELP1	protein_coding
ENSG00000141456	ENST00000574876	17	-1	4671385	4704129	PELP1	protein_coding
