ENSG00000177706	ENST00000313766	7	1	192969	260745	FAM20C	protein_coding
ENSG00000164828	ENST00000439679	7	1	816755	842086	SUN1	protein_coding
ENSG00000164828	ENST00000424128	7	1	816866	838986	SUN1	protein_coding
ENSG00000164828	ENST00000457598	7	1	830930	842035	SUN1	protein_coding
ENSG00000164828	ENST00000421580	7	1	831922	842019	SUN1	protein_coding
ENSG00000164828	ENST00000405266	7	1	832501	874900	SUN1	protein_coding
ENSG00000164828	ENST00000401592	7	1	832501	874902	SUN1	protein_coding
ENSG00000164828	ENST00000403868	7	1	832503	843818	SUN1	protein_coding
ENSG00000164828	ENST00000425407	7	1	832505	874920	SUN1	protein_coding
ENSG00000164828	ENST00000450881	7	1	838796	852651	SUN1	protein_coding
ENSG00000164828	ENST00000419312	7	1	843341	851481	SUN1	protein_coding
ENSG00000164828	ENST00000429178	7	1	843370	874899	SUN1	protein_coding
ENSG00000164828	ENST00000433212	7	1	848608	874902	SUN1	protein_coding
ENSG00000239857	ENST00000265857	7	1	876552	896434	GET4	protein_coding
ENSG00000239857	ENST00000412734	7	1	877905	891066	GET4	protein_coding
ENSG00000239857	ENST00000407192	7	1	883543	896436	GET4	protein_coding
ENSG00000239857	ENST00000441491	7	1	884024	887519	GET4	protein_coding
ENSG00000239857	ENST00000426056	7	1	887033	891054	GET4	protein_coding
ENSG00000105963	ENST00000617043	7	-1	897901	920889	ADAP1	protein_coding
ENSG00000105963	ENST00000449296	7	-1	897901	927216	ADAP1	protein_coding
ENSG00000105963	ENST00000611167	7	-1	897901	945816	ADAP1	protein_coding
ENSG00000105963	ENST00000539900	7	-1	897901	955407	ADAP1	protein_coding
ENSG00000105963	ENST00000265846	7	-1	897903	954697	ADAP1	protein_coding
ENSG00000105963	ENST00000649206	7	-1	897903	954697	ADAP1	protein_coding
ENSG00000105963	ENST00000446141	7	-1	897909	927216	ADAP1	protein_coding
ENSG00000105963	ENST00000453175	7	-1	898917	905077	ADAP1	protein_coding
ENSG00000105963	ENST00000437486	7	-1	899465	920889	ADAP1	protein_coding
ENSG00000105963	ENST00000454383	7	-1	900142	935180	ADAP1	protein_coding
ENSG00000105963	ENST00000453823	7	-1	900533	927514	ADAP1	protein_coding
ENSG00000105963	ENST00000435943	7	-1	904247	955406	ADAP1	protein_coding
ENSG00000240230	ENST00000344111	7	-1	966075	975599	COX19	protein_coding
ENSG00000073067	ENST00000308919	7	1	983199	989640	CYP2W1	protein_coding
ENSG00000073067	ENST00000340150	7	1	983358	989640	CYP2W1	protein_coding
ENSG00000073067	ENST00000415893	7	1	986657	988804	CYP2W1	protein_coding
ENSG00000146540	ENST00000357429	7	-1	996986	1138257	C7orf50	protein_coding
ENSG00000146540	ENST00000397100	7	-1	996987	1138257	C7orf50	protein_coding
ENSG00000146540	ENST00000397098	7	-1	997006	1138240	C7orf50	protein_coding
ENSG00000146540	ENST00000412051	7	-1	997016	1028339	C7orf50	protein_coding
ENSG00000146540	ENST00000444428	7	-1	997607	1055306	C7orf50	protein_coding
ENSG00000146540	ENST00000491163	7	-1	997633	1138260	C7orf50	protein_coding
ENSG00000164849	ENST00000444847	7	1	1044576	1058461	GPR146	protein_coding
ENSG00000164849	ENST00000397095	7	1	1055285	1059261	GPR146	protein_coding
ENSG00000164849	ENST00000427680	7	1	1056657	1057631	GPR146	protein_coding
ENSG00000164850	ENST00000401670	7	1	1082208	1092881	GPER1	protein_coding
ENSG00000164850	ENST00000413368	7	1	1086807	1091949	GPER1	protein_coding
ENSG00000164850	ENST00000397092	7	1	1086807	1093815	GPER1	protein_coding
ENSG00000164850	ENST00000297469	7	1	1086876	1093815	GPER1	protein_coding
ENSG00000164850	ENST00000397088	7	1	1088087	1093810	GPER1	protein_coding
ENSG00000164850	ENST00000617001	7	1	1091628	1093809	GPER1	protein_coding
ENSG00000164850	ENST00000619052	7	1	1092938	1093741	GPER1	protein_coding
ENSG00000178381	ENST00000401903	7	-1	1152071	1160178	ZFAND2A	protein_coding
ENSG00000178381	ENST00000397083	7	-1	1152907	1160153	ZFAND2A	protein_coding
ENSG00000178381	ENST00000316495	7	-1	1152907	1160178	ZFAND2A	protein_coding
ENSG00000178381	ENST00000574135	7	-1	1152908	1157732	ZFAND2A	protein_coding
ENSG00000164853	ENST00000316333	7	1	1232907	1237318	UNCX	protein_coding
ENSG00000164877	ENST00000297508	7	-1	1434366	1459502	MICALL2	protein_coding
ENSG00000164880	ENST00000404767	7	-1	1470277	1504367	INTS1	protein_coding
ENSG00000164880	ENST00000483196	7	-1	1471133	1473150	INTS1	protein_coding
ENSG00000198517	ENST00000343242	7	1	1530714	1543043	MAFK	protein_coding
ENSG00000198517	ENST00000406174	7	1	1538708	1540373	MAFK	protein_coding
ENSG00000164855	ENST00000297477	7	-1	1542235	1556430	TMEM184A	protein_coding
ENSG00000164855	ENST00000319010	7	-1	1548649	1556237	TMEM184A	protein_coding
ENSG00000164855	ENST00000414730	7	-1	1550148	1555531	TMEM184A	protein_coding
ENSG00000164855	ENST00000441933	7	-1	1550305	1556120	TMEM184A	protein_coding
ENSG00000164855	ENST00000431208	7	-1	1550362	1560821	TMEM184A	protein_coding
ENSG00000157778	ENST00000288607	7	-1	1567330	1569993	PSMG3	protein_coding
ENSG00000157778	ENST00000404674	7	-1	1567351	1570045	PSMG3	protein_coding
ENSG00000157778	ENST00000252329	7	-1	1567613	1571005	PSMG3	protein_coding
ENSG00000225968	ENST00000424383	7	1	1688119	1747954	ELFN1	protein_coding
ENSG00000225968	ENST00000561626	7	1	1709162	1747954	ELFN1	protein_coding
ENSG00000002822	ENST00000265854	7	-1	1815794	2230418	MAD1L1	protein_coding
ENSG00000002822	ENST00000402746	7	-1	1815794	2232945	MAD1L1	protein_coding
ENSG00000002822	ENST00000399654	7	-1	1815794	2232974	MAD1L1	protein_coding
ENSG00000002822	ENST00000406869	7	-1	1815794	2233243	MAD1L1	protein_coding
ENSG00000002822	ENST00000450235	7	-1	1816082	1980791	MAD1L1	protein_coding
ENSG00000002822	ENST00000437877	7	-1	1898200	1940549	MAD1L1	protein_coding
ENSG00000002822	ENST00000438959	7	-1	1957629	2080013	MAD1L1	protein_coding
ENSG00000002822	ENST00000444373	7	-1	1980486	2109601	MAD1L1	protein_coding
ENSG00000002822	ENST00000421113	7	-1	2014506	2107708	MAD1L1	protein_coding
ENSG00000002822	ENST00000445959	7	-1	2213212	2223628	MAD1L1	protein_coding
ENSG00000002822	ENST00000429625	7	-1	2215957	2225598	MAD1L1	protein_coding
ENSG00000002822	ENST00000455998	7	-1	2219353	2230661	MAD1L1	protein_coding
ENSG00000002822	ENST00000429779	7	-1	2222575	2232945	MAD1L1	protein_coding
ENSG00000122687	ENST00000242257	7	-1	2234291	2242198	MRM2	protein_coding
ENSG00000122687	ENST00000440306	7	-1	2234293	2241303	MRM2	protein_coding
ENSG00000122687	ENST00000407040	7	-1	2235047	2239244	MRM2	protein_coding
ENSG00000106268	ENST00000356714	7	1	2242222	2251145	NUDT1	protein_coding
ENSG00000106268	ENST00000397046	7	1	2242259	2251145	NUDT1	protein_coding
ENSG00000106268	ENST00000397048	7	1	2242261	2251145	NUDT1	protein_coding
ENSG00000106268	ENST00000454650	7	1	2242277	2244685	NUDT1	protein_coding
ENSG00000106268	ENST00000339737	7	1	2242905	2251145	NUDT1	protein_coding
ENSG00000106268	ENST00000343985	7	1	2242905	2251145	NUDT1	protein_coding
ENSG00000106268	ENST00000397049	7	1	2244476	2251145	NUDT1	protein_coding
ENSG00000106266	ENST00000222990	7	-1	2251770	2314464	SNX8	protein_coding
ENSG00000106266	ENST00000435060	7	-1	2264366	2309946	SNX8	protein_coding
ENSG00000106266	ENST00000457286	7	-1	2264393	2299437	SNX8	protein_coding
ENSG00000106266	ENST00000435336	7	-1	2264440	2354309	SNX8	protein_coding
ENSG00000106266	ENST00000447136	7	-1	2275116	2354318	SNX8	protein_coding
ENSG00000106266	ENST00000419693	7	-1	2278114	2307950	SNX8	protein_coding
ENSG00000106263	ENST00000431643	7	1	2354086	2366435	EIF3B	protein_coding
ENSG00000106263	ENST00000360876	7	1	2354866	2380743	EIF3B	protein_coding
ENSG00000106263	ENST00000413917	7	1	2354867	2364396	EIF3B	protein_coding
ENSG00000106263	ENST00000397011	7	1	2354882	2380745	EIF3B	protein_coding
ENSG00000136213	ENST00000618655	7	1	2403560	2434579	CHST12	protein_coding
ENSG00000136213	ENST00000258711	7	1	2403588	2448483	CHST12	protein_coding
ENSG00000136213	ENST00000432336	7	1	2404099	2433375	CHST12	protein_coding
ENSG00000275572	ENST00000614228	7	-1	2474844	2476383	GRIFIN	protein_coding
ENSG00000106003	ENST00000402506	7	1	2512529	2528427	LFNG	protein_coding
ENSG00000106003	ENST00000402045	7	1	2517863	2528429	LFNG	protein_coding
ENSG00000106003	ENST00000338732	7	1	2518554	2528427	LFNG	protein_coding
ENSG00000106003	ENST00000222725	7	1	2519842	2528429	LFNG	protein_coding
ENSG00000106003	ENST00000359574	7	1	2519862	2529177	LFNG	protein_coding
ENSG00000106003	ENST00000614382	7	1	2524648	2528427	LFNG	protein_coding
ENSG00000106009	ENST00000340611	7	-1	2537877	2555727	BRAT1	protein_coding
ENSG00000106012	ENST00000623361	7	1	2558972	2614733	IQCE	protein_coding
ENSG00000106012	ENST00000402050	7	1	2558998	2614734	IQCE	protein_coding
ENSG00000106012	ENST00000415271	7	1	2559021	2578526	IQCE	protein_coding
ENSG00000106012	ENST00000438376	7	1	2559052	2610162	IQCE	protein_coding
ENSG00000106012	ENST00000476665	7	1	2559079	2607555	IQCE	protein_coding
ENSG00000106012	ENST00000404984	7	1	2559138	2610269	IQCE	protein_coding
ENSG00000106012	ENST00000611775	7	1	2559149	2607562	IQCE	protein_coding
ENSG00000106012	ENST00000325979	7	1	2559424	2610162	IQCE	protein_coding
ENSG00000106012	ENST00000423395	7	1	2559427	2578355	IQCE	protein_coding
ENSG00000106012	ENST00000422276	7	1	2566559	2578355	IQCE	protein_coding
ENSG00000106012	ENST00000427817	7	1	2582027	2590021	IQCE	protein_coding
ENSG00000106012	ENST00000423196	7	1	2596899	2607325	IQCE	protein_coding
ENSG00000136295	ENST00000258796	7	1	2631951	2664802	TTYH3	protein_coding
ENSG00000136295	ENST00000407643	7	1	2632156	2664800	TTYH3	protein_coding
ENSG00000136295	ENST00000400376	7	1	2645532	2647176	TTYH3	protein_coding
ENSG00000136295	ENST00000403167	7	1	2647703	2664800	TTYH3	protein_coding
ENSG00000136295	ENST00000429448	7	1	2656092	2661842	TTYH3	protein_coding
ENSG00000174945	ENST00000312371	7	1	2679522	2716529	AMZ1	protein_coding
ENSG00000174945	ENST00000407112	7	1	2688202	2713100	AMZ1	protein_coding
ENSG00000146535	ENST00000275364	7	-1	2728112	2844324	GNA12	protein_coding
ENSG00000146535	ENST00000407904	7	-1	2728561	2815259	GNA12	protein_coding
ENSG00000146535	ENST00000407653	7	-1	2728566	2763140	GNA12	protein_coding
ENSG00000146535	ENST00000447791	7	-1	2794967	2815258	GNA12	protein_coding
ENSG00000198286	ENST00000396946	7	-1	2906141	3043945	CARD11	protein_coding
ENSG00000198286	ENST00000355508	7	-1	2919480	2930060	CARD11	protein_coding
ENSG00000198286	ENST00000356408	7	-1	2947576	3043845	CARD11	protein_coding
ENSG00000146555	ENST00000404826	7	1	3301448	4269000	SDK1	protein_coding
ENSG00000146555	ENST00000389531	7	1	3301587	4266408	SDK1	protein_coding
ENSG00000146555	ENST00000615806	7	1	3301587	4269000	SDK1	protein_coding
ENSG00000146555	ENST00000426596	7	1	3950920	3958287	SDK1	protein_coding
ENSG00000164916	ENST00000328914	7	1	4682309	4771443	FOXK1	protein_coding
ENSG00000164916	ENST00000460979	7	1	4740859	4755051	FOXK1	protein_coding
ENSG00000242802	ENST00000348624	7	1	4775622	4791756	AP5Z1	protein_coding
ENSG00000242802	ENST00000649063	7	1	4775635	4791752	AP5Z1	protein_coding
ENSG00000242802	ENST00000650581	7	1	4786316	4791728	AP5Z1	protein_coding
ENSG00000242802	ENST00000648237	7	1	4789837	4791727	AP5Z1	protein_coding
ENSG00000157927	ENST00000399583	7	-1	4799105	4883719	RADIL	protein_coding
ENSG00000218823	ENST00000404991	7	-1	4857733	4861994	PAPOLB	protein_coding
ENSG00000157927	ENST00000457174	7	-1	4877738	4882209	RADIL	protein_coding
ENSG00000136297	ENST00000406755	7	-1	4905989	4959191	MMD2	protein_coding
ENSG00000136297	ENST00000404774	7	-1	4905989	4959212	MMD2	protein_coding
ENSG00000136297	ENST00000401401	7	-1	4905998	4959213	MMD2	protein_coding
ENSG00000136297	ENST00000612910	7	-1	4909734	4959213	MMD2	protein_coding
ENSG00000272968	ENST00000407184	7	1	4983718	5073221	RBAK-RBAKDN	protein_coding
ENSG00000146587	ENST00000353796	7	1	5045821	5067257	RBAK	protein_coding
ENSG00000272968	ENST00000396904	7	1	5045911	5073221	RBAK-RBAKDN	protein_coding
ENSG00000146587	ENST00000396912	7	1	5045922	5069488	RBAK	protein_coding
ENSG00000157954	ENST00000288828	7	1	5190188	5233826	WIPI2	protein_coding
ENSG00000157954	ENST00000401525	7	1	5190196	5231524	WIPI2	protein_coding
ENSG00000157954	ENST00000404704	7	1	5190246	5231104	WIPI2	protein_coding
ENSG00000157954	ENST00000382384	7	1	5190273	5231470	WIPI2	protein_coding
ENSG00000157954	ENST00000484262	7	1	5214269	5231064	WIPI2	protein_coding
ENSG00000164638	ENST00000434816	7	1	5274369	5291766	SLC29A4	protein_coding
ENSG00000164638	ENST00000396872	7	1	5282930	5306870	SLC29A4	protein_coding
ENSG00000164638	ENST00000444741	7	1	5282962	5291767	SLC29A4	protein_coding
ENSG00000164638	ENST00000297195	7	1	5282969	5304060	SLC29A4	protein_coding
ENSG00000164638	ENST00000406453	7	1	5283029	5304060	SLC29A4	protein_coding
ENSG00000182095	ENST00000399537	7	-1	5306790	5423546	TNRC18	protein_coding
ENSG00000182095	ENST00000430969	7	-1	5306800	5423546	TNRC18	protein_coding
ENSG00000182095	ENST00000328270	7	-1	5313111	5320607	TNRC18	protein_coding
ENSG00000182095	ENST00000455076	7	-1	5324222	5332878	TNRC18	protein_coding
ENSG00000182095	ENST00000440081	7	-1	5352002	5362027	TNRC18	protein_coding
ENSG00000182095	ENST00000413081	7	-1	5376114	5388029	TNRC18	protein_coding
ENSG00000182095	ENST00000434361	7	-1	5389305	5407394	TNRC18	protein_coding
ENSG00000182095	ENST00000399434	7	-1	5389450	5425414	TNRC18	protein_coding
ENSG00000155034	ENST00000453700	7	-1	5480451	5513768	FBXL18	protein_coding
ENSG00000155034	ENST00000382368	7	-1	5480558	5513798	FBXL18	protein_coding
ENSG00000155034	ENST00000620087	7	-1	5480582	5500996	FBXL18	protein_coding
ENSG00000155034	ENST00000458142	7	-1	5489178	5501919	FBXL18	protein_coding
ENSG00000075624	ENST00000331789	7	-1	5527147	5530709	ACTB	protein_coding
ENSG00000075624	ENST00000646664	7	-1	5527148	5530601	ACTB	protein_coding
ENSG00000075624	ENST00000464611	7	-1	5527151	5528098	ACTB	protein_coding
ENSG00000075624	ENST00000493945	7	-1	5527536	5530602	ACTB	protein_coding
ENSG00000075624	ENST00000645576	7	-1	5528011	5530597	ACTB	protein_coding
ENSG00000075624	ENST00000647275	7	-1	5528150	5530604	ACTB	protein_coding
ENSG00000075624	ENST00000642480	7	-1	5528586	5529949	ACTB	protein_coding
ENSG00000075624	ENST00000432588	7	-1	5528592	5563784	ACTB	protein_coding
ENSG00000075624	ENST00000443528	7	-1	5529216	5562828	ACTB	protein_coding
ENSG00000075624	ENST00000417101	7	-1	5529235	5529982	ACTB	protein_coding
ENSG00000075624	ENST00000414620	7	-1	5529282	5562790	ACTB	protein_coding
ENSG00000075618	ENST00000382361	7	1	5592823	5606655	FSCN1	protein_coding
ENSG00000075618	ENST00000444748	7	1	5593848	5603983	FSCN1	protein_coding
ENSG00000075618	ENST00000447103	7	1	5594547	5603946	FSCN1	protein_coding
ENSG00000075618	ENST00000405801	7	1	5594686	5603998	FSCN1	protein_coding
ENSG00000011275	ENST00000425013	7	-1	5620047	5781696	RNF216	protein_coding
ENSG00000011275	ENST00000389902	7	-1	5622607	5781739	RNF216	protein_coding
ENSG00000011275	ENST00000416985	7	-1	5761011	5781620	RNF216	protein_coding
ENSG00000122543	ENST00000416608	7	1	5879827	5886242	OCM	protein_coding
ENSG00000122543	ENST00000242104	7	1	5880798	5886362	OCM	protein_coding
ENSG00000122674	ENST00000325974	7	1	5898734	5925974	CCZ1	protein_coding
ENSG00000122674	ENST00000628813	7	1	5898800	5926550	CCZ1	protein_coding
ENSG00000155026	ENST00000539903	7	-1	5925550	5959083	RSPH10B	protein_coding
ENSG00000155026	ENST00000337579	7	-1	5926146	5967204	RSPH10B	protein_coding
ENSG00000155026	ENST00000404406	7	-1	5926146	5970683	RSPH10B	protein_coding
ENSG00000155026	ENST00000405415	7	-1	5926146	5970683	RSPH10B	protein_coding
ENSG00000155026	ENST00000542644	7	-1	5967077	5970683	RSPH10B	protein_coding
ENSG00000155026	ENST00000455618	7	-1	5967104	5970632	RSPH10B	protein_coding
ENSG00000122512	ENST00000265849	7	-1	5973239	6009125	PMS2	protein_coding
ENSG00000122512	ENST00000441476	7	-1	5973242	6009106	PMS2	protein_coding
ENSG00000122512	ENST00000642292	7	-1	5973247	6009097	PMS2	protein_coding
ENSG00000122512	ENST00000642456	7	-1	5973274	6009075	PMS2	protein_coding
ENSG00000122512	ENST00000644110	7	-1	5973399	6004006	PMS2	protein_coding
ENSG00000122512	ENST00000382321	7	-1	5973399	6009019	PMS2	protein_coding
ENSG00000106305	ENST00000223029	7	1	6009245	6023834	AIMP2	protein_coding
ENSG00000106305	ENST00000400479	7	1	6009255	6023695	AIMP2	protein_coding
ENSG00000106305	ENST00000395236	7	1	6009316	6023747	AIMP2	protein_coding
ENSG00000086232	ENST00000199389	7	-1	6022244	6059230	EIF2AK1	protein_coding
ENSG00000086232	ENST00000422786	7	-1	6023176	6026552	EIF2AK1	protein_coding
ENSG00000157999	ENST00000409061	7	1	6031376	6036386	ANKRD61	protein_coding
ENSG00000086232	ENST00000446699	7	-1	6047204	6059164	EIF2AK1	protein_coding
ENSG00000106346	ENST00000306177	7	1	6104884	6161564	USP42	protein_coding
ENSG00000106346	ENST00000465073	7	1	6104977	6149822	USP42	protein_coding
ENSG00000106346	ENST00000426246	7	1	6116480	6155147	USP42	protein_coding
ENSG00000008256	ENST00000350796	7	-1	6161776	6272644	CYTH3	protein_coding
ENSG00000008256	ENST00000396741	7	-1	6161776	6272644	CYTH3	protein_coding
ENSG00000178397	ENST00000313324	7	-1	6329409	6348959	FAM220A	protein_coding
ENSG00000178397	ENST00000616824	7	-1	6329412	6348959	FAM220A	protein_coding
ENSG00000178397	ENST00000524898	7	-1	6330795	6338693	FAM220A	protein_coding
ENSG00000178397	ENST00000530143	7	-1	6330828	6348975	FAM220A	protein_coding
ENSG00000178397	ENST00000578372	7	-1	6331215	6348758	FAM220A	protein_coding
ENSG00000136238	ENST00000348035	7	1	6374523	6403977	RAC1	protein_coding
ENSG00000136238	ENST00000356142	7	1	6374539	6402520	RAC1	protein_coding
ENSG00000164535	ENST00000297056	7	-1	6409129	6448012	DAGLB	protein_coding
ENSG00000164535	ENST00000425398	7	-1	6409517	6447934	DAGLB	protein_coding
ENSG00000164535	ENST00000436575	7	-1	6409600	6484190	DAGLB	protein_coding
ENSG00000164535	ENST00000432248	7	-1	6426086	6447952	DAGLB	protein_coding
ENSG00000136240	ENST00000258739	7	-1	6461081	6484242	KDELR2	protein_coding
ENSG00000136240	ENST00000490996	7	-1	6462872	6484057	KDELR2	protein_coding
ENSG00000215045	ENST00000452113	7	-1	6497462	6536897	GRID2IP	protein_coding
ENSG00000215045	ENST00000435185	7	-1	6497727	6531186	GRID2IP	protein_coding
ENSG00000215045	ENST00000457091	7	-1	6497774	6551436	GRID2IP	protein_coding
ENSG00000136247	ENST00000405731	7	1	6577434	6588931	ZDHHC4	protein_coding
ENSG00000136247	ENST00000396707	7	1	6577434	6588978	ZDHHC4	protein_coding
ENSG00000136247	ENST00000396713	7	1	6577434	6588978	ZDHHC4	protein_coding
ENSG00000136247	ENST00000335965	7	1	6577453	6588926	ZDHHC4	protein_coding
ENSG00000136247	ENST00000396709	7	1	6577468	6588919	ZDHHC4	protein_coding
ENSG00000136247	ENST00000483589	7	1	6577481	6583431	ZDHHC4	protein_coding
ENSG00000136247	ENST00000396706	7	1	6577505	6589374	ZDHHC4	protein_coding
ENSG00000146576	ENST00000344417	7	1	6590017	6608726	C7orf26	protein_coding
ENSG00000146576	ENST00000359073	7	1	6590144	6608724	C7orf26	protein_coding
ENSG00000146576	ENST00000445375	7	1	6600037	6607851	C7orf26	protein_coding
ENSG00000236609	ENST00000457543	7	1	6615617	6624290	ZNF853	protein_coding
ENSG00000205903	ENST00000382252	7	1	6637322	6656432	ZNF316	protein_coding
ENSG00000205903	ENST00000427912	7	1	6641885	6644565	ZNF316	protein_coding
ENSG00000164631	ENST00000404360	7	-1	6688433	6700914	ZNF12	protein_coding
ENSG00000164631	ENST00000405858	7	-1	6688433	6706923	ZNF12	protein_coding
ENSG00000164631	ENST00000342651	7	-1	6690449	6706923	ZNF12	protein_coding
ENSG00000164631	ENST00000394917	7	-1	6697373	6706843	ZNF12	protein_coding
ENSG00000169402	ENST00000403107	7	1	6754109	6798763	RSPH10B2	protein_coding
ENSG00000169402	ENST00000404077	7	1	6754109	6798765	RSPH10B2	protein_coding
ENSG00000169402	ENST00000435395	7	1	6754117	6757706	RSPH10B2	protein_coding
ENSG00000169402	ENST00000418406	7	1	6754117	6757854	RSPH10B2	protein_coding
ENSG00000169402	ENST00000297186	7	1	6757590	6798765	RSPH10B2	protein_coding
ENSG00000146574	ENST00000316731	7	-1	6798361	6826770	CCZ1B	protein_coding
ENSG00000146574	ENST00000626257	7	-1	6798941	6826770	CCZ1B	protein_coding
ENSG00000106392	ENST00000429911	7	1	7156934	7238428	C1GALT1	protein_coding
ENSG00000106392	ENST00000419721	7	1	7182547	7238334	C1GALT1	protein_coding
ENSG00000106392	ENST00000436587	7	1	7182615	7248647	C1GALT1	protein_coding
ENSG00000106392	ENST00000223122	7	1	7234258	7248651	C1GALT1	protein_coding
ENSG00000106392	ENST00000402468	7	1	7234320	7238964	C1GALT1	protein_coding
ENSG00000215018	ENST00000453441	7	-1	7356568	7360459	COL28A1	protein_coding
ENSG00000215018	ENST00000399429	7	-1	7357875	7535853	COL28A1	protein_coding
ENSG00000215018	ENST00000435823	7	-1	7431218	7437435	COL28A1	protein_coding
ENSG00000164654	ENST00000340080	7	1	7566872	7607496	MIOS	protein_coding
ENSG00000164654	ENST00000405785	7	1	7566875	7607223	MIOS	protein_coding
ENSG00000164654	ENST00000433635	7	1	7566961	7572925	MIOS	protein_coding
ENSG00000164654	ENST00000456533	7	1	7566988	7573013	MIOS	protein_coding
ENSG00000164654	ENST00000433056	7	1	7567053	7572667	MIOS	protein_coding
ENSG00000164654	ENST00000445169	7	1	7567483	7572667	MIOS	protein_coding
ENSG00000106399	ENST00000223129	7	-1	7636518	7718607	RPA3	protein_coding
ENSG00000106399	ENST00000406109	7	-1	7636927	7640816	RPA3	protein_coding
ENSG00000106399	ENST00000396682	7	-1	7636932	7640972	RPA3	protein_coding
ENSG00000106399	ENST00000401447	7	-1	7636975	7640026	RPA3	protein_coding
ENSG00000219545	ENST00000463725	7	1	7640752	7877443	UMAD1	protein_coding
ENSG00000219545	ENST00000636849	7	1	7640776	7879185	UMAD1	protein_coding
ENSG00000219545	ENST00000482067	7	1	7640794	7968020	UMAD1	protein_coding
ENSG00000106415	ENST00000223145	7	1	7968794	8089080	GLCCI1	protein_coding
ENSG00000106415	ENST00000414914	7	1	7969687	8070955	GLCCI1	protein_coding
ENSG00000106415	ENST00000430798	7	1	7969687	8071010	GLCCI1	protein_coding
ENSG00000003147	ENST00000402384	7	-1	8113184	8262281	ICA1	protein_coding
ENSG00000003147	ENST00000406470	7	-1	8113187	8262612	ICA1	protein_coding
ENSG00000003147	ENST00000265577	7	-1	8113255	8262206	ICA1	protein_coding
ENSG00000003147	ENST00000396675	7	-1	8113309	8262052	ICA1	protein_coding
ENSG00000003147	ENST00000401396	7	-1	8113779	8236894	ICA1	protein_coding
ENSG00000003147	ENST00000422063	7	-1	8113923	8235926	ICA1	protein_coding
ENSG00000003147	ENST00000407906	7	-1	8156557	8262612	ICA1	protein_coding
ENSG00000003147	ENST00000317367	7	-1	8157116	8236894	ICA1	protein_coding
ENSG00000003147	ENST00000447326	7	-1	8218398	8262543	ICA1	protein_coding
ENSG00000003147	ENST00000430867	7	-1	8218479	8262069	ICA1	protein_coding
ENSG00000003147	ENST00000446305	7	-1	8228642	8262687	ICA1	protein_coding
ENSG00000122584	ENST00000405863	7	1	8433955	8752963	NXPH1	protein_coding
ENSG00000122584	ENST00000438764	7	1	8435063	8751371	NXPH1	protein_coding
ENSG00000122584	ENST00000429542	7	1	8435195	8751383	NXPH1	protein_coding
ENSG00000122584	ENST00000602349	7	1	8751007	8752959	NXPH1	protein_coding
ENSG00000189043	ENST00000339600	7	-1	10931951	10940256	NDUFA4	protein_coding
ENSG00000106443	ENST00000642461	7	1	10973336	11110321	PHF14	protein_coding
ENSG00000106443	ENST00000403050	7	1	10973872	11103655	PHF14	protein_coding
ENSG00000106443	ENST00000634607	7	1	10973904	11169630	PHF14	protein_coding
ENSG00000005108	ENST00000423059	7	-1	11370357	11832198	THSD7A	protein_coding
ENSG00000005108	ENST00000617773	7	-1	11370437	11832198	THSD7A	protein_coding
ENSG00000106460	ENST00000396668	7	1	12211241	12233089	TMEM106B	protein_coding
