ENSMUSG00000047735	ENSMUST00000201638	6	-1	3376950	3385006	Samd9l	protein_coding
ENSMUSG00000062995	ENSMUST00000115518	6	-1	8659001	8778487	Ica1	protein_coding
ENSMUSG00000062995	ENSMUST00000126430	6	-1	8659002	8737097	Ica1	protein_coding
ENSMUSG00000062995	ENSMUST00000126039	6	-1	8749729	8770540	Ica1	protein_coding
ENSMUSG00000062995	ENSMUST00000151758	6	-1	8754634	8778123	Ica1	protein_coding
ENSMUSG00000046178	ENSMUST00000160300	6	1	8948614	9249032	Nxph1	protein_coding
ENSMUSG00000046178	ENSMUST00000060369	6	1	8949676	9249030	Nxph1	protein_coding
ENSMUSG00000029632	ENSMUST00000204978	6	-1	11900291	11907482	Ndufa4	protein_coding
ENSMUSG00000029632	ENSMUST00000204084	6	-1	11900371	11907392	Ndufa4	protein_coding
ENSMUSG00000029632	ENSMUST00000031637	6	-1	11900372	11907449	Ndufa4	protein_coding
ENSMUSG00000029632	ENSMUST00000204714	6	-1	11900375	11907496	Ndufa4	protein_coding
ENSMUSG00000029629	ENSMUST00000155037	6	1	11907808	11933409	Phf14	protein_coding
ENSMUSG00000029629	ENSMUST00000115510	6	1	11925880	12008012	Phf14	protein_coding
ENSMUSG00000029629	ENSMUST00000090632	6	1	11925914	12008080	Phf14	protein_coding
ENSMUSG00000029629	ENSMUST00000115511	6	1	11925915	12081204	Phf14	protein_coding
ENSMUSG00000029629	ENSMUST00000133776	6	1	11926782	11986457	Phf14	protein_coding
ENSMUSG00000032625	ENSMUST00000172356	6	-1	12311609	12749252	Thsd7a	protein_coding
ENSMUSG00000032625	ENSMUST00000119581	6	-1	12317086	12749409	Thsd7a	protein_coding
ENSMUSG00000029571	ENSMUST00000124234	6	1	13069758	13075093	Tmem106b	protein_coding
ENSMUSG00000029571	ENSMUST00000142211	6	1	13069815	13071952	Tmem106b	protein_coding
ENSMUSG00000029571	ENSMUST00000031556	6	1	13069838	13089268	Tmem106b	protein_coding
ENSMUSG00000029571	ENSMUST00000122916	6	1	13070250	13081651	Tmem106b	protein_coding
ENSMUSG00000079679	ENSMUST00000203074	6	-1	13156298	13224964	Vwde	protein_coding
ENSMUSG00000079679	ENSMUST00000054530	6	-1	13185609	13224964	Vwde	protein_coding
ENSMUSG00000029569	ENSMUST00000031554	6	-1	13580686	13608099	Tmem168	protein_coding
ENSMUSG00000029569	ENSMUST00000149123	6	-1	13580686	13608099	Tmem168	protein_coding
ENSMUSG00000042742	ENSMUST00000045235	6	-1	13625672	13677965	Bmt2	protein_coding
ENSMUSG00000042742	ENSMUST00000203078	6	-1	13626814	13677937	Bmt2	protein_coding
ENSMUSG00000048216	ENSMUST00000060442	6	-1	13834457	13839941	Gpr85	protein_coding
ENSMUSG00000048216	ENSMUST00000115492	6	-1	13835067	13838453	Gpr85	protein_coding
ENSMUSG00000048216	ENSMUST00000115491	6	-1	13835076	13837240	Gpr85	protein_coding
ENSMUSG00000052419	ENSMUST00000139231	6	-1	13867734	13871517	2610001J05Rik	protein_coding
ENSMUSG00000052419	ENSMUST00000155856	6	-1	13869799	13871465	2610001J05Rik	protein_coding
ENSMUSG00000052419	ENSMUST00000185219	6	-1	13869859	13871464	2610001J05Rik	protein_coding
ENSMUSG00000052419	ENSMUST00000185361	6	-1	13870000	13871464	2610001J05Rik	protein_coding
ENSMUSG00000042717	ENSMUST00000045096	6	-1	14713976	14755273	Ppp1r3a	protein_coding
ENSMUSG00000029563	ENSMUST00000115477	6	1	14901348	15441976	Foxp2	protein_coding
ENSMUSG00000029563	ENSMUST00000128567	6	1	14901476	15286769	Foxp2	protein_coding
ENSMUSG00000029563	ENSMUST00000115470	6	1	15184646	15199343	Foxp2	protein_coding
ENSMUSG00000029563	ENSMUST00000154448	6	1	15185202	15197074	Foxp2	protein_coding
ENSMUSG00000029563	ENSMUST00000115474	6	1	15185505	15438022	Foxp2	protein_coding
ENSMUSG00000029563	ENSMUST00000115472	6	1	15185505	15438303	Foxp2	protein_coding
ENSMUSG00000029563	ENSMUST00000031545	6	1	15185505	15441200	Foxp2	protein_coding
ENSMUSG00000029563	ENSMUST00000137628	6	1	15185562	15394814	Foxp2	protein_coding
ENSMUSG00000029563	ENSMUST00000140557	6	1	15196950	15379818	Foxp2	protein_coding
ENSMUSG00000029563	ENSMUST00000131414	6	1	15196950	15405674	Foxp2	protein_coding
ENSMUSG00000029563	ENSMUST00000115469	6	1	15196963	15405674	Foxp2	protein_coding
ENSMUSG00000041390	ENSMUST00000101663	6	1	15720660	15802164	Mdfic	protein_coding
ENSMUSG00000041390	ENSMUST00000190255	6	1	15720660	15802164	Mdfic	protein_coding
ENSMUSG00000041390	ENSMUST00000189359	6	1	15720660	15802168	Mdfic	protein_coding
ENSMUSG00000041390	ENSMUST00000125326	6	1	15720720	15773303	Mdfic	protein_coding
ENSMUSG00000041390	ENSMUST00000120512	6	1	15721086	15800807	Mdfic	protein_coding
ENSMUSG00000041390	ENSMUST00000128849	6	1	15727798	15770348	Mdfic	protein_coding
ENSMUSG00000029553	ENSMUST00000031533	6	-1	16833372	16898440	Tfec	protein_coding
ENSMUSG00000029553	ENSMUST00000201406	6	-1	16834691	16835262	Tfec	protein_coding
ENSMUSG00000029552	ENSMUST00000115467	6	1	17065148	17105822	Tes	protein_coding
ENSMUSG00000029552	ENSMUST00000154266	6	1	17065167	17097387	Tes	protein_coding
ENSMUSG00000029552	ENSMUST00000076654	6	1	17065223	17105827	Tes	protein_coding
ENSMUSG00000000058	ENSMUST00000000058	6	1	17281184	17289114	Cav2	protein_coding
ENSMUSG00000000058	ENSMUST00000115459	6	1	17281326	17282683	Cav2	protein_coding
ENSMUSG00000000058	ENSMUST00000115462	6	1	17281358	17287437	Cav2	protein_coding
ENSMUSG00000007655	ENSMUST00000007799	6	1	17306334	17341323	Cav1	protein_coding
ENSMUSG00000007655	ENSMUST00000115456	6	1	17306344	17340428	Cav1	protein_coding
ENSMUSG00000007655	ENSMUST00000115455	6	1	17306409	17339295	Cav1	protein_coding
ENSMUSG00000007655	ENSMUST00000150901	6	1	17306422	17308202	Cav1	protein_coding
ENSMUSG00000007655	ENSMUST00000123439	6	1	17307047	17339152	Cav1	protein_coding
ENSMUSG00000007655	ENSMUST00000115454	6	1	17307277	17339518	Cav1	protein_coding
ENSMUSG00000007655	ENSMUST00000115453	6	1	17307639	17341451	Cav1	protein_coding
ENSMUSG00000009376	ENSMUST00000115443	6	1	17463799	17573979	Met	protein_coding
ENSMUSG00000009376	ENSMUST00000140070	6	1	17463826	17491746	Met	protein_coding
ENSMUSG00000009376	ENSMUST00000115442	6	1	17464037	17572228	Met	protein_coding
ENSMUSG00000009376	ENSMUST00000080469	6	1	17491240	17571822	Met	protein_coding
ENSMUSG00000009376	ENSMUST00000152802	6	1	17535000	17547209	Met	protein_coding
ENSMUSG00000009376	ENSMUST00000148903	6	1	17546972	17553429	Met	protein_coding
ENSMUSG00000015733	ENSMUST00000015877	6	1	17636982	17666971	Capza2	protein_coding
ENSMUSG00000015733	ENSMUST00000152005	6	1	17637112	17660809	Capza2	protein_coding
ENSMUSG00000029534	ENSMUST00000115420	6	1	17693946	17943021	St7	protein_coding
ENSMUSG00000029534	ENSMUST00000115419	6	1	17693993	17943021	St7	protein_coding
ENSMUSG00000029534	ENSMUST00000052113	6	1	17694031	17942965	St7	protein_coding
ENSMUSG00000029534	ENSMUST00000081635	6	1	17694031	17942965	St7	protein_coding
ENSMUSG00000029534	ENSMUST00000115418	6	1	17694166	17942965	St7	protein_coding
ENSMUSG00000029534	ENSMUST00000000674	6	1	17743591	17942965	St7	protein_coding
ENSMUSG00000029534	ENSMUST00000077080	6	1	17743591	17942965	St7	protein_coding
ENSMUSG00000029534	ENSMUST00000053148	6	1	17749169	17943024	St7	protein_coding
ENSMUSG00000029534	ENSMUST00000115417	6	1	17749215	17943019	St7	protein_coding
ENSMUSG00000010797	ENSMUST00000010941	6	-1	17988939	18030584	Wnt2	protein_coding
ENSMUSG00000010796	ENSMUST00000010940	6	-1	18050963	18109056	Asz1	protein_coding
ENSMUSG00000041301	ENSMUST00000045706	6	1	18170686	18322767	Cftr	protein_coding
ENSMUSG00000041301	ENSMUST00000129452	6	1	18170770	18236654	Cftr	protein_coding
ENSMUSG00000041301	ENSMUST00000115406	6	1	18170823	18321032	Cftr	protein_coding
ENSMUSG00000000416	ENSMUST00000146775	6	-1	18366564	18434450	Cttnbp2	protein_coding
ENSMUSG00000000416	ENSMUST00000090601	6	-1	18367220	18514820	Cttnbp2	protein_coding
ENSMUSG00000000416	ENSMUST00000141581	6	-1	18389144	18408693	Cttnbp2	protein_coding
ENSMUSG00000000416	ENSMUST00000129669	6	-1	18435250	18513090	Cttnbp2	protein_coding
ENSMUSG00000000416	ENSMUST00000142963	6	-1	18448249	18502055	Cttnbp2	protein_coding
ENSMUSG00000044155	ENSMUST00000056398	6	1	18848578	18854052	Lsm8	protein_coding
ENSMUSG00000044155	ENSMUST00000201141	6	1	18848667	18853746	Lsm8	protein_coding
ENSMUSG00000029517	ENSMUST00000031489	6	1	18866317	18879585	Ankrd7	protein_coding
ENSMUSG00000029517	ENSMUST00000115396	6	1	18866349	18879581	Ankrd7	protein_coding
ENSMUSG00000060882	ENSMUST00000081542	6	1	21215502	21729804	Kcnd2	protein_coding
ENSMUSG00000029669	ENSMUST00000120965	6	-1	21771394	21852087	Tspan12	protein_coding
ENSMUSG00000029669	ENSMUST00000031678	6	-1	21771394	21852514	Tspan12	protein_coding
ENSMUSG00000029669	ENSMUST00000123116	6	-1	21795577	21851980	Tspan12	protein_coding
ENSMUSG00000029669	ENSMUST00000134635	6	-1	21799949	21851913	Tspan12	protein_coding
ENSMUSG00000029669	ENSMUST00000143531	6	-1	21835388	21852168	Tspan12	protein_coding
ENSMUSG00000029669	ENSMUST00000202353	6	-1	21851004	21851827	Tspan12	protein_coding
ENSMUSG00000029670	ENSMUST00000031680	6	1	21949570	21976037	Ing3	protein_coding
ENSMUSG00000029670	ENSMUST00000115389	6	1	21949656	21974902	Ing3	protein_coding
ENSMUSG00000029670	ENSMUST00000151473	6	1	21949669	21970063	Ing3	protein_coding
ENSMUSG00000029670	ENSMUST00000149728	6	1	21950019	21967670	Ing3	protein_coding
ENSMUSG00000062980	ENSMUST00000115383	6	1	21985915	22256403	Cped1	protein_coding
ENSMUSG00000062980	ENSMUST00000115382	6	1	21986595	22124035	Cped1	protein_coding
ENSMUSG00000062980	ENSMUST00000137437	6	1	22017065	22240002	Cped1	protein_coding
ENSMUSG00000029671	ENSMUST00000128245	6	1	22288226	22293578	Wnt16	protein_coding
ENSMUSG00000029671	ENSMUST00000031681	6	1	22288229	22298521	Wnt16	protein_coding
ENSMUSG00000029671	ENSMUST00000148639	6	1	22288287	22294584	Wnt16	protein_coding
ENSMUSG00000029671	ENSMUST00000176681	6	1	22288860	22297826	Wnt16	protein_coding
ENSMUSG00000029672	ENSMUST00000165576	6	-1	22306519	22356165	Fam3c	protein_coding
ENSMUSG00000029672	ENSMUST00000163963	6	-1	22307881	22356097	Fam3c	protein_coding
ENSMUSG00000029672	ENSMUST00000081288	6	-1	22307881	22356242	Fam3c	protein_coding
ENSMUSG00000029672	ENSMUST00000168965	6	-1	22322289	22343912	Fam3c	protein_coding
ENSMUSG00000068748	ENSMUST00000090568	6	1	22875501	23052915	Ptprz1	protein_coding
ENSMUSG00000068748	ENSMUST00000202579	6	1	22875721	23004677	Ptprz1	protein_coding
ENSMUSG00000068748	ENSMUST00000202102	6	1	22875776	23052616	Ptprz1	protein_coding
ENSMUSG00000029695	ENSMUST00000031707	6	-1	23072172	23132985	Aass	protein_coding
ENSMUSG00000029695	ENSMUST00000149864	6	-1	23092282	23127611	Aass	protein_coding
ENSMUSG00000029697	ENSMUST00000031709	6	-1	23245043	23248361	Fezf1	protein_coding
ENSMUSG00000017978	ENSMUST00000166458	6	-1	23262772	23839136	Cadps2	protein_coding
ENSMUSG00000017978	ENSMUST00000115358	6	-1	23262772	23839419	Cadps2	protein_coding
ENSMUSG00000017978	ENSMUST00000163871	6	-1	23262772	23839420	Cadps2	protein_coding
ENSMUSG00000017978	ENSMUST00000018122	6	-1	23262822	23839224	Cadps2	protein_coding
ENSMUSG00000017978	ENSMUST00000142913	6	-1	23262837	23839136	Cadps2	protein_coding
ENSMUSG00000017978	ENSMUST00000115361	6	-1	23262838	23839223	Cadps2	protein_coding
ENSMUSG00000017978	ENSMUST00000125350	6	-1	23263507	23587423	Cadps2	protein_coding
ENSMUSG00000017978	ENSMUST00000069074	6	-1	23263507	23839142	Cadps2	protein_coding
ENSMUSG00000017978	ENSMUST00000115356	6	-1	23408824	23839262	Cadps2	protein_coding
ENSMUSG00000051956	ENSMUST00000063548	6	-1	23648868	23650304	Rnf133	protein_coding
ENSMUSG00000051956	ENSMUST00000115354	6	-1	23648873	23650205	Rnf133	protein_coding
ENSMUSG00000078179	ENSMUST00000104979	6	-1	23653897	23655135	Rnf148	protein_coding
ENSMUSG00000043865	ENSMUST00000062463	6	-1	23969160	23970059	Tas2r118	protein_coding
ENSMUSG00000029700	ENSMUST00000031713	6	-1	24088282	24168091	Slc13a1	protein_coding
ENSMUSG00000046192	ENSMUST00000052277	6	-1	24444864	24515066	Iqub	protein_coding
ENSMUSG00000023089	ENSMUST00000118558	6	-1	24518665	24527569	Ndufa5	protein_coding
ENSMUSG00000023089	ENSMUST00000023851	6	-1	24518665	24528012	Ndufa5	protein_coding
ENSMUSG00000029685	ENSMUST00000031696	6	1	24528143	24570983	Asb15	protein_coding
ENSMUSG00000029685	ENSMUST00000117688	6	1	24556071	24573163	Asb15	protein_coding
ENSMUSG00000029683	ENSMUST00000031694	6	1	24597761	24605413	Lmod2	protein_coding
ENSMUSG00000029684	ENSMUST00000031695	6	-1	24613804	24665008	Wasl	protein_coding
ENSMUSG00000029684	ENSMUST00000041737	6	-1	24632684	24664987	Wasl	protein_coding
ENSMUSG00000029679	ENSMUST00000031690	6	1	24733244	24745451	Hyal6	protein_coding
ENSMUSG00000029680	ENSMUST00000031691	6	1	24748328	24767661	Hyal4	protein_coding
ENSMUSG00000029682	ENSMUST00000202569	6	1	24791187	24801047	Spam1	protein_coding
ENSMUSG00000029682	ENSMUST00000202331	6	1	24791200	24801047	Spam1	protein_coding
ENSMUSG00000029682	ENSMUST00000031693	6	1	24795823	24801047	Spam1	protein_coding
ENSMUSG00000029678	ENSMUST00000200968	6	1	24857996	24891957	Hyal5	protein_coding
ENSMUSG00000029678	ENSMUST00000031689	6	1	24875908	24891804	Hyal5	protein_coding
ENSMUSG00000048022	ENSMUST00000127247	6	-1	24951140	24956296	Tmem229a	protein_coding
ENSMUSG00000039904	ENSMUST00000200812	6	-1	25665877	25689791	Gpr37	protein_coding
ENSMUSG00000039904	ENSMUST00000054867	6	-1	25667502	25690728	Gpr37	protein_coding
ENSMUSG00000029676	ENSMUST00000115330	6	-1	25743736	25809225	Pot1a	protein_coding
ENSMUSG00000029676	ENSMUST00000166445	6	-1	25744580	25798016	Pot1a	protein_coding
ENSMUSG00000029676	ENSMUST00000115327	6	-1	25757684	25809194	Pot1a	protein_coding
ENSMUSG00000024211	ENSMUST00000115323	6	-1	27275118	28134544	Grm8	protein_coding
ENSMUSG00000024211	ENSMUST00000115324	6	-1	27275127	28126124	Grm8	protein_coding
ENSMUSG00000024211	ENSMUST00000090512	6	-1	27275611	28126194	Grm8	protein_coding
ENSMUSG00000024211	ENSMUST00000131897	6	-1	27761342	28133324	Grm8	protein_coding
ENSMUSG00000024211	ENSMUST00000132755	6	-1	28126063	28133128	Grm8	protein_coding
ENSMUSG00000039841	ENSMUST00000115320	6	-1	28239926	28261910	Zfp800	protein_coding
ENSMUSG00000039841	ENSMUST00000035930	6	-1	28240239	28398004	Zfp800	protein_coding
ENSMUSG00000039841	ENSMUST00000115321	6	-1	28241448	28261922	Zfp800	protein_coding
ENSMUSG00000039841	ENSMUST00000123098	6	-1	28243557	28261913	Zfp800	protein_coding
ENSMUSG00000039841	ENSMUST00000155494	6	-1	28244484	28261931	Zfp800	protein_coding
ENSMUSG00000029708	ENSMUST00000090511	6	-1	28416090	28421723	Gcc1	protein_coding
ENSMUSG00000029708	ENSMUST00000064377	6	-1	28417828	28428389	Gcc1	protein_coding
ENSMUSG00000029708	ENSMUST00000165455	6	-1	28419661	28420857	Gcc1	protein_coding
ENSMUSG00000029708	ENSMUST00000170767	6	-1	28421279	28424152	Gcc1	protein_coding
ENSMUSG00000020440	ENSMUST00000020717	6	1	28423559	28426601	Arf5	protein_coding
ENSMUSG00000020440	ENSMUST00000169841	6	1	28423589	28426345	Arf5	protein_coding
ENSMUSG00000029707	ENSMUST00000031719	6	1	28427788	28438621	Fscn3	protein_coding
ENSMUSG00000029706	ENSMUST00000164519	6	-1	28442333	28449250	Pax4	protein_coding
ENSMUSG00000029706	ENSMUST00000031718	6	-1	28442333	28449352	Pax4	protein_coding
ENSMUSG00000029706	ENSMUST00000171089	6	-1	28442338	28449250	Pax4	protein_coding
ENSMUSG00000029706	ENSMUST00000174194	6	-1	28442374	28447179	Pax4	protein_coding
ENSMUSG00000001424	ENSMUST00000168362	6	1	28475138	28523736	Snd1	protein_coding
ENSMUSG00000001424	ENSMUST00000001460	6	1	28480347	28888831	Snd1	protein_coding
ENSMUSG00000001424	ENSMUST00000167201	6	1	28480358	28935161	Snd1	protein_coding
ENSMUSG00000049939	ENSMUST00000171353	6	-1	28661830	28830344	Lrrc4	protein_coding
ENSMUSG00000049939	ENSMUST00000062304	6	-1	28828132	28831746	Lrrc4	protein_coding
ENSMUSG00000059201	ENSMUST00000069789	6	1	29060219	29073876	Lep	protein_coding
ENSMUSG00000059201	ENSMUST00000169505	6	1	29065461	29070971	Lep	protein_coding
ENSMUSG00000029701	ENSMUST00000007993	6	-1	29123575	29165005	Rbm28	protein_coding
ENSMUSG00000029701	ENSMUST00000164563	6	-1	29125180	29131301	Rbm28	protein_coding
ENSMUSG00000079654	ENSMUST00000159200	6	-1	29169231	29179583	Prrt4	protein_coding
ENSMUSG00000003500	ENSMUST00000162739	6	-1	29200433	29216330	Impdh1	protein_coding
ENSMUSG00000003500	ENSMUST00000160878	6	-1	29200436	29212248	Impdh1	protein_coding
ENSMUSG00000003500	ENSMUST00000078155	6	-1	29200436	29212296	Impdh1	protein_coding
ENSMUSG00000003500	ENSMUST00000159124	6	-1	29200436	29216363	Impdh1	protein_coding
ENSMUSG00000003500	ENSMUST00000162099	6	-1	29200437	29216341	Impdh1	protein_coding
ENSMUSG00000003500	ENSMUST00000162242	6	-1	29200444	29203419	Impdh1	protein_coding
ENSMUSG00000003500	ENSMUST00000162215	6	-1	29205106	29216276	Impdh1	protein_coding
ENSMUSG00000003500	ENSMUST00000160749	6	-1	29206994	29215928	Impdh1	protein_coding
