ENSMUSG00000091618	ENSMUST00000216211	10	-1	3207930	3217750	H60c	protein_coding
ENSMUSG00000000766	ENSMUST00000000783	10	1	6738809	6788680	Oprm1	protein_coding
ENSMUSG00000000766	ENSMUST00000092731	10	1	6738809	6789919	Oprm1	protein_coding
ENSMUSG00000000766	ENSMUST00000154906	10	1	6738809	6791380	Oprm1	protein_coding
ENSMUSG00000000766	ENSMUST00000105605	10	1	6738809	6791537	Oprm1	protein_coding
ENSMUSG00000000766	ENSMUST00000135502	10	1	6738809	6929754	Oprm1	protein_coding
ENSMUSG00000000766	ENSMUST00000052751	10	1	6738809	6987201	Oprm1	protein_coding
ENSMUSG00000000766	ENSMUST00000105611	10	1	6738809	6988198	Oprm1	protein_coding
ENSMUSG00000000766	ENSMUST00000105603	10	1	6738837	6782793	Oprm1	protein_coding
ENSMUSG00000000766	ENSMUST00000105604	10	1	6738837	6789954	Oprm1	protein_coding
ENSMUSG00000064065	ENSMUST00000105617	10	-1	6835796	6930376	Ipcef1	protein_coding
ENSMUSG00000064065	ENSMUST00000078070	10	-1	6840439	6929711	Ipcef1	protein_coding
ENSMUSG00000064065	ENSMUST00000170680	10	-1	6861543	6973185	Ipcef1	protein_coding
ENSMUSG00000064065	ENSMUST00000086896	10	-1	6861543	7002478	Ipcef1	protein_coding
ENSMUSG00000064065	ENSMUST00000145156	10	-1	6869835	6973167	Ipcef1	protein_coding
ENSMUSG00000064065	ENSMUST00000151960	10	-1	6906062	6950444	Ipcef1	protein_coding
ENSMUSG00000015202	ENSMUST00000150282	10	-1	7069063	7085506	Cnksr3	protein_coding
ENSMUSG00000015202	ENSMUST00000015346	10	-1	7069063	7162237	Cnksr3	protein_coding
ENSMUSG00000079685	ENSMUST00000218087	10	-1	7390362	7423361	Ulbp1	protein_coding
ENSMUSG00000079685	ENSMUST00000177585	10	-1	7393038	7423638	Ulbp1	protein_coding
ENSMUSG00000079685	ENSMUST00000169796	10	-1	7396183	7423341	Ulbp1	protein_coding
ENSMUSG00000019796	ENSMUST00000134346	10	1	7465564	7484331	Lrp11	protein_coding
ENSMUSG00000019796	ENSMUST00000019931	10	1	7465581	7501247	Lrp11	protein_coding
ENSMUSG00000019796	ENSMUST00000130590	10	1	7465743	7501247	Lrp11	protein_coding
ENSMUSG00000019796	ENSMUST00000135907	10	1	7465891	7499786	Lrp11	protein_coding
ENSMUSG00000019796	ENSMUST00000124961	10	1	7471948	7499516	Lrp11	protein_coding
ENSMUSG00000019795	ENSMUST00000162606	10	-1	7505137	7539372	Pcmt1	protein_coding
ENSMUSG00000019795	ENSMUST00000159917	10	-1	7505145	7539067	Pcmt1	protein_coding
ENSMUSG00000019795	ENSMUST00000161428	10	-1	7513494	7524919	Pcmt1	protein_coding
ENSMUSG00000019795	ENSMUST00000163085	10	-1	7513494	7539025	Pcmt1	protein_coding
ENSMUSG00000019795	ENSMUST00000162682	10	-1	7520096	7556900	Pcmt1	protein_coding
ENSMUSG00000019795	ENSMUST00000159977	10	-1	7523383	7556894	Pcmt1	protein_coding
ENSMUSG00000040034	ENSMUST00000040135	10	1	7543267	7554645	Nup43	protein_coding
ENSMUSG00000040021	ENSMUST00000165952	10	1	7556978	7592224	Lats1	protein_coding
ENSMUSG00000040021	ENSMUST00000217931	10	1	7567011	7589350	Lats1	protein_coding
ENSMUSG00000040021	ENSMUST00000040043	10	1	7567011	7589350	Lats1	protein_coding
ENSMUSG00000019794	ENSMUST00000019929	10	1	7601764	7638913	Katna1	protein_coding
ENSMUSG00000019794	ENSMUST00000165806	10	1	7601764	7638914	Katna1	protein_coding
ENSMUSG00000019794	ENSMUST00000174007	10	1	7635536	7638828	Katna1	protein_coding
ENSMUSG00000019794	ENSMUST00000173511	10	1	7636997	7638912	Katna1	protein_coding
ENSMUSG00000040006	ENSMUST00000039763	10	-1	7643711	7656681	Ginm1	protein_coding
ENSMUSG00000040006	ENSMUST00000124838	10	-1	7643720	7656655	Ginm1	protein_coding
ENSMUSG00000040006	ENSMUST00000065124	10	-1	7668287	7668586	Ginm1	protein_coding
ENSMUSG00000015757	ENSMUST00000015901	10	1	7668655	7698899	Ppil4	protein_coding
ENSMUSG00000039981	ENSMUST00000039484	10	1	7708234	7746160	Zc3h12d	protein_coding
ENSMUSG00000015755	ENSMUST00000146444	10	-1	7781417	7831994	Tab2	protein_coding
ENSMUSG00000015755	ENSMUST00000147938	10	-1	7787256	7831657	Tab2	protein_coding
ENSMUSG00000015755	ENSMUST00000130322	10	-1	7795104	7800024	Tab2	protein_coding
ENSMUSG00000047712	ENSMUST00000061601	10	-1	8080573	8394589	Ust	protein_coding
ENSMUSG00000015305	ENSMUST00000015449	10	-1	8597983	8761814	Sash1	protein_coding
ENSMUSG00000015305	ENSMUST00000212869	10	-1	8620363	8632525	Sash1	protein_coding
ENSMUSG00000015305	ENSMUST00000212553	10	-1	8626923	8638238	Sash1	protein_coding
ENSMUSG00000060487	ENSMUST00000100070	10	-1	9498680	9550952	Samd5	protein_coding
ENSMUSG00000019790	ENSMUST00000038213	10	-1	9631291	9776427	Stxbp5	protein_coding
ENSMUSG00000019790	ENSMUST00000141722	10	-1	9635702	9776823	Stxbp5	protein_coding
ENSMUSG00000019790	ENSMUST00000125200	10	-1	9636657	9776427	Stxbp5	protein_coding
ENSMUSG00000019790	ENSMUST00000136324	10	-1	9645181	9673941	Stxbp5	protein_coding
ENSMUSG00000050994	ENSMUST00000179956	10	-1	10211447	10348058	Adgb	protein_coding
ENSMUSG00000050994	ENSMUST00000172530	10	-1	10211453	10348070	Adgb	protein_coding
ENSMUSG00000050994	ENSMUST00000208717	10	-1	10211682	10348058	Adgb	protein_coding
ENSMUSG00000050994	ENSMUST00000045328	10	-1	10275646	10305583	Adgb	protein_coding
ENSMUSG00000050994	ENSMUST00000132573	10	-1	10276304	10348070	Adgb	protein_coding
ENSMUSG00000019832	ENSMUST00000019974	10	-1	10420746	10434009	Rab32	protein_coding
ENSMUSG00000078481	ENSMUST00000105564	10	1	10557092	10557602	Gm10944	protein_coding
ENSMUSG00000019828	ENSMUST00000044306	10	-1	10561803	10958100	Grm1	protein_coding
ENSMUSG00000019828	ENSMUST00000105561	10	-1	10564332	10958049	Grm1	protein_coding
ENSMUSG00000019828	ENSMUST00000105560	10	-1	10564545	10956700	Grm1	protein_coding
ENSMUSG00000090112	ENSMUST00000044053	10	1	11025174	11093339	Shprh	protein_coding
ENSMUSG00000090112	ENSMUST00000054814	10	1	11025268	11085296	Shprh	protein_coding
ENSMUSG00000090112	ENSMUST00000159541	10	1	11025268	11085296	Shprh	protein_coding
ENSMUSG00000047648	ENSMUST00000129456	10	1	11157074	11173796	Fbxo30	protein_coding
ENSMUSG00000047648	ENSMUST00000070300	10	1	11157331	11171262	Fbxo30	protein_coding
ENSMUSG00000055493	ENSMUST00000069106	10	1	11219148	11335388	Epm2a	protein_coding
ENSMUSG00000019820	ENSMUST00000076817	10	-1	12257932	12737479	Utrn	protein_coding
ENSMUSG00000019820	ENSMUST00000219003	10	-1	12257934	12424623	Utrn	protein_coding
ENSMUSG00000019820	ENSMUST00000218635	10	-1	12259124	12745109	Utrn	protein_coding
ENSMUSG00000019820	ENSMUST00000217994	10	-1	12259932	12490575	Utrn	protein_coding
ENSMUSG00000019820	ENSMUST00000219584	10	-1	12596569	12743915	Utrn	protein_coding
ENSMUSG00000019820	ENSMUST00000219660	10	-1	12596569	12744025	Utrn	protein_coding
ENSMUSG00000019820	ENSMUST00000217899	10	-1	12596578	12689359	Utrn	protein_coding
ENSMUSG00000019820	ENSMUST00000219130	10	-1	12623668	12702682	Utrn	protein_coding
ENSMUSG00000039232	ENSMUST00000042861	10	-1	12813953	12840006	Stx11	protein_coding
ENSMUSG00000039232	ENSMUST00000163425	10	-1	12813956	12840003	Stx11	protein_coding
ENSMUSG00000039232	ENSMUST00000218685	10	-1	12817471	12840042	Stx11	protein_coding
ENSMUSG00000039232	ENSMUST00000219727	10	-1	12817572	12840002	Stx11	protein_coding
ENSMUSG00000078348	ENSMUST00000105139	10	1	12881087	12884927	Sf3b5	protein_coding
ENSMUSG00000019817	ENSMUST00000193426	10	1	12936248	13003098	Plagl1	protein_coding
ENSMUSG00000019817	ENSMUST00000121646	10	1	12966532	13007438	Plagl1	protein_coding
ENSMUSG00000019817	ENSMUST00000121325	10	1	12966576	13006726	Plagl1	protein_coding
ENSMUSG00000019817	ENSMUST00000121766	10	1	12966579	13006713	Plagl1	protein_coding
ENSMUSG00000019817	ENSMUST00000143582	10	1	12966757	13000774	Plagl1	protein_coding
ENSMUSG00000019817	ENSMUST00000130313	10	1	12989209	13003085	Plagl1	protein_coding
ENSMUSG00000019817	ENSMUST00000145103	10	1	12992108	13000811	Plagl1	protein_coding
ENSMUSG00000019815	ENSMUST00000019954	10	-1	13025284	13053767	Zc2hc1b	protein_coding
ENSMUSG00000019814	ENSMUST00000019950	10	-1	13053884	13068912	Ltv1	protein_coding
ENSMUSG00000062866	ENSMUST00000105545	10	-1	13083461	13350156	Phactr2	protein_coding
ENSMUSG00000062866	ENSMUST00000105543	10	-1	13089139	13200033	Phactr2	protein_coding
ENSMUSG00000062866	ENSMUST00000105546	10	-1	13089139	13264497	Phactr2	protein_coding
ENSMUSG00000062866	ENSMUST00000079698	10	-1	13090002	13264714	Phactr2	protein_coding
ENSMUSG00000019810	ENSMUST00000130865	10	1	13375284	13376921	Fuca2	protein_coding
ENSMUSG00000019810	ENSMUST00000120549	10	1	13375288	13381624	Fuca2	protein_coding
ENSMUSG00000019810	ENSMUST00000060212	10	1	13376745	13391287	Fuca2	protein_coding
ENSMUSG00000019810	ENSMUST00000121465	10	1	13376745	13394779	Fuca2	protein_coding
ENSMUSG00000019809	ENSMUST00000170376	10	-1	13399586	13428886	Pex3	protein_coding
ENSMUSG00000019809	ENSMUST00000105541	10	-1	13399591	13428582	Pex3	protein_coding
ENSMUSG00000019809	ENSMUST00000019945	10	-1	13399860	13428883	Pex3	protein_coding
ENSMUSG00000019809	ENSMUST00000105539	10	-1	13399886	13428864	Pex3	protein_coding
ENSMUSG00000019808	ENSMUST00000019944	10	1	13428638	13439120	Adat2	protein_coding
ENSMUSG00000019806	ENSMUST00000162610	10	-1	13522798	13744724	Aig1	protein_coding
ENSMUSG00000019806	ENSMUST00000105534	10	-1	13523413	13744566	Aig1	protein_coding
ENSMUSG00000019806	ENSMUST00000019942	10	-1	13528195	13744701	Aig1	protein_coding
ENSMUSG00000015501	ENSMUST00000187083	10	1	13841819	14026333	Hivep2	protein_coding
ENSMUSG00000015501	ENSMUST00000015645	10	1	13842123	14027117	Hivep2	protein_coding
ENSMUSG00000015501	ENSMUST00000191138	10	1	13842123	14027118	Hivep2	protein_coding
ENSMUSG00000015501	ENSMUST00000186989	10	1	13842390	14004524	Hivep2	protein_coding
ENSMUSG00000039116	ENSMUST00000041168	10	-1	14278327	14420780	Adgrg6	protein_coding
ENSMUSG00000039116	ENSMUST00000238680	10	-1	14280306	14420780	Adgrg6	protein_coding
ENSMUSG00000039116	ENSMUST00000208429	10	-1	14283642	14421403	Adgrg6	protein_coding
ENSMUSG00000019868	ENSMUST00000154132	10	-1	14530499	14581304	Vta1	protein_coding
ENSMUSG00000019868	ENSMUST00000149485	10	-1	14531532	14581203	Vta1	protein_coding
ENSMUSG00000019865	ENSMUST00000191238	10	1	14581335	14642515	Nmbr	protein_coding
ENSMUSG00000019865	ENSMUST00000190114	10	1	14581365	14643040	Nmbr	protein_coding
ENSMUSG00000019867	ENSMUST00000020016	10	-1	14591367	14593958	Gje1	protein_coding
ENSMUSG00000019865	ENSMUST00000020015	10	1	14635901	14646594	Nmbr	protein_coding
ENSMUSG00000019865	ENSMUST00000190751	10	1	14635963	14646327	Nmbr	protein_coding
ENSMUSG00000039910	ENSMUST00000038107	10	1	17598966	17601422	Cited2	protein_coding
ENSMUSG00000039910	ENSMUST00000219558	10	1	17598981	17601391	Cited2	protein_coding
ENSMUSG00000039910	ENSMUST00000218370	10	1	17598990	17599721	Cited2	protein_coding
ENSMUSG00000039891	ENSMUST00000037964	10	1	17672004	17721413	Txlnb	protein_coding
ENSMUSG00000039879	ENSMUST00000217949	10	-1	17744360	17790970	Heca	protein_coding
ENSMUSG00000039879	ENSMUST00000037879	10	-1	17774783	17823815	Heca	protein_coding
ENSMUSG00000078453	ENSMUST00000020002	10	-1	17887008	17899036	Abracl	protein_coding
ENSMUSG00000078453	ENSMUST00000220110	10	-1	17887012	17898966	Abracl	protein_coding
ENSMUSG00000078453	ENSMUST00000218994	10	-1	17887272	17898626	Abracl	protein_coding
ENSMUSG00000078453	ENSMUST00000220433	10	-1	17887453	17898838	Abracl	protein_coding
ENSMUSG00000019854	ENSMUST00000154718	10	1	17931609	18000878	Reps1	protein_coding
ENSMUSG00000019854	ENSMUST00000126390	10	1	17931688	18000880	Reps1	protein_coding
ENSMUSG00000019854	ENSMUST00000164556	10	1	17931688	18000903	Reps1	protein_coding
ENSMUSG00000019854	ENSMUST00000150029	10	1	17931752	18000892	Reps1	protein_coding
ENSMUSG00000019854	ENSMUST00000155959	10	1	17968919	17979935	Reps1	protein_coding
ENSMUSG00000019854	ENSMUST00000155892	10	1	17970279	17993482	Reps1	protein_coding
ENSMUSG00000019854	ENSMUST00000216576	10	1	17979960	17983217	Reps1	protein_coding
ENSMUSG00000071392	ENSMUST00000207827	10	-1	18004770	18077101	Ect2l	protein_coding
ENSMUSG00000071392	ENSMUST00000209178	10	-1	18004770	18077101	Ect2l	protein_coding
ENSMUSG00000071392	ENSMUST00000208948	10	-1	18004770	18077101	Ect2l	protein_coding
ENSMUSG00000071392	ENSMUST00000095817	10	-1	18004770	18086638	Ect2l	protein_coding
ENSMUSG00000059554	ENSMUST00000080860	10	-1	18089424	18110744	Ccdc28a	protein_coding
ENSMUSG00000059554	ENSMUST00000174592	10	-1	18089430	18103221	Ccdc28a	protein_coding
ENSMUSG00000059554	ENSMUST00000173962	10	-1	18089806	18095362	Ccdc28a	protein_coding
ENSMUSG00000059554	ENSMUST00000173243	10	-1	18089826	18110746	Ccdc28a	protein_coding
ENSMUSG00000059554	ENSMUST00000052648	10	-1	18092532	18110726	Ccdc28a	protein_coding
ENSMUSG00000039835	ENSMUST00000207038	10	1	18194733	18407721	Nhsl1	protein_coding
ENSMUSG00000039835	ENSMUST00000037341	10	1	18283423	18409640	Nhsl1	protein_coding
ENSMUSG00000039835	ENSMUST00000162891	10	1	18345729	18401707	Nhsl1	protein_coding
ENSMUSG00000039835	ENSMUST00000100054	10	1	18345729	18409637	Nhsl1	protein_coding
ENSMUSG00000019853	ENSMUST00000020000	10	-1	18415246	18421824	Hebp2	protein_coding
ENSMUSG00000019853	ENSMUST00000213153	10	-1	18416506	18421635	Hebp2	protein_coding
ENSMUSG00000019853	ENSMUST00000214548	10	-1	18418618	18421812	Hebp2	protein_coding
ENSMUSG00000019852	ENSMUST00000215836	10	-1	18457587	18619697	Arfgef3	protein_coding
ENSMUSG00000019852	ENSMUST00000019999	10	-1	18465151	18619501	Arfgef3	protein_coding
ENSMUSG00000044624	ENSMUST00000216654	10	-1	18655473	18662541	Gm4922	protein_coding
ENSMUSG00000044624	ENSMUST00000055107	10	-1	18655561	18660759	Gm4922	protein_coding
ENSMUSG00000019851	ENSMUST00000019998	10	1	18720768	18732821	Perp	protein_coding
ENSMUSG00000019850	ENSMUST00000019997	10	-1	18876658	18891158	Tnfaip3	protein_coding
ENSMUSG00000019850	ENSMUST00000105527	10	-1	18876661	18887711	Tnfaip3	protein_coding
ENSMUSG00000019850	ENSMUST00000122863	10	-1	18884014	18891405	Tnfaip3	protein_coding
ENSMUSG00000019850	ENSMUST00000146388	10	-1	18887264	18890330	Tnfaip3	protein_coding
ENSMUSG00000045591	ENSMUST00000053225	10	1	19232281	19234352	Olig3	protein_coding
ENSMUSG00000020009	ENSMUST00000020188	10	1	19467697	19485977	Ifngr1	protein_coding
ENSMUSG00000039760	ENSMUST00000036564	10	1	19497746	19510429	Il22ra2	protein_coding
ENSMUSG00000020007	ENSMUST00000020185	10	1	19588318	19635801	Il20ra	protein_coding
ENSMUSG00000050473	ENSMUST00000059805	10	-1	19723662	19727205	Slc35d3	protein_coding
ENSMUSG00000020003	ENSMUST00000020182	10	-1	19729646	19783435	Pex7	protein_coding
ENSMUSG00000020003	ENSMUST00000166511	10	-1	19736578	19783393	Pex7	protein_coding
ENSMUSG00000071369	ENSMUST00000095806	10	1	19810218	20018499	Map3k5	protein_coding
ENSMUSG00000071369	ENSMUST00000120259	10	1	19810272	20017416	Map3k5	protein_coding
ENSMUSG00000071369	ENSMUST00000129437	10	1	19810969	19975904	Map3k5	protein_coding
ENSMUSG00000071369	ENSMUST00000152533	10	1	19826801	19899445	Map3k5	protein_coding
ENSMUSG00000019996	ENSMUST00000020173	10	1	20024217	20157268	Map7	protein_coding
ENSMUSG00000019996	ENSMUST00000116259	10	1	20024730	20157336	Map7	protein_coding
ENSMUSG00000019996	ENSMUST00000214231	10	1	20024741	20109604	Map7	protein_coding
ENSMUSG00000019996	ENSMUST00000215924	10	1	20046768	20121148	Map7	protein_coding
ENSMUSG00000019996	ENSMUST00000213312	10	1	20105541	20127638	Map7	protein_coding
ENSMUSG00000037608	ENSMUST00000092678	10	1	20188215	20218247	Bclaf1	protein_coding
ENSMUSG00000037608	ENSMUST00000043881	10	1	20188230	20218245	Bclaf1	protein_coding
ENSMUSG00000037608	ENSMUST00000185800	10	1	20188283	20216009	Bclaf1	protein_coding
ENSMUSG00000019992	ENSMUST00000169712	10	1	20223516	20237050	Mtfr2	protein_coding
ENSMUSG00000019992	ENSMUST00000217608	10	1	20223565	20233097	Mtfr2	protein_coding
ENSMUSG00000019990	ENSMUST00000020165	10	-1	20273750	20600824	Pde7b	protein_coding
ENSMUSG00000019990	ENSMUST00000169404	10	-1	20276164	20424074	Pde7b	protein_coding
ENSMUSG00000019990	ENSMUST00000170265	10	-1	20276164	20600442	Pde7b	protein_coding
ENSMUSG00000019990	ENSMUST00000164195	10	-1	20282833	20424216	Pde7b	protein_coding
ENSMUSG00000019986	ENSMUST00000105525	10	1	20828446	20956328	Ahi1	protein_coding
ENSMUSG00000019986	ENSMUST00000163505	10	1	20916719	20956327	Ahi1	protein_coding
ENSMUSG00000019982	ENSMUST00000188495	10	-1	21000834	21036804	Myb	protein_coding
ENSMUSG00000019982	ENSMUST00000020158	10	-1	21001175	21036883	Myb	protein_coding
ENSMUSG00000019977	ENSMUST00000020153	10	1	21171878	21244797	Hbs1l	protein_coding
ENSMUSG00000019977	ENSMUST00000218032	10	1	21171908	21212873	Hbs1l	protein_coding
ENSMUSG00000019977	ENSMUST00000061324	10	1	21171917	21187105	Hbs1l	protein_coding
ENSMUSG00000019977	ENSMUST00000219915	10	1	21171932	21244782	Hbs1l	protein_coding
ENSMUSG00000019977	ENSMUST00000092674	10	1	21171937	21187108	Hbs1l	protein_coding
ENSMUSG00000019977	ENSMUST00000218714	10	1	21171957	21228452	Hbs1l	protein_coding
ENSMUSG00000037542	ENSMUST00000042699	10	1	21253190	21272484	Aldh8a1	protein_coding
ENSMUSG00000050844	ENSMUST00000057341	10	1	21469044	21498275	1700020N01Rik	protein_coding
ENSMUSG00000019970	ENSMUST00000120509	10	1	21758083	21875792	Sgk1	protein_coding
ENSMUSG00000019970	ENSMUST00000124203	10	1	21804369	21866301	Sgk1	protein_coding
ENSMUSG00000019970	ENSMUST00000142174	10	1	21854571	21871792	Sgk1	protein_coding
ENSMUSG00000019970	ENSMUST00000164659	10	1	21854571	21875797	Sgk1	protein_coding
ENSMUSG00000019970	ENSMUST00000150089	10	1	21868122	21871773	Sgk1	protein_coding
ENSMUSG00000019970	ENSMUST00000100036	10	1	21868122	21875797	Sgk1	protein_coding
ENSMUSG00000019970	ENSMUST00000092673	10	1	21869789	21875790	Sgk1	protein_coding
ENSMUSG00000019970	ENSMUST00000020145	10	1	21870565	21875802	Sgk1	protein_coding
ENSMUSG00000019970	ENSMUST00000124350	10	1	21870809	21873333	Sgk1	protein_coding
ENSMUSG00000069712	ENSMUST00000092672	10	-1	21942206	21943978	4930444G20Rik	protein_coding
ENSMUSG00000097327	ENSMUST00000179054	10	-1	21988949	22025169	E030030I06Rik	protein_coding
ENSMUSG00000097327	ENSMUST00000069372	10	-1	22020320	22025169	E030030I06Rik	protein_coding
ENSMUSG00000053219	ENSMUST00000181645	10	1	22034468	22059816	Raet1e	protein_coding
ENSMUSG00000075297	ENSMUST00000105522	10	1	22034485	22164748	H60b	protein_coding
ENSMUSG00000053219	ENSMUST00000180648	10	1	22041537	22056625	Raet1e	protein_coding
ENSMUSG00000053219	ENSMUST00000065527	10	1	22049420	22059813	Raet1e	protein_coding
ENSMUSG00000053219	ENSMUST00000178026	10	1	22049818	22250038	Raet1e	protein_coding
ENSMUSG00000075297	ENSMUST00000131558	10	1	22149245	22164748	H60b	protein_coding
ENSMUSG00000078452	ENSMUST00000182677	10	1	22236451	22250038	Raet1d	protein_coding
ENSMUSG00000078452	ENSMUST00000095795	10	1	22237793	22250038	Raet1d	protein_coding
ENSMUSG00000037490	ENSMUST00000042261	10	1	22520910	22580184	Slc2a12	protein_coding
ENSMUSG00000071359	ENSMUST00000127698	10	-1	22579778	22607346	Tbpl1	protein_coding
ENSMUSG00000071359	ENSMUST00000095794	10	-1	22581280	22607837	Tbpl1	protein_coding
ENSMUSG00000118528	ENSMUST00000238910	10	-1	22587984	22607136	AC166256.1	protein_coding
ENSMUSG00000045680	ENSMUST00000049930	10	-1	22693180	22696073	Tcf21	protein_coding
ENSMUSG00000045680	ENSMUST00000218002	10	-1	22694271	22696058	Tcf21	protein_coding
ENSMUSG00000010461	ENSMUST00000092665	10	-1	22978862	23225801	Eya4	protein_coding
ENSMUSG00000010461	ENSMUST00000220299	10	-1	22980662	23226684	Eya4	protein_coding
ENSMUSG00000010461	ENSMUST00000219315	10	-1	22981368	23226034	Eya4	protein_coding
ENSMUSG00000010461	ENSMUST00000218049	10	-1	23035044	23112973	Eya4	protein_coding
ENSMUSG00000061983	ENSMUST00000218107	10	-1	23661081	23663173	Rps12	protein_coding
ENSMUSG00000061983	ENSMUST00000220070	10	-1	23661096	23662987	Rps12	protein_coding
ENSMUSG00000061983	ENSMUST00000218221	10	-1	23661096	23663115	Rps12	protein_coding
ENSMUSG00000061983	ENSMUST00000073926	10	-1	23661103	23663086	Rps12	protein_coding
