ENSMUSG00000017688	ENSMUST00000108394	3	1	3699210	3723112	Hnf4g	protein_coding
ENSMUSG00000052468	ENSMUST00000029034	3	-1	10244911	10248989	Pmp2	protein_coding
ENSMUSG00000027528	ENSMUST00000193487	3	-1	10258681	10262282	Fabp9	protein_coding
ENSMUSG00000027528	ENSMUST00000191678	3	-1	10258683	10262343	Fabp9	protein_coding
ENSMUSG00000027528	ENSMUST00000029038	3	-1	10258686	10262282	Fabp9	protein_coding
ENSMUSG00000062515	ENSMUST00000029041	3	-1	10269148	10273636	Fabp4	protein_coding
ENSMUSG00000027530	ENSMUST00000029043	3	-1	10309269	10366243	Fabp12	protein_coding
ENSMUSG00000027530	ENSMUST00000172126	3	-1	10310978	10319285	Fabp12	protein_coding
ENSMUSG00000027530	ENSMUST00000117917	3	-1	10310978	10319312	Fabp12	protein_coding
ENSMUSG00000027530	ENSMUST00000119761	3	-1	10311011	10366234	Fabp12	protein_coding
ENSMUSG00000027531	ENSMUST00000065938	3	-1	10377016	10396499	Impa1	protein_coding
ENSMUSG00000027531	ENSMUST00000118410	3	-1	10379014	10396499	Impa1	protein_coding
ENSMUSG00000027531	ENSMUST00000191670	3	-1	10379925	10396432	Impa1	protein_coding
ENSMUSG00000027531	ENSMUST00000128912	3	-1	10391242	10396192	Impa1	protein_coding
ENSMUSG00000058921	ENSMUST00000078748	3	-1	10396794	10400716	Slc10a5	protein_coding
ENSMUSG00000039795	ENSMUST00000037839	3	-1	10405013	10416377	Zfand1	protein_coding
ENSMUSG00000039795	ENSMUST00000108377	3	-1	10405679	10416373	Zfand1	protein_coding
ENSMUSG00000039795	ENSMUST00000140634	3	-1	10405877	10413685	Zfand1	protein_coding
ENSMUSG00000027536	ENSMUST00000029049	3	1	10431967	10460397	Chmp4c	protein_coding
ENSMUSG00000027534	ENSMUST00000099223	3	-1	10482877	10505162	Snx16	protein_coding
ENSMUSG00000027534	ENSMUST00000029047	3	-1	10483206	10505147	Snx16	protein_coding
ENSMUSG00000027534	ENSMUST00000195822	3	-1	10483997	10505160	Snx16	protein_coding
ENSMUSG00000039717	ENSMUST00000191806	3	1	13536715	13842163	Ralyl	protein_coding
ENSMUSG00000039717	ENSMUST00000193117	3	1	13536742	14247032	Ralyl	protein_coding
ENSMUSG00000039717	ENSMUST00000211860	3	1	13538280	14180787	Ralyl	protein_coding
ENSMUSG00000039717	ENSMUST00000108373	3	1	13841908	13842367	Ralyl	protein_coding
ENSMUSG00000039717	ENSMUST00000192209	3	1	14011453	14246184	Ralyl	protein_coding
ENSMUSG00000039717	ENSMUST00000171075	3	1	14011464	14247040	Ralyl	protein_coding
ENSMUSG00000039717	ENSMUST00000108372	3	1	14011471	14247347	Ralyl	protein_coding
ENSMUSG00000039710	ENSMUST00000037321	3	1	14545757	14570890	Slc7a12	protein_coding
ENSMUSG00000039710	ENSMUST00000120484	3	1	14545760	14570784	Slc7a12	protein_coding
ENSMUSG00000039710	ENSMUST00000120801	3	1	14545833	14570784	Slc7a12	protein_coding
ENSMUSG00000027550	ENSMUST00000108370	3	1	14598848	14637718	Lrrcc1	protein_coding
ENSMUSG00000027550	ENSMUST00000169079	3	1	14598883	14633361	Lrrcc1	protein_coding
ENSMUSG00000027550	ENSMUST00000091325	3	1	14598884	14631163	Lrrcc1	protein_coding
ENSMUSG00000027550	ENSMUST00000163660	3	1	14598939	14627223	Lrrcc1	protein_coding
ENSMUSG00000027550	ENSMUST00000167858	3	1	14613177	14631466	Lrrcc1	protein_coding
ENSMUSG00000027550	ENSMUST00000169799	3	1	14615440	14624385	Lrrcc1	protein_coding
ENSMUSG00000027552	ENSMUST00000029069	3	1	14643701	14671369	E2f5	protein_coding
ENSMUSG00000027552	ENSMUST00000165922	3	1	14643731	14671368	E2f5	protein_coding
ENSMUSG00000078784	ENSMUST00000185384	3	-1	14671344	14676345	Rbis	protein_coding
ENSMUSG00000078784	ENSMUST00000108365	3	-1	14671349	14676281	Rbis	protein_coding
ENSMUSG00000078784	ENSMUST00000186870	3	-1	14671349	14676321	Rbis	protein_coding
ENSMUSG00000078784	ENSMUST00000185423	3	-1	14671353	14676314	Rbis	protein_coding
ENSMUSG00000027555	ENSMUST00000029071	3	1	14706787	14728062	Car13	protein_coding
ENSMUSG00000027556	ENSMUST00000181860	3	-1	14831276	14873425	Car1	protein_coding
ENSMUSG00000027556	ENSMUST00000094365	3	-1	14831277	14843519	Car1	protein_coding
ENSMUSG00000027556	ENSMUST00000144327	3	-1	14835270	14873428	Car1	protein_coding
ENSMUSG00000027559	ENSMUST00000029076	3	1	14928598	14937583	Car3	protein_coding
ENSMUSG00000027562	ENSMUST00000192609	3	1	14951333	14960194	Car2	protein_coding
ENSMUSG00000027562	ENSMUST00000029078	3	1	14951488	14965830	Car2	protein_coding
ENSMUSG00000078783	ENSMUST00000108361	3	-1	15361611	15397362	Gm9733	protein_coding
ENSMUSG00000095788	ENSMUST00000099201	3	-1	15436713	15491482	Sirpb1a	protein_coding
ENSMUSG00000095788	ENSMUST00000192700	3	-1	15436713	15491580	Sirpb1a	protein_coding
ENSMUSG00000095788	ENSMUST00000194144	3	-1	15476249	15491506	Sirpb1a	protein_coding
ENSMUSG00000095028	ENSMUST00000192382	3	-1	15560811	15640045	Sirpb1b	protein_coding
ENSMUSG00000095028	ENSMUST00000091319	3	-1	15560811	15640125	Sirpb1b	protein_coding
ENSMUSG00000095028	ENSMUST00000195778	3	-1	15607996	15640051	Sirpb1b	protein_coding
ENSMUSG00000074677	ENSMUST00000148194	3	-1	15849309	15892807	Sirpb1c	protein_coding
ENSMUSG00000074677	ENSMUST00000108354	3	-1	15849309	15902583	Sirpb1c	protein_coding
ENSMUSG00000074677	ENSMUST00000108352	3	-1	15849309	15902611	Sirpb1c	protein_coding
ENSMUSG00000074677	ENSMUST00000050623	3	-1	15849309	15902692	Sirpb1c	protein_coding
ENSMUSG00000074677	ENSMUST00000108350	3	-1	15884964	15902655	Sirpb1c	protein_coding
ENSMUSG00000074677	ENSMUST00000108349	3	-1	15885405	15902607	Sirpb1c	protein_coding
ENSMUSG00000078780	ENSMUST00000194367	3	-1	16001034	16060601	Gm5150	protein_coding
ENSMUSG00000078780	ENSMUST00000108347	3	-1	16002234	16060496	Gm5150	protein_coding
ENSMUSG00000047213	ENSMUST00000108345	3	1	16237376	16271201	Ythdf3	protein_coding
ENSMUSG00000047213	ENSMUST00000191774	3	1	16237400	16269170	Ythdf3	protein_coding
ENSMUSG00000047213	ENSMUST00000108346	3	1	16237400	16271019	Ythdf3	protein_coding
ENSMUSG00000027564	ENSMUST00000029080	3	1	18002574	18003123	Cypt12	protein_coding
ENSMUSG00000025128	ENSMUST00000026120	3	1	18108338	18111681	Bhlhe22	protein_coding
ENSMUSG00000039519	ENSMUST00000035625	3	-1	18126114	18297502	Cyp7b1	protein_coding
ENSMUSG00000027599	ENSMUST00000029125	3	-1	19185566	19217229	Armc1	protein_coding
ENSMUSG00000027601	ENSMUST00000130806	3	1	19241491	19269858	Mtfr1	protein_coding
ENSMUSG00000027601	ENSMUST00000117529	3	1	19241493	19273883	Mtfr1	protein_coding
ENSMUSG00000027601	ENSMUST00000119865	3	1	19241511	19273534	Mtfr1	protein_coding
ENSMUSG00000027601	ENSMUST00000130645	3	1	19242274	19274981	Mtfr1	protein_coding
ENSMUSG00000027601	ENSMUST00000132035	3	1	19242478	19265715	Mtfr1	protein_coding
ENSMUSG00000069094	ENSMUST00000099195	3	-1	19277272	19365486	Pde7a	protein_coding
ENSMUSG00000069094	ENSMUST00000091314	3	-1	19278846	19319172	Pde7a	protein_coding
ENSMUSG00000069094	ENSMUST00000121951	3	-1	19290613	19319129	Pde7a	protein_coding
ENSMUSG00000027606	ENSMUST00000118968	3	1	19562759	19664896	Dnajc5b	protein_coding
ENSMUSG00000027606	ENSMUST00000029132	3	1	19562779	19665026	Dnajc5b	protein_coding
ENSMUSG00000027606	ENSMUST00000118735	3	1	19584835	19664914	Dnajc5b	protein_coding
ENSMUSG00000027606	ENSMUST00000165693	3	1	19585411	19665025	Dnajc5b	protein_coding
ENSMUSG00000082766	ENSMUST00000119133	3	-1	19664532	19682841	1700064H15Rik	protein_coding
ENSMUSG00000060913	ENSMUST00000029139	3	1	19698638	19746585	Trim55	protein_coding
ENSMUSG00000049796	ENSMUST00000061294	3	-1	19747565	19749560	Crh	protein_coding
ENSMUSG00000003617	ENSMUST00000091309	3	1	20011218	20047302	Cp	protein_coding
ENSMUSG00000003617	ENSMUST00000108329	3	1	20011218	20061773	Cp	protein_coding
ENSMUSG00000003617	ENSMUST00000003714	3	1	20011233	20063309	Cp	protein_coding
ENSMUSG00000003617	ENSMUST00000108328	3	1	20011275	20061773	Cp	protein_coding
ENSMUSG00000003617	ENSMUST00000108325	3	1	20011448	20046689	Cp	protein_coding
ENSMUSG00000003617	ENSMUST00000173848	3	1	20036167	20040067	Cp	protein_coding
ENSMUSG00000003617	ENSMUST00000172860	3	1	20039776	20046746	Cp	protein_coding
ENSMUSG00000003617	ENSMUST00000173779	3	1	20043316	20060522	Cp	protein_coding
ENSMUSG00000027615	ENSMUST00000012580	3	-1	20050109	20089479	Hps3	protein_coding
ENSMUSG00000027615	ENSMUST00000108321	3	-1	20050331	20089466	Hps3	protein_coding
ENSMUSG00000002428	ENSMUST00000002502	3	1	20111975	20172654	Hltf	protein_coding
ENSMUSG00000019528	ENSMUST00000118015	3	-1	20176248	20209481	Gyg	protein_coding
ENSMUSG00000019528	ENSMUST00000178328	3	-1	20176251	20209260	Gyg	protein_coding
ENSMUSG00000019528	ENSMUST00000184552	3	-1	20176311	20209233	Gyg	protein_coding
ENSMUSG00000001865	ENSMUST00000001921	3	-1	20269784	20296345	Cpa3	protein_coding
ENSMUSG00000011463	ENSMUST00000011607	3	-1	20302428	20329897	Cpb1	protein_coding
ENSMUSG00000054988	ENSMUST00000068316	3	-1	20368637	20421341	Agtr1b	protein_coding
ENSMUSG00000054988	ENSMUST00000163776	3	-1	20369061	20421288	Agtr1b	protein_coding
ENSMUSG00000027630	ENSMUST00000193734	3	1	22130816	22270758	Tbl1xr1	protein_coding
ENSMUSG00000027630	ENSMUST00000202747	3	1	22130891	22266915	Tbl1xr1	protein_coding
ENSMUSG00000027630	ENSMUST00000200793	3	1	22130996	22245085	Tbl1xr1	protein_coding
ENSMUSG00000027630	ENSMUST00000200943	3	1	22131100	22242635	Tbl1xr1	protein_coding
ENSMUSG00000027630	ENSMUST00000063988	3	1	22131448	22269457	Tbl1xr1	protein_coding
ENSMUSG00000027630	ENSMUST00000192328	3	1	22168653	22266132	Tbl1xr1	protein_coding
ENSMUSG00000027630	ENSMUST00000202356	3	1	22193438	22243950	Tbl1xr1	protein_coding
ENSMUSG00000027630	ENSMUST00000201467	3	1	22257356	22264743	Tbl1xr1	protein_coding
ENSMUSG00000102758	ENSMUST00000203414	3	-1	23852266	24837786	Naaladl2	protein_coding
ENSMUSG00000063887	ENSMUST00000193603	3	-1	25480379	26386609	Nlgn1	protein_coding
ENSMUSG00000063887	ENSMUST00000108308	3	-1	25485975	26187883	Nlgn1	protein_coding
ENSMUSG00000063887	ENSMUST00000075054	3	-1	25485975	26187883	Nlgn1	protein_coding
ENSMUSG00000063887	ENSMUST00000191835	3	-1	25487595	26207456	Nlgn1	protein_coding
ENSMUSG00000039335	ENSMUST00000047005	3	1	26691769	27037361	Spata16	protein_coding
ENSMUSG00000039335	ENSMUST00000108305	3	1	26691799	26981628	Spata16	protein_coding
ENSMUSG00000027699	ENSMUST00000108300	3	-1	27151371	27208010	Ect2	protein_coding
ENSMUSG00000027699	ENSMUST00000108298	3	-1	27151371	27208027	Ect2	protein_coding
ENSMUSG00000027699	ENSMUST00000176242	3	-1	27151372	27208003	Ect2	protein_coding
ENSMUSG00000027699	ENSMUST00000176780	3	-1	27199169	27208003	Ect2	protein_coding
ENSMUSG00000027699	ENSMUST00000176535	3	-1	27200117	27207977	Ect2	protein_coding
ENSMUSG00000027699	ENSMUST00000177055	3	-1	27200133	27207959	Ect2	protein_coding
ENSMUSG00000027699	ENSMUST00000175857	3	-1	27200177	27207931	Ect2	protein_coding
ENSMUSG00000027698	ENSMUST00000046515	3	1	27237114	27299107	Nceh1	protein_coding
ENSMUSG00000027698	ENSMUST00000091284	3	1	27237153	27338757	Nceh1	protein_coding
ENSMUSG00000039304	ENSMUST00000046383	3	1	27371177	27393814	Tnfsf10	protein_coding
ENSMUSG00000039304	ENSMUST00000174840	3	1	27371210	27396576	Tnfsf10	protein_coding
ENSMUSG00000051136	ENSMUST00000057186	3	1	27425500	27432159	Ghsr	protein_coding
ENSMUSG00000039286	ENSMUST00000195008	3	-1	27470311	27764547	Fndc3b	protein_coding
ENSMUSG00000039286	ENSMUST00000046157	3	-1	27470311	27764588	Fndc3b	protein_coding
ENSMUSG00000039286	ENSMUST00000193779	3	-1	27555584	27765388	Fndc3b	protein_coding
ENSMUSG00000043164	ENSMUST00000058077	3	-1	27920215	27950517	Tmem212	protein_coding
ENSMUSG00000027695	ENSMUST00000120834	3	1	27992844	28187388	Pld1	protein_coding
ENSMUSG00000027695	ENSMUST00000125338	3	1	28004152	28082836	Pld1	protein_coding
ENSMUSG00000027695	ENSMUST00000067757	3	1	28038320	28187383	Pld1	protein_coding
ENSMUSG00000027695	ENSMUST00000123539	3	1	28038322	28186199	Pld1	protein_coding
ENSMUSG00000027695	ENSMUST00000148827	3	1	28085411	28187511	Pld1	protein_coding
ENSMUSG00000027695	ENSMUST00000126594	3	1	28163908	28184944	Pld1	protein_coding
ENSMUSG00000027692	ENSMUST00000159236	3	1	28317364	28730007	Tnik	protein_coding
ENSMUSG00000027692	ENSMUST00000160307	3	1	28317712	28722372	Tnik	protein_coding
ENSMUSG00000027692	ENSMUST00000159680	3	1	28317712	28722372	Tnik	protein_coding
ENSMUSG00000027692	ENSMUST00000160518	3	1	28317792	28722131	Tnik	protein_coding
ENSMUSG00000027692	ENSMUST00000162485	3	1	28317792	28722131	Tnik	protein_coding
ENSMUSG00000027692	ENSMUST00000159308	3	1	28317792	28722131	Tnik	protein_coding
ENSMUSG00000027692	ENSMUST00000162777	3	1	28317792	28722131	Tnik	protein_coding
ENSMUSG00000027692	ENSMUST00000161964	3	1	28317792	28722131	Tnik	protein_coding
ENSMUSG00000027690	ENSMUST00000029240	3	1	28752052	28785508	Slc2a2	protein_coding
ENSMUSG00000050192	ENSMUST00000060500	3	1	28835425	28852995	Eif5a2	protein_coding
ENSMUSG00000039221	ENSMUST00000043867	3	1	28859585	28861564	Rpl22l1	protein_coding
ENSMUSG00000039221	ENSMUST00000194649	3	1	28859618	28861573	Rpl22l1	protein_coding
ENSMUSG00000074655	ENSMUST00000099170	3	1	28946766	28980873	Gm1527	protein_coding
ENSMUSG00000063600	ENSMUST00000124809	3	1	29136172	29207750	Egfem1	protein_coding
ENSMUSG00000063600	ENSMUST00000146943	3	1	29136449	29637061	Egfem1	protein_coding
ENSMUSG00000063600	ENSMUST00000119598	3	1	29136882	29745358	Egfem1	protein_coding
ENSMUSG00000063600	ENSMUST00000118531	3	1	29136920	29744659	Egfem1	protein_coding
ENSMUSG00000063600	ENSMUST00000140288	3	1	29568055	29724883	Egfem1	protein_coding
ENSMUSG00000027684	ENSMUST00000172694	3	-1	30005445	30067305	Mecom	protein_coding
ENSMUSG00000027684	ENSMUST00000173495	3	-1	30005448	30563882	Mecom	protein_coding
ENSMUSG00000027684	ENSMUST00000108270	3	-1	30005455	30067654	Mecom	protein_coding
ENSMUSG00000027684	ENSMUST00000108271	3	-1	30005456	30194572	Mecom	protein_coding
ENSMUSG00000027684	ENSMUST00000173059	3	-1	30006716	30292311	Mecom	protein_coding
ENSMUSG00000027684	ENSMUST00000174413	3	-1	30006865	30051812	Mecom	protein_coding
ENSMUSG00000027684	ENSMUST00000166001	3	-1	30006931	30051851	Mecom	protein_coding
ENSMUSG00000027684	ENSMUST00000173899	3	-1	30017223	30563663	Mecom	protein_coding
ENSMUSG00000027684	ENSMUST00000172697	3	-1	30019605	30563971	Mecom	protein_coding
ENSMUSG00000027684	ENSMUST00000174406	3	-1	30051878	30065588	Mecom	protein_coding
ENSMUSG00000027684	ENSMUST00000061088	3	-1	30292121	30292468	Mecom	protein_coding
ENSMUSG00000037737	ENSMUST00000047630	3	-1	30651222	30654088	Actrt3	protein_coding
ENSMUSG00000037730	ENSMUST00000192715	3	1	30656214	30674022	Mynn	protein_coding
ENSMUSG00000037730	ENSMUST00000047502	3	1	30656786	30672517	Mynn	protein_coding
ENSMUSG00000027702	ENSMUST00000029252	3	-1	30678416	30702018	Lrrc34	protein_coding
ENSMUSG00000027703	ENSMUST00000108267	3	1	30698656	30726580	Lrriq4	protein_coding
ENSMUSG00000027703	ENSMUST00000172350	3	1	30699479	30726448	Lrriq4	protein_coding
ENSMUSG00000027703	ENSMUST00000108265	3	1	30702035	30726448	Lrriq4	protein_coding
ENSMUSG00000074653	ENSMUST00000126658	3	-1	30733207	30753979	Lrrc31	protein_coding
ENSMUSG00000074653	ENSMUST00000108263	3	-1	30736829	30753992	Lrrc31	protein_coding
ENSMUSG00000051860	ENSMUST00000108262	3	1	30800489	30821323	Samd7	protein_coding
ENSMUSG00000027706	ENSMUST00000029256	3	1	30847024	30875412	Sec62	protein_coding
ENSMUSG00000037661	ENSMUST00000108261	3	1	30910099	30951339	Gpr160	protein_coding
ENSMUSG00000037661	ENSMUST00000108259	3	1	30910099	30951339	Gpr160	protein_coding
ENSMUSG00000037661	ENSMUST00000166278	3	1	30910099	30951341	Gpr160	protein_coding
ENSMUSG00000037661	ENSMUST00000046748	3	1	30910138	30951339	Gpr160	protein_coding
ENSMUSG00000037661	ENSMUST00000194979	3	1	30910142	30949941	Gpr160	protein_coding
ENSMUSG00000037661	ENSMUST00000108258	3	1	30910164	30951339	Gpr160	protein_coding
ENSMUSG00000037661	ENSMUST00000147697	3	1	30910292	30949970	Gpr160	protein_coding
ENSMUSG00000037652	ENSMUST00000168645	3	-1	30953520	31023550	Phc3	protein_coding
ENSMUSG00000037652	ENSMUST00000108255	3	-1	30960933	31023554	Phc3	protein_coding
ENSMUSG00000037652	ENSMUST00000064718	3	-1	30961460	31023548	Phc3	protein_coding
ENSMUSG00000037652	ENSMUST00000177992	3	-1	30961460	31023548	Phc3	protein_coding
ENSMUSG00000037652	ENSMUST00000129817	3	-1	30961460	31023548	Phc3	protein_coding
ENSMUSG00000037652	ENSMUST00000099163	3	-1	30983270	31023564	Phc3	protein_coding
ENSMUSG00000037643	ENSMUST00000108249	3	1	31049896	31107108	Prkci	protein_coding
ENSMUSG00000037643	ENSMUST00000130238	3	1	31059342	31088662	Prkci	protein_coding
ENSMUSG00000037643	ENSMUST00000136086	3	1	31092599	31095373	Prkci	protein_coding
ENSMUSG00000027660	ENSMUST00000118470	3	1	31149207	31176722	Skil	protein_coding
ENSMUSG00000027660	ENSMUST00000029194	3	1	31149210	31176726	Skil	protein_coding
ENSMUSG00000027660	ENSMUST00000123532	3	1	31149214	31152041	Skil	protein_coding
ENSMUSG00000027660	ENSMUST00000117728	3	1	31149274	31173429	Skil	protein_coding
ENSMUSG00000027660	ENSMUST00000118204	3	1	31150982	31173140	Skil	protein_coding
ENSMUSG00000037625	ENSMUST00000046174	3	1	31204069	31218473	Cldn11	protein_coding
ENSMUSG00000069072	ENSMUST00000091259	3	-1	31257007	31364527	Slc7a14	protein_coding
ENSMUSG00000069072	ENSMUST00000108245	3	-1	31276869	31312543	Slc7a14	protein_coding
ENSMUSG00000037610	ENSMUST00000119310	3	1	31956656	32253914	Kcnmb2	protein_coding
ENSMUSG00000037610	ENSMUST00000192429	3	1	31956823	32253914	Kcnmb2	protein_coding
ENSMUSG00000037610	ENSMUST00000191869	3	1	31956845	32253916	Kcnmb2	protein_coding
ENSMUSG00000037610	ENSMUST00000178668	3	1	31956852	32254327	Kcnmb2	protein_coding
ENSMUSG00000037610	ENSMUST00000119970	3	1	31956852	32254329	Kcnmb2	protein_coding
ENSMUSG00000037610	ENSMUST00000194796	3	1	32210263	32252505	Kcnmb2	protein_coding
ENSMUSG00000027663	ENSMUST00000029199	3	-1	32388941	32419827	Zmat3	protein_coding
ENSMUSG00000027663	ENSMUST00000168566	3	-1	32388945	32419769	Zmat3	protein_coding
ENSMUSG00000027663	ENSMUST00000139660	3	-1	32415221	32419609	Zmat3	protein_coding
ENSMUSG00000027665	ENSMUST00000108243	3	1	32451820	32520256	Pik3ca	protein_coding
ENSMUSG00000027665	ENSMUST00000029201	3	1	32490300	32522635	Pik3ca	protein_coding
ENSMUSG00000027665	ENSMUST00000108242	3	1	32490525	32520256	Pik3ca	protein_coding
ENSMUSG00000091091	ENSMUST00000164954	3	-1	32525737	32546380	Kcnmb3	protein_coding
ENSMUSG00000027667	ENSMUST00000193287	3	1	32564408	32574982	Zfp639	protein_coding
ENSMUSG00000027667	ENSMUST00000191783	3	1	32564684	32574892	Zfp639	protein_coding
ENSMUSG00000027667	ENSMUST00000193119	3	1	32564813	32573715	Zfp639	protein_coding
ENSMUSG00000027667	ENSMUST00000192985	3	1	32567149	32573717	Zfp639	protein_coding
ENSMUSG00000027667	ENSMUST00000029203	3	1	32569444	32574834	Zfp639	protein_coding
ENSMUSG00000027667	ENSMUST00000193789	3	1	32571229	32574666	Zfp639	protein_coding
ENSMUSG00000027668	ENSMUST00000091257	3	1	32583614	32633388	Mfn1	protein_coding
ENSMUSG00000027668	ENSMUST00000147350	3	1	32583688	32600808	Mfn1	protein_coding
ENSMUSG00000027668	ENSMUST00000137565	3	1	32585694	32598246	Mfn1	protein_coding
ENSMUSG00000027668	ENSMUST00000118286	3	1	32585703	32631502	Mfn1	protein_coding
ENSMUSG00000027668	ENSMUST00000151320	3	1	32615695	32624479	Mfn1	protein_coding
ENSMUSG00000027669	ENSMUST00000155737	3	-1	32634481	32670734	Gnb4	protein_coding
ENSMUSG00000027669	ENSMUST00000108234	3	-1	32638147	32670666	Gnb4	protein_coding
ENSMUSG00000027669	ENSMUST00000193050	3	-1	32645283	32670628	Gnb4	protein_coding
ENSMUSG00000027671	ENSMUST00000194781	3	1	32760447	32772762	Actl6a	protein_coding
ENSMUSG00000027671	ENSMUST00000029214	3	1	32762656	32781122	Actl6a	protein_coding
ENSMUSG00000027671	ENSMUST00000126144	3	1	32763313	32772805	Actl6a	protein_coding
ENSMUSG00000037531	ENSMUST00000043966	3	-1	32779546	32791296	Mrpl47	protein_coding
ENSMUSG00000027673	ENSMUST00000127477	3	1	32791139	32805715	Ndufb5	protein_coding
ENSMUSG00000027673	ENSMUST00000121778	3	1	32791220	32803049	Ndufb5	protein_coding
ENSMUSG00000027673	ENSMUST00000154257	3	1	32791276	32803222	Ndufb5	protein_coding
ENSMUSG00000027673	ENSMUST00000139593	3	1	32795744	32805251	Ndufb5	protein_coding
ENSMUSG00000027673	ENSMUST00000122290	3	1	32798905	32805379	Ndufb5	protein_coding
ENSMUSG00000056900	ENSMUST00000072312	3	1	32871695	32992220	Usp13	protein_coding
ENSMUSG00000056900	ENSMUST00000108228	3	1	32871720	32987435	Usp13	protein_coding
ENSMUSG00000056900	ENSMUST00000156769	3	1	32969152	32987443	Usp13	protein_coding
ENSMUSG00000027674	ENSMUST00000108225	3	-1	33003557	33136217	Pex5l	protein_coding
ENSMUSG00000027674	ENSMUST00000194016	3	-1	33003557	33137209	Pex5l	protein_coding
ENSMUSG00000027674	ENSMUST00000193681	3	-1	33003557	33137209	Pex5l	protein_coding
ENSMUSG00000027674	ENSMUST00000192093	3	-1	33003557	33137209	Pex5l	protein_coding
ENSMUSG00000027674	ENSMUST00000193289	3	-1	33003557	33137209	Pex5l	protein_coding
ENSMUSG00000027674	ENSMUST00000078226	3	-1	33003783	33137178	Pex5l	protein_coding
ENSMUSG00000027674	ENSMUST00000108224	3	-1	33004103	33137184	Pex5l	protein_coding
