ENSMUSG00000024831	ENSMUST00000119292	19	-1	3310924	3332979	Ighmbp2	protein_coding
ENSMUSG00000075296	ENSMUST00000143380	19	1	4022328	4031646	Aldh3b2	protein_coding
ENSMUSG00000024866	ENSMUST00000236224	19	1	4036570	4038231	Acy3	protein_coding
ENSMUSG00000024866	ENSMUST00000236510	19	1	4036570	4040005	Acy3	protein_coding
ENSMUSG00000024866	ENSMUST00000237910	19	1	4036571	4037788	Acy3	protein_coding
ENSMUSG00000024866	ENSMUST00000235612	19	1	4036583	4040005	Acy3	protein_coding
ENSMUSG00000024866	ENSMUST00000054030	19	1	4036661	4040007	Acy3	protein_coding
ENSMUSG00000037477	ENSMUST00000041871	19	1	4042752	4049512	Tbx10	protein_coding
ENSMUSG00000110949	ENSMUST00000025802	19	1	4050580	4052103	Nudt8	protein_coding
ENSMUSG00000024871	ENSMUST00000025806	19	1	4053313	4057005	Doc2g	protein_coding
ENSMUSG00000024871	ENSMUST00000236482	19	1	4053389	4056171	Doc2g	protein_coding
ENSMUSG00000037916	ENSMUST00000237862	19	-1	4057384	4062694	Ndufv1	protein_coding
ENSMUSG00000037916	ENSMUST00000134479	19	-1	4057497	4062666	Ndufv1	protein_coding
ENSMUSG00000037916	ENSMUST00000042497	19	-1	4057497	4062806	Ndufv1	protein_coding
ENSMUSG00000037916	ENSMUST00000128787	19	-1	4057562	4062673	Ndufv1	protein_coding
ENSMUSG00000037916	ENSMUST00000133474	19	-1	4059367	4062708	Ndufv1	protein_coding
ENSMUSG00000037916	ENSMUST00000136921	19	-1	4059462	4062759	Ndufv1	protein_coding
ENSMUSG00000037916	ENSMUST00000236203	19	-1	4059488	4062697	Ndufv1	protein_coding
ENSMUSG00000060803	ENSMUST00000169613	19	-1	4085407	4087985	Gstp1	protein_coding
ENSMUSG00000060803	ENSMUST00000237893	19	-1	4085411	4087977	Gstp1	protein_coding
ENSMUSG00000060803	ENSMUST00000237982	19	-1	4085573	4087925	Gstp1	protein_coding
ENSMUSG00000038155	ENSMUST00000042700	19	-1	4090285	4092263	Gstp2	protein_coding
ENSMUSG00000038155	ENSMUST00000235381	19	-1	4090708	4096023	Gstp2	protein_coding
ENSMUSG00000038155	ENSMUST00000235657	19	-1	4090982	4095992	Gstp2	protein_coding
ENSMUSG00000038155	ENSMUST00000237999	19	-1	4091014	4092218	Gstp2	protein_coding
ENSMUSG00000058216	ENSMUST00000189808	19	-1	4107477	4109446	Gstp3	protein_coding
ENSMUSG00000058216	ENSMUST00000076451	19	-1	4107478	4109295	Gstp3	protein_coding
ENSMUSG00000024857	ENSMUST00000159593	19	1	4131578	4135676	Cabp2	protein_coding
ENSMUSG00000024857	ENSMUST00000159148	19	1	4132488	4137336	Cabp2	protein_coding
ENSMUSG00000024857	ENSMUST00000159556	19	1	4133490	4137340	Cabp2	protein_coding
ENSMUSG00000024857	ENSMUST00000162908	19	1	4133519	4137340	Cabp2	protein_coding
ENSMUSG00000024856	ENSMUST00000025779	19	1	4147182	4149017	Cdk2ap2	protein_coding
ENSMUSG00000024856	ENSMUST00000174514	19	1	4147401	4148465	Cdk2ap2	protein_coding
ENSMUSG00000024856	ENSMUST00000174149	19	1	4147402	4148193	Cdk2ap2	protein_coding
ENSMUSG00000024851	ENSMUST00000049658	19	1	4149998	4163965	Pitpnm1	protein_coding
ENSMUSG00000024851	ENSMUST00000131265	19	1	4150269	4154929	Pitpnm1	protein_coding
ENSMUSG00000024851	ENSMUST00000100022	19	1	4150622	4163965	Pitpnm1	protein_coding
ENSMUSG00000024847	ENSMUST00000117831	19	-1	4164446	4175858	Aip	protein_coding
ENSMUSG00000024847	ENSMUST00000025767	19	-1	4164464	4171575	Aip	protein_coding
ENSMUSG00000024847	ENSMUST00000121402	19	-1	4165447	4175848	Aip	protein_coding
ENSMUSG00000024845	ENSMUST00000169055	19	1	4175934	4182284	Tmem134	protein_coding
ENSMUSG00000024845	ENSMUST00000135257	19	1	4175959	4181443	Tmem134	protein_coding
ENSMUSG00000024845	ENSMUST00000138593	19	1	4175959	4181726	Tmem134	protein_coding
ENSMUSG00000024845	ENSMUST00000140267	19	1	4175959	4181726	Tmem134	protein_coding
ENSMUSG00000024845	ENSMUST00000137579	19	1	4175960	4181731	Tmem134	protein_coding
ENSMUSG00000024845	ENSMUST00000139987	19	1	4175960	4182304	Tmem134	protein_coding
ENSMUSG00000024845	ENSMUST00000150627	19	1	4175960	4182306	Tmem134	protein_coding
ENSMUSG00000024845	ENSMUST00000151401	19	1	4175975	4181726	Tmem134	protein_coding
ENSMUSG00000024845	ENSMUST00000153654	19	1	4175989	4177738	Tmem134	protein_coding
ENSMUSG00000024842	ENSMUST00000025761	19	-1	4185422	4189608	Cabp4	protein_coding
ENSMUSG00000044724	ENSMUST00000096338	19	1	4189786	4195739	Gpr152	protein_coding
ENSMUSG00000024835	ENSMUST00000123874	19	1	4198618	4200503	Coro1b	protein_coding
ENSMUSG00000024835	ENSMUST00000008893	19	1	4198618	4204034	Coro1b	protein_coding
ENSMUSG00000024835	ENSMUST00000237125	19	1	4198631	4200823	Coro1b	protein_coding
ENSMUSG00000045826	ENSMUST00000236632	19	1	4203603	4206319	Ptprcap	protein_coding
ENSMUSG00000024830	ENSMUST00000025749	19	-1	4203990	4213353	Rps6kb2	protein_coding
ENSMUSG00000045826	ENSMUST00000061086	19	1	4204605	4206750	Ptprcap	protein_coding
ENSMUSG00000024830	ENSMUST00000118483	19	-1	4206985	4213284	Rps6kb2	protein_coding
ENSMUSG00000024830	ENSMUST00000155303	19	-1	4209076	4213299	Rps6kb2	protein_coding
ENSMUSG00000075289	ENSMUST00000237815	19	-1	4214323	4220027	Carns1	protein_coding
ENSMUSG00000075289	ENSMUST00000167055	19	-1	4214323	4225478	Carns1	protein_coding
ENSMUSG00000040247	ENSMUST00000235450	19	-1	4234356	4241283	Tbc1d10c	protein_coding
ENSMUSG00000040247	ENSMUST00000237495	19	-1	4234384	4241046	Tbc1d10c	protein_coding
ENSMUSG00000040247	ENSMUST00000045864	19	-1	4234387	4241027	Tbc1d10c	protein_coding
ENSMUSG00000040385	ENSMUST00000046094	19	1	4242064	4245419	Ppp1ca	protein_coding
ENSMUSG00000024824	ENSMUST00000025740	19	-1	4245195	4251635	Rad9a	protein_coding
ENSMUSG00000024824	ENSMUST00000237723	19	-1	4247167	4251661	Rad9a	protein_coding
ENSMUSG00000024824	ENSMUST00000237923	19	-1	4247724	4251626	Rad9a	protein_coding
ENSMUSG00000040663	ENSMUST00000046506	19	1	4264292	4273544	Clcf1	protein_coding
ENSMUSG00000040663	ENSMUST00000235355	19	1	4264443	4270367	Clcf1	protein_coding
ENSMUSG00000117873	ENSMUST00000237171	19	1	4264484	4283351	Gm45928	protein_coding
ENSMUSG00000024854	ENSMUST00000025773	19	1	4281953	4283688	Pold4	protein_coding
ENSMUSG00000024854	ENSMUST00000237518	19	1	4282040	4283139	Pold4	protein_coding
ENSMUSG00000024854	ENSMUST00000235306	19	1	4282492	4283685	Pold4	protein_coding
ENSMUSG00000034616	ENSMUST00000037992	19	-1	4311696	4319208	Ssh3	protein_coding
ENSMUSG00000034616	ENSMUST00000113852	19	-1	4311724	4319208	Ssh3	protein_coding
ENSMUSG00000034616	ENSMUST00000236794	19	-1	4312382	4319208	Ssh3	protein_coding
ENSMUSG00000034616	ENSMUST00000237670	19	-1	4315132	4317861	Ssh3	protein_coding
ENSMUSG00000005986	ENSMUST00000056888	19	-1	4320208	4333163	Ankrd13d	protein_coding
ENSMUSG00000005986	ENSMUST00000167215	19	-1	4330674	4333061	Ankrd13d	protein_coding
ENSMUSG00000024858	ENSMUST00000025791	19	-1	4336029	4355983	Grk2	protein_coding
ENSMUSG00000024858	ENSMUST00000088737	19	-1	4336030	4356250	Grk2	protein_coding
ENSMUSG00000024858	ENSMUST00000168594	19	-1	4338424	4339422	Grk2	protein_coding
ENSMUSG00000024858	ENSMUST00000165954	19	-1	4338454	4340511	Grk2	protein_coding
ENSMUSG00000024858	ENSMUST00000167511	19	-1	4342595	4355236	Grk2	protein_coding
ENSMUSG00000054611	ENSMUST00000047898	19	-1	4364447	4448313	Kdm2a	protein_coding
ENSMUSG00000054611	ENSMUST00000075856	19	-1	4366198	4447105	Kdm2a	protein_coding
ENSMUSG00000054611	ENSMUST00000176653	19	-1	4374934	4384029	Kdm2a	protein_coding
ENSMUSG00000054611	ENSMUST00000116571	19	-1	4391378	4447108	Kdm2a	protein_coding
ENSMUSG00000054611	ENSMUST00000175959	19	-1	4400214	4412915	Kdm2a	protein_coding
ENSMUSG00000054611	ENSMUST00000176483	19	-1	4438438	4447105	Kdm2a	protein_coding
ENSMUSG00000041845	ENSMUST00000048197	19	-1	4475487	4489460	Rhod	protein_coding
ENSMUSG00000041845	ENSMUST00000235680	19	-1	4475695	4489428	Rhod	protein_coding
ENSMUSG00000041845	ENSMUST00000117462	19	-1	4475695	4489449	Rhod	protein_coding
ENSMUSG00000049303	ENSMUST00000059295	19	-1	4495936	4527475	Syt12	protein_coding
ENSMUSG00000042041	ENSMUST00000048482	19	-1	4546816	4548611	2010003K11Rik	protein_coding
ENSMUSG00000024892	ENSMUST00000068004	19	1	4560500	4671780	Pcx	protein_coding
ENSMUSG00000024892	ENSMUST00000224726	19	1	4560514	4671707	Pcx	protein_coding
ENSMUSG00000024892	ENSMUST00000225189	19	1	4565682	4652266	Pcx	protein_coding
ENSMUSG00000024892	ENSMUST00000236457	19	1	4608838	4652049	Pcx	protein_coding
ENSMUSG00000024892	ENSMUST00000113825	19	1	4644374	4671726	Pcx	protein_coding
ENSMUSG00000024892	ENSMUST00000238089	19	1	4644436	4652277	Pcx	protein_coding
ENSMUSG00000045045	ENSMUST00000113822	19	-1	4661813	4665695	Lrfn4	protein_coding
ENSMUSG00000045045	ENSMUST00000053597	19	-1	4661820	4665530	Lrfn4	protein_coding
ENSMUSG00000024889	ENSMUST00000224707	19	-1	4672619	4675361	Rce1	protein_coding
ENSMUSG00000024889	ENSMUST00000237059	19	-1	4672621	4675398	Rce1	protein_coding
ENSMUSG00000024889	ENSMUST00000025823	19	-1	4672623	4675668	Rce1	protein_coding
ENSMUSG00000024889	ENSMUST00000237022	19	-1	4672872	4675345	Rce1	protein_coding
ENSMUSG00000024889	ENSMUST00000224675	19	-1	4673002	4675347	Rce1	protein_coding
ENSMUSG00000024889	ENSMUST00000225264	19	-1	4673533	4675304	Rce1	protein_coding
ENSMUSG00000024889	ENSMUST00000225375	19	-1	4673573	4675631	Rce1	protein_coding
ENSMUSG00000071691	ENSMUST00000225896	19	-1	4675849	4748696	Gm960	protein_coding
ENSMUSG00000071691	ENSMUST00000177696	19	-1	4675869	4748696	Gm960	protein_coding
ENSMUSG00000067889	ENSMUST00000008991	19	1	4761195	4802388	Sptbn2	protein_coding
ENSMUSG00000067889	ENSMUST00000237694	19	1	4762412	4775971	Sptbn2	protein_coding
ENSMUSG00000067889	ENSMUST00000238976	19	1	4771107	4774259	Sptbn2	protein_coding
ENSMUSG00000033760	ENSMUST00000182821	19	1	4806571	4812904	Rbm4b	protein_coding
ENSMUSG00000033760	ENSMUST00000036744	19	1	4806599	4815968	Rbm4b	protein_coding
ENSMUSG00000033760	ENSMUST00000237921	19	1	4806933	4812447	Rbm4b	protein_coding
ENSMUSG00000094936	ENSMUST00000180248	19	-1	4834321	4843929	Rbm4	protein_coding
ENSMUSG00000096370	ENSMUST00000179909	19	-1	4835180	4861536	Gm21992	protein_coding
ENSMUSG00000094936	ENSMUST00000178615	19	-1	4835181	4843879	Rbm4	protein_coding
ENSMUSG00000096370	ENSMUST00000178404	19	-1	4835181	4861240	Gm21992	protein_coding
ENSMUSG00000094936	ENSMUST00000237760	19	-1	4835185	4843908	Rbm4	protein_coding
ENSMUSG00000094936	ENSMUST00000164209	19	-1	4835303	4843928	Rbm4	protein_coding
ENSMUSG00000094936	ENSMUST00000179189	19	-1	4835335	4843888	Rbm4	protein_coding
ENSMUSG00000096370	ENSMUST00000172000	19	-1	4837397	4861536	Gm21992	protein_coding
ENSMUSG00000094936	ENSMUST00000164376	19	-1	4837965	4843908	Rbm4	protein_coding
ENSMUSG00000006456	ENSMUST00000006625	19	-1	4850597	4861662	Rbm14	protein_coding
ENSMUSG00000006456	ENSMUST00000113793	19	-1	4850950	4861613	Rbm14	protein_coding
ENSMUSG00000006456	ENSMUST00000180008	19	-1	4851805	4861540	Rbm14	protein_coding
ENSMUSG00000034108	ENSMUST00000236451	19	-1	4875394	4889298	Ccs	protein_coding
ENSMUSG00000034108	ENSMUST00000236178	19	-1	4875394	4889301	Ccs	protein_coding
ENSMUSG00000034108	ENSMUST00000037246	19	-1	4875394	4889360	Ccs	protein_coding
ENSMUSG00000034108	ENSMUST00000235245	19	-1	4875438	4889315	Ccs	protein_coding
ENSMUSG00000067872	ENSMUST00000088653	19	1	4889394	4892556	Ccdc87	protein_coding
ENSMUSG00000083282	ENSMUST00000119694	19	1	4905158	4910946	Ctsf	protein_coding
ENSMUSG00000083282	ENSMUST00000237504	19	1	4905214	4906599	Ctsf	protein_coding
ENSMUSG00000083282	ENSMUST00000237011	19	1	4905281	4906153	Ctsf	protein_coding
ENSMUSG00000006457	ENSMUST00000006626	19	-1	4911244	4927937	Actn3	protein_coding
ENSMUSG00000006463	ENSMUST00000006632	19	1	4928700	4935425	Zdhhc24	protein_coding
ENSMUSG00000006464	ENSMUST00000053506	19	-1	4936906	4956656	Bbs1	protein_coding
ENSMUSG00000006464	ENSMUST00000238170	19	-1	4940511	4956656	Bbs1	protein_coding
ENSMUSG00000006464	ENSMUST00000237085	19	-1	4940660	4956648	Bbs1	protein_coding
ENSMUSG00000063904	ENSMUST00000025851	19	-1	4957257	4978315	Dpp3	protein_coding
ENSMUSG00000063904	ENSMUST00000236496	19	-1	4967899	4976844	Dpp3	protein_coding
ENSMUSG00000063904	ENSMUST00000237394	19	-1	4972350	4978238	Dpp3	protein_coding
ENSMUSG00000063904	ENSMUST00000236758	19	-1	4973132	4978014	Dpp3	protein_coding
ENSMUSG00000024901	ENSMUST00000025834	19	-1	4979745	4993155	Peli3	protein_coding
ENSMUSG00000024901	ENSMUST00000120475	19	-1	4980679	4993120	Peli3	protein_coding
ENSMUSG00000024901	ENSMUST00000133254	19	-1	4985044	4993101	Peli3	protein_coding
ENSMUSG00000024901	ENSMUST00000133504	19	-1	4985051	4993095	Peli3	protein_coding
ENSMUSG00000024902	ENSMUST00000025836	19	1	5012175	5017027	Mrpl11	protein_coding
ENSMUSG00000024902	ENSMUST00000237974	19	1	5012358	5014735	Mrpl11	protein_coding
ENSMUSG00000024902	ENSMUST00000236917	19	1	5012376	5014972	Mrpl11	protein_coding
ENSMUSG00000024902	ENSMUST00000235229	19	1	5012402	5013585	Mrpl11	protein_coding
ENSMUSG00000045903	ENSMUST00000056129	19	-1	5034383	5040344	Npas4	protein_coding
ENSMUSG00000024891	ENSMUST00000236152	19	1	5073888	5082000	Slc29a2	protein_coding
ENSMUSG00000024891	ENSMUST00000025826	19	1	5074099	5081997	Slc29a2	protein_coding
ENSMUSG00000024891	ENSMUST00000237371	19	1	5074142	5081992	Slc29a2	protein_coding
ENSMUSG00000024891	ENSMUST00000235416	19	1	5074179	5077757	Slc29a2	protein_coding
ENSMUSG00000047379	ENSMUST00000053705	19	1	5088854	5091159	B4gat1	protein_coding
ENSMUSG00000047379	ENSMUST00000235776	19	1	5088935	5091158	B4gat1	protein_coding
ENSMUSG00000080268	ENSMUST00000116567	19	1	5091382	5099945	Brms1	protein_coding
ENSMUSG00000080268	ENSMUST00000235918	19	1	5091427	5096441	Brms1	protein_coding
ENSMUSG00000024883	ENSMUST00000225427	19	1	5100509	5107099	Rin1	protein_coding
ENSMUSG00000024883	ENSMUST00000224178	19	1	5100815	5101834	Rin1	protein_coding
ENSMUSG00000024883	ENSMUST00000225799	19	1	5100858	5102078	Rin1	protein_coding
ENSMUSG00000024883	ENSMUST00000025818	19	1	5100861	5107099	Rin1	protein_coding
ENSMUSG00000024883	ENSMUST00000224032	19	1	5103133	5104159	Rin1	protein_coding
ENSMUSG00000056481	ENSMUST00000070630	19	1	5118106	5120710	Cd248	protein_coding
ENSMUSG00000061451	ENSMUST00000140389	19	-1	5121063	5135515	Tmem151a	protein_coding
ENSMUSG00000061451	ENSMUST00000151413	19	-1	5121882	5135515	Tmem151a	protein_coding
ENSMUSG00000061451	ENSMUST00000077066	19	-1	5129358	5135559	Tmem151a	protein_coding
ENSMUSG00000024875	ENSMUST00000238093	19	1	5138573	5142533	Yif1a	protein_coding
ENSMUSG00000024875	ENSMUST00000025811	19	1	5138573	5142909	Yif1a	protein_coding
ENSMUSG00000024875	ENSMUST00000237025	19	1	5138588	5142533	Yif1a	protein_coding
ENSMUSG00000024875	ENSMUST00000236687	19	1	5138956	5142533	Yif1a	protein_coding
ENSMUSG00000024873	ENSMUST00000025805	19	-1	5142896	5148549	Cnih2	protein_coding
ENSMUSG00000024870	ENSMUST00000025804	19	-1	5149233	5157100	Rab1b	protein_coding
ENSMUSG00000024870	ENSMUST00000237438	19	-1	5150336	5157004	Rab1b	protein_coding
ENSMUSG00000024870	ENSMUST00000236149	19	-1	5150416	5157033	Rab1b	protein_coding
ENSMUSG00000024870	ENSMUST00000237201	19	-1	5150437	5156273	Rab1b	protein_coding
ENSMUSG00000024862	ENSMUST00000113728	19	-1	5157774	5168325	Klc2	protein_coding
ENSMUSG00000024862	ENSMUST00000025798	19	-1	5157774	5168328	Klc2	protein_coding
ENSMUSG00000024862	ENSMUST00000116563	19	-1	5157774	5168588	Klc2	protein_coding
ENSMUSG00000024862	ENSMUST00000113727	19	-1	5157776	5168326	Klc2	protein_coding
ENSMUSG00000024862	ENSMUST00000156717	19	-1	5163838	5167614	Klc2	protein_coding
ENSMUSG00000024855	ENSMUST00000025786	19	-1	5183186	5323147	Pacs1	protein_coding
ENSMUSG00000024855	ENSMUST00000237463	19	-1	5210072	5323135	Pacs1	protein_coding
ENSMUSG00000024853	ENSMUST00000025774	19	-1	5323960	5345483	Sf3b2	protein_coding
ENSMUSG00000024853	ENSMUST00000235182	19	-1	5337301	5345431	Sf3b2	protein_coding
ENSMUSG00000047658	ENSMUST00000061169	19	1	5348359	5358766	Gal3st3	protein_coding
ENSMUSG00000038498	ENSMUST00000043380	19	1	5385769	5394308	Catsper1	protein_coding
ENSMUSG00000038498	ENSMUST00000235380	19	1	5386226	5394230	Catsper1	protein_coding
ENSMUSG00000024846	ENSMUST00000025764	19	-1	5394733	5399602	Cst6	protein_coding
ENSMUSG00000024846	ENSMUST00000238111	19	-1	5398464	5399385	Cst6	protein_coding
ENSMUSG00000024844	ENSMUST00000025762	19	-1	5414666	5417196	Banf1	protein_coding
ENSMUSG00000024844	ENSMUST00000170010	19	-1	5414669	5416391	Banf1	protein_coding
ENSMUSG00000024844	ENSMUST00000237167	19	-1	5414767	5416634	Banf1	protein_coding
ENSMUSG00000024841	ENSMUST00000025759	19	1	5416769	5421554	Eif1ad	protein_coding
ENSMUSG00000039148	ENSMUST00000044207	19	-1	5427551	5438731	Sart1	protein_coding
ENSMUSG00000039148	ENSMUST00000235654	19	-1	5434741	5438043	Sart1	protein_coding
ENSMUSG00000039330	ENSMUST00000044527	19	-1	5440077	5444429	Tsga10ip	protein_coding
ENSMUSG00000039330	ENSMUST00000235569	19	-1	5440077	5452554	Tsga10ip	protein_coding
ENSMUSG00000024914	ENSMUST00000148219	19	-1	5472834	5474787	Drap1	protein_coding
ENSMUSG00000024914	ENSMUST00000025853	19	-1	5472839	5475007	Drap1	protein_coding
ENSMUSG00000024914	ENSMUST00000113673	19	-1	5472840	5474571	Drap1	protein_coding
ENSMUSG00000024914	ENSMUST00000113674	19	-1	5472855	5474949	Drap1	protein_coding
ENSMUSG00000024914	ENSMUST00000136579	19	-1	5472871	5474542	Drap1	protein_coding
ENSMUSG00000047423	ENSMUST00000159759	19	1	5475172	5477341	AI837181	protein_coding
ENSMUSG00000047423	ENSMUST00000054477	19	1	5475185	5477341	AI837181	protein_coding
ENSMUSG00000024912	ENSMUST00000025850	19	1	5497575	5505974	Fosl1	protein_coding
ENSMUSG00000024912	ENSMUST00000236774	19	1	5497733	5500289	Fosl1	protein_coding
ENSMUSG00000095098	ENSMUST00000179549	19	-1	5503208	5507922	Ccdc85b	protein_coding
ENSMUSG00000095098	ENSMUST00000236881	19	-1	5503213	5507532	Ccdc85b	protein_coding
ENSMUSG00000024911	ENSMUST00000225141	19	1	5510644	5515079	Fibp	protein_coding
ENSMUSG00000024911	ENSMUST00000025847	19	1	5510657	5515077	Fibp	protein_coding
ENSMUSG00000024910	ENSMUST00000025844	19	-1	5515268	5518535	Ctsw	protein_coding
ENSMUSG00000024910	ENSMUST00000236256	19	-1	5515271	5518526	Ctsw	protein_coding
ENSMUSG00000024909	ENSMUST00000166303	19	1	5523982	5532545	Efemp2	protein_coding
ENSMUSG00000024909	ENSMUST00000167304	19	1	5524001	5527606	Efemp2	protein_coding
ENSMUSG00000024909	ENSMUST00000235523	19	1	5524343	5532545	Efemp2	protein_coding
ENSMUSG00000024909	ENSMUST00000165485	19	1	5524716	5531881	Efemp2	protein_coding
ENSMUSG00000024909	ENSMUST00000166253	19	1	5524768	5530769	Efemp2	protein_coding
ENSMUSG00000024909	ENSMUST00000167371	19	1	5524768	5531881	Efemp2	protein_coding
ENSMUSG00000024909	ENSMUST00000167855	19	1	5524775	5528284	Efemp2	protein_coding
ENSMUSG00000024909	ENSMUST00000070118	19	1	5524778	5531881	Efemp2	protein_coding
ENSMUSG00000024909	ENSMUST00000236518	19	1	5524952	5532545	Efemp2	protein_coding
ENSMUSG00000024909	ENSMUST00000164204	19	1	5525148	5531803	Efemp2	protein_coding
ENSMUSG00000024909	ENSMUST00000167827	19	1	5525333	5530107	Efemp2	protein_coding
ENSMUSG00000024909	ENSMUST00000164388	19	1	5530073	5530944	Efemp2	protein_coding
ENSMUSG00000024906	ENSMUST00000124334	19	-1	5532860	5538430	Mus81	protein_coding
