ENSMUSG00000054753	ENSMUST00000203937	7	-1	3212159	3218931	AU018091	protein_coding
ENSMUSG00000030427	ENSMUST00000038176	7	-1	3911584	3918484	Lilra6	protein_coding
ENSMUSG00000030427	ENSMUST00000090689	7	-1	3911614	3918502	Lilra6	protein_coding
ENSMUSG00000055541	ENSMUST00000068865	7	-1	4006401	4066178	Lair1	protein_coding
ENSMUSG00000055541	ENSMUST00000086400	7	-1	4010072	4066203	Lair1	protein_coding
ENSMUSG00000055541	ENSMUST00000086401	7	-1	4011058	4066173	Lair1	protein_coding
ENSMUSG00000055541	ENSMUST00000108600	7	-1	4012662	4066140	Lair1	protein_coding
ENSMUSG00000055541	ENSMUST00000205296	7	-1	4012662	4066140	Lair1	protein_coding
ENSMUSG00000030428	ENSMUST00000119661	7	1	4122529	4138346	Ttyh1	protein_coding
ENSMUSG00000030428	ENSMUST00000129423	7	1	4122532	4139707	Ttyh1	protein_coding
ENSMUSG00000030428	ENSMUST00000079415	7	1	4122584	4138332	Ttyh1	protein_coding
ENSMUSG00000030428	ENSMUST00000206869	7	1	4127488	4137238	Ttyh1	protein_coding
ENSMUSG00000035545	ENSMUST00000128756	7	1	4140038	4145182	Leng8	protein_coding
ENSMUSG00000035545	ENSMUST00000132086	7	1	4140048	4142998	Leng8	protein_coding
ENSMUSG00000035545	ENSMUST00000037472	7	1	4140048	4151176	Leng8	protein_coding
ENSMUSG00000035545	ENSMUST00000117274	7	1	4140059	4143451	Leng8	protein_coding
ENSMUSG00000035545	ENSMUST00000121270	7	1	4140065	4151171	Leng8	protein_coding
ENSMUSG00000035545	ENSMUST00000144248	7	1	4140070	4145107	Leng8	protein_coding
ENSMUSG00000035545	ENSMUST00000154571	7	1	4140561	4144092	Leng8	protein_coding
ENSMUSG00000043432	ENSMUST00000058358	7	-1	4150914	4153373	Leng9	protein_coding
ENSMUSG00000063838	ENSMUST00000076831	7	-1	4154259	4167859	Cdc42ep5	protein_coding
ENSMUSG00000063838	ENSMUST00000143825	7	-1	4154550	4167538	Cdc42ep5	protein_coding
ENSMUSG00000063838	ENSMUST00000140410	7	-1	4154775	4167441	Cdc42ep5	protein_coding
ENSMUSG00000070873	ENSMUST00000117550	7	1	4240753	4246462	Lilra5	protein_coding
ENSMUSG00000062524	ENSMUST00000006792	7	1	4340723	4348163	Ncr1	protein_coding
ENSMUSG00000062524	ENSMUST00000126417	7	1	4340768	4348163	Ncr1	protein_coding
ENSMUSG00000078810	ENSMUST00000206928	7	-1	4366964	4400743	Gp6	protein_coding
ENSMUSG00000078810	ENSMUST00000108590	7	-1	4371832	4400727	Gp6	protein_coding
ENSMUSG00000008435	ENSMUST00000008579	7	-1	4428666	4448648	Rdh13	protein_coding
ENSMUSG00000008435	ENSMUST00000138798	7	-1	4438032	4448180	Rdh13	protein_coding
ENSMUSG00000006154	ENSMUST00000167298	7	1	4463701	4472226	Eps8l1	protein_coding
ENSMUSG00000006154	ENSMUST00000171445	7	1	4463714	4482403	Eps8l1	protein_coding
ENSMUSG00000006154	ENSMUST00000167810	7	1	4467492	4473833	Eps8l1	protein_coding
ENSMUSG00000006154	ENSMUST00000086372	7	1	4467741	4482241	Eps8l1	protein_coding
ENSMUSG00000006154	ENSMUST00000169820	7	1	4467768	4473041	Eps8l1	protein_coding
ENSMUSG00000006154	ENSMUST00000163893	7	1	4467848	4483486	Eps8l1	protein_coding
ENSMUSG00000006154	ENSMUST00000170635	7	1	4467868	4472918	Eps8l1	protein_coding
ENSMUSG00000019254	ENSMUST00000124248	7	-1	4484519	4504360	Ppp1r12c	protein_coding
ENSMUSG00000019254	ENSMUST00000013886	7	-1	4484519	4504679	Ppp1r12c	protein_coding
ENSMUSG00000064179	ENSMUST00000071798	7	-1	4507569	4518974	Tnnt1	protein_coding
ENSMUSG00000064179	ENSMUST00000108587	7	-1	4507569	4519003	Tnnt1	protein_coding
ENSMUSG00000064179	ENSMUST00000163710	7	-1	4507662	4518958	Tnnt1	protein_coding
ENSMUSG00000064179	ENSMUST00000178163	7	-1	4507662	4518974	Tnnt1	protein_coding
ENSMUSG00000064179	ENSMUST00000166161	7	-1	4507754	4517367	Tnnt1	protein_coding
ENSMUSG00000064179	ENSMUST00000166268	7	-1	4510567	4518960	Tnnt1	protein_coding
ENSMUSG00000064179	ENSMUST00000166959	7	-1	4511509	4517614	Tnnt1	protein_coding
ENSMUSG00000064179	ENSMUST00000163538	7	-1	4511577	4517573	Tnnt1	protein_coding
ENSMUSG00000064179	ENSMUST00000163722	7	-1	4512609	4519381	Tnnt1	protein_coding
ENSMUSG00000064179	ENSMUST00000163560	7	-1	4516828	4518106	Tnnt1	protein_coding
ENSMUSG00000035458	ENSMUST00000098859	7	-1	4521304	4525527	Tnni3	protein_coding
ENSMUSG00000035458	ENSMUST00000140424	7	-1	4523437	4525793	Tnni3	protein_coding
ENSMUSG00000035458	ENSMUST00000154913	7	-1	4523476	4527228	Tnni3	protein_coding
ENSMUSG00000035458	ENSMUST00000209148	7	-1	4523505	4525426	Tnni3	protein_coding
ENSMUSG00000055809	ENSMUST00000094897	7	-1	4525932	4535452	Dnaaf3	protein_coding
ENSMUSG00000004961	ENSMUST00000065957	7	-1	4542764	4549566	Syt5	protein_coding
ENSMUSG00000004961	ENSMUST00000206023	7	-1	4548687	4550540	Syt5	protein_coding
ENSMUSG00000004961	ENSMUST00000206933	7	-1	4549292	4549972	Syt5	protein_coding
ENSMUSG00000035429	ENSMUST00000049113	7	-1	4551611	4606140	Ptprh	protein_coding
ENSMUSG00000035429	ENSMUST00000166650	7	-1	4551991	4607040	Ptprh	protein_coding
ENSMUSG00000045282	ENSMUST00000055085	7	-1	4631039	4633481	Tmem86b	protein_coding
ENSMUSG00000045282	ENSMUST00000205360	7	-1	4631041	4633186	Tmem86b	protein_coding
ENSMUSG00000045282	ENSMUST00000205402	7	-1	4631405	4634421	Tmem86b	protein_coding
ENSMUSG00000045282	ENSMUST00000206610	7	-1	4631603	4633335	Tmem86b	protein_coding
ENSMUSG00000052296	ENSMUST00000064099	7	-1	4634494	4662018	Ppp6r1	protein_coding
ENSMUSG00000052296	ENSMUST00000206532	7	-1	4645136	4650404	Ppp6r1	protein_coding
ENSMUSG00000052296	ENSMUST00000205374	7	-1	4646236	4661980	Ppp6r1	protein_coding
ENSMUSG00000063802	ENSMUST00000079970	7	-1	4663520	4688067	Hspbp1	protein_coding
ENSMUSG00000063802	ENSMUST00000205474	7	-1	4665133	4667603	Hspbp1	protein_coding
ENSMUSG00000063802	ENSMUST00000205952	7	-1	4667581	4687993	Hspbp1	protein_coding
ENSMUSG00000063802	ENSMUST00000206946	7	-1	4680706	4687660	Hspbp1	protein_coding
ENSMUSG00000063802	ENSMUST00000206306	7	-1	4680706	4687980	Hspbp1	protein_coding
ENSMUSG00000035390	ENSMUST00000120836	7	1	4693603	4718980	Brsk1	protein_coding
ENSMUSG00000035390	ENSMUST00000048248	7	1	4693927	4718996	Brsk1	protein_coding
ENSMUSG00000035390	ENSMUST00000206024	7	1	4694079	4708425	Brsk1	protein_coding
ENSMUSG00000035390	ENSMUST00000205666	7	1	4695242	4708425	Brsk1	protein_coding
ENSMUSG00000046456	ENSMUST00000086364	7	-1	4709831	4728248	Tmem150b	protein_coding
ENSMUSG00000035390	ENSMUST00000123637	7	1	4711977	4713991	Brsk1	protein_coding
ENSMUSG00000046456	ENSMUST00000086363	7	-1	4718685	4728081	Tmem150b	protein_coding
ENSMUSG00000059851	ENSMUST00000098853	7	1	4743114	4750513	Kmt5c	protein_coding
ENSMUSG00000059851	ENSMUST00000130215	7	1	4743155	4746052	Kmt5c	protein_coding
ENSMUSG00000059851	ENSMUST00000108582	7	1	4743166	4750513	Kmt5c	protein_coding
ENSMUSG00000059851	ENSMUST00000108583	7	1	4743184	4750513	Kmt5c	protein_coding
ENSMUSG00000059851	ENSMUST00000128018	7	1	4748807	4749595	Kmt5c	protein_coding
ENSMUSG00000051811	ENSMUST00000183971	7	-1	4754791	4755971	Cox6b2	protein_coding
ENSMUSG00000051811	ENSMUST00000182111	7	-1	4754791	4756022	Cox6b2	protein_coding
ENSMUSG00000051811	ENSMUST00000184143	7	-1	4754791	4756022	Cox6b2	protein_coding
ENSMUSG00000051811	ENSMUST00000063324	7	-1	4754791	4756093	Cox6b2	protein_coding
ENSMUSG00000051811	ENSMUST00000182738	7	-1	4754793	4756008	Cox6b2	protein_coding
ENSMUSG00000051811	ENSMUST00000182048	7	-1	4754854	4756037	Cox6b2	protein_coding
ENSMUSG00000051811	ENSMUST00000182173	7	-1	4754946	4756001	Cox6b2	protein_coding
ENSMUSG00000092518	ENSMUST00000174409	7	-1	4756228	4774301	Fam71e2	protein_coding
ENSMUSG00000004371	ENSMUST00000094892	7	-1	4775372	4781140	Il11	protein_coding
ENSMUSG00000004371	ENSMUST00000163481	7	-1	4776232	4785856	Il11	protein_coding
ENSMUSG00000004371	ENSMUST00000234277	7	-1	4776232	4785858	Il11	protein_coding
ENSMUSG00000013091	ENSMUST00000013235	7	1	4785936	4787340	Tmem190	protein_coding
ENSMUSG00000030431	ENSMUST00000168578	7	-1	4787556	4792655	Tmem238	protein_coding
ENSMUSG00000030432	ENSMUST00000032597	7	1	4795873	4798065	Rpl28	protein_coding
ENSMUSG00000030432	ENSMUST00000078432	7	1	4795989	4797525	Rpl28	protein_coding
ENSMUSG00000030432	ENSMUST00000126794	7	1	4796592	4797561	Rpl28	protein_coding
ENSMUSG00000060860	ENSMUST00000079496	7	-1	4811013	4815589	Ube2s	protein_coding
ENSMUSG00000060860	ENSMUST00000205885	7	-1	4811421	4815123	Ube2s	protein_coding
ENSMUSG00000060860	ENSMUST00000206669	7	-1	4813442	4814905	Ube2s	protein_coding
ENSMUSG00000053550	ENSMUST00000117452	7	-1	4828551	4839173	Shisa7	protein_coding
ENSMUSG00000053550	ENSMUST00000066041	7	-1	4828552	4847695	Shisa7	protein_coding
ENSMUSG00000053550	ENSMUST00000119433	7	-1	4831026	4847695	Shisa7	protein_coding
ENSMUSG00000052605	ENSMUST00000064547	7	-1	4847958	4869192	Isoc2b	protein_coding
ENSMUSG00000052605	ENSMUST00000208816	7	-1	4848161	4873257	Isoc2b	protein_coding
ENSMUSG00000086784	ENSMUST00000125249	7	1	4880152	4899972	Isoc2a	protein_coding
ENSMUSG00000110221	ENSMUST00000210663	7	-1	4901449	4909515	Gm36210	protein_coding
ENSMUSG00000074406	ENSMUST00000116354	7	1	4918216	4925001	Zfp628	protein_coding
ENSMUSG00000035285	ENSMUST00000207506	7	1	4925027	4927192	Nat14	protein_coding
ENSMUSG00000035285	ENSMUST00000047309	7	1	4925250	4928005	Nat14	protein_coding
ENSMUSG00000035285	ENSMUST00000207527	7	1	4925781	4927293	Nat14	protein_coding
ENSMUSG00000035285	ENSMUST00000207687	7	1	4925867	4927999	Nat14	protein_coding
ENSMUSG00000035285	ENSMUST00000208754	7	1	4925976	4927024	Nat14	protein_coding
ENSMUSG00000035279	ENSMUST00000057612	7	1	4928784	4947825	Ssc5d	protein_coding
ENSMUSG00000030433	ENSMUST00000208109	7	-1	4943511	4967405	Sbk2	protein_coding
ENSMUSG00000030433	ENSMUST00000182214	7	-1	4959133	4967344	Sbk2	protein_coding
ENSMUSG00000030433	ENSMUST00000032598	7	-1	4960080	4967347	Sbk2	protein_coding
ENSMUSG00000030433	ENSMUST00000183170	7	-1	4960521	4967353	Sbk2	protein_coding
ENSMUSG00000085272	ENSMUST00000144863	7	-1	4968259	4973960	Sbk3	protein_coding
ENSMUSG00000085272	ENSMUST00000133272	7	-1	4970339	4974167	Sbk3	protein_coding
ENSMUSG00000051550	ENSMUST00000162731	7	-1	4995851	4998339	Zfp579	protein_coding
ENSMUSG00000051550	ENSMUST00000108572	7	-1	4995853	4999100	Zfp579	protein_coding
ENSMUSG00000051550	ENSMUST00000162502	7	-1	4997200	4999084	Zfp579	protein_coding
ENSMUSG00000061374	ENSMUST00000167804	7	-1	5010058	5017252	Fiz1	protein_coding
ENSMUSG00000061374	ENSMUST00000077385	7	-1	5010058	5017677	Fiz1	protein_coding
ENSMUSG00000061374	ENSMUST00000165320	7	-1	5010058	5017696	Fiz1	protein_coding
ENSMUSG00000061374	ENSMUST00000208944	7	-1	5010274	5016237	Fiz1	protein_coding
ENSMUSG00000061374	ENSMUST00000207030	7	-1	5010558	5017268	Fiz1	protein_coding
ENSMUSG00000061374	ENSMUST00000207946	7	-1	5015703	5016496	Fiz1	protein_coding
ENSMUSG00000061374	ENSMUST00000209060	7	-1	5015717	5016643	Fiz1	protein_coding
ENSMUSG00000061374	ENSMUST00000207412	7	-1	5015881	5017672	Fiz1	protein_coding
ENSMUSG00000051184	ENSMUST00000207901	7	1	5017414	5021487	Zfp524	protein_coding
ENSMUSG00000051184	ENSMUST00000086349	7	1	5018469	5021486	Zfp524	protein_coding
ENSMUSG00000109129	ENSMUST00000207050	7	1	5018495	5036096	Gm44973	protein_coding
ENSMUSG00000051184	ENSMUST00000209030	7	1	5018806	5021481	Zfp524	protein_coding
ENSMUSG00000074405	ENSMUST00000076251	7	1	5023375	5039767	Zfp865	protein_coding
ENSMUSG00000035228	ENSMUST00000208728	7	1	5023552	5062703	Ccdc106	protein_coding
ENSMUSG00000074405	ENSMUST00000085427	7	1	5023569	5036137	Zfp865	protein_coding
ENSMUSG00000116184	ENSMUST00000076791	7	1	5037117	5038245	4632433K11Rik	protein_coding
ENSMUSG00000043290	ENSMUST00000062428	7	-1	5037438	5041445	Zfp784	protein_coding
ENSMUSG00000055633	ENSMUST00000069324	7	1	5054537	5056722	Zfp580	protein_coding
ENSMUSG00000055633	ENSMUST00000208570	7	1	5054988	5056334	Zfp580	protein_coding
ENSMUSG00000035228	ENSMUST00000108571	7	1	5059151	5063781	Ccdc106	protein_coding
ENSMUSG00000035228	ENSMUST00000208042	7	1	5059724	5062510	Ccdc106	protein_coding
ENSMUSG00000035228	ENSMUST00000207974	7	1	5059739	5063784	Ccdc106	protein_coding
ENSMUSG00000035228	ENSMUST00000208161	7	1	5059855	5061084	Ccdc106	protein_coding
ENSMUSG00000035228	ENSMUST00000207215	7	1	5059915	5060823	Ccdc106	protein_coding
ENSMUSG00000035228	ENSMUST00000045543	7	1	5060196	5063784	Ccdc106	protein_coding
ENSMUSG00000030435	ENSMUST00000005041	7	1	5065142	5082937	U2af2	protein_coding
ENSMUSG00000030435	ENSMUST00000209099	7	1	5065244	5082932	U2af2	protein_coding
ENSMUSG00000030435	ENSMUST00000165399	7	1	5070227	5082931	U2af2	protein_coding
ENSMUSG00000035203	ENSMUST00000098845	7	1	5083234	5101177	Epn1	protein_coding
ENSMUSG00000035203	ENSMUST00000146317	7	1	5083239	5092960	Epn1	protein_coding
ENSMUSG00000035203	ENSMUST00000153169	7	1	5083267	5086915	Epn1	protein_coding
ENSMUSG00000035203	ENSMUST00000045277	7	1	5083292	5101175	Epn1	protein_coding
ENSMUSG00000035203	ENSMUST00000208634	7	1	5086754	5101175	Epn1	protein_coding
ENSMUSG00000035191	ENSMUST00000179971	7	-1	5112786	5119910	Rfpl4	protein_coding
ENSMUSG00000035191	ENSMUST00000045215	7	-1	5112865	5119910	Rfpl4	protein_coding
ENSMUSG00000035191	ENSMUST00000208468	7	-1	5113246	5119949	Rfpl4	protein_coding
ENSMUSG00000083649	ENSMUST00000147835	7	-1	5127937	5128949	Rasl2-9	protein_coding
ENSMUSG00000118215	ENSMUST00000236378	7	-1	5132290	5152669	Vmn1r55	protein_coding
ENSMUSG00000118215	ENSMUST00000098844	7	-1	5149489	5150421	Vmn1r55	protein_coding
ENSMUSG00000091874	ENSMUST00000169556	7	-1	5197915	5199746	Vmn1r56	protein_coding
ENSMUSG00000091652	ENSMUST00000228062	7	1	5221492	5224735	Vmn1r57	protein_coding
ENSMUSG00000091652	ENSMUST00000227798	7	1	5221492	5224735	Vmn1r57	protein_coding
ENSMUSG00000091652	ENSMUST00000170780	7	1	5223477	5224409	Vmn1r57	protein_coding
ENSMUSG00000035177	ENSMUST00000045022	7	-1	5301546	5354034	Nlrp2	protein_coding
ENSMUSG00000035177	ENSMUST00000207520	7	-1	5301745	5325456	Nlrp2	protein_coding
ENSMUSG00000048398	ENSMUST00000056639	7	1	5353536	5363681	Gm5065	protein_coding
ENSMUSG00000048398	ENSMUST00000207531	7	1	5354207	5362964	Gm5065	protein_coding
ENSMUSG00000078808	ENSMUST00000228728	7	-1	5404680	5416395	Vmn1r58	protein_coding
ENSMUSG00000078808	ENSMUST00000108569	7	-1	5404680	5416395	Vmn1r58	protein_coding
ENSMUSG00000117744	ENSMUST00000074132	7	-1	5456826	5457758	Vmn1r59	protein_coding
ENSMUSG00000066820	ENSMUST00000233742	7	-1	5480254	5496955	Vmn2r28	protein_coding
ENSMUSG00000066820	ENSMUST00000233941	7	-1	5480254	5496955	Vmn2r28	protein_coding
ENSMUSG00000066820	ENSMUST00000233390	7	-1	5480254	5496955	Vmn2r28	protein_coding
ENSMUSG00000066820	ENSMUST00000233239	7	-1	5480254	5496955	Vmn2r28	protein_coding
ENSMUSG00000066820	ENSMUST00000232789	7	-1	5480254	5496955	Vmn2r28	protein_coding
ENSMUSG00000066820	ENSMUST00000086297	7	-1	5480254	5496955	Vmn2r28	protein_coding
ENSMUSG00000118298	ENSMUST00000236262	7	-1	5542345	5548308	Vmn1r60	protein_coding
ENSMUSG00000118298	ENSMUST00000173782	7	-1	5547196	5548098	Vmn1r60	protein_coding
ENSMUSG00000117863	ENSMUST00000164880	7	-1	5612827	5614488	Vmn1r61	protein_coding
ENSMUSG00000092579	ENSMUST00000237772	7	1	5676630	5679662	Vmn1r62	protein_coding
ENSMUSG00000092579	ENSMUST00000173956	7	1	5676630	5679662	Vmn1r62	protein_coding
ENSMUSG00000058631	ENSMUST00000075085	7	-1	5805344	5808444	Vmn1r63	protein_coding
ENSMUSG00000118388	ENSMUST00000078475	7	-1	5886579	5887541	Vmn1r64	protein_coding
ENSMUSG00000066850	ENSMUST00000086338	7	-1	6010749	6014009	Vmn1r65	protein_coding
ENSMUSG00000034690	ENSMUST00000037728	7	1	6048160	6108149	Nlrp4c	protein_coding
ENSMUSG00000034690	ENSMUST00000121583	7	1	6048268	6107683	Nlrp4c	protein_coding
ENSMUSG00000034690	ENSMUST00000208360	7	1	6063506	6107631	Nlrp4c	protein_coding
ENSMUSG00000046792	ENSMUST00000094870	7	-1	6134490	6158970	Zfp787	protein_coding
ENSMUSG00000046792	ENSMUST00000207315	7	-1	6135954	6158594	Zfp787	protein_coding
ENSMUSG00000046792	ENSMUST00000207628	7	-1	6145285	6158996	Zfp787	protein_coding
ENSMUSG00000046792	ENSMUST00000207957	7	-1	6145352	6158925	Zfp787	protein_coding
ENSMUSG00000046792	ENSMUST00000207331	7	-1	6145401	6154047	Zfp787	protein_coding
ENSMUSG00000046792	ENSMUST00000208746	7	-1	6145402	6158433	Zfp787	protein_coding
ENSMUSG00000044876	ENSMUST00000128495	7	1	6175225	6186950	Zfp444	protein_coding
ENSMUSG00000044876	ENSMUST00000108567	7	1	6175481	6196810	Zfp444	protein_coding
ENSMUSG00000044876	ENSMUST00000207176	7	1	6175500	6187202	Zfp444	protein_coding
ENSMUSG00000044876	ENSMUST00000054680	7	1	6175501	6194348	Zfp444	protein_coding
ENSMUSG00000044876	ENSMUST00000108566	7	1	6175512	6193420	Zfp444	protein_coding
ENSMUSG00000044876	ENSMUST00000207329	7	1	6175571	6187019	Zfp444	protein_coding
ENSMUSG00000044876	ENSMUST00000108565	7	1	6177034	6192845	Zfp444	protein_coding
ENSMUSG00000044876	ENSMUST00000134933	7	1	6184455	6191157	Zfp444	protein_coding
ENSMUSG00000044876	ENSMUST00000136777	7	1	6186575	6191232	Zfp444	protein_coding
ENSMUSG00000034660	ENSMUST00000037553	7	1	6200089	6219136	Galp	protein_coding
ENSMUSG00000034660	ENSMUST00000130076	7	1	6205800	6214365	Galp	protein_coding
ENSMUSG00000058028	ENSMUST00000072662	7	1	6225277	6242422	Zscan5b	protein_coding
ENSMUSG00000058028	ENSMUST00000155314	7	1	6225294	6234403	Zscan5b	protein_coding
ENSMUSG00000058028	ENSMUST00000165445	7	1	6233178	6242189	Zscan5b	protein_coding
ENSMUSG00000053367	ENSMUST00000121024	7	1	6255709	6284858	Epp13	protein_coding
ENSMUSG00000053367	ENSMUST00000155248	7	1	6263535	6284858	Epp13	protein_coding
ENSMUSG00000054893	ENSMUST00000086327	7	1	6289578	6310882	Zfp667	protein_coding
ENSMUSG00000054893	ENSMUST00000153840	7	1	6289592	6303958	Zfp667	protein_coding
ENSMUSG00000054893	ENSMUST00000170776	7	1	6289613	6310861	Zfp667	protein_coding
ENSMUSG00000054893	ENSMUST00000108562	7	1	6290867	6310681	Zfp667	protein_coding
ENSMUSG00000030443	ENSMUST00000062765	7	-1	6318659	6334284	Zfp583	protein_coding
ENSMUSG00000030443	ENSMUST00000108560	7	-1	6319275	6333433	Zfp583	protein_coding
ENSMUSG00000030443	ENSMUST00000165705	7	-1	6319304	6332262	Zfp583	protein_coding
ENSMUSG00000030443	ENSMUST00000127658	7	-1	6326649	6334277	Zfp583	protein_coding
ENSMUSG00000109398	ENSMUST00000207173	7	1	6346758	6358955	Gm3854	protein_coding
ENSMUSG00000055150	ENSMUST00000207347	7	1	6366279	6384708	Zfp78	protein_coding
