ENSMUSG00000005534	ENSMUST00000207100	8	-1	3224795	3242717	Insr	protein_coding
ENSMUSG00000044433	ENSMUST00000208036	8	1	3638051	3648927	Camsap3	protein_coding
ENSMUSG00000019470	ENSMUST00000019614	8	-1	3660087	3671316	Xab2	protein_coding
ENSMUSG00000019470	ENSMUST00000159548	8	-1	3664317	3671270	Xab2	protein_coding
ENSMUSG00000087687	ENSMUST00000156380	8	1	3671551	3674235	Pet100	protein_coding
ENSMUSG00000087687	ENSMUST00000207389	8	1	3671602	3673372	Pet100	protein_coding
ENSMUSG00000004630	ENSMUST00000136105	8	-1	3673371	3675545	Pcp2	protein_coding
ENSMUSG00000004630	ENSMUST00000142431	8	-1	3673377	3675002	Pcp2	protein_coding
ENSMUSG00000004630	ENSMUST00000133459	8	-1	3673377	3675049	Pcp2	protein_coding
ENSMUSG00000004630	ENSMUST00000004749	8	-1	3673377	3675282	Pcp2	protein_coding
ENSMUSG00000004630	ENSMUST00000128566	8	-1	3673377	3675545	Pcp2	protein_coding
ENSMUSG00000004630	ENSMUST00000144977	8	-1	3673380	3675525	Pcp2	protein_coding
ENSMUSG00000004626	ENSMUST00000160708	8	1	3680955	3693644	Stxbp2	protein_coding
ENSMUSG00000004626	ENSMUST00000159911	8	1	3681153	3683924	Stxbp2	protein_coding
ENSMUSG00000004626	ENSMUST00000004745	8	1	3681170	3692795	Stxbp2	protein_coding
ENSMUSG00000004626	ENSMUST00000159370	8	1	3689574	3692794	Stxbp2	protein_coding
ENSMUSG00000012705	ENSMUST00000169234	8	1	3705770	3708096	Retn	protein_coding
ENSMUSG00000012705	ENSMUST00000012849	8	1	3705770	3710110	Retn	protein_coding
ENSMUSG00000013974	ENSMUST00000014118	8	1	3715754	3719259	Mcemp1	protein_coding
ENSMUSG00000089665	ENSMUST00000159364	8	-1	3721188	3722362	Fcor	protein_coding
ENSMUSG00000040236	ENSMUST00000044857	8	1	3726299	3731255	Trappc5	protein_coding
ENSMUSG00000040236	ENSMUST00000207787	8	1	3726510	3730920	Trappc5	protein_coding
ENSMUSG00000005540	ENSMUST00000005678	8	-1	3731737	3744175	Fcer2a	protein_coding
ENSMUSG00000005540	ENSMUST00000208145	8	-1	3732784	3740390	Fcer2a	protein_coding
ENSMUSG00000005540	ENSMUST00000208492	8	-1	3732784	3740861	Fcer2a	protein_coding
ENSMUSG00000005540	ENSMUST00000208438	8	-1	3732810	3740827	Fcer2a	protein_coding
ENSMUSG00000005540	ENSMUST00000208603	8	-1	3732810	3740827	Fcer2a	protein_coding
ENSMUSG00000005540	ENSMUST00000207635	8	-1	3732824	3741161	Fcer2a	protein_coding
ENSMUSG00000005540	ENSMUST00000207463	8	-1	3732824	3741163	Fcer2a	protein_coding
ENSMUSG00000074491	ENSMUST00000058040	8	-1	3757064	3767553	Clec4g	protein_coding
ENSMUSG00000074491	ENSMUST00000062037	8	-1	3766064	3770651	Clec4g	protein_coding
ENSMUSG00000031494	ENSMUST00000012847	8	-1	3793397	3798984	Cd209a	protein_coding
ENSMUSG00000031494	ENSMUST00000208960	8	-1	3793801	3798927	Cd209a	protein_coding
ENSMUSG00000031494	ENSMUST00000207979	8	-1	3793942	3798930	Cd209a	protein_coding
ENSMUSG00000040197	ENSMUST00000033888	8	-1	3897965	3904309	Cd209e	protein_coding
ENSMUSG00000031495	ENSMUST00000011445	8	-1	3921824	3928555	Cd209d	protein_coding
ENSMUSG00000031495	ENSMUST00000209176	8	-1	3921921	3928495	Cd209d	protein_coding
ENSMUSG00000065987	ENSMUST00000084086	8	-1	3967657	3976833	Cd209b	protein_coding
ENSMUSG00000065987	ENSMUST00000171635	8	-1	3968606	3976833	Cd209b	protein_coding
ENSMUSG00000065987	ENSMUST00000188386	8	-1	3968677	3976813	Cd209b	protein_coding
ENSMUSG00000040165	ENSMUST00000044060	8	-1	3990222	3996863	Cd209c	protein_coding
ENSMUSG00000051906	ENSMUST00000145007	8	-1	4152787	4155835	Cd209f	protein_coding
ENSMUSG00000051906	ENSMUST00000138439	8	-1	4152794	4155764	Cd209f	protein_coding
ENSMUSG00000079168	ENSMUST00000130372	8	1	4184652	4187707	Cd209g	protein_coding
ENSMUSG00000011832	ENSMUST00000239400	8	1	4216567	4243701	Evi5l	protein_coding
ENSMUSG00000011832	ENSMUST00000177053	8	1	4216567	4243701	Evi5l	protein_coding
ENSMUSG00000011832	ENSMUST00000176149	8	1	4216567	4258051	Evi5l	protein_coding
ENSMUSG00000011832	ENSMUST00000176072	8	1	4216574	4258226	Evi5l	protein_coding
ENSMUSG00000011832	ENSMUST00000176825	8	1	4216739	4258046	Evi5l	protein_coding
ENSMUSG00000011832	ENSMUST00000176645	8	1	4256249	4261257	Evi5l	protein_coding
ENSMUSG00000064125	ENSMUST00000168386	8	-1	4259543	4267312	Prr36	protein_coding
ENSMUSG00000064125	ENSMUST00000177491	8	-1	4265049	4266912	Prr36	protein_coding
ENSMUSG00000064125	ENSMUST00000175906	8	-1	4265972	4267152	Prr36	protein_coding
ENSMUSG00000064125	ENSMUST00000176227	8	-1	4266408	4267459	Prr36	protein_coding
ENSMUSG00000046589	ENSMUST00000053035	8	1	4276827	4287470	Lrrc8e	protein_coding
ENSMUSG00000046589	ENSMUST00000207770	8	1	4281207	4283970	Lrrc8e	protein_coding
ENSMUSG00000002948	ENSMUST00000110998	8	1	4288740	4297896	Map2k7	protein_coding
ENSMUSG00000002948	ENSMUST00000062686	8	1	4288761	4297897	Map2k7	protein_coding
ENSMUSG00000002948	ENSMUST00000003027	8	1	4288829	4297897	Map2k7	protein_coding
ENSMUSG00000002948	ENSMUST00000110999	8	1	4288829	4297897	Map2k7	protein_coding
ENSMUSG00000002948	ENSMUST00000110994	8	1	4290105	4296108	Map2k7	protein_coding
ENSMUSG00000002948	ENSMUST00000110995	8	1	4290105	4297897	Map2k7	protein_coding
ENSMUSG00000002948	ENSMUST00000110996	8	1	4293264	4295841	Map2k7	protein_coding
ENSMUSG00000002948	ENSMUST00000129866	8	1	4294457	4296177	Map2k7	protein_coding
ENSMUSG00000089736	ENSMUST00000110993	8	1	4298214	4301423	Tgfbr3l	protein_coding
ENSMUSG00000011837	ENSMUST00000011981	8	1	4303080	4306220	Snapc2	protein_coding
ENSMUSG00000011837	ENSMUST00000208316	8	1	4303094	4306218	Snapc2	protein_coding
ENSMUSG00000011837	ENSMUST00000208459	8	1	4303419	4305632	Snapc2	protein_coding
ENSMUSG00000011837	ENSMUST00000208110	8	1	4305071	4305825	Snapc2	protein_coding
ENSMUSG00000048644	ENSMUST00000053252	8	-1	4307660	4309274	Ctxn1	protein_coding
ENSMUSG00000002949	ENSMUST00000003029	8	-1	4309731	4325913	Timm44	protein_coding
ENSMUSG00000040028	ENSMUST00000098950	8	-1	4335382	4375413	Elavl1	protein_coding
ENSMUSG00000040028	ENSMUST00000209010	8	-1	4338343	4362619	Elavl1	protein_coding
ENSMUSG00000023235	ENSMUST00000127460	8	1	4375233	4409654	Ccl25	protein_coding
ENSMUSG00000023235	ENSMUST00000136191	8	1	4375236	4404097	Ccl25	protein_coding
ENSMUSG00000023235	ENSMUST00000110982	8	1	4399588	4407993	Ccl25	protein_coding
ENSMUSG00000023235	ENSMUST00000024004	8	1	4399588	4410020	Ccl25	protein_coding
ENSMUSG00000008206	ENSMUST00000176042	8	1	4543140	4565725	Cers4	protein_coding
ENSMUSG00000008206	ENSMUST00000008350	8	1	4543199	4581680	Cers4	protein_coding
ENSMUSG00000058748	ENSMUST00000202692	8	1	4663167	4680231	Zfp958	protein_coding
ENSMUSG00000058748	ENSMUST00000073201	8	1	4675840	4679380	Zfp958	protein_coding
ENSMUSG00000022322	ENSMUST00000022945	8	-1	4785976	4829554	Shcbp1	protein_coding
ENSMUSG00000022322	ENSMUST00000207876	8	-1	4789595	4799675	Shcbp1	protein_coding
ENSMUSG00000022322	ENSMUST00000207262	8	-1	4799752	4829476	Shcbp1	protein_coding
ENSMUSG00000023073	ENSMUST00000023835	8	-1	5133219	5155351	Slc10a2	protein_coding
ENSMUSG00000001300	ENSMUST00000001319	8	-1	8667434	8711242	Efnb2	protein_coding
ENSMUSG00000001300	ENSMUST00000152698	8	-1	8670597	8689363	Efnb2	protein_coding
ENSMUSG00000040459	ENSMUST00000048545	8	-1	8715075	8740521	Arglu1	protein_coding
ENSMUSG00000079157	ENSMUST00000110969	8	-1	9255902	9821161	Fam155a	protein_coding
ENSMUSG00000079157	ENSMUST00000208933	8	-1	9257627	9821021	Fam155a	protein_coding
ENSMUSG00000067627	ENSMUST00000088080	8	1	9914251	9920315	Gm10217	protein_coding
ENSMUSG00000049717	ENSMUST00000095476	8	-1	10019049	10026299	Lig4	protein_coding
ENSMUSG00000049717	ENSMUST00000170033	8	-1	10020877	10027686	Lig4	protein_coding
ENSMUSG00000040396	ENSMUST00000139793	8	1	10027707	10042155	Abhd13	protein_coding
ENSMUSG00000040396	ENSMUST00000048216	8	1	10027717	10042155	Abhd13	protein_coding
ENSMUSG00000031497	ENSMUST00000207792	8	1	10056633	10089072	Tnfsf13b	protein_coding
ENSMUSG00000031497	ENSMUST00000033892	8	1	10056654	10085618	Tnfsf13b	protein_coding
ENSMUSG00000039057	ENSMUST00000208309	8	1	10203911	10476702	Myo16	protein_coding
ENSMUSG00000039057	ENSMUST00000207477	8	1	10203968	10684742	Myo16	protein_coding
ENSMUSG00000039057	ENSMUST00000214643	8	1	10299288	10419447	Myo16	protein_coding
ENSMUSG00000039057	ENSMUST00000207204	8	1	10322536	10684741	Myo16	protein_coding
ENSMUSG00000039057	ENSMUST00000042103	8	1	10322572	10684741	Myo16	protein_coding
ENSMUSG00000038894	ENSMUST00000040514	8	-1	11034681	11058458	Irs2	protein_coding
ENSMUSG00000031502	ENSMUST00000033898	8	-1	11248423	11362826	Col4a1	protein_coding
ENSMUSG00000031502	ENSMUST00000209598	8	-1	11249519	11260831	Col4a1	protein_coding
ENSMUSG00000031502	ENSMUST00000208095	8	-1	11294363	11329656	Col4a1	protein_coding
ENSMUSG00000031503	ENSMUST00000033899	8	1	11362805	11499287	Col4a2	protein_coding
ENSMUSG00000031504	ENSMUST00000033900	8	-1	11503518	11528710	Rab20	protein_coding
ENSMUSG00000031505	ENSMUST00000177955	8	1	11547506	11563287	Naxd	protein_coding
ENSMUSG00000031505	ENSMUST00000033901	8	1	11547568	11563287	Naxd	protein_coding
ENSMUSG00000031505	ENSMUST00000178721	8	1	11547584	11563287	Naxd	protein_coding
ENSMUSG00000056228	ENSMUST00000049461	8	-1	11563977	11600783	Cars2	protein_coding
ENSMUSG00000056228	ENSMUST00000211395	8	-1	11564009	11566189	Cars2	protein_coding
ENSMUSG00000045969	ENSMUST00000211007	8	1	11605571	11613250	Ing1	protein_coding
ENSMUSG00000045969	ENSMUST00000210740	8	1	11606063	11613250	Ing1	protein_coding
ENSMUSG00000045969	ENSMUST00000210670	8	1	11606065	11611620	Ing1	protein_coding
ENSMUSG00000045969	ENSMUST00000054399	8	1	11606066	11613251	Ing1	protein_coding
ENSMUSG00000045969	ENSMUST00000209646	8	1	11606111	11612048	Ing1	protein_coding
ENSMUSG00000045969	ENSMUST00000210041	8	1	11608196	11613249	Ing1	protein_coding
ENSMUSG00000045969	ENSMUST00000209565	8	1	11608429	11613250	Ing1	protein_coding
ENSMUSG00000031508	ENSMUST00000169782	8	-1	11661583	11685757	Ankrd10	protein_coding
ENSMUSG00000031508	ENSMUST00000033905	8	-1	11661584	11685754	Ankrd10	protein_coding
ENSMUSG00000031508	ENSMUST00000210876	8	-1	11678515	11683950	Ankrd10	protein_coding
ENSMUSG00000031509	ENSMUST00000033906	8	-1	11704924	11728750	1700016D06Rik	protein_coding
ENSMUSG00000031509	ENSMUST00000190741	8	-1	11705479	11751063	1700016D06Rik	protein_coding
ENSMUSG00000031509	ENSMUST00000191350	8	-1	11705480	11712604	1700016D06Rik	protein_coding
ENSMUSG00000031511	ENSMUST00000210104	8	1	11777721	11832581	Arhgef7	protein_coding
ENSMUSG00000031511	ENSMUST00000110909	8	1	11778105	11877149	Arhgef7	protein_coding
ENSMUSG00000031511	ENSMUST00000074856	8	1	11808354	11885219	Arhgef7	protein_coding
ENSMUSG00000031511	ENSMUST00000098938	8	1	11808354	11885219	Arhgef7	protein_coding
ENSMUSG00000031511	ENSMUST00000210012	8	1	11808391	11855323	Arhgef7	protein_coding
ENSMUSG00000031511	ENSMUST00000110904	8	1	11832641	11885219	Arhgef7	protein_coding
ENSMUSG00000031511	ENSMUST00000239427	8	1	11847454	11850483	Arhgef7	protein_coding
ENSMUSG00000031512	ENSMUST00000033909	8	1	11890474	11905761	Tex29	protein_coding
ENSMUSG00000031512	ENSMUST00000209692	8	1	11890532	11905756	Tex29	protein_coding
ENSMUSG00000031512	ENSMUST00000166638	8	1	11890919	11905705	Tex29	protein_coding
ENSMUSG00000074473	ENSMUST00000098935	8	1	12328819	12330657	A230072I06Rik	protein_coding
ENSMUSG00000096014	ENSMUST00000180353	8	1	12445295	12450126	Sox1	protein_coding
ENSMUSG00000010435	ENSMUST00000210276	8	1	12623029	12650744	Spaca7	protein_coding
ENSMUSG00000010435	ENSMUST00000010579	8	1	12623049	12650739	Spaca7	protein_coding
ENSMUSG00000010435	ENSMUST00000209428	8	1	12623049	12650739	Spaca7	protein_coding
ENSMUSG00000000759	ENSMUST00000000776	8	-1	12664277	12722248	Tubgcp3	protein_coding
ENSMUSG00000031441	ENSMUST00000033818	8	1	12807014	12918728	Atp11a	protein_coding
ENSMUSG00000031441	ENSMUST00000091237	8	1	12807016	12918728	Atp11a	protein_coding
ENSMUSG00000031441	ENSMUST00000132974	8	1	12885165	12918667	Atp11a	protein_coding
ENSMUSG00000031441	ENSMUST00000152273	8	1	12897855	12907270	Atp11a	protein_coding
ENSMUSG00000031441	ENSMUST00000143359	8	1	12906960	12912205	Atp11a	protein_coding
ENSMUSG00000031441	ENSMUST00000131804	8	1	12907962	12912202	Atp11a	protein_coding
ENSMUSG00000031442	ENSMUST00000156560	8	1	12923806	12930146	Mcf2l	protein_coding
ENSMUSG00000031442	ENSMUST00000095456	8	1	12923827	13069053	Mcf2l	protein_coding
ENSMUSG00000031442	ENSMUST00000173099	8	1	12965256	13070905	Mcf2l	protein_coding
ENSMUSG00000031442	ENSMUST00000110876	8	1	12965893	13070509	Mcf2l	protein_coding
ENSMUSG00000031442	ENSMUST00000110879	8	1	12965975	13069309	Mcf2l	protein_coding
ENSMUSG00000031442	ENSMUST00000098927	8	1	12976632	13068177	Mcf2l	protein_coding
ENSMUSG00000031442	ENSMUST00000238472	8	1	12981662	13023089	Mcf2l	protein_coding
ENSMUSG00000031442	ENSMUST00000110871	8	1	12997953	13064029	Mcf2l	protein_coding
ENSMUSG00000031442	ENSMUST00000110867	8	1	12999416	13069275	Mcf2l	protein_coding
ENSMUSG00000031442	ENSMUST00000110866	8	1	12999484	13070501	Mcf2l	protein_coding
ENSMUSG00000031442	ENSMUST00000110873	8	1	13034276	13067468	Mcf2l	protein_coding
ENSMUSG00000031442	ENSMUST00000173006	8	1	13034281	13061546	Mcf2l	protein_coding
ENSMUSG00000031442	ENSMUST00000145067	8	1	13034296	13070505	Mcf2l	protein_coding
ENSMUSG00000031442	ENSMUST00000126905	8	1	13050759	13070505	Mcf2l	protein_coding
ENSMUSG00000031442	ENSMUST00000123811	8	1	13061494	13070527	Mcf2l	protein_coding
ENSMUSG00000031442	ENSMUST00000134227	8	1	13061510	13068094	Mcf2l	protein_coding
ENSMUSG00000031442	ENSMUST00000145892	8	1	13061818	13067439	Mcf2l	protein_coding
ENSMUSG00000031442	ENSMUST00000139776	8	1	13063561	13068999	Mcf2l	protein_coding
ENSMUSG00000031443	ENSMUST00000033820	8	1	13076034	13085809	F7	protein_coding
ENSMUSG00000031444	ENSMUST00000063820	8	1	13087308	13106676	F10	protein_coding
ENSMUSG00000031444	ENSMUST00000033821	8	1	13087322	13105900	F10	protein_coding
ENSMUSG00000031444	ENSMUST00000123768	8	1	13087587	13096147	F10	protein_coding
ENSMUSG00000031444	ENSMUST00000128418	8	1	13087838	13105835	F10	protein_coding
ENSMUSG00000031444	ENSMUST00000152034	8	1	13087838	13105895	F10	protein_coding
ENSMUSG00000031445	ENSMUST00000211363	8	1	13110943	13123286	Proz	protein_coding
ENSMUSG00000031445	ENSMUST00000033822	8	1	13110965	13126026	Proz	protein_coding
ENSMUSG00000038542	ENSMUST00000164416	8	-1	13127189	13155459	Pcid2	protein_coding
ENSMUSG00000031446	ENSMUST00000016680	8	1	13155621	13197940	Cul4a	protein_coding
ENSMUSG00000031446	ENSMUST00000121426	8	1	13155740	13174222	Cul4a	protein_coding
ENSMUSG00000031447	ENSMUST00000033824	8	1	13209161	13225338	Lamp1	protein_coding
ENSMUSG00000038515	ENSMUST00000210317	8	-1	13225162	13250620	Grtp1	protein_coding
ENSMUSG00000038515	ENSMUST00000165605	8	-1	13226870	13250535	Grtp1	protein_coding
ENSMUSG00000038515	ENSMUST00000209691	8	-1	13226922	13250556	Grtp1	protein_coding
ENSMUSG00000038515	ENSMUST00000211128	8	-1	13228561	13250617	Grtp1	protein_coding
ENSMUSG00000031448	ENSMUST00000204916	8	-1	13271663	13304162	Adprhl1	protein_coding
ENSMUSG00000031448	ENSMUST00000033825	8	-1	13285655	13304162	Adprhl1	protein_coding
ENSMUSG00000031448	ENSMUST00000168498	8	-1	13292510	13304071	Adprhl1	protein_coding
ENSMUSG00000031448	ENSMUST00000171619	8	-1	13292642	13304096	Adprhl1	protein_coding
ENSMUSG00000038506	ENSMUST00000110840	8	-1	13305963	13338125	Dcun1d2	protein_coding
ENSMUSG00000038506	ENSMUST00000110839	8	-1	13305963	13338126	Dcun1d2	protein_coding
ENSMUSG00000038506	ENSMUST00000045366	8	-1	13305964	13337841	Dcun1d2	protein_coding
ENSMUSG00000038506	ENSMUST00000110838	8	-1	13305964	13338131	Dcun1d2	protein_coding
ENSMUSG00000038506	ENSMUST00000203604	8	-1	13309903	13337833	Dcun1d2	protein_coding
ENSMUSG00000038497	ENSMUST00000045229	8	1	13338211	13372924	Tmco3	protein_coding
ENSMUSG00000038497	ENSMUST00000210600	8	1	13360215	13371045	Tmco3	protein_coding
ENSMUSG00000038482	ENSMUST00000209885	8	1	13388751	13428448	Tfdp1	protein_coding
ENSMUSG00000038482	ENSMUST00000209396	8	1	13388768	13428442	Tfdp1	protein_coding
ENSMUSG00000038482	ENSMUST00000209282	8	1	13389326	13420546	Tfdp1	protein_coding
ENSMUSG00000038482	ENSMUST00000210165	8	1	13389661	13420963	Tfdp1	protein_coding
ENSMUSG00000038482	ENSMUST00000170909	8	1	13389674	13427702	Tfdp1	protein_coding
ENSMUSG00000038482	ENSMUST00000209945	8	1	13419465	13422983	Tfdp1	protein_coding
ENSMUSG00000031449	ENSMUST00000033826	8	-1	13436205	13446825	Atp4b	protein_coding
ENSMUSG00000031450	ENSMUST00000033827	8	1	13455081	13471945	Grk1	protein_coding
ENSMUSG00000031450	ENSMUST00000209909	8	1	13455081	13471951	Grk1	protein_coding
ENSMUSG00000038457	ENSMUST00000167505	8	1	13485459	13511447	Tmem255b	protein_coding
ENSMUSG00000038457	ENSMUST00000167071	8	1	13485483	13511453	Tmem255b	protein_coding
ENSMUSG00000031451	ENSMUST00000033828	8	-1	13515374	13544490	Gas6	protein_coding
ENSMUSG00000031452	ENSMUST00000187391	8	-1	13600733	13612448	1700029H14Rik	protein_coding
ENSMUSG00000031452	ENSMUST00000134023	8	-1	13600733	13612448	1700029H14Rik	protein_coding
ENSMUSG00000031452	ENSMUST00000151400	8	-1	13600733	13612461	1700029H14Rik	protein_coding
ENSMUSG00000031453	ENSMUST00000117551	8	-1	13616948	13727603	Rasa3	protein_coding
ENSMUSG00000090336	ENSMUST00000166277	8	1	13755889	13793084	Cfap97d2	protein_coding
ENSMUSG00000090336	ENSMUST00000214337	8	1	13755967	13793414	Cfap97d2	protein_coding
ENSMUSG00000038416	ENSMUST00000130173	8	1	13807676	13816497	Cdc16	protein_coding
ENSMUSG00000038416	ENSMUST00000043962	8	1	13807676	13831938	Cdc16	protein_coding
ENSMUSG00000038416	ENSMUST00000134645	8	1	13807677	13813007	Cdc16	protein_coding
ENSMUSG00000038398	ENSMUST00000043767	8	1	13835615	13849193	Upf3a	protein_coding
ENSMUSG00000057116	ENSMUST00000071308	8	-1	13885233	13888389	AF366264	protein_coding
ENSMUSG00000047710	ENSMUST00000051870	8	1	13919641	13931639	Champ1	protein_coding
ENSMUSG00000047710	ENSMUST00000128557	8	1	13919704	13931639	Champ1	protein_coding
ENSMUSG00000031458	ENSMUST00000033839	8	-1	13934794	13940268	Coprs	protein_coding
ENSMUSG00000031458	ENSMUST00000209371	8	-1	13934996	13939964	Coprs	protein_coding
ENSMUSG00000038365	ENSMUST00000209913	8	1	13957803	13990521	Fbxo25	protein_coding
ENSMUSG00000038365	ENSMUST00000043520	8	1	13957803	13990522	Fbxo25	protein_coding
ENSMUSG00000038365	ENSMUST00000210280	8	1	13976979	13985451	Fbxo25	protein_coding
ENSMUSG00000050052	ENSMUST00000062613	8	-1	14002008	14024777	Tdrp	protein_coding
ENSMUSG00000050052	ENSMUST00000210414	8	-1	14003966	14024693	Tdrp	protein_coding
ENSMUSG00000050052	ENSMUST00000145695	8	-1	14004113	14025032	Tdrp	protein_coding
ENSMUSG00000051978	ENSMUST00000110813	8	-1	14077561	14140301	Erich1	protein_coding
ENSMUSG00000051978	ENSMUST00000211242	8	-1	14083697	14140279	Erich1	protein_coding
ENSMUSG00000047495	ENSMUST00000152652	8	1	14145865	14897108	Dlgap2	protein_coding
ENSMUSG00000047495	ENSMUST00000133298	8	1	14145875	14897680	Dlgap2	protein_coding
ENSMUSG00000047495	ENSMUST00000150247	8	1	14229667	14896708	Dlgap2	protein_coding
ENSMUSG00000047495	ENSMUST00000043279	8	1	14229667	14897108	Dlgap2	protein_coding
ENSMUSG00000026317	ENSMUST00000132001	8	1	14931335	14944716	Cln8	protein_coding
ENSMUSG00000026317	ENSMUST00000123990	8	1	14938045	14945059	Cln8	protein_coding
ENSMUSG00000026317	ENSMUST00000027554	8	1	14938111	14951720	Cln8	protein_coding
ENSMUSG00000026317	ENSMUST00000133578	8	1	14939004	14944786	Cln8	protein_coding
ENSMUSG00000026317	ENSMUST00000128839	8	1	14939359	14944919	Cln8	protein_coding
ENSMUSG00000071176	ENSMUST00000084207	8	1	14961663	15051085	Arhgef10	protein_coding
ENSMUSG00000071176	ENSMUST00000161162	8	1	14961724	15011202	Arhgef10	protein_coding
ENSMUSG00000071176	ENSMUST00000110800	8	1	14961738	15051085	Arhgef10	protein_coding
ENSMUSG00000071176	ENSMUST00000163062	8	1	14995301	15051082	Arhgef10	protein_coding
ENSMUSG00000055675	ENSMUST00000069399	8	1	15061025	15083333	Kbtbd11	protein_coding
ENSMUSG00000049008	ENSMUST00000050493	8	-1	15091444	15096069	BB014433	protein_coding
ENSMUSG00000049008	ENSMUST00000179941	8	-1	15091535	15093077	BB014433	protein_coding
ENSMUSG00000049008	ENSMUST00000123331	8	-1	15092502	15096078	BB014433	protein_coding
ENSMUSG00000031461	ENSMUST00000033842	8	1	15107653	15183541	Myom2	protein_coding
ENSMUSG00000060924	ENSMUST00000082104	8	-1	15942537	17585297	Csmd1	protein_coding
ENSMUSG00000039842	ENSMUST00000039412	8	1	18645147	18853205	Mcph1	protein_coding
ENSMUSG00000039842	ENSMUST00000146819	8	1	18645598	18682917	Mcph1	protein_coding
ENSMUSG00000039842	ENSMUST00000133417	8	1	18675579	18681896	Mcph1	protein_coding
ENSMUSG00000039842	ENSMUST00000141244	8	1	18682608	18703006	Mcph1	protein_coding
ENSMUSG00000031465	ENSMUST00000033846	8	-1	18740279	18791578	Angpt2	protein_coding
ENSMUSG00000031467	ENSMUST00000149565	8	1	18896293	18941377	Agpat5	protein_coding
