ENSMUSG00000046201	ENSMUST00000232048	17	1	3165524	3209620	Scaf8	protein_coding
ENSMUSG00000023805	ENSMUST00000154114	17	1	6063824	6088648	Synj2	protein_coding
ENSMUSG00000023805	ENSMUST00000126881	17	1	6075351	6087737	Synj2	protein_coding
ENSMUSG00000015659	ENSMUST00000097432	17	-1	6092471	6130016	Serac1	protein_coding
ENSMUSG00000015659	ENSMUST00000024570	17	-1	6094341	6130002	Serac1	protein_coding
ENSMUSG00000034345	ENSMUST00000039487	17	1	6130061	6136792	Gtf2h5	protein_coding
ENSMUSG00000034345	ENSMUST00000100955	17	1	6130205	6135407	Gtf2h5	protein_coding
ENSMUSG00000034377	ENSMUST00000142030	17	1	6156754	6257189	Tulp4	protein_coding
ENSMUSG00000034377	ENSMUST00000149756	17	1	6157166	6290903	Tulp4	protein_coding
ENSMUSG00000034377	ENSMUST00000039655	17	1	6188423	6290903	Tulp4	protein_coding
ENSMUSG00000034377	ENSMUST00000137063	17	1	6282927	6301403	Tulp4	protein_coding
ENSMUSG00000038141	ENSMUST00000232383	17	1	6307135	6358589	Tmem181a	protein_coding
ENSMUSG00000038141	ENSMUST00000088940	17	1	6320745	6358589	Tmem181a	protein_coding
ENSMUSG00000092074	ENSMUST00000232499	17	-1	6356622	6367693	Dynlt1a	protein_coding
ENSMUSG00000092074	ENSMUST00000169415	17	-1	6358269	6367775	Dynlt1a	protein_coding
ENSMUSG00000096255	ENSMUST00000179569	17	1	6697511	6703695	Dynlt1b	protein_coding
ENSMUSG00000000579	ENSMUST00000092966	17	1	6869070	6877078	Dynlt1c	protein_coding
ENSMUSG00000095677	ENSMUST00000179554	17	-1	6916337	6923299	Dynlt1f	protein_coding
ENSMUSG00000041831	ENSMUST00000097430	17	1	6926492	7005235	Sytl3	protein_coding
ENSMUSG00000041831	ENSMUST00000160483	17	1	6973229	7005443	Sytl3	protein_coding
ENSMUSG00000052397	ENSMUST00000064234	17	-1	7005440	7050183	Ezr	protein_coding
ENSMUSG00000023806	ENSMUST00000231794	17	-1	7171812	7216081	Rsph3b	protein_coding
ENSMUSG00000023806	ENSMUST00000024572	17	-1	7172115	7215755	Rsph3b	protein_coding
ENSMUSG00000052031	ENSMUST00000063683	17	-1	7222410	7228555	Tagap1	protein_coding
ENSMUSG00000094724	ENSMUST00000232304	17	1	7245845	7265589	Rnaset2b	protein_coding
ENSMUSG00000094724	ENSMUST00000089119	17	1	7245994	7266097	Rnaset2b	protein_coding
ENSMUSG00000094724	ENSMUST00000179728	17	1	7246306	7278698	Rnaset2b	protein_coding
ENSMUSG00000094724	ENSMUST00000232245	17	1	7246407	7265477	Rnaset2b	protein_coding
ENSMUSG00000094083	ENSMUST00000097422	17	1	7292967	7354996	Gm1604b	protein_coding
ENSMUSG00000023809	ENSMUST00000024575	17	1	7437514	7570714	Rps6ka2	protein_coding
ENSMUSG00000023809	ENSMUST00000232527	17	1	7495315	7526788	Rps6ka2	protein_coding
ENSMUSG00000071322	ENSMUST00000095726	17	1	7592045	7613373	Tcp10a	protein_coding
ENSMUSG00000071322	ENSMUST00000128533	17	1	7592066	7612901	Tcp10a	protein_coding
ENSMUSG00000071322	ENSMUST00000129709	17	1	7592085	7612597	Tcp10a	protein_coding
ENSMUSG00000071322	ENSMUST00000147803	17	1	7592088	7593298	Tcp10a	protein_coding
ENSMUSG00000071322	ENSMUST00000140192	17	1	7592110	7612412	Tcp10a	protein_coding
ENSMUSG00000071322	ENSMUST00000138222	17	1	7592133	7612911	Tcp10a	protein_coding
ENSMUSG00000071322	ENSMUST00000144861	17	1	7592268	7601736	Tcp10a	protein_coding
ENSMUSG00000079722	ENSMUST00000115747	17	-1	7618284	7620095	Ttll2	protein_coding
ENSMUSG00000116672	ENSMUST00000231397	17	-1	7619463	7639378	Gm49630	protein_coding
ENSMUSG00000056133	ENSMUST00000070059	17	-1	7630214	7652863	Unc93a2	protein_coding
ENSMUSG00000071984	ENSMUST00000097425	17	-1	7957401	8023806	Fndc1	protein_coding
ENSMUSG00000071984	ENSMUST00000239425	17	-1	7957401	8046134	Fndc1	protein_coding
ENSMUSG00000071984	ENSMUST00000167580	17	-1	8001276	8046134	Fndc1	protein_coding
ENSMUSG00000033450	ENSMUST00000036370	17	1	8144832	8153729	Tagap	protein_coding
ENSMUSG00000073471	ENSMUST00000232223	17	1	8164446	8198656	Rsph3a	protein_coding
ENSMUSG00000073471	ENSMUST00000097423	17	1	8164485	8198656	Rsph3a	protein_coding
ENSMUSG00000073471	ENSMUST00000231900	17	1	8189054	8198237	Rsph3a	protein_coding
ENSMUSG00000095687	ENSMUST00000231927	17	-1	8334277	8366617	Rnaset2a	protein_coding
ENSMUSG00000095687	ENSMUST00000097420	17	-1	8346908	8366929	Rnaset2a	protein_coding
ENSMUSG00000069135	ENSMUST00000097419	17	1	8384333	8415636	Cep43	protein_coding
ENSMUSG00000069135	ENSMUST00000024636	17	1	8384372	8415307	Cep43	protein_coding
ENSMUSG00000069135	ENSMUST00000161898	17	1	8401079	8413777	Cep43	protein_coding
ENSMUSG00000040899	ENSMUST00000231340	17	1	8454875	8474940	Ccr6	protein_coding
ENSMUSG00000040899	ENSMUST00000164411	17	1	8455044	8475973	Ccr6	protein_coding
ENSMUSG00000040899	ENSMUST00000097418	17	1	8461358	8475959	Ccr6	protein_coding
ENSMUSG00000040899	ENSMUST00000166348	17	1	8462643	8475923	Ccr6	protein_coding
ENSMUSG00000040899	ENSMUST00000180103	17	1	8462643	8475923	Ccr6	protein_coding
ENSMUSG00000040899	ENSMUST00000177568	17	1	8462643	8475923	Ccr6	protein_coding
ENSMUSG00000040899	ENSMUST00000167956	17	1	8462646	8475919	Ccr6	protein_coding
ENSMUSG00000040899	ENSMUST00000231545	17	1	8463897	8475952	Ccr6	protein_coding
ENSMUSG00000023861	ENSMUST00000145402	17	1	8501736	8515717	Mpc1	protein_coding
ENSMUSG00000023861	ENSMUST00000155364	17	1	8502594	8516493	Mpc1	protein_coding
ENSMUSG00000023861	ENSMUST00000046754	17	1	8502628	8516489	Mpc1	protein_coding
ENSMUSG00000023861	ENSMUST00000124023	17	1	8502684	8516103	Mpc1	protein_coding
ENSMUSG00000023861	ENSMUST00000142594	17	1	8503286	8516326	Mpc1	protein_coding
ENSMUSG00000023861	ENSMUST00000130559	17	1	8515202	8516281	Mpc1	protein_coding
ENSMUSG00000073468	ENSMUST00000154553	17	1	8529934	8546274	Sft2d1	protein_coding
ENSMUSG00000055945	ENSMUST00000232566	17	1	8556291	8560196	Prr18	protein_coding
ENSMUSG00000055945	ENSMUST00000069742	17	1	8559238	8562945	Prr18	protein_coding
ENSMUSG00000055945	ENSMUST00000163887	17	1	8559571	8562944	Prr18	protein_coding
ENSMUSG00000058159	ENSMUST00000234809	17	1	8574824	8642345	T2	protein_coding
ENSMUSG00000058159	ENSMUST00000163578	17	1	8591228	8641560	T2	protein_coding
ENSMUSG00000062327	ENSMUST00000074667	17	1	8653255	8661328	T	protein_coding
ENSMUSG00000062327	ENSMUST00000136922	17	1	8653757	8655824	T	protein_coding
ENSMUSG00000062327	ENSMUST00000177118	17	1	8654243	8660574	T	protein_coding
ENSMUSG00000023868	ENSMUST00000115715	17	1	8744204	9200503	Pde10a	protein_coding
ENSMUSG00000023868	ENSMUST00000115724	17	1	8745633	9201328	Pde10a	protein_coding
ENSMUSG00000099104	ENSMUST00000184183	17	-1	8785231	8785701	Gm17087	protein_coding
ENSMUSG00000023868	ENSMUST00000089085	17	1	9020525	9205480	Pde10a	protein_coding
ENSMUSG00000023868	ENSMUST00000233052	17	1	9021860	9163228	Pde10a	protein_coding
ENSMUSG00000023868	ENSMUST00000115720	17	1	9068817	9201232	Pde10a	protein_coding
ENSMUSG00000023868	ENSMUST00000024647	17	1	9099258	9201199	Pde10a	protein_coding
ENSMUSG00000023868	ENSMUST00000136160	17	1	9112123	9149362	Pde10a	protein_coding
ENSMUSG00000023868	ENSMUST00000149440	17	1	9142975	9203120	Pde10a	protein_coding
ENSMUSG00000023873	ENSMUST00000024650	17	1	9207165	9227151	1700010I14Rik	protein_coding
ENSMUSG00000023873	ENSMUST00000151609	17	1	9207189	9227150	1700010I14Rik	protein_coding
ENSMUSG00000023873	ENSMUST00000232775	17	1	9207193	9227151	1700010I14Rik	protein_coding
ENSMUSG00000023873	ENSMUST00000136954	17	1	9207215	9224095	1700010I14Rik	protein_coding
ENSMUSG00000072968	ENSMUST00000076982	17	1	9640892	9641290	Gm17728	protein_coding
ENSMUSG00000046173	ENSMUST00000057190	17	-1	9885424	9888646	Pabpc6	protein_coding
ENSMUSG00000062078	ENSMUST00000233645	17	-1	10421530	10538309	Qk	protein_coding
ENSMUSG00000062078	ENSMUST00000042296	17	-1	10429108	10538309	Qk	protein_coding
ENSMUSG00000062078	ENSMUST00000233828	17	-1	10429118	10538290	Qk	protein_coding
ENSMUSG00000062078	ENSMUST00000233684	17	-1	10432340	10501862	Qk	protein_coding
ENSMUSG00000037196	ENSMUST00000041463	17	-1	10621941	11059198	Pacrg	protein_coding
ENSMUSG00000023826	ENSMUST00000191124	17	1	11059271	12282248	Prkn	protein_coding
ENSMUSG00000023826	ENSMUST00000233706	17	1	11059357	12280565	Prkn	protein_coding
ENSMUSG00000023826	ENSMUST00000168593	17	1	11286012	11712060	Prkn	protein_coding
ENSMUSG00000023826	ENSMUST00000218435	17	1	11286012	11854333	Prkn	protein_coding
ENSMUSG00000023826	ENSMUST00000186406	17	1	11522534	11829832	Prkn	protein_coding
ENSMUSG00000023826	ENSMUST00000179624	17	1	12057489	12086448	Prkn	protein_coding
ENSMUSG00000023827	ENSMUST00000164143	17	1	12337591	12429597	Agpat4	protein_coding
ENSMUSG00000023827	ENSMUST00000024594	17	1	12338171	12438532	Agpat4	protein_coding
ENSMUSG00000023827	ENSMUST00000167792	17	1	12352092	12429248	Agpat4	protein_coding
ENSMUSG00000014426	ENSMUST00000233755	17	-1	12446508	12537635	Map3k4	protein_coding
ENSMUSG00000014426	ENSMUST00000089058	17	-1	12446508	12537683	Map3k4	protein_coding
ENSMUSG00000014426	ENSMUST00000233002	17	-1	12491021	12537278	Map3k4	protein_coding
ENSMUSG00000014426	ENSMUST00000233012	17	-1	12491079	12527471	Map3k4	protein_coding
ENSMUSG00000059481	ENSMUST00000014578	17	1	12597495	12638272	Plg	protein_coding
ENSMUSG00000023828	ENSMUST00000024595	17	-1	12638856	12726591	Slc22a3	protein_coding
ENSMUSG00000040966	ENSMUST00000046959	17	1	12803019	12847375	Slc22a2	protein_coding
ENSMUSG00000040966	ENSMUST00000233066	17	1	12803080	12842800	Slc22a2	protein_coding
ENSMUSG00000023829	ENSMUST00000024596	17	-1	12867761	12894716	Slc22a1	protein_coding
ENSMUSG00000023830	ENSMUST00000024599	17	-1	12901293	12988551	Igf2r	protein_coding
ENSMUSG00000068037	ENSMUST00000089015	17	-1	13059966	13087030	Mas1	protein_coding
ENSMUSG00000068037	ENSMUST00000165020	17	-1	13060002	13067007	Mas1	protein_coding
ENSMUSG00000068037	ENSMUST00000167152	17	-1	13060002	13073227	Mas1	protein_coding
ENSMUSG00000068037	ENSMUST00000162333	17	-1	13060002	13073347	Mas1	protein_coding
ENSMUSG00000068037	ENSMUST00000161747	17	-1	13060002	13073347	Mas1	protein_coding
ENSMUSG00000068037	ENSMUST00000233607	17	-1	13060002	13073347	Mas1	protein_coding
ENSMUSG00000068037	ENSMUST00000162119	17	-1	13061091	13070794	Mas1	protein_coding
ENSMUSG00000068037	ENSMUST00000162389	17	-1	13061194	13070780	Mas1	protein_coding
ENSMUSG00000068037	ENSMUST00000159223	17	-1	13061205	13070794	Mas1	protein_coding
ENSMUSG00000068037	ENSMUST00000159865	17	-1	13061348	13073928	Mas1	protein_coding
ENSMUSG00000059408	ENSMUST00000075296	17	1	13094921	13096864	Mrgprh	protein_coding
ENSMUSG00000073460	ENSMUST00000163394	17	-1	13107616	13129117	Pnldc1	protein_coding
ENSMUSG00000073460	ENSMUST00000232982	17	-1	13119014	13128780	Pnldc1	protein_coding
ENSMUSG00000057388	ENSMUST00000079121	17	-1	13130236	13135232	Mrpl18	protein_coding
ENSMUSG00000068039	ENSMUST00000089024	17	1	13135216	13143443	Tcp1	protein_coding
ENSMUSG00000068039	ENSMUST00000151287	17	1	13135269	13143954	Tcp1	protein_coding
ENSMUSG00000068039	ENSMUST00000143961	17	1	13135326	13137266	Tcp1	protein_coding
ENSMUSG00000068039	ENSMUST00000233286	17	1	13135329	13137419	Tcp1	protein_coding
ENSMUSG00000062480	ENSMUST00000160378	17	-1	13142700	13159487	Acat3	protein_coding
ENSMUSG00000062480	ENSMUST00000043923	17	-1	13142720	13159289	Acat3	protein_coding
ENSMUSG00000023832	ENSMUST00000007005	17	-1	13161777	13179634	Acat2	protein_coding
ENSMUSG00000023832	ENSMUST00000233792	17	-1	13161925	13179607	Acat2	protein_coding
ENSMUSG00000023832	ENSMUST00000159697	17	-1	13162330	13179258	Acat2	protein_coding
ENSMUSG00000060475	ENSMUST00000159551	17	-1	13185683	13211384	Wtap	protein_coding
ENSMUSG00000060475	ENSMUST00000007007	17	-1	13185686	13211146	Wtap	protein_coding
ENSMUSG00000060475	ENSMUST00000159986	17	-1	13191572	13211079	Wtap	protein_coding
ENSMUSG00000060475	ENSMUST00000160781	17	-1	13192439	13211433	Wtap	protein_coding
ENSMUSG00000060475	ENSMUST00000159104	17	-1	13193884	13202360	Wtap	protein_coding
ENSMUSG00000060475	ENSMUST00000233867	17	-1	13194304	13213056	Wtap	protein_coding
ENSMUSG00000060475	ENSMUST00000162395	17	-1	13199742	13205128	Wtap	protein_coding
ENSMUSG00000060475	ENSMUST00000161901	17	-1	13200638	13202859	Wtap	protein_coding
ENSMUSG00000006818	ENSMUST00000233451	17	1	13225733	13227197	Sod2	protein_coding
ENSMUSG00000006818	ENSMUST00000007012	17	1	13226704	13239021	Sod2	protein_coding
ENSMUSG00000071311	ENSMUST00000091648	17	-1	13269901	13271183	Gpr31b	protein_coding
ENSMUSG00000055602	ENSMUST00000086787	17	1	13279991	13301368	Tcp10b	protein_coding
ENSMUSG00000055602	ENSMUST00000116666	17	1	13280011	13301010	Tcp10b	protein_coding
ENSMUSG00000055602	ENSMUST00000232990	17	1	13280067	13301110	Tcp10b	protein_coding
ENSMUSG00000055602	ENSMUST00000233511	17	1	13280211	13281952	Tcp10b	protein_coding
ENSMUSG00000055602	ENSMUST00000163227	17	1	13280733	13300521	Tcp10b	protein_coding
ENSMUSG00000067049	ENSMUST00000232960	17	-1	13327504	13350642	Unc93a	protein_coding
ENSMUSG00000067049	ENSMUST00000084966	17	-1	13327504	13350678	Unc93a	protein_coding
ENSMUSG00000067049	ENSMUST00000233405	17	-1	13327504	13350697	Unc93a	protein_coding
ENSMUSG00000073458	ENSMUST00000238835	17	1	13440075	13446545	Smok2a	protein_coding
ENSMUSG00000073458	ENSMUST00000080647	17	1	13440075	13446545	Smok2a	protein_coding
ENSMUSG00000073457	ENSMUST00000162940	17	1	13449144	13456071	Smok2b	protein_coding
ENSMUSG00000073457	ENSMUST00000059824	17	1	13453758	13455341	Smok2b	protein_coding
ENSMUSG00000052469	ENSMUST00000233944	17	1	13574834	13581161	Tcp10c	protein_coding
ENSMUSG00000052469	ENSMUST00000097403	17	1	13574834	13597485	Tcp10c	protein_coding
ENSMUSG00000038347	ENSMUST00000143162	17	-1	13932706	13981640	Tcte2	protein_coding
ENSMUSG00000038347	ENSMUST00000053376	17	-1	13932712	13981664	Tcte2	protein_coding
ENSMUSG00000038347	ENSMUST00000130033	17	-1	13936698	13981648	Tcte2	protein_coding
ENSMUSG00000038347	ENSMUST00000127032	17	-1	13936698	13981863	Tcte2	protein_coding
ENSMUSG00000038347	ENSMUST00000148430	17	-1	13936698	13982087	Tcte2	protein_coding
ENSMUSG00000038347	ENSMUST00000232858	17	-1	13937830	13980346	Tcte2	protein_coding
ENSMUSG00000068036	ENSMUST00000139347	17	1	13980801	14030780	Afdn	protein_coding
ENSMUSG00000068036	ENSMUST00000156591	17	1	13980803	14030755	Afdn	protein_coding
ENSMUSG00000068036	ENSMUST00000170827	17	1	13980803	14126056	Afdn	protein_coding
ENSMUSG00000068036	ENSMUST00000139666	17	1	13980810	14126412	Afdn	protein_coding
ENSMUSG00000068036	ENSMUST00000137708	17	1	13980861	14116585	Afdn	protein_coding
ENSMUSG00000068036	ENSMUST00000137784	17	1	13980861	14124394	Afdn	protein_coding
ENSMUSG00000068036	ENSMUST00000150848	17	1	13980936	14124269	Afdn	protein_coding
ENSMUSG00000068036	ENSMUST00000239324	17	1	14087878	14102729	Afdn	protein_coding
ENSMUSG00000068036	ENSMUST00000137531	17	1	14108792	14124338	Afdn	protein_coding
ENSMUSG00000067941	ENSMUST00000088809	17	1	14168635	14170940	Gm7168	protein_coding
ENSMUSG00000101307	ENSMUST00000189454	17	-1	14220501	14223966	Gm7356	protein_coding
ENSMUSG00000101361	ENSMUST00000186636	17	-1	14277487	14279793	Gm7358	protein_coding
ENSMUSG00000048826	ENSMUST00000053218	17	-1	14415314	14424356	Dact2	protein_coding
ENSMUSG00000048826	ENSMUST00000232816	17	-1	14418085	14424566	Dact2	protein_coding
ENSMUSG00000023886	ENSMUST00000024660	17	1	14499768	14625052	Smoc2	protein_coding
ENSMUSG00000023886	ENSMUST00000233344	17	1	14499799	14625035	Smoc2	protein_coding
ENSMUSG00000023886	ENSMUST00000232923	17	1	14499821	14546390	Smoc2	protein_coding
ENSMUSG00000023885	ENSMUST00000170872	17	-1	14885762	14914497	Thbs2	protein_coding
ENSMUSG00000046991	ENSMUST00000228330	17	-1	15038934	15163386	Wdr27	protein_coding
ENSMUSG00000046991	ENSMUST00000228233	17	-1	15049593	15129781	Wdr27	protein_coding
ENSMUSG00000046991	ENSMUST00000170386	17	-1	15049593	15154915	Wdr27	protein_coding
ENSMUSG00000046991	ENSMUST00000238668	17	-1	15049593	15163382	Wdr27	protein_coding
ENSMUSG00000050088	ENSMUST00000052691	17	1	15163446	15166198	1600012H06Rik	protein_coding
ENSMUSG00000050088	ENSMUST00000164837	17	1	15163492	15166196	1600012H06Rik	protein_coding
ENSMUSG00000050088	ENSMUST00000174004	17	1	15163531	15165248	1600012H06Rik	protein_coding
ENSMUSG00000023883	ENSMUST00000024657	17	-1	15165271	15181535	Phf10	protein_coding
ENSMUSG00000116780	ENSMUST00000231584	17	-1	15184504	15198955	Dynlt2a3	protein_coding
ENSMUSG00000116780	ENSMUST00000097399	17	-1	15184504	15199052	Dynlt2a3	protein_coding
ENSMUSG00000116780	ENSMUST00000232173	17	-1	15184504	15199052	Dynlt2a3	protein_coding
ENSMUSG00000116953	ENSMUST00000061688	17	1	15198730	15211167	9030025P20Rik	protein_coding
ENSMUSG00000079710	ENSMUST00000097400	17	-1	15216049	15261799	Dynlt2a2	protein_coding
ENSMUSG00000079710	ENSMUST00000179539	17	-1	15216078	15230444	Dynlt2a2	protein_coding
ENSMUSG00000079710	ENSMUST00000232299	17	-1	15228179	15230431	Dynlt2a2	protein_coding
ENSMUSG00000116895	ENSMUST00000097395	17	1	15230438	15242711	Gm3435	protein_coding
ENSMUSG00000116895	ENSMUST00000232446	17	1	15230597	15242711	Gm3435	protein_coding
ENSMUSG00000079707	ENSMUST00000097398	17	-1	15247414	15261701	Dynlt2a1	protein_coding
ENSMUSG00000079707	ENSMUST00000040746	17	-1	15247416	15261750	Dynlt2a1	protein_coding
ENSMUSG00000036552	ENSMUST00000097393	17	1	15261470	15284112	Ermard	protein_coding
ENSMUSG00000036552	ENSMUST00000226599	17	1	15261896	15266171	Ermard	protein_coding
ENSMUSG00000036552	ENSMUST00000228518	17	1	15261902	15263361	Ermard	protein_coding
ENSMUSG00000036552	ENSMUST00000226213	17	1	15261935	15267874	Ermard	protein_coding
ENSMUSG00000036552	ENSMUST00000226561	17	1	15262510	15265916	Ermard	protein_coding
ENSMUSG00000036552	ENSMUST00000228803	17	1	15277013	15284492	Ermard	protein_coding
ENSMUSG00000014773	ENSMUST00000014917	17	-1	15587616	15596238	Dll1	protein_coding
ENSMUSG00000014773	ENSMUST00000143460	17	-1	15595056	15597134	Dll1	protein_coding
ENSMUSG00000014763	ENSMUST00000055352	17	1	15616464	15653700	Fam120b	protein_coding
ENSMUSG00000014769	ENSMUST00000014913	17	-1	15695283	15718560	Psmb1	protein_coding
ENSMUSG00000014769	ENSMUST00000232500	17	-1	15695979	15720013	Psmb1	protein_coding
ENSMUSG00000014769	ENSMUST00000231341	17	-1	15696221	15718601	Psmb1	protein_coding
ENSMUSG00000014767	ENSMUST00000159197	17	1	15720150	15724867	Tbp	protein_coding
ENSMUSG00000014767	ENSMUST00000014911	17	1	15720150	15737689	Tbp	protein_coding
ENSMUSG00000014767	ENSMUST00000162505	17	1	15720150	15748641	Tbp	protein_coding
ENSMUSG00000014767	ENSMUST00000147081	17	1	15720163	15727716	Tbp	protein_coding
ENSMUSG00000014767	ENSMUST00000118001	17	1	15720172	15737689	Tbp	protein_coding
ENSMUSG00000014767	ENSMUST00000143924	17	1	15720174	15727621	Tbp	protein_coding
ENSMUSG00000014767	ENSMUST00000119879	17	1	15720184	15734634	Tbp	protein_coding
ENSMUSG00000014767	ENSMUST00000155051	17	1	15720190	15724709	Tbp	protein_coding
ENSMUSG00000014767	ENSMUST00000117593	17	1	15720222	15737689	Tbp	protein_coding
ENSMUSG00000014771	ENSMUST00000154293	17	-1	15739470	15747543	Pdcd2	protein_coding
ENSMUSG00000014771	ENSMUST00000054450	17	-1	15741837	15747563	Pdcd2	protein_coding
ENSMUSG00000051977	ENSMUST00000167994	17	-1	15763341	15783563	Prdm9	protein_coding
ENSMUSG00000051977	ENSMUST00000233295	17	-1	15763341	15783585	Prdm9	protein_coding
ENSMUSG00000051977	ENSMUST00000147532	17	-1	15773486	15784602	Prdm9	protein_coding
ENSMUSG00000023852	ENSMUST00000024627	17	1	15925229	15992872	Chd1	protein_coding
ENSMUSG00000023852	ENSMUST00000173311	17	1	15925236	15973254	Chd1	protein_coding
ENSMUSG00000023852	ENSMUST00000174461	17	1	15958797	15975610	Chd1	protein_coding
ENSMUSG00000048027	ENSMUST00000170578	17	-1	16023450	16046848	Rgmb	protein_coding
ENSMUSG00000048027	ENSMUST00000232638	17	-1	16039607	16046822	Rgmb	protein_coding
ENSMUSG00000048027	ENSMUST00000231281	17	-1	16041110	16050913	Rgmb	protein_coding
ENSMUSG00000048027	ENSMUST00000238157	17	-1	16041303	16051147	Rgmb	protein_coding
ENSMUSG00000048027	ENSMUST00000231985	17	-1	16046362	16051301	Rgmb	protein_coding
ENSMUSG00000096696	ENSMUST00000127027	17	1	17284375	17309890	Zfp960	protein_coding
ENSMUSG00000095990	ENSMUST00000147630	17	1	17341677	17367093	Zfp97	protein_coding
ENSMUSG00000116564	ENSMUST00000024620	17	1	17594571	17615161	Riok2	protein_coding
ENSMUSG00000116564	ENSMUST00000232396	17	1	17594834	17608016	Riok2	protein_coding
ENSMUSG00000116564	ENSMUST00000232199	17	1	17594852	17605924	Riok2	protein_coding
ENSMUSG00000047786	ENSMUST00000115576	17	1	17622934	17679649	Lix1	protein_coding
ENSMUSG00000047786	ENSMUST00000140134	17	1	17669082	17679649	Lix1	protein_coding
ENSMUSG00000023845	ENSMUST00000041047	17	-1	17741672	17845309	Lnpep	protein_coding
ENSMUSG00000092120	ENSMUST00000169805	17	1	17924009	17955418	Vmn2r90	protein_coding
ENSMUSG00000080316	ENSMUST00000228490	17	1	18047586	18059251	Spaca6	protein_coding
ENSMUSG00000080316	ENSMUST00000172097	17	1	18051266	18059333	Spaca6	protein_coding
ENSMUSG00000080316	ENSMUST00000150302	17	1	18051706	18057985	Spaca6	protein_coding
ENSMUSG00000003665	ENSMUST00000003762	17	-1	18063585	18075450	Has1	protein_coding
ENSMUSG00000045551	ENSMUST00000061516	17	-1	18096733	18104202	Fpr1	protein_coding
ENSMUSG00000052270	ENSMUST00000149944	17	1	18108086	18114214	Fpr2	protein_coding
ENSMUSG00000079700	ENSMUST00000054871	17	1	18108114	18191939	Fpr3	protein_coding
ENSMUSG00000052270	ENSMUST00000064068	17	1	18108150	18114115	Fpr2	protein_coding
ENSMUSG00000079700	ENSMUST00000115565	17	1	18190720	18191939	Fpr3	protein_coding
ENSMUSG00000048062	ENSMUST00000095651	17	1	18241995	18242966	Fpr-rs4	protein_coding
ENSMUSG00000094396	ENSMUST00000176802	17	1	18269686	18299994	Vmn2r124	protein_coding
ENSMUSG00000091206	ENSMUST00000172359	17	1	18305278	18357030	Vmn2r91	protein_coding
ENSMUSG00000091350	ENSMUST00000169686	17	1	18372149	18409148	Vmn2r92	protein_coding
ENSMUSG00000090417	ENSMUST00000172190	17	-1	18461384	18498018	Vmn2r94	protein_coding
ENSMUSG00000090417	ENSMUST00000231815	17	-1	18461384	18498018	Vmn2r94	protein_coding
ENSMUSG00000079698	ENSMUST00000231938	17	1	18518361	18543726	Vmn2r93	protein_coding
ENSMUSG00000079698	ENSMUST00000079206	17	1	18518361	18552176	Vmn2r93	protein_coding
ENSMUSG00000079698	ENSMUST00000231879	17	1	18518361	18552176	Vmn2r93	protein_coding
ENSMUSG00000091631	ENSMUST00000166327	17	1	18644340	18681111	Vmn2r95	protein_coding
ENSMUSG00000091631	ENSMUST00000232464	17	1	18644340	18681111	Vmn2r95	protein_coding
ENSMUSG00000091631	ENSMUST00000232090	17	1	18644340	18681167	Vmn2r95	protein_coding
ENSMUSG00000091679	ENSMUST00000177244	17	1	18793413	18821975	Vmn2r96	protein_coding
