ENSMUSG00000079179	ENSMUST00000049684	12	1	3236611	3249999	1700012B15Rik	protein_coding
ENSMUSG00000020661	ENSMUST00000172719	12	1	3806527	3873381	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000020991	12	1	3807030	3914443	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000172509	12	1	3807058	3896995	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000174817	12	1	3807160	3913491	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000174483	12	1	3849635	3907887	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000172816	12	1	3861021	3866162	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000173197	12	1	3866191	3876062	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000174102	12	1	3885449	3896121	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000172689	12	1	3891728	3907842	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000111186	12	1	3891744	3914443	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000172879	12	1	3894824	3895676	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000174774	12	1	3894869	3896976	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000172749	12	1	3895593	3897365	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000174272	12	1	3897420	3899685	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000174733	12	1	3900281	3906792	Dnmt3a	protein_coding
ENSMUSG00000020661	ENSMUST00000172913	12	1	3906816	3908547	Dnmt3a	protein_coding
ENSMUSG00000020660	ENSMUST00000020990	12	1	3954951	3960618	Pomc	protein_coding
ENSMUSG00000020658	ENSMUST00000077156	12	-1	3962554	4038915	Efr3b	protein_coding
ENSMUSG00000020658	ENSMUST00000111178	12	-1	3962554	4038915	Efr3b	protein_coding
ENSMUSG00000020657	ENSMUST00000020986	12	1	4082612	4110602	Dnajc27	protein_coding
ENSMUSG00000020657	ENSMUST00000049584	12	1	4082629	4109204	Dnajc27	protein_coding
ENSMUSG00000020654	ENSMUST00000152792	12	1	4133103	4213525	Adcy3	protein_coding
ENSMUSG00000020654	ENSMUST00000124505	12	1	4133104	4213525	Adcy3	protein_coding
ENSMUSG00000020654	ENSMUST00000152065	12	1	4133397	4213525	Adcy3	protein_coding
ENSMUSG00000020654	ENSMUST00000127756	12	1	4133402	4213524	Adcy3	protein_coding
ENSMUSG00000020654	ENSMUST00000020984	12	1	4134153	4213524	Adcy3	protein_coding
ENSMUSG00000020654	ENSMUST00000134680	12	1	4159600	4182945	Adcy3	protein_coding
ENSMUSG00000020654	ENSMUST00000150944	12	1	4194821	4196904	Adcy3	protein_coding
ENSMUSG00000020652	ENSMUST00000146261	12	-1	4196004	4216546	Cenpo	protein_coding
ENSMUSG00000020652	ENSMUST00000111169	12	-1	4197822	4233965	Cenpo	protein_coding
ENSMUSG00000020654	ENSMUST00000127110	12	1	4203268	4206445	Adcy3	protein_coding
ENSMUSG00000020652	ENSMUST00000140975	12	-1	4211667	4234294	Cenpo	protein_coding
ENSMUSG00000020652	ENSMUST00000146523	12	-1	4213482	4216506	Cenpo	protein_coding
ENSMUSG00000020652	ENSMUST00000020981	12	-1	4213482	4233965	Cenpo	protein_coding
ENSMUSG00000020652	ENSMUST00000058541	12	-1	4213482	4233965	Cenpo	protein_coding
ENSMUSG00000020652	ENSMUST00000128466	12	-1	4215358	4232003	Cenpo	protein_coding
ENSMUSG00000020652	ENSMUST00000126017	12	-1	4215692	4233938	Cenpo	protein_coding
ENSMUSG00000073240	ENSMUST00000053626	12	1	4234027	4236693	2410017P09Rik	protein_coding
ENSMUSG00000020647	ENSMUST00000072464	12	-1	4247363	4484060	Ncoa1	protein_coding
ENSMUSG00000020647	ENSMUST00000085814	12	-1	4247363	4484060	Ncoa1	protein_coding
ENSMUSG00000091619	ENSMUST00000170816	12	-1	4599632	4599733	Gm3625	protein_coding
ENSMUSG00000020640	ENSMUST00000062580	12	1	4599814	4720756	Itsn2	protein_coding
ENSMUSG00000020640	ENSMUST00000020972	12	1	4599837	4720318	Itsn2	protein_coding
ENSMUSG00000020640	ENSMUST00000164218	12	1	4599868	4664702	Itsn2	protein_coding
ENSMUSG00000091732	ENSMUST00000080062	12	-1	4696208	4696732	Gm17541	protein_coding
ENSMUSG00000079177	ENSMUST00000111154	12	-1	4720476	4745225	4930417G10Rik	protein_coding
ENSMUSG00000050545	ENSMUST00000053458	12	-1	4753022	4776073	A830093I24Rik	protein_coding
ENSMUSG00000020639	ENSMUST00000020967	12	1	4776101	4785072	Pfn4	protein_coding
ENSMUSG00000037361	ENSMUST00000046207	12	1	4824414	4834464	0610009D07Rik	protein_coding
ENSMUSG00000020635	ENSMUST00000020964	12	-1	4839981	4848401	Fkbp1b	protein_coding
ENSMUSG00000051721	ENSMUST00000053034	12	1	4850109	4859719	BC068281	protein_coding
ENSMUSG00000051721	ENSMUST00000085793	12	1	4856952	4863731	BC068281	protein_coding
ENSMUSG00000037336	ENSMUST00000150764	12	-1	4869246	4881161	Mfsd2b	protein_coding
ENSMUSG00000037336	ENSMUST00000085790	12	-1	4869246	4881164	Mfsd2b	protein_coding
ENSMUSG00000037336	ENSMUST00000125344	12	-1	4869878	4881151	Mfsd2b	protein_coding
ENSMUSG00000037336	ENSMUST00000045921	12	-1	4869878	4881164	Mfsd2b	protein_coding
ENSMUSG00000037336	ENSMUST00000137337	12	-1	4869878	4881164	Mfsd2b	protein_coding
ENSMUSG00000037336	ENSMUST00000143446	12	-1	4870371	4881165	Mfsd2b	protein_coding
ENSMUSG00000037336	ENSMUST00000153676	12	-1	4874042	4876067	Mfsd2b	protein_coding
ENSMUSG00000037336	ENSMUST00000147241	12	-1	4875754	4881165	Mfsd2b	protein_coding
ENSMUSG00000020634	ENSMUST00000020962	12	-1	4885838	4914511	Ubxn2a	protein_coding
ENSMUSG00000020634	ENSMUST00000142867	12	-1	4886155	4914070	Ubxn2a	protein_coding
ENSMUSG00000020634	ENSMUST00000141360	12	-1	4887196	4914245	Ubxn2a	protein_coding
ENSMUSG00000052812	ENSMUST00000045664	12	1	4924210	5050853	Atad2b	protein_coding
ENSMUSG00000020627	ENSMUST00000020958	12	-1	5084278	5382488	Klhl29	protein_coding
ENSMUSG00000020627	ENSMUST00000170609	12	-1	5084278	5382488	Klhl29	protein_coding
ENSMUSG00000037735	ENSMUST00000037953	12	1	5382676	5423111	2810032G03Rik	protein_coding
ENSMUSG00000037735	ENSMUST00000163627	12	1	5418447	5423436	2810032G03Rik	protein_coding
ENSMUSG00000090299	ENSMUST00000172373	12	1	7120432	7121931	Gm17295	protein_coding
ENSMUSG00000020609	ENSMUST00000171271	12	1	7984454	7994624	Apob	protein_coding
ENSMUSG00000020609	ENSMUST00000037811	12	1	7984454	8023641	Apob	protein_coding
ENSMUSG00000020609	ENSMUST00000037520	12	1	7984585	8023306	Apob	protein_coding
ENSMUSG00000020609	ENSMUST00000171239	12	1	8019165	8023641	Apob	protein_coding
ENSMUSG00000037669	ENSMUST00000101620	12	1	8214913	8288154	1110057K04Rik	protein_coding
ENSMUSG00000037669	ENSMUST00000037383	12	1	8214913	8292564	1110057K04Rik	protein_coding
ENSMUSG00000037669	ENSMUST00000169104	12	1	8214933	8292564	1110057K04Rik	protein_coding
ENSMUSG00000037660	ENSMUST00000037313	12	-1	8304740	8308760	Gdf7	protein_coding
ENSMUSG00000020605	ENSMUST00000020927	12	1	8320239	8350630	Hs1bp3	protein_coding
ENSMUSG00000054364	ENSMUST00000067384	12	-1	8504569	8506791	Rhob	protein_coding
ENSMUSG00000020600	ENSMUST00000036938	12	-1	8535289	8605872	Slc7a15	protein_coding
ENSMUSG00000020600	ENSMUST00000095863	12	-1	8536151	8546351	Slc7a15	protein_coding
ENSMUSG00000020600	ENSMUST00000165657	12	-1	8536151	8546351	Slc7a15	protein_coding
ENSMUSG00000020600	ENSMUST00000129465	12	-1	8545007	8546372	Slc7a15	protein_coding
ENSMUSG00000020594	ENSMUST00000111123	12	1	8680940	8758260	Pum2	protein_coding
ENSMUSG00000020594	ENSMUST00000020915	12	1	8680951	8757126	Pum2	protein_coding
ENSMUSG00000020594	ENSMUST00000111122	12	1	8681030	8759367	Pum2	protein_coding
ENSMUSG00000020594	ENSMUST00000169177	12	1	8681065	8714174	Pum2	protein_coding
ENSMUSG00000020594	ENSMUST00000165293	12	1	8681081	8759363	Pum2	protein_coding
ENSMUSG00000020594	ENSMUST00000163569	12	1	8681227	8756807	Pum2	protein_coding
ENSMUSG00000020594	ENSMUST00000169089	12	1	8681276	8756834	Pum2	protein_coding
ENSMUSG00000020594	ENSMUST00000168361	12	1	8681487	8759387	Pum2	protein_coding
ENSMUSG00000020594	ENSMUST00000169750	12	1	8681542	8720436	Pum2	protein_coding
ENSMUSG00000020594	ENSMUST00000163730	12	1	8681571	8720205	Pum2	protein_coding
ENSMUSG00000020594	ENSMUST00000166965	12	1	8684340	8716296	Pum2	protein_coding
ENSMUSG00000020594	ENSMUST00000170037	12	1	8704902	8720719	Pum2	protein_coding
ENSMUSG00000020594	ENSMUST00000171418	12	1	8717032	8728603	Pum2	protein_coding
ENSMUSG00000020594	ENSMUST00000164818	12	1	8735953	8755042	Pum2	protein_coding
ENSMUSG00000020594	ENSMUST00000171608	12	1	8750282	8751201	Pum2	protein_coding
ENSMUSG00000020592	ENSMUST00000020911	12	1	8778129	8800521	Sdc1	protein_coding
ENSMUSG00000020592	ENSMUST00000159821	12	1	8778130	8796689	Sdc1	protein_coding
ENSMUSG00000020592	ENSMUST00000171158	12	1	8778219	8799868	Sdc1	protein_coding
ENSMUSG00000020592	ENSMUST00000161883	12	1	8778548	8797648	Sdc1	protein_coding
ENSMUSG00000020592	ENSMUST00000160348	12	1	8778609	8797254	Sdc1	protein_coding
ENSMUSG00000020585	ENSMUST00000020909	12	1	8928130	8945548	Laptm4a	protein_coding
ENSMUSG00000020585	ENSMUST00000171078	12	1	8928356	8945534	Laptm4a	protein_coding
ENSMUSG00000020583	ENSMUST00000020899	12	1	8954735	8978834	Matn3	protein_coding
ENSMUSG00000066643	ENSMUST00000085745	12	1	8980698	9035653	Wdr35	protein_coding
ENSMUSG00000066643	ENSMUST00000159126	12	1	8980817	8998478	Wdr35	protein_coding
ENSMUSG00000066643	ENSMUST00000160329	12	1	8980817	8998483	Wdr35	protein_coding
ENSMUSG00000066643	ENSMUST00000111113	12	1	8980853	9035652	Wdr35	protein_coding
ENSMUSG00000066643	ENSMUST00000161019	12	1	8980865	9029799	Wdr35	protein_coding
ENSMUSG00000066643	ENSMUST00000160873	12	1	8981675	8992479	Wdr35	protein_coding
ENSMUSG00000066643	ENSMUST00000159735	12	1	9029406	9031272	Wdr35	protein_coding
ENSMUSG00000066637	ENSMUST00000085741	12	1	9036803	9043200	Ttc32	protein_coding
ENSMUSG00000048387	ENSMUST00000057021	12	1	9581248	9588305	Osr1	protein_coding
ENSMUSG00000020622	ENSMUST00000147323	12	1	10376779	10396976	Nt5c1b	protein_coding
ENSMUSG00000020622	ENSMUST00000143739	12	1	10376785	10381748	Nt5c1b	protein_coding
ENSMUSG00000020622	ENSMUST00000118657	12	1	10376785	10396979	Nt5c1b	protein_coding
ENSMUSG00000020622	ENSMUST00000002456	12	1	10376850	10396976	Nt5c1b	protein_coding
ENSMUSG00000020621	ENSMUST00000020947	12	1	10397586	10402368	Rdh14	protein_coding
ENSMUSG00000043673	ENSMUST00000055673	12	-1	11097008	11157179	Kcns3	protein_coding
ENSMUSG00000043673	ENSMUST00000164495	12	-1	11097008	11157648	Kcns3	protein_coding
ENSMUSG00000047002	ENSMUST00000049877	12	-1	11215188	11215754	Msgn1	protein_coding
ENSMUSG00000050325	ENSMUST00000055358	12	-1	11228267	11229016	1700034J04Rik	protein_coding
ENSMUSG00000051235	ENSMUST00000052581	12	-1	11246547	11272572	Gen1	protein_coding
ENSMUSG00000051235	ENSMUST00000166117	12	-1	11247732	11272593	Gen1	protein_coding
ENSMUSG00000020608	ENSMUST00000020931	12	1	11272692	11326591	Smc6	protein_coding
ENSMUSG00000054459	ENSMUST00000072299	12	-1	11332053	11443455	Vsnl1	protein_coding
ENSMUSG00000086022	ENSMUST00000124065	12	1	11462885	11469734	Rad51ap2	protein_coding
ENSMUSG00000078377	ENSMUST00000105169	12	1	12029831	12030513	Gm4294	protein_coding
ENSMUSG00000020589	ENSMUST00000069005	12	1	12268945	12383165	Fam49a	protein_coding
ENSMUSG00000020589	ENSMUST00000069066	12	1	12268945	12383165	Fam49a	protein_coding
ENSMUSG00000020589	ENSMUST00000167108	12	1	12268945	12383165	Fam49a	protein_coding
ENSMUSG00000066629	ENSMUST00000085720	12	1	12918792	12919175	Rpl36-ps3	protein_coding
ENSMUSG00000037169	ENSMUST00000130990	12	-1	12942902	12947422	Mycn	protein_coding
ENSMUSG00000037169	ENSMUST00000043396	12	-1	12942902	12948720	Mycn	protein_coding
ENSMUSG00000037169	ENSMUST00000151534	12	-1	12947750	12948631	Mycn	protein_coding
ENSMUSG00000037149	ENSMUST00000071103	12	-1	13226114	13256019	Ddx1	protein_coding
ENSMUSG00000020576	ENSMUST00000042953	12	1	13275933	13590616	Nbas	protein_coding
ENSMUSG00000071414	ENSMUST00000166583	12	-1	13461465	13462815	Gm6736	protein_coding
ENSMUSG00000020576	ENSMUST00000171558	12	1	13493942	13568536	Nbas	protein_coding
ENSMUSG00000020607	ENSMUST00000020926	12	-1	14154405	14158844	Fam84a	protein_coding
ENSMUSG00000050974	ENSMUST00000052528	12	1	14501367	14501963	Gm9847	protein_coding
ENSMUSG00000020601	ENSMUST00000020922	12	-1	15798533	15823591	Trib2	protein_coding
ENSMUSG00000020601	ENSMUST00000151100	12	-1	15822690	15823683	Trib2	protein_coding
ENSMUSG00000020593	ENSMUST00000048538	12	-1	16542475	16596576	Lpin1	protein_coding
ENSMUSG00000020593	ENSMUST00000067124	12	-1	16542475	16596576	Lpin1	protein_coding
ENSMUSG00000020593	ENSMUST00000111067	12	-1	16542475	16596576	Lpin1	protein_coding
ENSMUSG00000020591	ENSMUST00000111064	12	1	16660276	16667042	Ntsr2	protein_coding
ENSMUSG00000020591	ENSMUST00000020910	12	1	16660280	16667033	Ntsr2	protein_coding
ENSMUSG00000036523	ENSMUST00000162112	12	-1	16677421	16807490	Greb1	protein_coding
ENSMUSG00000036523	ENSMUST00000048064	12	-1	16677421	16807692	Greb1	protein_coding
ENSMUSG00000036523	ENSMUST00000159120	12	-1	16678885	16764001	Greb1	protein_coding
ENSMUSG00000036523	ENSMUST00000160851	12	-1	16680615	16681846	Greb1	protein_coding
ENSMUSG00000036523	ENSMUST00000160755	12	-1	16688750	16697608	Greb1	protein_coding
ENSMUSG00000036523	ENSMUST00000161036	12	-1	16697337	16747060	Greb1	protein_coding
ENSMUSG00000036523	ENSMUST00000160575	12	-1	16709172	16714829	Greb1	protein_coding
ENSMUSG00000036523	ENSMUST00000159044	12	-1	16712945	16715260	Greb1	protein_coding
ENSMUSG00000036523	ENSMUST00000160347	12	-1	16712956	16715400	Greb1	protein_coding
ENSMUSG00000036523	ENSMUST00000160627	12	-1	16714692	16718579	Greb1	protein_coding
ENSMUSG00000036523	ENSMUST00000159573	12	-1	16729983	16746934	Greb1	protein_coding
ENSMUSG00000036523	ENSMUST00000161998	12	-1	16740084	16807692	Greb1	protein_coding
ENSMUSG00000057469	ENSMUST00000020908	12	1	16817771	16833549	E2f6	protein_coding
ENSMUSG00000057469	ENSMUST00000101592	12	1	16818012	16820685	E2f6	protein_coding
ENSMUSG00000020580	ENSMUST00000020904	12	1	16901784	16995080	Rock2	protein_coding
ENSMUSG00000020580	ENSMUST00000116446	12	1	16901784	16995080	Rock2	protein_coding
ENSMUSG00000020580	ENSMUST00000168024	12	1	16901784	16995080	Rock2	protein_coding
ENSMUSG00000045679	ENSMUST00000140933	12	-1	16995454	17006838	Pqlc3	protein_coding
ENSMUSG00000045679	ENSMUST00000054536	12	-1	16995454	17006924	Pqlc3	protein_coding
ENSMUSG00000045679	ENSMUST00000067572	12	-1	16999767	17006831	Pqlc3	protein_coding
ENSMUSG00000045679	ENSMUST00000141232	12	-1	17000316	17006832	Pqlc3	protein_coding
ENSMUSG00000045679	ENSMUST00000156360	12	-1	17000461	17006922	Pqlc3	protein_coding
ENSMUSG00000045679	ENSMUST00000134938	12	-1	17002448	17007214	Pqlc3	protein_coding
ENSMUSG00000045679	ENSMUST00000137960	12	-1	17002448	17007214	Pqlc3	protein_coding
ENSMUSG00000071398	ENSMUST00000095823	12	-1	17011764	17018360	2410004P03Rik	protein_coding
ENSMUSG00000051726	ENSMUST00000170580	12	-1	17178908	17183694	Kcnf1	protein_coding
ENSMUSG00000051726	ENSMUST00000057678	12	-1	17181507	17182988	Kcnf1	protein_coding
ENSMUSG00000020571	ENSMUST00000162936	12	1	17273351	17288616	Pdia6	protein_coding
ENSMUSG00000020571	ENSMUST00000057288	12	1	17273351	17291576	Pdia6	protein_coding
ENSMUSG00000020571	ENSMUST00000161853	12	1	17273414	17281000	Pdia6	protein_coding
ENSMUSG00000020571	ENSMUST00000159434	12	1	17280648	17284453	Pdia6	protein_coding
ENSMUSG00000020571	ENSMUST00000163000	12	1	17284047	17285746	Pdia6	protein_coding
ENSMUSG00000020566	ENSMUST00000095820	12	-1	17291527	17331518	Atp6v1c2	protein_coding
ENSMUSG00000020566	ENSMUST00000140751	12	-1	17291528	17331471	Atp6v1c2	protein_coding
ENSMUSG00000020566	ENSMUST00000020884	12	-1	17291528	17331509	Atp6v1c2	protein_coding
ENSMUSG00000020566	ENSMUST00000156727	12	-1	17291529	17315219	Atp6v1c2	protein_coding
ENSMUSG00000020566	ENSMUST00000167894	12	-1	17291529	17331509	Atp6v1c2	protein_coding
ENSMUSG00000020566	ENSMUST00000153090	12	-1	17304602	17336154	Atp6v1c2	protein_coding
ENSMUSG00000020566	ENSMUST00000127185	12	-1	17315107	17331536	Atp6v1c2	protein_coding
ENSMUSG00000020566	ENSMUST00000143131	12	-1	17315151	17336165	Atp6v1c2	protein_coding
ENSMUSG00000061458	ENSMUST00000046011	12	1	17355285	17437381	Nol10	protein_coding
ENSMUSG00000011179	ENSMUST00000171737	12	1	17551679	17558308	Odc1	protein_coding
ENSMUSG00000011179	ENSMUST00000011323	12	1	17551792	17557879	Odc1	protein_coding
ENSMUSG00000071379	ENSMUST00000071858	12	1	17697620	17798732	Hpcal1	protein_coding
ENSMUSG00000091094	ENSMUST00000169996	12	1	17889003	17889338	Gm9222	protein_coding
ENSMUSG00000067356	ENSMUST00000169657	12	1	17931100	17932474	B430203G13Rik	protein_coding
ENSMUSG00000091687	ENSMUST00000171680	12	1	17999939	18000274	Gm4983	protein_coding
ENSMUSG00000091781	ENSMUST00000080502	12	1	18394561	18394884	Gm9590	protein_coding
ENSMUSG00000073197	ENSMUST00000063216	12	1	18521544	18540997	5730507C01Rik	protein_coding
ENSMUSG00000090885	ENSMUST00000101582	12	1	18859727	18860062	Gm3944	protein_coding
ENSMUSG00000073187	ENSMUST00000101569	12	1	19393665	19394072	Gm5784	protein_coding
ENSMUSG00000059229	ENSMUST00000167843	12	1	19496163	19498145	Gm6802	protein_coding
ENSMUSG00000078375	ENSMUST00000105167	12	1	19612784	19613119	Gm9257	protein_coding
ENSMUSG00000073184	ENSMUST00000101568	12	1	20421799	20439560	Gm10479	protein_coding
ENSMUSG00000091071	ENSMUST00000110971	12	-1	20820118	20821588	1700030C10Rik	protein_coding
ENSMUSG00000069755	ENSMUST00000079237	12	-1	20905683	20906728	Zfp125	protein_coding
ENSMUSG00000052632	ENSMUST00000174530	12	1	20996320	21206780	Asap2	protein_coding
ENSMUSG00000052632	ENSMUST00000064595	12	1	21117609	21276032	Asap2	protein_coding
ENSMUSG00000052632	ENSMUST00000101562	12	1	21117609	21276032	Asap2	protein_coding
ENSMUSG00000052632	ENSMUST00000163537	12	1	21117617	21276031	Asap2	protein_coding
ENSMUSG00000052632	ENSMUST00000090834	12	1	21117617	21276032	Asap2	protein_coding
ENSMUSG00000052632	ENSMUST00000050990	12	1	21117815	21274040	Asap2	protein_coding
ENSMUSG00000062352	ENSMUST00000172962	12	-1	21246686	21253184	Itgb1bp1	protein_coding
ENSMUSG00000062352	ENSMUST00000076260	12	-1	21275667	21292098	Itgb1bp1	protein_coding
ENSMUSG00000062352	ENSMUST00000173729	12	-1	21275954	21291958	Itgb1bp1	protein_coding
ENSMUSG00000062352	ENSMUST00000173688	12	-1	21276565	21277984	Itgb1bp1	protein_coding
ENSMUSG00000062352	ENSMUST00000172834	12	-1	21277149	21292046	Itgb1bp1	protein_coding
ENSMUSG00000062352	ENSMUST00000173614	12	-1	21277287	21278631	Itgb1bp1	protein_coding
ENSMUSG00000054309	ENSMUST00000067284	12	1	21292158	21320917	Cpsf3	protein_coding
ENSMUSG00000062054	ENSMUST00000076813	12	1	21322253	21329466	Iah1	protein_coding
ENSMUSG00000052593	ENSMUST00000101551	12	-1	21329370	21379454	Adam17	protein_coding
ENSMUSG00000052593	ENSMUST00000127974	12	-1	21329378	21379454	Adam17	protein_coding
ENSMUSG00000052593	ENSMUST00000145118	12	-1	21329378	21379454	Adam17	protein_coding
ENSMUSG00000052593	ENSMUST00000064536	12	-1	21329378	21379493	Adam17	protein_coding
ENSMUSG00000052593	ENSMUST00000170982	12	-1	21329672	21379400	Adam17	protein_coding
ENSMUSG00000052593	ENSMUST00000141799	12	-1	21331387	21335151	Adam17	protein_coding
ENSMUSG00000052593	ENSMUST00000155115	12	-1	21333841	21350090	Adam17	protein_coding
ENSMUSG00000052593	ENSMUST00000146854	12	-1	21333901	21335174	Adam17	protein_coding
ENSMUSG00000052593	ENSMUST00000132339	12	-1	21335934	21338382	Adam17	protein_coding
ENSMUSG00000052593	ENSMUST00000142092	12	-1	21355764	21379395	Adam17	protein_coding
ENSMUSG00000076432	ENSMUST00000135088	12	-1	21395932	21423498	Ywhaq	protein_coding
ENSMUSG00000076432	ENSMUST00000103002	12	-1	21396190	21423297	Ywhaq	protein_coding
ENSMUSG00000076432	ENSMUST00000155480	12	-1	21396193	21423449	Ywhaq	protein_coding
ENSMUSG00000076432	ENSMUST00000049531	12	-1	21397607	21423394	Ywhaq	protein_coding
ENSMUSG00000076432	ENSMUST00000140710	12	-1	21401431	21422991	Ywhaq	protein_coding
ENSMUSG00000076432	ENSMUST00000146206	12	-1	21402134	21404610	Ywhaq	protein_coding
ENSMUSG00000073183	ENSMUST00000101567	12	-1	21834340	21834747	Gm17680	protein_coding
ENSMUSG00000090923	ENSMUST00000171036	12	1	23377853	23378188	Gm17391	protein_coding
ENSMUSG00000071362	ENSMUST00000072014	12	-1	24463777	24465130	Gm10330	protein_coding
ENSMUSG00000091196	ENSMUST00000171153	12	-1	24653375	24653710	Gm17330	protein_coding
ENSMUSG00000073158	ENSMUST00000101538	12	-1	24729566	24781833	9030624G23Rik	protein_coding
ENSMUSG00000092064	ENSMUST00000169148	12	-1	24936711	24937046	Gm9312	protein_coding
ENSMUSG00000057160	ENSMUST00000073088	12	-1	25178072	25178521	Gm16372	protein_coding
ENSMUSG00000059669	ENSMUST00000075954	12	1	25183446	25243436	Taf1b	protein_coding
ENSMUSG00000020656	ENSMUST00000085553	12	1	25257152	25302252	Grhl1	protein_coding
ENSMUSG00000020656	ENSMUST00000020985	12	1	25265614	25302256	Grhl1	protein_coding
ENSMUSG00000020653	ENSMUST00000020982	12	1	25336236	25347639	Klf11	protein_coding
ENSMUSG00000020653	ENSMUST00000139940	12	1	25336761	25338675	Klf11	protein_coding
