ENSMUSG00000078367	ENSMUST00000105160	4	1	3099177	3100187	Vmn1r2	protein_coding
ENSMUSG00000003282	ENSMUST00000003369	4	-1	3828143	3865529	Plag1	protein_coding
ENSMUSG00000003282	ENSMUST00000137439	4	-1	3832037	3865552	Plag1	protein_coding
ENSMUSG00000003282	ENSMUST00000151543	4	-1	3832696	3865570	Plag1	protein_coding
ENSMUSG00000003282	ENSMUST00000147035	4	-1	3839004	3865540	Plag1	protein_coding
ENSMUSG00000042198	ENSMUST00000108386	4	1	3866035	3870670	Chchd7	protein_coding
ENSMUSG00000042198	ENSMUST00000121110	4	1	3866035	3870675	Chchd7	protein_coding
ENSMUSG00000042198	ENSMUST00000149544	4	1	3866037	3870619	Chchd7	protein_coding
ENSMUSG00000042198	ENSMUST00000121210	4	1	3866061	3870197	Chchd7	protein_coding
ENSMUSG00000042198	ENSMUST00000121651	4	1	3866061	3870668	Chchd7	protein_coding
ENSMUSG00000042198	ENSMUST00000041122	4	1	3866061	3870675	Chchd7	protein_coding
ENSMUSG00000042198	ENSMUST00000120732	4	1	3866061	3870675	Chchd7	protein_coding
ENSMUSG00000042198	ENSMUST00000150618	4	1	3866061	3878193	Chchd7	protein_coding
ENSMUSG00000042198	ENSMUST00000119307	4	1	3866067	3870651	Chchd7	protein_coding
ENSMUSG00000042198	ENSMUST00000123769	4	1	3866190	3870553	Chchd7	protein_coding
ENSMUSG00000042198	ENSMUST00000128829	4	1	3866569	3868566	Chchd7	protein_coding
ENSMUSG00000042198	ENSMUST00000131746	4	1	3866647	3870673	Chchd7	protein_coding
ENSMUSG00000042198	ENSMUST00000119403	4	1	3868001	3870672	Chchd7	protein_coding
ENSMUSG00000042198	ENSMUST00000137037	4	1	3870561	3877358	Chchd7	protein_coding
ENSMUSG00000042198	ENSMUST00000151519	4	1	3873955	3877019	Chchd7	protein_coding
ENSMUSG00000068240	ENSMUST00000089430	4	-1	3900239	3900742	Gm11808	protein_coding
ENSMUSG00000028236	ENSMUST00000040925	4	-1	3923083	3946810	Sdr16c5	protein_coding
ENSMUSG00000028236	ENSMUST00000126274	4	-1	3939488	3943768	Sdr16c5	protein_coding
ENSMUSG00000071019	ENSMUST00000108383	4	-1	3983078	4004669	Sdr16c6	protein_coding
ENSMUSG00000071019	ENSMUST00000095151	4	-1	3983812	4004087	Sdr16c6	protein_coding
ENSMUSG00000045573	ENSMUST00000070375	4	-1	4060678	4065624	Penk	protein_coding
ENSMUSG00000045573	ENSMUST00000133567	4	-1	4061259	4065966	Penk	protein_coding
ENSMUSG00000066324	ENSMUST00000084949	4	-1	4689631	4720502	Impad1	protein_coding
ENSMUSG00000049119	ENSMUST00000124256	4	1	5571237	5725529	Fam110b	protein_coding
ENSMUSG00000049119	ENSMUST00000054857	4	1	5571268	5728248	Fam110b	protein_coding
ENSMUSG00000049119	ENSMUST00000144605	4	1	5571272	5660670	Fam110b	protein_coding
ENSMUSG00000049119	ENSMUST00000141479	4	1	5571337	5725641	Fam110b	protein_coding
ENSMUSG00000049119	ENSMUST00000126564	4	1	5571382	6035370	Fam110b	protein_coding
ENSMUSG00000049119	ENSMUST00000108380	4	1	5651459	5728248	Fam110b	protein_coding
ENSMUSG00000049119	ENSMUST00000156582	4	1	5700026	5725992	Fam110b	protein_coding
ENSMUSG00000049119	ENSMUST00000171403	4	1	5700026	5727093	Fam110b	protein_coding
ENSMUSG00000049119	ENSMUST00000145365	4	1	5725231	5725678	Fam110b	protein_coding
ENSMUSG00000028243	ENSMUST00000029907	4	1	6118245	6148835	Ubxn2b	protein_coding
ENSMUSG00000028240	ENSMUST00000029905	4	-1	6192759	6202778	Cyp7a1	protein_coding
ENSMUSG00000028240	ENSMUST00000147346	4	-1	6199952	6202780	Cyp7a1	protein_coding
ENSMUSG00000028249	ENSMUST00000029912	4	1	6292797	6323431	Sdcbp	protein_coding
ENSMUSG00000028249	ENSMUST00000103008	4	1	6292824	6322802	Sdcbp	protein_coding
ENSMUSG00000028249	ENSMUST00000155247	4	1	6292855	6301275	Sdcbp	protein_coding
ENSMUSG00000028249	ENSMUST00000175769	4	1	6292856	6320258	Sdcbp	protein_coding
ENSMUSG00000028249	ENSMUST00000108371	4	1	6292859	6311369	Sdcbp	protein_coding
ENSMUSG00000028249	ENSMUST00000140830	4	1	6292860	6312204	Sdcbp	protein_coding
ENSMUSG00000028249	ENSMUST00000108374	4	1	6292860	6335570	Sdcbp	protein_coding
ENSMUSG00000028249	ENSMUST00000153861	4	1	6303988	6320142	Sdcbp	protein_coding
ENSMUSG00000028245	ENSMUST00000029910	4	-1	6323354	6381418	Nsmaf	protein_coding
ENSMUSG00000028245	ENSMUST00000143704	4	-1	6323354	6381418	Nsmaf	protein_coding
ENSMUSG00000028245	ENSMUST00000149015	4	-1	6323558	6326153	Nsmaf	protein_coding
ENSMUSG00000028245	ENSMUST00000156715	4	-1	6323916	6381243	Nsmaf	protein_coding
ENSMUSG00000028245	ENSMUST00000143566	4	-1	6333547	6381402	Nsmaf	protein_coding
ENSMUSG00000028245	ENSMUST00000164854	4	-1	6333547	6381402	Nsmaf	protein_coding
ENSMUSG00000028245	ENSMUST00000156078	4	-1	6336166	6351135	Nsmaf	protein_coding
ENSMUSG00000028245	ENSMUST00000143983	4	-1	6351717	6359845	Nsmaf	protein_coding
ENSMUSG00000028245	ENSMUST00000156283	4	-1	6355597	6380726	Nsmaf	protein_coding
ENSMUSG00000028245	ENSMUST00000145399	4	-1	6356876	6373474	Nsmaf	protein_coding
ENSMUSG00000028245	ENSMUST00000124344	4	-1	6360419	6381244	Nsmaf	protein_coding
ENSMUSG00000028245	ENSMUST00000124656	4	-1	6365060	6371540	Nsmaf	protein_coding
ENSMUSG00000041272	ENSMUST00000039987	4	-1	6613500	6917946	Tox	protein_coding
ENSMUSG00000041272	ENSMUST00000125974	4	-1	6615193	6616498	Tox	protein_coding
ENSMUSG00000041272	ENSMUST00000147657	4	-1	6667377	6918704	Tox	protein_coding
ENSMUSG00000041272	ENSMUST00000150082	4	-1	6747841	6917630	Tox	protein_coding
ENSMUSG00000041261	ENSMUST00000066674	4	-1	8070514	8166188	Car8	protein_coding
ENSMUSG00000047187	ENSMUST00000060232	4	1	8462791	8534925	Rab2a	protein_coding
ENSMUSG00000041235	ENSMUST00000170457	4	1	8617553	8683053	Chd7	protein_coding
ENSMUSG00000041235	ENSMUST00000127476	4	1	8617617	8712738	Chd7	protein_coding
ENSMUSG00000041235	ENSMUST00000039267	4	1	8618068	8793957	Chd7	protein_coding
ENSMUSG00000041235	ENSMUST00000051558	4	1	8618512	8794806	Chd7	protein_coding
ENSMUSG00000041235	ENSMUST00000129655	4	1	8637487	8678709	Chd7	protein_coding
ENSMUSG00000041235	ENSMUST00000170391	4	1	8678585	8794371	Chd7	protein_coding
ENSMUSG00000041235	ENSMUST00000130709	4	1	8767469	8771868	Chd7	protein_coding
ENSMUSG00000041216	ENSMUST00000147285	4	1	9196440	9209419	Clvs1	protein_coding
ENSMUSG00000041216	ENSMUST00000128117	4	1	9196464	9280730	Clvs1	protein_coding
ENSMUSG00000041216	ENSMUST00000038841	4	1	9196464	9378838	Clvs1	protein_coding
ENSMUSG00000041216	ENSMUST00000142369	4	1	9196477	9209417	Clvs1	protein_coding
ENSMUSG00000041216	ENSMUST00000141734	4	1	9196494	9208579	Clvs1	protein_coding
ENSMUSG00000041216	ENSMUST00000170467	4	1	9198602	9377044	Clvs1	protein_coding
ENSMUSG00000041216	ENSMUST00000108348	4	1	9198602	9378838	Clvs1	protein_coding
ENSMUSG00000041216	ENSMUST00000141085	4	1	9238903	9356950	Clvs1	protein_coding
ENSMUSG00000041216	ENSMUST00000135864	4	1	9262756	9356987	Clvs1	protein_coding
ENSMUSG00000028207	ENSMUST00000151232	4	-1	9375216	9402605	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000078139	4	-1	9376226	9596309	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000108340	4	-1	9376226	9596309	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000108339	4	-1	9376226	9596491	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000029860	4	-1	9376232	9596273	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000098276	4	-1	9378872	9570697	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000124408	4	-1	9502019	9522836	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000108333	4	-1	9502414	9570864	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000108334	4	-1	9502414	9570864	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000108335	4	-1	9502414	9570864	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000084915	4	-1	9502414	9596309	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000108337	4	-1	9502414	9596309	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000152058	4	-1	9531663	9566407	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000152526	4	-1	9534944	9570864	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000084912	4	-1	9537990	9596309	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000029859	4	-1	9548055	9570788	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000103004	4	-1	9548056	9570864	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000038564	4	-1	9548843	9596309	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000146441	4	-1	9556170	9596309	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000098275	4	-1	9557694	9596309	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000131605	4	-1	9558073	9596468	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000137375	4	-1	9560263	9570864	Asph	protein_coding
ENSMUSG00000028207	ENSMUST00000130617	4	-1	9595460	9596233	Asph	protein_coding
ENSMUSG00000051279	ENSMUST00000057613	4	1	9771519	9789492	Gdf6	protein_coding
ENSMUSG00000090384	ENSMUST00000169045	4	-1	9848137	9854979	Gm17492	protein_coding
ENSMUSG00000059482	ENSMUST00000080517	4	1	10801645	10826568	2610301B20Rik	protein_coding
ENSMUSG00000059482	ENSMUST00000131437	4	1	10801672	10820616	2610301B20Rik	protein_coding
ENSMUSG00000059482	ENSMUST00000156124	4	1	10801712	10825220	2610301B20Rik	protein_coding
ENSMUSG00000059482	ENSMUST00000072099	4	1	10801715	10826398	2610301B20Rik	protein_coding
ENSMUSG00000059482	ENSMUST00000101504	4	1	10801715	10826572	2610301B20Rik	protein_coding
ENSMUSG00000059482	ENSMUST00000142026	4	1	10806686	10818925	2610301B20Rik	protein_coding
ENSMUSG00000049969	ENSMUST00000054776	4	-1	10915809	10934823	Plekhf2	protein_coding
ENSMUSG00000049969	ENSMUST00000137891	4	-1	10917896	10935074	Plekhf2	protein_coding
ENSMUSG00000050323	ENSMUST00000058183	4	-1	10978192	11003351	2310030N02Rik	protein_coding
ENSMUSG00000050323	ENSMUST00000144475	4	-1	10978197	10986230	2310030N02Rik	protein_coding
ENSMUSG00000050323	ENSMUST00000126468	4	-1	10978360	11003296	2310030N02Rik	protein_coding
ENSMUSG00000050323	ENSMUST00000124607	4	-1	10986220	11003296	2310030N02Rik	protein_coding
ENSMUSG00000050323	ENSMUST00000154122	4	-1	10989199	11003330	2310030N02Rik	protein_coding
ENSMUSG00000050323	ENSMUST00000148127	4	-1	10997401	11003352	2310030N02Rik	protein_coding
ENSMUSG00000050323	ENSMUST00000141019	4	-1	11000139	11003335	2310030N02Rik	protein_coding
ENSMUSG00000028211	ENSMUST00000029865	4	1	11083578	11101526	Trp53inp1	protein_coding
ENSMUSG00000028211	ENSMUST00000132010	4	1	11083588	11101526	Trp53inp1	protein_coding
ENSMUSG00000028211	ENSMUST00000132693	4	1	11083591	11093547	Trp53inp1	protein_coding
ENSMUSG00000028211	ENSMUST00000132346	4	1	11091606	11095161	Trp53inp1	protein_coding
ENSMUSG00000028212	ENSMUST00000145430	4	1	11118498	11121108	Ccne2	protein_coding
ENSMUSG00000028212	ENSMUST00000170901	4	1	11118501	11131822	Ccne2	protein_coding
ENSMUSG00000028212	ENSMUST00000144438	4	1	11118856	11122304	Ccne2	protein_coding
ENSMUSG00000028212	ENSMUST00000029866	4	1	11118873	11131926	Ccne2	protein_coding
ENSMUSG00000028212	ENSMUST00000108324	4	1	11118877	11131829	Ccne2	protein_coding
ENSMUSG00000028212	ENSMUST00000147725	4	1	11118883	11122186	Ccne2	protein_coding
ENSMUSG00000028212	ENSMUST00000149075	4	1	11119744	11120382	Ccne2	protein_coding
ENSMUSG00000040738	ENSMUST00000044616	4	-1	11126305	11181405	Ints8	protein_coding
ENSMUSG00000040738	ENSMUST00000136545	4	-1	11131257	11140332	Ints8	protein_coding
ENSMUSG00000040738	ENSMUST00000137054	4	-1	11131528	11162705	Ints8	protein_coding
ENSMUSG00000040738	ENSMUST00000108318	4	-1	11131530	11181405	Ints8	protein_coding
ENSMUSG00000040738	ENSMUST00000108319	4	-1	11131530	11181405	Ints8	protein_coding
ENSMUSG00000040738	ENSMUST00000145252	4	-1	11131531	11140899	Ints8	protein_coding
ENSMUSG00000040738	ENSMUST00000133031	4	-1	11135902	11147049	Ints8	protein_coding
ENSMUSG00000040738	ENSMUST00000147372	4	-1	11159715	11163115	Ints8	protein_coding
ENSMUSG00000045205	ENSMUST00000139385	4	-1	11188462	11230508	Dpy19l4	protein_coding
ENSMUSG00000045205	ENSMUST00000084892	4	-1	11188462	11249284	Dpy19l4	protein_coding
ENSMUSG00000045205	ENSMUST00000053522	4	-1	11192226	11249278	Dpy19l4	protein_coding
ENSMUSG00000045205	ENSMUST00000128024	4	-1	11204019	11249284	Dpy19l4	protein_coding
ENSMUSG00000045205	ENSMUST00000142005	4	-1	11207122	11249222	Dpy19l4	protein_coding
ENSMUSG00000045205	ENSMUST00000144941	4	-1	11230570	11249194	Dpy19l4	protein_coding
ENSMUSG00000045205	ENSMUST00000148524	4	-1	11244243	11249247	Dpy19l4	protein_coding
ENSMUSG00000040728	ENSMUST00000043781	4	-1	11259080	11313826	Esrp1	protein_coding
ENSMUSG00000040728	ENSMUST00000108313	4	-1	11259080	11313930	Esrp1	protein_coding
ENSMUSG00000040728	ENSMUST00000108311	4	-1	11259185	11313930	Esrp1	protein_coding
ENSMUSG00000040728	ENSMUST00000147342	4	-1	11260152	11294325	Esrp1	protein_coding
ENSMUSG00000040728	ENSMUST00000108310	4	-1	11260152	11313826	Esrp1	protein_coding
ENSMUSG00000040728	ENSMUST00000127399	4	-1	11267706	11271392	Esrp1	protein_coding
ENSMUSG00000040728	ENSMUST00000155519	4	-1	11284733	11313541	Esrp1	protein_coding
ENSMUSG00000067549	ENSMUST00000087866	4	1	11336959	11407948	Gm17283	protein_coding
ENSMUSG00000040720	ENSMUST00000055372	4	1	11413105	11454768	1110037F02Rik	protein_coding
ENSMUSG00000040720	ENSMUST00000059914	4	1	11413105	11477831	1110037F02Rik	protein_coding
ENSMUSG00000040720	ENSMUST00000108307	4	1	11413190	11477831	1110037F02Rik	protein_coding
ENSMUSG00000078773	ENSMUST00000108306	4	1	11486096	11506104	Rad54b	protein_coding
ENSMUSG00000078773	ENSMUST00000070755	4	1	11486119	11542952	Rad54b	protein_coding
ENSMUSG00000066307	ENSMUST00000095145	4	1	11506812	11511983	Rad54b	protein_coding
ENSMUSG00000078773	ENSMUST00000144499	4	1	11536522	11537928	Rad54b	protein_coding
ENSMUSG00000028214	ENSMUST00000108304	4	1	11631604	11641899	Gem	protein_coding
ENSMUSG00000028214	ENSMUST00000029868	4	1	11632954	11641899	Gem	protein_coding
ENSMUSG00000028217	ENSMUST00000029871	4	1	11685294	11745042	Cdh17	protein_coding
ENSMUSG00000028217	ENSMUST00000108303	4	1	11685340	11738633	Cdh17	protein_coding
ENSMUSG00000049225	ENSMUST00000108297	4	-1	11885331	11893599	Pdp1	protein_coding
ENSMUSG00000049225	ENSMUST00000108301	4	-1	11886954	11892968	Pdp1	protein_coding
ENSMUSG00000049225	ENSMUST00000095144	4	-1	11886954	11893074	Pdp1	protein_coding
ENSMUSG00000049225	ENSMUST00000108302	4	-1	11886954	11893128	Pdp1	protein_coding
ENSMUSG00000049225	ENSMUST00000108299	4	-1	11886954	11893574	Pdp1	protein_coding
ENSMUSG00000049225	ENSMUST00000056050	4	-1	11886958	11893567	Pdp1	protein_coding
ENSMUSG00000073995	ENSMUST00000098260	4	-1	11906707	11908412	Gm10604	protein_coding
ENSMUSG00000049488	ENSMUST00000050686	4	-1	11966502	12015104	Tmem67	protein_coding
ENSMUSG00000049488	ENSMUST00000131145	4	-1	11966510	12015085	Tmem67	protein_coding
ENSMUSG00000049488	ENSMUST00000108293	4	-1	11966792	12017167	Tmem67	protein_coding
ENSMUSG00000049488	ENSMUST00000146140	4	-1	11987199	12015154	Tmem67	protein_coding
ENSMUSG00000049488	ENSMUST00000147746	4	-1	11995610	12015074	Tmem67	protein_coding
ENSMUSG00000049488	ENSMUST00000151859	4	-1	12005735	12015079	Tmem67	protein_coding
ENSMUSG00000052137	ENSMUST00000095143	4	1	12016586	12023069	C430048L16Rik	protein_coding
ENSMUSG00000052137	ENSMUST00000063839	4	1	12016588	12023390	C430048L16Rik	protein_coding
ENSMUSG00000046667	ENSMUST00000146416	4	1	12067411	12071835	Rbm12b	protein_coding
ENSMUSG00000046667	ENSMUST00000050069	4	1	12067414	12073847	Rbm12b	protein_coding
ENSMUSG00000046667	ENSMUST00000138008	4	1	12067432	12072175	Rbm12b	protein_coding
ENSMUSG00000046667	ENSMUST00000069128	4	1	12067464	12073878	Rbm12b	protein_coding
ENSMUSG00000028218	ENSMUST00000108285	4	-1	12080556	12099162	Fam92a	protein_coding
ENSMUSG00000028218	ENSMUST00000087052	4	-1	12080871	12099142	Fam92a	protein_coding
ENSMUSG00000028218	ENSMUST00000172728	4	-1	12081004	12088271	Fam92a	protein_coding
ENSMUSG00000028218	ENSMUST00000154416	4	-1	12082858	12098315	Fam92a	protein_coding
ENSMUSG00000028218	ENSMUST00000126012	4	-1	12091268	12099018	Fam92a	protein_coding
ENSMUSG00000028218	ENSMUST00000126808	4	-1	12092490	12099142	Fam92a	protein_coding
ENSMUSG00000028218	ENSMUST00000152219	4	-1	12092757	12098881	Fam92a	protein_coding
ENSMUSG00000006586	ENSMUST00000006761	4	1	13670583	13820796	Runx1t1	protein_coding
ENSMUSG00000006586	ENSMUST00000150583	4	1	13678444	13770174	Runx1t1	protein_coding
ENSMUSG00000006586	ENSMUST00000105566	4	1	13678444	13820775	Runx1t1	protein_coding
ENSMUSG00000006586	ENSMUST00000098257	4	1	13698524	13817470	Runx1t1	protein_coding
ENSMUSG00000006586	ENSMUST00000098256	4	1	13711929	13818264	Runx1t1	protein_coding
ENSMUSG00000006586	ENSMUST00000139736	4	1	13816367	13817109	Runx1t1	protein_coding
ENSMUSG00000040569	ENSMUST00000042221	4	-1	14429577	14548952	Slc26a7	protein_coding
ENSMUSG00000040569	ENSMUST00000138042	4	-1	14432436	14443516	Slc26a7	protein_coding
ENSMUSG00000040569	ENSMUST00000149633	4	-1	14492627	14548644	Slc26a7	protein_coding
ENSMUSG00000040569	ENSMUST00000143105	4	-1	14520964	14548816	Slc26a7	protein_coding
ENSMUSG00000023151	ENSMUST00000023917	4	-1	14550767	14723207	Lrrc69	protein_coding
ENSMUSG00000023151	ENSMUST00000143565	4	-1	14592901	14683992	Lrrc69	protein_coding
ENSMUSG00000023151	ENSMUST00000108276	4	-1	14592901	14723199	Lrrc69	protein_coding
ENSMUSG00000040550	ENSMUST00000117268	4	-1	14736645	14753734	Otud6b	protein_coding
ENSMUSG00000040550	ENSMUST00000041921	4	-1	14736654	14753734	Otud6b	protein_coding
ENSMUSG00000040550	ENSMUST00000151012	4	-1	14737193	14753542	Otud6b	protein_coding
ENSMUSG00000028221	ENSMUST00000029875	4	1	14791223	14842323	Tmem55a	protein_coding
ENSMUSG00000040536	ENSMUST00000041606	4	-1	14879392	15076278	Necab1	protein_coding
ENSMUSG00000040536	ENSMUST00000108273	4	-1	14882076	15076941	Necab1	protein_coding
ENSMUSG00000040536	ENSMUST00000141105	4	-1	15038109	15076108	Necab1	protein_coding
ENSMUSG00000043252	ENSMUST00000062684	4	1	15192978	15213900	Tmem64	protein_coding
ENSMUSG00000028222	ENSMUST00000029876	4	1	15808411	15835211	Calb1	protein_coding
ENSMUSG00000028222	ENSMUST00000136266	4	1	15808413	15822924	Calb1	protein_coding
ENSMUSG00000028222	ENSMUST00000141336	4	1	15812604	15823222	Calb1	protein_coding
ENSMUSG00000028223	ENSMUST00000029877	4	-1	15844387	15872654	Decr1	protein_coding
ENSMUSG00000028223	ENSMUST00000150464	4	-1	15860124	15872422	Decr1	protein_coding
ENSMUSG00000028223	ENSMUST00000154639	4	-1	15870838	15871636	Decr1	protein_coding
ENSMUSG00000028224	ENSMUST00000029879	4	1	15885072	15919736	Nbn	protein_coding
ENSMUSG00000028224	ENSMUST00000149069	4	1	15885114	15908701	Nbn	protein_coding
ENSMUSG00000041153	ENSMUST00000037198	4	-1	15924268	15941035	Osgin2	protein_coding
ENSMUSG00000041153	ENSMUST00000134048	4	-1	15924374	15929268	Osgin2	protein_coding
ENSMUSG00000041153	ENSMUST00000149891	4	-1	15929111	15940943	Osgin2	protein_coding
ENSMUSG00000041153	ENSMUST00000148819	4	-1	15929691	15940968	Osgin2	protein_coding
ENSMUSG00000041153	ENSMUST00000124770	4	-1	15932038	15933552	Osgin2	protein_coding
ENSMUSG00000041135	ENSMUST00000037035	4	-1	16049880	16090794	Ripk2	protein_coding
ENSMUSG00000041135	ENSMUST00000129036	4	-1	16049888	16090790	Ripk2	protein_coding
ENSMUSG00000041135	ENSMUST00000170586	4	-1	16050537	16090666	Ripk2	protein_coding
ENSMUSG00000028226	ENSMUST00000124753	4	1	17780040	18044604	Mmp16	protein_coding
ENSMUSG00000028226	ENSMUST00000142434	4	1	17780238	17923440	Mmp16	protein_coding
ENSMUSG00000028226	ENSMUST00000029881	4	1	17780605	18046292	Mmp16	protein_coding
ENSMUSG00000028226	ENSMUST00000133416	4	1	17780740	17981828	Mmp16	protein_coding
ENSMUSG00000028226	ENSMUST00000149353	4	1	17861138	17938842	Mmp16	protein_coding
ENSMUSG00000028226	ENSMUST00000139418	4	1	17978904	18020866	Mmp16	protein_coding
ENSMUSG00000073991	ENSMUST00000137780	4	-1	18787601	19049673	Cnbd1	protein_coding
ENSMUSG00000056494	ENSMUST00000102999	4	1	19207997	19437770	Cngb3	protein_coding
ENSMUSG00000028228	ENSMUST00000029885	4	-1	19446401	19497255	Cpne3	protein_coding
ENSMUSG00000028228	ENSMUST00000134025	4	-1	19467759	19470825	Cpne3	protein_coding
ENSMUSG00000028228	ENSMUST00000108254	4	-1	19476722	19497230	Cpne3	protein_coding
ENSMUSG00000028229	ENSMUST00000108253	4	1	19502309	19525801	Fam82b	protein_coding
ENSMUSG00000028229	ENSMUST00000029888	4	1	19502354	19534079	Fam82b	protein_coding
ENSMUSG00000078772	ENSMUST00000108250	4	1	19532598	19578277	Gm12353	protein_coding
ENSMUSG00000041058	ENSMUST00000108246	4	-1	19535450	19636140	Wwp1	protein_coding
ENSMUSG00000041058	ENSMUST00000035982	4	-1	19536820	19605595	Wwp1	protein_coding
ENSMUSG00000041058	ENSMUST00000163598	4	-1	19537001	19605582	Wwp1	protein_coding
ENSMUSG00000041052	ENSMUST00000035890	4	1	19745872	19769365	Slc7a13	protein_coding
ENSMUSG00000028238	ENSMUST00000029900	4	-1	19803988	19849752	Atp6v0d2	protein_coding
ENSMUSG00000028238	ENSMUST00000128605	4	-1	19817979	19844087	Atp6v0d2	protein_coding
ENSMUSG00000073988	ENSMUST00000125799	4	1	19935085	19948459	Ttpa	protein_coding
ENSMUSG00000073988	ENSMUST00000121491	4	1	19935154	19957617	Ttpa	protein_coding
ENSMUSG00000073988	ENSMUST00000098245	4	1	19935391	19957932	Ttpa	protein_coding
ENSMUSG00000073988	ENSMUST00000117632	4	1	19935504	19957932	Ttpa	protein_coding
ENSMUSG00000073988	ENSMUST00000098244	4	1	19935575	19957932	Ttpa	protein_coding
ENSMUSG00000073987	ENSMUST00000029904	4	1	19968857	19993255	Ggh	protein_coding
ENSMUSG00000073987	ENSMUST00000098242	4	1	19969199	19993897	Ggh	protein_coding
ENSMUSG00000055761	ENSMUST00000119374	4	-1	20046021	20705714	Nkain3	protein_coding
ENSMUSG00000055761	ENSMUST00000102998	4	-1	20170989	20706013	Nkain3	protein_coding
ENSMUSG00000040478	ENSMUST00000144160	4	-1	21604627	21613110	Prdm13	protein_coding
ENSMUSG00000040478	ENSMUST00000076206	4	-1	21604628	21612930	Prdm13	protein_coding
ENSMUSG00000040478	ENSMUST00000095141	4	-1	21604628	21613110	Prdm13	protein_coding
ENSMUSG00000040478	ENSMUST00000139255	4	-1	21606812	21612930	Prdm13	protein_coding
ENSMUSG00000040478	ENSMUST00000149516	4	-1	21606894	21612928	Prdm13	protein_coding
ENSMUSG00000040478	ENSMUST00000139568	4	-1	21609459	21612992	Prdm13	protein_coding
ENSMUSG00000028252	ENSMUST00000065928	4	1	21654848	21677693	Ccnc	protein_coding
ENSMUSG00000028252	ENSMUST00000102997	4	1	21654873	21677693	Ccnc	protein_coding
ENSMUSG00000028252	ENSMUST00000120679	4	1	21654873	21687069	Ccnc	protein_coding
ENSMUSG00000028252	ENSMUST00000133597	4	1	21654888	21665671	Ccnc	protein_coding
ENSMUSG00000028252	ENSMUST00000123294	4	1	21654900	21675109	Ccnc	protein_coding
