ENSMUSG00000055452	ENSMUST00000069044	7	-1	3108535	3111950	Gm7353	protein_coding
ENSMUSG00000035632	ENSMUST00000160200	7	1	3610992	3612702	Cnot3	protein_coding
ENSMUSG00000078813	ENSMUST00000019878	7	-1	3611700	3617442	Leng1	protein_coding
ENSMUSG00000019734	ENSMUST00000038743	7	-1	3617392	3629112	Tmc4	protein_coding
ENSMUSG00000019734	ENSMUST00000121743	7	-1	3617393	3628395	Tmc4	protein_coding
ENSMUSG00000019734	ENSMUST00000145034	7	-1	3617560	3618840	Tmc4	protein_coding
ENSMUSG00000019734	ENSMUST00000136678	7	-1	3619044	3622084	Tmc4	protein_coding
ENSMUSG00000019734	ENSMUST00000148313	7	-1	3622276	3628229	Tmc4	protein_coding
ENSMUSG00000019734	ENSMUST00000144751	7	-1	3622293	3629126	Tmc4	protein_coding
ENSMUSG00000019734	ENSMUST00000130689	7	-1	3626761	3629086	Tmc4	protein_coding
ENSMUSG00000035596	ENSMUST00000038608	7	-1	3629392	3645125	Mboat7	protein_coding
ENSMUSG00000035596	ENSMUST00000127106	7	-1	3629395	3643720	Mboat7	protein_coding
ENSMUSG00000035596	ENSMUST00000128364	7	-1	3630004	3643469	Mboat7	protein_coding
ENSMUSG00000035596	ENSMUST00000133223	7	-1	3630377	3636130	Mboat7	protein_coding
ENSMUSG00000035596	ENSMUST00000131688	7	-1	3634960	3644554	Mboat7	protein_coding
ENSMUSG00000035596	ENSMUST00000118710	7	-1	3635279	3644650	Mboat7	protein_coding
ENSMUSG00000035596	ENSMUST00000150785	7	-1	3640685	3644564	Mboat7	protein_coding
ENSMUSG00000035596	ENSMUST00000150684	7	-1	3641512	3644540	Mboat7	protein_coding
ENSMUSG00000035585	ENSMUST00000108630	7	1	3644977	3652625	Tsen34	protein_coding
ENSMUSG00000035585	ENSMUST00000123088	7	1	3645204	3646788	Tsen34	protein_coding
ENSMUSG00000035585	ENSMUST00000038521	7	1	3645367	3652614	Tsen34	protein_coding
ENSMUSG00000035585	ENSMUST00000108629	7	1	3645411	3652606	Tsen34	protein_coding
ENSMUSG00000035585	ENSMUST00000142713	7	1	3645431	3646811	Tsen34	protein_coding
ENSMUSG00000035585	ENSMUST00000137204	7	1	3645900	3646695	Tsen34	protein_coding
ENSMUSG00000035585	ENSMUST00000155060	7	1	3646110	3652204	Tsen34	protein_coding
ENSMUSG00000035585	ENSMUST00000108627	7	1	3646125	3652606	Tsen34	protein_coding
ENSMUSG00000035585	ENSMUST00000139396	7	1	3646376	3647227	Tsen34	protein_coding
ENSMUSG00000035585	ENSMUST00000147288	7	1	3646951	3647436	Tsen34	protein_coding
ENSMUSG00000006333	ENSMUST00000006496	7	1	3655595	3658503	Rps9	protein_coding
ENSMUSG00000006333	ENSMUST00000108623	7	1	3655640	3658497	Rps9	protein_coding
ENSMUSG00000006333	ENSMUST00000128729	7	1	3655643	3656479	Rps9	protein_coding
ENSMUSG00000006333	ENSMUST00000139818	7	1	3655644	3656323	Rps9	protein_coding
ENSMUSG00000006333	ENSMUST00000146303	7	1	3655650	3657031	Rps9	protein_coding
ENSMUSG00000006333	ENSMUST00000108625	7	1	3655654	3658459	Rps9	protein_coding
ENSMUSG00000006333	ENSMUST00000108624	7	1	3655922	3658478	Rps9	protein_coding
ENSMUSG00000006333	ENSMUST00000126562	7	1	3655927	3657983	Rps9	protein_coding
ENSMUSG00000006333	ENSMUST00000146927	7	1	3655966	3658496	Rps9	protein_coding
ENSMUSG00000006333	ENSMUST00000136858	7	1	3657218	3657830	Rps9	protein_coding
ENSMUSG00000058818	ENSMUST00000078451	7	-1	3663011	3671984	Lilrb3	protein_coding
ENSMUSG00000058818	ENSMUST00000049747	7	-1	3663046	3671954	Lilrb3	protein_coding
ENSMUSG00000058818	ENSMUST00000136238	7	-1	3664134	3671993	Lilrb3	protein_coding
ENSMUSG00000058818	ENSMUST00000155131	7	-1	3664139	3671964	Lilrb3	protein_coding
ENSMUSG00000058818	ENSMUST00000129493	7	-1	3664139	3671984	Lilrb3	protein_coding
ENSMUSG00000058818	ENSMUST00000137474	7	-1	3665840	3671956	Lilrb3	protein_coding
ENSMUSG00000074417	ENSMUST00000108616	7	-1	3687072	3849686	Gm14548	protein_coding
ENSMUSG00000074417	ENSMUST00000108614	7	-1	3737953	3849694	Gm14548	protein_coding
ENSMUSG00000074419	ENSMUST00000153846	7	-1	3768383	3773414	Gm15448	protein_coding
ENSMUSG00000074419	ENSMUST00000108620	7	-1	3768383	3777289	Gm15448	protein_coding
ENSMUSG00000074419	ENSMUST00000108619	7	-1	3768399	3777271	Gm15448	protein_coding
ENSMUSG00000074419	ENSMUST00000094911	7	-1	3773127	3777299	Gm15448	protein_coding
ENSMUSG00000089942	ENSMUST00000071671	7	-1	3788412	3796625	Pira2	protein_coding
ENSMUSG00000089942	ENSMUST00000108615	7	-1	3788659	3796652	Pira2	protein_coding
ENSMUSG00000089942	ENSMUST00000119469	7	-1	3789804	3796653	Pira2	protein_coding
ENSMUSG00000074417	ENSMUST00000070639	7	-1	3835844	3849722	Gm14548	protein_coding
ENSMUSG00000030427	ENSMUST00000038176	7	-1	3859882	3867103	Lilra6	protein_coding
ENSMUSG00000030427	ENSMUST00000131255	7	-1	3859882	3867105	Lilra6	protein_coding
ENSMUSG00000030427	ENSMUST00000090689	7	-1	3860217	3867105	Lilra6	protein_coding
ENSMUSG00000030427	ENSMUST00000073970	7	-1	3860288	3867080	Lilra6	protein_coding
ENSMUSG00000055541	ENSMUST00000086400	7	-1	3958675	3981137	Lair1	protein_coding
ENSMUSG00000055541	ENSMUST00000068865	7	-1	3958675	4014806	Lair1	protein_coding
ENSMUSG00000055541	ENSMUST00000086401	7	-1	3959661	4014776	Lair1	protein_coding
ENSMUSG00000055541	ENSMUST00000136616	7	-1	3960582	4014763	Lair1	protein_coding
ENSMUSG00000055541	ENSMUST00000149395	7	-1	3960609	4014741	Lair1	protein_coding
ENSMUSG00000055541	ENSMUST00000131126	7	-1	3961175	4014718	Lair1	protein_coding
ENSMUSG00000055541	ENSMUST00000108599	7	-1	3961265	4014743	Lair1	protein_coding
ENSMUSG00000055541	ENSMUST00000108600	7	-1	3961265	4014743	Lair1	protein_coding
ENSMUSG00000055541	ENSMUST00000119711	7	-1	3978805	4014750	Lair1	protein_coding
ENSMUSG00000030428	ENSMUST00000130150	7	1	4071010	4077190	Ttyh1	protein_coding
ENSMUSG00000030428	ENSMUST00000126971	7	1	4071132	4086551	Ttyh1	protein_coding
ENSMUSG00000030428	ENSMUST00000119661	7	1	4071132	4086932	Ttyh1	protein_coding
ENSMUSG00000030428	ENSMUST00000086398	7	1	4071135	4086258	Ttyh1	protein_coding
ENSMUSG00000030428	ENSMUST00000086397	7	1	4071135	4087843	Ttyh1	protein_coding
ENSMUSG00000030428	ENSMUST00000129423	7	1	4071135	4088308	Ttyh1	protein_coding
ENSMUSG00000030428	ENSMUST00000148760	7	1	4071158	4077221	Ttyh1	protein_coding
ENSMUSG00000030428	ENSMUST00000079415	7	1	4071187	4086935	Ttyh1	protein_coding
ENSMUSG00000030428	ENSMUST00000153673	7	1	4071224	4079867	Ttyh1	protein_coding
ENSMUSG00000030428	ENSMUST00000032594	7	1	4071356	4086932	Ttyh1	protein_coding
ENSMUSG00000030428	ENSMUST00000151959	7	1	4071822	4077162	Ttyh1	protein_coding
ENSMUSG00000030428	ENSMUST00000134536	7	1	4073751	4087009	Ttyh1	protein_coding
ENSMUSG00000030428	ENSMUST00000108591	7	1	4076106	4087843	Ttyh1	protein_coding
ENSMUSG00000030428	ENSMUST00000132400	7	1	4079828	4081721	Ttyh1	protein_coding
ENSMUSG00000030428	ENSMUST00000148951	7	1	4080848	4084799	Ttyh1	protein_coding
ENSMUSG00000030428	ENSMUST00000128317	7	1	4082221	4083492	Ttyh1	protein_coding
ENSMUSG00000030428	ENSMUST00000139789	7	1	4082739	4083636	Ttyh1	protein_coding
ENSMUSG00000030428	ENSMUST00000140637	7	1	4084632	4085574	Ttyh1	protein_coding
ENSMUSG00000035545	ENSMUST00000128756	7	1	4088641	4093785	Leng8	protein_coding
ENSMUSG00000035545	ENSMUST00000132086	7	1	4088651	4091601	Leng8	protein_coding
ENSMUSG00000035545	ENSMUST00000037472	7	1	4088651	4099775	Leng8	protein_coding
ENSMUSG00000035545	ENSMUST00000117274	7	1	4088662	4092054	Leng8	protein_coding
ENSMUSG00000035545	ENSMUST00000121270	7	1	4088668	4099774	Leng8	protein_coding
ENSMUSG00000035545	ENSMUST00000127723	7	1	4088686	4099775	Leng8	protein_coding
ENSMUSG00000035545	ENSMUST00000154571	7	1	4089164	4092695	Leng8	protein_coding
ENSMUSG00000035545	ENSMUST00000144248	7	1	4090298	4097130	Leng8	protein_coding
ENSMUSG00000035545	ENSMUST00000155881	7	1	4093761	4094531	Leng8	protein_coding
ENSMUSG00000035545	ENSMUST00000146434	7	1	4096322	4097244	Leng8	protein_coding
ENSMUSG00000043432	ENSMUST00000058358	7	-1	4099785	4101474	Leng9	protein_coding
ENSMUSG00000063838	ENSMUST00000076831	7	-1	4102862	4116462	Cdc42ep5	protein_coding
ENSMUSG00000063838	ENSMUST00000143825	7	-1	4103153	4116141	Cdc42ep5	protein_coding
ENSMUSG00000063838	ENSMUST00000140410	7	-1	4103378	4116044	Cdc42ep5	protein_coding
ENSMUSG00000070873	ENSMUST00000117550	7	1	4189356	4195065	Lilra5	protein_coding
ENSMUSG00000062524	ENSMUST00000006792	7	1	4289326	4296766	Ncr1	protein_coding
ENSMUSG00000062524	ENSMUST00000126417	7	1	4289371	4296766	Ncr1	protein_coding
ENSMUSG00000078810	ENSMUST00000108590	7	-1	4320315	4349346	Gp6	protein_coding
ENSMUSG00000078810	ENSMUST00000166133	7	-1	4320435	4349330	Gp6	protein_coding
ENSMUSG00000008435	ENSMUST00000119485	7	-1	4376372	4397203	Rdh13	protein_coding
ENSMUSG00000008435	ENSMUST00000008579	7	-1	4377269	4397251	Rdh13	protein_coding
ENSMUSG00000008435	ENSMUST00000138798	7	-1	4386635	4396783	Rdh13	protein_coding
ENSMUSG00000008435	ENSMUST00000147599	7	-1	4392009	4397195	Rdh13	protein_coding
ENSMUSG00000008435	ENSMUST00000128299	7	-1	4395339	4397244	Rdh13	protein_coding
ENSMUSG00000008435	ENSMUST00000154033	7	-1	4395804	4397228	Rdh13	protein_coding
ENSMUSG00000006154	ENSMUST00000163804	7	1	4412276	4421572	Eps8l1	protein_coding
ENSMUSG00000006154	ENSMUST00000167298	7	1	4412304	4420829	Eps8l1	protein_coding
ENSMUSG00000006154	ENSMUST00000171445	7	1	4412317	4431006	Eps8l1	protein_coding
ENSMUSG00000006154	ENSMUST00000167810	7	1	4416095	4422436	Eps8l1	protein_coding
ENSMUSG00000006154	ENSMUST00000170423	7	1	4416337	4420971	Eps8l1	protein_coding
ENSMUSG00000006154	ENSMUST00000167599	7	1	4416344	4421781	Eps8l1	protein_coding
ENSMUSG00000006154	ENSMUST00000086372	7	1	4416344	4430844	Eps8l1	protein_coding
ENSMUSG00000006154	ENSMUST00000169820	7	1	4416371	4421644	Eps8l1	protein_coding
ENSMUSG00000006154	ENSMUST00000163893	7	1	4416451	4431005	Eps8l1	protein_coding
ENSMUSG00000006154	ENSMUST00000163137	7	1	4416463	4430842	Eps8l1	protein_coding
ENSMUSG00000006154	ENSMUST00000170635	7	1	4416471	4421521	Eps8l1	protein_coding
ENSMUSG00000006154	ENSMUST00000167068	7	1	4424077	4426186	Eps8l1	protein_coding
ENSMUSG00000006154	ENSMUST00000168924	7	1	4429030	4429572	Eps8l1	protein_coding
ENSMUSG00000006154	ENSMUST00000164987	7	1	4429268	4430846	Eps8l1	protein_coding
ENSMUSG00000019254	ENSMUST00000124248	7	-1	4433122	4452963	Ppp1r12c	protein_coding
ENSMUSG00000019254	ENSMUST00000013886	7	-1	4433122	4453282	Ppp1r12c	protein_coding
ENSMUSG00000019254	ENSMUST00000167665	7	-1	4433123	4436520	Ppp1r12c	protein_coding
ENSMUSG00000019254	ENSMUST00000127329	7	-1	4433125	4435634	Ppp1r12c	protein_coding
ENSMUSG00000019254	ENSMUST00000153101	7	-1	4433190	4434236	Ppp1r12c	protein_coding
ENSMUSG00000019254	ENSMUST00000128857	7	-1	4433401	4434636	Ppp1r12c	protein_coding
ENSMUSG00000019254	ENSMUST00000134738	7	-1	4435236	4436101	Ppp1r12c	protein_coding
ENSMUSG00000019254	ENSMUST00000133374	7	-1	4435542	4436916	Ppp1r12c	protein_coding
ENSMUSG00000019254	ENSMUST00000136863	7	-1	4435619	4437310	Ppp1r12c	protein_coding
ENSMUSG00000019254	ENSMUST00000154710	7	-1	4436808	4437534	Ppp1r12c	protein_coding
ENSMUSG00000019254	ENSMUST00000147679	7	-1	4437753	4438337	Ppp1r12c	protein_coding
ENSMUSG00000019254	ENSMUST00000145689	7	-1	4440774	4453266	Ppp1r12c	protein_coding
ENSMUSG00000019254	ENSMUST00000125220	7	-1	4441413	4453131	Ppp1r12c	protein_coding
ENSMUSG00000064179	ENSMUST00000071798	7	-1	4456172	4467577	Tnnt1	protein_coding
ENSMUSG00000064179	ENSMUST00000108587	7	-1	4456172	4467606	Tnnt1	protein_coding
ENSMUSG00000064179	ENSMUST00000163710	7	-1	4456265	4467561	Tnnt1	protein_coding
ENSMUSG00000064179	ENSMUST00000166161	7	-1	4456357	4465970	Tnnt1	protein_coding
ENSMUSG00000064179	ENSMUST00000168111	7	-1	4456386	4461540	Tnnt1	protein_coding
ENSMUSG00000064179	ENSMUST00000086502	7	-1	4456388	4459627	Tnnt1	protein_coding
ENSMUSG00000064179	ENSMUST00000166268	7	-1	4459170	4467563	Tnnt1	protein_coding
ENSMUSG00000064179	ENSMUST00000169571	7	-1	4459202	4461400	Tnnt1	protein_coding
ENSMUSG00000064179	ENSMUST00000166959	7	-1	4460112	4466217	Tnnt1	protein_coding
ENSMUSG00000064179	ENSMUST00000163538	7	-1	4460180	4466176	Tnnt1	protein_coding
ENSMUSG00000064179	ENSMUST00000163722	7	-1	4461212	4467984	Tnnt1	protein_coding
ENSMUSG00000064179	ENSMUST00000163560	7	-1	4465431	4466709	Tnnt1	protein_coding
ENSMUSG00000035458	ENSMUST00000132621	7	-1	4469907	4471366	Tnni3	protein_coding
ENSMUSG00000035458	ENSMUST00000098859	7	-1	4469907	4474130	Tnni3	protein_coding
ENSMUSG00000035458	ENSMUST00000126873	7	-1	4469910	4472169	Tnni3	protein_coding
ENSMUSG00000035458	ENSMUST00000140424	7	-1	4472040	4474396	Tnni3	protein_coding
ENSMUSG00000035458	ENSMUST00000154913	7	-1	4472079	4475831	Tnni3	protein_coding
ENSMUSG00000035458	ENSMUST00000127736	7	-1	4472644	4473586	Tnni3	protein_coding
ENSMUSG00000035458	ENSMUST00000150166	7	-1	4472943	4474094	Tnni3	protein_coding
ENSMUSG00000035458	ENSMUST00000151844	7	-1	4473501	4474044	Tnni3	protein_coding
ENSMUSG00000055809	ENSMUST00000094897	7	-1	4474535	4484055	6030429G01Rik	protein_coding
ENSMUSG00000004961	ENSMUST00000065957	7	-1	4491370	4498169	Syt5	protein_coding
ENSMUSG00000035429	ENSMUST00000049113	7	-1	4500214	4554743	Ptprh	protein_coding
ENSMUSG00000035429	ENSMUST00000166650	7	-1	4500216	4555643	Ptprh	protein_coding
ENSMUSG00000045282	ENSMUST00000055085	7	-1	4579644	4582084	Tmem86b	protein_coding
ENSMUSG00000052296	ENSMUST00000064099	7	-1	4583103	4610552	Ppp6r1	protein_coding
ENSMUSG00000063802	ENSMUST00000079970	7	-1	4612123	4636565	Hspbp1	protein_coding
ENSMUSG00000035390	ENSMUST00000120836	7	1	4642206	4667583	Brsk1	protein_coding
ENSMUSG00000035390	ENSMUST00000048248	7	1	4642530	4667599	Brsk1	protein_coding
ENSMUSG00000035390	ENSMUST00000170011	7	1	4643845	4657026	Brsk1	protein_coding
ENSMUSG00000046456	ENSMUST00000086364	7	-1	4658434	4676851	Tmem150b	protein_coding
ENSMUSG00000035390	ENSMUST00000123637	7	1	4660580	4662594	Brsk1	protein_coding
ENSMUSG00000046456	ENSMUST00000086363	7	-1	4667288	4676684	Tmem150b	protein_coding
ENSMUSG00000059851	ENSMUST00000098853	7	1	4691717	4699116	Suv420h2	protein_coding
ENSMUSG00000059851	ENSMUST00000076059	7	1	4691729	4699115	Suv420h2	protein_coding
ENSMUSG00000059851	ENSMUST00000135541	7	1	4691755	4693690	Suv420h2	protein_coding
ENSMUSG00000059851	ENSMUST00000130215	7	1	4691758	4694655	Suv420h2	protein_coding
ENSMUSG00000059851	ENSMUST00000108582	7	1	4691769	4699116	Suv420h2	protein_coding
ENSMUSG00000059851	ENSMUST00000108583	7	1	4691787	4699116	Suv420h2	protein_coding
ENSMUSG00000059851	ENSMUST00000129927	7	1	4693237	4694139	Suv420h2	protein_coding
ENSMUSG00000059851	ENSMUST00000160480	7	1	4693452	4698500	Suv420h2	protein_coding
ENSMUSG00000059851	ENSMUST00000136177	7	1	4693926	4697510	Suv420h2	protein_coding
ENSMUSG00000059851	ENSMUST00000152500	7	1	4694056	4695083	Suv420h2	protein_coding
ENSMUSG00000059851	ENSMUST00000130200	7	1	4694259	4695207	Suv420h2	protein_coding
ENSMUSG00000059851	ENSMUST00000152431	7	1	4694346	4697723	Suv420h2	protein_coding
ENSMUSG00000059851	ENSMUST00000128018	7	1	4697410	4698198	Suv420h2	protein_coding
ENSMUSG00000051811	ENSMUST00000063324	7	-1	4703396	4704696	Cox6b2	protein_coding
ENSMUSG00000049952	ENSMUST00000108580	7	-1	4704828	4722872	Fam71e2	protein_coding
ENSMUSG00000049952	ENSMUST00000172920	7	-1	4704831	4722904	Fam71e2	protein_coding
ENSMUSG00000049952	ENSMUST00000174409	7	-1	4704831	4722904	Fam71e2	protein_coding
ENSMUSG00000049952	ENSMUST00000068750	7	-1	4709200	4722904	Fam71e2	protein_coding
ENSMUSG00000004371	ENSMUST00000094892	7	-1	4724657	4729743	Il11	protein_coding
ENSMUSG00000004371	ENSMUST00000163481	7	-1	4724835	4734459	Il11	protein_coding
ENSMUSG00000013091	ENSMUST00000013235	7	1	4734542	4735943	Tmem190	protein_coding
ENSMUSG00000030431	ENSMUST00000032596	7	-1	4736197	4741144	2210411K11Rik	protein_coding
ENSMUSG00000030431	ENSMUST00000168578	7	-1	4736197	4741258	2210411K11Rik	protein_coding
ENSMUSG00000030432	ENSMUST00000032597	7	1	4744476	4746164	Rpl28	protein_coding
ENSMUSG00000030432	ENSMUST00000078432	7	1	4744592	4746128	Rpl28	protein_coding
ENSMUSG00000030432	ENSMUST00000126794	7	1	4745195	4746164	Rpl28	protein_coding
ENSMUSG00000030432	ENSMUST00000129888	7	1	4745452	4746164	Rpl28	protein_coding
ENSMUSG00000060860	ENSMUST00000079496	7	-1	4759616	4763942	Ube2s	protein_coding
ENSMUSG00000053550	ENSMUST00000117452	7	-1	4777154	4787776	Shisa7	protein_coding
ENSMUSG00000053550	ENSMUST00000066041	7	-1	4777155	4796298	Shisa7	protein_coding
ENSMUSG00000053550	ENSMUST00000172377	7	-1	4777155	4796298	Shisa7	protein_coding
ENSMUSG00000053550	ENSMUST00000119433	7	-1	4779629	4788325	Shisa7	protein_coding
ENSMUSG00000053550	ENSMUST00000157068	7	-1	4781779	4782729	Shisa7	protein_coding
ENSMUSG00000053550	ENSMUST00000132806	7	-1	4782993	4786117	Shisa7	protein_coding
ENSMUSG00000052605	ENSMUST00000064547	7	-1	4796561	4817795	Isoc2b	protein_coding
ENSMUSG00000052605	ENSMUST00000128677	7	-1	4796564	4802470	Isoc2b	protein_coding
ENSMUSG00000052605	ENSMUST00000133406	7	-1	4800937	4802831	Isoc2b	protein_coding
ENSMUSG00000052605	ENSMUST00000134243	7	-1	4802936	4817770	Isoc2b	protein_coding
ENSMUSG00000086784	ENSMUST00000125249	7	1	4828655	4847319	Isoc2a	protein_coding
ENSMUSG00000074406	ENSMUST00000116354	7	1	4866819	4873605	Zfp628	protein_coding
ENSMUSG00000074406	ENSMUST00000098850	7	1	4870404	4871415	Zfp628	protein_coding
ENSMUSG00000035285	ENSMUST00000047309	7	1	4873853	4876608	Nat14	protein_coding
ENSMUSG00000035279	ENSMUST00000057612	7	1	4877446	4896423	A430110N23Rik	protein_coding
ENSMUSG00000030433	ENSMUST00000032598	7	-1	4908683	4915950	Sbk2	protein_coding
ENSMUSG00000085272	ENSMUST00000144863	7	-1	4916862	4922563	Gm1078	protein_coding
ENSMUSG00000085272	ENSMUST00000133272	7	-1	4918942	4922770	Gm1078	protein_coding
ENSMUSG00000051550	ENSMUST00000159754	7	-1	4935085	4947657	Zfp579	protein_coding
ENSMUSG00000051550	ENSMUST00000162731	7	-1	4944454	4946942	Zfp579	protein_coding
ENSMUSG00000051550	ENSMUST00000160225	7	-1	4944454	4947760	Zfp579	protein_coding
ENSMUSG00000051550	ENSMUST00000108572	7	-1	4944456	4947703	Zfp579	protein_coding
ENSMUSG00000051550	ENSMUST00000040415	7	-1	4944458	4947655	Zfp579	protein_coding
ENSMUSG00000051550	ENSMUST00000162502	7	-1	4945803	4947687	Zfp579	protein_coding
ENSMUSG00000051550	ENSMUST00000160808	7	-1	4946613	4947631	Zfp579	protein_coding
ENSMUSG00000061374	ENSMUST00000077385	7	-1	4958659	4964844	Fiz1	protein_coding
ENSMUSG00000061374	ENSMUST00000167804	7	-1	4958659	4965855	Fiz1	protein_coding
ENSMUSG00000061374	ENSMUST00000165320	7	-1	4958659	4966299	Fiz1	protein_coding
ENSMUSG00000051184	ENSMUST00000086349	7	1	4967103	4970088	Zfp524	protein_coding
ENSMUSG00000074405	ENSMUST00000076251	7	1	4971978	4984740	Zfp865	protein_coding
ENSMUSG00000074405	ENSMUST00000085427	7	1	4972172	4984740	Zfp865	protein_coding
ENSMUSG00000074405	ENSMUST00000086350	7	1	4981340	4983478	Zfp865	protein_coding
ENSMUSG00000074405	ENSMUST00000168610	7	1	4981631	4983032	Zfp865	protein_coding
ENSMUSG00000063757	ENSMUST00000076791	7	1	4985720	4986848	4632433K11Rik	protein_coding
ENSMUSG00000043290	ENSMUST00000062428	7	-1	4986041	4990048	Zfp784	protein_coding
ENSMUSG00000055633	ENSMUST00000069324	7	1	5003134	5005324	Zfp580	protein_coding
ENSMUSG00000035228	ENSMUST00000108571	7	1	5007754	5012384	Ccdc106	protein_coding
ENSMUSG00000035228	ENSMUST00000144802	7	1	5008327	5009770	Ccdc106	protein_coding
ENSMUSG00000035228	ENSMUST00000149912	7	1	5008342	5012387	Ccdc106	protein_coding
ENSMUSG00000035228	ENSMUST00000131368	7	1	5008458	5009687	Ccdc106	protein_coding
ENSMUSG00000035228	ENSMUST00000123956	7	1	5008518	5009426	Ccdc106	protein_coding
ENSMUSG00000035228	ENSMUST00000045543	7	1	5008799	5012387	Ccdc106	protein_coding
ENSMUSG00000030435	ENSMUST00000005041	7	1	5013745	5031534	U2af2	protein_coding
ENSMUSG00000030435	ENSMUST00000165399	7	1	5018830	5031534	U2af2	protein_coding
ENSMUSG00000035203	ENSMUST00000098845	7	1	5031837	5049780	Epn1	protein_coding
ENSMUSG00000035203	ENSMUST00000146317	7	1	5031842	5041563	Epn1	protein_coding
ENSMUSG00000035203	ENSMUST00000108570	7	1	5031846	5049780	Epn1	protein_coding
ENSMUSG00000035203	ENSMUST00000153169	7	1	5031870	5035518	Epn1	protein_coding
ENSMUSG00000035203	ENSMUST00000045277	7	1	5031895	5049778	Epn1	protein_coding
ENSMUSG00000035203	ENSMUST00000152083	7	1	5035267	5046803	Epn1	protein_coding
ENSMUSG00000035203	ENSMUST00000155436	7	1	5041440	5044567	Epn1	protein_coding
ENSMUSG00000035191	ENSMUST00000045215	7	-1	5061389	5068513	Rfpl4	protein_coding
