ENSMUSG00000078222	ENSMUST00000105020	X	-1	3241670	3243629	Gm14346	protein_coding
ENSMUSG00000004317	ENSMUST00000128319	X	-1	6748325	6896484	Clcn5	protein_coding
ENSMUSG00000004317	ENSMUST00000132126	X	-1	6790117	6896296	Clcn5	protein_coding
ENSMUSG00000046269	ENSMUST00000134976	X	-1	6948402	6952952	Usp27x	protein_coding
ENSMUSG00000046269	ENSMUST00000115744	X	-1	6949717	6952956	Usp27x	protein_coding
ENSMUSG00000039556	ENSMUST00000150787	X	-1	7134422	7151409	Ppp1r3f	protein_coding
ENSMUSG00000039556	ENSMUST00000045924	X	-1	7135688	7151246	Ppp1r3f	protein_coding
ENSMUSG00000039556	ENSMUST00000170291	X	-1	7135688	7151374	Ppp1r3f	protein_coding
ENSMUSG00000039556	ENSMUST00000126170	X	-1	7135728	7182507	Ppp1r3f	protein_coding
ENSMUSG00000039556	ENSMUST00000115742	X	-1	7136078	7151246	Ppp1r3f	protein_coding
ENSMUSG00000039556	ENSMUST00000142447	X	-1	7136348	7141383	Ppp1r3f	protein_coding
ENSMUSG00000039556	ENSMUST00000132788	X	-1	7137368	7149969	Ppp1r3f	protein_coding
ENSMUSG00000039556	ENSMUST00000123090	X	-1	7139356	7141414	Ppp1r3f	protein_coding
ENSMUSG00000039521	ENSMUST00000115740	X	1	7156802	7172369	Foxp3	protein_coding
ENSMUSG00000039521	ENSMUST00000115739	X	1	7156819	7172360	Foxp3	protein_coding
ENSMUSG00000039521	ENSMUST00000115738	X	1	7157609	7172360	Foxp3	protein_coding
ENSMUSG00000039521	ENSMUST00000045566	X	1	7163435	7172360	Foxp3	protein_coding
ENSMUSG00000031143	ENSMUST00000033483	X	-1	7170935	7182643	Ccdc22	protein_coding
ENSMUSG00000031143	ENSMUST00000144674	X	-1	7170936	7174405	Ccdc22	protein_coding
ENSMUSG00000031142	ENSMUST00000155090	X	1	7184209	7212319	Cacna1f	protein_coding
ENSMUSG00000031142	ENSMUST00000144522	X	1	7184224	7195235	Cacna1f	protein_coding
ENSMUSG00000031142	ENSMUST00000115726	X	1	7184225	7212322	Cacna1f	protein_coding
ENSMUSG00000031142	ENSMUST00000070906	X	1	7184229	7196261	Cacna1f	protein_coding
ENSMUSG00000031142	ENSMUST00000133637	X	1	7184246	7196259	Cacna1f	protein_coding
ENSMUSG00000031142	ENSMUST00000115725	X	1	7184255	7212322	Cacna1f	protein_coding
ENSMUSG00000031142	ENSMUST00000141634	X	1	7184270	7212320	Cacna1f	protein_coding
ENSMUSG00000031142	ENSMUST00000123979	X	1	7203356	7205067	Cacna1f	protein_coding
ENSMUSG00000031142	ENSMUST00000128628	X	1	7204320	7207372	Cacna1f	protein_coding
ENSMUSG00000031142	ENSMUST00000156047	X	1	7204320	7207625	Cacna1f	protein_coding
ENSMUSG00000031142	ENSMUST00000157000	X	1	7205315	7206888	Cacna1f	protein_coding
ENSMUSG00000031142	ENSMUST00000151208	X	1	7208402	7210115	Cacna1f	protein_coding
ENSMUSG00000031144	ENSMUST00000069520	X	1	7215597	7230382	Syp	protein_coding
ENSMUSG00000031144	ENSMUST00000033484	X	1	7215706	7230382	Syp	protein_coding
ENSMUSG00000031144	ENSMUST00000149795	X	1	7215764	7224495	Syp	protein_coding
ENSMUSG00000031144	ENSMUST00000116638	X	1	7215812	7230377	Syp	protein_coding
ENSMUSG00000031144	ENSMUST00000128890	X	1	7215848	7221420	Syp	protein_coding
ENSMUSG00000031144	ENSMUST00000150572	X	1	7216431	7221409	Syp	protein_coding
ENSMUSG00000031144	ENSMUST00000137515	X	1	7216887	7221368	Syp	protein_coding
ENSMUSG00000031144	ENSMUST00000134355	X	1	7221035	7222159	Syp	protein_coding
ENSMUSG00000031145	ENSMUST00000033485	X	1	7234386	7245084	Prickle3	protein_coding
ENSMUSG00000031145	ENSMUST00000141876	X	1	7234598	7238254	Prickle3	protein_coding
ENSMUSG00000031145	ENSMUST00000129662	X	1	7235659	7245312	Prickle3	protein_coding
ENSMUSG00000031145	ENSMUST00000123172	X	1	7239889	7245079	Prickle3	protein_coding
ENSMUSG00000031145	ENSMUST00000153994	X	1	7243224	7244263	Prickle3	protein_coding
ENSMUSG00000031146	ENSMUST00000033486	X	-1	7245067	7248516	Plp2	protein_coding
ENSMUSG00000031146	ENSMUST00000136155	X	-1	7245086	7248498	Plp2	protein_coding
ENSMUSG00000031146	ENSMUST00000143854	X	-1	7246456	7248439	Plp2	protein_coding
ENSMUSG00000031147	ENSMUST00000130287	X	-1	7250290	7258377	Magix	protein_coding
ENSMUSG00000031147	ENSMUST00000115695	X	-1	7251752	7258215	Magix	protein_coding
ENSMUSG00000031148	ENSMUST00000049896	X	1	7274257	7287388	Gpkow	protein_coding
ENSMUSG00000031148	ENSMUST00000154562	X	1	7280631	7285144	Gpkow	protein_coding
ENSMUSG00000031148	ENSMUST00000129845	X	1	7282979	7285333	Gpkow	protein_coding
ENSMUSG00000039382	ENSMUST00000156000	X	1	7299099	7303418	Wdr45	protein_coding
ENSMUSG00000039382	ENSMUST00000043045	X	1	7299346	7305326	Wdr45	protein_coding
ENSMUSG00000039382	ENSMUST00000116634	X	1	7299366	7305116	Wdr45	protein_coding
ENSMUSG00000039382	ENSMUST00000115689	X	1	7299375	7305327	Wdr45	protein_coding
ENSMUSG00000039382	ENSMUST00000131077	X	1	7299376	7303418	Wdr45	protein_coding
ENSMUSG00000039382	ENSMUST00000115688	X	1	7299376	7305308	Wdr45	protein_coding
ENSMUSG00000039382	ENSMUST00000116633	X	1	7299386	7305076	Wdr45	protein_coding
ENSMUSG00000039382	ENSMUST00000125991	X	1	7299481	7301417	Wdr45	protein_coding
ENSMUSG00000039382	ENSMUST00000154253	X	1	7299483	7303402	Wdr45	protein_coding
ENSMUSG00000039382	ENSMUST00000148624	X	1	7299488	7303417	Wdr45	protein_coding
ENSMUSG00000039382	ENSMUST00000127847	X	1	7299859	7303458	Wdr45	protein_coding
ENSMUSG00000039382	ENSMUST00000115687	X	1	7300053	7305129	Wdr45	protein_coding
ENSMUSG00000039382	ENSMUST00000144148	X	1	7300457	7303153	Wdr45	protein_coding
ENSMUSG00000039382	ENSMUST00000155914	X	1	7300671	7303006	Wdr45	protein_coding
ENSMUSG00000039382	ENSMUST00000124707	X	1	7303699	7304616	Wdr45	protein_coding
ENSMUSG00000031149	ENSMUST00000033489	X	1	7305565	7308190	Praf2	protein_coding
ENSMUSG00000031150	ENSMUST00000033490	X	-1	7308840	7318467	Ccdc120	protein_coding
ENSMUSG00000031150	ENSMUST00000128289	X	-1	7315087	7317336	Ccdc120	protein_coding
ENSMUSG00000031150	ENSMUST00000153925	X	-1	7315344	7318434	Ccdc120	protein_coding
ENSMUSG00000031150	ENSMUST00000128011	X	-1	7315358	7317357	Ccdc120	protein_coding
ENSMUSG00000031150	ENSMUST00000128852	X	-1	7315369	7318450	Ccdc120	protein_coding
ENSMUSG00000031150	ENSMUST00000156787	X	-1	7315496	7317333	Ccdc120	protein_coding
ENSMUSG00000031150	ENSMUST00000154977	X	-1	7315586	7328031	Ccdc120	protein_coding
ENSMUSG00000031150	ENSMUST00000139499	X	-1	7315639	7328023	Ccdc120	protein_coding
ENSMUSG00000000134	ENSMUST00000144715	X	1	7339686	7343197	Tfe3	protein_coding
ENSMUSG00000000134	ENSMUST00000132209	X	1	7339712	7343893	Tfe3	protein_coding
ENSMUSG00000000134	ENSMUST00000077680	X	1	7339784	7352328	Tfe3	protein_coding
ENSMUSG00000000134	ENSMUST00000079542	X	1	7339790	7352325	Tfe3	protein_coding
ENSMUSG00000000134	ENSMUST00000115679	X	1	7339802	7352327	Tfe3	protein_coding
ENSMUSG00000000134	ENSMUST00000137467	X	1	7339821	7352325	Tfe3	protein_coding
ENSMUSG00000000134	ENSMUST00000143680	X	1	7339823	7352327	Tfe3	protein_coding
ENSMUSG00000000134	ENSMUST00000115680	X	1	7339893	7352328	Tfe3	protein_coding
ENSMUSG00000000134	ENSMUST00000144900	X	1	7341069	7343918	Tfe3	protein_coding
ENSMUSG00000000134	ENSMUST00000115677	X	1	7341085	7352327	Tfe3	protein_coding
ENSMUSG00000000134	ENSMUST00000101695	X	1	7341167	7352323	Tfe3	protein_coding
ENSMUSG00000000134	ENSMUST00000115678	X	1	7341213	7352325	Tfe3	protein_coding
ENSMUSG00000000134	ENSMUST00000126694	X	1	7341778	7352323	Tfe3	protein_coding
ENSMUSG00000000134	ENSMUST00000133456	X	1	7346556	7348444	Tfe3	protein_coding
ENSMUSG00000031153	ENSMUST00000065932	X	1	7366891	7397693	Gripap1	protein_coding
ENSMUSG00000031153	ENSMUST00000115671	X	1	7367119	7397687	Gripap1	protein_coding
ENSMUSG00000031153	ENSMUST00000171917	X	1	7367119	7397687	Gripap1	protein_coding
ENSMUSG00000031153	ENSMUST00000136930	X	1	7367120	7389609	Gripap1	protein_coding
ENSMUSG00000031153	ENSMUST00000115675	X	1	7367121	7397689	Gripap1	protein_coding
ENSMUSG00000031153	ENSMUST00000147232	X	1	7367132	7371670	Gripap1	protein_coding
ENSMUSG00000031153	ENSMUST00000101694	X	1	7367134	7397689	Gripap1	protein_coding
ENSMUSG00000031153	ENSMUST00000140540	X	1	7367138	7389609	Gripap1	protein_coding
ENSMUSG00000031153	ENSMUST00000132456	X	1	7367144	7397082	Gripap1	protein_coding
ENSMUSG00000031153	ENSMUST00000135622	X	1	7375573	7387974	Gripap1	protein_coding
ENSMUSG00000031153	ENSMUST00000141178	X	1	7387393	7387941	Gripap1	protein_coding
ENSMUSG00000031153	ENSMUST00000144946	X	1	7396045	7397689	Gripap1	protein_coding
ENSMUSG00000009731	ENSMUST00000009875	X	1	7399415	7415406	Kcnd1	protein_coding
ENSMUSG00000009731	ENSMUST00000125440	X	1	7399433	7400393	Kcnd1	protein_coding
ENSMUSG00000031154	ENSMUST00000152899	X	1	7418490	7419134	Otud5	protein_coding
ENSMUSG00000031154	ENSMUST00000033494	X	1	7418957	7453752	Otud5	protein_coding
ENSMUSG00000031154	ENSMUST00000115666	X	1	7418982	7451986	Otud5	protein_coding
ENSMUSG00000031154	ENSMUST00000115667	X	1	7419182	7452411	Otud5	protein_coding
ENSMUSG00000031154	ENSMUST00000115668	X	1	7419208	7452416	Otud5	protein_coding
ENSMUSG00000031154	ENSMUST00000115665	X	1	7419242	7453746	Otud5	protein_coding
ENSMUSG00000031154	ENSMUST00000150644	X	1	7419731	7452410	Otud5	protein_coding
ENSMUSG00000031154	ENSMUST00000130908	X	1	7419732	7445091	Otud5	protein_coding
ENSMUSG00000031154	ENSMUST00000148841	X	1	7432853	7444691	Otud5	protein_coding
ENSMUSG00000031155	ENSMUST00000126715	X	1	7455388	7457448	Pim2	protein_coding
ENSMUSG00000031155	ENSMUST00000033495	X	1	7455428	7460558	Pim2	protein_coding
ENSMUSG00000031155	ENSMUST00000145177	X	1	7455744	7458528	Pim2	protein_coding
ENSMUSG00000031156	ENSMUST00000115660	X	1	7461167	7471618	Slc35a2	protein_coding
ENSMUSG00000031156	ENSMUST00000115663	X	1	7461370	7471590	Slc35a2	protein_coding
ENSMUSG00000031156	ENSMUST00000096514	X	1	7461449	7471153	Slc35a2	protein_coding
ENSMUSG00000031156	ENSMUST00000033496	X	1	7461460	7471148	Slc35a2	protein_coding
ENSMUSG00000031156	ENSMUST00000123277	X	1	7461504	7471588	Slc35a2	protein_coding
ENSMUSG00000031156	ENSMUST00000153620	X	1	7462962	7471586	Slc35a2	protein_coding
ENSMUSG00000031156	ENSMUST00000155967	X	1	7470147	7471590	Slc35a2	protein_coding
ENSMUSG00000031157	ENSMUST00000033497	X	-1	7471645	7476395	Pqbp1	protein_coding
ENSMUSG00000031157	ENSMUST00000115655	X	-1	7471709	7476105	Pqbp1	protein_coding
ENSMUSG00000031157	ENSMUST00000115654	X	-1	7471837	7476325	Pqbp1	protein_coding
ENSMUSG00000031157	ENSMUST00000156741	X	-1	7471920	7476126	Pqbp1	protein_coding
ENSMUSG00000031157	ENSMUST00000154552	X	-1	7473001	7476022	Pqbp1	protein_coding
ENSMUSG00000031158	ENSMUST00000033498	X	1	7476483	7485477	Timm17b	protein_coding
ENSMUSG00000031158	ENSMUST00000146406	X	1	7476797	7483456	Timm17b	protein_coding
ENSMUSG00000031158	ENSMUST00000150541	X	1	7483240	7484096	Timm17b	protein_coding
ENSMUSG00000073291	ENSMUST00000085330	X	-1	7484819	7484961	Gm10491	protein_coding
ENSMUSG00000073290	ENSMUST00000086274	X	1	7486668	7487053	Gm10490	protein_coding
ENSMUSG00000039278	ENSMUST00000041096	X	1	7496948	7501536	Pcsk1n	protein_coding
ENSMUSG00000039278	ENSMUST00000163198	X	1	7497021	7500360	Pcsk1n	protein_coding
ENSMUSG00000031160	ENSMUST00000033500	X	-1	7501402	7505733	Eras	protein_coding
ENSMUSG00000031161	ENSMUST00000115642	X	-1	7507246	7525015	Hdac6	protein_coding
ENSMUSG00000031161	ENSMUST00000033501	X	-1	7507248	7525015	Hdac6	protein_coding
ENSMUSG00000031161	ENSMUST00000137499	X	-1	7507250	7524964	Hdac6	protein_coding
ENSMUSG00000031161	ENSMUST00000145675	X	-1	7508485	7525015	Hdac6	protein_coding
ENSMUSG00000031161	ENSMUST00000153788	X	-1	7508681	7511611	Hdac6	protein_coding
ENSMUSG00000031161	ENSMUST00000151916	X	-1	7514448	7515798	Hdac6	protein_coding
ENSMUSG00000031161	ENSMUST00000156127	X	-1	7514555	7517090	Hdac6	protein_coding
ENSMUSG00000031161	ENSMUST00000154200	X	-1	7520525	7524285	Hdac6	protein_coding
ENSMUSG00000031161	ENSMUST00000133349	X	-1	7520549	7524679	Hdac6	protein_coding
ENSMUSG00000031161	ENSMUST00000154244	X	-1	7524120	7524893	Hdac6	protein_coding
ENSMUSG00000031162	ENSMUST00000033502	X	-1	7536386	7545036	Gata1	protein_coding
ENSMUSG00000031162	ENSMUST00000125418	X	-1	7539566	7555197	Gata1	protein_coding
ENSMUSG00000031162	ENSMUST00000128449	X	-1	7540155	7541292	Gata1	protein_coding
ENSMUSG00000031163	ENSMUST00000033503	X	-1	7581326	7595618	Glod5	protein_coding
ENSMUSG00000039231	ENSMUST00000115638	X	-1	7638297	7651886	Suv39h1	protein_coding
ENSMUSG00000039231	ENSMUST00000150095	X	-1	7638552	7651747	Suv39h1	protein_coding
ENSMUSG00000039231	ENSMUST00000115637	X	-1	7638561	7651384	Suv39h1	protein_coding
ENSMUSG00000039231	ENSMUST00000115636	X	-1	7644535	7651855	Suv39h1	protein_coding
ENSMUSG00000039231	ENSMUST00000127617	X	-1	7647555	7651439	Suv39h1	protein_coding
ENSMUSG00000031165	ENSMUST00000033505	X	-1	7658579	7667624	Was	protein_coding
ENSMUSG00000031165	ENSMUST00000146029	X	-1	7663397	7665891	Was	protein_coding
ENSMUSG00000031166	ENSMUST00000033506	X	-1	7700427	7709934	Wdr13	protein_coding
ENSMUSG00000031166	ENSMUST00000133292	X	-1	7700429	7709984	Wdr13	protein_coding
ENSMUSG00000031166	ENSMUST00000130832	X	-1	7700450	7709896	Wdr13	protein_coding
ENSMUSG00000031166	ENSMUST00000115623	X	-1	7702534	7709946	Wdr13	protein_coding
ENSMUSG00000031166	ENSMUST00000127062	X	-1	7702573	7709949	Wdr13	protein_coding
ENSMUSG00000031166	ENSMUST00000131929	X	-1	7702827	7705643	Wdr13	protein_coding
ENSMUSG00000031166	ENSMUST00000148135	X	-1	7705160	7709945	Wdr13	protein_coding
ENSMUSG00000031166	ENSMUST00000153839	X	-1	7706267	7709971	Wdr13	protein_coding
ENSMUSG00000031166	ENSMUST00000149257	X	-1	7706844	7709637	Wdr13	protein_coding
ENSMUSG00000031166	ENSMUST00000130050	X	-1	7709243	7710018	Wdr13	protein_coding
ENSMUSG00000031167	ENSMUST00000155599	X	-1	7716101	7720044	Rbm3	protein_coding
ENSMUSG00000031167	ENSMUST00000040010	X	-1	7716104	7722823	Rbm3	protein_coding
ENSMUSG00000031167	ENSMUST00000115619	X	-1	7717910	7722805	Rbm3	protein_coding
ENSMUSG00000031167	ENSMUST00000115621	X	-1	7719485	7723006	Rbm3	protein_coding
ENSMUSG00000031167	ENSMUST00000115615	X	-1	7719487	7722849	Rbm3	protein_coding
ENSMUSG00000031167	ENSMUST00000115620	X	-1	7719494	7722805	Rbm3	protein_coding
ENSMUSG00000031167	ENSMUST00000115617	X	-1	7719494	7722822	Rbm3	protein_coding
ENSMUSG00000031167	ENSMUST00000115616	X	-1	7719494	7722899	Rbm3	protein_coding
ENSMUSG00000031167	ENSMUST00000129947	X	-1	7719667	7722805	Rbm3	protein_coding
ENSMUSG00000031167	ENSMUST00000141925	X	-1	7720016	7722848	Rbm3	protein_coding
ENSMUSG00000031167	ENSMUST00000141629	X	-1	7720154	7722823	Rbm3	protein_coding
ENSMUSG00000031167	ENSMUST00000145450	X	-1	7721600	7722885	Rbm3	protein_coding
ENSMUSG00000039201	ENSMUST00000039892	X	-1	7731598	7753307	Tbc1d25	protein_coding
ENSMUSG00000039201	ENSMUST00000172020	X	-1	7731598	7753307	Tbc1d25	protein_coding
ENSMUSG00000039201	ENSMUST00000133093	X	-1	7731609	7753084	Tbc1d25	protein_coding
ENSMUSG00000039201	ENSMUST00000143984	X	-1	7731617	7753017	Tbc1d25	protein_coding
ENSMUSG00000031168	ENSMUST00000033509	X	-1	7762455	7770638	Ebp	protein_coding
ENSMUSG00000031168	ENSMUST00000140011	X	-1	7762457	7764300	Ebp	protein_coding
ENSMUSG00000031168	ENSMUST00000143223	X	-1	7763874	7770526	Ebp	protein_coding
ENSMUSG00000031168	ENSMUST00000149495	X	-1	7767001	7770024	Ebp	protein_coding
ENSMUSG00000031169	ENSMUST00000082320	X	-1	7770974	7783651	Porcn	protein_coding
ENSMUSG00000031169	ENSMUST00000154695	X	-1	7770975	7783617	Porcn	protein_coding
ENSMUSG00000031169	ENSMUST00000077595	X	-1	7770976	7783627	Porcn	protein_coding
ENSMUSG00000031169	ENSMUST00000089402	X	-1	7770976	7783627	Porcn	protein_coding
ENSMUSG00000031169	ENSMUST00000089403	X	-1	7770976	7783627	Porcn	protein_coding
ENSMUSG00000031169	ENSMUST00000122943	X	-1	7770979	7783623	Porcn	protein_coding
ENSMUSG00000031169	ENSMUST00000139744	X	-1	7780565	7783639	Porcn	protein_coding
ENSMUSG00000031171	ENSMUST00000033513	X	-1	7815794	7829532	Ftsj1	protein_coding
ENSMUSG00000031171	ENSMUST00000115594	X	-1	7817546	7829436	Ftsj1	protein_coding
ENSMUSG00000031171	ENSMUST00000115595	X	-1	7817546	7829521	Ftsj1	protein_coding
ENSMUSG00000031171	ENSMUST00000144953	X	-1	7821745	7829334	Ftsj1	protein_coding
ENSMUSG00000031171	ENSMUST00000149063	X	-1	7822042	7823482	Ftsj1	protein_coding
ENSMUSG00000031171	ENSMUST00000126924	X	-1	7822073	7822932	Ftsj1	protein_coding
ENSMUSG00000031171	ENSMUST00000147467	X	-1	7825648	7829489	Ftsj1	protein_coding
ENSMUSG00000031170	ENSMUST00000127103	X	1	7848259	7850059	Slc38a5	protein_coding
ENSMUSG00000031170	ENSMUST00000115591	X	1	7848277	7857305	Slc38a5	protein_coding
ENSMUSG00000031170	ENSMUST00000033512	X	1	7848507	7857305	Slc38a5	protein_coding
ENSMUSG00000031170	ENSMUST00000115590	X	1	7848768	7857300	Slc38a5	protein_coding
ENSMUSG00000068219	ENSMUST00000103003	X	1	7904550	7913363	Ssxb10	protein_coding
ENSMUSG00000068218	ENSMUST00000096511	X	1	7944104	7948963	Ssxb9	protein_coding
ENSMUSG00000068218	ENSMUST00000101693	X	1	7944104	7952514	Ssxb9	protein_coding
ENSMUSG00000068218	ENSMUST00000115584	X	1	7944104	7952516	Ssxb9	protein_coding
ENSMUSG00000079705	ENSMUST00000037297	X	1	7990431	7999283	Ssxb1	protein_coding
ENSMUSG00000023165	ENSMUST00000023931	X	-1	8031471	8038852	Ssxb2	protein_coding
ENSMUSG00000023165	ENSMUST00000103000	X	-1	8031471	8038852	Ssxb2	protein_coding
ENSMUSG00000079702	ENSMUST00000101691	X	-1	8031471	8125382	Ssxb6	protein_coding
ENSMUSG00000079704	ENSMUST00000115573	X	-1	8091178	8102080	Gm14459	protein_coding
ENSMUSG00000079702	ENSMUST00000138642	X	-1	8119831	8125381	Ssxb6	protein_coding
ENSMUSG00000079701	ENSMUST00000089374	X	-1	8160530	8168942	Ssxb3	protein_coding
ENSMUSG00000079701	ENSMUST00000089379	X	-1	8160670	8166372	Ssxb3	protein_coding
ENSMUSG00000079703	ENSMUST00000101690	X	-1	8262457	8267965	Ssxb8	protein_coding
ENSMUSG00000079703	ENSMUST00000089384	X	-1	8264172	8270574	Ssxb8	protein_coding
ENSMUSG00000035371	ENSMUST00000103001	X	1	8325558	8331713	Ssx9	protein_coding
ENSMUSG00000071816	ENSMUST00000089370	X	1	8380817	8386512	Ssxb5	protein_coding
ENSMUSG00000079699	ENSMUST00000115563	X	1	8421120	8426733	Gm6592	protein_coding
ENSMUSG00000079697	ENSMUST00000115561	X	1	8451379	8457876	Gm5751	protein_coding
ENSMUSG00000052364	ENSMUST00000064196	X	1	8469479	8472103	B630019K06Rik	protein_coding
ENSMUSG00000078208	ENSMUST00000105006	X	-1	8539260	8540101	Gm5634	protein_coding
ENSMUSG00000060685	ENSMUST00000075792	X	-1	8552884	8553617	Gm14511	protein_coding
ENSMUSG00000078206	ENSMUST00000105004	X	-1	8563026	8563881	Gm14458	protein_coding
ENSMUSG00000071815	ENSMUST00000096509	X	1	8610604	8611459	Fthl17	protein_coding
ENSMUSG00000072249	ENSMUST00000097029	X	1	8640216	8640948	Gm5635	protein_coding
ENSMUSG00000045797	ENSMUST00000059967	X	1	8681688	8683468	4930402K13Rik	protein_coding
ENSMUSG00000047344	ENSMUST00000069763	X	1	8777028	8845211	Lancl3	protein_coding
ENSMUSG00000079694	ENSMUST00000115553	X	-1	8828054	8834025	Gm14862	protein_coding
ENSMUSG00000015342	ENSMUST00000015486	X	1	8849882	8890376	Xk	protein_coding
ENSMUSG00000078347	ENSMUST00000105138	X	1	8860921	8861420	1700012L04Rik	protein_coding
ENSMUSG00000063080	ENSMUST00000073949	X	1	8927725	8928263	Gm14501	protein_coding
ENSMUSG00000015340	ENSMUST00000015484	X	-1	9012378	9046450	Cybb	protein_coding
ENSMUSG00000015340	ENSMUST00000164685	X	-1	9024051	9046395	Cybb	protein_coding
ENSMUSG00000015340	ENSMUST00000154503	X	-1	9026507	9028659	Cybb	protein_coding
ENSMUSG00000015340	ENSMUST00000170885	X	-1	9034144	9064897	Cybb	protein_coding
ENSMUSG00000015340	ENSMUST00000131591	X	-1	9042114	9046396	Cybb	protein_coding
ENSMUSG00000078346	ENSMUST00000105137	X	-1	9149027	9149535	Gm5132	protein_coding
ENSMUSG00000031176	ENSMUST00000033519	X	-1	9231393	9240129	Dynlt3	protein_coding
ENSMUSG00000031176	ENSMUST00000125030	X	-1	9233135	9236756	Dynlt3	protein_coding
ENSMUSG00000031176	ENSMUST00000154091	X	-1	9233402	9240129	Dynlt3	protein_coding
ENSMUSG00000031176	ENSMUST00000140019	X	-1	9233464	9234483	Dynlt3	protein_coding
ENSMUSG00000040456	ENSMUST00000044987	X	1	9424073	9424626	1700054O13Rik	protein_coding
ENSMUSG00000048994	ENSMUST00000057113	X	1	9426829	9427380	4930557A04Rik	protein_coding
ENSMUSG00000054453	ENSMUST00000067529	X	1	9462748	9571669	Sytl5	protein_coding
ENSMUSG00000054453	ENSMUST00000086165	X	1	9462748	9571669	Sytl5	protein_coding
ENSMUSG00000090084	ENSMUST00000044789	X	-1	9615103	9694808	Srpx	protein_coding
ENSMUSG00000090084	ENSMUST00000115544	X	-1	9615682	9694835	Srpx	protein_coding
ENSMUSG00000090084	ENSMUST00000115543	X	-1	9616033	9694731	Srpx	protein_coding
ENSMUSG00000090084	ENSMUST00000147334	X	-1	9650747	9694802	Srpx	protein_coding
ENSMUSG00000031174	ENSMUST00000072393	X	-1	9650747	9794046	Rpgr	protein_coding
ENSMUSG00000031174	ENSMUST00000115534	X	-1	9735342	9793579	Rpgr	protein_coding
ENSMUSG00000031174	ENSMUST00000044598	X	-1	9735342	9794046	Rpgr	protein_coding
ENSMUSG00000031174	ENSMUST00000073392	X	-1	9735342	9794046	Rpgr	protein_coding
ENSMUSG00000031174	ENSMUST00000115531	X	-1	9735350	9793833	Rpgr	protein_coding
ENSMUSG00000031174	ENSMUST00000115533	X	-1	9735498	9794046	Rpgr	protein_coding
ENSMUSG00000031174	ENSMUST00000115536	X	-1	9735800	9793839	Rpgr	protein_coding
ENSMUSG00000031174	ENSMUST00000115532	X	-1	9737734	9794046	Rpgr	protein_coding
ENSMUSG00000031174	ENSMUST00000155734	X	-1	9758094	9793884	Rpgr	protein_coding
